"year","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2008","Realschule","17.74","11.5","1698","17.02","18.46"
"2009","(Fach-)Abitur","16","11.5","555","14.7","17.3"
"2009","(noch) kein Abschluss","","","","",""
"2009","AkademikerIn","21.04","14.5","1321","20.01","22.07"
"2009","Hauptschule","18.51","11.5","829","17.37","19.65"
"2009","Realschule","18.12","11.5","1439","17.29","18.95"
"2010","(Fach-)Abitur","15.52","9.5","800","14.44","16.6"
"2010","(noch) kein Abschluss","23.81","9","33","15.4","32.22"
"2010","AkademikerIn","21.16","14.5","1749","20.28","22.04"
"2010","Hauptschule","18.98","11.5","1112","17.94","20.02"
"2010","Realschule","17.21","10.5","1943","16.5","17.92"
"2011","(Fach-)Abitur","17.75","11.5","1036","16.74","18.76"
"2011","(noch) kein Abschluss","20.49","13.5","62","15.61","25.37"
"2011","AkademikerIn","21.09","14.5","2168","20.32","21.86"
"2011","Hauptschule","18.93","14.5","1460","18.08","19.78"
"2011","Realschule","17.19","11.5","2532","16.57","17.81"
"2012","(Fach-)Abitur","15.2","9.5","1101","14.31","16.09"
"2012","(noch) kein Abschluss","20.7","14","62","14.92","26.48"
"2012","AkademikerIn","20.13","14.5","2143","19.39","20.87"
"2012","Hauptschule","18.26","11.5","1453","17.35","19.17"
"2012","Realschule","15.93","9.5","2487","15.33","16.53"
"2013","(Fach-)Abitur","15.73","9.5","1291","14.87","16.59"
"2013","(noch) kein Abschluss","15.01","10.5","89","12.14","17.88"
"2013","AkademikerIn","18.2","13.5","2278","17.53","18.87"
"2013","Hauptschule","16.68","11.5","1669","15.93","17.43"
"2013","Realschule","15.51","9.5","2462","14.92","16.1"
"2014","(Fach-)Abitur","15.02","9.5","1192","14.19","15.85"
"2014","(noch) kein Abschluss","14.69","9.5","66","11.21","18.17"
"2014","AkademikerIn","18.31","11.5","2083","17.6","19.02"
"2014","Hauptschule","16.28","9.5","1445","15.5","17.06"
"2014","Realschule","15.25","9.5","2203","14.65","15.85"
"2015","(Fach-)Abitur","15.1","9.5","1178","14.23","15.97"
"2015","(noch) kein Abschluss","12.69","9","66","9.5","15.88"
"2015","AkademikerIn","18.11","14.5","2191","17.42","18.8"
"2015","Hauptschule","17.08","11.5","1399","16.26","17.9"
"2015","Realschule","15.45","9.5","2147","14.86","16.04"
"2016","(Fach-)Abitur","14.8","9.5","1186","13.92","15.68"
"2016","(noch) kein Abschluss","16.01","13.5","66","13.03","18.99"
"2016","AkademikerIn","16.87","11.5","2048","16.19","17.55"
"2016","Hauptschule","16.71","11.5","1293","15.86","17.56"
"2016","Realschule","14.09","9.5","2011","13.51","14.67"
"2017","(Fach-)Abitur","14.72","9.5","1245","13.91","15.53"
"2017","(noch) kein Abschluss","16.23","9.5","74","12.64","19.82"
"2017","AkademikerIn","16.73","11.5","2257","16.09","17.37"
"2017","Hauptschule","17.52","11.5","1292","16.69","18.35"
"2017","Realschule","15.34","9.5","2218","14.77","15.91"
"2018","(Fach-)Abitur","15.2","9.5","1286","14.41","15.99"
"2018","(noch) kein Abschluss","18.17","9.5","88","14.52","21.82"
"2018","AkademikerIn","16.5","9.5","2241","15.84","17.16"
"2018","Hauptschule","16.61","11.5","1299","15.77","17.45"
"2018","Realschule","14.85","9.5","2192","14.28","15.42"
"2019","(Fach-)Abitur","14.57","9.5","1216","13.75","15.39"
"2019","(noch) kein Abschluss","17.32","9.5","95","14.34","20.3"
"2019","AkademikerIn","16.91","11.5","2228","16.22","17.6"
"2019","Hauptschule","16","9.5","1108","15.08","16.92"
"2019","Realschule","14.45","9.5","2013","13.84","15.06"
"2020","(Fach-)Abitur","12.98","9.5","1222","12.18","13.78"
"2020","(noch) kein Abschluss","14.65","7.5","101","11.2","18.1"
"2020","AkademikerIn","15.24","9.5","2153","14.62","15.86"
"2020","Hauptschule","15.29","9.5","966","14.36","16.22"
"2020","Realschule","13.6","9.5","1738","12.96","14.24"
