"year","age_gr","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","35-65","weiblich","14.47","9.5","1368","13.76","15.18"
"2005","66 +","maennlich","","","","",""
"2005","66 +","weiblich","","","","",""
"2006","17-34","maennlich","20.38","14.5","742","19.04","21.72"
"2006","17-34","weiblich","14.73","9.5","698","13.65","15.81"
"2006","35-65","maennlich","21.72","15.5","2262","20.95","22.49"
"2006","35-65","weiblich","15.33","9.5","1660","14.66","16"
"2006","66 +","maennlich","","","","",""
"2006","66 +","weiblich","","","","",""
"2007","17-34","maennlich","21.3","14.5","730","19.85","22.75"
"2007","17-34","weiblich","15.61","9.5","619","14.47","16.75"
"2007","35-65","maennlich","22.44","15.5","2165","21.63","23.25"
"2007","35-65","weiblich","15.4","9.5","1565","14.69","16.11"
"2007","66 +","maennlich","","","","",""
"2007","66 +","weiblich","","","","",""
"2008","17-34","maennlich","20.22","14.5","686","18.83","21.61"
"2008","17-34","weiblich","14.69","9.5","633","13.53","15.85"
"2008","35-65","maennlich","21.62","15.5","2026","20.82","22.42"
"2008","35-65","weiblich","14.94","9.5","1553","14.25","15.63"
"2008","66 +","maennlich","","","","",""
"2008","66 +","weiblich","","","","",""
"2009","17-34","maennlich","19.22","14.5","558","17.89","20.55"
"2009","17-34","weiblich","15.95","9.5","569","14.68","17.22"
"2009","35-65","maennlich","21.63","14.5","1731","20.73","22.53"
"2009","35-65","weiblich","15.57","9.5","1372","14.78","16.36"
"2009","66 +","maennlich","","","","",""
"2009","66 +","weiblich","","","","",""
"2010","17-34","maennlich","19.97","14.5","908","18.77","21.17"
"2010","17-34","weiblich","15.35","9.5","700","14.39","16.31"
"2010","35-65","maennlich","21.26","14.5","2270","20.48","22.04"
"2010","35-65","weiblich","15.38","9.5","1829","14.7","16.06"
"2010","66 +","maennlich","","","","",""
"2010","66 +","weiblich","","","","",""
"2011","17-34","maennlich","19.49","14.5","999","18.35","20.63"
"2011","17-34","weiblich","15.01","9.5","882","14.08","15.94"
"2011","35-65","maennlich","21.9","15.5","3056","21.24","22.56"
"2011","35-65","weiblich","15.79","9.5","2497","15.25","16.33"
"2011","66 +","maennlich","","","","",""
"2011","66 +","weiblich","","","","",""
"2012","17-34","maennlich","18.5","14.5","944","17.38","19.62"
"2012","17-34","weiblich","14.47","9.5","853","13.5","15.44"
"2012","35-65","maennlich","20.39","14.5","2970","19.73","21.05"
"2012","35-65","weiblich","14.5","9.5","2591","13.98","15.02"
"2012","66 +","maennlich","","","","",""
"2012","66 +","weiblich","","","","",""
"2013","17-34","maennlich","17.18","10.5","1082","16.2","18.16"
"2013","17-34","weiblich","13.98","9.5","991","13.12","14.84"
"2013","35-65","maennlich","19","14.5","3139","18.39","19.61"
"2013","35-65","weiblich","13.94","9.5","2710","13.47","14.41"
"2013","66 +","maennlich","","","","",""
"2013","66 +","weiblich","","","","",""
"2014","17-34","maennlich","17.13","9.5","958","16.07","18.19"
"2014","17-34","weiblich","12.86","9.5","854","12.03","13.69"
"2014","35-65","maennlich","19.09","14.5","2826","18.47","19.71"
"2014","35-65","weiblich","13.74","9.5","2495","13.23","14.25"
"2014","66 +","maennlich","","","","",""
"2014","66 +","weiblich","","","","",""
"2015","17-34","maennlich","18.79","14.5","934","17.71","19.87"
"2015","17-34","weiblich","13.52","9.5","846","12.67","14.37"
"2015","35-65","maennlich","18.83","14.5","2782","18.19","19.47"
"2015","35-65","weiblich","13.54","9.5","2583","13.07","14.01"
"2015","66 +","maennlich","","","","",""
"2015","66 +","weiblich","","","","",""
"2016","17-34","maennlich","15.5","9.5","833","14.48","16.52"
"2016","17-34","weiblich","12.46","9.5","765","11.62","13.3"
"2016","35-65","maennlich","18.28","13.5","2597","17.61","18.95"
"2016","35-65","weiblich","13.47","9.5","2552","12.99","13.95"
"2016","66 +","maennlich","","","","",""
"2016","66 +","weiblich","","","","",""
"2017","17-34","maennlich","16.85","11.5","952","15.88","17.82"
"2017","17-34","weiblich","13.25","9.5","840","12.44","14.06"
"2017","35-65","maennlich","18.82","14.5","2759","18.19","19.45"
"2017","35-65","weiblich","13.57","9.5","2682","13.11","14.03"
"2017","66 +","maennlich","","","","",""
"2017","66 +","weiblich","","","","",""
"2018","17-34","maennlich","16.55","9.5","1040","15.6","17.5"
"2018","17-34","weiblich","12.16","9.5","835","11.26","13.06"
"2018","35-65","maennlich","18.47","14.5","2717","17.85","19.09"
"2018","35-65","weiblich","13.36","9.5","2711","12.88","13.84"
"2018","66 +","maennlich","","","","",""
"2018","66 +","weiblich","","","","",""
"2019","17-34","maennlich","15.33","9.5","927","14.35","16.31"
"2019","17-34","weiblich","13.74","9.5","735","12.82","14.66"
"2019","35-65","maennlich","17.82","11.5","2539","17.16","18.48"
"2019","35-65","weiblich","13.75","9.5","2601","13.23","14.27"
"2019","66 +","maennlich","13.31","9","32","5.83","20.79"
"2019","66 +","weiblich","","","","",""
"2020","17-34","maennlich","15.01","9.5","945","14.01","16.01"
"2020","17-34","weiblich","12.06","9.5","768","11.08","13.04"
"2020","35-65","maennlich","16.09","9.5","2314","15.46","16.72"
"2020","35-65","weiblich","12.51","9.5","2313","12.01","13.01"
"2020","66 +","maennlich","","","","",""
"2020","66 +","weiblich","","","","",""
