"year","age_gr","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2001","66 +","31.17","11.5","5","3","20","44","80","80","-4.92","67.26","3","80","",""
"2002","17-34","","","","","","","","","","","","","",""
"2002","35-65","19.16","14.5","3864","5","8","24","40","90","18.59","19.73","1","99","15","15"
"2002","66 +","15.37","7.5","6","5","10","30","30","30","3.1","27.64","5","30","",""
"2003","17-34","","","","","","","","","","","","","",""
"2003","35-65","18.66","14.5","3673","4","8","22","40","90","18.09","19.23","1","99","13","15"
"2003","66 +","","","","","","","","","","","","","",""
"2004","17-34","","","","","","","","","","","","","",""
"2004","35-65","18.67","14.5","3657","5","8","20","40","90","18.11","19.23","1","99","14","15"
"2004","66 +","16.63","7","7","10","10","30","35","35","5.89","27.37","4","35","",""
"2005","17-34","","","","","","","","","","","","","",""
"2005","35-65","19.12","12.5","3388","5","8","24","40","95","18.52","19.72","1","99","12","15"
"2005","66 +","16.41","11","8","10","10","18","40","40","7.81","25.01","10","40","",""
"2006","17-34","","","","","","","","","","","","","",""
"2006","35-65","19.16","14.5","3922","5","8","24","40","80","18.62","19.7","1","99","14","15"
"2006","66 +","","","","","","","","","","","","","",""
"2007","17-34","","","","","","","","","","","","","",""
"2007","35-65","19.63","14.5","3730","4","8","25","40","90","19.06","20.2","1","99","14","15"
"2007","66 +","","","","","","","","","","","","","",""
"2008","17-34","","","","","","","","","","","","","",""
"2008","35-65","18.93","13.5","3579","5","8","21","40","90","18.38","19.48","1","99","12","15"
"2008","66 +","","","","","","","","","","","","","",""
"2009","17-34","","","","","","","","","","","","","",""
"2009","35-65","19.13","14.5","3103","5","8","22","40","90","18.51","19.75","1","99","13","15"
"2009","66 +","","","","","","","","","","","","","",""
"2010","17-34","","","","","","","","","","","","","",""
"2010","35-65","18.69","11.5","4099","4","8","20","40","99","18.15","19.23","1","99","12","15"
"2010","66 +","","","","","","","","","","","","","",""
"2011","17-34","","","","","","","","","","","","","",""
"2011","35-65","19.29","14.5","5553","5","8","24","40","80","18.84","19.74","1","99","13","15"
"2011","66 +","","","","","","","","","","","","","",""
"2012","17-34","","","","","","","","","","","","","",""
"2012","35-65","17.88","11.5","5561","4","8","20","40","85","17.44","18.32","1","99","12","13"
"2012","66 +","","","","","","","","","","","","","",""
"2013","17-34","","","","","","","","","","","","","",""
"2013","35-65","16.82","11.5","5849","4","7","20","38","80","16.42","17.22","1","99","12","12"
"2013","66 +","","","","","","","","","","","","","",""
"2014","17-34","","","","","","","","","","","","","",""
"2014","35-65","16.76","11.5","5321","4","7","20","36","80","16.35","17.17","1","99","10","12"
"2014","66 +","","","","","","","","","","","","","",""
"2015","17-34","","","","","","","","","","","","","",""
"2015","35-65","16.43","9.5","5365","4","7","20","35","80","16.02","16.84","1","99","10","12"
"2015","66 +","","","","","","","","","","","","","",""
"2016","17-34","","","","","","","","","","","","","",""
"2016","35-65","16.08","9.5","5149","4","6","20","35","80","15.66","16.5","1","200","10","12"
"2016","66 +","19.67","15.5","33","2","5","30","40","60","14.43","24.91","2","60","9","25"
"2017","17-34","","","","","","","","","","","","","",""
"2017","35-65","16.44","9.5","5441","4","7","20","35","80","16.04","16.84","1","120","10","12"
"2017","66 +","13.33","9","33","1","5","20","30","40","9.93","16.73","1","40","8","12"
"2018","17-34","","","","","","","","","","","","","",""
"2018","35-65","16.17","10.5","5428","4","6","20","33","80","15.77","16.57","1","140","10","11"
"2018","66 +","13.6","8.5","34","3","5","20","30","40","9.9","17.3","1","40","5","15"
"2019","17-34","","","","","","","","","","","","","",""
"2019","35-65","15.92","9.5","5141","4","6","20","34","80","15.5","16.34","1","99","10","11"
"2019","66 +","12.05","9","53","4","5","15","20","40","7.29","16.81","2","99","8","15"
"2020","17-34","","","","","","","","","","","","","",""
"2020","35-65","14.44","9.5","4627","4","6","20","30","80","14.03","14.85","1","125","10","10"
"2020","66 +","19.68","15.5","44","3","6","25","40","70","15.33","24.03","1","70","10","16"
