,Unnamed: 0,year,quintil_oecd_hh,rentown,hlf0613,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
45,45,2018,2nd Quintile,Owner,No,0.41915,443,17687,0.38075,0.4636
46,46,2018,2nd Quintile,Tenant,Yes,0.58847,1445,17687,0.55623,0.6202
47,47,2018,2nd Quintile,Tenant,No,0.41153,976,17687,0.38705,0.44506
48,48,2018,3rd Quintile,Owner,Yes,0.63796,967,17687,0.59578,0.67849
49,49,2018,3rd Quintile,Owner,No,0.36204,418,17687,0.3214,0.39841
50,50,2018,3rd Quintile,Tenant,Yes,0.67658,1118,17687,0.63634,0.72375
51,51,2018,3rd Quintile,Tenant,No,0.32342,462,17687,0.28683,0.35606
52,52,2018,4th Quintile,Owner,Yes,0.71745,1283,17687,0.68369,0.76024
53,53,2018,4th Quintile,Owner,No,0.28255,420,17687,0.2534,0.30779
54,54,2018,4th Quintile,Tenant,Yes,0.7489,899,17687,0.69742,0.79847
55,55,2018,4th Quintile,Tenant,No,0.2511,281,17687,0.22807,0.28312
56,56,2018,5th Quintile,Owner,Yes,0.82838,1823,17687,0.78501,0.87132
57,57,2018,5th Quintile,Owner,No,0.17162,348,17687,0.15467,0.19134
58,58,2018,5th Quintile,Tenant,Yes,0.82297,697,17687,0.75801,0.88071
59,59,2018,5th Quintile,Tenant,No,0.17703,147,17687,0.15398,0.20374
60,60,2019,1st Quintile,Owner,Yes,0.52185,211,16121,0.44979,0.60097
61,61,2019,1st Quintile,Owner,No,0.47815,166,16121,0.40641,0.55553
62,62,2019,1st Quintile,Tenant,Yes,0.51965,1388,16121,0.48641,0.55016
63,63,2019,1st Quintile,Tenant,No,0.48035,1160,16121,0.44396,0.50672
64,64,2019,2nd Quintile,Owner,Yes,0.58499,636,16121,0.53843,0.63569
65,65,2019,2nd Quintile,Owner,No,0.41501,377,16121,0.36922,0.46807
66,66,2019,2nd Quintile,Tenant,Yes,0.61056,1285,16121,0.57856,0.64936
67,67,2019,2nd Quintile,Tenant,No,0.38944,695,16121,0.35972,0.42103
68,68,2019,3rd Quintile,Owner,Yes,0.67983,1028,16121,0.63177,0.72558
69,69,2019,3rd Quintile,Owner,No,0.32017,403,16121,0.2892,0.35491
70,70,2019,3rd Quintile,Tenant,Yes,0.70581,1083,16121,0.66353,0.75377
71,71,2019,3rd Quintile,Tenant,No,0.29419,399,16121,0.26517,0.32374
72,72,2019,4th Quintile,Owner,Yes,0.72924,1388,16121,0.68076,0.7826
73,73,2019,4th Quintile,Owner,No,0.27076,406,16121,0.24583,0.29919
74,74,2019,4th Quintile,Tenant,Yes,0.75635,926,16121,0.70457,0.82062
75,75,2019,4th Quintile,Tenant,No,0.24365,242,16121,0.21068,0.27514
76,76,2019,5th Quintile,Owner,Yes,0.80849,2733,16121,0.76145,0.86731
77,77,2019,5th Quintile,Owner,No,0.19151,523,16121,0.17167,0.21326
78,78,2019,5th Quintile,Tenant,Yes,0.81465,898,16121,0.74871,0.88282
79,79,2019,5th Quintile,Tenant,No,0.18535,174,16121,0.15265,0.2206
80,80,2021,1st Quintile,Owner,Yes,0.31345,90,12486,0.24582,0.39392
81,81,2021,1st Quintile,Owner,No,0.68655,177,12486,0.58701,0.81038
82,82,2021,1st Quintile,Tenant,Yes,0.38272,1157,12486,0.35086,0.42287
83,83,2021,1st Quintile,Tenant,No,0.61728,1853,12486,0.57799,0.66905
84,84,2021,2nd Quintile,Owner,Yes,0.41475,326,12486,0.37218,0.47032
85,85,2021,2nd Quintile,Owner,No,0.58525,377,12486,0.51256,0.65958
86,86,2021,2nd Quintile,Tenant,Yes,0.48635,792,12486,0.44606,0.53453
87,87,2021,2nd Quintile,Tenant,No,0.51365,875,12486,0.47224,0.55825
88,88,2021,3rd Quintile,Owner,Yes,0.48797,511,12486,0.44139,0.54202
89,89,2021,3rd Quintile,Owner,No,0.51203,413,12486,0.45441,0.57065
90,90,2021,3rd Quintile,Tenant,Yes,0.57439,647,12486,0.52377,0.62963
91,91,2021,3rd Quintile,Tenant,No,0.42561,478,12486,0.37826,0.47625
92,92,2021,4th Quintile,Owner,Yes,0.53853,708,12486,0.49448,0.5919
93,93,2021,4th Quintile,Owner,No,0.46147,502,12486,0.41874,0.50591
94,94,2021,4th Quintile,Tenant,Yes,0.57904,541,12486,0.5271,0.63577
95,95,2021,4th Quintile,Tenant,No,0.42096,354,12486,0.36951,0.47476
96,96,2021,5th Quintile,Owner,Yes,0.61428,1310,12486,0.56984,0.66453
97,97,2021,5th Quintile,Owner,No,0.38572,668,12486,0.34993,0.42881
98,98,2021,5th Quintile,Tenant,Yes,0.68284,489,12486,0.60314,0.75583
99,99,2021,5th Quintile,Tenant,No,0.31716,218,12486,0.27244,0.37625
