year,bula_h,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Lower Saxony,No,0.96739,1427,1480,0.95834,0.97645
2012,Bremen,No,0.97000,122,122,0.93961,1.00040
2012,North Rhine-Westphalia,Yes,0.02213,90,3203,0.01703,0.02722
2012,North Rhine-Westphalia,No,0.97787,3113,3203,0.97278,0.98297
2012,Hesse,No,0.98945,1111,1111,0.98344,0.99546
2012,"Rhineland-Palatinate, Saarland",Yes,0.03818,38,928,0.02585,0.05052
2012,"Rhineland-Palatinate, Saarland",No,0.96182,890,928,0.94948,0.97415
2012,Baden-Wuerttemberg,Yes,0.04006,105,1900,0.03124,0.04888
2012,Baden-Wuerttemberg,No,0.95994,1795,1900,0.95112,0.96876
2012,Bavaria,Yes,0.03387,110,2525,0.02681,0.04092
2012,Bavaria,No,0.96613,2415,2525,0.95908,0.97319
2012,Berlin,No,0.99470,692,692,0.98928,1.00011
2012,Brandenburg,No,0.98367,649,649,0.97392,0.99343
2012,Mecklenburg-Western Pomerania,No,0.98092,393,393,0.96737,0.99446
2012,Saxony,Yes,0.02949,37,1073,0.01937,0.03962
2012,Saxony,No,0.97051,1036,1073,0.96038,0.98063
2012,Saxony-Anhalt,No,0.98443,608,608,0.97458,0.99428
2012,Thuringa,No,0.96677,628,628,0.95274,0.98080
2013,Schleswig-Holstein,No,0.97461,634,634,0.96235,0.98686
2013,Lower Saxony,Yes,0.02716,53,1628,0.01926,0.03506
2013,Lower Saxony,No,0.97284,1575,1628,0.96494,0.98074
2013,Bremen,No,0.99865,144,144,0.99263,1.00467
2013,North Rhine-Westphalia,Yes,0.02375,99,3661,0.01882,0.02869
2013,North Rhine-Westphalia,No,0.97625,3562,3661,0.97131,0.98118
2013,Hesse,Yes,0.02048,35,1307,0.01280,0.02816
2013,Hesse,No,0.97952,1272,1307,0.97184,0.98720
2013,"Rhineland-Palatinate, Saarland",Yes,0.04103,54,1035,0.02894,0.05312
2013,"Rhineland-Palatinate, Saarland",No,0.95897,981,1035,0.94688,0.97106
2013,Baden-Wuerttemberg,Yes,0.04126,119,2133,0.03282,0.04970
2013,Baden-Wuerttemberg,No,0.95874,2014,2133,0.95030,0.96718
2013,Bavaria,Yes,0.03247,104,2845,0.02596,0.03899
2013,Bavaria,No,0.96753,2741,2845,0.96101,0.97404
2013,Berlin,No,0.99920,768,768,0.99720,1.00120
2013,Brandenburg,No,0.98533,658,658,0.97614,0.99452
2013,Mecklenburg-Western Pomerania,No,0.98491,375,375,0.97255,0.99726
2013,Saxony,Yes,0.03548,35,1048,0.02428,0.04669
2013,Saxony,No,0.96452,1013,1048,0.95331,0.97572
2013,Saxony-Anhalt,No,0.97723,618,618,0.96545,0.98900
2013,Thuringa,No,0.97500,600,600,0.96250,0.98751
2014,Schleswig-Holstein,No,0.99260,554,554,0.98545,0.99974
2014,Hamburg,No,0.97386,268,268,0.95472,0.99300
2014,Lower Saxony,Yes,0.04694,70,1466,0.03611,0.05777
2014,Lower Saxony,No,0.95306,1396,1466,0.94223,0.96389
2014,Bremen,No,0.99829,123,123,0.99096,1.00562
2014,North Rhine-Westphalia,Yes,0.02696,107,3225,0.02137,0.03256
2014,North Rhine-Westphalia,No,0.97304,3118,3225,0.96744,0.97863
2014,Hesse,Yes,0.01885,42,1112,0.01085,0.02684
2014,Hesse,No,0.98115,1070,1112,0.97316,0.98915
2014,"Rhineland-Palatinate, Saarland",Yes,0.05072,51,920,0.03654,0.06491
2014,"Rhineland-Palatinate, Saarland",No,0.94928,869,920,0.93509,0.96346
2014,Baden-Wuerttemberg,Yes,0.05695,105,1825,0.04632,0.06759
2014,Baden-Wuerttemberg,No,0.94305,1720,1825,0.93241,0.95368
2014,Bavaria,Yes,0.03902,118,2550,0.03150,0.04653
2014,Bavaria,No,0.96098,2432,2550,0.95347,0.96850
2014,Berlin,No,0.99415,648,648,0.98828,1.00003
2014,Brandenburg,No,0.98126,602,602,0.97041,0.99210
2014,Mecklenburg-Western Pomerania,No,0.98349,346,346,0.97005,0.99694
2014,Saxony,Yes,0.03666,34,952,0.02472,0.04861
2014,Saxony,No,0.96334,918,952,0.95139,0.97528
2014,Saxony-Anhalt,No,0.97921,569,569,0.96748,0.99094
2014,Thuringa,No,0.96945,579,579,0.95542,0.98348
2015,Schleswig-Holstein,No,0.98366,536,536,0.97292,0.99440
2015,Hamburg,No,0.97138,279,279,0.95178,0.99098
2015,Lower Saxony,Yes,0.04872,72,1493,0.03779,0.05964
2015,Lower Saxony,No,0.95128,1421,1493,0.94036,0.96221
2015,Bremen,No,0.99531,115,115,0.98276,1.00785
2015,North Rhine-Westphalia,Yes,0.02285,91,3202,0.01767,0.02802
2015,North Rhine-Westphalia,No,0.97715,3111,3202,0.97198,0.98233
2015,Hesse,Yes,0.01584,37,1126,0.00854,0.02313
2015,Hesse,No,0.98416,1089,1126,0.97687,0.99146
2015,"Rhineland-Palatinate, Saarland",Yes,0.04453,55,920,0.03119,0.05786
2015,"Rhineland-Palatinate, Saarland",No,0.95547,865,920,0.94214,0.96881
2015,Baden-Wuerttemberg,Yes,0.03618,91,1825,0.02761,0.04475
2015,Baden-Wuerttemberg,No,0.96382,1734,1825,0.95525,0.97239
2015,Bavaria,Yes,0.03952,108,2583,0.03201,0.04704
2015,Bavaria,No,0.96048,2475,2583,0.95296,0.96799
2015,Berlin,No,0.99726,644,644,0.99322,1.00130
2015,Brandenburg,No,0.97880,585,585,0.96712,0.99048
2015,Mecklenburg-Western Pomerania,No,0.98335,345,345,0.96983,0.99687
2015,Saxony,Yes,0.03789,39,914,0.02551,0.05028
2015,Saxony,No,0.96211,875,914,0.94972,0.97449
2015,Saxony-Anhalt,No,0.97334,528,528,0.95958,0.98709
2015,Thuringa,No,0.96865,567,567,0.95430,0.98301
2016,Schleswig-Holstein,No,0.97433,488,488,0.96028,0.98838
2016,Hamburg,No,0.98363,262,262,0.96823,0.99902
2016,Lower Saxony,Yes,0.04306,57,1346,0.03221,0.05391
2016,Lower Saxony,No,0.95694,1289,1346,0.94609,0.96779
2016,Bremen,No,0.99520,103,103,0.98179,1.00861
2016,North Rhine-Westphalia,Yes,0.02540,93,2906,0.01968,0.03112
2016,North Rhine-Westphalia,No,0.97460,2813,2906,0.96888,0.98032
2016,Hesse,No,0.98864,954,954,0.98191,0.99537
2016,"Rhineland-Palatinate, Saarland",Yes,0.04896,50,846,0.03441,0.06351
2016,"Rhineland-Palatinate, Saarland",No,0.95104,796,846,0.93649,0.96559
2016,Baden-Wuerttemberg,Yes,0.05500,100,1623,0.04390,0.06609
2016,Baden-Wuerttemberg,No,0.94500,1523,1623,0.93391,0.95610
2016,Bavaria,Yes,0.03868,100,2298,0.03080,0.04657
2016,Bavaria,No,0.96132,2198,2298,0.95343,0.96920
2016,Berlin,No,0.99706,607,607,0.99275,1.00137
2016,Brandenburg,No,0.95627,537,537,0.93896,0.97358
2016,Mecklenburg-Western Pomerania,No,0.98917,324,324,0.97789,1.00046
2016,Saxony,Yes,0.04945,38,864,0.03499,0.06392
2016,Saxony,No,0.95055,826,864,0.93608,0.96501
2016,Saxony-Anhalt,No,0.97346,499,499,0.95934,0.98757
2016,Thuringa,No,0.98591,536,536,0.97593,0.99590
2017,Schleswig-Holstein,No,0.96846,542,542,0.95373,0.98319
2017,Hamburg,No,0.98784,295,295,0.97531,1.00037
2017,Lower Saxony,Yes,0.05062,74,1538,0.03966,0.06158
2017,Lower Saxony,No,0.94938,1464,1538,0.93842,0.96034
2017,Bremen,No,0.97938,124,124,0.95427,1.00450
2017,North Rhine-Westphalia,Yes,0.03486,124,3184,0.02849,0.04123
2017,North Rhine-Westphalia,No,0.96514,3060,3184,0.95877,0.97151
2017,Hesse,Yes,0.01868,34,1053,0.01050,0.02687
2017,Hesse,No,0.98132,1019,1053,0.97313,0.98950
2017,"Rhineland-Palatinate, Saarland",Yes,0.02228,33,878,0.01251,0.03204
2017,"Rhineland-Palatinate, Saarland",No,0.97772,845,878,0.96796,0.98749
2017,Baden-Wuerttemberg,Yes,0.07411,130,1723,0.06174,0.08648
2017,Baden-Wuerttemberg,No,0.92589,1593,1723,0.91352,0.93826
2017,Bavaria,Yes,0.03892,128,2500,0.03134,0.04650
2017,Bavaria,No,0.96108,2372,2500,0.95350,0.96866
2017,Berlin,No,0.98880,647,647,0.98069,0.99692
2017,Brandenburg,No,0.97706,596,596,0.96503,0.98909
2017,Mecklenburg-Western Pomerania,No,0.98617,357,357,0.97404,0.99830
2017,Saxony,Yes,0.04043,39,984,0.02812,0.05275
2017,Saxony,No,0.95957,945,984,0.94725,0.97188
2017,Saxony-Anhalt,No,0.97524,550,550,0.96224,0.98824
2017,Thuringa,No,0.97373,577,577,0.96067,0.98679
2018,Schleswig-Holstein,No,0.95488,531,531,0.93721,0.97255
2018,Hamburg,No,0.99383,321,321,0.98525,1.00241
2018,Lower Saxony,Yes,0.05547,82,1477,0.04379,0.06714
2018,Lower Saxony,No,0.94453,1395,1477,0.93286,0.95621
2018,Bremen,No,0.98231,127,127,0.95929,1.00533
2018,North Rhine-Westphalia,Yes,0.03221,119,3177,0.02607,0.03835
2018,North Rhine-Westphalia,No,0.96779,3058,3177,0.96165,0.97393
2018,Hesse,Yes,0.02609,33,1004,0.01623,0.03596
2018,Hesse,No,0.97391,971,1004,0.96404,0.98377
2018,"Rhineland-Palatinate, Saarland",No,0.96536,852,852,0.95308,0.97765
2018,Baden-Wuerttemberg,Yes,0.07038,122,1621,0.05792,0.08284
2018,Baden-Wuerttemberg,No,0.92962,1499,1621,0.91716,0.94208
2018,Bavaria,Yes,0.04071,115,2406,0.03282,0.04861
2018,Bavaria,No,0.95929,2291,2406,0.95139,0.96718
2018,Berlin,No,0.99138,682,682,0.98444,0.99832
2018,Brandenburg,No,0.96108,619,619,0.94583,0.97633
2018,Mecklenburg-Western Pomerania,No,0.97825,371,371,0.96339,0.99311
2018,Saxony,Yes,0.04228,37,981,0.02968,0.05488
2018,Saxony,No,0.95772,944,981,0.94512,0.97032
2018,Saxony-Anhalt,No,0.96566,552,552,0.95046,0.98087
2018,Thuringa,No,0.97201,561,561,0.95835,0.98567
2019,Schleswig-Holstein,No,0.94928,426,426,0.92842,0.97014
2019,Hamburg,No,0.99324,270,270,0.98345,1.00303
2019,Lower Saxony,Yes,0.05377,73,1222,0.04112,0.06643
2019,Lower Saxony,No,0.94623,1149,1222,0.93357,0.95888
2019,Bremen,No,0.98425,106,106,0.96043,1.00807
2019,North Rhine-Westphalia,Yes,0.03115,99,2592,0.02446,0.03783
2019,North Rhine-Westphalia,No,0.96885,2493,2592,0.96217,0.97554
2019,Hesse,No,0.97571,780,780,0.96491,0.98652
2019,"Rhineland-Palatinate, Saarland",No,0.96106,688,688,0.94659,0.97553
2019,Baden-Wuerttemberg,Yes,0.05858,100,1312,0.04587,0.07129
2019,Baden-Wuerttemberg,No,0.94142,1212,1312,0.92871,0.95413
2019,Bavaria,Yes,0.04175,103,1948,0.03287,0.05064
2019,Bavaria,No,0.95825,1845,1948,0.94936,0.96713
2019,Berlin,No,0.99098,548,548,0.98306,0.99891
2019,Brandenburg,No,0.96004,533,533,0.94340,0.97669
2019,Mecklenburg-Western Pomerania,No,0.97972,302,302,0.96379,0.99564
2019,Saxony,Yes,0.03912,31,823,0.02587,0.05237
2019,Saxony,No,0.96088,792,823,0.94763,0.97413
2019,Saxony-Anhalt,No,0.96174,442,442,0.94384,0.97965
2019,Thuringa,No,0.96961,458,458,0.95387,0.98535
2020,Schleswig-Holstein,No,0.96854,524,524,0.95357,0.98350
2020,Hamburg,No,0.99552,359,359,0.98861,1.00244
2020,Lower Saxony,Yes,0.03700,56,1480,0.02738,0.04662
2020,Lower Saxony,No,0.96300,1424,1480,0.95338,0.97262
2020,Bremen,No,0.99145,138,138,0.97603,1.00687
2020,North Rhine-Westphalia,Yes,0.03286,132,3380,0.02685,0.03887
2020,North Rhine-Westphalia,No,0.96714,3248,3380,0.96113,0.97315
2020,Hesse,Yes,0.02985,37,1109,0.01983,0.03987
2020,Hesse,No,0.97015,1072,1109,0.96013,0.98017
2020,"Rhineland-Palatinate, Saarland",Yes,0.03258,39,864,0.02073,0.04442
2020,"Rhineland-Palatinate, Saarland",No,0.96742,825,864,0.95558,0.97927
2020,Baden-Wuerttemberg,Yes,0.04495,97,1738,0.03521,0.05470
2020,Baden-Wuerttemberg,No,0.95505,1641,1738,0.94530,0.96479
2020,Bavaria,Yes,0.04340,140,2607,0.03558,0.05122
2020,Bavaria,No,0.95660,2467,2607,0.94878,0.96442
2020,Berlin,No,0.99371,848,848,0.98838,0.99903
2020,Brandenburg,Yes,0.04269,40,674,0.02741,0.05796
2020,Brandenburg,No,0.95731,634,674,0.94204,0.97259
2020,Mecklenburg-Western Pomerania,No,0.97971,326,326,0.96438,0.99504
2020,Saxony,Yes,0.03630,42,972,0.02454,0.04807
2020,Saxony,No,0.96370,930,972,0.95193,0.97546
2020,Saxony-Anhalt,No,0.94048,533,533,0.92038,0.96059
2020,Thuringa,No,0.96839,549,549,0.95374,0.98304
2021,Schleswig-Holstein,No,0.95500,364,364,0.93367,0.97632
2021,Hamburg,No,0.99607,235,235,0.98806,1.00409
2021,Lower Saxony,Yes,0.03955,37,953,0.02717,0.05193
2021,Lower Saxony,No,0.96045,916,953,0.94807,0.97283
2021,Bremen,No,0.99069,64,64,0.96699,1.01440
2021,North Rhine-Westphalia,Yes,0.03691,86,2059,0.02876,0.04505
2021,North Rhine-Westphalia,No,0.96309,1973,2059,0.95495,0.97124
2021,Hesse,No,0.96177,592,592,0.94631,0.97723
2021,"Rhineland-Palatinate, Saarland",No,0.95858,458,458,0.94031,0.97685
2021,Baden-Wuerttemberg,Yes,0.04350,68,1048,0.03115,0.05586
2021,Baden-Wuerttemberg,No,0.95650,980,1048,0.94414,0.96885
2021,Bavaria,Yes,0.03764,86,1568,0.02822,0.04706
2021,Bavaria,No,0.96236,1482,1568,0.95294,0.97178
2021,Berlin,No,0.99278,506,506,0.98539,1.00016
2021,Brandenburg,No,0.95746,375,375,0.93701,0.97791
2021,Mecklenburg-Western Pomerania,No,0.97497,228,228,0.95465,0.99529
2021,Saxony,No,0.95472,650,650,0.93872,0.97071
2021,Saxony-Anhalt,No,0.93786,315,315,0.91116,0.96457
2021,Thuringa,No,0.95975,340,340,0.93883,0.98067
2022,Schleswig-Holstein,Yes,0.05006,41,647,0.03325,0.06688
2022,Schleswig-Holstein,No,0.94994,606,647,0.93312,0.96675
2022,Hamburg,No,0.96317,423,423,0.94520,0.98114
2022,Lower Saxony,Yes,0.06038,100,1632,0.04882,0.07193
2022,Lower Saxony,No,0.93962,1532,1632,0.92807,0.95118
2022,Bremen,No,0.98188,137,137,0.95946,1.00430
2022,North Rhine-Westphalia,Yes,0.05742,291,3917,0.05013,0.06471
2022,North Rhine-Westphalia,No,0.94258,3626,3917,0.93529,0.94987
2022,Hesse,Yes,0.05491,81,1249,0.04227,0.06755
2022,Hesse,No,0.94509,1168,1249,0.93245,0.95773
2022,"Rhineland-Palatinate, Saarland",Yes,0.05150,62,894,0.03700,0.06599
2022,"Rhineland-Palatinate, Saarland",No,0.94850,832,894,0.93401,0.96300
2022,Baden-Wuerttemberg,Yes,0.06382,192,2286,0.05380,0.07385
2022,Baden-Wuerttemberg,No,0.93618,2094,2286,0.92615,0.94620
2022,Bavaria,Yes,0.05136,211,3108,0.04360,0.05912
2022,Bavaria,No,0.94864,2897,3108,0.94088,0.95640
2022,Berlin,No,0.99437,1123,1123,0.98999,0.99875
2022,Brandenburg,Yes,0.06151,51,738,0.04416,0.07885
2022,Brandenburg,No,0.93849,687,738,0.92115,0.95584
2022,Mecklenburg-Western Pomerania,No,0.95194,394,394,0.93080,0.97309
2022,Saxony,Yes,0.04817,70,1299,0.03652,0.05982
2022,Saxony,No,0.95183,1229,1299,0.94018,0.96348
2022,Saxony-Anhalt,Yes,0.03708,39,677,0.02283,0.05132
2022,Saxony-Anhalt,No,0.96292,638,677,0.94868,0.97717
2022,Thuringa,Yes,0.03833,32,567,0.02251,0.05415
2022,Thuringa,No,0.96167,535,567,0.94585,0.97749
