year,quintil_oecd_hh,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,2nd Quintile,Owner,No,0.95992,1020,1087,0.94826,0.97159
2015,2nd Quintile,Tenant,No,0.99276,2272,2272,0.98927,0.99624
2015,3rd Quintile,Owner,Yes,0.04204,85,1438,0.03167,0.05242
2015,3rd Quintile,Owner,No,0.95796,1353,1438,0.94758,0.96833
2015,3rd Quintile,Tenant,Yes,0.02074,33,1575,0.01370,0.02778
2015,3rd Quintile,Tenant,No,0.97926,1542,1575,0.97222,0.98630
2015,4th Quintile,Owner,Yes,0.05119,128,1648,0.04054,0.06183
2015,4th Quintile,Owner,No,0.94881,1520,1648,0.93817,0.95946
2015,4th Quintile,Tenant,No,0.97295,1160,1160,0.96361,0.98229
2015,5th Quintile,Owner,Yes,0.06130,159,2073,0.05097,0.07163
2015,5th Quintile,Owner,No,0.93870,1914,2073,0.92837,0.94903
2015,5th Quintile,Tenant,No,0.97611,877,877,0.96600,0.98623
2016,1st Quintile,Owner,No,0.96287,379,379,0.94380,0.98193
2016,1st Quintile,Tenant,No,0.99068,2673,2673,0.98703,0.99432
2016,2nd Quintile,Owner,Yes,0.02830,55,1025,0.01814,0.03845
2016,2nd Quintile,Owner,No,0.97170,970,1025,0.96155,0.98186
2016,2nd Quintile,Tenant,No,0.99145,1991,1991,0.98740,0.99549
2016,3rd Quintile,Owner,Yes,0.05410,92,1341,0.04199,0.06621
2016,3rd Quintile,Owner,No,0.94590,1249,1341,0.93379,0.95801
2016,3rd Quintile,Tenant,No,0.99512,1383,1383,0.99145,0.99879
2016,4th Quintile,Owner,Yes,0.06542,128,1561,0.05315,0.07769
2016,4th Quintile,Owner,No,0.93458,1433,1561,0.92231,0.94685
2016,4th Quintile,Tenant,No,0.97823,1077,1077,0.96951,0.98695
2016,5th Quintile,Owner,Yes,0.07823,147,1977,0.06639,0.09007
2016,5th Quintile,Owner,No,0.92177,1830,1977,0.90993,0.93361
2016,5th Quintile,Tenant,No,0.98900,764,764,0.98160,0.99640
2017,1st Quintile,Owner,No,0.94855,369,369,0.92598,0.97112
2017,1st Quintile,Tenant,No,0.99093,2787,2787,0.98742,0.99445
2017,2nd Quintile,Owner,Yes,0.03762,49,1099,0.02636,0.04887
2017,2nd Quintile,Owner,No,0.96238,1050,1099,0.95113,0.97364
2017,2nd Quintile,Tenant,Yes,0.01239,32,2130,0.00769,0.01709
2017,2nd Quintile,Tenant,No,0.98761,2098,2130,0.98291,0.99231
2017,3rd Quintile,Owner,Yes,0.05726,104,1531,0.04562,0.06890
2017,3rd Quintile,Owner,No,0.94274,1427,1531,0.93110,0.95438
2017,3rd Quintile,Tenant,Yes,0.01835,35,1555,0.01168,0.02503
2017,3rd Quintile,Tenant,No,0.98165,1520,1555,0.97497,0.98832
2017,4th Quintile,Owner,Yes,0.05855,152,1796,0.04769,0.06941
2017,4th Quintile,Owner,No,0.94145,1644,1796,0.93059,0.95231
2017,4th Quintile,Tenant,No,0.97182,1218,1218,0.96252,0.98112
2017,5th Quintile,Owner,Yes,0.07954,201,2243,0.06834,0.09074
2017,5th Quintile,Owner,No,0.92046,2042,2243,0.90926,0.93166
2017,5th Quintile,Tenant,No,0.97637,827,827,0.96601,0.98673
2018,1st Quintile,Owner,No,0.96163,365,365,0.94190,0.98136
2018,1st Quintile,Tenant,No,0.98568,2895,2895,0.98135,0.99001
2018,2nd Quintile,Owner,Yes,0.04244,57,1086,0.03045,0.05444
2018,2nd Quintile,Owner,No,0.95756,1029,1086,0.94556,0.96955
2018,2nd Quintile,Tenant,No,0.98975,2182,2182,0.98552,0.99397
2018,3rd Quintile,Owner,Yes,0.05799,96,1402,0.04575,0.07023
2018,3rd Quintile,Owner,No,0.94201,1306,1402,0.92977,0.95425
2018,3rd Quintile,Tenant,Yes,0.01625,31,1536,0.00993,0.02258
2018,3rd Quintile,Tenant,No,0.98375,1505,1536,0.97742,0.99007
2018,4th Quintile,Owner,Yes,0.06749,138,1710,0.05560,0.07939
2018,4th Quintile,Owner,No,0.93251,1572,1710,0.92061,0.94440
2018,4th Quintile,Tenant,No,0.98153,1140,1140,0.97371,0.98935
2018,5th Quintile,Owner,Yes,0.08681,208,2168,0.07495,0.09866
2018,5th Quintile,Owner,No,0.91319,1960,2168,0.90134,0.92505
2018,5th Quintile,Tenant,No,0.97093,815,815,0.95939,0.98247
2019,1st Quintile,Owner,No,0.95157,318,318,0.92794,0.97520
2019,1st Quintile,Tenant,No,0.98977,2074,2074,0.98544,0.99410
2019,2nd Quintile,Owner,Yes,0.04767,57,926,0.03394,0.06140
2019,2nd Quintile,Owner,No,0.95233,869,926,0.93860,0.96606
2019,2nd Quintile,Tenant,No,0.98100,1664,1664,0.97444,0.98756
2019,3rd Quintile,Owner,Yes,0.03912,71,1250,0.02837,0.04987
2019,3rd Quintile,Owner,No,0.96088,1179,1250,0.95013,0.97163
2019,3rd Quintile,Tenant,No,0.99027,1238,1238,0.98479,0.99574
2019,4th Quintile,Owner,Yes,0.06381,123,1521,0.05152,0.07609
2019,4th Quintile,Owner,No,0.93619,1398,1521,0.92391,0.94848
2019,4th Quintile,Tenant,No,0.97034,914,914,0.95933,0.98134
2019,5th Quintile,Owner,Yes,0.08194,187,1907,0.06963,0.09426
2019,5th Quintile,Owner,No,0.91806,1720,1907,0.90574,0.93037
2019,5th Quintile,Tenant,No,0.97779,667,667,0.96659,0.98898
2020,1st Quintile,Owner,No,0.94636,299,299,0.92078,0.97194
2020,1st Quintile,Tenant,Yes,0.01234,36,3101,0.00845,0.01622
2020,1st Quintile,Tenant,No,0.98766,3065,3101,0.98378,0.99155
2020,2nd Quintile,Owner,Yes,0.03992,49,984,0.02768,0.05216
2020,2nd Quintile,Owner,No,0.96008,935,984,0.94784,0.97232
2020,2nd Quintile,Tenant,Yes,0.02377,33,2336,0.01759,0.02995
2020,2nd Quintile,Tenant,No,0.97623,2303,2336,0.97005,0.98241
2020,3rd Quintile,Owner,Yes,0.04031,66,1298,0.02961,0.05101
2020,3rd Quintile,Owner,No,0.95969,1232,1298,0.94899,0.97039
2020,3rd Quintile,Tenant,Yes,0.02129,32,1571,0.01415,0.02843
2020,3rd Quintile,Tenant,No,0.97871,1539,1571,0.97157,0.98585
2020,4th Quintile,Owner,Yes,0.06564,143,1616,0.05356,0.07772
2020,4th Quintile,Owner,No,0.93436,1473,1616,0.92228,0.94644
2020,4th Quintile,Tenant,No,0.98203,1215,1215,0.97456,0.98950
2020,5th Quintile,Owner,Yes,0.05851,254,2720,0.04969,0.06733
2020,5th Quintile,Owner,No,0.94149,2466,2720,0.93267,0.95031
2020,5th Quintile,Tenant,No,0.97497,965,965,0.96511,0.98483
2021,1st Quintile,Owner,No,0.95709,238,238,0.93129,0.98289
2021,1st Quintile,Tenant,No,0.98631,1504,1504,0.98044,0.99219
2021,2nd Quintile,Owner,Yes,0.05235,39,644,0.03514,0.06957
2021,2nd Quintile,Owner,No,0.94765,605,644,0.93043,0.96486
2021,2nd Quintile,Tenant,No,0.97515,1308,1308,0.96671,0.98359
2021,3rd Quintile,Owner,Yes,0.05749,59,857,0.04190,0.07308
2021,3rd Quintile,Owner,No,0.94251,798,857,0.92692,0.95810
2021,3rd Quintile,Tenant,No,0.98535,972,972,0.97779,0.99290
2021,4th Quintile,Owner,Yes,0.06817,98,1110,0.05334,0.08301
2021,4th Quintile,Owner,No,0.93183,1012,1110,0.91699,0.94666
2021,4th Quintile,Tenant,No,0.98313,763,763,0.97398,0.99227
2021,5th Quintile,Owner,Yes,0.05240,150,1779,0.04204,0.06276
2021,5th Quintile,Owner,No,0.94760,1629,1779,0.93724,0.95796
2021,5th Quintile,Tenant,No,0.96314,628,628,0.94839,0.97789
2022,Not included in this version of the questionnaire,Tenant,No,0.95090,171,171,0.91841,0.98338
2022,1st Quintile,Owner,Yes,0.06126,93,991,0.04633,0.07620
2022,1st Quintile,Owner,No,0.93874,898,991,0.92380,0.95367
2022,1st Quintile,Tenant,Yes,0.02378,100,3498,0.01873,0.02883
2022,1st Quintile,Tenant,No,0.97622,3398,3498,0.97117,0.98127
2022,2nd Quintile,Owner,Yes,0.05496,87,1106,0.04153,0.06840
2022,2nd Quintile,Owner,No,0.94504,1019,1106,0.93160,0.95847
2022,2nd Quintile,Tenant,Yes,0.01841,79,2739,0.01337,0.02344
2022,2nd Quintile,Tenant,No,0.98159,2660,2739,0.97656,0.98663
2022,3rd Quintile,Owner,Yes,0.05850,148,1403,0.04622,0.07079
2022,3rd Quintile,Owner,No,0.94150,1255,1403,0.92921,0.95378
2022,3rd Quintile,Tenant,Yes,0.03203,75,1982,0.02428,0.03979
2022,3rd Quintile,Tenant,No,0.96797,1907,1982,0.96021,0.97572
2022,4th Quintile,Owner,Yes,0.08341,167,1748,0.07044,0.09638
2022,4th Quintile,Owner,No,0.91659,1581,1748,0.90362,0.92956
2022,4th Quintile,Tenant,Yes,0.03740,62,1660,0.02827,0.04653
2022,4th Quintile,Tenant,No,0.96260,1598,1660,0.95347,0.97173
2022,5th Quintile,Owner,Yes,0.10209,343,2571,0.09038,0.11380
2022,5th Quintile,Owner,No,0.89791,2228,2571,0.88620,0.90962
2022,5th Quintile,Tenant,Yes,0.04596,66,1249,0.03434,0.05757
2022,5th Quintile,Tenant,No,0.95404,1183,1249,0.94243,0.96566
