year,bula_h,regtyp,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,Bavaria,Rural regions,No,0.96364,1029,1085,0.95250,0.97478
2010,Berlin,Urban regions,No,0.99807,585,585,0.99452,1.00163
2010,Brandenburg,Rural regions,No,0.98875,500,500,0.97949,0.99800
2010,Mecklenburg-Western Pomerania,Urban regions,No,0.97807,49,49,0.93663,1.01950
2010,Mecklenburg-Western Pomerania,Rural regions,No,0.96504,293,293,0.94397,0.98611
2010,Saxony,Urban regions,No,0.98978,484,484,0.98081,0.99875
2010,Saxony,Rural regions,No,0.96351,413,413,0.94540,0.98162
2010,Saxony-Anhalt,Urban regions,No,0.98870,101,101,0.96799,1.00942
2010,Saxony-Anhalt,Rural regions,No,0.97272,416,416,0.95705,0.98840
2010,Thuringa,Urban regions,No,0.98698,181,181,0.97043,1.00354
2010,Thuringa,Rural regions,No,0.99398,342,342,0.98577,1.00219
2011,Schleswig-Holstein,Urban regions,No,0.96872,171,171,0.94255,0.99489
2011,Schleswig-Holstein,Rural regions,No,0.98220,419,419,0.96953,0.99488
2011,Hamburg,Urban regions,No,0.99253,262,262,0.98208,1.00298
2011,Lower Saxony,Urban regions,No,0.97838,660,660,0.96727,0.98948
2011,Lower Saxony,Rural regions,No,0.96240,797,797,0.94918,0.97561
2011,Bremen,Urban regions,No,0.99921,120,120,0.99418,1.00425
2011,North Rhine-Westphalia,Urban regions,Yes,0.02229,88,3199,0.01718,0.02741
2011,North Rhine-Westphalia,Urban regions,No,0.97771,3111,3199,0.97259,0.98282
2011,North Rhine-Westphalia,Rural regions,No,0.97384,82,82,0.93908,1.00860
2011,Hesse,Urban regions,No,0.97991,895,895,0.97071,0.98911
2011,Hesse,Rural regions,No,0.98606,227,227,0.97078,1.00135
2011,"Rhineland-Palatinate, Saarland",Urban regions,No,0.97942,672,672,0.96868,0.99016
2011,"Rhineland-Palatinate, Saarland",Rural regions,No,0.96606,233,233,0.94277,0.98936
2011,Baden-Wuerttemberg,Urban regions,Yes,0.02562,67,1766,0.01825,0.03300
2011,Baden-Wuerttemberg,Urban regions,No,0.97438,1699,1766,0.96700,0.98175
2011,Baden-Wuerttemberg,Rural regions,No,0.90351,200,200,0.86249,0.94453
2011,Bavaria,Urban regions,Yes,0.02276,44,1188,0.01427,0.03124
2011,Bavaria,Urban regions,No,0.97724,1144,1188,0.96876,0.98573
2011,Bavaria,Rural regions,Yes,0.04543,85,1380,0.03444,0.05642
2011,Bavaria,Rural regions,No,0.95457,1295,1380,0.94358,0.96556
2011,Berlin,Urban regions,No,0.99695,666,666,0.99275,1.00114
2011,Brandenburg,Rural regions,No,0.98501,604,604,0.97531,0.99471
2011,Mecklenburg-Western Pomerania,Urban regions,No,0.97673,44,44,0.93167,1.02179
2011,Mecklenburg-Western Pomerania,Rural regions,No,0.96929,350,350,0.95119,0.98739
2011,Saxony,Urban regions,No,0.97285,550,550,0.95926,0.98645
2011,Saxony,Rural regions,No,0.96711,470,470,0.95097,0.98325
2011,Saxony-Anhalt,Urban regions,No,0.98919,143,143,0.97218,1.00620
2011,Saxony-Anhalt,Rural regions,No,0.98457,497,497,0.97372,0.99542
2011,Thuringa,Urban regions,No,0.99840,221,221,0.99312,1.00368
2011,Thuringa,Rural regions,No,0.97657,417,417,0.96203,0.99110
2012,Schleswig-Holstein,Urban regions,No,0.97202,172,172,0.94731,0.99674
2012,Schleswig-Holstein,Rural regions,No,0.96732,415,415,0.95019,0.98444
2012,Hamburg,Urban regions,No,0.99627,269,269,0.98897,1.00357
2012,Lower Saxony,Urban regions,No,0.97217,607,607,0.95907,0.98527
2012,Lower Saxony,Rural regions,No,0.96329,820,820,0.95041,0.97617
2012,Bremen,Urban regions,No,0.97000,122,122,0.93961,1.00040
2012,North Rhine-Westphalia,Urban regions,Yes,0.02230,87,3125,0.01712,0.02748
2012,North Rhine-Westphalia,Urban regions,No,0.97770,3038,3125,0.97252,0.98288
2012,North Rhine-Westphalia,Rural regions,No,0.98482,75,75,0.95696,1.01268
2012,Hesse,Urban regions,No,0.98956,880,880,0.98285,0.99628
2012,Hesse,Rural regions,No,0.98895,231,231,0.97545,1.00246
2012,"Rhineland-Palatinate, Saarland",Urban regions,No,0.95976,667,667,0.94483,0.97468
2012,"Rhineland-Palatinate, Saarland",Rural regions,No,0.96780,223,223,0.94458,0.99102
2012,Baden-Wuerttemberg,Urban regions,Yes,0.03499,85,1681,0.02620,0.04378
2012,Baden-Wuerttemberg,Urban regions,No,0.96501,1596,1681,0.95622,0.97380
2012,Baden-Wuerttemberg,Rural regions,No,0.91792,199,199,0.87968,0.95615
2012,Bavaria,Urban regions,Yes,0.02992,42,1131,0.01999,0.03986
2012,Bavaria,Urban regions,No,0.97008,1089,1131,0.96014,0.98001
2012,Bavaria,Rural regions,Yes,0.03763,68,1394,0.02763,0.04762
2012,Bavaria,Rural regions,No,0.96237,1326,1394,0.95238,0.97237
2012,Berlin,Urban regions,No,0.99470,692,692,0.98928,1.00011
2012,Brandenburg,Rural regions,No,0.98234,592,592,0.97172,0.99296
2012,Mecklenburg-Western Pomerania,Urban regions,No,0.98796,40,40,0.95373,1.02219
2012,Mecklenburg-Western Pomerania,Rural regions,No,0.98030,353,353,0.96579,0.99482
2012,Saxony,Urban regions,No,0.98725,534,534,0.97773,0.99678
2012,Saxony,Rural regions,No,0.95475,502,502,0.93655,0.97295
2012,Saxony-Anhalt,Urban regions,No,0.99803,134,134,0.99051,1.00556
2012,Saxony-Anhalt,Rural regions,No,0.98079,474,474,0.96842,0.99316
2012,Thuringa,Urban regions,No,0.96325,208,208,0.93762,0.98888
2012,Thuringa,Rural regions,No,0.96840,420,420,0.95165,0.98515
2013,Schleswig-Holstein,Urban regions,No,0.96052,189,189,0.93268,0.98835
2013,Schleswig-Holstein,Rural regions,No,0.98089,445,445,0.96816,0.99363
2013,Lower Saxony,Urban regions,No,0.97555,699,699,0.96410,0.98701
2013,Lower Saxony,Rural regions,Yes,0.02931,33,909,0.01834,0.04028
2013,Lower Saxony,Rural regions,No,0.97069,876,909,0.95972,0.98166
2013,Bremen,Urban regions,No,0.99865,144,144,0.99263,1.00467
2013,North Rhine-Westphalia,Urban regions,Yes,0.02223,92,3587,0.01740,0.02706
2013,North Rhine-Westphalia,Urban regions,No,0.97777,3495,3587,0.97294,0.98260
2013,North Rhine-Westphalia,Rural regions,No,0.91169,67,67,0.84324,0.98015
2013,Hesse,Urban regions,No,0.98449,1050,1050,0.97701,0.99197
2013,Hesse,Rural regions,No,0.95798,222,222,0.93153,0.98443
2013,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.04364,41,795,0.02943,0.05785
2013,"Rhineland-Palatinate, Saarland",Urban regions,No,0.95636,754,795,0.94215,0.97057
2013,"Rhineland-Palatinate, Saarland",Rural regions,No,0.96711,227,227,0.94386,0.99037
2013,Baden-Wuerttemberg,Urban regions,Yes,0.03068,90,1903,0.02293,0.03843
2013,Baden-Wuerttemberg,Urban regions,No,0.96932,1813,1903,0.96157,0.97707
2013,Baden-Wuerttemberg,Rural regions,No,0.86820,201,201,0.82131,0.91508
2013,Bavaria,Urban regions,Yes,0.03153,43,1318,0.02209,0.04096
2013,Bavaria,Urban regions,No,0.96847,1275,1318,0.95904,0.97791
2013,Bavaria,Rural regions,Yes,0.03339,61,1527,0.02438,0.04240
2013,Bavaria,Rural regions,No,0.96661,1466,1527,0.95760,0.97562
2013,Berlin,Urban regions,No,0.99920,768,768,0.99720,1.00120
2013,Brandenburg,Rural regions,No,0.98415,599,599,0.97414,0.99416
2013,Mecklenburg-Western Pomerania,Urban regions,No,0.99823,52,52,0.98671,1.00976
2013,Mecklenburg-Western Pomerania,Rural regions,No,0.98329,323,323,0.96929,0.99729
2013,Saxony,Urban regions,No,0.97413,531,531,0.96061,0.98764
2013,Saxony,Rural regions,No,0.95570,482,482,0.93731,0.97409
2013,Saxony-Anhalt,Urban regions,No,0.99799,148,148,0.99076,1.00523
2013,Saxony-Anhalt,Rural regions,No,0.97167,470,470,0.95665,0.98668
2013,Thuringa,Urban regions,No,0.96133,197,197,0.93433,0.98832
2013,Thuringa,Rural regions,No,0.98102,403,403,0.96768,0.99436
2014,Schleswig-Holstein,Urban regions,No,0.99624,167,167,0.98693,1.00555
2014,Schleswig-Holstein,Rural regions,No,0.99113,387,387,0.98177,1.00048
2014,Hamburg,Urban regions,No,0.97386,268,268,0.95472,0.99300
2014,Lower Saxony,Urban regions,No,0.97087,611,611,0.95753,0.98422
2014,Lower Saxony,Rural regions,Yes,0.06051,48,833,0.04431,0.07672
2014,Lower Saxony,Rural regions,No,0.93949,785,833,0.92328,0.95569
2014,Bremen,Urban regions,No,0.99829,123,123,0.99096,1.00562
2014,North Rhine-Westphalia,Urban regions,Yes,0.02609,103,3163,0.02053,0.03164
2014,North Rhine-Westphalia,Urban regions,No,0.97391,3060,3163,0.96836,0.97947
2014,North Rhine-Westphalia,Rural regions,No,0.93502,58,58,0.87103,0.99901
2014,Hesse,Urban regions,No,0.98465,883,883,0.97654,0.99276
2014,Hesse,Rural regions,No,0.96600,187,187,0.93995,0.99204
2014,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.05636,43,704,0.03931,0.07341
2014,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94364,661,704,0.92659,0.96069
2014,"Rhineland-Palatinate, Saarland",Rural regions,No,0.96793,208,208,0.94393,0.99193
2014,Baden-Wuerttemberg,Urban regions,Yes,0.04588,79,1623,0.03569,0.05606
2014,Baden-Wuerttemberg,Urban regions,No,0.95412,1544,1623,0.94394,0.96431
2014,Baden-Wuerttemberg,Rural regions,No,0.85327,176,176,0.80085,0.90570
2014,Bavaria,Urban regions,Yes,0.03562,47,1201,0.02513,0.04611
2014,Bavaria,Urban regions,No,0.96438,1154,1201,0.95389,0.97487
2014,Bavaria,Rural regions,Yes,0.04245,71,1349,0.03169,0.05321
2014,Bavaria,Rural regions,No,0.95755,1278,1349,0.94679,0.96831
2014,Berlin,Urban regions,No,0.99415,648,648,0.98828,1.00003
2014,Brandenburg,Rural regions,No,0.97967,547,547,0.96783,0.99151
2014,Mecklenburg-Western Pomerania,Rural regions,No,0.98162,302,302,0.96644,0.99679
2014,Saxony,Urban regions,No,0.98489,491,491,0.97408,0.99569
2014,Saxony,Rural regions,No,0.94285,427,427,0.92081,0.96489
2014,Saxony-Anhalt,Urban regions,No,0.99626,138,138,0.98603,1.00648
2014,Saxony-Anhalt,Rural regions,No,0.97411,431,431,0.95910,0.98912
2014,Thuringa,Urban regions,No,0.96099,192,192,0.93353,0.98845
2014,Thuringa,Rural regions,No,0.97348,387,387,0.95745,0.98951
2015,Schleswig-Holstein,Urban regions,No,0.96671,150,150,0.93790,0.99551
2015,Schleswig-Holstein,Rural regions,No,0.99011,386,386,0.98023,1.00000
2015,Hamburg,Urban regions,No,0.97138,279,279,0.95178,0.99098
2015,Lower Saxony,Urban regions,No,0.96638,603,603,0.95199,0.98078
2015,Lower Saxony,Rural regions,Yes,0.05967,50,868,0.04390,0.07543
2015,Lower Saxony,Rural regions,No,0.94033,818,868,0.92457,0.95610
2015,Bremen,Urban regions,No,0.99531,115,115,0.98276,1.00785
2015,North Rhine-Westphalia,Urban regions,Yes,0.02284,88,3147,0.01762,0.02806
2015,North Rhine-Westphalia,Urban regions,No,0.97716,3059,3147,0.97194,0.98238
2015,North Rhine-Westphalia,Rural regions,No,0.97690,52,52,0.93568,1.01813
2015,Hesse,Urban regions,No,0.98675,888,888,0.97923,0.99428
2015,Hesse,Rural regions,No,0.97367,201,201,0.95148,0.99586
2015,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.04521,38,682,0.02961,0.06081
2015,"Rhineland-Palatinate, Saarland",Urban regions,No,0.95479,644,682,0.93919,0.97039
2015,"Rhineland-Palatinate, Saarland",Rural regions,No,0.95755,221,221,0.93091,0.98419
2015,Baden-Wuerttemberg,Urban regions,Yes,0.02491,69,1638,0.01736,0.03245
2015,Baden-Wuerttemberg,Urban regions,No,0.97509,1569,1638,0.96755,0.98264
2015,Baden-Wuerttemberg,Rural regions,No,0.86489,165,165,0.81258,0.91721
2015,Bavaria,Urban regions,Yes,0.04398,49,1242,0.03257,0.05538
2015,Bavaria,Urban regions,No,0.95602,1193,1242,0.94462,0.96743
2015,Bavaria,Rural regions,Yes,0.03493,59,1341,0.02510,0.04476
2015,Bavaria,Rural regions,No,0.96507,1282,1341,0.95524,0.97490
2015,Berlin,Urban regions,No,0.99726,644,644,0.99322,1.00130
2015,Brandenburg,Rural regions,No,0.97721,536,536,0.96456,0.98986
2015,Mecklenburg-Western Pomerania,Rural regions,No,0.98128,300,300,0.96591,0.99664
2015,Saxony,Urban regions,No,0.97274,485,485,0.95823,0.98725
2015,Saxony,Rural regions,No,0.95136,390,390,0.92998,0.97274
2015,Saxony-Anhalt,Urban regions,No,0.99626,132,132,0.98581,1.00671
2015,Saxony-Anhalt,Rural regions,No,0.96582,396,396,0.94791,0.98374
2015,Thuringa,Urban regions,No,0.95666,189,189,0.92756,0.98577
2015,Thuringa,Rural regions,No,0.97373,378,378,0.95759,0.98988
2016,Schleswig-Holstein,Urban regions,No,0.96660,135,135,0.93617,0.99702
2016,Schleswig-Holstein,Rural regions,No,0.97736,353,353,0.96181,0.99290
2016,Hamburg,Urban regions,No,0.98363,262,262,0.96823,0.99902
2016,Lower Saxony,Urban regions,No,0.97503,550,550,0.96198,0.98808
2016,Lower Saxony,Rural regions,Yes,0.05623,41,780,0.04006,0.07241
2016,Lower Saxony,Rural regions,No,0.94377,739,780,0.92759,0.95994
2016,Bremen,Urban regions,No,0.99520,103,103,0.98179,1.00861
2016,North Rhine-Westphalia,Urban regions,Yes,0.02317,84,2854,0.01765,0.02869
2016,North Rhine-Westphalia,Urban regions,No,0.97683,2770,2854,0.97131,0.98235
2016,North Rhine-Westphalia,Rural regions,No,0.86268,43,43,0.75859,0.96678
2016,Hesse,Urban regions,No,0.98881,783,783,0.98143,0.99618
2016,Hesse,Rural regions,No,0.98794,171,171,0.97153,1.00435
2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.04569,33,622,0.02927,0.06211
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.95431,589,622,0.93789,0.97073
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.94062,207,207,0.90834,0.97289
2016,Baden-Wuerttemberg,Urban regions,Yes,0.04938,78,1450,0.03822,0.06053
2016,Baden-Wuerttemberg,Urban regions,No,0.95062,1372,1450,0.93947,0.96178
2016,Baden-Wuerttemberg,Rural regions,No,0.89193,151,151,0.84224,0.94161
2016,Bavaria,Urban regions,Yes,0.03877,45,1099,0.02735,0.05019
2016,Bavaria,Urban regions,No,0.96123,1054,1099,0.94981,0.97265
2016,Bavaria,Rural regions,Yes,0.03859,55,1199,0.02769,0.04950
2016,Bavaria,Rural regions,No,0.96141,1144,1199,0.95050,0.97231
2016,Berlin,Urban regions,No,0.99706,607,607,0.99275,1.00137
2016,Brandenburg,Rural regions,No,0.95278,492,492,0.93401,0.97154
2016,Mecklenburg-Western Pomerania,Rural regions,No,0.98772,279,279,0.97477,1.00067
2016,Saxony,Urban regions,No,0.95901,449,449,0.94065,0.97737
2016,Saxony,Rural regions,No,0.94222,377,377,0.91863,0.96580
2016,Saxony-Anhalt,Urban regions,No,0.99762,124,124,0.98901,1.00623
2016,Saxony-Anhalt,Rural regions,No,0.96620,375,375,0.94788,0.98451
2016,Thuringa,Urban regions,No,0.95993,176,176,0.93087,0.98899
2016,Thuringa,Rural regions,No,0.99687,360,360,0.99109,1.00265
2017,Schleswig-Holstein,Urban regions,No,0.97114,168,168,0.94575,0.99653
2017,Schleswig-Holstein,Rural regions,No,0.96714,374,374,0.94905,0.98523
2017,Hamburg,Urban regions,No,0.98784,295,295,0.97531,1.00037
2017,Lower Saxony,Urban regions,No,0.96702,635,635,0.95311,0.98092
2017,Lower Saxony,Rural regions,Yes,0.06471,48,877,0.04842,0.08100
2017,Lower Saxony,Rural regions,No,0.93529,829,877,0.91900,0.95158
2017,Bremen,Urban regions,No,0.97938,124,124,0.95427,1.00450
2017,North Rhine-Westphalia,Urban regions,Yes,0.03359,116,3122,0.02727,0.03991
2017,North Rhine-Westphalia,Urban regions,No,0.96641,3006,3122,0.96009,0.97273
2017,North Rhine-Westphalia,Rural regions,No,0.90357,54,54,0.82410,0.98304
2017,Hesse,Urban regions,No,0.98368,823,823,0.97502,0.99234
2017,Hesse,Rural regions,No,0.97175,196,196,0.94849,0.99500
2017,"Rhineland-Palatinate, Saarland",Urban regions,No,0.98470,642,642,0.97520,0.99420
2017,"Rhineland-Palatinate, Saarland",Rural regions,No,0.95201,203,203,0.92253,0.98148
2017,Baden-Wuerttemberg,Urban regions,Yes,0.06388,102,1541,0.05167,0.07610
2017,Baden-Wuerttemberg,Urban regions,No,0.93612,1439,1541,0.92390,0.94833
2017,Baden-Wuerttemberg,Rural regions,No,0.82578,154,154,0.76567,0.88588
2017,Bavaria,Urban regions,Yes,0.03598,55,1198,0.02543,0.04653
2017,Bavaria,Urban regions,No,0.96402,1143,1198,0.95347,0.97457
2017,Bavaria,Rural regions,Yes,0.04196,73,1302,0.03106,0.05285
2017,Bavaria,Rural regions,No,0.95804,1229,1302,0.94715,0.96894
2017,Berlin,Urban regions,No,0.98880,647,647,0.98069,0.99692
2017,Brandenburg,Rural regions,No,0.97484,542,542,0.96164,0.98803
2017,Mecklenburg-Western Pomerania,Rural regions,No,0.98414,304,304,0.97007,0.99821
2017,Saxony,Urban regions,No,0.97170,514,514,0.95735,0.98605
2017,Saxony,Rural regions,No,0.94660,431,431,0.92535,0.96785
2017,Saxony-Anhalt,Urban regions,No,0.99731,118,118,0.98792,1.00670
2017,Saxony-Anhalt,Rural regions,No,0.96974,432,432,0.95357,0.98592
2017,Thuringa,Urban regions,No,0.94945,182,182,0.91753,0.98137
2017,Thuringa,Rural regions,No,0.98403,395,395,0.97165,0.99641
2018,Schleswig-Holstein,Urban regions,No,0.95667,189,189,0.92757,0.98578
2018,Schleswig-Holstein,Rural regions,No,0.95397,342,342,0.93173,0.97621
2018,Hamburg,Urban regions,No,0.99383,321,321,0.98525,1.00241
2018,Lower Saxony,Urban regions,No,0.96616,615,615,0.95186,0.98046
2018,Lower Saxony,Rural regions,Yes,0.07273,58,838,0.05514,0.09032
2018,Lower Saxony,Rural regions,No,0.92727,780,838,0.90968,0.94486
2018,Bremen,Urban regions,No,0.98231,127,127,0.95929,1.00533
2018,North Rhine-Westphalia,Urban regions,Yes,0.03071,110,3121,0.02465,0.03676
2018,North Rhine-Westphalia,Urban regions,No,0.96929,3011,3121,0.96324,0.97535
2018,North Rhine-Westphalia,Rural regions,No,0.88931,47,47,0.79865,0.97998
2018,Hesse,Urban regions,No,0.97319,775,775,0.96181,0.98457
2018,Hesse,Rural regions,No,0.97673,196,196,0.95557,0.99789
2018,"Rhineland-Palatinate, Saarland",Urban regions,No,0.97836,652,652,0.96719,0.98954
2018,"Rhineland-Palatinate, Saarland",Rural regions,No,0.91858,200,200,0.88059,0.95658
2018,Baden-Wuerttemberg,Urban regions,Yes,0.06122,100,1445,0.04885,0.07358
2018,Baden-Wuerttemberg,Urban regions,No,0.93878,1345,1445,0.92642,0.95115
2018,Baden-Wuerttemberg,Rural regions,No,0.84014,154,154,0.78207,0.89821
2018,Bavaria,Urban regions,Yes,0.04042,58,1169,0.02912,0.05171
2018,Bavaria,Urban regions,No,0.95958,1111,1169,0.94829,0.97088
2018,Bavaria,Rural regions,Yes,0.04101,57,1237,0.02996,0.05207
2018,Bavaria,Rural regions,No,0.95899,1180,1237,0.94793,0.97004
2018,Berlin,Urban regions,No,0.99138,682,682,0.98444,0.99832
2018,Brandenburg,Rural regions,No,0.95714,559,559,0.94033,0.97395
2018,Mecklenburg-Western Pomerania,Rural regions,No,0.97508,307,307,0.95761,0.99255
2018,Saxony,Urban regions,No,0.97403,515,515,0.96028,0.98778
2018,Saxony,Rural regions,No,0.94028,429,429,0.91783,0.96273
2018,Saxony-Anhalt,Urban regions,No,0.97023,124,124,0.94019,1.00026
2018,Saxony-Anhalt,Rural regions,No,0.96467,428,428,0.94715,0.98218
2018,Thuringa,Urban regions,No,0.94461,188,188,0.91182,0.97739
2018,Thuringa,Rural regions,No,0.98420,373,373,0.97152,0.99687
2019,Schleswig-Holstein,Urban regions,No,0.94460,145,145,0.90724,0.98196
2019,Schleswig-Holstein,Rural regions,No,0.95146,281,281,0.92629,0.97663
2019,Hamburg,Urban regions,No,0.99324,270,270,0.98345,1.00303
2019,Lower Saxony,Urban regions,No,0.97095,500,500,0.95622,0.98569
2019,Lower Saxony,Rural regions,Yes,0.07303,52,701,0.05375,0.09230
2019,Lower Saxony,Rural regions,No,0.92697,649,701,0.90770,0.94625
2019,Bremen,Urban regions,No,0.98425,106,106,0.96043,1.00807
2019,North Rhine-Westphalia,Urban regions,Yes,0.02968,91,2543,0.02309,0.03628
2019,North Rhine-Westphalia,Urban regions,No,0.97032,2452,2543,0.96372,0.97691
2019,North Rhine-Westphalia,Rural regions,No,0.89595,41,41,0.80133,0.99057
2019,Hesse,Urban regions,No,0.97660,638,638,0.96486,0.98834
2019,Hesse,Rural regions,No,0.97190,142,142,0.94463,0.99918
2019,"Rhineland-Palatinate, Saarland",Urban regions,No,0.97613,524,524,0.96305,0.98922
2019,"Rhineland-Palatinate, Saarland",Rural regions,No,0.91155,164,164,0.86796,0.95514
2019,Baden-Wuerttemberg,Urban regions,Yes,0.05041,83,1170,0.03786,0.06295
2019,Baden-Wuerttemberg,Urban regions,No,0.94959,1087,1170,0.93705,0.96214
2019,Baden-Wuerttemberg,Rural regions,No,0.86606,125,125,0.80611,0.92601
2019,Bavaria,Urban regions,Yes,0.04264,52,921,0.02958,0.05569
2019,Bavaria,Urban regions,No,0.95736,869,921,0.94431,0.97042
2019,Bavaria,Rural regions,Yes,0.04087,51,1027,0.02876,0.05299
2019,Bavaria,Rural regions,No,0.95913,976,1027,0.94701,0.97124
2019,Berlin,Urban regions,No,0.99098,548,548,0.98306,0.99891
2019,Brandenburg,Rural regions,No,0.95606,483,483,0.93776,0.97436
2019,Mecklenburg-Western Pomerania,Rural regions,No,0.97682,248,248,0.95806,0.99559
2019,Saxony,Urban regions,No,0.97336,424,424,0.95802,0.98871
2019,Saxony,Rural regions,No,0.94776,368,368,0.92500,0.97053
2019,Saxony-Anhalt,Urban regions,No,0.96713,103,103,0.93252,1.00173
2019,Saxony-Anhalt,Rural regions,No,0.96055,339,339,0.93980,0.98130
2019,Thuringa,Urban regions,No,0.93834,144,144,0.89892,0.97777
2019,Thuringa,Rural regions,No,0.98281,314,314,0.96841,0.99721
2020,Schleswig-Holstein,Urban regions,No,0.98546,185,185,0.96816,1.00276
2020,Schleswig-Holstein,Rural regions,No,0.95973,339,339,0.93877,0.98069
2020,Hamburg,Urban regions,No,0.99552,359,359,0.98861,1.00244
2020,Lower Saxony,Urban regions,No,0.97971,638,638,0.96876,0.99066
2020,Lower Saxony,Rural regions,Yes,0.05018,36,822,0.03525,0.06512
2020,Lower Saxony,Rural regions,No,0.94982,786,822,0.93488,0.96475
2020,Bremen,Urban regions,No,0.99145,138,138,0.97603,1.00687
2020,North Rhine-Westphalia,Urban regions,Yes,0.02867,123,3328,0.02300,0.03434
2020,North Rhine-Westphalia,Urban regions,No,0.97133,3205,3328,0.96566,0.97700
2020,North Rhine-Westphalia,Rural regions,No,0.74227,43,43,0.60999,0.87455
2020,Hesse,Urban regions,No,0.97365,892,892,0.96313,0.98417
2020,Hesse,Rural regions,No,0.95608,180,180,0.92606,0.98610
2020,"Rhineland-Palatinate, Saarland",Urban regions,No,0.97810,625,625,0.96662,0.98959
2020,"Rhineland-Palatinate, Saarland",Rural regions,No,0.93355,200,200,0.89894,0.96815
2020,Baden-Wuerttemberg,Urban regions,Yes,0.04075,79,1548,0.03090,0.05060
2020,Baden-Wuerttemberg,Urban regions,No,0.95925,1469,1548,0.94940,0.96910
2020,Baden-Wuerttemberg,Rural regions,No,0.91932,172,172,0.87849,0.96014
2020,Bavaria,Urban regions,Yes,0.04453,65,1306,0.03334,0.05572
