"beruf","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Selbstständige/ManagerInnen","1984","66 und älter","maennlich","","","",""
"Selbstständige/ManagerInnen","1984","66 und älter","weiblich","","","",""
"In Ausbildung","1984","16-34 Jahre alt","maennlich","644","0.291518767710266","0.272827577427725","0.310209957992806"
"In Ausbildung","1984","16-34 Jahre alt","weiblich","495","0.246901704779202","0.229422820215161","0.264380589343243"
"In Ausbildung","1984","35-65 Jahre alt","maennlich","","","",""
"In Ausbildung","1984","35-65 Jahre alt","weiblich","","","",""
"In Ausbildung","1984","66 und älter","maennlich","","","",""
"In Ausbildung","1984","66 und älter","weiblich","","","",""
"In Rente oder Pension","1984","16-34 Jahre alt","maennlich","","","",""
"In Rente oder Pension","1984","16-34 Jahre alt","weiblich","","","",""
"In Rente oder Pension","1984","35-65 Jahre alt","maennlich","272","0.118551039003546","0.10738050775129","0.129721570255802"
"In Rente oder Pension","1984","35-65 Jahre alt","weiblich","377","0.164803556959368","0.151783346264438","0.177823767654298"
"In Rente oder Pension","1984","66 und älter","maennlich","473","0.942931390235246","0.922739229036587","0.963123551433905"
"In Rente oder Pension","1984","66 und älter","weiblich","647","0.861871723282149","0.837516982306857","0.88622646425744"
"Arbeitslose","1984","16-34 Jahre alt","maennlich","125","0.0538978686603307","0.0446104648197788","0.0631852725008825"
"Arbeitslose","1984","16-34 Jahre alt","weiblich","113","0.0493810055108062","0.0405986897863041","0.0581633212353083"
"Arbeitslose","1984","35-65 Jahre alt","maennlich","124","0.0329009470331678","0.0267369525821376","0.039064941484198"
"Arbeitslose","1984","35-65 Jahre alt","weiblich","76","0.0184993438568132","0.013770403209577","0.0232282845040494"
"Arbeitslose","1984","66 und älter","maennlich","","","",""
"Arbeitslose","1984","66 und älter","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1984","16-34 Jahre alt","maennlich","81","0.0330374277163584","0.0256864100058931","0.0403884454268237"
"Sonstige Nichterwerbspersonen","1984","16-34 Jahre alt","weiblich","659","0.23856774368891","0.221291579034063","0.255843908343758"
"Sonstige Nichterwerbspersonen","1984","35-65 Jahre alt","maennlich","46","0.0112320502141704","0.00759039127755997","0.0148737091507807"
"Sonstige Nichterwerbspersonen","1984","35-65 Jahre alt","weiblich","1253","0.391237820148022","0.374110687921126","0.408364952374919"
"Sonstige Nichterwerbspersonen","1984","66 und älter","maennlich","","","",""
"Sonstige Nichterwerbspersonen","1984","66 und älter","weiblich","103","0.113109456163152","0.0907528759941513","0.135466036332152"
"Beamte","1984","16-34 Jahre alt","maennlich","119","0.0665666365465655","0.0563146154647257","0.0768186576284053"
"Beamte","1984","16-34 Jahre alt","weiblich","60","0.0323228970631573","0.0251541012667826","0.039491692859532"
"Beamte","1984","35-65 Jahre alt","maennlich","267","0.104488836020265","0.0939183974079095","0.115059274632621"
"Beamte","1984","35-65 Jahre alt","weiblich","46","0.0166450018681603","0.0121550933481816","0.021134910388139"
"Beamte","1984","66 und älter","maennlich","","","",""
"Beamte","1984","66 und älter","weiblich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","16-34 Jahre alt","maennlich","405","0.145158551250219","0.130092392402733","0.160224710097704"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","16-34 Jahre alt","weiblich","483","0.207405144229221","0.189964207643364","0.224846080815079"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","35-65 Jahre alt","maennlich","706","0.154282968986395","0.141142946597218","0.167422991375573"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","35-65 Jahre alt","weiblich","779","0.22337491778299","0.208150100977346","0.238599734588634"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","66 und älter","maennlich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","66 und älter","weiblich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","16-34 Jahre alt","maennlich","688","0.350152096359737","0.329750099790621","0.370554092928854"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","16-34 Jahre alt","weiblich","388","0.233548691802301","0.21534894186643","0.251748441738172"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","35-65 Jahre alt","maennlich","1189","0.433004241818284","0.414979852745915","0.451028630890654"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","35-65 Jahre alt","weiblich","363","0.141330830052731","0.128596955815412","0.154064704290049"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","66 und älter","maennlich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","66 und älter","weiblich","","","",""
"Selbstständige/ManagerInnen","1985","16-34 Jahre alt","maennlich","84","0.0433276717382488","0.0346199864205648","0.0520353570559328"
"Selbstständige/ManagerInnen","1985","16-34 Jahre alt","weiblich","67","0.0304535463264937","0.0230619598136865","0.037845132839301"
"Selbstständige/ManagerInnen","1985","35-65 Jahre alt","maennlich","298","0.120159114966494","0.108331286891939","0.131986943041049"
"Selbstständige/ManagerInnen","1985","35-65 Jahre alt","weiblich","131","0.0511446674121686","0.0430921931153693","0.0591971417089679"
"Selbstständige/ManagerInnen","1985","66 und älter","maennlich","","","",""
"Selbstständige/ManagerInnen","1985","66 und älter","weiblich","","","",""
"In Ausbildung","1985","16-34 Jahre alt","maennlich","625","0.309172051660822","0.289405837011998","0.328938266309647"
"In Ausbildung","1985","16-34 Jahre alt","weiblich","462","0.253395153157979","0.23468492985624","0.272105376459718"
"In Ausbildung","1985","35-65 Jahre alt","maennlich","","","",""
"In Ausbildung","1985","35-65 Jahre alt","weiblich","","","",""
"In Ausbildung","1985","66 und älter","maennlich","","","",""
"In Ausbildung","1985","66 und älter","weiblich","","","",""
"In Rente oder Pension","1985","16-34 Jahre alt","maennlich","","","",""
"In Rente oder Pension","1985","16-34 Jahre alt","weiblich","","","",""
"In Rente oder Pension","1985","35-65 Jahre alt","maennlich","252","0.121085704407447","0.109218613382421","0.132952795432473"
"In Rente oder Pension","1985","35-65 Jahre alt","weiblich","360","0.172131450020309","0.158332692840154","0.185930207200464"
"In Rente oder Pension","1985","66 und älter","maennlich","413","0.939421159747039","0.917231673231009","0.961610646263069"
"In Rente oder Pension","1985","66 und älter","weiblich","571","0.880501824596381","0.855940235763961","0.905063413428801"
"Arbeitslose","1985","16-34 Jahre alt","maennlich","121","0.056066416598436","0.0462271990657291","0.0659056341311428"
"Arbeitslose","1985","16-34 Jahre alt","weiblich","125","0.0581108981182397","0.0480470726549949","0.0681747235814845"
"Arbeitslose","1985","35-65 Jahre alt","maennlich","162","0.0533819059283601","0.0452046232378826","0.0615591886188376"
"Arbeitslose","1985","35-65 Jahre alt","weiblich","101","0.0305096268824565","0.0242229756823311","0.0367962780825819"
"Arbeitslose","1985","66 und älter","maennlich","","","",""
"Arbeitslose","1985","66 und älter","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1985","16-34 Jahre alt","maennlich","71","0.0327383411902705","0.025127393002061","0.04034928937848"
"Sonstige Nichterwerbspersonen","1985","16-34 Jahre alt","weiblich","500","0.187105229326439","0.170328992663612","0.203881465989265"
"Sonstige Nichterwerbspersonen","1985","35-65 Jahre alt","maennlich","","","",""
"Sonstige Nichterwerbspersonen","1985","35-65 Jahre alt","weiblich","1083","0.359244106726759","0.341706501197187","0.376781712256332"
"Sonstige Nichterwerbspersonen","1985","66 und älter","maennlich","","","",""
"Sonstige Nichterwerbspersonen","1985","66 und älter","weiblich","81","0.0966719421446923","0.0742958799012478","0.119048004388137"
"Beamte","1985","16-34 Jahre alt","maennlich","105","0.0633304644284759","0.0529135768352524","0.0737473520216995"
"Beamte","1985","16-34 Jahre alt","weiblich","46","0.0279919499564203","0.0208964022587003","0.0350874976541403"
"Beamte","1985","35-65 Jahre alt","maennlich","264","0.110374463465257","0.0989755752104698","0.121773351720044"
"Beamte","1985","35-65 Jahre alt","weiblich","51","0.019698953188855","0.0146193419690061","0.0247785644087039"
"Beamte","1985","66 und älter","maennlich","","","",""
"Beamte","1985","66 und älter","weiblich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","16-34 Jahre alt","maennlich","404","0.140177177871625","0.125250317866437","0.155104037876813"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","16-34 Jahre alt","weiblich","463","0.211838475586517","0.193979683053662","0.229697268119371"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","35-65 Jahre alt","maennlich","713","0.165589212572395","0.151704050260351","0.179474374884438"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","35-65 Jahre alt","weiblich","703","0.203191486432155","0.188122577389859","0.218260395474452"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","66 und älter","maennlich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","66 und älter","weiblich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","16-34 Jahre alt","maennlich","678","0.360228219068086","0.339587409595713","0.380869028540459"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","16-34 Jahre alt","weiblich","412","0.252320980956166","0.233337478847342","0.27130448306499"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","35-65 Jahre alt","maennlich","1070","0.420573672859546","0.402133493582502","0.43901385213659"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","35-65 Jahre alt","weiblich","367","0.153093907644729","0.139608978849314","0.166578836440145"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","66 und älter","maennlich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","66 und älter","weiblich","","","",""
"Selbstständige/ManagerInnen","1986","16-34 Jahre alt","maennlich","85","0.0446705683834544","0.0357885301677456","0.0535526065991631"
"Selbstständige/ManagerInnen","1986","16-34 Jahre alt","weiblich","56","0.0256218471918537","0.0187160941564483","0.0325276002272591"
"Selbstständige/ManagerInnen","1986","35-65 Jahre alt","maennlich","294","0.122667653525454","0.11041325259633","0.134922054454578"
"Selbstständige/ManagerInnen","1986","35-65 Jahre alt","weiblich","139","0.0566905992026291","0.0480302644402819","0.0653509339649762"
"Selbstständige/ManagerInnen","1986","66 und älter","maennlich","","","",""
"Selbstständige/ManagerInnen","1986","66 und älter","weiblich","","","",""
"In Ausbildung","1986","16-34 Jahre alt","maennlich","626","0.308275960090415","0.288421339904757","0.328130580276072"
"In Ausbildung","1986","16-34 Jahre alt","weiblich","458","0.232862686622244","0.214390063867472","0.251335309377016"
"In Ausbildung","1986","35-65 Jahre alt","maennlich","","","",""
"In Ausbildung","1986","35-65 Jahre alt","weiblich","","","",""
"In Ausbildung","1986","66 und älter","maennlich","","","",""
"In Ausbildung","1986","66 und älter","weiblich","","","",""
"In Rente oder Pension","1986","16-34 Jahre alt","maennlich","","","",""
"In Rente oder Pension","1986","16-34 Jahre alt","weiblich","","","",""
"In Rente oder Pension","1986","35-65 Jahre alt","maennlich","252","0.123666887953615","0.111369685807585","0.135964090099646"
"In Rente oder Pension","1986","35-65 Jahre alt","weiblich","328","0.17026147116667","0.156185418140316","0.184337524193023"
"In Rente oder Pension","1986","66 und älter","maennlich","404","0.95913875985519","0.94031743812635","0.97796008158403"
"In Rente oder Pension","1986","66 und älter","weiblich","536","0.888240444904403","0.863479882610991","0.913001007197815"
"Arbeitslose","1986","16-34 Jahre alt","maennlich","88","0.0376493152538809","0.0294652225488956","0.0458334079588663"
"Arbeitslose","1986","16-34 Jahre alt","weiblich","135","0.0631793534263022","0.0525463030599875","0.0738124037926169"
"Arbeitslose","1986","35-65 Jahre alt","maennlich","142","0.048974648402147","0.0409129472313971","0.057036349572897"
"Arbeitslose","1986","35-65 Jahre alt","weiblich","96","0.0319148643215538","0.0253321447830148","0.0384975838600928"
"Arbeitslose","1986","66 und älter","maennlich","","","",""
"Arbeitslose","1986","66 und älter","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1986","16-34 Jahre alt","maennlich","85","0.0421004085837161","0.0334660820512423","0.0507347351161898"
"Sonstige Nichterwerbspersonen","1986","16-34 Jahre alt","weiblich","444","0.184592352215892","0.167635848948346","0.201548855483438"
"Sonstige Nichterwerbspersonen","1986","35-65 Jahre alt","maennlich","31","0.00923814072921286","0.00566440929686394","0.0128118721615618"
"Sonstige Nichterwerbspersonen","1986","35-65 Jahre alt","weiblich","1040","0.359614830338693","0.341643033332376","0.37758662734501"
"Sonstige Nichterwerbspersonen","1986","66 und älter","maennlich","","","",""
"Sonstige Nichterwerbspersonen","1986","66 und älter","weiblich","72","0.087440046380875","0.0652407713613649","0.109639321400385"
"Beamte","1986","16-34 Jahre alt","maennlich","108","0.0656799067990343","0.0550289302687696","0.0763308833292989"
"Beamte","1986","16-34 Jahre alt","weiblich","38","0.0261813674734861","0.0192026236125018","0.0331601113344705"
"Beamte","1986","35-65 Jahre alt","maennlich","247","0.107378318155368","0.0958135481575001","0.118943088153235"
"Beamte","1986","35-65 Jahre alt","weiblich","54","0.0203836511741608","0.0150916360531723","0.0256756662951494"
"Beamte","1986","66 und älter","maennlich","","","",""
"Beamte","1986","66 und älter","weiblich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","16-34 Jahre alt","maennlich","433","0.160574870592763","0.144774273879776","0.176375467305751"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","16-34 Jahre alt","weiblich","463","0.21934079473121","0.201035429848653","0.237646159613767"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","35-65 Jahre alt","maennlich","664","0.160483926596013","0.146628547092062","0.174339306099965"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","35-65 Jahre alt","weiblich","729","0.225505575811436","0.209668536749482","0.24134261487339"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","66 und älter","maennlich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","66 und älter","weiblich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","16-34 Jahre alt","maennlich","664","0.373498259379807","0.352679773173639","0.394316745585976"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","16-34 Jahre alt","weiblich","397","0.255589274143962","0.236293350827247","0.274885197460677"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","35-65 Jahre alt","maennlich","1090","0.435323007130001","0.416607827322628","0.454038186937375"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","35-65 Jahre alt","weiblich","352","0.151562343876739","0.137973208596988","0.165151479156489"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","66 und älter","maennlich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","66 und älter","weiblich","","","",""
"Selbstständige/ManagerInnen","1987","16-34 Jahre alt","maennlich","82","0.0457135519598185","0.0367246720798498","0.0547024318397871"
"Selbstständige/ManagerInnen","1987","16-34 Jahre alt","weiblich","49","0.023954758729188","0.0171905217250353","0.0307189957333408"
"Selbstständige/ManagerInnen","1987","35-65 Jahre alt","maennlich","272","0.114114619252851","0.102112786865769","0.126116451639932"
"Selbstständige/ManagerInnen","1987","35-65 Jahre alt","weiblich","152","0.0633893100547348","0.0541556524703589","0.0726229676391108"
"Selbstständige/ManagerInnen","1987","66 und älter","maennlich","","","",""
"Selbstständige/ManagerInnen","1987","66 und älter","weiblich","","","",""
"In Ausbildung","1987","16-34 Jahre alt","maennlich","604","0.268017204496338","0.248954896237815","0.28707951275486"
"In Ausbildung","1987","16-34 Jahre alt","weiblich","469","0.228037171909948","0.209476702375292","0.246597641444603"
"In Ausbildung","1987","35-65 Jahre alt","maennlich","","","",""
"In Ausbildung","1987","35-65 Jahre alt","weiblich","","","",""
"In Ausbildung","1987","66 und älter","maennlich","","","",""
"In Ausbildung","1987","66 und älter","weiblich","","","",""
"In Rente oder Pension","1987","16-34 Jahre alt","maennlich","","","",""
"In Rente oder Pension","1987","16-34 Jahre alt","weiblich","","","",""
"In Rente oder Pension","1987","35-65 Jahre alt","maennlich","234","0.115626167019807","0.103555419842046","0.127696914197569"
"In Rente oder Pension","1987","35-65 Jahre alt","weiblich","292","0.148917374546967","0.135426355805411","0.162408393288522"
"In Rente oder Pension","1987","66 und älter","maennlich","406","0.954347391961946","0.934595646198883","0.974099137725008"
"In Rente oder Pension","1987","66 und älter","weiblich","564","0.88845328291571","0.864363001899142","0.912543563932278"
"Arbeitslose","1987","16-34 Jahre alt","maennlich","100","0.043221627643487","0.0344697759702734","0.0519734793167006"
"Arbeitslose","1987","16-34 Jahre alt","weiblich","104","0.048993021022888","0.0394442626648523","0.0585417793809238"
"Arbeitslose","1987","35-65 Jahre alt","maennlich","149","0.0493092294604042","0.0411364102144979","0.0574820487063104"
"Arbeitslose","1987","35-65 Jahre alt","weiblich","120","0.0401091302661639","0.032673483493428","0.0475447770388998"
"Arbeitslose","1987","66 und älter","maennlich","","","",""
"Arbeitslose","1987","66 und älter","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1987","16-34 Jahre alt","maennlich","85","0.0446520253891328","0.0357631853650011","0.0535408654132645"
"Sonstige Nichterwerbspersonen","1987","16-34 Jahre alt","weiblich","441","0.195195451999848","0.17766197695979","0.212728927039906"
"Sonstige Nichterwerbspersonen","1987","35-65 Jahre alt","maennlich","32","0.010627455113662","0.00675681570520023","0.0144980945221238"
"Sonstige Nichterwerbspersonen","1987","35-65 Jahre alt","weiblich","964","0.343381517075439","0.325387372437486","0.361375661713392"
"Sonstige Nichterwerbspersonen","1987","66 und älter","maennlich","","","",""
"Sonstige Nichterwerbspersonen","1987","66 und älter","weiblich","75","0.0882339429308543","0.0665291460941947","0.109938739767514"
"Beamte","1987","16-34 Jahre alt","maennlich","104","0.0641663522198604","0.0536201348476784","0.0747125695920424"
"Beamte","1987","16-34 Jahre alt","weiblich","36","0.0264183894915827","0.0193237996670631","0.0335129793161023"
"Beamte","1987","35-65 Jahre alt","maennlich","248","0.110149808523899","0.0983319586286927","0.121967658419104"
"Beamte","1987","35-65 Jahre alt","weiblich","56","0.0222341372986433","0.0166466856928634","0.0278215889044232"
"Beamte","1987","66 und älter","maennlich","","","",""
"Beamte","1987","66 und älter","weiblich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","16-34 Jahre alt","maennlich","395","0.138672176653737","0.12339916034545","0.153945192962023"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","16-34 Jahre alt","weiblich","427","0.19782641868401","0.17981445665085","0.215838380717169"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","35-65 Jahre alt","maennlich","598","0.155632516923047","0.141590029973827","0.169675003872268"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","35-65 Jahre alt","weiblich","679","0.220759725571563","0.204645857050522","0.236873594092604"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","66 und älter","maennlich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","66 und älter","weiblich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","16-34 Jahre alt","maennlich","660","0.392341105633207","0.370763276666177","0.413918934600237"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","16-34 Jahre alt","weiblich","385","0.270115522178568","0.250039090016414","0.290191954340721"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","35-65 Jahre alt","maennlich","1048","0.438710035160153","0.419487505861234","0.457932564459073"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","35-65 Jahre alt","weiblich","375","0.171638379461903","0.156988927265162","0.186287831658645"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","66 und älter","maennlich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","66 und älter","weiblich","","","",""
"Selbstständige/ManagerInnen","1988","16-34 Jahre alt","maennlich","75","0.0436629549258481","0.0346325346590577","0.0526933751926385"
"Selbstständige/ManagerInnen","1988","16-34 Jahre alt","weiblich","45","0.0276947877169663","0.0202751102280174","0.0351144652059153"
"Selbstständige/ManagerInnen","1988","35-65 Jahre alt","maennlich","262","0.114336394684147","0.102009469660406","0.126663319707887"
"Selbstständige/ManagerInnen","1988","35-65 Jahre alt","weiblich","144","0.0609695322084261","0.0516734389708402","0.070265625446012"
"Selbstständige/ManagerInnen","1988","66 und älter","maennlich","","","",""
"Selbstständige/ManagerInnen","1988","66 und älter","weiblich","","","",""
"In Ausbildung","1988","16-34 Jahre alt","maennlich","549","0.272018249000436","0.252352740633417","0.291683757367456"
"In Ausbildung","1988","16-34 Jahre alt","weiblich","434","0.219441712813057","0.200728560060904","0.238154865565211"
"In Ausbildung","1988","35-65 Jahre alt","maennlich","","","",""
"In Ausbildung","1988","35-65 Jahre alt","weiblich","","","",""
"In Ausbildung","1988","66 und älter","maennlich","","","",""
"In Ausbildung","1988","66 und älter","weiblich","","","",""
"In Rente oder Pension","1988","16-34 Jahre alt","maennlich","","","",""
"In Rente oder Pension","1988","16-34 Jahre alt","weiblich","","","",""
"In Rente oder Pension","1988","35-65 Jahre alt","maennlich","235","0.114925211341076","0.102570694978228","0.127279727703925"
"In Rente oder Pension","1988","35-65 Jahre alt","weiblich","269","0.144403048055152","0.130746938498871","0.158059157611433"
"In Rente oder Pension","1988","66 und älter","maennlich","399","0.95508683571141","0.935279242778975","0.974894428643844"
"In Rente oder Pension","1988","66 und älter","weiblich","559","0.909044898679588","0.886662343693458","0.931427453665718"
"Arbeitslose","1988","16-34 Jahre alt","maennlich","93","0.0391759107457437","0.0306020306969791","0.0477497907945083"
"Arbeitslose","1988","16-34 Jahre alt","weiblich","98","0.0500184753151873","0.040162320757759","0.0598746298726156"
"Arbeitslose","1988","35-65 Jahre alt","maennlich","153","0.0552524397128188","0.0464020635925617","0.0641028158330759"
"Arbeitslose","1988","35-65 Jahre alt","weiblich","112","0.0412729634957498","0.0335446538963458","0.0490012730951537"
"Arbeitslose","1988","66 und älter","maennlich","","","",""
"Arbeitslose","1988","66 und älter","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1988","16-34 Jahre alt","maennlich","92","0.049832703681725","0.0402165105851464","0.0594488967783037"
"Sonstige Nichterwerbspersonen","1988","16-34 Jahre alt","weiblich","448","0.203272534647788","0.185076408181563","0.221468661114012"
"Sonstige Nichterwerbspersonen","1988","35-65 Jahre alt","maennlich","37","0.011815385189397","0.00762965630913751","0.0160011140696564"
"Sonstige Nichterwerbspersonen","1988","35-65 Jahre alt","weiblich","904","0.330183655083345","0.311912758745494","0.348454551421196"
"Sonstige Nichterwerbspersonen","1988","66 und älter","maennlich","","","",""
"Sonstige Nichterwerbspersonen","1988","66 und älter","weiblich","59","0.0690116074399862","0.049281172143283","0.0887420427366893"
"Beamte","1988","16-34 Jahre alt","maennlich","100","0.0636981773723272","0.05290579439232","0.0744905603523345"
"Beamte","1988","16-34 Jahre alt","weiblich","36","0.0279479221374163","0.0204953836119789","0.0354004606628537"
"Beamte","1988","35-65 Jahre alt","maennlich","223","0.106316422396974","0.0943759867031659","0.118256858090782"
"Beamte","1988","35-65 Jahre alt","weiblich","51","0.0237772706375885","0.0178581164127774","0.0296964248623995"
"Beamte","1988","66 und älter","maennlich","","","",""
"Beamte","1988","66 und älter","weiblich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","16-34 Jahre alt","maennlich","422","0.155665105636598","0.139474132434349","0.171856078838848"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","16-34 Jahre alt","weiblich","446","0.216458617766344","0.197631070475951","0.235286165056736"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","35-65 Jahre alt","maennlich","640","0.173909813559063","0.158891993977032","0.188927633141094"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","35-65 Jahre alt","weiblich","666","0.213020314702644","0.196814154415237","0.22922647499005"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","66 und älter","maennlich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","66 und älter","weiblich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","16-34 Jahre alt","maennlich","668","0.391963169812636","0.37016060815512","0.413765731470152"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","16-34 Jahre alt","weiblich","416","0.29496270296435","0.274114677167808","0.315810728760893"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","35-65 Jahre alt","maennlich","932","0.419061665353409","0.39951219069605","0.438611140010768"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","35-65 Jahre alt","weiblich","365","0.179688976925417","0.164492677233667","0.194885276617167"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","66 und älter","maennlich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","66 und älter","weiblich","","","",""
"Selbstständige/ManagerInnen","1989","16-34 Jahre alt","maennlich","75","0.0444791836027843","0.0352721775282814","0.0536861896772873"
"Selbstständige/ManagerInnen","1989","16-34 Jahre alt","weiblich","41","0.0235434337440611","0.0166117824874712","0.030475085000651"
"Selbstständige/ManagerInnen","1989","35-65 Jahre alt","maennlich","249","0.112074206613144","0.099575292640595","0.124573120585693"
"Selbstständige/ManagerInnen","1989","35-65 Jahre alt","weiblich","138","0.0579403136056531","0.048692959492995","0.0671876677183111"
"Selbstständige/ManagerInnen","1989","66 und älter","maennlich","","","",""
"Selbstständige/ManagerInnen","1989","66 und älter","weiblich","","","",""
"In Ausbildung","1989","16-34 Jahre alt","maennlich","516","0.284700079347902","0.264546238152945","0.30485392054286"
