"beruf","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"In Ausbildung","1985","Hauptschule","Laendlicher Raum","67","0.0414970714406778","0.0316130162225214","0.0513811266588342"
"In Ausbildung","1985","Realschule","Staedtischer Raum","233","0.147108007606639","0.128579957678068","0.165636057535209"
"In Ausbildung","1985","Realschule","Laendlicher Raum","85","0.196347731044662","0.157802998140064","0.23489246394926"
"In Ausbildung","1985","(Fach-)Abitur","Staedtischer Raum","215","0.33513674814246","0.299394005010445","0.370879491274475"
"In Ausbildung","1985","(Fach-)Abitur","Laendlicher Raum","31","0.284821273703665","0.200479009764369","0.36916353764296"
"In Ausbildung","1985","AkademikerIn","Staedtischer Raum","","","",""
"In Ausbildung","1985","AkademikerIn","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","(noch) kein Abschluss","Staedtischer Raum","39","0.0691790232176271","0.0529742509014716","0.0853837955337827"
"In Rente oder Pension","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","Hauptschule","Staedtischer Raum","866","0.280146751380271","0.26753303726811","0.292760465492431"
"In Rente oder Pension","1985","Hauptschule","Laendlicher Raum","314","0.280662658917959","0.258394293623749","0.30293102421217"
"In Rente oder Pension","1985","Realschule","Staedtischer Raum","180","0.181719342416003","0.161548861261812","0.201889823570194"
"In Rente oder Pension","1985","Realschule","Laendlicher Raum","49","0.174438115559908","0.137615594475564","0.211260636644251"
"In Rente oder Pension","1985","(Fach-)Abitur","Staedtischer Raum","43","0.105273247058245","0.0820343821901139","0.128512111926376"
"In Rente oder Pension","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","AkademikerIn","Staedtischer Raum","53","0.123934402881416","0.098224664120955","0.149644141641876"
"In Rente oder Pension","1985","AkademikerIn","Laendlicher Raum","","","",""
"Arbeitslose","1985","(noch) kein Abschluss","Staedtischer Raum","66","0.0583683619329226","0.0433973239126294","0.0733393999532158"
"Arbeitslose","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Arbeitslose","1985","Hauptschule","Staedtischer Raum","220","0.0401005757888229","0.0345897539145453","0.0456113976631005"
"Arbeitslose","1985","Hauptschule","Laendlicher Raum","96","0.0550236311857949","0.0437226848013901","0.0663245775701997"
"Arbeitslose","1985","Realschule","Staedtischer Raum","45","0.0272184295681273","0.0187069759632248","0.0357298831730297"
"Arbeitslose","1985","Realschule","Laendlicher Raum","","","",""
"Arbeitslose","1985","(Fach-)Abitur","Staedtischer Raum","30","0.0372579992529212","0.0229171320605699","0.0515988664452725"
"Arbeitslose","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Arbeitslose","1985","AkademikerIn","Staedtischer Raum","","","",""
"Arbeitslose","1985","AkademikerIn","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","(noch) kein Abschluss","Staedtischer Raum","224","0.14531637363189","0.122811187592303","0.167821559671477"
"Sonstige Nichterwerbspersonen","1985","(noch) kein Abschluss","Laendlicher Raum","31","0.179200525711656","0.116776429336633","0.24162462208668"
"Sonstige Nichterwerbspersonen","1985","Hauptschule","Staedtischer Raum","852","0.16417769787716","0.153772693622018","0.174582702132302"
"Sonstige Nichterwerbspersonen","1985","Hauptschule","Laendlicher Raum","268","0.158810881495166","0.140696785377812","0.176924977612519"
"Sonstige Nichterwerbspersonen","1985","Realschule","Staedtischer Raum","178","0.117709135866164","0.100852321121429","0.134565950610898"
"Sonstige Nichterwerbspersonen","1985","Realschule","Laendlicher Raum","50","0.11280774562765","0.0821107169171313","0.143504774338169"
"Sonstige Nichterwerbspersonen","1985","(Fach-)Abitur","Staedtischer Raum","67","0.0846880256073895","0.0636062946973801","0.105769756517399"
"Sonstige Nichterwerbspersonen","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","AkademikerIn","Staedtischer Raum","44","0.0583583098677022","0.0400677245608133","0.0766488951745912"
"Sonstige Nichterwerbspersonen","1985","AkademikerIn","Laendlicher Raum","","","",""
"Beamte","1985","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Beamte","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Beamte","1985","Hauptschule","Staedtischer Raum","85","0.0196733076913928","0.0157725200335884","0.0235740953491972"
"Beamte","1985","Hauptschule","Laendlicher Raum","39","0.0232898027237183","0.0158150731927647","0.0307645322546719"
"Beamte","1985","Realschule","Staedtischer Raum","84","0.057640845213358","0.0454498844264213","0.0698318060002947"
"Beamte","1985","Realschule","Laendlicher Raum","33","0.0731984030142433","0.0479250886600105","0.0984717173684761"
"Beamte","1985","(Fach-)Abitur","Staedtischer Raum","","","",""
"Beamte","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Beamte","1985","AkademikerIn","Staedtischer Raum","143","0.224194982329604","0.191654600269809","0.256735364389399"
"Beamte","1985","AkademikerIn","Laendlicher Raum","42","0.325307266513237","0.242175296119555","0.408439236906918"
"Angestellte, einfache Tätigkeiten","1986","(noch) kein Abschluss","Staedtischer Raum","340","0.259626410237117","0.230950988350434","0.288301832123801"
"Angestellte, einfache Tätigkeiten","1986","(noch) kein Abschluss","Laendlicher Raum","47","0.200206271460427","0.130884294095648","0.269528248825206"
"Angestellte, einfache Tätigkeiten","1986","Hauptschule","Staedtischer Raum","1219","0.192473203993216","0.181093940889599","0.203852467096832"
"Angestellte, einfache Tätigkeiten","1986","Hauptschule","Laendlicher Raum","328","0.182578210224846","0.162829578933347","0.202326841516345"
"Angestellte, einfache Tätigkeiten","1986","Realschule","Staedtischer Raum","131","0.0845536618759722","0.0698748398744009","0.0992324838775434"
"Angestellte, einfache Tätigkeiten","1986","Realschule","Laendlicher Raum","43","0.0948173599344812","0.0658160846945458","0.123818635174417"
"Angestellte, einfache Tätigkeiten","1986","(Fach-)Abitur","Staedtischer Raum","95","0.0830394920866341","0.0623146040520312","0.103764380121237"
"Angestellte, einfache Tätigkeiten","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","AkademikerIn","Staedtischer Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","AkademikerIn","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1986","(noch) kein Abschluss","Staedtischer Raum","64","0.0533685235554761","0.0386676552414023","0.0680693918695499"
"Angestellte, qualifizierte Tätigkeiten","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1986","Hauptschule","Staedtischer Raum","1121","0.237970763872704","0.225679454523809","0.250262073221598"
"Angestellte, qualifizierte Tätigkeiten","1986","Hauptschule","Laendlicher Raum","296","0.188453113374145","0.168461497892722","0.208444728855568"
"Angestellte, qualifizierte Tätigkeiten","1986","Realschule","Staedtischer Raum","451","0.315236754192637","0.290723713152042","0.339749795233233"
"Angestellte, qualifizierte Tätigkeiten","1986","Realschule","Laendlicher Raum","109","0.26282106363712","0.219247648426675","0.306394478847565"
"Angestellte, qualifizierte Tätigkeiten","1986","(Fach-)Abitur","Staedtischer Raum","157","0.238582386685332","0.206570948674825","0.270593824695839"
"Angestellte, qualifizierte Tätigkeiten","1986","(Fach-)Abitur","Laendlicher Raum","34","0.240425492070625","0.164595043864747","0.316255940276502"
"Angestellte, qualifizierte Tätigkeiten","1986","AkademikerIn","Staedtischer Raum","227","0.365152780988242","0.327315073481932","0.402990488494552"
"Angestellte, qualifizierte Tätigkeiten","1986","AkademikerIn","Laendlicher Raum","34","0.236895867203086","0.162360271043624","0.311431463362547"
"Selbstständige/ManagerInnen","1986","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1986","Hauptschule","Staedtischer Raum","198","0.041761175589476","0.0359872156119607","0.0475351355669912"
"Selbstständige/ManagerInnen","1986","Hauptschule","Laendlicher Raum","102","0.0713157484927899","0.0581599810899343","0.0844715158956456"
"Selbstständige/ManagerInnen","1986","Realschule","Staedtischer Raum","82","0.0579531948115894","0.0456254544327117","0.0702809351904671"
"Selbstständige/ManagerInnen","1986","Realschule","Laendlicher Raum","36","0.0905406221171406","0.0621340749999545","0.118947169234327"
"Selbstständige/ManagerInnen","1986","(Fach-)Abitur","Staedtischer Raum","38","0.0550487858290548","0.0379189539339793","0.0721786177241303"
"Selbstständige/ManagerInnen","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1986","AkademikerIn","Staedtischer Raum","93","0.1430187791248","0.115505960539911","0.17053159770969"
"Selbstständige/ManagerInnen","1986","AkademikerIn","Laendlicher Raum","","","",""
"In Ausbildung","1986","(noch) kein Abschluss","Staedtischer Raum","186","0.414203135755124","0.381985762015057","0.44642050949519"
"In Ausbildung","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"In Ausbildung","1986","Hauptschule","Staedtischer Raum","199","0.0282562471133241","0.023473431386898","0.0330390628397502"
"In Ausbildung","1986","Hauptschule","Laendlicher Raum","79","0.0432104869269721","0.0328162596899174","0.0536047141640268"
"In Ausbildung","1986","Realschule","Staedtischer Raum","231","0.139756881807709","0.121463004903462","0.158050758711957"
"In Ausbildung","1986","Realschule","Laendlicher Raum","69","0.164796757395692","0.128070601410351","0.201522913381033"
"In Ausbildung","1986","(Fach-)Abitur","Staedtischer Raum","209","0.323280971090661","0.288151727350521","0.358410214830801"
"In Ausbildung","1986","(Fach-)Abitur","Laendlicher Raum","39","0.323774923956243","0.240744851595805","0.406804996316681"
"In Ausbildung","1986","AkademikerIn","Staedtischer Raum","","","",""
"In Ausbildung","1986","AkademikerIn","Laendlicher Raum","","","",""
"In Rente oder Pension","1986","(noch) kein Abschluss","Staedtischer Raum","39","0.0753627282167764","0.0580974362653185","0.0926280201682343"
"In Rente oder Pension","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"In Rente oder Pension","1986","Hauptschule","Staedtischer Raum","819","0.285412566160448","0.272377454298058","0.298447678022838"
"In Rente oder Pension","1986","Hauptschule","Laendlicher Raum","291","0.28177555513277","0.258778555841207","0.304772554424332"
"In Rente oder Pension","1986","Realschule","Staedtischer Raum","183","0.196156949691523","0.17520637076823","0.217107528614817"
"In Rente oder Pension","1986","Realschule","Laendlicher Raum","44","0.16914105647669","0.132030862323363","0.206251250630017"
"In Rente oder Pension","1986","(Fach-)Abitur","Staedtischer Raum","48","0.113222748019227","0.0894242990908752","0.137021196947578"
"In Rente oder Pension","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"In Rente oder Pension","1986","AkademikerIn","Staedtischer Raum","50","0.116065821936814","0.0908939775881684","0.141237666285459"
"In Rente oder Pension","1986","AkademikerIn","Laendlicher Raum","","","",""
"Arbeitslose","1986","(noch) kein Abschluss","Staedtischer Raum","54","0.042025708284389","0.0289023685857384","0.0551490479830396"
"Arbeitslose","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Arbeitslose","1986","Hauptschule","Staedtischer Raum","201","0.0358430807888921","0.0304773725196059","0.0412087890581782"
"Arbeitslose","1986","Hauptschule","Laendlicher Raum","84","0.0526130280552332","0.0412000291251243","0.0640260269853422"
"Arbeitslose","1986","Realschule","Staedtischer Raum","45","0.025414753974782","0.0171112495966104","0.0337182583529535"
"Arbeitslose","1986","Realschule","Laendlicher Raum","","","",""
"Arbeitslose","1986","(Fach-)Abitur","Staedtischer Raum","","","",""
"Arbeitslose","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"Arbeitslose","1986","AkademikerIn","Staedtischer Raum","","","",""
"Arbeitslose","1986","AkademikerIn","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1986","(noch) kein Abschluss","Staedtischer Raum","203","0.148877055964899","0.12559507350175","0.172159038428047"
"Sonstige Nichterwerbspersonen","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1986","Hauptschule","Staedtischer Raum","777","0.15921036320985","0.148649975292654","0.169770751127046"
"Sonstige Nichterwerbspersonen","1986","Hauptschule","Laendlicher Raum","253","0.157231597489395","0.138623007828548","0.175840187150242"
"Sonstige Nichterwerbspersonen","1986","Realschule","Staedtischer Raum","181","0.126795555270014","0.109239839876685","0.144351270663343"
"Sonstige Nichterwerbspersonen","1986","Realschule","Laendlicher Raum","53","0.12242976594145","0.0899816482002655","0.154877883682634"
"Sonstige Nichterwerbspersonen","1986","(Fach-)Abitur","Staedtischer Raum","87","0.117343138997585","0.0931718763995975","0.141514401595573"
"Sonstige Nichterwerbspersonen","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1986","AkademikerIn","Staedtischer Raum","45","0.0617936484598605","0.0428713450467688","0.0807159518729522"
"Sonstige Nichterwerbspersonen","1986","AkademikerIn","Laendlicher Raum","","","",""
"Beamte","1986","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Beamte","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Beamte","1986","Hauptschule","Staedtischer Raum","77","0.0190725992720908","0.0151246287166866","0.023020569827495"
"Beamte","1986","Hauptschule","Laendlicher Raum","37","0.0228222603038492","0.0151882009283516","0.0304563196793467"
"Beamte","1986","Realschule","Staedtischer Raum","76","0.0541322483757727","0.0421936926703396","0.0660708040812059"
"Beamte","1986","Realschule","Laendlicher Raum","","","",""
"Beamte","1986","(Fach-)Abitur","Staedtischer Raum","","","",""
"Beamte","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"Beamte","1986","AkademikerIn","Staedtischer Raum","144","0.22460926313683","0.191812798206961","0.2574057280667"
"Beamte","1986","AkademikerIn","Laendlicher Raum","47","0.355200059920537","0.271303897858976","0.439096221982097"
"Angestellte, einfache Tätigkeiten","1987","(noch) kein Abschluss","Staedtischer Raum","329","0.272538416879793","0.243069295304155","0.30200753845543"
"Angestellte, einfache Tätigkeiten","1987","(noch) kein Abschluss","Laendlicher Raum","51","0.292766564187263","0.212676364083288","0.372856764291237"
"Angestellte, einfache Tätigkeiten","1987","Hauptschule","Staedtischer Raum","1191","0.197094158027791","0.185550601463404","0.208637714592178"
"Angestellte, einfache Tätigkeiten","1987","Hauptschule","Laendlicher Raum","355","0.204094882883886","0.183306955028948","0.224882810738825"
"Angestellte, einfache Tätigkeiten","1987","Realschule","Staedtischer Raum","127","0.0862736699882218","0.0713242050234614","0.101223134952982"
"Angestellte, einfache Tätigkeiten","1987","Realschule","Laendlicher Raum","50","0.112810444524959","0.0818076415147665","0.143813247535152"
"Angestellte, einfache Tätigkeiten","1987","(Fach-)Abitur","Staedtischer Raum","114","0.0975822596867916","0.0750619467219434","0.12010257265164"
"Angestellte, einfache Tätigkeiten","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1987","AkademikerIn","Staedtischer Raum","","","",""
"Angestellte, einfache Tätigkeiten","1987","AkademikerIn","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1987","(noch) kein Abschluss","Staedtischer Raum","58","0.0537936106782028","0.0388620026643788","0.0687252186920269"
"Angestellte, qualifizierte Tätigkeiten","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1987","Hauptschule","Staedtischer Raum","1101","0.236510245066256","0.224179280877994","0.248841209254518"
"Angestellte, qualifizierte Tätigkeiten","1987","Hauptschule","Laendlicher Raum","285","0.183691636611664","0.163718958205281","0.203664315018047"
"Angestellte, qualifizierte Tätigkeiten","1987","Realschule","Staedtischer Raum","458","0.335978324198581","0.310829064741199","0.361127583655963"
"Angestellte, qualifizierte Tätigkeiten","1987","Realschule","Laendlicher Raum","119","0.288796396660857","0.244383310264768","0.333209483056945"
"Angestellte, qualifizierte Tätigkeiten","1987","(Fach-)Abitur","Staedtischer Raum","149","0.254613554071271","0.221552501264253","0.28767460687829"
"Angestellte, qualifizierte Tätigkeiten","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1987","AkademikerIn","Staedtischer Raum","230","0.364658055293654","0.326647483326937","0.402668627260372"
"Angestellte, qualifizierte Tätigkeiten","1987","AkademikerIn","Laendlicher Raum","38","0.253016032880118","0.176497451525082","0.329534614235155"
"Selbstständige/ManagerInnen","1987","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1987","Hauptschule","Staedtischer Raum","188","0.0389656427325752","0.0333502410249017","0.0445810444402488"
"Selbstständige/ManagerInnen","1987","Hauptschule","Laendlicher Raum","105","0.074854663655318","0.0612815680552842","0.0884277592553517"
"Selbstständige/ManagerInnen","1987","Realschule","Staedtischer Raum","77","0.0583994892453657","0.0459136910708035","0.0708852874199278"
"Selbstständige/ManagerInnen","1987","Realschule","Laendlicher Raum","34","0.0854319524617212","0.0580391621268524","0.11282474279659"
"Selbstständige/ManagerInnen","1987","(Fach-)Abitur","Staedtischer Raum","39","0.0593449291023814","0.0414144381018479","0.077275420102915"
"Selbstständige/ManagerInnen","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1987","AkademikerIn","Staedtischer Raum","88","0.14026884041833","0.112845543115504","0.167692137721156"
"Selbstständige/ManagerInnen","1987","AkademikerIn","Laendlicher Raum","","","",""
"In Ausbildung","1987","(noch) kein Abschluss","Staedtischer Raum","180","0.376311921607771","0.344248785085696","0.408375058129845"
"In Ausbildung","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"In Ausbildung","1987","Hauptschule","Staedtischer Raum","220","0.027407148072656","0.0226694442173242","0.0321448519279877"
"In Ausbildung","1987","Hauptschule","Laendlicher Raum","75","0.0357660042888938","0.0261876493548683","0.0453443592229193"
"In Ausbildung","1987","Realschule","Staedtischer Raum","226","0.121325618910028","0.103940859563804","0.138710378256253"
"In Ausbildung","1987","Realschule","Laendlicher Raum","71","0.149434466091831","0.114496519730598","0.184372412453063"
"In Ausbildung","1987","(Fach-)Abitur","Staedtischer Raum","190","0.297200171680349","0.262516463349581","0.331883880011118"
"In Ausbildung","1987","(Fach-)Abitur","Laendlicher Raum","35","0.334779506731854","0.246186980756293","0.423372032707414"
"In Ausbildung","1987","AkademikerIn","Staedtischer Raum","","","",""
"In Ausbildung","1987","AkademikerIn","Laendlicher Raum","","","",""
"In Rente oder Pension","1987","(noch) kein Abschluss","Staedtischer Raum","49","0.0832803259656291","0.0649935232954462","0.101567128635812"
"In Rente oder Pension","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"In Rente oder Pension","1987","Hauptschule","Staedtischer Raum","803","0.282047560765729","0.268989476636335","0.295105644895123"
"In Rente oder Pension","1987","Hauptschule","Laendlicher Raum","280","0.277950886932124","0.254844507751534","0.301057266112714"
"In Rente oder Pension","1987","Realschule","Staedtischer Raum","171","0.189887446744967","0.169004140761023","0.210770752728912"
"In Rente oder Pension","1987","Realschule","Laendlicher Raum","43","0.166666280043509","0.130144541407911","0.203188018679106"
"In Rente oder Pension","1987","(Fach-)Abitur","Staedtischer Raum","44","0.108619845496813","0.0850057538276388","0.132233937165987"
"In Rente oder Pension","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"In Rente oder Pension","1987","AkademikerIn","Staedtischer Raum","56","0.129636952421884","0.10311091588679","0.156162988956978"
"In Rente oder Pension","1987","AkademikerIn","Laendlicher Raum","","","",""
"Arbeitslose","1987","(noch) kein Abschluss","Staedtischer Raum","63","0.0604678885231773","0.0446929923226186","0.0762427847237359"
"Arbeitslose","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Arbeitslose","1987","Hauptschule","Staedtischer Raum","212","0.0382930599719579","0.0327243851093145","0.0438617348346013"
"Arbeitslose","1987","Hauptschule","Laendlicher Raum","80","0.0492043586129139","0.0380483234866046","0.0603603937392232"
"Arbeitslose","1987","Realschule","Staedtischer Raum","38","0.0242299968783375","0.0160429202735601","0.0324170734831148"
"Arbeitslose","1987","Realschule","Laendlicher Raum","","","",""
"Arbeitslose","1987","(Fach-)Abitur","Staedtischer Raum","","","",""
"Arbeitslose","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Arbeitslose","1987","AkademikerIn","Staedtischer Raum","","","",""
"Arbeitslose","1987","AkademikerIn","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1987","(noch) kein Abschluss","Staedtischer Raum","182","0.138364664482413","0.11551274727226","0.161216581692567"
"Sonstige Nichterwerbspersonen","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1987","Hauptschule","Staedtischer Raum","769","0.159778996321287","0.149146700246442","0.170411292396132"
"Sonstige Nichterwerbspersonen","1987","Hauptschule","Laendlicher Raum","224","0.148308040557538","0.129976957865122","0.166639123249954"
"Sonstige Nichterwerbspersonen","1987","Realschule","Staedtischer Raum","184","0.129268033331272","0.111404545496107","0.147131521166437"
"Sonstige Nichterwerbspersonen","1987","Realschule","Laendlicher Raum","47","0.108698569410205","0.0781955865064921","0.139201552313917"
"Sonstige Nichterwerbspersonen","1987","(Fach-)Abitur","Staedtischer Raum","77","0.104613315452485","0.0813868046471228","0.127839826257846"
"Sonstige Nichterwerbspersonen","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1987","AkademikerIn","Staedtischer Raum","42","0.057724995773295","0.0393075870913487","0.0761424044552414"
"Sonstige Nichterwerbspersonen","1987","AkademikerIn","Laendlicher Raum","","","",""
"Beamte","1987","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Beamte","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Beamte","1987","Hauptschule","Staedtischer Raum","78","0.0199031890417472","0.0158502854548556","0.0239560926286389"
"Beamte","1987","Hauptschule","Laendlicher Raum","40","0.0261295264576624","0.0179017806980518","0.0343572722172729"
"Beamte","1987","Realschule","Staedtischer Raum","74","0.054637420703226","0.0425363794429945","0.0667384619634575"
"Beamte","1987","Realschule","Laendlicher Raum","30","0.0760975561762212","0.0501129279088683","0.102082184443574"
"Beamte","1987","(Fach-)Abitur","Staedtischer Raum","","","",""
"Beamte","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Beamte","1987","AkademikerIn","Staedtischer Raum","147","0.219870527148391","0.187164741463291","0.252576312833491"
"Beamte","1987","AkademikerIn","Laendlicher Raum","40","0.31741465326751","0.235487245296925","0.399342061238096"
"Angestellte, einfache Tätigkeiten","1988","(noch) kein Abschluss","Staedtischer Raum","286","0.245586607478229","0.215437514949058","0.275735700007401"
"Angestellte, einfache Tätigkeiten","1988","(noch) kein Abschluss","Laendlicher Raum","40","0.160218433593151","0.0953945651158229","0.225042302070478"
"Angestellte, einfache Tätigkeiten","1988","Hauptschule","Staedtischer Raum","1129","0.190418058356642","0.178794293171304","0.20204182354198"
"Angestellte, einfache Tätigkeiten","1988","Hauptschule","Laendlicher Raum","306","0.178361752099153","0.157940968851071","0.198782535347236"
"Angestellte, einfache Tätigkeiten","1988","Realschule","Staedtischer Raum","131","0.091894111624773","0.0763221096135703","0.107466113635976"
"Angestellte, einfache Tätigkeiten","1988","Realschule","Laendlicher Raum","44","0.0989457911151531","0.0687249477729788","0.129166634457327"
"Angestellte, einfache Tätigkeiten","1988","(Fach-)Abitur","Staedtischer Raum","93","0.0843426464410916","0.0627955990112203","0.105889693870963"
"Angestellte, einfache Tätigkeiten","1988","(Fach-)Abitur","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1988","AkademikerIn","Staedtischer Raum","","","",""
