"beruf","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Selbstständige/ManagerInnen","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Baden-Württemberg","Staedtischer Raum","96","0.0649639888247071","0.0533935479460324","0.0765344297033818"
"Selbstständige/ManagerInnen","1985","Baden-Württemberg","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Bayern","Staedtischer Raum","61","0.0661744199000997","0.0505548300578779","0.0817940097423215"
"Selbstständige/ManagerInnen","1985","Bayern","Laendlicher Raum","72","0.0840611991178592","0.0661212439163376","0.102001154319381"
"Selbstständige/ManagerInnen","1985","Saarland","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","Saarland","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Berlin","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","Berlin","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Brandenburg","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","Brandenburg","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Sachsen","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","Sachsen","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Thüringen","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","Thüringen","Laendlicher Raum","","","",""
"In Ausbildung","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"In Ausbildung","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
