"beruf","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Selbstständige/ManagerInnen","1999","Laendlicher Raum","297","0.0611682108865759","0.0543938580588835","0.0679425637142683"
"Sonstige Nichterwerbspersonen","1999","Staedtischer Raum","932","0.0895613333491783","0.0836161145761254","0.0955065521222312"
"Sonstige Nichterwerbspersonen","1999","Laendlicher Raum","384","0.0848053444145806","0.0769298218755445","0.0926808669536167"
"Angestellte, einfache Tätigkeiten","2000","Staedtischer Raum","2501","0.151724212816492","0.14610176156613","0.157346664066855"
"Angestellte, einfache Tätigkeiten","2000","Laendlicher Raum","1320","0.15196811630885","0.144298430766893","0.159637801850806"
"Angestellte, qualifizierte Tätigkeiten","2000","Staedtischer Raum","4415","0.277406018810927","0.270389287826293","0.284422749795562"
"Angestellte, qualifizierte Tätigkeiten","2000","Laendlicher Raum","2332","0.260454772793221","0.251078208042452","0.269831337543989"
"Arbeitslose","2000","Staedtischer Raum","778","0.0418820148385981","0.0387425689925284","0.0450214606846678"
"Arbeitslose","2000","Laendlicher Raum","631","0.064664892413756","0.0594106134709537","0.0699191713565584"
"Beamte","2000","Staedtischer Raum","586","0.0348096186224271","0.0319369479417868","0.0376822893030675"
"Beamte","2000","Laendlicher Raum","257","0.028014731043154","0.0244892506980958","0.0315402113882123"
"In Ausbildung","2000","Staedtischer Raum","1220","0.0674104198559064","0.063480908826629","0.0713399308851837"
"In Ausbildung","2000","Laendlicher Raum","700","0.0714486420006926","0.0659456968802297","0.0769515871211556"
"In Rente oder Pension","2000","Staedtischer Raum","3349","0.258652141003986","0.251789381588304","0.265514900419669"
"In Rente oder Pension","2000","Laendlicher Raum","1913","0.27479987992452","0.265262426489687","0.284337333359353"
"Selbstständige/ManagerInnen","2000","Staedtischer Raum","1024","0.0675689084560201","0.0636351151092594","0.0715027018027808"
"Selbstständige/ManagerInnen","2000","Laendlicher Raum","533","0.0649018431968595","0.0596386132615019","0.070165073132217"
"Sonstige Nichterwerbspersonen","2000","Staedtischer Raum","1767","0.100546665595642","0.0958336066538577","0.105259724537427"
"Sonstige Nichterwerbspersonen","2000","Laendlicher Raum","730","0.0837471223189478","0.0778289466807528","0.0896652979571427"
"Angestellte, einfache Tätigkeiten","2001","Staedtischer Raum","2236","0.148318578511741","0.142481863714767","0.154155293308715"
"Angestellte, einfache Tätigkeiten","2001","Laendlicher Raum","1201","0.151027744029517","0.142996362680677","0.159059125378356"
"Angestellte, qualifizierte Tätigkeiten","2001","Staedtischer Raum","4113","0.279234680936522","0.271867289793428","0.286602072079616"
"Angestellte, qualifizierte Tätigkeiten","2001","Laendlicher Raum","2097","0.256796609713619","0.246998019056164","0.266595200371073"
"Arbeitslose","2001","Staedtischer Raum","690","0.0457949550703929","0.0423620501009949","0.049227860039791"
"Arbeitslose","2001","Laendlicher Raum","625","0.0727500673050675","0.0669246071499902","0.0785755274601448"
"Beamte","2001","Staedtischer Raum","542","0.0362954734998357","0.0332241165602085","0.0393668304394629"
"Beamte","2001","Laendlicher Raum","238","0.0292809326397239","0.0254995174527843","0.0330623478266635"
"In Ausbildung","2001","Staedtischer Raum","1141","0.0698407848009593","0.0656551116677858","0.0740264579341329"
"In Ausbildung","2001","Laendlicher Raum","667","0.0727589944366482","0.0669332049167953","0.078584783956501"
