"beruf","year","n","percent","lower_confidence","upper_confidence"
"In Rente oder Pension","2002","5077","0.274696548579141","0.268926565702562","0.28046653145572"
"Selbstständige/ManagerInnen","2002","1744","0.0612755030461472","0.0581752255406869","0.0643757805516075"
"Sonstige Nichterwerbspersonen","2002","2045","0.0844984953213914","0.080903137908996","0.0880938527337867"
"Angestellte, einfache Tätigkeiten","2003","3190","0.150770997825111","0.146057318631401","0.155484677018822"
"Angestellte, qualifizierte Tätigkeiten","2003","6123","0.259519015665064","0.253744304641623","0.265293726688505"
"Arbeitslose","2003","1404","0.066882899792523","0.0635920024893537","0.0701737970956924"
"Beamte","2003","998","0.0319475609641414","0.0296309292148684","0.0342641927134143"
"In Ausbildung","2003","1897","0.0718197673949055","0.0684186089589142","0.0752209258308967"
"In Rente oder Pension","2003","5063","0.278622224136202","0.272716434612598","0.284528013659806"
"Selbstständige/ManagerInnen","2003","1594","0.0595249487009619","0.0564081276891189","0.0626417697128048"
"Sonstige Nichterwerbspersonen","2003","1868","0.0809125855210909","0.0773202643516516","0.0845049066905301"
"Angestellte, einfache Tätigkeiten","2004","3156","0.153329876901366","0.148523226063843","0.158136527738889"
"Angestellte, qualifizierte Tätigkeiten","2004","5802","0.249830022963557","0.244054727361902","0.255605318565212"
"Arbeitslose","2004","1390","0.0699192141196867","0.0665172426279349","0.0733211856114385"
"Beamte","2004","951","0.0309532574766483","0.028642801980032","0.0332637129732646"
"In Ausbildung","2004","1941","0.0770268172421045","0.0734697867967324","0.0805838476874766"
"In Rente oder Pension","2004","4995","0.280001294612753","0.274011417094588","0.285991172130917"
"Selbstständige/ManagerInnen","2004","1628","0.0633095740262951","0.0600609099886401","0.06655823806395"
"Sonstige Nichterwerbspersonen","2004","1722","0.0756299426575898","0.0721026468299173","0.0791572384852623"
"Angestellte, einfache Tätigkeiten","2005","2942","0.155909325318705","0.150964682511064","0.160853968126347"
"Angestellte, qualifizierte Tätigkeiten","2005","5606","0.254822841198404","0.248883294910935","0.260762387485873"
"Arbeitslose","2005","1328","0.0705424533764498","0.0670523010176014","0.0740326057352982"
"Beamte","2005","916","0.0327067050909242","0.0302823188347751","0.0351310913470733"
"In Ausbildung","2005","1835","0.079826823635325","0.0761326820545451","0.0835209652161049"
"In Rente oder Pension","2005","4946","0.271142830774817","0.265083500780446","0.277202160769188"
"Selbstständige/ManagerInnen","2005","1503","0.0604378151275227","0.0571897743746535","0.0636858558803919"
"Sonstige Nichterwerbspersonen","2005","1601","0.0746112054778517","0.0710296764637419","0.0781927344919616"
"Angestellte, einfache Tätigkeiten","2006","3000","0.147233295779688","0.142574803922489","0.151891787636886"
"Angestellte, qualifizierte Tätigkeiten","2006","5982","0.257291336212241","0.25154423252709","0.263038439897392"
"Arbeitslose","2006","1431","0.0715398131696175","0.0681515061947019","0.0749281201445331"
"Beamte","2006","944","0.0325483287776582","0.0302153746851072","0.0348812828702092"
"In Ausbildung","2006","1556","0.0659605156827518","0.0626972544240936","0.06922377694141"
"In Rente oder Pension","2006","5628","0.27377684687506","0.267914647156652","0.279639046593469"
"Selbstständige/ManagerInnen","2006","1697","0.0653230606461756","0.062074498102225","0.0685716231901261"
"Sonstige Nichterwerbspersonen","2006","1987","0.0863268028568081","0.082634515636175","0.0900190900774412"
"Angestellte, einfache Tätigkeiten","2007","3031","0.157962756302161","0.153008221476032","0.16291729112829"
"Angestellte, qualifizierte Tätigkeiten","2007","5612","0.262172518827045","0.256197615536987","0.268147422117104"
"Arbeitslose","2007","1164","0.0633287603515263","0.0600200864210068","0.0666374342820458"
"Beamte","2007","904","0.0346119911179354","0.0321287200695493","0.0370952621663215"
"In Ausbildung","2007","1458","0.0642560109453598","0.0609248525264065","0.0675871693643132"
"In Rente oder Pension","2007","5370","0.276587288725825","0.270510571046316","0.282664006405334"
"Selbstständige/ManagerInnen","2007","1534","0.0611637567386163","0.0579083752988775","0.0644191381783552"
"Sonstige Nichterwerbspersonen","2007","1742","0.0799169169915305","0.0762331447841481","0.0836006891989129"
"Angestellte, einfache Tätigkeiten","2008","2839","0.163714418847378","0.158524878914093","0.168903958780662"
"Angestellte, qualifizierte Tätigkeiten","2008","5459","0.272495696872346","0.266251081471616","0.278740312273077"
"Arbeitslose","2008","962","0.0547716074804105","0.0515804061007079","0.0579628088601131"
"Beamte","2008","817","0.0332121526985522","0.0306989808134249","0.0357253245836795"
"In Ausbildung","2008","1395","0.0667463696351659","0.0632459367362215","0.0702468025341104"
"In Rente oder Pension","2008","5155","0.274071681285619","0.267815821018039","0.2803275415532"
"Selbstständige/ManagerInnen","2008","1418","0.0605371225185602","0.0571924100650439","0.0638818349720764"
"Sonstige Nichterwerbspersonen","2008","1484","0.0744509506619677","0.0707692969981109","0.0781326043258244"
"Angestellte, einfache Tätigkeiten","2009","2634","0.159492564429054","0.154174446432858","0.164810682425249"
"Angestellte, qualifizierte Tätigkeiten","2009","5075","0.27482779321075","0.268343421993486","0.281312164428014"
"Arbeitslose","2009","904","0.0564315965807717","0.0530798989509807","0.0597832942105626"
"Beamte","2009","759","0.0343104419029926","0.0316665183592185","0.0369543654467668"
"In Ausbildung","2009","1271","0.0689470637343038","0.065266943198483","0.0726271842701246"
"In Rente oder Pension","2009","4886","0.271529722036265","0.26506973606793","0.277989708004599"
"Selbstständige/ManagerInnen","2009","1335","0.0630073829607307","0.0594781463658333","0.0665366195556282"
"Sonstige Nichterwerbspersonen","2009","1344","0.0714534351451329","0.0677120676505087","0.0751948026397571"
"Angestellte, einfache Tätigkeiten","2010","3663","0.154296740888325","0.14974918421383","0.158844297562819"
"Angestellte, qualifizierte Tätigkeiten","2010","6999","0.281202607895122","0.275542774333809","0.286862441456435"
"Arbeitslose","2010","1706","0.0582601156382378","0.0553113388803035","0.0612088923961722"
"Beamte","2010","941","0.0350769386664442","0.0327608886906632","0.0373929886422252"
"In Ausbildung","2010","1554","0.0715829958067995","0.0683376033700718","0.0748283882435273"
"In Rente oder Pension","2010","4701","0.270951893914947","0.265356702736655","0.276547085093238"
"Selbstständige/ManagerInnen","2010","1775","0.0618943896555815","0.0588609018694976","0.0649278774416654"
"Sonstige Nichterwerbspersonen","2010","2900","0.0667343175345438","0.0635925937372354","0.0698760413318523"
"Angestellte, einfache Tätigkeiten","2011","4473","0.155822422700755","0.151630913416564","0.160013931984945"
"Angestellte, qualifizierte Tätigkeiten","2011","8416","0.28389295372622","0.278682148617257","0.289103758835183"
"Arbeitslose","2011","1734","0.0482487698120759","0.0457722409380327","0.0507252986861191"
"Beamte","2011","1160","0.0345282927028807","0.0324182274877694","0.036638357917992"
"In Ausbildung","2011","1823","0.065449758257603","0.0625915497964738","0.0683079667187322"
"In Rente oder Pension","2011","6150","0.276935273468026","0.271763776483671","0.28210677045238"
"Selbstständige/ManagerInnen","2011","2123","0.0638799606486324","0.0610538664007263","0.0667060548965384"
"Sonstige Nichterwerbspersonen","2011","2883","0.0712425686838076","0.0682698111679249","0.0742153261996904"
"Angestellte, einfache Tätigkeiten","2012","4319","0.153474303533598","0.149259781822704","0.157688825244491"
"Angestellte, qualifizierte Tätigkeiten","2012","8489","0.290292817848071","0.284985585116916","0.295600050579225"
"Arbeitslose","2012","1615","0.0499558342064354","0.0474085617923858","0.052503106620485"
"Beamte","2012","1138","0.0361998192268678","0.0340157968207076","0.0383838416330279"
"In Ausbildung","2012","1792","0.0622904623675559","0.0594645718581262","0.0651163528769857"
"In Rente oder Pension","2012","6177","0.27576295259576","0.270537562526652","0.280988342664868"
"Selbstständige/ManagerInnen","2012","2004","0.0650516349777694","0.0621680463215828","0.067935223633956"
"Sonstige Nichterwerbspersonen","2012","2564","0.0669721752439431","0.0640493362872104","0.0698950142006759"
"Angestellte, einfache Tätigkeiten","2013","5758","0.160645753599457","0.156562440394895","0.164729066804019"
"Angestellte, qualifizierte Tätigkeiten","2013","8934","0.282778001987392","0.27777010907381","0.287785894900974"
"Arbeitslose","2013","2059","0.0510700254473652","0.0486220585441122","0.0535179923506182"
"Beamte","2013","1096","0.0346851629175057","0.0326504095207535","0.0367199163142578"
"In Ausbildung","2013","2241","0.0646509119271717","0.0619164013144509","0.0673854225398924"
"In Rente oder Pension","2013","5966","0.276456155933134","0.271482783520586","0.281429528345682"
"Selbstständige/ManagerInnen","2013","2127","0.0650305736742561","0.0622886022813718","0.0677725450671404"
"Sonstige Nichterwerbspersonen","2013","2885","0.0646834145137182","0.0619482641370238","0.0674185648904127"
"Angestellte, einfache Tätigkeiten","2014","4826","0.15803912116868","0.15373226486197","0.16234597747539"
"Angestellte, qualifizierte Tätigkeiten","2014","8140","0.290775012557773","0.285413310482242","0.296136714633303"
"Arbeitslose","2014","1632","0.0509431383186596","0.0483470402888848","0.0535392363484343"
"Beamte","2014","1023","0.0364615745481815","0.0342485595773287","0.0386745895190342"
"In Ausbildung","2014","1973","0.063794155228898","0.0609087405132124","0.0666795699445835"
"In Rente oder Pension","2014","5684","0.271605042129686","0.266353528435306","0.276856555824066"
"Selbstständige/ManagerInnen","2014","1847","0.0642739447465021","0.0613784421298761","0.0671694473631282"
"Sonstige Nichterwerbspersonen","2014","2432","0.06410801130162","0.0612159923129117","0.0670000302903283"
"Angestellte, einfache Tätigkeiten","2015","5054","0.163236357674709","0.158845616742748","0.167627098606669"
"Angestellte, qualifizierte Tätigkeiten","2015","7816","0.290940975728453","0.28554497991283","0.296336971544076"
"Arbeitslose","2015","1721","0.050443359468691","0.0478432573618322","0.0530434615755499"
"Beamte","2015","974","0.0360872974108569","0.0338715308929066","0.0383030639288073"
"In Ausbildung","2015","1911","0.0622918972176258","0.0594206037828681","0.0651631906523835"
"In Rente oder Pension","2015","5543","0.273194556954162","0.267900689406368","0.278488424501956"
"Selbstständige/ManagerInnen","2015","1760","0.0629787592425803","0.0600927366112539","0.0658647818739068"
"Sonstige Nichterwerbspersonen","2015","2438","0.0608267963029223","0.057987254397016","0.0636663382088287"
"Angestellte, einfache Tätigkeiten","2016","4517","0.158873009044798","0.154564909804173","0.163181108285424"
"Angestellte, qualifizierte Tätigkeiten","2016","7496","0.301580170188622","0.296171512131527","0.306988828245718"
"Arbeitslose","2016","1426","0.0497620648722723","0.0471993798390789","0.0523247499054657"
"Beamte","2016","919","0.0377554510416597","0.0355091786720959","0.0400017234112235"
"In Ausbildung","2016","1897","0.0646805434152324","0.061781887482161","0.0675791993483038"
"In Rente oder Pension","2016","5275","0.26329125022841","0.258100908156152","0.268481592300668"
"Selbstständige/ManagerInnen","2016","1577","0.0614328359555818","0.058602989875627","0.0642626820355365"
"Sonstige Nichterwerbspersonen","2016","4552","0.0626246752534233","0.0597693252174347","0.0654800252894119"
"Angestellte, einfache Tätigkeiten","2017","5195","0.166813700355815","0.162661766904336","0.170965633807293"
"Angestellte, qualifizierte Tätigkeiten","2017","8455","0.300002251285211","0.294898681656979","0.305105820913443"
"Arbeitslose","2017","2319","0.0478621757729781","0.0454847356191272","0.050239615926829"
"Beamte","2017","1063","0.0365530872979036","0.0344631204736852","0.0386430541221221"
"In Ausbildung","2017","2208","0.0630606807800597","0.0603536167666661","0.0657677447934533"
"In Rente oder Pension","2017","5548","0.260809027863611","0.255919092675421","0.2656989630518"
"Selbstständige/ManagerInnen","2017","1762","0.0620380485128893","0.0593515590559794","0.0647245379697992"
"Sonstige Nichterwerbspersonen","2017","4422","0.062861028131533","0.0601579648998996","0.0655640913631665"
"Angestellte, einfache Tätigkeiten","2018","5120","0.16419169583517","0.15996780212649","0.16841558954385"
"Angestellte, qualifizierte Tätigkeiten","2018","8334","0.315198437964704","0.309901090681961","0.320495785247446"
"Arbeitslose","2018","2608","0.0463076818245894","0.0439115279248266","0.0487038357243521"
"Beamte","2018","993","0.0349566491315766","0.0328624288801972","0.037050869382956"
"In Ausbildung","2018","2143","0.0595368104477596","0.0568387745176511","0.0622348463778682"
"In Rente oder Pension","2018","5525","0.261652769878915","0.256641162510154","0.266664377247677"
"Selbstständige/ManagerInnen","2018","1596","0.0600370628912592","0.0573284363511841","0.0627456894313342"
"Sonstige Nichterwerbspersonen","2018","3229","0.0581188920260257","0.0554511689098315","0.0607866151422198"
"Angestellte, einfache Tätigkeiten","2019","4847","0.160705784592052","0.156513793079961","0.164897776104142"
"Angestellte, qualifizierte Tätigkeiten","2019","7932","0.317680075515543","0.312365892093193","0.322994258937893"
"Arbeitslose","2019","2273","0.0426251606443503","0.0403193611257761","0.0449309601629246"
"Beamte","2019","944","0.0359126594032753","0.0337887817355448","0.0380365370710058"
"In Ausbildung","2019","1901","0.0569261191323881","0.0542814206130173","0.059570817651759"
"In Rente oder Pension","2019","5507","0.262257190949315","0.257236497329205","0.267277884569424"
"Selbstständige/ManagerInnen","2019","3321","0.0664008429290533","0.0635589052717582","0.0692427805863484"
"Sonstige Nichterwerbspersonen","2019","2760","0.0574921668340238","0.0548351497447071","0.0601491839233405"
"Angestellte, einfache Tätigkeiten","2020","5577","0.164557205109641","0.160344834741521","0.168769575477762"
"Angestellte, qualifizierte Tätigkeiten","2020","8120","0.312434402874463","0.307168822667089","0.317699983081837"
"Arbeitslose","2020","1993","0.0424006438283764","0.0401114219539168","0.0446898657028359"
"Beamte","2020","950","0.0369852911599853","0.0348412124716075","0.0391293698483631"
"In Ausbildung","2020","2047","0.0572349859378705","0.0545959685127289","0.0598740033630121"
"In Rente oder Pension","2020","5199","0.259251385210258","0.254272802739853","0.264229967680664"
"Selbstständige/ManagerInnen","2020","2537","0.0620915138007667","0.0593499011488125","0.0648331264527209"
"Sonstige Nichterwerbspersonen","2020","3340","0.0650445720786383","0.0622429424418653","0.0678462017154113"
