year,pgisced97,plj0078,proportion,n,lower_confidence,upper_confidence
1989,higher education,In mancher Beziehung,0.010923987255348202,12393,0.009093893776091587,0.012754080734604817
1989,inadequately,Voll und ganz,0.005006827492034593,12393,0.003764147771807143,0.006249507212262043
1989,vocational + Abi,Kaum,0.004551661356395084,12393,0.0033665417553537186,0.005736780957436449
1989,higher education,Gar nicht,0.0036413290851160674,12393,0.0025808413164428974,0.004701816853789237
1989,vocational + Abi,Ueberwiegend,0.0031861629494765588,12393,0.0021939409155897482,0.004178384983363369
1989,in school,Gar nicht,0.0027309968138370506,12393,0.001812168004975122,0.003649825622698979
1989,higher education,Kaum,0.0027309968138370506,12393,0.001812168004975122,0.003649825622698979
1989,higher vocational,In mancher Beziehung,0.002275830678197542,12393,0.0014368671784564322,0.0031147941779386514
1989,in school,In mancher Beziehung,0.002275830678197542,12393,0.0014368671784564322,0.0031147941779386514
1989,higher vocational,Kaum,0.0018206645425580337,12393,0.0010701016296452378,0.0025712274554708296
1989,in school,Kaum,0.0013654984069185253,12393,0.0007153436737807118,0.002015653140056339
1989,higher vocational,Gar nicht,0.0013654984069185253,12393,0.0007153436737807118,0.002015653140056339
1989,higher education,Voll und ganz,0.0009103322712790169,12393,0.00037936219091484866,0.001441302351643185
1989,vocational + Abi,Voll und ganz,0.0004551661356395084,12393,7.96280764478591e-05,0.0008307041948311578
1989,higher vocational,Ueberwiegend,0.0004551661356395084,12393,7.96280764478591e-05,0.0008307041948311578
1989,in school,Voll und ganz,0.0004551661356395084,12393,7.96280764478591e-05,0.0008307041948311578
1989,in school,Ueberwiegend,0.0004551661356395084,12393,7.96280764478591e-05,0.0008307041948311578
1989,higher education,Ueberwiegend,0.0004551661356395084,12393,7.96280764478591e-05,0.0008307041948311578
1991,general elemantary,Gar nicht,0.15330188679245282,17756,0.14800254966095455,0.1586012239239511
1991,inadequately,Gar nicht,0.12028301886792453,17756,0.11549829201044273,0.12506774572540633
1991,middle vocational,In mancher Beziehung,0.1080188679245283,17756,0.10345312822668468,0.11258460762237193
1991,general elemantary,In mancher Beziehung,0.10613207547169812,17756,0.10160160286862686,0.11066254807476937
1991,middle vocational,Gar nicht,0.09292452830188679,17756,0.08865411019929484,0.09719494640447873
1991,general elemantary,Kaum,0.06415094339622641,17756,0.06054691727208404,0.06775496952036879
1991,inadequately,Kaum,0.06132075471698113,17756,0.05779180186066381,0.06484970757329846
1991,inadequately,In mancher Beziehung,0.054245283018867926,17756,0.050913676133928,0.057576889903807854
1991,middle vocational,Kaum,0.049528301886792456,17756,0.046336912348642456,0.052719691424942455
1991,middle vocational,Ueberwiegend,0.03962264150943396,17756,0.03675334009700652,0.0424919429218614
1991,general elemantary,Ueberwiegend,0.03537735849056604,17756,0.032660137692349815,0.03809457928878226
1991,vocational + Abi,In mancher Beziehung,0.01981132075471698,17756,0.01776159829895217,0.021861043210481792
1991,general elemantary,Voll und ganz,0.01509433962264151,17756,0.013300895382599959,0.01688778386268306
1991,middle vocational,Voll und ganz,0.01509433962264151,17756,0.013300895382599959,0.01688778386268306
1991,vocational + Abi,Gar nicht,0.010377358490566037,17756,0.0088867564048077,0.011867960576324374
1991,inadequately,Ueberwiegend,0.009433962264150943,17756,0.008012051678358804,0.010855872849943082
1991,higher education,In mancher Beziehung,0.008962264150943396,17756,0.007576027206716355,0.010348501095170437
1991,vocational + Abi,Kaum,0.006603773584905661,17756,0.005412419540459008,0.007795127629352313
1991,in school,In mancher Beziehung,0.0042452830188679245,17756,0.00328894149369861,0.005201624544037239
1991,higher education,Ueberwiegend,0.002830188679245283,17756,0.0020487844473497173,0.0036115929111408484
1991,higher education,Kaum,0.002830188679245283,17756,0.0020487844473497173,0.0036115929111408484
1991,higher education,Gar nicht,0.002830188679245283,17756,0.0020487844473497173,0.0036115929111408484
1991,vocational + Abi,Ueberwiegend,0.002830188679245283,17756,0.0020487844473497173,0.0036115929111408484
1991,inadequately,Voll und ganz,0.002830188679245283,17756,0.0020487844473497173,0.0036115929111408484
1991,in school,Ueberwiegend,0.0018867924528301887,17756,0.0012484768364058021,0.002525108069254575
1991,vocational + Abi,Voll und ganz,0.0014150943396226414,17756,0.0008621661923588442,0.0019680224868864385
1991,higher vocational,Kaum,0.0014150943396226414,17756,0.0008621661923588442,0.0019680224868864385
1991,higher vocational,In mancher Beziehung,0.0014150943396226414,17756,0.0008621661923588442,0.0019680224868864385
1991,higher vocational,Gar nicht,0.0014150943396226414,17756,0.0008621661923588442,0.0019680224868864385
1991,in school,Voll und ganz,0.0009433962264150943,17756,0.0004918256690306716,0.0013949667837995171
1991,in school,Gar nicht,0.0009433962264150943,17756,0.0004918256690306716,0.0013949667837995171
1991,higher vocational,Ueberwiegend,0.0009433962264150943,17756,0.0004918256690306716,0.0013949667837995171
1991,higher education,Voll und ganz,0.0004716981132075472,17756,0.0001523141390464238,0.0007910820873686705
1991,in school,Kaum,0.0004716981132075472,17756,0.0001523141390464238,0.0007910820873686705
1993,general elemantary,Gar nicht,0.14173228346456693,16993,0.13648823347243697,0.1469763334566969
1993,middle vocational,In mancher Beziehung,0.11811023622047244,16993,0.11325766450418241,0.12296280793676247
1993,inadequately,Gar nicht,0.11663385826771654,16993,0.11180767579038331,0.12146004074504976
1993,general elemantary,In mancher Beziehung,0.10482283464566929,16993,0.10021705145661916,0.10942861783471941
1993,middle vocational,Gar nicht,0.08759842519685039,16993,0.08334770806771939,0.09184914232598139
1993,general elemantary,Kaum,0.06840551181102363,16993,0.06460991523536808,0.07220110838667917
1993,inadequately,In mancher Beziehung,0.05561023622047244,16993,0.05216456331300549,0.05905590912793939
1993,middle vocational,Kaum,0.054133858267716536,16993,0.050731575752386605,0.05753614078304647
1993,inadequately,Kaum,0.05216535433070866,16993,0.048822030737532676,0.05550867792388464
1993,general elemantary,Ueberwiegend,0.03789370078740158,16993,0.03502281389465877,0.04076458768014438
1993,middle vocational,Ueberwiegend,0.036909448818897635,16993,0.034074642556048244,0.039744255081747025
1993,general elemantary,Voll und ganz,0.0172244094488189,16993,0.015268177291878784,0.01918064160575901
1993,vocational + Abi,In mancher Beziehung,0.01673228346456693,16993,0.014803717315872222,0.01866084961326164
1993,middle vocational,Voll und ganz,0.01624015748031496,16993,0.014339688847247178,0.01814062611338274
1993,higher education,In mancher Beziehung,0.011318897637795276,16993,0.009728333356559515,0.012909461919031038
1993,inadequately,Ueberwiegend,0.011318897637795276,16993,0.009728333356559515,0.012909461919031038
1993,vocational + Abi,Gar nicht,0.010826771653543307,16993,0.009270781988136318,0.012382761318950296
1993,vocational + Abi,Kaum,0.0073818897637795275,16993,0.00609483828574442,0.008668941241814634
1993,vocational + Abi,Ueberwiegend,0.004921259842519685,16993,0.003869084997446592,0.0059734346875927775
1993,higher education,Gar nicht,0.003937007874015748,16993,0.0029954487707337663,0.00487856697729773
1993,inadequately,Voll und ganz,0.0034448818897637795,16993,0.0025639164471011975,0.0043258473324263615
1993,in school,Ueberwiegend,0.002952755905511811,16993,0.002136939029799497,0.003768572781224125
1993,in school,In mancher Beziehung,0.002952755905511811,16993,0.002136939029799497,0.003768572781224125
1993,higher education,Kaum,0.002952755905511811,16993,0.002136939029799497,0.003768572781224125
1993,higher vocational,In mancher Beziehung,0.0024606299212598425,16993,0.0017157106400171457,0.0032055492025025393
1993,higher vocational,Gar nicht,0.001968503937007874,16993,0.0013020635467432355,0.0026349443272725122
1993,in school,Gar nicht,0.001968503937007874,16993,0.0013020635467432355,0.0026349443272725122
1993,higher education,Ueberwiegend,0.001968503937007874,16993,0.0013020635467432355,0.0026349443272725122
1993,vocational + Abi,Voll und ganz,0.0014763779527559055,16993,0.0008990813657888217,0.0020536745397229895
1993,higher education,Voll und ganz,0.000984251968503937,16993,0.0005127751374608659,0.0014557287995470081
1993,in school,Kaum,0.000984251968503937,16993,0.0005127751374608659,0.0014557287995470081
