year,plj0078,sampreg,proportion,n,lower_confidence,upper_confidence
2010,Gar nicht,East,0.00625,35837,0.005434040078483837,0.007065959921516164
2012,Voll und ganz,West,0.8869778869778869,40229,0.8838838566928605,0.8900719172629133
2012,Voll und ganz,East,0.11302211302211303,40229,0.10992808273708665,0.1161161433071394
2012,Ueberwiegend,West,0.9526730937773883,40229,0.9505981207278507,0.9547480668269259
2012,Ueberwiegend,East,0.04732690622261174,40229,0.04525193317307406,0.049401879272149424
2012,In mancher Beziehung,West,0.9593582887700535,40229,0.9574287084470564,0.9612878690930505
2012,In mancher Beziehung,East,0.040641711229946524,40229,0.038712130906949506,0.04257129155294354
2012,Kaum,West,0.9662576687116564,40229,0.9644931735485763,0.9680221638747365
2012,Kaum,East,0.03374233128834356,40229,0.03197783612526348,0.03550682645142363
2012,Gar nicht,West,0.9579439252336449,40229,0.955982504035342,0.9599053464319478
2012,Gar nicht,East,0.04205607476635514,40229,0.040094653568052294,0.04401749596465798
2013,Voll und ganz,West,0.9113805970149254,44486,0.908739656058723,0.9140215379711277
2013,Voll und ganz,East,0.08861940298507463,44486,0.08597846202887224,0.09126034394127702
2013,Ueberwiegend,West,0.9270449521002211,44486,0.9246282536543434,0.9294616505460987
2013,Ueberwiegend,East,0.07295504789977893,44486,0.07053834945390129,0.07537174634565656
2013,In mancher Beziehung,West,0.9182795698924732,44486,0.9157339287843759,0.9208252110005705
2013,In mancher Beziehung,East,0.08172043010752689,44486,0.07917478899942958,0.0842660712156242
2013,Kaum,West,0.9321428571428572,44486,0.9298057242086789,0.9344799900770354
2013,Kaum,East,0.06785714285714285,44486,0.06552000992296456,0.07019427579132115
2013,Gar nicht,West,0.9494736842105264,44486,0.9474383080909555,0.9515090603300972
2013,Gar nicht,East,0.05052631578947368,44486,0.04849093966990284,0.05256169190904453
2014,Voll und ganz,West,0.9080459770114943,38694,0.9051667656710474,0.9109251883519411
2014,Voll und ganz,East,0.09195402298850575,38694,0.08907481164805886,0.09483323432895263
2014,Ueberwiegend,West,0.9513742071881607,38694,0.9492311029662459,0.9535173114100755
2014,Ueberwiegend,East,0.048625792811839326,38694,0.04648268858992457,0.05076889703375408
2014,In mancher Beziehung,West,0.9307291666666667,38694,0.9281991631448165,0.9332591701885169
2014,In mancher Beziehung,East,0.06927083333333334,38694,0.06674082981148315,0.07180083685518353
2014,Kaum,West,0.9346210995542348,38694,0.9321580630162662,0.9370841360922033
2014,Kaum,East,0.06537890044576523,38694,0.06291586390779666,0.06784193698373381
2014,Gar nicht,West,0.952020202020202,38694,0.9498906583654795,0.9541497456749245
2014,Gar nicht,East,0.047979797979797977,38694,0.04585025432507549,0.050109341634520466
2016,Voll und ganz,West,0.909181636726547,41132,0.9064046211170723,0.9119586523360216
2016,Voll und ganz,East,0.09081836327345309,41132,0.08804134766397843,0.09359537888292775
2016,Ueberwiegend,West,0.9391163793103449,41132,0.936805506188786,0.9414272524319037
2016,Ueberwiegend,East,0.06088362068965517,41132,0.05857274756809633,0.06319449381121402
2016,In mancher Beziehung,West,0.9190421892816419,41132,0.9164060809139513,0.9216782976493326
2016,In mancher Beziehung,East,0.08095781071835804,41132,0.07832170235066732,0.08359391908604877
2016,Kaum,West,0.9415929203539823,41132,0.9393265520068171,0.9438592887011475
2016,Kaum,East,0.0584070796460177,41132,0.05614071129885246,0.06067344799318294
2016,Gar nicht,West,0.9145907473309609,41132,0.9118897010826185,0.9172917935793033
2016,Gar nicht,East,0.08540925266903915,41132,0.08270820642069675,0.08811029891738155
2018,Voll und ganz,West,0.9061569016881827,43121,0.9034044827985792,0.9089093205777863
2018,Voll und ganz,East,0.09384309831181728,43121,0.09109067942221377,0.09659551720142079
2018,Ueberwiegend,West,0.9349638688160089,43121,0.9326363863244083,0.9372913513076095
2018,Ueberwiegend,East,0.06503613118399111,43121,0.06270864869239046,0.06736361367559177
2018,In mancher Beziehung,West,0.9165109034267913,43121,0.9138999726460547,0.9191218342075279
2018,In mancher Beziehung,East,0.08348909657320873,43121,0.08087816579247215,0.08610002735394531
2018,Kaum,West,0.9163265306122449,43121,0.913712981423182,0.9189400798013078
2018,Kaum,East,0.0836734693877551,43121,0.08105992019869225,0.08628701857681796
2018,Gar nicht,West,0.9006849315068494,43121,0.8978619652878996,0.9035078977257991
2018,Gar nicht,East,0.09931506849315068,43121,0.09649210227420091,0.10213803471210045
