year,age_gr,bula_h,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.63580,151,214,0.57118,0.70043
2003,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.36420,63,214,0.29957,0.42882
2003,30-45 y.,Baden-Wuerttemberg,Yes,0.77242,351,471,0.73452,0.81033
2003,30-45 y.,Baden-Wuerttemberg,No,0.22758,120,471,0.18967,0.26548
2003,30-45 y.,Bavaria,Yes,0.68883,377,540,0.64974,0.72791
2003,30-45 y.,Bavaria,No,0.31117,163,540,0.27209,0.35026
2003,30-45 y.,Berlin,Yes,0.75791,83,83,0.66519,0.85062
2003,30-45 y.,Brandenburg,Yes,0.67698,81,124,0.59433,0.75962
2003,30-45 y.,Brandenburg,No,0.32302,43,124,0.24038,0.40567
2003,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.54393,50,50,0.40447,0.68339
2003,30-45 y.,Saxony,Yes,0.67849,199,275,0.62319,0.73379
2003,30-45 y.,Saxony,No,0.32151,76,275,0.26621,0.37681
2003,30-45 y.,Saxony-Anhalt,Yes,0.58853,87,136,0.50552,0.67154
2003,30-45 y.,Saxony-Anhalt,No,0.41147,49,136,0.32846,0.49448
2003,30-45 y.,Thuringa,Yes,0.69021,98,144,0.61442,0.76600
2003,30-45 y.,Thuringa,No,0.30979,46,144,0.23400,0.38558
2003,46-65 y.,Schleswig-Holstein,Yes,0.71662,68,68,0.60872,0.82453
2003,46-65 y.,Hamburg,Yes,0.71671,32,32,0.55808,0.87533
2003,46-65 y.,Lower Saxony,Yes,0.63795,146,225,0.57501,0.70089
2003,46-65 y.,Lower Saxony,No,0.36205,79,225,0.29911,0.42499
2003,46-65 y.,North Rhine-Westphalia,Yes,0.69549,357,506,0.65535,0.73562
2003,46-65 y.,North Rhine-Westphalia,No,0.30451,149,506,0.26438,0.34465
2003,46-65 y.,Hesse,Yes,0.66772,128,191,0.60074,0.73470
