year,quintil_oecd,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,5th Quintile,female,Yes,0.35055,187,568,0.31127,0.38982
1990,5th Quintile,female,No,0.64945,381,568,0.61018,0.68873
1991,1st Quintile,male,Yes,0.32514,138,461,0.28233,0.36794
1991,1st Quintile,male,No,0.67486,323,461,0.63206,0.71767
1991,1st Quintile,female,Yes,0.22856,56,285,0.17973,0.27740
1991,1st Quintile,female,No,0.77144,229,285,0.72260,0.82027
1991,2nd Quintile,male,Yes,0.43292,253,624,0.39401,0.47182
1991,2nd Quintile,male,No,0.56708,371,624,0.52818,0.60599
1991,2nd Quintile,female,Yes,0.26796,102,428,0.22595,0.30997
1991,2nd Quintile,female,No,0.73204,326,428,0.69003,0.77405
1991,3rd Quintile,male,Yes,0.41369,297,720,0.37769,0.44969
1991,3rd Quintile,male,No,0.58631,423,720,0.55031,0.62231
1991,3rd Quintile,female,Yes,0.33262,127,453,0.28918,0.37605
1991,3rd Quintile,female,No,0.66738,326,453,0.62395,0.71082
1991,4th Quintile,male,Yes,0.48477,348,786,0.44981,0.51973
1991,4th Quintile,male,No,0.51523,438,786,0.48027,0.55019
1991,4th Quintile,female,Yes,0.29993,145,575,0.26244,0.33741
1991,4th Quintile,female,No,0.70007,430,575,0.66259,0.73756
1991,5th Quintile,male,Yes,0.48831,376,791,0.45345,0.52317
1991,5th Quintile,male,No,0.51169,415,791,0.47683,0.54655
1991,5th Quintile,female,Yes,0.39757,225,607,0.35861,0.43654
1991,5th Quintile,female,No,0.60243,382,607,0.56346,0.64139
1992,1st Quintile,male,Yes,0.34882,207,615,0.31112,0.38652
1992,1st Quintile,male,No,0.65118,408,615,0.61348,0.68888
1992,1st Quintile,female,Yes,0.29498,133,458,0.25317,0.33679
1992,1st Quintile,female,No,0.70502,325,458,0.66321,0.74683
1992,2nd Quintile,male,Yes,0.42343,382,960,0.39216,0.45470
1992,2nd Quintile,male,No,0.57657,578,960,0.54530,0.60784
1992,2nd Quintile,female,Yes,0.31318,208,695,0.27867,0.34768
1992,2nd Quintile,female,No,0.68682,487,695,0.65232,0.72133
1992,3rd Quintile,male,Yes,0.44207,410,979,0.41094,0.47320
1992,3rd Quintile,male,No,0.55793,569,979,0.52680,0.58906
1992,3rd Quintile,female,Yes,0.33019,215,701,0.29535,0.36503
1992,3rd Quintile,female,No,0.66981,486,701,0.63497,0.70465
1992,4th Quintile,male,Yes,0.45058,426,1029,0.42017,0.48100
1992,4th Quintile,male,No,0.54942,603,1029,0.51900,0.57983
1992,4th Quintile,female,Yes,0.35091,250,759,0.31693,0.38489
1992,4th Quintile,female,No,0.64909,509,759,0.61511,0.68307
1992,5th Quintile,male,Yes,0.46667,474,1031,0.43620,0.49714
1992,5th Quintile,male,No,0.53333,557,1031,0.50286,0.56380
1992,5th Quintile,female,Yes,0.35797,262,762,0.32391,0.39204
1992,5th Quintile,female,No,0.64203,500,762,0.60796,0.67609
1993,1st Quintile,male,Yes,0.34697,192,551,0.30719,0.38675
1993,1st Quintile,male,No,0.65303,359,551,0.61325,0.69281
1993,1st Quintile,female,Yes,0.21442,87,386,0.17342,0.25542
1993,1st Quintile,female,No,0.78558,299,386,0.74458,0.82658
1993,2nd Quintile,male,Yes,0.41036,348,866,0.37758,0.44314
1993,2nd Quintile,male,No,0.58964,518,866,0.55686,0.62242
1993,2nd Quintile,female,Yes,0.26962,186,661,0.23577,0.30348
1993,2nd Quintile,female,No,0.73038,475,661,0.69652,0.76423
1993,3rd Quintile,male,Yes,0.41509,387,984,0.38429,0.44590
1993,3rd Quintile,male,No,0.58491,597,984,0.55410,0.61571
1993,3rd Quintile,female,Yes,0.35858,245,719,0.32350,0.39366
1993,3rd Quintile,female,No,0.64142,474,719,0.60634,0.67650
1993,4th Quintile,male,Yes,0.42508,415,1020,0.39472,0.45543
1993,4th Quintile,male,No,0.57492,605,1020,0.54457,0.60528
1993,4th Quintile,female,Yes,0.31549,251,775,0.28275,0.34823
1993,4th Quintile,female,No,0.68451,524,775,0.65177,0.71725
1993,5th Quintile,male,Yes,0.42442,438,1024,0.39413,0.45470
1993,5th Quintile,male,No,0.57558,586,1024,0.54530,0.60587
1993,5th Quintile,female,Yes,0.34957,267,773,0.31594,0.38321
1993,5th Quintile,female,No,0.65043,506,773,0.61679,0.68406
1994,1st Quintile,male,Yes,0.36086,190,536,0.32017,0.40156
1994,1st Quintile,male,No,0.63914,346,536,0.59844,0.67983
1994,1st Quintile,female,Yes,0.27620,92,354,0.22956,0.32284
1994,1st Quintile,female,No,0.72380,262,354,0.67716,0.77044
1994,2nd Quintile,male,Yes,0.39646,318,802,0.36258,0.43034
1994,2nd Quintile,male,No,0.60354,484,802,0.56966,0.63742
1994,2nd Quintile,female,Yes,0.29990,177,574,0.26238,0.33742
1994,2nd Quintile,female,No,0.70010,397,574,0.66258,0.73762
1994,3rd Quintile,male,Yes,0.44062,399,940,0.40886,0.47237
1994,3rd Quintile,male,No,0.55938,541,940,0.52763,0.59114
1994,3rd Quintile,female,Yes,0.31854,245,756,0.28531,0.35177
1994,3rd Quintile,female,No,0.68146,511,756,0.64823,0.71469
1994,4th Quintile,male,Yes,0.46997,449,962,0.43841,0.50152
1994,4th Quintile,male,No,0.53003,513,962,0.49848,0.56159
1994,4th Quintile,female,Yes,0.35398,270,759,0.31994,0.38803
1994,4th Quintile,female,No,0.64602,489,759,0.61197,0.68006
1994,5th Quintile,male,Yes,0.43987,459,1024,0.40945,0.47028
1994,5th Quintile,male,No,0.56013,565,1024,0.52972,0.59055
1994,5th Quintile,female,Yes,0.38638,282,761,0.35176,0.42100
1994,5th Quintile,female,No,0.61362,479,761,0.57900,0.64824
1995,1st Quintile,male,Yes,0.34393,215,591,0.30560,0.38226
1995,1st Quintile,male,No,0.65607,376,591,0.61774,0.69440
1995,1st Quintile,female,Yes,0.29729,102,367,0.25047,0.34412
1995,1st Quintile,female,No,0.70271,265,367,0.65588,0.74953
1995,2nd Quintile,male,Yes,0.42290,370,850,0.38967,0.45613
1995,2nd Quintile,male,No,0.57710,480,850,0.54387,0.61033
1995,2nd Quintile,female,Yes,0.27959,170,616,0.24412,0.31506
1995,2nd Quintile,female,No,0.72041,446,616,0.68494,0.75588
1995,3rd Quintile,male,Yes,0.45214,424,965,0.42072,0.48356
1995,3rd Quintile,male,No,0.54786,541,965,0.51644,0.57928
1995,3rd Quintile,female,Yes,0.34736,255,743,0.31310,0.38162
1995,3rd Quintile,female,No,0.65264,488,743,0.61838,0.68690
1995,4th Quintile,male,Yes,0.48752,500,1026,0.45692,0.51812
1995,4th Quintile,male,No,0.51248,526,1026,0.48188,0.54308
1995,4th Quintile,female,Yes,0.38269,321,823,0.34946,0.41592
1995,4th Quintile,female,No,0.61731,502,823,0.58408,0.65054
1995,5th Quintile,male,Yes,0.50647,499,999,0.47545,0.53749
1995,5th Quintile,male,No,0.49353,500,999,0.46251,0.52455
1995,5th Quintile,female,Yes,0.43903,326,783,0.40425,0.47382
1995,5th Quintile,female,No,0.56097,457,783,0.52618,0.59575
1996,1st Quintile,male,Yes,0.33547,208,594,0.29746,0.37347
1996,1st Quintile,male,No,0.66453,386,594,0.62653,0.70254
1996,1st Quintile,female,Yes,0.27208,108,402,0.22852,0.31564
1996,1st Quintile,female,No,0.72792,294,402,0.68436,0.77148
1996,2nd Quintile,male,Yes,0.44335,329,780,0.40846,0.47823
1996,2nd Quintile,male,No,0.55665,451,780,0.52177,0.59154
1996,2nd Quintile,female,Yes,0.34586,182,581,0.30715,0.38457
1996,2nd Quintile,female,No,0.65414,399,581,0.61543,0.69285
1996,3rd Quintile,male,Yes,0.48947,441,914,0.45705,0.52190
1996,3rd Quintile,male,No,0.51053,473,914,0.47810,0.54295
1996,3rd Quintile,female,Yes,0.31955,245,721,0.28549,0.35361
1996,3rd Quintile,female,No,0.68045,476,721,0.64639,0.71451
1996,4th Quintile,male,Yes,0.48812,492,1008,0.45725,0.51900
1996,4th Quintile,male,No,0.51188,516,1008,0.48100,0.54275
1996,4th Quintile,female,Yes,0.39743,318,805,0.36360,0.43125
1996,4th Quintile,female,No,0.60257,487,805,0.56875,0.63640
1996,5th Quintile,male,Yes,0.48017,476,995,0.44911,0.51123
1996,5th Quintile,male,No,0.51983,519,995,0.48877,0.55089
1996,5th Quintile,female,Yes,0.42499,318,765,0.38994,0.46005
1996,5th Quintile,female,No,0.57501,447,765,0.53995,0.61006
1997,1st Quintile,male,Yes,0.57680,170,292,0.52003,0.63356
1997,1st Quintile,male,No,0.42320,122,292,0.36644,0.47997
1997,1st Quintile,female,Yes,0.60175,92,153,0.52393,0.67958
1997,1st Quintile,female,No,0.39825,61,153,0.32042,0.47607
1997,2nd Quintile,male,Yes,0.64606,332,519,0.60488,0.68724
1997,2nd Quintile,male,No,0.35394,187,519,0.31276,0.39512
1997,2nd Quintile,female,Yes,0.64602,187,297,0.59154,0.70049
1997,2nd Quintile,female,No,0.35398,110,297,0.29951,0.40846
1997,3rd Quintile,male,Yes,0.68751,419,611,0.65073,0.72429
1997,3rd Quintile,male,No,0.31249,192,611,0.27571,0.34927
1997,3rd Quintile,female,Yes,0.71300,277,401,0.66867,0.75733
1997,3rd Quintile,female,No,0.28700,124,401,0.24267,0.33133
1997,4th Quintile,male,Yes,0.74824,510,710,0.71629,0.78019
1997,4th Quintile,male,No,0.25176,200,710,0.21981,0.28371
1997,4th Quintile,female,Yes,0.65249,338,511,0.61117,0.69382
1997,4th Quintile,female,No,0.34751,173,511,0.30618,0.38883
1997,5th Quintile,male,Yes,0.79202,483,618,0.76000,0.82405
1997,5th Quintile,male,No,0.20798,135,618,0.17595,0.24000
1997,5th Quintile,female,Yes,0.73100,319,440,0.68952,0.77248
1997,5th Quintile,female,No,0.26900,121,440,0.22752,0.31048
1998,1st Quintile,male,Yes,0.60858,186,294,0.55270,0.66447
1998,1st Quintile,male,No,0.39142,108,294,0.33553,0.44730
1998,1st Quintile,female,Yes,0.63554,107,169,0.56276,0.70832
1998,1st Quintile,female,No,0.36446,62,169,0.29168,0.43724
1998,2nd Quintile,male,Yes,0.68106,361,526,0.64119,0.72092
1998,2nd Quintile,male,No,0.31894,165,526,0.27908,0.35881
1998,2nd Quintile,female,Yes,0.63759,180,283,0.58148,0.69369
1998,2nd Quintile,female,No,0.36241,103,283,0.30631,0.41852
1998,3rd Quintile,male,Yes,0.71432,394,572,0.67726,0.75137
1998,3rd Quintile,male,No,0.28568,178,572,0.24863,0.32274
1998,3rd Quintile,female,Yes,0.64892,256,397,0.60191,0.69594
1998,3rd Quintile,female,No,0.35108,141,397,0.30406,0.39809
1998,4th Quintile,male,Yes,0.72887,481,669,0.69516,0.76258
1998,4th Quintile,male,No,0.27113,188,669,0.23742,0.30484
1998,4th Quintile,female,Yes,0.67526,349,504,0.63434,0.71619
1998,4th Quintile,female,No,0.32474,155,504,0.28381,0.36566
1998,5th Quintile,male,Yes,0.81475,462,580,0.78311,0.84640
1998,5th Quintile,male,No,0.18525,118,580,0.15360,0.21689
1998,5th Quintile,female,Yes,0.76066,317,427,0.72014,0.80118
1998,5th Quintile,female,No,0.23934,110,427,0.19882,0.27986
1999,1st Quintile,male,Yes,0.61971,231,353,0.56899,0.67042
1999,1st Quintile,male,No,0.38029,122,353,0.32958,0.43101
1999,1st Quintile,female,Yes,0.61520,128,202,0.54794,0.68246
1999,1st Quintile,female,No,0.38480,74,202,0.31754,0.45206
1999,2nd Quintile,male,Yes,0.66035,385,585,0.62194,0.69876
1999,2nd Quintile,male,No,0.33965,200,585,0.30124,0.37806
1999,2nd Quintile,female,Yes,0.64674,215,336,0.59556,0.69793
1999,2nd Quintile,female,No,0.35326,121,336,0.30207,0.40444
1999,3rd Quintile,male,Yes,0.70487,436,626,0.66912,0.74063
1999,3rd Quintile,male,No,0.29513,190,626,0.25937,0.33088
1999,3rd Quintile,female,Yes,0.71220,302,433,0.66951,0.75490
1999,3rd Quintile,female,No,0.28780,131,433,0.24510,0.33049
1999,4th Quintile,male,Yes,0.75523,525,696,0.72327,0.78720
1999,4th Quintile,male,No,0.24477,171,696,0.21280,0.27673
1999,4th Quintile,female,Yes,0.73811,373,508,0.69983,0.77638
1999,4th Quintile,female,No,0.26189,135,508,0.22362,0.30017
1999,5th Quintile,male,Yes,0.80747,550,675,0.77771,0.83724
1999,5th Quintile,male,No,0.19253,125,675,0.16276,0.22229
1999,5th Quintile,female,Yes,0.70749,348,486,0.66701,0.74798
1999,5th Quintile,female,No,0.29251,138,486,0.25202,0.33299
2000,1st Quintile,male,Yes,0.58122,183,297,0.52501,0.63742
2000,1st Quintile,male,No,0.41878,114,297,0.36258,0.47499
2000,1st Quintile,female,Yes,0.58131,101,160,0.50463,0.65800
2000,1st Quintile,female,No,0.41869,59,160,0.34200,0.49537
2000,2nd Quintile,male,Yes,0.67677,368,531,0.63695,0.71659
2000,2nd Quintile,male,No,0.32323,163,531,0.28341,0.36305
2000,2nd Quintile,female,Yes,0.62159,186,292,0.56587,0.67732
2000,2nd Quintile,female,No,0.37841,106,292,0.32268,0.43413
2000,3rd Quintile,male,Yes,0.66718,431,645,0.63078,0.70357
2000,3rd Quintile,male,No,0.33282,214,645,0.29643,0.36922
2000,3rd Quintile,female,Yes,0.68173,275,411,0.63664,0.72681
2000,3rd Quintile,female,No,0.31827,136,411,0.27319,0.36336
2000,4th Quintile,male,Yes,0.69334,496,693,0.65899,0.72770
2000,4th Quintile,male,No,0.30666,197,693,0.27230,0.34101
2000,4th Quintile,female,Yes,0.71790,370,523,0.67930,0.75651
2000,4th Quintile,female,No,0.28210,153,523,0.24349,0.32070
2000,5th Quintile,male,Yes,0.80791,527,643,0.77743,0.83838
2000,5th Quintile,male,No,0.19209,116,643,0.16162,0.22257
2000,5th Quintile,female,Yes,0.68338,336,479,0.64168,0.72508
2000,5th Quintile,female,No,0.31662,143,479,0.27492,0.35832
2002,1st Quintile,male,Yes,0.54836,162,306,0.49251,0.60421
2002,1st Quintile,male,No,0.45164,144,306,0.39579,0.50749
2002,1st Quintile,female,Yes,0.59248,158,252,0.53169,0.65327
2002,1st Quintile,female,No,0.40752,94,252,0.34673,0.46831
2002,2nd Quintile,male,Yes,0.68714,442,653,0.65155,0.72273
2002,2nd Quintile,male,No,0.31286,211,653,0.27727,0.34845
2002,2nd Quintile,female,Yes,0.59525,246,394,0.54672,0.64377
2002,2nd Quintile,female,No,0.40475,148,394,0.35623,0.45328
2002,3rd Quintile,male,Yes,0.66166,544,828,0.62941,0.69391
2002,3rd Quintile,male,No,0.33834,284,828,0.30609,0.37059
2002,3rd Quintile,female,Yes,0.66086,363,551,0.62130,0.70043
2002,3rd Quintile,female,No,0.33914,188,551,0.29957,0.37870
2002,4th Quintile,male,Yes,0.71107,742,1043,0.68355,0.73859
2002,4th Quintile,male,No,0.28893,301,1043,0.26141,0.31645
2002,4th Quintile,female,Yes,0.69237,528,764,0.65962,0.72512
2002,4th Quintile,female,No,0.30763,236,764,0.27488,0.34038
2002,5th Quintile,male,Yes,0.75224,956,1245,0.72825,0.77623
2002,5th Quintile,male,No,0.24776,289,1245,0.22377,0.27175
2002,5th Quintile,female,Yes,0.76066,747,978,0.73391,0.78742
2002,5th Quintile,female,No,0.23934,231,978,0.21258,0.26609
2003,1st Quintile,male,Yes,0.53256,168,291,0.47514,0.58999
2003,1st Quintile,male,No,0.46744,123,291,0.41001,0.52486
2003,1st Quintile,female,Yes,0.64666,184,278,0.59037,0.70295
2003,1st Quintile,female,No,0.35334,94,278,0.29705,0.40963
2003,2nd Quintile,male,Yes,0.61587,388,610,0.57724,0.65450
2003,2nd Quintile,male,No,0.38413,222,610,0.34550,0.42276
2003,2nd Quintile,female,Yes,0.64976,280,430,0.60462,0.69490
2003,2nd Quintile,female,No,0.35024,150,430,0.30510,0.39538
2003,3rd Quintile,male,Yes,0.70911,569,830,0.67820,0.74003
2003,3rd Quintile,male,No,0.29089,261,830,0.25997,0.32180
2003,3rd Quintile,female,Yes,0.65245,357,568,0.61325,0.69164
2003,3rd Quintile,female,No,0.34755,211,568,0.30836,0.38675
2003,4th Quintile,male,Yes,0.73654,779,1075,0.71020,0.76289
2003,4th Quintile,male,No,0.26346,296,1075,0.23711,0.28980
2003,4th Quintile,female,Yes,0.69960,567,822,0.66824,0.73096
2003,4th Quintile,female,No,0.30040,255,822,0.26904,0.33176
2003,5th Quintile,male,Yes,0.81189,1180,1454,0.79179,0.83198
2003,5th Quintile,male,No,0.18811,274,1454,0.16802,0.20821
2003,5th Quintile,female,Yes,0.67861,827,1198,0.65215,0.70506
2003,5th Quintile,female,No,0.32139,371,1198,0.29494,0.34785
2004,1st Quintile,male,Yes,0.69717,175,271,0.64236,0.75197
2004,1st Quintile,male,No,0.30283,96,271,0.24803,0.35764
2004,1st Quintile,female,Yes,0.63339,160,246,0.57305,0.69373
2004,1st Quintile,female,No,0.36661,86,246,0.30627,0.42695
2004,2nd Quintile,male,Yes,0.66099,370,568,0.62203,0.69996
2004,2nd Quintile,male,No,0.33901,198,568,0.30004,0.37797
2004,2nd Quintile,female,Yes,0.63985,282,421,0.59394,0.68576
2004,2nd Quintile,female,No,0.36015,139,421,0.31424,0.40606
2004,3rd Quintile,male,Yes,0.72616,559,790,0.69505,0.75728
2004,3rd Quintile,male,No,0.27384,231,790,0.24272,0.30495
2004,3rd Quintile,female,Yes,0.65060,366,552,0.61079,0.69041
2004,3rd Quintile,female,No,0.34940,186,552,0.30959,0.38921
2004,4th Quintile,male,Yes,0.69776,728,1015,0.66950,0.72603
2004,4th Quintile,male,No,0.30224,287,1015,0.27397,0.33050
2004,4th Quintile,female,Yes,0.65439,506,770,0.62077,0.68800
2004,4th Quintile,female,No,0.34561,264,770,0.31200,0.37923
2004,5th Quintile,male,Yes,0.77611,1171,1475,0.75483,0.79739
2004,5th Quintile,male,No,0.22389,304,1475,0.20261,0.24517
2004,5th Quintile,female,Yes,0.73979,851,1172,0.71466,0.76492
2004,5th Quintile,female,No,0.26021,321,1172,0.23508,0.28534
2005,1st Quintile,male,Yes,0.62843,163,247,0.56805,0.68882
2005,1st Quintile,male,No,0.37157,84,247,0.31118,0.43195
2005,1st Quintile,female,Yes,0.63803,150,232,0.57606,0.70001
2005,1st Quintile,female,No,0.36197,82,232,0.29999,0.42394
2005,2nd Quintile,male,Yes,0.65303,351,538,0.61277,0.69329
2005,2nd Quintile,male,No,0.34697,187,538,0.30671,0.38723
2005,2nd Quintile,female,Yes,0.60935,246,381,0.56029,0.65841
2005,2nd Quintile,female,No,0.39065,135,381,0.34159,0.43971
2005,3rd Quintile,male,Yes,0.70645,513,731,0.67342,0.73949
2005,3rd Quintile,male,No,0.29355,218,731,0.26051,0.32658
2005,3rd Quintile,female,Yes,0.65649,376,560,0.61712,0.69585
2005,3rd Quintile,female,No,0.34351,184,560,0.30415,0.38288
2005,4th Quintile,male,Yes,0.72273,699,964,0.69446,0.75101
2005,4th Quintile,male,No,0.27727,265,964,0.24899,0.30554
2005,4th Quintile,female,Yes,0.66891,476,715,0.63439,0.70343
2005,4th Quintile,female,No,0.33109,239,715,0.29657,0.36561
2005,5th Quintile,male,Yes,0.79578,1055,1313,0.77396,0.81759
2005,5th Quintile,male,No,0.20422,258,1313,0.18241,0.22604
2005,5th Quintile,female,Yes,0.73531,768,1066,0.70881,0.76180
2005,5th Quintile,female,No,0.26469,298,1066,0.23820,0.29119
2006,1st Quintile,male,Yes,0.66030,151,224,0.59814,0.72246
2006,1st Quintile,male,No,0.33970,73,224,0.27754,0.40186
2006,1st Quintile,female,Yes,0.59914,168,264,0.53991,0.65837
2006,1st Quintile,female,No,0.40086,96,264,0.34163,0.46009
2006,2nd Quintile,male,Yes,0.71457,352,500,0.67495,0.75420
2006,2nd Quintile,male,No,0.28543,148,500,0.24580,0.32505
2006,2nd Quintile,female,Yes,0.69501,270,403,0.65000,0.74002
2006,2nd Quintile,female,No,0.30499,133,403,0.25998,0.35000
2006,3rd Quintile,male,Yes,0.72043,539,730,0.68785,0.75301
2006,3rd Quintile,male,No,0.27957,191,730,0.24699,0.31215
2006,3rd Quintile,female,Yes,0.72173,386,546,0.68410,0.75935
2006,3rd Quintile,female,No,0.27827,160,546,0.24065,0.31590
2006,4th Quintile,male,Yes,0.72215,687,920,0.69318,0.75111
2006,4th Quintile,male,No,0.27785,233,920,0.24889,0.30682
2006,4th Quintile,female,Yes,0.69221,510,720,0.65847,0.72595
2006,4th Quintile,female,No,0.30779,210,720,0.27405,0.34153
2006,5th Quintile,male,Yes,0.81030,1015,1247,0.78853,0.83207
2006,5th Quintile,male,No,0.18970,232,1247,0.16793,0.21147
2006,5th Quintile,female,Yes,0.76799,827,1103,0.74307,0.79291
2006,5th Quintile,female,No,0.23201,276,1103,0.20709,0.25693
2007,1st Quintile,male,Yes,0.72195,190,264,0.66780,0.77610
2007,1st Quintile,male,No,0.27805,74,264,0.22390,0.33220
2007,1st Quintile,female,Yes,0.61420,166,257,0.55457,0.67383
2007,1st Quintile,female,No,0.38580,91,257,0.32617,0.44543
2007,2nd Quintile,male,Yes,0.73460,411,571,0.69835,0.77085
2007,2nd Quintile,male,No,0.26540,160,571,0.22915,0.30165
2007,2nd Quintile,female,Yes,0.70297,295,418,0.65911,0.74683
2007,2nd Quintile,female,No,0.29703,123,418,0.25317,0.34089
2007,3rd Quintile,male,Yes,0.75824,574,748,0.72754,0.78895
2007,3rd Quintile,male,No,0.24176,174,748,0.21105,0.27246
2007,3rd Quintile,female,Yes,0.70091,388,563,0.66306,0.73877
2007,3rd Quintile,female,No,0.29909,175,563,0.26123,0.33694
2007,4th Quintile,male,Yes,0.75382,746,996,0.72705,0.78059
2007,4th Quintile,male,No,0.24618,250,996,0.21941,0.27295
2007,4th Quintile,female,Yes,0.75683,586,798,0.72705,0.78661
2007,4th Quintile,female,No,0.24317,212,798,0.21339,0.27295
2007,5th Quintile,male,Yes,0.80969,1007,1244,0.78787,0.83152
2007,5th Quintile,male,No,0.19031,237,1244,0.16848,0.21213
2007,5th Quintile,female,Yes,0.72066,785,1084,0.69393,0.74738
2007,5th Quintile,female,No,0.27934,299,1084,0.25262,0.30607
2008,1st Quintile,male,Yes,0.64863,156,231,0.58694,0.71033
2008,1st Quintile,male,No,0.35137,75,231,0.28967,0.41306
