year,regtyp,sampreg,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Urban regions,West,Yes,0.18450,1586,4407,0.17305,0.19595
1992,Urban regions,West,No,0.27476,2821,4407,0.26158,0.28794
1992,Urban regions,East,Yes,0.21267,370,816,0.18458,0.24076
1992,Urban regions,East,No,0.25138,446,816,0.22159,0.28116
1992,Rural regions,West,Yes,0.16496,421,1186,0.14383,0.18609
1992,Rural regions,West,No,0.28490,765,1186,0.25920,0.31060
1992,Rural regions,East,Yes,0.15611,560,1502,0.13775,0.17447
1992,Rural regions,East,No,0.26526,942,1502,0.24293,0.28760
1993,Urban regions,West,Yes,0.16645,1461,4357,0.15539,0.17751
1993,Urban regions,West,No,0.29342,2896,4357,0.27990,0.30694
1993,Urban regions,East,Yes,0.21628,382,805,0.18782,0.24474
1993,Urban regions,East,No,0.24240,423,805,0.21278,0.27203
1993,Rural regions,West,Yes,0.15240,390,1181,0.13190,0.17291
1993,Rural regions,West,No,0.29524,791,1181,0.26922,0.32127
1993,Rural regions,East,Yes,0.16304,583,1417,0.14380,0.18228
1993,Rural regions,East,No,0.23403,834,1417,0.21197,0.25608
1994,Urban regions,West,Yes,0.17185,1478,4146,0.16037,0.18334
1994,Urban regions,West,No,0.27440,2668,4146,0.26081,0.28798
1994,Urban regions,East,Yes,0.22990,401,788,0.20050,0.25929
1994,Urban regions,East,No,0.22574,387,788,0.19653,0.25495
1994,Rural regions,West,Yes,0.15115,389,1132,0.13027,0.17202
1994,Rural regions,West,No,0.28047,743,1132,0.25429,0.30665
1994,Rural regions,East,Yes,0.17551,613,1403,0.15559,0.19542
1994,Rural regions,East,No,0.22696,790,1403,0.20503,0.24889
1995,Urban regions,West,Yes,0.18919,1732,4349,0.17754,0.20083
1995,Urban regions,West,No,0.25161,2617,4349,0.23871,0.26451
1995,Urban regions,East,Yes,0.23399,386,731,0.20328,0.26470
1995,Urban regions,East,No,0.21571,345,731,0.18587,0.24554
1995,Rural regions,West,Yes,0.15438,444,1224,0.13413,0.17463
1995,Rural regions,West,No,0.27298,780,1224,0.24802,0.29795
1995,Rural regions,East,Yes,0.17799,620,1460,0.15836,0.19762
1995,Rural regions,East,No,0.24965,840,1460,0.22744,0.27185
1996,Urban regions,West,Yes,0.18591,1691,4218,0.17417,0.19765
1996,Urban regions,West,No,0.25181,2527,4218,0.23871,0.26491
1996,Urban regions,East,Yes,0.21524,373,732,0.18545,0.24503
1996,Urban regions,East,No,0.22847,359,732,0.19804,0.25891
1996,Rural regions,West,Yes,0.16815,468,1227,0.14721,0.18908
1996,Rural regions,West,No,0.26726,759,1227,0.24248,0.29203
1996,Rural regions,East,Yes,0.17533,585,1388,0.15532,0.19534
1996,Rural regions,East,No,0.23372,803,1388,0.21145,0.25599
1997,Urban regions,West,Yes,0.19351,1700,2427,0.17779,0.20923
1997,Urban regions,West,No,0.07534,727,2427,0.06484,0.08584
1997,Urban regions,East,Yes,0.21197,351,485,0.17556,0.24838
1997,Urban regions,East,No,0.08960,134,485,0.06415,0.11504
1997,Rural regions,West,Yes,0.16936,459,716,0.14187,0.19686
1997,Rural regions,West,No,0.08497,257,716,0.06453,0.10541
1997,Rural regions,East,Yes,0.18869,617,924,0.16344,0.21393
1997,Rural regions,East,No,0.09177,307,924,0.07315,0.11040
1998,Urban regions,West,Yes,0.19148,1925,2654,0.17651,0.20646
1998,Urban regions,West,No,0.07071,729,2654,0.06095,0.08046
1998,Urban regions,East,Yes,0.21319,363,512,0.17768,0.24871
1998,Urban regions,East,No,0.09155,149,512,0.06655,0.11656
1998,Rural regions,West,Yes,0.16996,540,821,0.14425,0.19567
1998,Rural regions,West,No,0.08212,281,821,0.06333,0.10091
1998,Rural regions,East,Yes,0.19171,673,1015,0.16748,0.21593
1998,Rural regions,East,No,0.09657,342,1015,0.07839,0.11475
1999,Urban regions,West,Yes,0.19345,1906,2578,0.17820,0.20870
1999,Urban regions,West,No,0.06983,672,2578,0.05999,0.07967
1999,Urban regions,East,Yes,0.22727,378,538,0.19183,0.26272
1999,Urban regions,East,No,0.10257,160,538,0.07691,0.12823
1999,Rural regions,West,Yes,0.18411,556,826,0.15766,0.21055
1999,Rural regions,West,No,0.07918,270,826,0.06076,0.09761
1999,Rural regions,East,Yes,0.18549,653,958,0.16086,0.21012
1999,Rural regions,East,No,0.09215,305,958,0.07382,0.11048
2000,Urban regions,West,Yes,0.18575,3216,4574,0.17448,0.19702
2000,Urban regions,West,No,0.08167,1358,4574,0.07373,0.08960
2000,Urban regions,East,Yes,0.18963,477,697,0.16050,0.21875
2000,Urban regions,East,No,0.09755,220,697,0.07551,0.11960
2000,Rural regions,West,Yes,0.17778,1014,1487,0.15834,0.19722
2000,Rural regions,West,No,0.08540,473,1487,0.07119,0.09961
2000,Rural regions,East,Yes,0.17255,911,1371,0.15254,0.19256
2000,Rural regions,East,No,0.08878,460,1371,0.07372,0.10384
2001,Urban regions,West,Yes,0.19083,3026,3026,0.17683,0.20484
2001,Urban regions,East,Yes,0.21261,474,474,0.17573,0.24948
2001,Rural regions,West,Yes,0.18381,921,921,0.15878,0.20884
2001,Rural regions,East,Yes,0.18351,870,870,0.15778,0.20925
2002,Urban regions,West,Yes,0.18197,3306,4576,0.17079,0.19315
2002,Urban regions,West,No,0.07523,1270,4576,0.06759,0.08287
2002,Urban regions,East,Yes,0.19113,484,672,0.16138,0.22088
2002,Urban regions,East,No,0.08622,188,672,0.06498,0.10746
2002,Rural regions,West,Yes,0.17424,966,1392,0.15431,0.19418
2002,Rural regions,West,No,0.08370,426,1392,0.06914,0.09825
2002,Rural regions,East,Yes,0.16929,840,1289,0.14881,0.18977
2002,Rural regions,East,No,0.09546,449,1289,0.07941,0.11150
2003,Urban regions,West,Yes,0.18157,3097,4343,0.17010,0.19304
2003,Urban regions,West,No,0.07458,1246,4343,0.06677,0.08240
2003,Urban regions,East,Yes,0.20439,481,653,0.17343,0.23534
2003,Urban regions,East,No,0.07327,172,653,0.05327,0.09328
2003,Rural regions,West,Yes,0.18610,928,1355,0.16537,0.20683
2003,Rural regions,West,No,0.08665,427,1355,0.07167,0.10164
2003,Rural regions,East,Yes,0.16559,793,1205,0.14459,0.18659
2003,Rural regions,East,No,0.09380,412,1205,0.07733,0.11027
2004,Urban regions,West,Yes,0.18366,3013,4198,0.17195,0.19538
2004,Urban regions,West,No,0.07562,1185,4198,0.06762,0.08362
2004,Urban regions,East,Yes,0.18340,450,624,0.15301,0.21378
2004,Urban regions,East,No,0.07391,174,624,0.05336,0.09445
2004,Rural regions,West,Yes,0.17798,904,1276,0.15698,0.19897
2004,Rural regions,West,No,0.07714,372,1276,0.06249,0.09178
2004,Rural regions,East,Yes,0.17172,801,1182,0.15021,0.19323
2004,Rural regions,East,No,0.08645,381,1182,0.07042,0.10247
2005,Urban regions,West,Yes,0.18623,2848,3878,0.17398,0.19849
2005,Urban regions,West,No,0.07268,1030,3878,0.06451,0.08086
2005,Urban regions,East,Yes,0.19640,429,590,0.16432,0.22849
2005,Urban regions,East,No,0.07547,161,590,0.05414,0.09680
2005,Rural regions,West,Yes,0.17507,800,1182,0.15339,0.19674
2005,Rural regions,West,No,0.08524,382,1182,0.06932,0.10117
2005,Rural regions,East,Yes,0.16213,720,1097,0.14031,0.18395
2005,Rural regions,East,No,0.09176,377,1097,0.07467,0.10885
2006,Urban regions,West,Yes,0.20276,3234,4288,0.19073,0.21480
2006,Urban regions,West,No,0.07012,1054,4288,0.06248,0.07777
2006,Urban regions,East,Yes,0.19742,463,633,0.16638,0.22845
2006,Urban regions,East,No,0.08399,170,633,0.06236,0.10562
2006,Rural regions,West,Yes,0.18581,924,1347,0.16503,0.20659
2006,Rural regions,West,No,0.08781,423,1347,0.07269,0.10293
2006,Rural regions,East,Yes,0.17978,820,1182,0.15788,0.20168
2006,Rural regions,East,No,0.08413,362,1182,0.06830,0.09997
2007,Urban regions,West,Yes,0.21065,3018,3925,0.19789,0.22341
2007,Urban regions,West,No,0.06174,907,3925,0.05421,0.06927
2007,Urban regions,East,Yes,0.19709,439,596,0.16513,0.22905
2007,Urban regions,East,No,0.07701,157,596,0.05559,0.09843
2007,Rural regions,West,Yes,0.18894,886,1239,0.16714,0.21075
2007,Rural regions,West,No,0.08039,353,1239,0.06524,0.09553
2007,Rural regions,East,Yes,0.19220,805,1183,0.16973,0.21466
2007,Rural regions,East,No,0.09500,378,1183,0.07829,0.11172
2008,Urban regions,West,Yes,0.21859,2893,3860,0.20555,0.23163
2008,Urban regions,West,No,0.07155,967,3860,0.06342,0.07968
2008,Urban regions,East,Yes,0.21811,442,597,0.18495,0.25126
2008,Urban regions,East,No,0.07959,155,597,0.05786,0.10132
2008,Rural regions,West,Yes,0.19728,857,1227,0.17500,0.21956
2008,Rural regions,West,No,0.09270,370,1227,0.07647,0.10894
2008,Rural regions,East,Yes,0.19725,773,1140,0.17414,0.22036
2008,Rural regions,East,No,0.10741,367,1140,0.08943,0.12539
2009,Urban regions,West,Yes,0.20572,2437,3338,0.19200,0.21943
2009,Urban regions,West,No,0.07384,901,3338,0.06497,0.08272
2009,Urban regions,East,Yes,0.20938,391,531,0.17474,0.24402
2009,Urban regions,East,No,0.07618,140,531,0.05360,0.09877
2009,Rural regions,West,Yes,0.19579,759,1129,0.17263,0.21895
2009,Rural regions,West,No,0.09843,370,1129,0.08105,0.11582
2009,Rural regions,East,Yes,0.18464,696,1039,0.16103,0.20824
2009,Rural regions,East,No,0.10238,343,1039,0.08394,0.12083
2010,Urban regions,West,Yes,0.20076,3325,4732,0.18934,0.21217
2010,Urban regions,West,No,0.08550,1407,4732,0.07753,0.09347
2010,Urban regions,East,Yes,0.21707,481,672,0.18587,0.24826
2010,Urban regions,East,No,0.08847,191,672,0.06699,0.10996
2010,Rural regions,West,Yes,0.19151,1147,1702,0.17281,0.21021
2010,Rural regions,West,No,0.10355,555,1702,0.08907,0.11803
2010,Rural regions,East,Yes,0.18619,824,1255,0.16465,0.20774
2010,Rural regions,East,No,0.11235,431,1255,0.09488,0.12983
2011,Urban regions,West,Yes,0.22237,4303,5624,0.21150,0.23323
2011,Urban regions,West,No,0.06665,1321,5624,0.06013,0.07317
2011,Urban regions,East,Yes,0.22611,585,805,0.19720,0.25503
2011,Urban regions,East,No,0.08438,220,805,0.06517,0.10359
2011,Rural regions,West,Yes,0.20814,1597,2227,0.19128,0.22501
2011,Rural regions,West,No,0.09072,630,2227,0.07879,0.10265
2011,Rural regions,East,Yes,0.20640,1013,1468,0.18569,0.22712
2011,Rural regions,East,No,0.09406,455,1468,0.07912,0.10900
2012,Urban regions,West,Yes,0.22178,4206,5769,0.21106,0.23251
2012,Urban regions,West,No,0.08205,1563,5769,0.07497,0.08914
2012,Urban regions,East,Yes,0.22741,567,787,0.19810,0.25671
2012,Urban regions,East,No,0.09682,220,787,0.07615,0.11749
2012,Rural regions,West,Yes,0.22185,1644,2314,0.20492,0.23879
2012,Rural regions,West,No,0.08823,670,2314,0.07667,0.09979
2012,Rural regions,East,Yes,0.19603,1004,1473,0.17575,0.21631
2012,Rural regions,East,No,0.10189,469,1473,0.08644,0.11735
2013,Urban regions,West,Yes,0.21701,4729,6401,0.20691,0.22710
2013,Urban regions,West,No,0.07438,1672,6401,0.06795,0.08081
2013,Urban regions,East,Yes,0.22831,567,785,0.19893,0.25770
2013,Urban regions,East,No,0.08831,218,785,0.06845,0.10817
2013,Rural regions,West,Yes,0.19818,1708,2423,0.18231,0.21406
2013,Rural regions,West,No,0.09119,715,2423,0.07973,0.10266
2013,Rural regions,East,Yes,0.19921,963,1375,0.17809,0.22033
2013,Rural regions,East,No,0.09076,412,1375,0.07557,0.10595
2014,Urban regions,West,Yes,0.22504,4185,5730,0.21422,0.23585
2014,Urban regions,West,No,0.07525,1545,5730,0.06842,0.08209
2014,Urban regions,East,Yes,0.23569,537,721,0.20469,0.26669
2014,Urban regions,East,No,0.09180,184,721,0.07070,0.11289
2014,Rural regions,West,Yes,0.21116,1573,2243,0.19427,0.22806
2014,Rural regions,West,No,0.09091,670,2243,0.07901,0.10281
2014,Rural regions,East,Yes,0.19677,880,1271,0.17490,0.21863
2014,Rural regions,East,No,0.09346,391,1271,0.07745,0.10947
2015,Urban regions,West,Yes,0.22586,4194,5390,0.21470,0.23703
2015,Urban regions,West,No,0.06420,1196,5390,0.05766,0.07075
2015,Urban regions,East,Yes,0.24123,523,695,0.20940,0.27306
2015,Urban regions,East,No,0.09597,172,695,0.07406,0.11789
2015,Rural regions,West,Yes,0.24210,1679,2246,0.22439,0.25982
2015,Rural regions,West,No,0.08097,567,2246,0.06968,0.09225
2015,Rural regions,East,Yes,0.20636,860,1168,0.18314,0.22958
2015,Rural regions,East,No,0.07552,308,1168,0.06036,0.09068
2016,Urban regions,West,Yes,0.23785,3977,5146,0.22621,0.24948
2016,Urban regions,West,No,0.06788,1169,5146,0.06101,0.07475
2016,Urban regions,East,Yes,0.25620,495,651,0.22264,0.28976
2016,Urban regions,East,No,0.07702,156,651,0.05653,0.09752
2016,Rural regions,West,Yes,0.24377,1553,2060,0.22522,0.26231
2016,Rural regions,West,No,0.08175,507,2060,0.06991,0.09358
2016,Rural regions,East,Yes,0.20895,851,1169,0.18563,0.23226
2016,Rural regions,East,No,0.08962,318,1169,0.07324,0.10600
2017,Urban regions,West,Yes,0.21883,4259,5516,0.20791,0.22974
2017,Urban regions,West,No,0.06548,1257,5516,0.05895,0.07201
2017,Urban regions,East,Yes,0.24602,531,703,0.21416,0.27788
2017,Urban regions,East,No,0.05809,172,703,0.04078,0.07539
2017,Rural regions,West,Yes,0.23291,1689,2245,0.21542,0.25040
2017,Rural regions,West,No,0.07905,556,2245,0.06789,0.09021
2017,Rural regions,East,Yes,0.20749,909,1271,0.18519,0.22979
2017,Rural regions,East,No,0.07877,362,1271,0.06395,0.09358
2018,Urban regions,West,Yes,0.24441,4369,5822,0.23337,0.25545
2018,Urban regions,West,No,0.07294,1453,5822,0.06626,0.07962
2018,Urban regions,East,Yes,0.24320,521,748,0.21243,0.27397
2018,Urban regions,East,No,0.08649,227,748,0.06633,0.10665
2018,Rural regions,West,Yes,0.25010,1666,2281,0.23232,0.26788
2018,Rural regions,West,No,0.09212,615,2281,0.08024,0.10399
2018,Rural regions,East,Yes,0.21074,908,1307,0.18862,0.23286
2018,Rural regions,East,No,0.08943,399,1307,0.07395,0.10491
2019,Urban regions,West,Yes,0.23737,3914,5130,0.22572,0.24901
2019,Urban regions,West,No,0.06440,1216,5130,0.05768,0.07111
2019,Urban regions,East,Yes,0.24328,514,679,0.21098,0.27557
2019,Urban regions,East,No,0.07633,165,679,0.05634,0.09632
2019,Rural regions,West,Yes,0.24720,1527,2007,0.22833,0.26608
2019,Rural regions,West,No,0.08029,480,2007,0.06839,0.09218
2019,Rural regions,East,Yes,0.20692,881,1185,0.18385,0.23000
2019,Rural regions,East,No,0.08307,304,1185,0.06735,0.09879
2020,Urban regions,West,Yes,0.21291,3846,5994,0.20254,0.22327
2020,Urban regions,West,No,0.11163,2148,5994,0.10366,0.11960
2020,Urban regions,East,Yes,0.23095,484,763,0.20103,0.26087
2020,Urban regions,East,No,0.11693,279,763,0.09412,0.13975
2020,Rural regions,West,Yes,0.23220,1404,2202,0.21456,0.24984
2020,Rural regions,West,No,0.11637,798,2202,0.10297,0.12977
2020,Rural regions,East,Yes,0.19973,791,1249,0.17754,0.22191
2020,Rural regions,East,No,0.11438,458,1249,0.09672,0.13204
2021,Urban regions,West,Yes,0.23579,3049,4197,0.22295,0.24863
2021,Urban regions,West,No,0.07965,1148,4197,0.07146,0.08784
2021,Urban regions,East,Yes,0.24527,399,554,0.20941,0.28113
2021,Urban regions,East,No,0.09430,155,554,0.06994,0.11866
2021,Rural regions,West,Yes,0.26597,1112,1511,0.24369,0.28826
2021,Rural regions,West,No,0.08716,399,1511,0.07293,0.10138
2021,Rural regions,East,Yes,0.21592,604,849,0.18823,0.24361
2021,Rural regions,East,No,0.10585,245,849,0.08514,0.12655
2022,Urban regions,West,Yes,0.25608,5408,7498,0.24620,0.26596
2022,Urban regions,West,No,0.09282,2090,7498,0.08625,0.09938
2022,Urban regions,East,Yes,0.23859,678,972,0.21178,0.26539
2022,Urban regions,East,No,0.09790,294,972,0.07921,0.11660
2022,Rural regions,West,Yes,0.26106,1705,2371,0.24337,0.27874
2022,Rural regions,West,No,0.10298,666,2371,0.09075,0.11522
2022,Rural regions,East,Yes,0.22148,1010,1454,0.20013,0.24283
2022,Rural regions,East,No,0.09301,444,1454,0.07808,0.10795
