year,quintil_oecd,regtyp,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,4th Quintile,Rural regions,Yes,0.40958,127,330,0.35644,0.46272
1991,4th Quintile,Rural regions,No,0.59042,203,330,0.53728,0.64356
1991,5th Quintile,Urban regions,Yes,0.45914,504,1157,0.43042,0.48787
1991,5th Quintile,Urban regions,No,0.54086,653,1157,0.51213,0.56958
1991,5th Quintile,Rural regions,Yes,0.40532,97,241,0.34321,0.46744
1991,5th Quintile,Rural regions,No,0.59468,144,241,0.53256,0.65679
1992,1st Quintile,Urban regions,Yes,0.34126,168,541,0.30127,0.38125
1992,1st Quintile,Urban regions,No,0.65874,373,541,0.61875,0.69873
1992,1st Quintile,Rural regions,Yes,0.31049,167,510,0.27030,0.35069
1992,1st Quintile,Rural regions,No,0.68951,343,510,0.64931,0.72970
1992,2nd Quintile,Urban regions,Yes,0.37285,299,892,0.34110,0.40460
1992,2nd Quintile,Urban regions,No,0.62715,593,892,0.59540,0.65890
1992,2nd Quintile,Rural regions,Yes,0.38032,281,737,0.34525,0.41540
1992,2nd Quintile,Rural regions,No,0.61968,456,737,0.58460,0.65475
1992,3rd Quintile,Urban regions,Yes,0.40400,398,1066,0.37452,0.43347
1992,3rd Quintile,Urban regions,No,0.59600,668,1066,0.56653,0.62548
1992,3rd Quintile,Rural regions,Yes,0.37795,221,603,0.33922,0.41669
1992,3rd Quintile,Rural regions,No,0.62205,382,603,0.58331,0.66078
1992,4th Quintile,Urban regions,Yes,0.41530,486,1280,0.38830,0.44231
1992,4th Quintile,Urban regions,No,0.58470,794,1280,0.55769,0.61170
1992,4th Quintile,Rural regions,Yes,0.39405,188,498,0.35109,0.43701
1992,4th Quintile,Rural regions,No,0.60595,310,498,0.56299,0.64891
1992,5th Quintile,Urban regions,Yes,0.43516,605,1442,0.40956,0.46076
1992,5th Quintile,Urban regions,No,0.56484,837,1442,0.53924,0.59044
1992,5th Quintile,Rural regions,Yes,0.35845,124,340,0.30740,0.40950
1992,5th Quintile,Rural regions,No,0.64155,216,340,0.59050,0.69260
1993,1st Quintile,Urban regions,Yes,0.27942,145,527,0.24107,0.31776
1993,1st Quintile,Urban regions,No,0.72058,382,527,0.68224,0.75893
1993,1st Quintile,Rural regions,Yes,0.30549,134,410,0.26084,0.35013
1993,1st Quintile,Rural regions,No,0.69451,276,410,0.64987,0.73916
1993,2nd Quintile,Urban regions,Yes,0.33417,285,855,0.30254,0.36581
1993,2nd Quintile,Urban regions,No,0.66583,570,855,0.63419,0.69746
1993,2nd Quintile,Rural regions,Yes,0.36915,249,672,0.33264,0.40567
1993,2nd Quintile,Rural regions,No,0.63085,423,672,0.59433,0.66736
1993,3rd Quintile,Urban regions,Yes,0.38519,369,1065,0.35595,0.41443
1993,3rd Quintile,Urban regions,No,0.61481,696,1065,0.58557,0.64405
1993,3rd Quintile,Rural regions,Yes,0.40462,263,638,0.36651,0.44274
1993,3rd Quintile,Rural regions,No,0.59538,375,638,0.55726,0.63349
1993,4th Quintile,Urban regions,Yes,0.39014,469,1267,0.36327,0.41701
1993,4th Quintile,Urban regions,No,0.60986,798,1267,0.58299,0.63673
1993,4th Quintile,Rural regions,Yes,0.34683,197,528,0.30620,0.38747
1993,4th Quintile,Rural regions,No,0.65317,331,528,0.61253,0.69380
1993,5th Quintile,Urban regions,Yes,0.39522,575,1448,0.37003,0.42042
1993,5th Quintile,Urban regions,No,0.60478,873,1448,0.57958,0.62997
1993,5th Quintile,Rural regions,Yes,0.38671,130,349,0.33554,0.43788
1993,5th Quintile,Rural regions,No,0.61329,219,349,0.56212,0.66446
1994,1st Quintile,Urban regions,Yes,0.33264,165,549,0.29320,0.37209
1994,1st Quintile,Urban regions,No,0.66736,384,549,0.62791,0.70680
1994,1st Quintile,Rural regions,Yes,0.31861,117,341,0.26908,0.36814
1994,1st Quintile,Rural regions,No,0.68139,224,341,0.63186,0.73092
1994,2nd Quintile,Urban regions,Yes,0.33263,280,823,0.30042,0.36484
1994,2nd Quintile,Urban regions,No,0.66737,543,823,0.63516,0.69958
1994,2nd Quintile,Rural regions,Yes,0.39432,215,553,0.35355,0.43509
1994,2nd Quintile,Rural regions,No,0.60568,338,553,0.56491,0.64645
1994,3rd Quintile,Urban regions,Yes,0.39217,373,1007,0.36200,0.42234
1994,3rd Quintile,Urban regions,No,0.60783,634,1007,0.57766,0.63800
1994,3rd Quintile,Rural regions,Yes,0.37795,271,689,0.34171,0.41418
1994,3rd Quintile,Rural regions,No,0.62205,418,689,0.58582,0.65829
1994,4th Quintile,Urban regions,Yes,0.41900,485,1198,0.39105,0.44696
1994,4th Quintile,Urban regions,No,0.58100,713,1198,0.55304,0.60895
1994,4th Quintile,Rural regions,Yes,0.42237,234,523,0.38000,0.46475
1994,4th Quintile,Rural regions,No,0.57763,289,523,0.53525,0.62000
1994,5th Quintile,Urban regions,Yes,0.43008,576,1356,0.40372,0.45644
1994,5th Quintile,Urban regions,No,0.56992,780,1356,0.54356,0.59628
1994,5th Quintile,Rural regions,Yes,0.37336,165,429,0.32754,0.41919
1994,5th Quintile,Rural regions,No,0.62664,264,429,0.58081,0.67246
1995,1st Quintile,Urban regions,Yes,0.34916,204,587,0.31056,0.38776
1995,1st Quintile,Urban regions,No,0.65084,383,587,0.61224,0.68944
1995,1st Quintile,Rural regions,Yes,0.28684,113,371,0.24076,0.33293
1995,1st Quintile,Rural regions,No,0.71316,258,371,0.66707,0.75924
1995,2nd Quintile,Urban regions,Yes,0.37158,341,930,0.34051,0.40266
1995,2nd Quintile,Urban regions,No,0.62842,589,930,0.59734,0.65949
1995,2nd Quintile,Rural regions,Yes,0.34847,199,536,0.30810,0.38885
1995,2nd Quintile,Rural regions,No,0.65153,337,536,0.61115,0.69190
1995,3rd Quintile,Urban regions,Yes,0.42194,405,1035,0.39183,0.45204
1995,3rd Quintile,Urban regions,No,0.57806,630,1035,0.54796,0.60817
1995,3rd Quintile,Rural regions,Yes,0.38494,274,673,0.34815,0.42173
1995,3rd Quintile,Rural regions,No,0.61506,399,673,0.57827,0.65185
1995,4th Quintile,Urban regions,Yes,0.44283,524,1194,0.41464,0.47101
1995,4th Quintile,Urban regions,No,0.55717,670,1194,0.52899,0.58536
1995,4th Quintile,Rural regions,Yes,0.44404,297,655,0.40596,0.48212
1995,4th Quintile,Rural regions,No,0.55596,358,655,0.51788,0.59404
1995,5th Quintile,Urban regions,Yes,0.50094,644,1333,0.47409,0.52779
1995,5th Quintile,Urban regions,No,0.49906,689,1333,0.47221,0.52591
1995,5th Quintile,Rural regions,Yes,0.39914,181,449,0.35379,0.44449
1995,5th Quintile,Rural regions,No,0.60086,268,449,0.55551,0.64621
1996,1st Quintile,Urban regions,Yes,0.32241,215,643,0.28626,0.35857
1996,1st Quintile,Urban regions,No,0.67759,428,643,0.64143,0.71374
1996,1st Quintile,Rural regions,Yes,0.28293,101,353,0.23587,0.32998
1996,1st Quintile,Rural regions,No,0.71707,252,353,0.67002,0.76413
1996,2nd Quintile,Urban regions,Yes,0.41196,324,876,0.37935,0.44457
1996,2nd Quintile,Urban regions,No,0.58804,552,876,0.55543,0.62065
1996,2nd Quintile,Rural regions,Yes,0.38353,187,485,0.34021,0.42685
1996,2nd Quintile,Rural regions,No,0.61647,298,485,0.57315,0.65979
1996,3rd Quintile,Urban regions,Yes,0.41896,399,949,0.38755,0.45037
1996,3rd Quintile,Urban regions,No,0.58104,550,949,0.54963,0.61245
1996,3rd Quintile,Rural regions,Yes,0.41954,287,686,0.38258,0.45649
1996,3rd Quintile,Rural regions,No,0.58046,399,686,0.54351,0.61742
1996,4th Quintile,Urban regions,Yes,0.45183,528,1195,0.42360,0.48006
1996,4th Quintile,Urban regions,No,0.54817,667,1195,0.51994,0.57640
1996,4th Quintile,Rural regions,Yes,0.44297,282,618,0.40378,0.48217
1996,4th Quintile,Rural regions,No,0.55703,336,618,0.51783,0.59622
1996,5th Quintile,Urban regions,Yes,0.46797,598,1287,0.44070,0.49524
1996,5th Quintile,Urban regions,No,0.53203,689,1287,0.50476,0.55930
1996,5th Quintile,Rural regions,Yes,0.42133,196,473,0.37679,0.46588
1996,5th Quintile,Rural regions,No,0.57867,277,473,0.53412,0.62321
1997,1st Quintile,Urban regions,Yes,0.60416,169,274,0.54615,0.66217
1997,1st Quintile,Urban regions,No,0.39584,105,274,0.33783,0.45385
1997,1st Quintile,Rural regions,Yes,0.55627,93,171,0.48158,0.63095
1997,1st Quintile,Rural regions,No,0.44373,78,171,0.36905,0.51842
1997,2nd Quintile,Urban regions,Yes,0.65713,319,494,0.61523,0.69903
1997,2nd Quintile,Urban regions,No,0.34287,175,494,0.30097,0.38477
1997,2nd Quintile,Rural regions,Yes,0.62621,200,322,0.57328,0.67914
1997,2nd Quintile,Rural regions,No,0.37379,122,322,0.32086,0.42672
1997,3rd Quintile,Urban regions,Yes,0.72724,417,587,0.69118,0.76330
1997,3rd Quintile,Urban regions,No,0.27276,170,587,0.23670,0.30882
1997,3rd Quintile,Rural regions,Yes,0.64599,279,425,0.60047,0.69151
1997,3rd Quintile,Rural regions,No,0.35401,146,425,0.30849,0.39953
1997,4th Quintile,Urban regions,Yes,0.71648,559,790,0.68503,0.74793
1997,4th Quintile,Urban regions,No,0.28352,231,790,0.25207,0.31497
1997,4th Quintile,Rural regions,Yes,0.69496,289,431,0.65144,0.73848
1997,4th Quintile,Rural regions,No,0.30504,142,431,0.26152,0.34856
1997,5th Quintile,Urban regions,Yes,0.77114,587,767,0.74139,0.80089
1997,5th Quintile,Urban regions,No,0.22886,180,767,0.19911,0.25861
1997,5th Quintile,Rural regions,Yes,0.75964,215,291,0.71046,0.80882
1997,5th Quintile,Rural regions,No,0.24036,76,291,0.19118,0.28954
1998,1st Quintile,Urban regions,Yes,0.62814,196,300,0.57335,0.68292
1998,1st Quintile,Urban regions,No,0.37186,104,300,0.31708,0.42665
1998,1st Quintile,Rural regions,Yes,0.60045,97,163,0.52502,0.67587
1998,1st Quintile,Rural regions,No,0.39955,66,163,0.32413,0.47498
1998,2nd Quintile,Urban regions,Yes,0.68123,334,489,0.63988,0.72257
1998,2nd Quintile,Urban regions,No,0.31877,155,489,0.27743,0.36012
1998,2nd Quintile,Rural regions,Yes,0.63802,207,320,0.58529,0.69076
1998,2nd Quintile,Rural regions,No,0.36198,113,320,0.30924,0.41471
1998,3rd Quintile,Urban regions,Yes,0.72519,386,543,0.68761,0.76277
1998,3rd Quintile,Urban regions,No,0.27481,157,543,0.23723,0.31239
1998,3rd Quintile,Rural regions,Yes,0.63072,264,426,0.58483,0.67660
1998,3rd Quintile,Rural regions,No,0.36928,162,426,0.32340,0.41517
1998,4th Quintile,Urban regions,Yes,0.71968,538,743,0.68736,0.75200
1998,4th Quintile,Urban regions,No,0.28032,205,743,0.24800,0.31264
1998,4th Quintile,Rural regions,Yes,0.68099,292,430,0.63688,0.72510
1998,4th Quintile,Rural regions,No,0.31901,138,430,0.27490,0.36312
1998,5th Quintile,Urban regions,Yes,0.80000,562,711,0.77058,0.82943
1998,5th Quintile,Urban regions,No,0.20000,149,711,0.17057,0.22942
1998,5th Quintile,Rural regions,Yes,0.76971,217,296,0.72167,0.81775
1998,5th Quintile,Rural regions,No,0.23029,79,296,0.18225,0.27833
1999,1st Quintile,Urban regions,Yes,0.61811,211,331,0.56569,0.67053
1999,1st Quintile,Urban regions,No,0.38189,120,331,0.32947,0.43431
1999,1st Quintile,Rural regions,Yes,0.61789,148,224,0.55412,0.68167
1999,1st Quintile,Rural regions,No,0.38211,76,224,0.31833,0.44588
1999,2nd Quintile,Urban regions,Yes,0.66663,343,522,0.62615,0.70711
1999,2nd Quintile,Urban regions,No,0.33337,179,522,0.29289,0.37385
1999,2nd Quintile,Rural regions,Yes,0.63941,257,399,0.59224,0.68659
1999,2nd Quintile,Rural regions,No,0.36059,142,399,0.31341,0.40776
1999,3rd Quintile,Urban regions,Yes,0.73867,458,618,0.70400,0.77334
1999,3rd Quintile,Urban regions,No,0.26133,160,618,0.22666,0.29600
1999,3rd Quintile,Rural regions,Yes,0.65623,280,441,0.61185,0.70061
1999,3rd Quintile,Rural regions,No,0.34377,161,441,0.29939,0.38815
1999,4th Quintile,Urban regions,Yes,0.74584,603,802,0.71568,0.77599
1999,4th Quintile,Urban regions,No,0.25416,199,802,0.22401,0.28432
1999,4th Quintile,Rural regions,Yes,0.75379,295,402,0.71162,0.79595
1999,4th Quintile,Rural regions,No,0.24621,107,402,0.20405,0.28838
1999,5th Quintile,Urban regions,Yes,0.77542,669,843,0.74724,0.80361
1999,5th Quintile,Urban regions,No,0.22458,174,843,0.19639,0.25276
1999,5th Quintile,Rural regions,Yes,0.73811,229,318,0.68971,0.78651
1999,5th Quintile,Rural regions,No,0.26189,89,318,0.21349,0.31029
2000,1st Quintile,Urban regions,Yes,0.58007,173,269,0.52098,0.63916
2000,1st Quintile,Urban regions,No,0.41993,96,269,0.36084,0.47902
2000,1st Quintile,Rural regions,Yes,0.58295,111,188,0.51228,0.65363
2000,1st Quintile,Rural regions,No,0.41705,77,188,0.34637,0.48772
2000,2nd Quintile,Urban regions,Yes,0.68069,330,480,0.63894,0.72245
2000,2nd Quintile,Urban regions,No,0.31931,150,480,0.27755,0.36106
2000,2nd Quintile,Rural regions,Yes,0.62188,224,343,0.57049,0.67327
2000,2nd Quintile,Rural regions,No,0.37812,119,343,0.32673,0.42951
2000,3rd Quintile,Urban regions,Yes,0.69505,420,613,0.65858,0.73153
2000,3rd Quintile,Urban regions,No,0.30495,193,613,0.26847,0.34142
2000,3rd Quintile,Rural regions,Yes,0.63376,286,443,0.58884,0.67867
2000,3rd Quintile,Rural regions,No,0.36624,157,443,0.32133,0.41116
2000,4th Quintile,Urban regions,Yes,0.68400,569,806,0.65189,0.71612
2000,4th Quintile,Urban regions,No,0.31600,237,806,0.28388,0.34811
2000,4th Quintile,Rural regions,Yes,0.75412,297,410,0.71239,0.79586
2000,4th Quintile,Rural regions,No,0.24588,113,410,0.20414,0.28761
2000,5th Quintile,Urban regions,Yes,0.77489,652,825,0.74637,0.80341
2000,5th Quintile,Urban regions,No,0.22511,173,825,0.19659,0.25363
2000,5th Quintile,Rural regions,Yes,0.69846,211,297,0.64618,0.75074
2000,5th Quintile,Rural regions,No,0.30154,86,297,0.24926,0.35382
2002,1st Quintile,Urban regions,Yes,0.59048,196,329,0.53726,0.64370
2002,1st Quintile,Urban regions,No,0.40952,133,329,0.35630,0.46274
2002,1st Quintile,Rural regions,Yes,0.53034,124,229,0.46556,0.59512
2002,1st Quintile,Rural regions,No,0.46966,105,229,0.40488,0.53444
2002,2nd Quintile,Urban regions,Yes,0.67122,402,601,0.63364,0.70881
2002,2nd Quintile,Urban regions,No,0.32878,199,601,0.29119,0.36636
2002,2nd Quintile,Rural regions,Yes,0.62788,286,446,0.58297,0.67279
2002,2nd Quintile,Rural regions,No,0.37212,160,446,0.32721,0.41703
2002,3rd Quintile,Urban regions,Yes,0.67097,575,860,0.63955,0.70239
2002,3rd Quintile,Urban regions,No,0.32903,285,860,0.29761,0.36045
2002,3rd Quintile,Rural regions,Yes,0.64295,332,519,0.60169,0.68422
2002,3rd Quintile,Rural regions,No,0.35705,187,519,0.31578,0.39831
2002,4th Quintile,Urban regions,Yes,0.71517,808,1122,0.68875,0.74159
2002,4th Quintile,Urban regions,No,0.28483,314,1122,0.25841,0.31125
2002,4th Quintile,Rural regions,Yes,0.67845,462,685,0.64344,0.71345
2002,4th Quintile,Rural regions,No,0.32155,223,685,0.28655,0.35656
2002,5th Quintile,Urban regions,Yes,0.76045,1260,1626,0.73970,0.78121
2002,5th Quintile,Urban regions,No,0.23955,366,1626,0.21879,0.26030
2002,5th Quintile,Rural regions,Yes,0.74255,443,597,0.70745,0.77765
2002,5th Quintile,Rural regions,No,0.25745,154,597,0.22235,0.29255
2003,1st Quintile,Urban regions,Yes,0.59869,224,349,0.54719,0.65019
2003,1st Quintile,Urban regions,No,0.40131,125,349,0.34981,0.45281
2003,1st Quintile,Rural regions,Yes,0.56549,128,220,0.49984,0.63114
2003,1st Quintile,Rural regions,No,0.43451,92,220,0.36886,0.50016
2003,2nd Quintile,Urban regions,Yes,0.63816,400,612,0.60006,0.67626
2003,2nd Quintile,Urban regions,No,0.36184,212,612,0.32374,0.39994
2003,2nd Quintile,Rural regions,Yes,0.61424,268,428,0.56807,0.66041
2003,2nd Quintile,Rural regions,No,0.38576,160,428,0.33959,0.43193
2003,3rd Quintile,Urban regions,Yes,0.69581,567,847,0.66481,0.72682
2003,3rd Quintile,Urban regions,No,0.30419,280,847,0.27318,0.33519
2003,3rd Quintile,Rural regions,Yes,0.67277,359,551,0.63355,0.71198
2003,3rd Quintile,Rural regions,No,0.32723,192,551,0.28802,0.36645
2003,4th Quintile,Urban regions,Yes,0.73751,871,1206,0.71266,0.76235
2003,4th Quintile,Urban regions,No,0.26249,335,1206,0.23765,0.28734
2003,4th Quintile,Rural regions,Yes,0.68740,475,691,0.65281,0.72199
2003,4th Quintile,Rural regions,No,0.31260,216,691,0.27801,0.34719
2003,5th Quintile,Urban regions,Yes,0.76716,1516,1982,0.74855,0.78577
2003,5th Quintile,Urban regions,No,0.23284,466,1982,0.21423,0.25145
2003,5th Quintile,Rural regions,Yes,0.71715,491,670,0.68303,0.75128
2003,5th Quintile,Rural regions,No,0.28285,179,670,0.24872,0.31697
2004,1st Quintile,Urban regions,Yes,0.67267,210,315,0.62076,0.72457
2004,1st Quintile,Urban regions,No,0.32733,105,315,0.27543,0.37924
2004,1st Quintile,Rural regions,Yes,0.65679,125,202,0.59115,0.72243
2004,1st Quintile,Rural regions,No,0.34321,77,202,0.27757,0.40885
2004,2nd Quintile,Urban regions,Yes,0.66646,407,611,0.62905,0.70388
2004,2nd Quintile,Urban regions,No,0.33354,204,611,0.29612,0.37095
2004,2nd Quintile,Rural regions,Yes,0.62343,245,378,0.57452,0.67234
2004,2nd Quintile,Rural regions,No,0.37657,133,378,0.32766,0.42548
2004,3rd Quintile,Urban regions,Yes,0.71118,556,793,0.67962,0.74275
2004,3rd Quintile,Urban regions,No,0.28882,237,793,0.25725,0.32038
2004,3rd Quintile,Rural regions,Yes,0.67435,369,549,0.63511,0.71358
2004,3rd Quintile,Rural regions,No,0.32565,180,549,0.28642,0.36489
2004,4th Quintile,Urban regions,Yes,0.68172,800,1142,0.65469,0.70875
2004,4th Quintile,Urban regions,No,0.31828,342,1142,0.29125,0.34531
2004,4th Quintile,Rural regions,Yes,0.67536,434,643,0.63914,0.71158
2004,4th Quintile,Rural regions,No,0.32464,209,643,0.28842,0.36086
2004,5th Quintile,Urban regions,Yes,0.75886,1490,1961,0.73992,0.77780
2004,5th Quintile,Urban regions,No,0.24114,471,1961,0.22220,0.26008
2004,5th Quintile,Rural regions,Yes,0.76755,532,686,0.73592,0.79918
2004,5th Quintile,Rural regions,No,0.23245,154,686,0.20082,0.26408
2005,1st Quintile,Urban regions,Yes,0.63949,207,307,0.58569,0.69328
2005,1st Quintile,Urban regions,No,0.36051,100,307,0.30672,0.41431
2005,1st Quintile,Rural regions,Yes,0.61991,106,172,0.54715,0.69266
2005,1st Quintile,Rural regions,No,0.38009,66,172,0.30734,0.45285
2005,2nd Quintile,Urban regions,Yes,0.64882,364,541,0.60856,0.68908
2005,2nd Quintile,Urban regions,No,0.35118,177,541,0.31092,0.39144
2005,2nd Quintile,Rural regions,Yes,0.61084,233,378,0.56162,0.66005
2005,2nd Quintile,Rural regions,No,0.38916,145,378,0.33995,0.43838
2005,3rd Quintile,Urban regions,Yes,0.69745,558,787,0.66534,0.72957
2005,3rd Quintile,Urban regions,No,0.30255,229,787,0.27043,0.33466
2005,3rd Quintile,Rural regions,Yes,0.66442,331,504,0.62316,0.70569
2005,3rd Quintile,Rural regions,No,0.33558,173,504,0.29431,0.37684
2005,4th Quintile,Urban regions,Yes,0.72109,778,1081,0.69434,0.74783
2005,4th Quintile,Urban regions,No,0.27891,303,1081,0.25217,0.30566
2005,4th Quintile,Rural regions,Yes,0.65362,397,598,0.61545,0.69178
2005,4th Quintile,Rural regions,No,0.34638,201,598,0.30822,0.38455
2005,5th Quintile,Urban regions,Yes,0.78870,1370,1752,0.76957,0.80782
2005,5th Quintile,Urban regions,No,0.21130,382,1752,0.19218,0.23043
2005,5th Quintile,Rural regions,Yes,0.71684,453,627,0.68155,0.75214
2005,5th Quintile,Rural regions,No,0.28316,174,627,0.24786,0.31845
