year,bula_h,pgisced97,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Bavaria,Primary Level,No,0.41435,40,40,0.25974,0.56896
1986,Bavaria,Lower Secondary Level,Yes,0.09262,56,259,0.05725,0.12800
1986,Bavaria,Lower Secondary Level,No,0.33729,203,259,0.27960,0.39498
1986,Bavaria,Upper Secondary Level,Yes,0.19126,177,561,0.15868,0.22383
1986,Bavaria,Upper Secondary Level,No,0.39076,384,561,0.35035,0.43117
1986,Bavaria,First Stage of Tertiary Education,No,0.40817,48,48,0.26766,0.54869
1986,Bavaria,Second Stage of Tertiary Education,Yes,0.28232,42,106,0.19622,0.36841
1986,Bavaria,Second Stage of Tertiary Education,No,0.41601,64,106,0.32173,0.51029
1986,Berlin,Lower Secondary Level,No,0.37725,38,38,0.22107,0.53343
1986,Berlin,Upper Secondary Level,Yes,0.22365,39,112,0.14613,0.30117
1986,Berlin,Upper Secondary Level,No,0.35584,73,112,0.26677,0.44490
1988,Schleswig-Holstein,Upper Secondary Level,Yes,0.22610,43,109,0.14721,0.30499
1988,Schleswig-Holstein,Upper Secondary Level,No,0.31164,66,109,0.22429,0.39899
1988,Lower Saxony,Lower Secondary Level,Yes,0.09427,31,116,0.04087,0.14768
1988,Lower Saxony,Lower Secondary Level,No,0.24309,85,116,0.16469,0.32149
1988,Lower Saxony,Upper Secondary Level,Yes,0.16720,96,321,0.12631,0.20808
1988,Lower Saxony,Upper Secondary Level,No,0.40700,225,321,0.35317,0.46082
1988,Lower Saxony,Second Stage of Tertiary Education,No,0.46705,40,40,0.31047,0.62364
1988,North Rhine-Westphalia,Primary Level,No,0.38255,85,85,0.27862,0.48649
1988,North Rhine-Westphalia,Lower Secondary Level,Yes,0.08912,68,299,0.05677,0.12147
1988,North Rhine-Westphalia,Lower Secondary Level,No,0.26495,231,299,0.21484,0.31505
1988,North Rhine-Westphalia,Upper Secondary Level,Yes,0.18006,242,738,0.15231,0.20780
1988,North Rhine-Westphalia,Upper Secondary Level,No,0.35852,496,738,0.32390,0.39314
1988,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.34882,31,31,0.17828,0.51937
1988,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.28225,41,100,0.19359,0.37092
1988,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.38104,59,100,0.28538,0.47671
1988,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.35257,76,171,0.28075,0.42439
1988,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.47054,95,171,0.39551,0.54557
1988,Hesse,Primary Level,No,0.30722,31,31,0.14213,0.47231
1988,Hesse,Lower Secondary Level,No,0.26933,120,120,0.18962,0.34903
1988,Hesse,Upper Secondary Level,Yes,0.16879,79,279,0.12476,0.21282
1988,Hesse,Upper Secondary Level,No,0.36381,200,279,0.30725,0.42036
1988,Hesse,Second Stage of Tertiary Education,No,0.45221,40,40,0.29600,0.60842
1988,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.24873,73,73,0.14888,0.34858
1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.20327,76,215,0.14935,0.25719
1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.36053,139,215,0.29620,0.42487
1988,Baden-Wuerttemberg,Primary Level,No,0.42313,91,91,0.32106,0.52520
1988,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.12477,88,333,0.08922,0.16032
1988,Baden-Wuerttemberg,Lower Secondary Level,No,0.35288,245,333,0.30148,0.40429
1988,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.24234,201,558,0.20676,0.27793
1988,Baden-Wuerttemberg,Upper Secondary Level,No,0.39260,357,558,0.35205,0.43316
1988,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.34618,38,38,0.19288,0.49948
1988,Baden-Wuerttemberg,Second Stage of Tertiary Education,Yes,0.38571,42,79,0.27768,0.49373
1988,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.38342,37,79,0.27551,0.49132
1988,Bavaria,Lower Secondary Level,Yes,0.09027,53,253,0.05488,0.12565
1988,Bavaria,Lower Secondary Level,No,0.38123,200,253,0.32126,0.44119
1988,Bavaria,Upper Secondary Level,Yes,0.18429,162,540,0.15156,0.21702
1988,Bavaria,Upper Secondary Level,No,0.41041,378,540,0.36888,0.45194
1988,Bavaria,First Stage of Tertiary Education,No,0.38766,37,37,0.22850,0.54681
1988,Bavaria,Second Stage of Tertiary Education,Yes,0.28883,42,96,0.19769,0.37996
1988,Bavaria,Second Stage of Tertiary Education,No,0.41340,54,96,0.31437,0.51242
1988,Berlin,Lower Secondary Level,No,0.40276,41,41,0.25077,0.55475
1988,Berlin,Upper Secondary Level,Yes,0.20642,33,103,0.12788,0.28497
1988,Berlin,Upper Secondary Level,No,0.40368,70,103,0.30847,0.49890
1989,Schleswig-Holstein,Upper Secondary Level,Yes,0.19529,34,108,0.12018,0.27041
1989,Schleswig-Holstein,Upper Secondary Level,No,0.40641,74,108,0.31335,0.49948
1989,Hamburg,Upper Secondary Level,No,0.28213,33,33,0.12620,0.43806
1989,Lower Saxony,Lower Secondary Level,Yes,0.10678,33,106,0.04771,0.16586
1989,Lower Saxony,Lower Secondary Level,No,0.21008,73,106,0.13216,0.28800
1989,Lower Saxony,Upper Secondary Level,Yes,0.21515,117,307,0.16910,0.26119
1989,Lower Saxony,Upper Secondary Level,No,0.35598,190,307,0.30234,0.40963
1989,North Rhine-Westphalia,Primary Level,No,0.35032,69,69,0.23693,0.46371
1989,North Rhine-Westphalia,Lower Secondary Level,Yes,0.09706,66,294,0.06316,0.13096
1989,North Rhine-Westphalia,Lower Secondary Level,No,0.28107,228,294,0.22960,0.33254
1989,North Rhine-Westphalia,Upper Secondary Level,Yes,0.19497,258,737,0.16635,0.22359
1989,North Rhine-Westphalia,Upper Secondary Level,No,0.35102,479,737,0.31654,0.38551
1989,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.35751,32,32,0.18879,0.52622
1989,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.30745,39,99,0.21609,0.39881
1989,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.40056,60,99,0.30355,0.49758
1989,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.36350,72,161,0.28897,0.43803
1989,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.41160,89,161,0.33535,0.48786
1989,Hesse,Lower Secondary Level,No,0.31715,119,119,0.23319,0.40112
1989,Hesse,Upper Secondary Level,Yes,0.17775,86,291,0.13374,0.22175
1989,Hesse,Upper Secondary Level,No,0.37183,205,291,0.31621,0.42746
1989,Hesse,Second Stage of Tertiary Education,No,0.34063,31,31,0.17104,0.51023
1989,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.27546,73,73,0.17226,0.37865
1989,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.24760,84,219,0.19030,0.30490
1989,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.38201,135,219,0.31751,0.44651
1989,Baden-Wuerttemberg,Primary Level,No,0.42208,82,82,0.31453,0.52964
1989,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.13695,85,336,0.10013,0.17377
1989,Baden-Wuerttemberg,Lower Secondary Level,No,0.35228,251,336,0.30113,0.40343
1989,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.24065,203,540,0.20456,0.27674
1989,Baden-Wuerttemberg,Upper Secondary Level,No,0.38944,337,540,0.34827,0.43060
1989,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.38316,37,37,0.22435,0.54197
1989,Baden-Wuerttemberg,Second Stage of Tertiary Education,Yes,0.33358,33,84,0.23214,0.43501
1989,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.45093,51,84,0.34388,0.55798
1989,Bavaria,Lower Secondary Level,Yes,0.09321,48,237,0.05612,0.13030
1989,Bavaria,Lower Secondary Level,No,0.36148,189,237,0.30019,0.42278
1989,Bavaria,Upper Secondary Level,Yes,0.23712,203,541,0.20125,0.27300
1989,Bavaria,Upper Secondary Level,No,0.37468,338,541,0.33385,0.41550
1989,Bavaria,First Stage of Tertiary Education,No,0.41924,41,41,0.26632,0.57216
1989,Bavaria,Second Stage of Tertiary Education,Yes,0.32720,48,100,0.23478,0.41963
1989,Bavaria,Second Stage of Tertiary Education,No,0.35527,52,100,0.26099,0.44955
1989,Berlin,Lower Secondary Level,No,0.36394,39,39,0.21096,0.51691
1989,Berlin,Upper Secondary Level,No,0.45020,75,75,0.33684,0.56355
1990,Schleswig-Holstein,Upper Secondary Level,Yes,0.23892,35,102,0.15575,0.32208
1990,Schleswig-Holstein,Upper Secondary Level,No,0.36371,67,102,0.26989,0.45753
1990,Lower Saxony,Lower Secondary Level,No,0.23024,76,76,0.13497,0.32552
1990,Lower Saxony,Upper Secondary Level,Yes,0.22942,118,296,0.18144,0.27741
1990,Lower Saxony,Upper Secondary Level,No,0.33109,178,296,0.27739,0.38479
1990,Lower Saxony,Second Stage of Tertiary Education,No,0.49831,39,39,0.33934,0.65729
1990,North Rhine-Westphalia,Primary Level,No,0.31534,74,74,0.20875,0.42193
1990,North Rhine-Westphalia,Lower Secondary Level,Yes,0.12253,82,295,0.08505,0.16001
1990,North Rhine-Westphalia,Lower Secondary Level,No,0.27644,213,295,0.22532,0.32756
1990,North Rhine-Westphalia,Upper Secondary Level,Yes,0.21898,275,745,0.18926,0.24869
1990,North Rhine-Westphalia,Upper Secondary Level,No,0.36375,470,745,0.32918,0.39832
1990,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.28579,37,95,0.19445,0.37712
1990,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.38531,58,95,0.28692,0.48369
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.36538,75,159,0.29029,0.44046
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.41092,84,159,0.33421,0.48764
1990,Hesse,Primary Level,No,0.41386,31,31,0.23762,0.59011
1990,Hesse,Lower Secondary Level,Yes,0.11076,33,155,0.06119,0.16033
1990,Hesse,Lower Secondary Level,No,0.34259,122,155,0.26763,0.41754
1990,Hesse,Upper Secondary Level,Yes,0.18199,94,282,0.13687,0.22710
1990,Hesse,Upper Secondary Level,No,0.35839,188,282,0.30232,0.41446
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.25598,68,68,0.15148,0.36048
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.26055,85,193,0.19846,0.32263
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.31794,108,193,0.25207,0.38381
1990,Baden-Wuerttemberg,Primary Level,No,0.51744,88,88,0.41244,0.62244
1990,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.17593,99,310,0.13348,0.21839
1990,Baden-Wuerttemberg,Lower Secondary Level,No,0.31494,211,310,0.26315,0.36673
1990,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.25486,205,556,0.21861,0.29112
1990,Baden-Wuerttemberg,Upper Secondary Level,No,0.40496,351,556,0.36412,0.44580
1990,Baden-Wuerttemberg,First Stage of Tertiary Education,Yes,0.34441,32,70,0.23229,0.45653
1990,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.34106,38,70,0.22920,0.45292
1990,Baden-Wuerttemberg,Second Stage of Tertiary Education,Yes,0.39968,37,74,0.28732,0.51205
1990,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.34990,37,74,0.24049,0.45931
1990,Bavaria,Primary Level,No,0.50057,32,32,0.32456,0.67659
1990,Bavaria,Lower Secondary Level,Yes,0.09766,46,233,0.05946,0.13585
1990,Bavaria,Lower Secondary Level,No,0.35062,187,233,0.28922,0.41203
1990,Bavaria,Upper Secondary Level,Yes,0.21914,187,534,0.18402,0.25426
1990,Bavaria,Upper Secondary Level,No,0.39895,347,534,0.35737,0.44052
1990,Bavaria,First Stage of Tertiary Education,No,0.34101,35,35,0.18166,0.50035
1990,Bavaria,Second Stage of Tertiary Education,Yes,0.37035,56,93,0.27167,0.46903
1990,Bavaria,Second Stage of Tertiary Education,No,0.26557,37,93,0.17532,0.35581
1990,Berlin,Lower Secondary Level,No,0.38433,47,47,0.24376,0.52491
1990,Berlin,Upper Secondary Level,Yes,0.16741,51,198,0.11527,0.21954
1990,Berlin,Upper Secondary Level,No,0.47592,147,198,0.40618,0.54566
1990,Berlin,Second Stage of Tertiary Education,Yes,0.34074,49,123,0.25664,0.42484
1990,Berlin,Second Stage of Tertiary Education,No,0.48585,74,123,0.39716,0.57454
1990,Brandenburg,Lower Secondary Level,No,0.31393,31,31,0.14785,0.48000
1990,Brandenburg,Upper Secondary Level,Yes,0.21751,93,306,0.17121,0.26381
1990,Brandenburg,Upper Secondary Level,No,0.51006,213,306,0.45396,0.56617
1990,Brandenburg,First Stage of Tertiary Education,No,0.53572,31,31,0.35726,0.71419
1990,Brandenburg,Second Stage of Tertiary Education,Yes,0.29715,53,153,0.22450,0.36981
1990,Brandenburg,Second Stage of Tertiary Education,No,0.57790,100,153,0.49938,0.65642
1990,Mecklenburg-Western Pomerania,Lower Secondary Level,No,0.53583,38,38,0.37514,0.69653
1990,Mecklenburg-Western Pomerania,Upper Secondary Level,Yes,0.24184,80,223,0.18551,0.29817
1990,Mecklenburg-Western Pomerania,Upper Secondary Level,No,0.49475,143,223,0.42898,0.56052
1990,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,No,0.50085,55,55,0.36749,0.63421
1990,Saxony,Lower Secondary Level,No,0.29478,62,62,0.18036,0.40920
1990,Saxony,Upper Secondary Level,Yes,0.22259,186,602,0.18934,0.25585
1990,Saxony,Upper Secondary Level,No,0.50274,416,602,0.46277,0.54271
1990,Saxony,First Stage of Tertiary Education,No,0.53191,42,42,0.37917,0.68465
1990,Saxony,Second Stage of Tertiary Education,Yes,0.36995,110,249,0.30986,0.43004
1990,Saxony,Second Stage of Tertiary Education,No,0.47111,139,249,0.40899,0.53324
1990,Saxony-Anhalt,Lower Secondary Level,No,0.32149,47,47,0.18652,0.45646
1990,Saxony-Anhalt,Upper Secondary Level,Yes,0.18914,95,360,0.14863,0.22965
1990,Saxony-Anhalt,Upper Secondary Level,No,0.54229,265,360,0.49075,0.59383
1990,Saxony-Anhalt,Second Stage of Tertiary Education,Yes,0.33859,61,147,0.26183,0.41535
1990,Saxony-Anhalt,Second Stage of Tertiary Education,No,0.46655,86,147,0.38563,0.54747
1990,Thuringa,Upper Secondary Level,Yes,0.22226,116,385,0.18067,0.26384
1990,Thuringa,Upper Secondary Level,No,0.50874,269,385,0.45874,0.55874
1990,Thuringa,Second Stage of Tertiary Education,Yes,0.38000,54,107,0.28760,0.47240
1990,Thuringa,Second Stage of Tertiary Education,No,0.41610,53,107,0.32227,0.50994
1991,Schleswig-Holstein,Upper Secondary Level,Yes,0.26348,44,112,0.18153,0.34543
1991,Schleswig-Holstein,Upper Secondary Level,No,0.38000,68,112,0.28970,0.47030
1991,Lower Saxony,Lower Secondary Level,Yes,0.10364,34,113,0.04719,0.16009
1991,Lower Saxony,Lower Secondary Level,No,0.26978,79,113,0.18758,0.35198
1991,Lower Saxony,Upper Secondary Level,Yes,0.23872,123,301,0.19048,0.28696
1991,Lower Saxony,Upper Secondary Level,No,0.32571,178,301,0.27268,0.37875
1991,Lower Saxony,Second Stage of Tertiary Education,No,0.42299,33,33,0.25182,0.59417
1991,North Rhine-Westphalia,Primary Level,No,0.39581,74,74,0.28363,0.50799
1991,North Rhine-Westphalia,Lower Secondary Level,Yes,0.11385,82,290,0.07723,0.15047
1991,North Rhine-Westphalia,Lower Secondary Level,No,0.26783,208,290,0.21677,0.31888
1991,North Rhine-Westphalia,Upper Secondary Level,Yes,0.24318,289,743,0.21231,0.27405
1991,North Rhine-Westphalia,Upper Secondary Level,No,0.33484,454,743,0.30088,0.36879
1991,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.33449,35,35,0.17590,0.49309
1991,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.23003,33,97,0.14585,0.31422
1991,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.45460,64,97,0.35499,0.55420
1991,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.34654,74,169,0.27458,0.41850
1991,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.44447,95,169,0.36932,0.51961
1991,Hesse,Primary Level,No,0.44392,33,33,0.27177,0.61607
1991,Hesse,Lower Secondary Level,No,0.37365,116,116,0.28523,0.46207
1991,Hesse,Upper Secondary Level,Yes,0.20987,101,288,0.16276,0.25699
1991,Hesse,Upper Secondary Level,No,0.33104,187,288,0.27660,0.38548
1991,Hesse,Second Stage of Tertiary Education,Yes,0.35001,32,32,0.18211,0.51792
1991,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.28502,75,75,0.18217,0.38788
1991,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.25694,85,201,0.19639,0.31750
1991,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.33698,116,201,0.27147,0.40249
1991,Baden-Wuerttemberg,Primary Level,No,0.41298,81,81,0.30509,0.52088
1991,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.16416,88,315,0.12319,0.20513
1991,Baden-Wuerttemberg,Lower Secondary Level,No,0.34630,227,315,0.29367,0.39893
1991,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.27357,227,557,0.23651,0.31062
1991,Baden-Wuerttemberg,Upper Secondary Level,No,0.38224,330,557,0.34185,0.42263
1991,Baden-Wuerttemberg,First Stage of Tertiary Education,Yes,0.36274,35,68,0.24761,0.47786
1991,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.33523,33,68,0.22219,0.44827
1991,Baden-Wuerttemberg,Second Stage of Tertiary Education,Yes,0.32679,36,78,0.22202,0.43155
1991,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.43424,42,78,0.32353,0.54495
1991,Bavaria,Primary Level,No,0.50286,35,35,0.33479,0.67092
1991,Bavaria,Lower Secondary Level,Yes,0.11565,48,215,0.07280,0.15850
1991,Bavaria,Lower Secondary Level,No,0.32826,167,215,0.26534,0.39117
1991,Bavaria,Upper Secondary Level,Yes,0.23905,210,540,0.20305,0.27506
1991,Bavaria,Upper Secondary Level,No,0.37286,330,540,0.33204,0.41369
1991,Bavaria,First Stage of Tertiary Education,No,0.38355,40,40,0.23094,0.53616
1991,Bavaria,Second Stage of Tertiary Education,Yes,0.40467,60,103,0.30941,0.49992
1991,Bavaria,Second Stage of Tertiary Education,No,0.24652,43,103,0.16288,0.33016
1991,Berlin,Lower Secondary Level,No,0.35294,42,42,0.20666,0.49922
1991,Berlin,Upper Secondary Level,Yes,0.21299,57,170,0.15126,0.27472
1991,Berlin,Upper Secondary Level,No,0.40354,113,170,0.32957,0.47751
1991,Berlin,Second Stage of Tertiary Education,Yes,0.33852,52,115,0.25166,0.42539
1991,Berlin,Second Stage of Tertiary Education,No,0.44914,63,115,0.35783,0.54045
1991,Brandenburg,Upper Secondary Level,Yes,0.14274,59,251,0.09938,0.18610
1991,Brandenburg,Upper Secondary Level,No,0.46686,192,251,0.40501,0.52870
1991,Brandenburg,First Stage of Tertiary Education,No,0.71900,34,34,0.56564,0.87236
1991,Brandenburg,Second Stage of Tertiary Education,Yes,0.25120,46,121,0.17360,0.32880
1991,Brandenburg,Second Stage of Tertiary Education,No,0.44812,75,121,0.35914,0.53710
1991,Mecklenburg-Western Pomerania,Upper Secondary Level,Yes,0.15537,48,186,0.10317,0.20757
1991,Mecklenburg-Western Pomerania,Upper Secondary Level,No,0.48663,138,186,0.41460,0.55865
1991,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,No,0.51630,55,55,0.38301,0.64959
1991,Saxony,Lower Secondary Level,No,0.23028,44,44,0.10444,0.35612
1991,Saxony,Upper Secondary Level,Yes,0.14540,119,475,0.11366,0.17713
1991,Saxony,Upper Secondary Level,No,0.48047,356,475,0.43550,0.52545
1991,Saxony,First Stage of Tertiary Education,No,0.42698,31,31,0.24998,0.60398
1991,Saxony,Second Stage of Tertiary Education,Yes,0.32995,96,212,0.26651,0.39339
1991,Saxony,Second Stage of Tertiary Education,No,0.39772,116,212,0.33168,0.46376
1991,Saxony-Anhalt,Lower Secondary Level,No,0.26325,40,40,0.12503,0.40147
1991,Saxony-Anhalt,Upper Secondary Level,Yes,0.13112,70,303,0.09306,0.16919
1991,Saxony-Anhalt,Upper Secondary Level,No,0.50251,233,303,0.44612,0.55890
1991,Saxony-Anhalt,Second Stage of Tertiary Education,Yes,0.25165,54,139,0.17924,0.32405
1991,Saxony-Anhalt,Second Stage of Tertiary Education,No,0.48341,85,139,0.40003,0.56679
1991,Thuringa,Upper Secondary Level,Yes,0.21254,104,314,0.16722,0.25786
1991,Thuringa,Upper Secondary Level,No,0.41487,210,314,0.36028,0.46945
1991,Thuringa,Second Stage of Tertiary Education,Yes,0.33169,42,103,0.24032,0.42306
1991,Thuringa,Second Stage of Tertiary Education,No,0.44408,61,103,0.34766,0.54051
1992,Schleswig-Holstein,Upper Secondary Level,Yes,0.29727,44,103,0.20857,0.38597
1992,Schleswig-Holstein,Upper Secondary Level,No,0.33250,59,103,0.24107,0.42392
1992,Hamburg,Upper Secondary Level,No,0.35743,32,32,0.18872,0.52614
1992,Lower Saxony,Lower Secondary Level,Yes,0.11503,33,99,0.05186,0.17820
1992,Lower Saxony,Lower Secondary Level,No,0.22173,66,99,0.13948,0.30397
1992,Lower Saxony,Upper Secondary Level,Yes,0.23277,121,294,0.18438,0.28116
1992,Lower Saxony,Upper Secondary Level,No,0.32599,173,294,0.27232,0.37966
1992,Lower Saxony,Second Stage of Tertiary Education,Yes,0.46575,34,34,0.29556,0.63595
1992,North Rhine-Westphalia,Primary Level,No,0.32142,60,60,0.20225,0.44059
1992,North Rhine-Westphalia,Lower Secondary Level,Yes,0.10267,67,284,0.06731,0.13804
1992,North Rhine-Westphalia,Lower Secondary Level,No,0.28234,217,284,0.22989,0.33478
1992,North Rhine-Westphalia,Upper Secondary Level,Yes,0.22399,274,733,0.19379,0.25420
1992,North Rhine-Westphalia,Upper Secondary Level,No,0.33706,459,733,0.30281,0.37130
1992,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.43121,37,37,0.26943,0.59299
1992,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.27278,38,105,0.18718,0.35838
1992,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.40225,67,105,0.30801,0.49649
1992,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.38365,79,173,0.31098,0.45632
1992,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.41983,94,173,0.34607,0.49359
1992,Hesse,Lower Secondary Level,No,0.32931,109,109,0.24067,0.41794
1992,Hesse,Upper Secondary Level,Yes,0.21701,100,273,0.16803,0.26600
1992,Hesse,Upper Secondary Level,No,0.32886,173,273,0.27303,0.38469
1992,Hesse,Second Stage of Tertiary Education,Yes,0.34297,37,69,0.23014,0.45579
1992,Hesse,Second Stage of Tertiary Education,No,0.34408,32,69,0.23117,0.45700
1992,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.25415,68,68,0.14990,0.35840
1992,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.27479,84,194,0.21181,0.33777
1992,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.31461,110,194,0.24910,0.38013
1992,Baden-Wuerttemberg,Primary Level,No,0.38020,73,73,0.26807,0.49233
1992,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.15310,79,291,0.11165,0.19454
1992,Baden-Wuerttemberg,Lower Secondary Level,No,0.32101,212,291,0.26728,0.37475
1992,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.28658,226,546,0.24862,0.32455
1992,Baden-Wuerttemberg,Upper Secondary Level,No,0.35136,320,546,0.31128,0.39144
1992,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.36995,37,37,0.21224,0.52766
1992,Baden-Wuerttemberg,Second Stage of Tertiary Education,Yes,0.27712,32,77,0.17649,0.37775
1992,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.44738,45,77,0.33559,0.55917
1992,Bavaria,Primary Level,No,0.46498,34,34,0.29480,0.63515
1992,Bavaria,Lower Secondary Level,Yes,0.10328,46,217,0.06270,0.14387
