year,bula_h,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Hesse,male,Yes,0.18802,114,361,0.14766,0.22838
1988,Hesse,male,No,0.33380,247,361,0.28508,0.38251
1988,Hesse,female,Yes,0.08440,42,225,0.04800,0.12080
1988,Hesse,female,No,0.23821,183,225,0.18242,0.29399
1988,"Rhineland-Palatinate, Saarland",male,Yes,0.20361,92,245,0.15309,0.25414
1988,"Rhineland-Palatinate, Saarland",male,No,0.33248,153,245,0.27337,0.39160
1988,"Rhineland-Palatinate, Saarland",female,Yes,0.07731,31,143,0.03338,0.12124
1988,"Rhineland-Palatinate, Saarland",female,No,0.23451,112,143,0.16482,0.30419
1988,Baden-Wuerttemberg,male,Yes,0.23754,274,727,0.20658,0.26849
1988,Baden-Wuerttemberg,male,No,0.34351,453,727,0.30897,0.37805
1988,Baden-Wuerttemberg,female,Yes,0.11200,118,468,0.08340,0.14061
1988,Baden-Wuerttemberg,female,No,0.27411,350,468,0.23365,0.31457
1988,Bavaria,male,Yes,0.20146,204,588,0.16901,0.23391
1988,Bavaria,male,No,0.35522,384,588,0.31650,0.39393
1988,Bavaria,female,Yes,0.09351,100,442,0.06634,0.12068
1988,Bavaria,female,No,0.30339,342,442,0.26048,0.34630
1988,Berlin,male,Yes,0.16788,34,127,0.10262,0.23314
1988,Berlin,male,No,0.46761,93,127,0.38049,0.55473
1988,Berlin,female,No,0.25088,63,63,0.14297,0.35880
1989,Schleswig-Holstein,male,Yes,0.17140,33,108,0.09999,0.24281
1989,Schleswig-Holstein,male,No,0.37359,75,108,0.28193,0.46525
1989,Schleswig-Holstein,female,No,0.20731,46,46,0.08887,0.32576
1989,Hamburg,male,Yes,0.35105,34,66,0.23501,0.46708
1989,Hamburg,male,No,0.26763,32,66,0.16000,0.37526
1989,Hamburg,female,No,0.26037,36,36,0.11498,0.40576
1989,Lower Saxony,male,Yes,0.24066,136,336,0.19489,0.28644
1989,Lower Saxony,male,No,0.31649,200,336,0.26668,0.36629
1989,Lower Saxony,female,Yes,0.10626,73,216,0.06507,0.14745
1989,Lower Saxony,female,No,0.21394,143,216,0.15913,0.26876
1989,North Rhine-Westphalia,male,Yes,0.22160,338,925,0.19482,0.24838
1989,North Rhine-Westphalia,male,No,0.33078,587,925,0.30044,0.36111
1989,North Rhine-Westphalia,female,Yes,0.09858,149,544,0.07350,0.12365
1989,North Rhine-Westphalia,female,No,0.23058,395,544,0.19515,0.26601
1989,Hesse,male,Yes,0.19840,122,359,0.15709,0.23971
1989,Hesse,male,No,0.33450,237,359,0.28562,0.38337
1989,Hesse,female,Yes,0.08109,45,225,0.04534,0.11684
1989,Hesse,female,No,0.24639,180,225,0.18996,0.30282
1989,"Rhineland-Palatinate, Saarland",male,Yes,0.25542,104,239,0.20001,0.31082
1989,"Rhineland-Palatinate, Saarland",male,No,0.31622,135,239,0.25715,0.37530
1989,"Rhineland-Palatinate, Saarland",female,Yes,0.08299,33,151,0.03884,0.12714
1989,"Rhineland-Palatinate, Saarland",female,No,0.27400,118,151,0.20263,0.34538
1989,Baden-Wuerttemberg,male,Yes,0.25222,269,697,0.21996,0.28448
1989,Baden-Wuerttemberg,male,No,0.33372,428,697,0.29869,0.36875
1989,Baden-Wuerttemberg,female,Yes,0.10755,125,486,0.07998,0.13512
1989,Baden-Wuerttemberg,female,No,0.29010,361,486,0.24971,0.33048
1989,Bavaria,male,Yes,0.22516,222,575,0.19099,0.25933
1989,Bavaria,male,No,0.32071,353,575,0.28252,0.35889
1989,Bavaria,female,Yes,0.11628,117,441,0.08633,0.14623
1989,Bavaria,female,No,0.28982,324,441,0.24743,0.33221
1989,Berlin,male,Yes,0.19710,32,126,0.12736,0.26684
1989,Berlin,male,No,0.44474,94,126,0.35762,0.53185
1989,Berlin,female,No,0.27593,65,65,0.16642,0.38544
1990,Schleswig-Holstein,male,Yes,0.23443,37,99,0.15056,0.31831
1990,Schleswig-Holstein,male,No,0.34246,62,99,0.24851,0.43641
1990,Schleswig-Holstein,female,No,0.23600,49,49,0.11587,0.35612
1990,Lower Saxony,male,Yes,0.25513,146,324,0.20759,0.30267
1990,Lower Saxony,male,No,0.28624,178,324,0.23694,0.33553
1990,Lower Saxony,female,Yes,0.09828,60,224,0.05921,0.13735
1990,Lower Saxony,female,No,0.24874,164,224,0.19200,0.30547
1990,North Rhine-Westphalia,male,Yes,0.24370,362,911,0.21580,0.27159
1990,North Rhine-Westphalia,male,No,0.32452,549,911,0.29410,0.35494
1990,North Rhine-Westphalia,female,Yes,0.10345,151,561,0.07823,0.12868
1990,North Rhine-Westphalia,female,No,0.24364,410,561,0.20809,0.27920
1990,Hesse,male,Yes,0.23483,141,356,0.19073,0.27893
1990,Hesse,male,No,0.31478,215,356,0.26647,0.36309
1990,Hesse,female,Yes,0.09063,52,236,0.05392,0.12733
1990,Hesse,female,No,0.25079,184,236,0.19537,0.30621
1990,"Rhineland-Palatinate, Saarland",male,Yes,0.25847,102,230,0.20177,0.31518
1990,"Rhineland-Palatinate, Saarland",male,No,0.30778,128,230,0.24800,0.36756
1990,"Rhineland-Palatinate, Saarland",female,Yes,0.09293,34,133,0.04340,0.14245
1990,"Rhineland-Palatinate, Saarland",female,No,0.22278,99,133,0.15180,0.29377
1990,Baden-Wuerttemberg,male,Yes,0.26923,286,683,0.23594,0.30252
1990,Baden-Wuerttemberg,male,No,0.31431,397,683,0.27947,0.34916
1990,Baden-Wuerttemberg,female,Yes,0.13664,129,487,0.10610,0.16718
1990,Baden-Wuerttemberg,female,No,0.28803,358,487,0.24777,0.32829
1990,Bavaria,male,Yes,0.21568,215,576,0.18206,0.24930
1990,Bavaria,male,No,0.33710,361,576,0.29846,0.37573
1990,Bavaria,female,Yes,0.11749,113,424,0.08681,0.14818
1990,Bavaria,female,No,0.28164,311,424,0.23877,0.32450
1990,Berlin,male,Yes,0.20385,74,230,0.15167,0.25603
1990,Berlin,male,No,0.40880,156,230,0.34513,0.47248
1990,Berlin,female,Yes,0.12122,48,199,0.07576,0.16668
1990,Berlin,female,No,0.32924,151,199,0.26378,0.39469
1990,Brandenburg,male,Yes,0.20618,104,295,0.15993,0.25242
1990,Brandenburg,male,No,0.39943,191,295,0.34344,0.45542
1990,Brandenburg,female,Yes,0.12220,64,257,0.08208,0.16232
1990,Brandenburg,female,No,0.36701,193,257,0.30797,0.42606
1990,Mecklenburg-Western Pomerania,male,Yes,0.19859,71,206,0.14398,0.25320
1990,Mecklenburg-Western Pomerania,male,No,0.43060,135,206,0.36282,0.49839
1990,Mecklenburg-Western Pomerania,female,Yes,0.13672,55,179,0.08625,0.18718
1990,Mecklenburg-Western Pomerania,female,No,0.36532,124,179,0.29458,0.43605
1990,Saxony,male,Yes,0.20874,184,532,0.17417,0.24330
1990,Saxony,male,No,0.40288,348,532,0.36116,0.44460
1990,Saxony,female,Yes,0.15091,151,482,0.11892,0.18290
1990,Saxony,female,No,0.33551,331,482,0.29332,0.37771
1990,Saxony-Anhalt,male,Yes,0.19650,104,320,0.15290,0.24011
1990,Saxony-Anhalt,male,No,0.41875,216,320,0.36461,0.47289
1990,Saxony-Anhalt,female,Yes,0.13931,84,297,0.09986,0.17876
1990,Saxony-Anhalt,female,No,0.35321,213,297,0.29876,0.40766
1990,Thuringa,male,Yes,0.21409,107,289,0.16671,0.26146
1990,Thuringa,male,No,0.37462,182,289,0.31872,0.43053
1990,Thuringa,female,Yes,0.13376,77,268,0.09293,0.17458
1990,Thuringa,female,No,0.34469,191,268,0.28768,0.40170
1991,Schleswig-Holstein,male,Yes,0.24735,44,105,0.16442,0.33027
1991,Schleswig-Holstein,male,No,0.30072,61,105,0.21258,0.38885
1991,Schleswig-Holstein,female,No,0.23788,53,53,0.12215,0.35361
1991,Lower Saxony,male,Yes,0.27316,158,335,0.22537,0.32095
1991,Lower Saxony,male,No,0.28756,177,335,0.23902,0.33610
1991,Lower Saxony,female,Yes,0.11087,73,231,0.07029,0.15145
1991,Lower Saxony,female,No,0.23999,158,231,0.18480,0.29519
1991,North Rhine-Westphalia,male,Yes,0.24844,370,888,0.22000,0.27688
1991,North Rhine-Westphalia,male,No,0.30760,518,888,0.27723,0.33797
1991,North Rhine-Westphalia,female,Yes,0.11459,155,600,0.08908,0.14010
1991,North Rhine-Westphalia,female,No,0.24703,445,600,0.21249,0.28157
1991,Hesse,male,Yes,0.22442,138,358,0.18114,0.26770
1991,Hesse,male,No,0.30883,220,358,0.26091,0.35676
1991,Hesse,female,Yes,0.10430,66,244,0.06587,0.14273
1991,Hesse,female,No,0.25265,178,244,0.19802,0.30729
1991,"Rhineland-Palatinate, Saarland",male,Yes,0.26378,102,228,0.20645,0.32111
1991,"Rhineland-Palatinate, Saarland",male,No,0.28618,126,228,0.22738,0.34498
1991,"Rhineland-Palatinate, Saarland",female,Yes,0.09168,36,154,0.04595,0.13740
1991,"Rhineland-Palatinate, Saarland",female,No,0.26364,118,154,0.19383,0.33346
1991,Baden-Wuerttemberg,male,Yes,0.26326,293,693,0.23045,0.29607
1991,Baden-Wuerttemberg,male,No,0.32409,400,693,0.28922,0.35897
1991,Baden-Wuerttemberg,female,Yes,0.14868,139,490,0.11715,0.18022
1991,Baden-Wuerttemberg,female,No,0.28136,351,490,0.24151,0.32122
1991,Bavaria,male,Yes,0.24198,241,606,0.20785,0.27611
1991,Bavaria,male,No,0.32882,365,606,0.29138,0.36625
1991,Bavaria,female,Yes,0.11853,117,410,0.08720,0.14985
1991,Bavaria,female,No,0.25929,293,410,0.21682,0.30177
1991,Berlin,male,Yes,0.21202,71,210,0.15660,0.26743
1991,Berlin,male,No,0.38041,139,210,0.31459,0.44623
1991,Berlin,female,Yes,0.15808,67,185,0.10536,0.21079
1991,Berlin,female,No,0.29376,118,185,0.22794,0.35957
1991,Brandenburg,male,Yes,0.15778,73,243,0.11185,0.20371
1991,Brandenburg,male,No,0.39355,170,243,0.33200,0.45510
1991,Brandenburg,female,Yes,0.08104,44,203,0.04341,0.11868
1991,Brandenburg,female,No,0.32611,159,203,0.26146,0.39076
1991,Mecklenburg-Western Pomerania,male,Yes,0.15437,49,180,0.10144,0.20730
1991,Mecklenburg-Western Pomerania,male,No,0.41085,131,180,0.33878,0.48293
1991,Mecklenburg-Western Pomerania,female,Yes,0.08152,32,140,0.03603,0.12701
1991,Mecklenburg-Western Pomerania,female,No,0.34212,108,140,0.26325,0.42099
1991,Saxony,male,Yes,0.18247,143,438,0.14626,0.21868
1991,Saxony,male,No,0.37802,295,438,0.33256,0.42348
1991,Saxony,female,Yes,0.11076,106,377,0.07904,0.14248
1991,Saxony,female,No,0.31124,271,377,0.26444,0.35804
1991,Saxony-Anhalt,male,Yes,0.14181,81,285,0.10124,0.18239
1991,Saxony-Anhalt,male,No,0.43305,204,285,0.37542,0.49067
1991,Saxony-Anhalt,female,Yes,0.10091,64,257,0.06402,0.13781
1991,Saxony-Anhalt,female,No,0.33776,193,257,0.27982,0.39569
1991,Thuringa,male,Yes,0.22321,100,254,0.17190,0.27452
1991,Thuringa,male,No,0.34224,154,254,0.28377,0.40070
1991,Thuringa,female,Yes,0.10070,51,213,0.06019,0.14121
1991,Thuringa,female,No,0.29652,162,213,0.23504,0.35800
1992,Schleswig-Holstein,male,Yes,0.26507,42,93,0.17488,0.35526
1992,Schleswig-Holstein,male,No,0.28768,51,93,0.19518,0.38019
1992,Schleswig-Holstein,female,No,0.24946,52,52,0.13070,0.36821
1992,Hamburg,female,No,0.24319,31,31,0.08967,0.39670
1992,Lower Saxony,male,Yes,0.27094,155,335,0.22327,0.31860
1992,Lower Saxony,male,No,0.29215,180,335,0.24338,0.34092
1992,Lower Saxony,female,Yes,0.12222,79,209,0.07771,0.16674
1992,Lower Saxony,female,No,0.19667,130,209,0.14265,0.25068
1992,North Rhine-Westphalia,male,Yes,0.24113,349,887,0.21296,0.26930
1992,North Rhine-Westphalia,male,No,0.31148,538,887,0.28099,0.34197
1992,North Rhine-Westphalia,female,Yes,0.11211,160,588,0.08659,0.13763
1992,North Rhine-Westphalia,female,No,0.24546,428,588,0.21065,0.28028
1992,Hesse,male,Yes,0.22769,131,336,0.18279,0.27260
1992,Hesse,male,No,0.30579,205,336,0.25645,0.35513
1992,Hesse,female,Yes,0.11699,67,238,0.07607,0.15791
1992,Hesse,female,No,0.24899,171,238,0.19393,0.30404
1992,"Rhineland-Palatinate, Saarland",male,Yes,0.25792,92,220,0.19997,0.31586
1992,"Rhineland-Palatinate, Saarland",male,No,0.28254,128,220,0.22291,0.34217
1992,"Rhineland-Palatinate, Saarland",female,Yes,0.11717,48,141,0.06390,0.17045
1992,"Rhineland-Palatinate, Saarland",female,No,0.21863,93,141,0.15016,0.28709
1992,Baden-Wuerttemberg,male,Yes,0.25511,272,659,0.22180,0.28842
1992,Baden-Wuerttemberg,male,No,0.30581,387,659,0.27061,0.34102
1992,Baden-Wuerttemberg,female,Yes,0.14619,143,473,0.11432,0.17807
1992,Baden-Wuerttemberg,female,No,0.25841,330,473,0.21892,0.29791
1992,Bavaria,male,Yes,0.21073,218,610,0.17834,0.24312
1992,Bavaria,male,No,0.34706,392,610,0.30925,0.38487
1992,Bavaria,female,Yes,0.12598,130,429,0.09454,0.15742
1992,Bavaria,female,No,0.26103,299,429,0.21942,0.30263
1992,Berlin,male,Yes,0.26094,87,193,0.19883,0.32306
1992,Berlin,male,No,0.28260,106,193,0.21891,0.34629
1992,Berlin,female,Yes,0.16017,69,181,0.10659,0.21376
1992,Berlin,female,No,0.29433,112,181,0.22775,0.36091
1992,Brandenburg,male,Yes,0.22415,92,224,0.16942,0.27889
1992,Brandenburg,male,No,0.32285,132,224,0.26148,0.38422
1992,Brandenburg,female,Yes,0.12801,57,172,0.07793,0.17809
1992,Brandenburg,female,No,0.23698,115,172,0.17324,0.30071
1992,Mecklenburg-Western Pomerania,male,Yes,0.18600,53,142,0.12177,0.25022
1992,Mecklenburg-Western Pomerania,male,No,0.30082,89,142,0.22512,0.37652
1992,Mecklenburg-Western Pomerania,female,Yes,0.13311,40,110,0.06934,0.19689
1992,Mecklenburg-Western Pomerania,female,No,0.23039,70,110,0.15134,0.30944
1992,Saxony,male,Yes,0.21854,162,367,0.17620,0.26087
1992,Saxony,male,No,0.27725,205,367,0.23139,0.32311
1992,Saxony,female,Yes,0.13520,121,310,0.09707,0.17332
1992,Saxony,female,No,0.21382,189,310,0.16811,0.25954
1992,Saxony-Anhalt,male,Yes,0.22873,107,252,0.17677,0.28069
1992,Saxony-Anhalt,male,No,0.30878,145,252,0.25162,0.36593
1992,Saxony-Anhalt,female,Yes,0.11673,70,220,0.07420,0.15925
1992,Saxony-Anhalt,female,No,0.26173,150,220,0.20351,0.31995
1992,Thuringa,male,Yes,0.23947,105,223,0.18333,0.29561
1992,Thuringa,male,No,0.24435,118,223,0.18782,0.30088
1992,Thuringa,female,Yes,0.09794,54,180,0.05440,0.14148
1992,Thuringa,female,No,0.24477,126,180,0.18178,0.30775
1993,Schleswig-Holstein,male,Yes,0.27569,44,92,0.18387,0.36750
1993,Schleswig-Holstein,male,No,0.23768,48,92,0.15022,0.32514
1993,Schleswig-Holstein,female,No,0.22405,50,50,0.10730,0.34080
1993,Hamburg,female,No,0.35602,32,32,0.18746,0.52458
1993,Lower Saxony,male,Yes,0.24992,142,340,0.20383,0.29601
1993,Lower Saxony,male,No,0.31096,198,340,0.26169,0.36024
1993,Lower Saxony,female,Yes,0.12458,76,229,0.08171,0.16744
1993,Lower Saxony,female,No,0.23773,153,229,0.18248,0.29299
1993,North Rhine-Westphalia,male,Yes,0.20412,309,862,0.17720,0.23104
1993,North Rhine-Westphalia,male,No,0.33939,553,862,0.30777,0.37102
1993,North Rhine-Westphalia,female,Yes,0.08975,140,592,0.06670,0.11279
1993,North Rhine-Westphalia,female,No,0.26926,452,592,0.23350,0.30503
1993,Hesse,male,Yes,0.21175,119,329,0.16753,0.25596
1993,Hesse,male,No,0.31907,210,329,0.26863,0.36952
1993,Hesse,female,Yes,0.11026,62,240,0.07055,0.14997
1993,Hesse,female,No,0.27558,178,240,0.21893,0.33223
1993,"Rhineland-Palatinate, Saarland",male,Yes,0.20121,81,205,0.14620,0.25623
1993,"Rhineland-Palatinate, Saarland",male,No,0.30116,124,205,0.23821,0.36411
1993,"Rhineland-Palatinate, Saarland",female,Yes,0.09317,40,139,0.04467,0.14167
1993,"Rhineland-Palatinate, Saarland",female,No,0.23813,99,139,0.16706,0.30919
1993,Baden-Wuerttemberg,male,Yes,0.23196,249,657,0.19966,0.26426
1993,Baden-Wuerttemberg,male,No,0.33212,408,657,0.29608,0.36816
1993,Baden-Wuerttemberg,female,Yes,0.12170,126,464,0.09192,0.15148
1993,Baden-Wuerttemberg,female,No,0.26933,338,464,0.22892,0.30974
1993,Bavaria,male,Yes,0.21259,216,590,0.17955,0.24563
1993,Bavaria,male,No,0.34944,374,590,0.31093,0.38794
1993,Bavaria,female,Yes,0.11841,118,425,0.08766,0.14917
1993,Bavaria,female,No,0.26542,307,425,0.22339,0.30745
1993,Berlin,male,Yes,0.21945,73,188,0.16013,0.27877
1993,Berlin,male,No,0.32325,115,188,0.25621,0.39029
1993,Berlin,female,Yes,0.16502,68,168,0.10872,0.22132
1993,Berlin,female,No,0.27558,100,168,0.20781,0.34335
1993,Brandenburg,male,Yes,0.19728,77,203,0.14240,0.25215
1993,Brandenburg,male,No,0.31157,126,203,0.24771,0.37544
1993,Brandenburg,female,Yes,0.12344,60,167,0.07340,0.17349
1993,Brandenburg,female,No,0.25525,107,167,0.18892,0.32158
1993,Mecklenburg-Western Pomerania,male,Yes,0.17277,49,122,0.10541,0.24013
1993,Mecklenburg-Western Pomerania,male,No,0.25932,73,122,0.18123,0.33742
1993,Mecklenburg-Western Pomerania,female,Yes,0.12018,39,99,0.05580,0.18456
1993,Mecklenburg-Western Pomerania,female,No,0.18912,60,99,0.11158,0.26665
1993,Saxony,male,Yes,0.24861,180,348,0.20314,0.29409
1993,Saxony,male,No,0.22935,168,348,0.18512,0.27359
1993,Saxony,female,Yes,0.16385,133,293,0.12140,0.20631
1993,Saxony,female,No,0.18574,160,293,0.14113,0.23034
1993,Saxony-Anhalt,male,Yes,0.24391,113,233,0.18865,0.29918
1993,Saxony-Anhalt,male,No,0.25497,120,233,0.19888,0.31105
1993,Saxony-Anhalt,female,Yes,0.12253,71,193,0.07614,0.16891
1993,Saxony-Anhalt,female,No,0.21967,122,193,0.16111,0.27824
1993,Thuringa,male,Yes,0.23221,98,208,0.17469,0.28973
1993,Thuringa,male,No,0.25257,110,208,0.19338,0.31177
1993,Thuringa,female,Yes,0.11574,65,175,0.06821,0.16328
1993,Thuringa,female,No,0.21435,110,175,0.15338,0.27533
1994,Schleswig-Holstein,male,Yes,0.23686,38,91,0.14902,0.32469
1994,Schleswig-Holstein,male,No,0.30854,53,91,0.21312,0.40397
1994,Schleswig-Holstein,female,No,0.26612,55,55,0.14825,0.38399
1994,Lower Saxony,male,Yes,0.24833,143,328,0.20150,0.29516
1994,Lower Saxony,male,No,0.30943,185,328,0.25933,0.35954
1994,Lower Saxony,female,Yes,0.11061,76,231,0.07008,0.15115
1994,Lower Saxony,female,No,0.23572,155,231,0.18087,0.29058
1994,North Rhine-Westphalia,male,Yes,0.21114,319,833,0.18341,0.23887
1994,North Rhine-Westphalia,male,No,0.33452,514,833,0.30246,0.36658
1994,North Rhine-Westphalia,female,Yes,0.10842,156,570,0.08288,0.13397
1994,North Rhine-Westphalia,female,No,0.24048,414,570,0.20536,0.27559
1994,Hesse,male,Yes,0.22656,120,315,0.18026,0.27286
1994,Hesse,male,No,0.30002,195,315,0.24933,0.35071
1994,Hesse,female,Yes,0.12560,66,228,0.08249,0.16871
1994,Hesse,female,No,0.22795,162,228,0.17337,0.28252
1994,"Rhineland-Palatinate, Saarland",male,Yes,0.22040,83,198,0.16252,0.27828
1994,"Rhineland-Palatinate, Saarland",male,No,0.28944,115,198,0.22611,0.35276
1994,"Rhineland-Palatinate, Saarland",female,Yes,0.12405,48,144,0.07002,0.17808
1994,"Rhineland-Palatinate, Saarland",female,No,0.21001,96,144,0.14325,0.27677
1994,Baden-Wuerttemberg,male,Yes,0.22962,242,605,0.19608,0.26317
1994,Baden-Wuerttemberg,male,No,0.29274,363,605,0.25645,0.32903
1994,Baden-Wuerttemberg,female,Yes,0.11933,114,429,0.08862,0.15004
1994,Baden-Wuerttemberg,female,No,0.25519,315,429,0.21388,0.29649
1994,Bavaria,male,Yes,0.21142,217,556,0.17745,0.24539
1994,Bavaria,male,No,0.31487,339,556,0.27623,0.35351
1994,Bavaria,female,Yes,0.10389,112,399,0.07391,0.13386
1994,Bavaria,female,No,0.26101,287,399,0.21786,0.30416
1994,Berlin,male,Yes,0.25441,81,177,0.19006,0.31875
1994,Berlin,male,No,0.27706,96,177,0.21094,0.34318
1994,Berlin,female,Yes,0.15142,62,153,0.09443,0.20840
1994,Berlin,female,No,0.25465,91,153,0.18539,0.32392
1994,Brandenburg,male,Yes,0.23816,91,198,0.17868,0.29764
1994,Brandenburg,male,No,0.28830,107,198,0.22504,0.35155
1994,Brandenburg,female,Yes,0.14751,67,159,0.09222,0.20281
1994,Brandenburg,female,No,0.23992,92,159,0.17333,0.30651
1994,Mecklenburg-Western Pomerania,male,Yes,0.19973,54,132,0.13127,0.26820
1994,Mecklenburg-Western Pomerania,male,No,0.27084,78,132,0.19473,0.34694
1994,Mecklenburg-Western Pomerania,female,Yes,0.11574,45,100,0.05272,0.17876
1994,Mecklenburg-Western Pomerania,female,No,0.19438,55,100,0.11643,0.27233
1994,Saxony,male,Yes,0.25287,178,341,0.20666,0.29907
1994,Saxony,male,No,0.21827,163,341,0.17436,0.26218
1994,Saxony,female,Yes,0.14259,125,292,0.10242,0.18276
1994,Saxony,female,No,0.19563,167,292,0.15005,0.24121
1994,Saxony-Anhalt,male,Yes,0.23859,115,220,0.18214,0.29504
1994,Saxony-Anhalt,male,No,0.24828,105,220,0.19106,0.30550
1994,Saxony-Anhalt,female,Yes,0.15435,79,195,0.10351,0.20519
1994,Saxony-Anhalt,female,No,0.20543,116,195,0.14858,0.26229
1994,Thuringa,male,Yes,0.26249,109,208,0.20255,0.32243
1994,Thuringa,male,No,0.22252,99,208,0.16586,0.27919
1994,Thuringa,female,Yes,0.13285,70,174,0.08227,0.18343
1994,Thuringa,female,No,0.18521,104,174,0.12732,0.24310
1995,Schleswig-Holstein,male,Yes,0.24262,48,90,0.15356,0.33167
1995,Schleswig-Holstein,male,No,0.25696,42,90,0.16618,0.34774
1995,Schleswig-Holstein,female,No,0.19534,47,47,0.08077,0.30991
1995,Lower Saxony,male,Yes,0.26405,169,357,0.21826,0.30985
1995,Lower Saxony,male,No,0.26763,188,357,0.22164,0.31362
1995,Lower Saxony,female,Yes,0.11836,86,234,0.07688,0.15984
1995,Lower Saxony,female,No,0.20898,148,234,0.15678,0.26119
1995,North Rhine-Westphalia,male,Yes,0.24660,393,881,0.21812,0.27508
1995,North Rhine-Westphalia,male,No,0.30284,488,881,0.27248,0.33320
1995,North Rhine-Westphalia,female,Yes,0.13375,208,623,0.10700,0.16050
1995,North Rhine-Westphalia,female,No,0.22633,415,623,0.19344,0.25922
1995,Hesse,male,Yes,0.22165,122,321,0.17614,0.26716
1995,Hesse,male,No,0.28747,199,321,0.23788,0.33706
1995,Hesse,female,Yes,0.10802,67,233,0.06808,0.14797
1995,Hesse,female,No,0.24141,166,233,0.18634,0.29648
1995,"Rhineland-Palatinate, Saarland",male,Yes,0.20513,95,222,0.15189,0.25837
1995,"Rhineland-Palatinate, Saarland",male,No,0.26165,127,222,0.20370,0.31960
1995,"Rhineland-Palatinate, Saarland",female,Yes,0.09755,45,165,0.05214,0.14296
1995,"Rhineland-Palatinate, Saarland",female,No,0.23361,120,165,0.16885,0.29837
1995,Baden-Wuerttemberg,male,Yes,0.24623,267,615,0.21216,0.28031
1995,Baden-Wuerttemberg,male,No,0.26993,348,615,0.23482,0.30504
1995,Baden-Wuerttemberg,female,Yes,0.13794,139,457,0.10629,0.16959
1995,Baden-Wuerttemberg,female,No,0.23484,318,457,0.19594,0.27375
1995,Bavaria,male,Yes,0.22174,250,595,0.18833,0.25514
1995,Bavaria,male,No,0.32227,345,595,0.28469,0.35986
1995,Bavaria,female,Yes,0.12221,131,422,0.09093,0.15350
1995,Bavaria,female,No,0.24174,291,422,0.20084,0.28264
