year,sampreg,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,East,female,Yes,0.18398,543,772,0.15663,0.21133
2009,East,female,No,0.08807,229,772,0.06807,0.10808
2010,West,male,Yes,0.22819,2563,3573,0.21443,0.24196
2010,West,male,No,0.09374,1010,3573,0.08418,0.10330
2010,West,female,Yes,0.17005,1909,2861,0.15628,0.18382
2010,West,female,No,0.08629,952,2861,0.07600,0.09658
2010,East,male,Yes,0.20108,658,995,0.17616,0.22599
2010,East,male,No,0.12177,337,995,0.10144,0.14210
2010,East,female,Yes,0.19313,647,932,0.16777,0.21848
2010,East,female,No,0.08580,285,932,0.06781,0.10379
2011,West,male,Yes,0.25667,3295,4242,0.24353,0.26982
2011,West,male,No,0.07492,947,4242,0.06700,0.08285
2011,West,female,Yes,0.18273,2605,3609,0.17012,0.19534
2011,West,female,No,0.07073,1004,3609,0.06236,0.07909
2011,East,male,Yes,0.22843,800,1147,0.20412,0.25274
2011,East,male,No,0.10432,347,1147,0.08662,0.12202
2011,East,female,Yes,0.19819,798,1126,0.17490,0.22149
2011,East,female,No,0.07704,328,1126,0.06145,0.09262
2012,West,male,Yes,0.25715,3176,4244,0.24400,0.27030
2012,West,male,No,0.08951,1068,4244,0.08092,0.09810
2012,West,female,Yes,0.18803,2674,3839,0.17567,0.20039
2012,West,female,No,0.07804,1165,3839,0.06955,0.08652
2012,East,male,Yes,0.22475,771,1123,0.20033,0.24918
2012,East,male,No,0.11484,352,1123,0.09619,0.13350
2012,East,female,Yes,0.18939,800,1137,0.16660,0.21217
2012,East,female,No,0.08557,337,1137,0.06930,0.10184
2013,West,male,Yes,0.24662,3517,4709,0.23431,0.25893
2013,West,male,No,0.08663,1192,4709,0.07860,0.09467
2013,West,female,Yes,0.17922,2920,4115,0.16750,0.19094
2013,West,female,No,0.07099,1195,4115,0.06314,0.07884
2013,East,male,Yes,0.21302,729,1054,0.18829,0.23775
2013,East,male,No,0.10525,325,1054,0.08672,0.12379
2013,East,female,Yes,0.20531,801,1106,0.18149,0.22912
2013,East,female,No,0.07484,305,1106,0.05932,0.09035
2014,West,male,Yes,0.25023,3104,4125,0.23701,0.26345
2014,West,male,No,0.08444,1021,4125,0.07595,0.09292
2014,West,female,Yes,0.19383,2654,3848,0.18133,0.20632
2014,West,female,No,0.07413,1194,3848,0.06585,0.08241
2014,East,male,Yes,0.22859,703,989,0.20241,0.25478
2014,East,male,No,0.10526,286,989,0.08612,0.12439
2014,East,female,Yes,0.19295,714,1003,0.16852,0.21739
2014,East,female,No,0.08094,289,1003,0.06405,0.09782
2015,West,male,Yes,0.25798,3137,4024,0.24446,0.27150
2015,West,male,No,0.07581,887,4024,0.06763,0.08399
2015,West,female,Yes,0.20278,2736,3612,0.18966,0.21589
2015,West,female,No,0.06127,876,3612,0.05345,0.06910
2015,East,male,Yes,0.22385,651,904,0.19666,0.25104
2015,East,male,No,0.10036,253,904,0.08076,0.11996
2015,East,female,Yes,0.21412,732,959,0.18815,0.24010
2015,East,female,No,0.06600,227,959,0.05028,0.08172
2016,West,male,Yes,0.26358,2859,3629,0.24924,0.27792
2016,West,male,No,0.07379,770,3629,0.06528,0.08229
2016,West,female,Yes,0.21552,2671,3577,0.20204,0.22900
2016,West,female,No,0.06896,906,3577,0.06065,0.07726
2016,East,male,Yes,0.24360,648,875,0.21514,0.27206
2016,East,male,No,0.09481,227,875,0.07539,0.11424
2016,East,female,Yes,0.20871,698,945,0.18279,0.23464
2016,East,female,No,0.07603,247,945,0.05912,0.09294
2017,West,male,Yes,0.24861,3100,3991,0.23520,0.26202
2017,West,male,No,0.07226,891,3991,0.06422,0.08029
2017,West,female,Yes,0.19642,2848,3770,0.18374,0.20911
2017,West,female,No,0.06541,922,3770,0.05751,0.07330
2017,East,male,Yes,0.23744,705,953,0.21041,0.26447
2017,East,male,No,0.07354,248,953,0.05696,0.09013
2017,East,female,Yes,0.20554,735,1021,0.18074,0.23034
2017,East,female,No,0.06910,286,1021,0.05353,0.08466
2018,West,male,Yes,0.27662,3138,4147,0.26301,0.29024
2018,West,male,No,0.08049,1009,4147,0.07221,0.08877
2018,West,female,Yes,0.21555,2897,3956,0.20274,0.22837
2018,West,female,No,0.07476,1059,3956,0.06657,0.08296
2018,East,male,Yes,0.24459,725,1026,0.21828,0.27091
2018,East,male,No,0.09371,301,1026,0.07587,0.11155
2018,East,female,Yes,0.20122,704,1029,0.17671,0.22573
2018,East,female,No,0.08322,325,1029,0.06634,0.10011
2019,West,male,Yes,0.26701,2884,3745,0.25284,0.28118
2019,West,male,No,0.07538,861,3745,0.06693,0.08384
2019,West,female,Yes,0.21243,2672,3550,0.19897,0.22589
2019,West,female,No,0.06201,878,3550,0.05407,0.06994
2019,East,male,Yes,0.23147,680,899,0.20388,0.25905
2019,East,male,No,0.08578,219,899,0.06746,0.10409
2019,East,female,Yes,0.20787,732,988,0.18255,0.23318
2019,East,female,No,0.07587,256,988,0.05935,0.09239
2020,West,male,Yes,0.23797,2719,4146,0.22500,0.25093
2020,West,male,No,0.11708,1427,4146,0.10729,0.12686
2020,West,female,Yes,0.19785,2529,4048,0.18557,0.21012
2020,West,female,No,0.10870,1519,4048,0.09911,0.11829
2020,East,male,Yes,0.22030,648,994,0.19452,0.24608
2020,East,male,No,0.12086,346,994,0.10058,0.14113
2020,East,female,Yes,0.20240,627,1018,0.17770,0.22709
2020,East,female,No,0.11031,391,1018,0.09105,0.12956
2021,West,male,Yes,0.26887,2158,2936,0.25283,0.28491
2021,West,male,No,0.08281,778,2936,0.07284,0.09278
2021,West,female,Yes,0.21819,2002,2771,0.20281,0.23357
2021,West,female,No,0.08073,769,2771,0.07059,0.09088
2021,East,male,Yes,0.25485,500,679,0.22205,0.28765
2021,East,male,No,0.09867,179,679,0.07622,0.12112
2021,East,female,Yes,0.19809,502,723,0.16902,0.22716
2021,East,female,No,0.10483,221,723,0.08249,0.12718
2022,West,male,Yes,0.27645,3633,5040,0.26410,0.28880
2022,West,male,No,0.10082,1407,5040,0.09251,0.10913
2022,West,female,Yes,0.23833,3475,4823,0.22630,0.25035
2022,West,female,No,0.09020,1348,4823,0.08211,0.09828
2022,East,male,Yes,0.26170,830,1174,0.23654,0.28685
2022,East,male,No,0.08667,344,1174,0.07057,0.10277
2022,East,female,Yes,0.19725,858,1252,0.17520,0.21930
2022,East,female,No,0.10268,394,1252,0.08586,0.11950
