,Unnamed: 0,year,bula_h,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
60,60,2019,Lower Saxony,Yes,0.0271,38,15957,0.01796,0.03816
61,61,2019,Lower Saxony,No,0.9729,1454,15957,0.91503,1.02222
62,62,2019,Bremen,No,1.0,129,15957,0.80144,1.25396
63,63,2019,North Rhine-Westphalia,Yes,0.02448,90,15957,0.01853,0.02966
64,64,2019,North Rhine-Westphalia,No,0.97552,3187,15957,0.93845,1.01675
65,65,2019,Hesse,No,1.0,1060,15957,0.92117,1.07535
66,66,2019,"Rhineland-Palatinate, Saarland",No,1.0,885,15957,0.93041,1.07634
67,67,2019,Baden-Wuerttemberg,Yes,0.02476,61,15957,0.01683,0.03342
68,68,2019,Baden-Wuerttemberg,No,0.97524,1631,15957,0.92552,1.03346
69,69,2019,Bavaria,Yes,0.01645,61,15957,0.01178,0.02174
70,70,2019,Bavaria,No,0.98355,2465,15957,0.93826,1.02592
71,71,2019,Berlin,No,1.0,720,15957,0.90583,1.07367
72,72,2019,Brandenburg,No,1.0,707,15957,0.89581,1.1095
73,73,2019,Mecklenburg-Western Pomerania,No,1.0,396,15957,0.88528,1.14204
74,74,2019,Saxony,No,1.0,1016,15957,0.93257,1.05933
75,75,2019,Saxony-Anhalt,No,1.0,561,15957,0.89283,1.09332
76,76,2019,Thuringa,No,1.0,574,15957,0.90423,1.09893
77,77,2020,Schleswig-Holstein,No,1.0,532,16111,0.92175,1.08616
78,78,2020,Hamburg,No,1.0,354,16111,0.89037,1.11478
79,79,2020,Lower Saxony,Yes,0.02648,34,16111,0.01974,0.03561
80,80,2020,Lower Saxony,No,0.97352,1452,16111,0.91615,1.03557
81,81,2020,Bremen,No,1.0,138,16111,0.78873,1.27011
82,82,2020,North Rhine-Westphalia,Yes,0.02802,86,16111,0.02179,0.03388
83,83,2020,North Rhine-Westphalia,No,0.97198,3311,16111,0.92928,1.0133
84,84,2020,Hesse,No,1.0,1090,16111,0.93705,1.0675
85,85,2020,"Rhineland-Palatinate, Saarland",No,1.0,847,16111,0.92618,1.08283
86,86,2020,Baden-Wuerttemberg,Yes,0.02772,47,16111,0.01888,0.03703
87,87,2020,Baden-Wuerttemberg,No,0.97228,1694,16111,0.91587,1.02201
88,88,2020,Bavaria,Yes,0.02533,73,16111,0.01815,0.0343
89,89,2020,Bavaria,No,0.97467,2555,16111,0.92698,1.02297
90,90,2020,Berlin,No,1.0,834,16111,0.90105,1.10517
91,91,2020,Brandenburg,No,1.0,664,16111,0.90205,1.08698
92,92,2020,Mecklenburg-Western Pomerania,No,1.0,332,16111,0.88608,1.12762
93,93,2020,Saxony,No,1.0,956,16111,0.92771,1.07323
94,94,2020,Saxony-Anhalt,No,1.0,552,16111,0.89238,1.12394
95,95,2020,Thuringa,No,1.0,560,16111,0.89979,1.1115
96,96,2021,Schleswig-Holstein,No,1.0,414,10892,0.8774,1.10002
97,97,2021,Hamburg,No,1.0,255,10892,0.84468,1.13904
98,98,2021,Lower Saxony,No,1.0,1033,10892,0.91846,1.0789
99,99,2021,Bremen,No,1.0,78,10892,0.74975,1.30367
100,100,2021,North Rhine-Westphalia,Yes,0.02266,58,10892,0.01494,0.03201
101,101,2021,North Rhine-Westphalia,No,0.97734,2215,10892,0.92947,1.02155
102,102,2021,Hesse,No,1.0,673,10892,0.91176,1.09932
103,103,2021,"Rhineland-Palatinate, Saarland",No,1.0,520,10892,0.9075,1.09917
104,104,2021,Baden-Wuerttemberg,Yes,0.02225,36,10892,0.01628,0.03067
105,105,2021,Baden-Wuerttemberg,No,0.97775,1183,10892,0.91511,1.04431
106,106,2021,Bavaria,Yes,0.02286,57,10892,0.01477,0.03117
107,107,2021,Bavaria,No,0.97714,1695,10892,0.91644,1.03099
108,108,2021,Berlin,No,1.0,534,10892,0.90305,1.11641
109,109,2021,Brandenburg,No,1.0,436,10892,0.88516,1.11732
110,110,2021,Mecklenburg-Western Pomerania,No,1.0,257,10892,0.8626,1.15521
111,111,2021,Saxony,No,1.0,713,10892,0.91836,1.09765
112,112,2021,Saxony-Anhalt,No,1.0,362,10892,0.86633,1.1352
113,113,2021,Thuringa,No,1.0,373,10892,0.87558,1.13558
