year,bula_h,sampreg,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Berlin,West,No,0.98036,414,414,0.96698,0.99374
2018,Berlin,East,No,0.96881,264,264,0.94780,0.98982
2018,Brandenburg,East,No,0.98321,633,633,0.97319,0.99322
2018,Mecklenburg-Western Pomerania,East,No,0.97701,371,371,0.96173,0.99228
2018,Saxony,East,No,0.98112,964,964,0.97253,0.98972
2018,Saxony-Anhalt,East,No,0.98235,568,568,0.97151,0.99319
2018,Thuringa,East,No,0.98039,569,569,0.96899,0.99179
2019,Schleswig-Holstein,West,No,0.96340,573,573,0.94802,0.97879
2019,Hamburg,West,No,0.96419,349,349,0.94467,0.98371
2019,Lower Saxony,West,Yes,0.02694,38,1492,0.01872,0.03516
2019,Lower Saxony,West,No,0.96235,1454,1492,0.95269,0.97201
2019,Bremen,West,No,0.98015,129,129,0.95599,1.00432
2019,North Rhine-Westphalia,West,Yes,0.02429,90,3277,0.01902,0.02956
2019,North Rhine-Westphalia,West,No,0.96405,3187,3277,0.95767,0.97042
2019,Hesse,West,No,0.95678,1060,1060,0.94453,0.96903
2019,"Rhineland-Palatinate, Saarland",West,No,0.97244,885,885,0.96165,0.98323
2019,Baden-Wuerttemberg,West,Yes,0.02446,61,1692,0.01710,0.03182
2019,Baden-Wuerttemberg,West,No,0.96651,1631,1692,0.95794,0.97509
2019,Bavaria,West,Yes,0.01652,61,2526,0.01155,0.02149
2019,Bavaria,West,No,0.97574,2465,2526,0.96973,0.98174
2019,Berlin,West,No,0.97266,394,394,0.95654,0.98878
2019,Berlin,East,No,0.97489,266,266,0.95605,0.99373
2019,Brandenburg,East,No,0.97948,707,707,0.96902,0.98994
2019,Mecklenburg-Western Pomerania,East,No,0.97855,396,396,0.96427,0.99284
2019,Saxony,East,No,0.98105,1016,1016,0.97266,0.98944
2019,Saxony-Anhalt,East,No,0.98122,561,561,0.96998,0.99246
2019,Thuringa,East,No,0.97763,574,574,0.96552,0.98974
2020,Schleswig-Holstein,West,No,0.94689,532,532,0.92781,0.96596
2020,Hamburg,West,No,0.97120,354,354,0.95376,0.98865
2020,Lower Saxony,West,Yes,0.02625,34,1486,0.01812,0.03438
2020,Lower Saxony,West,No,0.96227,1452,1486,0.95258,0.97197
2020,Bremen,West,No,0.96492,138,138,0.93411,0.99573
2020,North Rhine-Westphalia,West,Yes,0.02747,86,3397,0.02197,0.03296
2020,North Rhine-Westphalia,West,No,0.95462,3311,3397,0.94762,0.96162
2020,Hesse,West,No,0.95952,1090,1090,0.94782,0.97123
2020,"Rhineland-Palatinate, Saarland",West,No,0.96929,847,847,0.95766,0.98092
2020,Baden-Wuerttemberg,West,Yes,0.02715,47,1741,0.01951,0.03478
2020,Baden-Wuerttemberg,West,No,0.96111,1694,1741,0.95203,0.97020
2020,Bavaria,West,Yes,0.02526,73,2628,0.01926,0.03126
2020,Bavaria,West,No,0.96222,2555,2628,0.95493,0.96951
2020,Berlin,West,No,0.96565,536,536,0.95022,0.98108
2020,Berlin,East,No,0.97190,298,298,0.95310,0.99069
2020,Brandenburg,East,No,0.97059,664,664,0.95773,0.98345
2020,Mecklenburg-Western Pomerania,East,No,0.98231,332,332,0.96811,0.99651
2020,Saxony,East,No,0.96063,956,956,0.94830,0.97297
2020,Saxony-Anhalt,East,No,0.96067,552,552,0.94444,0.97690
2020,Thuringa,East,No,0.97423,560,560,0.96109,0.98736
2021,Schleswig-Holstein,West,No,0.94294,414,414,0.92057,0.96531
2021,Hamburg,West,No,0.93397,255,255,0.90343,0.96451
2021,Lower Saxony,West,No,0.97045,1033,1033,0.96012,0.98078
2021,Bremen,West,No,0.98069,78,78,0.94996,1.01143
2021,North Rhine-Westphalia,West,Yes,0.02234,58,2273,0.01626,0.02841
2021,North Rhine-Westphalia,West,No,0.95940,2215,2273,0.95128,0.96751
2021,Hesse,West,No,0.95180,673,673,0.93561,0.96800
2021,"Rhineland-Palatinate, Saarland",West,No,0.96392,520,520,0.94788,0.97997
2021,Baden-Wuerttemberg,West,Yes,0.02246,36,1219,0.01414,0.03079
2021,Baden-Wuerttemberg,West,No,0.96867,1183,1219,0.95888,0.97845
2021,Bavaria,West,Yes,0.02414,57,1752,0.01695,0.03133
2021,Bavaria,West,No,0.96578,1695,1752,0.95727,0.97430
2021,Berlin,West,No,0.96548,340,340,0.94604,0.98491
2021,Berlin,East,No,0.94853,194,194,0.91736,0.97970
2021,Brandenburg,East,No,0.96459,436,436,0.94722,0.98195
2021,Mecklenburg-Western Pomerania,East,No,0.98460,257,257,0.96951,0.99968
2021,Saxony,East,No,0.97210,713,713,0.96001,0.98420
2021,Saxony-Anhalt,East,No,0.97547,362,362,0.95951,0.99143
2021,Thuringa,East,No,0.96623,373,373,0.94787,0.98458
2022,Schleswig-Holstein,West,No,0.97334,637,637,0.96081,0.98586
2022,Hamburg,West,No,0.95817,421,421,0.93903,0.97732
2022,Lower Saxony,West,Yes,0.02894,61,1630,0.02080,0.03708
2022,Lower Saxony,West,No,0.95783,1569,1630,0.94807,0.96759
2022,Bremen,West,No,0.97548,136,136,0.94939,1.00157
2022,North Rhine-Westphalia,West,Yes,0.02365,107,3916,0.01889,0.02841
2022,North Rhine-Westphalia,West,No,0.95743,3809,3916,0.95111,0.96376
2022,Hesse,West,Yes,0.04068,47,1246,0.02971,0.05165
2022,Hesse,West,No,0.94274,1199,1246,0.92984,0.95565
2022,"Rhineland-Palatinate, Saarland",West,No,0.95444,870,870,0.94058,0.96831
2022,Baden-Wuerttemberg,West,Yes,0.04179,89,2279,0.03357,0.05001
2022,Baden-Wuerttemberg,West,No,0.94591,2190,2279,0.93662,0.95520
2022,Bavaria,West,Yes,0.02770,101,3122,0.02194,0.03345
2022,Bavaria,West,No,0.96275,3021,3122,0.95610,0.96939
2022,Berlin,West,No,0.95232,638,638,0.93577,0.96887
2022,Berlin,East,No,0.94703,472,472,0.92680,0.96726
2022,Brandenburg,East,No,0.96306,715,715,0.94923,0.97690
2022,Mecklenburg-Western Pomerania,East,No,0.97888,416,416,0.96505,0.99272
2022,Saxony,East,No,0.95738,1256,1256,0.94621,0.96856
2022,Saxony-Anhalt,East,No,0.97625,669,669,0.96471,0.98780
2022,Thuringa,East,No,0.97269,559,559,0.95916,0.98621
