year,bula_h,regtyp,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2019,Lower Saxony,Rural regions,No,1.00000,799,15420,0,0.93307,0,1.08382
2019,Bremen,Urban regions,No,1.00000,125,15420,0,0.79280,0,1.23212
2019,North Rhine-Westphalia,Urban regions,Yes,0.02301,81,15420,0,0.01774,0,0.02925
2019,North Rhine-Westphalia,Urban regions,No,0.97699,3046,15420,0,0.93937,0,1.01518
2019,North Rhine-Westphalia,Rural regions,No,1.00000,53,15420,0,0.75071,0,1.30595
2019,Hesse,Urban regions,No,1.00000,801,15420,0,0.92821,0,1.08274
2019,Hesse,Rural regions,No,1.00000,215,15420,0,0.82366,0,1.17139
2019,"Rhineland-Palatinate, Saarland",Urban regions,No,1.00000,662,15420,0,0.91353,0,1.07871
2019,"Rhineland-Palatinate, Saarland",Rural regions,No,1.00000,204,15420,0,0.85661,0,1.19669
2019,Baden-Wuerttemberg,Urban regions,Yes,0.02340,52,15420,0,0.01552,0,0.03233
2019,Baden-Wuerttemberg,Urban regions,No,0.97660,1440,15420,0,0.91501,0,1.03418
2019,Baden-Wuerttemberg,Rural regions,No,1.00000,153,15420,0,0.84221,0,1.18698
2019,Bavaria,Urban regions,Yes,0.01883,31,15420,0,0.00992,0,0.02897
2019,Bavaria,Urban regions,No,0.98117,1137,15420,0,0.91587,0,1.06199
2019,Bavaria,Rural regions,No,1.00000,1257,15420,0,0.92753,0,1.08614
2019,Berlin,Urban regions,No,1.00000,660,15420,0,0.90793,0,1.09460
2019,Brandenburg,Urban regions,No,1.00000,58,15420,0,0.78356,0,1.21017
2019,Brandenburg,Rural regions,No,1.00000,636,15420,0,0.90922,0,1.11049
2019,Mecklenburg-Western Pomerania,Urban regions,No,1.00000,67,15420,0,0.78880,0,1.22113
2019,Mecklenburg-Western Pomerania,Rural regions,No,1.00000,319,15420,0,0.87515,0,1.14674
2019,Saxony,Urban regions,No,1.00000,534,15420,0,0.89978,0,1.12033
2019,Saxony,Rural regions,No,1.00000,459,15420,0,0.90095,0,1.11077
2019,Saxony-Anhalt,Urban regions,No,1.00000,127,15420,0,0.83760,0,1.21362
2019,Saxony-Anhalt,Rural regions,No,1.00000,424,15420,0,0.86932,0,1.11824
2019,Thuringa,Urban regions,No,1.00000,187,15420,0,0.79121,0,1.21789
2019,Thuringa,Rural regions,No,1.00000,380,15420,0,0.89201,0,1.14325
2020,Schleswig-Holstein,Urban regions,No,1.00000,186,16066,0,0.84576,0,1.16773
2020,Schleswig-Holstein,Rural regions,No,1.00000,346,16066,0,0.88064,0,1.10902
2020,Hamburg,Urban regions,No,1.00000,354,16066,0,0.89675,0,1.12259
2020,Lower Saxony,Urban regions,No,1.00000,649,16066,0,0.90920,0,1.08369
