"plb0195_h","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Teils, teils","1985","AkademikerIn","54","0.126307499830761","0.0942693861258834","0.158345613535639"
"Bezahlt","1985","(noch) kein Abschluss","146","","",""
"Bezahlt","1985","Hauptschule","1039","","",""
"Bezahlt","1985","Realschule","157","","",""
"Bezahlt","1985","(Fach-)Abitur","73","0.223818649954304","0.169835268166788","0.27780203174182"
"Bezahlt","1985","AkademikerIn","51","0.108045540224258","0.0781058137408131","0.137985266707703"
"Nicht abgegolten","1985","(noch) kein Abschluss","14","","",""
"Nicht abgegolten","1985","Hauptschule","381","0.198006903371451","0.181027761377472","0.214986045365431"
"Nicht abgegolten","1985","Realschule","212","","",""
"Nicht abgegolten","1985","(Fach-)Abitur","64","0.320499497989695","0.260057485312529","0.38094151066686"
"Nicht abgegolten","1985","AkademikerIn","241","","",""
"Abgefeiert","1986","(noch) kein Abschluss","22","","",""
"Abgefeiert","1986","Hauptschule","507","0.282048867633451","0.262337095182861","0.301760640084041"
"Abgefeiert","1986","Realschule","280","","",""
"Abgefeiert","1986","(Fach-)Abitur","69","0.323900089854837","0.2644475263001","0.383352653409575"
"Abgefeiert","1986","AkademikerIn","77","0.213903268557609","0.171126552202313","0.256679984912905"
"Teils, teils","1986","(noch) kein Abschluss","13","","",""
"Teils, teils","1986","Hauptschule","225","","",""
"Teils, teils","1986","Realschule","92","0.132595075329989","0.107086403722589","0.158103746937389"
"Teils, teils","1986","(Fach-)Abitur","28","","",""
"Teils, teils","1986","AkademikerIn","35","0.0983707037368552","0.0673031087530992","0.129438298720611"
"Bezahlt","1986","(noch) kein Abschluss","149","","",""
"Bezahlt","1986","Hauptschule","1034","","",""
"Bezahlt","1986","Realschule","152","","",""
"Bezahlt","1986","(Fach-)Abitur","80","0.265960794091946","0.209826527695723","0.322095060488169"
"Bezahlt","1986","AkademikerIn","45","0.115772474365696","0.0823956194339563","0.149149329297435"
"Nicht abgegolten","1986","(noch) kein Abschluss","7","0.0592361307635656","0.0257577022582633","0.0927145592688679"
"Nicht abgegolten","1986","Hauptschule","236","","",""
"Nicht abgegolten","1986","Realschule","155","","",""
"Nicht abgegolten","1986","(Fach-)Abitur","61","0.285870181496648","0.228467441249367","0.343272921743928"
"Nicht abgegolten","1986","AkademikerIn","196","","",""
"Abgefeiert","1987","(noch) kein Abschluss","","","",""
"Abgefeiert","1987","Hauptschule","","","",""
"Abgefeiert","1987","Realschule","","","",""
"Abgefeiert","1987","(Fach-)Abitur","","","",""
"Abgefeiert","1987","AkademikerIn","","","",""
"Teils, teils","1987","(noch) kein Abschluss","","","",""
"Teils, teils","1987","Hauptschule","","","",""
"Teils, teils","1987","Realschule","","","",""
"Teils, teils","1987","(Fach-)Abitur","","","",""
"Teils, teils","1987","AkademikerIn","","","",""
"Bezahlt","1987","(noch) kein Abschluss","","","",""
"Bezahlt","1987","Hauptschule","","","",""
"Bezahlt","1987","Realschule","","","",""
"Bezahlt","1987","(Fach-)Abitur","","","",""
"Bezahlt","1987","AkademikerIn","","","",""
"Nicht abgegolten","1987","(noch) kein Abschluss","","","",""
"Nicht abgegolten","1987","Hauptschule","","","",""
"Nicht abgegolten","1987","Realschule","","","",""
"Nicht abgegolten","1987","(Fach-)Abitur","","","",""
"Nicht abgegolten","1987","AkademikerIn","","","",""
"Abgefeiert","1988","(noch) kein Abschluss","20","","",""
"Abgefeiert","1988","Hauptschule","523","0.309161079758758","0.288574878200954","0.329747281316562"
"Abgefeiert","1988","Realschule","299","","",""
"Abgefeiert","1988","(Fach-)Abitur","78","0.363304334160881","0.30356647512811","0.423042193193652"
"Abgefeiert","1988","AkademikerIn","78","0.200617762677596","0.159364742991555","0.241870782363636"
"Teils, teils","1988","(noch) kein Abschluss","12","","",""
"Teils, teils","1988","Hauptschule","238","","",""
"Teils, teils","1988","Realschule","86","0.120521152599933","0.0960329143821492","0.145009390817718"
"Teils, teils","1988","(Fach-)Abitur","37","0.149626378247891","0.105320904019944","0.193931852475838"
"Teils, teils","1988","AkademikerIn","43","0.114692941926038","0.0818676108228381","0.147518273029237"
"Bezahlt","1988","(noch) kein Abschluss","145","","",""
"Bezahlt","1988","Hauptschule","978","0.451803679483243","0.429635075034731","0.473972283931756"
"Bezahlt","1988","Realschule","161","","",""
"Bezahlt","1988","(Fach-)Abitur","83","0.239626929663205","0.186608166432269","0.29264569289414"
"Bezahlt","1988","AkademikerIn","39","0.0989978896808921","0.0682319858407992","0.129763793520985"
"Nicht abgegolten","1988","(noch) kein Abschluss","4","0.0199936290997099","-0.000398805056911283","0.0403860632563311"
"Nicht abgegolten","1988","Hauptschule","197","","",""
"Nicht abgegolten","1988","Realschule","133","","",""
"Nicht abgegolten","1988","(Fach-)Abitur","51","0.247442357928023","0.193843525989744","0.301041189866303"
"Nicht abgegolten","1988","AkademikerIn","202","","",""
"Abgefeiert","1989","(noch) kein Abschluss","27","","",""
"Abgefeiert","1989","Hauptschule","515","0.291939614882773","0.272205341421515","0.311673888344031"
"Abgefeiert","1989","Realschule","318","0.421790255977455","0.386328443490497","0.457252068464414"
"Abgefeiert","1989","(Fach-)Abitur","92","0.367097288498886","0.308394696821034","0.425799880176737"
"Abgefeiert","1989","AkademikerIn","75","0.204574342625464","0.162671018913128","0.2464776663378"
"Teils, teils","1989","(noch) kein Abschluss","23","","",""
"Teils, teils","1989","Hauptschule","288","","",""
"Teils, teils","1989","Realschule","111","","",""
"Teils, teils","1989","(Fach-)Abitur","40","0.182111041759634","0.135109346658512","0.229112736860757"
"Teils, teils","1989","AkademikerIn","55","0.156846201200005","0.119070416470526","0.194621985929484"
"Bezahlt","1989","(noch) kein Abschluss","139","","",""
"Bezahlt","1989","Hauptschule","1055","","",""
"Bezahlt","1989","Realschule","166","","",""
"Bezahlt","1989","(Fach-)Abitur","83","0.258785977714515","0.205447527531572","0.312124427897458"
"Bezahlt","1989","AkademikerIn","39","0.0963679897994352","0.0657141209173668","0.127021858681504"
"Nicht abgegolten","1989","(noch) kein Abschluss","5","0.0276849048401197","0.00459765207706123","0.0507721576031782"
"Nicht abgegolten","1989","Hauptschule","181","","",""
"Nicht abgegolten","1989","Realschule","150","","",""
"Nicht abgegolten","1989","(Fach-)Abitur","44","0.192005692026965","0.144036830475369","0.239974553578561"
"Nicht abgegolten","1989","AkademikerIn","187","","",""
"Abgefeiert","1990","(noch) kein Abschluss","24","","",""
"Abgefeiert","1990","Hauptschule","774","0.310495178195502","0.293295442352405","0.327694914038599"
"Abgefeiert","1990","Realschule","680","0.411594140772952","0.388484292086552","0.434703989459351"
"Abgefeiert","1990","(Fach-)Abitur","106","","",""
"Abgefeiert","1990","AkademikerIn","370","0.320135505930504","0.29184973316288","0.348421278698129"
"Teils, teils","1990","(noch) kein Abschluss","28","","",""
"Teils, teils","1990","Hauptschule","382","0.133306405979242","0.120671151412483","0.145941660546"
"Teils, teils","1990","Realschule","295","","",""
"Teils, teils","1990","(Fach-)Abitur","57","0.210756199246914","0.166140126103512","0.255372272390317"
"Teils, teils","1990","AkademikerIn","154","","",""
"Bezahlt","1990","(noch) kein Abschluss","125","","",""
"Bezahlt","1990","Hauptschule","1451","","",""
"Bezahlt","1990","Realschule","591","0.297588113260507","0.276118326458088","0.319057900062926"
"Bezahlt","1990","(Fach-)Abitur","111","","",""
"Bezahlt","1990","AkademikerIn","166","","",""
"Nicht abgegolten","1990","(noch) kein Abschluss","1","","",""
"Nicht abgegolten","1990","Hauptschule","173","","",""
"Nicht abgegolten","1990","Realschule","176","","",""
"Nicht abgegolten","1990","(Fach-)Abitur","47","0.176769895302219","0.135038745671","0.218501044933438"
"Nicht abgegolten","1990","AkademikerIn","355","0.405261053238175","0.375495046899962","0.435027059576388"
"Abgefeiert","1991","(noch) kein Abschluss","32","0.175494623180981","0.124883394854703","0.22610585150726"
"Abgefeiert","1991","Hauptschule","758","0.31061889158328","0.292668815016721","0.32856896814984"
"Abgefeiert","1991","Realschule","715","0.430926416481143","0.406508684664931","0.455344148297355"
"Abgefeiert","1991","(Fach-)Abitur","128","","",""
"Abgefeiert","1991","AkademikerIn","351","0.333622590997269","0.303686885413525","0.363558296581013"
"Teils, teils","1991","(noch) kein Abschluss","23","","",""
"Teils, teils","1991","Hauptschule","380","0.152810786191023","0.138853856279341","0.166767716102705"
"Teils, teils","1991","Realschule","234","","",""
"Teils, teils","1991","(Fach-)Abitur","48","0.131070107984745","0.0948775686525325","0.167262647316958"
"Teils, teils","1991","AkademikerIn","121","","",""
"Bezahlt","1991","(noch) kein Abschluss","153","","",""
"Bezahlt","1991","Hauptschule","1238","","",""
"Bezahlt","1991","Realschule","453","0.28278655134224","0.260580408167629","0.304992694516852"
"Bezahlt","1991","(Fach-)Abitur","102","","",""
"Bezahlt","1991","AkademikerIn","115","","",""
"Nicht abgegolten","1991","(noch) kein Abschluss","9","0.0360628254623504","0.011255927302981","0.0608697236217198"
"Nicht abgegolten","1991","Hauptschule","177","","",""
"Nicht abgegolten","1991","Realschule","178","","",""
"Nicht abgegolten","1991","(Fach-)Abitur","56","0.199510753620619","0.156652372432294","0.242369134808944"
"Nicht abgegolten","1991","AkademikerIn","366","0.410112002905371","0.378884471022642","0.441339534788099"
"Abgefeiert","1992","(noch) kein Abschluss","26","","",""
"Abgefeiert","1992","Hauptschule","690","0.316527205012921","0.297701866028201","0.335352543997641"
"Abgefeiert","1992","Realschule","638","0.416557480476054","0.391855095680725","0.441259865271382"
"Abgefeiert","1992","(Fach-)Abitur","139","","",""
"Abgefeiert","1992","AkademikerIn","315","0.333284470122803","0.302245374811024","0.364323565434583"
"Teils, teils","1992","(noch) kein Abschluss","24","","",""
"Teils, teils","1992","Hauptschule","384","0.16531236562899","0.150277784682982","0.180346946574998"
"Teils, teils","1992","Realschule","292","","",""
"Teils, teils","1992","(Fach-)Abitur","50","0.16398683866183","0.124972783316438","0.203000894007222"
"Teils, teils","1992","AkademikerIn","126","","",""
"Bezahlt","1992","(noch) kein Abschluss","133","","",""
"Bezahlt","1992","Hauptschule","1100","","",""
"Bezahlt","1992","Realschule","432","0.274046083224601","0.251696537420443","0.296395629028758"
"Bezahlt","1992","(Fach-)Abitur","92","0.237568567449601","0.192724507205909","0.282412627693292"
"Bezahlt","1992","AkademikerIn","83","0.0872800124984593","0.0686952330928","0.105864791904119"
"Nicht abgegolten","1992","(noch) kein Abschluss","3","","",""
"Nicht abgegolten","1992","Hauptschule","171","","",""
"Nicht abgegolten","1992","Realschule","168","","",""
"Nicht abgegolten","1992","(Fach-)Abitur","65","0.209144011154346","0.166290988347711","0.251997033960982"
"Nicht abgegolten","1992","AkademikerIn","362","0.422536514064503","0.390010891599333","0.455062136529673"
"Abgefeiert","1993","(noch) kein Abschluss","29","","",""
"Abgefeiert","1993","Hauptschule","632","0.309467376230515","0.289976999007232","0.328957753453798"
"Abgefeiert","1993","Realschule","643","0.408697324920953","0.384287189780347","0.433107460061559"
"Abgefeiert","1993","(Fach-)Abitur","145","","",""
"Abgefeiert","1993","AkademikerIn","309","0.312577054576635","0.282492663106376","0.342661446046894"
"Teils, teils","1993","(noch) kein Abschluss","36","0.197708208516168","0.13936368460435","0.256052732427987"
"Teils, teils","1993","Hauptschule","363","0.162429657403541","0.14687845344649","0.177980861360592"
"Teils, teils","1993","Realschule","280","","",""
"Teils, teils","1993","(Fach-)Abitur","59","0.172898231232842","0.133166890638605","0.212629571827079"
"Teils, teils","1993","AkademikerIn","145","","",""
"Bezahlt","1993","(noch) kein Abschluss","109","","",""
"Bezahlt","1993","Hauptschule","989","0.433545654339674","0.412651702816687","0.45443960586266"
"Bezahlt","1993","Realschule","446","0.272240344131851","0.250138190413782","0.294342497849921"
"Bezahlt","1993","(Fach-)Abitur","80","0.203023752030553","0.160761310486726","0.245286193574381"
"Bezahlt","1993","AkademikerIn","95","0.109101620432424","0.0888676851371658","0.129335555727683"
"Nicht abgegolten","1993","(noch) kein Abschluss","5","0.0198784480640481","-0.000569643573871643","0.0403265397019678"
"Nicht abgegolten","1993","Hauptschule","177","","",""
"Nicht abgegolten","1993","Realschule","189","","",""
"Nicht abgegolten","1993","(Fach-)Abitur","64","0.203339081817037","0.161052200741192","0.245625962892883"
"Nicht abgegolten","1993","AkademikerIn","363","0.423109183246663","0.391044739482435","0.455173627010892"
"Abgefeiert","1994","(noch) kein Abschluss","31","0.201998410623553","0.137532397666591","0.266464423580514"
"Abgefeiert","1994","Hauptschule","688","0.34620155614344","0.325701535669701","0.366701576617179"
"Abgefeiert","1994","Realschule","671","0.433507025773961","0.4090019904598","0.458012061088122"
"Abgefeiert","1994","(Fach-)Abitur","160","","",""
"Abgefeiert","1994","AkademikerIn","316","0.311311458780387","0.281472325353532","0.341150592207241"
"Teils, teils","1994","(noch) kein Abschluss","17","","",""
"Teils, teils","1994","Hauptschule","357","0.171243266516666","0.155010664817919","0.187475868215413"
"Teils, teils","1994","Realschule","307","0.190220346008812","0.170812742436321","0.209627949581304"
"Teils, teils","1994","(Fach-)Abitur","59","0.15466386662847","0.116836711453775","0.192491021803165"
"Teils, teils","1994","AkademikerIn","145","","",""
"Bezahlt","1994","(noch) kein Abschluss","94","0.632299034211741","0.554877174098586","0.709720894324896"
"Bezahlt","1994","Hauptschule","865","0.39735062071755","0.37626496309654","0.418436278338561"
"Bezahlt","1994","Realschule","404","0.246474562157375","0.225163994938165","0.267785129376585"
"Bezahlt","1994","(Fach-)Abitur","79","0.212460955267238","0.169668210350431","0.255253700184046"
"Bezahlt","1994","AkademikerIn","84","0.0949368260611901","0.0760467361122049","0.113826916010175"
"Nicht abgegolten","1994","(noch) kein Abschluss","7","0.0411502314987017","0.00925568862309002","0.0730447743743134"
"Nicht abgegolten","1994","Hauptschule","159","","",""
"Nicht abgegolten","1994","Realschule","189","","",""
"Nicht abgegolten","1994","(Fach-)Abitur","53","0.179063034260523","0.138953057678879","0.219173010842166"
"Nicht abgegolten","1994","AkademikerIn","380","0.43702427543902","0.405059265806595","0.468989285071445"
"Abgefeiert","1995","(noch) kein Abschluss","33","0.222431591016209","0.155655268992356","0.289207913040061"
"Abgefeiert","1995","Hauptschule","679","0.342468103461145","0.322320432804524","0.362615774117767"
"Abgefeiert","1995","Realschule","723","0.435804333904039","0.412043549931008","0.45956511787707"
"Abgefeiert","1995","(Fach-)Abitur","189","","",""
"Abgefeiert","1995","AkademikerIn","358","0.32765296396316","0.298562416874767","0.356743511051553"
"Teils, teils","1995","(noch) kein Abschluss","22","","",""
"Teils, teils","1995","Hauptschule","360","0.171899546343065","0.15588055219545","0.18791854049068"
"Teils, teils","1995","Realschule","341","0.1952414913753","0.176247380565472","0.214235602185128"
"Teils, teils","1995","(Fach-)Abitur","79","0.181069841136382","0.144329908266843","0.217809774005921"
"Teils, teils","1995","AkademikerIn","163","","",""
"Bezahlt","1995","(noch) kein Abschluss","89","0.617423294789446","0.539385367906042","0.695461221672851"
"Bezahlt","1995","Hauptschule","924","0.402659285119224","0.381836621472291","0.423481948766158"
"Bezahlt","1995","Realschule","425","0.239646616251167","0.219191897487913","0.260101335014422"
"Bezahlt","1995","(Fach-)Abitur","94","0.199711581274429","0.161568413625398","0.23785474892346"
"Bezahlt","1995","AkademikerIn","90","0.0903399748018592","0.0725724214319326","0.108107528171786"
"Nicht abgegolten","1995","(noch) kein Abschluss","5","0.0394173396558404","0.00817338613557242","0.0706612931761084"
"Nicht abgegolten","1995","Hauptschule","168","","",""
"Nicht abgegolten","1995","Realschule","184","","",""
"Nicht abgegolten","1995","(Fach-)Abitur","60","0.167511851318708","0.131882848744416","0.203140853893"
"Nicht abgegolten","1995","AkademikerIn","389","0.425547417596409","0.394903155809321","0.456191679383497"
"Abgefeiert","1996","(noch) kein Abschluss","49","0.365735505653389","0.287069770223631","0.444401241083148"
"Abgefeiert","1996","Hauptschule","739","0.390401450955888","0.368999887735118","0.411803014176657"
"Abgefeiert","1996","Realschule","773","0.478816739486339","0.454734794720097","0.502898684252582"
"Abgefeiert","1996","(Fach-)Abitur","198","","",""
"Abgefeiert","1996","AkademikerIn","384","0.35685651269299","0.326953813972584","0.386759211413395"
"Teils, teils","1996","(noch) kein Abschluss","18","","",""
"Teils, teils","1996","Hauptschule","331","0.164527249150066","0.148262293414454","0.180792204885678"
"Teils, teils","1996","Realschule","309","0.180375114521258","0.16183947639182","0.198910752650697"
"Teils, teils","1996","(Fach-)Abitur","66","0.187621136744227","0.150460311342649","0.224781962145805"
"Teils, teils","1996","AkademikerIn","138","","",""
"Bezahlt","1996","(noch) kein Abschluss","73","0.519776079336003","0.438174815715906","0.601377342956101"
"Bezahlt","1996","Hauptschule","796","0.377671975905043","0.356403572857306","0.39894037895278"
"Bezahlt","1996","Realschule","374","0.205736368119551","0.18624916385881","0.225223572380292"
"Bezahlt","1996","(Fach-)Abitur","95","0.201270073753059","0.163105998469444","0.239434149036674"
"Bezahlt","1996","AkademikerIn","84","0.0809434180210186","0.0639190292572105","0.0979678067848266"
"Nicht abgegolten","1996","(noch) kein Abschluss","4","0.0112424136471328","-0.0059779191199061","0.0284627464141718"
"Nicht abgegolten","1996","Hauptschule","130","","",""
"Nicht abgegolten","1996","Realschule","197","","",""
"Nicht abgegolten","1996","(Fach-)Abitur","65","0.160585984490452","0.125639210594672","0.195532758386233"
"Nicht abgegolten","1996","AkademikerIn","380","0.41331176399595","0.382575420084071","0.444048107907829"
"Abgefeiert","1997","(noch) kein Abschluss","46","0.505224220135005","0.406236493507068","0.604211946762943"
"Abgefeiert","1997","Hauptschule","631","0.422077332762503","0.397884690469195","0.446269975055811"
"Abgefeiert","1997","Realschule","664","0.458776145747977","0.433119328697912","0.484432962798042"
"Abgefeiert","1997","(Fach-)Abitur","191","","",""
"Abgefeiert","1997","AkademikerIn","354","0.365938829015603","0.334863404746311","0.397014253284895"
"Teils, teils","1997","(noch) kein Abschluss","13","","",""
"Teils, teils","1997","Hauptschule","351","0.2089841262835","0.189068146608953","0.228900105958046"
"Teils, teils","1997","Realschule","355","0.228902700744447","0.207270836552992","0.250534564935901"
"Teils, teils","1997","(Fach-)Abitur","84","0.218074401341201","0.177144115987676","0.259004686694726"
"Teils, teils","1997","AkademikerIn","154","","",""
"Bezahlt","1997","(noch) kein Abschluss","34","0.349058986377506","0.254684351871039","0.443433620883973"
"Bezahlt","1997","Hauptschule","470","0.268672848772883","0.246959832200593","0.290385865345172"
"Bezahlt","1997","Realschule","235","","",""
"Bezahlt","1997","(Fach-)Abitur","62","0.132373794293728","0.0987824757363483","0.165965112851107"
"Bezahlt","1997","AkademikerIn","47","0.0409344001562795","0.0281519057080042","0.0537168946045548"
"Nicht abgegolten","1997","(noch) kein Abschluss","5","0.0816159928377368","0.0274115551624973","0.135820430512976"
"Nicht abgegolten","1997","Hauptschule","149","","",""
"Nicht abgegolten","1997","Realschule","195","","",""
"Nicht abgegolten","1997","(Fach-)Abitur","54","0.16108232688494","0.124645266582447","0.197519387187433"
"Nicht abgegolten","1997","AkademikerIn","368","0.417320507857046","0.385508068585565","0.449132947128528"
"Abgefeiert","1998","(noch) kein Abschluss","38","0.4038669597532","0.300762079130656","0.506971840375743"
"Abgefeiert","1998","Hauptschule","691","0.446536814791537","0.422686565278443","0.470387064304631"
"Abgefeiert","1998","Realschule","767","0.480679697561299","0.456090631155218","0.505268763967379"
"Abgefeiert","1998","(Fach-)Abitur","221","","",""
"Abgefeiert","1998","AkademikerIn","391","0.358414310870589","0.328825840574589","0.388002781166588"
"Teils, teils","1998","(noch) kein Abschluss","14","","",""
"Teils, teils","1998","Hauptschule","379","0.202156339179656","0.182888966214107","0.221423712145205"
"Teils, teils","1998","Realschule","375","0.236288685423076","0.21538212562282","0.257195245223331"
"Teils, teils","1998","(Fach-)Abitur","100","","",""
"Teils, teils","1998","AkademikerIn","171","","",""
"Bezahlt","1998","(noch) kein Abschluss","27","","",""
"Bezahlt","1998","Hauptschule","442","0.249335134955446","0.228579562891999","0.270090707018892"
"Bezahlt","1998","Realschule","237","","",""
"Bezahlt","1998","(Fach-)Abitur","54","0.0984497754436885","0.0708930728953491","0.126006477992028"
"Bezahlt","1998","AkademikerIn","65","0.0696864629059427","0.0539759129186289","0.0853970128932565"
"Nicht abgegolten","1998","(noch) kein Abschluss","8","0.113262471736084","0.0466694032717101","0.179855540200458"
"Nicht abgegolten","1998","Hauptschule","157","","",""
"Nicht abgegolten","1998","Realschule","207","","",""
"Nicht abgegolten","1998","(Fach-)Abitur","74","0.179238366104879","0.143761199101004","0.214715533108753"
"Nicht abgegolten","1998","AkademikerIn","382","0.389083320357193","0.359000759362271","0.419165881352116"
"Abgefeiert","1999","(noch) kein Abschluss","37","0.488540981040187","0.3863976308654","0.590684331214973"
"Abgefeiert","1999","Hauptschule","679","0.44841019485528","0.424303644527801","0.47251674518276"
"Abgefeiert","1999","Realschule","789","0.484266965614954","0.459946182015809","0.508587749214098"
"Abgefeiert","1999","(Fach-)Abitur","234","","",""
"Abgefeiert","1999","AkademikerIn","398","0.376728830038289","0.346903719546103","0.406553940530475"
"Teils, teils","1999","(noch) kein Abschluss","11","","",""
"Teils, teils","1999","Hauptschule","365","0.209569203009464","0.189841120759063","0.229297285259864"
"Teils, teils","1999","Realschule","390","0.237932266941945","0.21720957723917","0.258654956644719"
"Teils, teils","1999","(Fach-)Abitur","95","0.197867226685104","0.161578840111157","0.234155613259052"
"Teils, teils","1999","AkademikerIn","186","","",""
"Bezahlt","1999","(noch) kein Abschluss","39","0.381235185697041","0.281989080916273","0.480481290477808"
"Bezahlt","1999","Hauptschule","438","0.238256848206781","0.217607032123468","0.258906664290095"
"Bezahlt","1999","Realschule","217","","",""
"Bezahlt","1999","(Fach-)Abitur","62","0.113289805559755","0.0844199997936173","0.142159611325893"
"Bezahlt","1999","AkademikerIn","60","0.0512714378836318","0.0376965000356745","0.0648463757315891"
"Nicht abgegolten","1999","(noch) kein Abschluss","5","0.0420771058876614","0.00105269207481207","0.0831015197005108"
"Nicht abgegolten","1999","Hauptschule","153","","",""
"Nicht abgegolten","1999","Realschule","226","","",""
"Nicht abgegolten","1999","(Fach-)Abitur","72","0.16354599826679","0.129856186215319","0.197235810318261"
"Nicht abgegolten","1999","AkademikerIn","370","0.379308744431352","0.349443686985647","0.409173801877057"
"Abgefeiert","2000","(noch) kein Abschluss","30","0.382151092912188","0.272906490292502","0.491395695531875"
"Abgefeiert","2000","Hauptschule","1228","","",""
"Abgefeiert","2000","Realschule","1446","","",""
"Abgefeiert","2000","(Fach-)Abitur","434","0.528293900691034","0.494910924449998","0.561676876932071"
"Abgefeiert","2000","AkademikerIn","748","0.395209583838331","0.372889202636139","0.417529965040523"
"Teils, teils","2000","(noch) kein Abschluss","12","","",""
"Teils, teils","2000","Hauptschule","583","0.217897648743802","0.202274204854629","0.233521092632975"
"Teils, teils","2000","Realschule","657","0.236451539463616","0.22069914564747","0.252203933279762"
"Teils, teils","2000","(Fach-)Abitur","154","","",""
"Teils, teils","2000","AkademikerIn","292","","",""
"Bezahlt","2000","(noch) kein Abschluss","28","","",""
"Bezahlt","2000","Hauptschule","653","0.23518945410525","0.219138362985584","0.251240545224916"
"Bezahlt","2000","Realschule","371","0.128743572992294","0.116327251154152","0.141159894830435"
"Bezahlt","2000","(Fach-)Abitur","114","","",""
"Bezahlt","2000","AkademikerIn","136","","",""
"Nicht abgegolten","2000","(noch) kein Abschluss","6","0.0871083681870163","0.0237095960332289","0.150507140340804"
"Nicht abgegolten","2000","Hauptschule","218","","",""
"Nicht abgegolten","2000","Realschule","321","0.112113827000309","0.100417071279833","0.123810582720785"
"Nicht abgegolten","2000","(Fach-)Abitur","157","","",""
"Nicht abgegolten","2000","AkademikerIn","667","0.368115551244888","0.346096614725408","0.390134487764369"
"Abgefeiert","2001","(noch) kein Abschluss","21","","",""
"Abgefeiert","2001","Hauptschule","1011","","",""
"Abgefeiert","2001","Realschule","1378","","",""
"Abgefeiert","2001","(Fach-)Abitur","389","0.477864927356871","0.444045200683511","0.511684654030231"
"Abgefeiert","2001","AkademikerIn","706","0.386277117968832","0.363549308288596","0.409004927649068"
"Teils, teils","2001","(noch) kein Abschluss","10","","",""
"Teils, teils","2001","Hauptschule","586","0.2410439639582","0.223899861916953","0.258188065999446"
"Teils, teils","2001","Realschule","582","0.209946781907696","0.194414091909504","0.225479471905889"
"Teils, teils","2001","(Fach-)Abitur","188","","",""
"Teils, teils","2001","AkademikerIn","334","0.197829294535826","0.179234103903831","0.216424485167822"
"Bezahlt","2001","(noch) kein Abschluss","31","0.402356720727931","0.281267783839234","0.523445657616629"
"Bezahlt","2001","Hauptschule","594","0.243925374814017","0.22671187715231","0.261138872475725"
"Bezahlt","2001","Realschule","372","0.14307441861498","0.129720262800032","0.156428574429927"
"Bezahlt","2001","(Fach-)Abitur","117","","",""
"Bezahlt","2001","AkademikerIn","113","","",""
"Nicht abgegolten","2001","(noch) kein Abschluss","1","","",""
"Nicht abgegolten","2001","Hauptschule","200","","",""
"Nicht abgegolten","2001","Realschule","309","0.119438727996603","0.107070249862799","0.131807206130407"
"Nicht abgegolten","2001","(Fach-)Abitur","144","","",""
"Nicht abgegolten","2001","AkademikerIn","610","0.348849431807761","0.326601909199623","0.371096954415899"
"Abgefeiert","2002","(noch) kein Abschluss","21","","",""
"Abgefeiert","2002","Hauptschule","924","0.461893691959461","0.440540401406723","0.483246982512198"
"Abgefeiert","2002","Realschule","1386","","",""
"Abgefeiert","2002","(Fach-)Abitur","455","0.523254892483301","0.490587859276493","0.555921925690108"
"Abgefeiert","2002","AkademikerIn","815","0.399833453164743","0.379442351004878","0.420224555324608"
