,Unnamed: 0,year,age_gr,bula_h,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
27,27,1984,30-45 y.,Baden-Wuerttemberg,Comp. time,0.23165,55,3521,0.21028,0.25113
28,28,1984,30-45 y.,Baden-Wuerttemberg,Paid,0.4294,168,3521,0.38026,0.46812
29,29,1984,30-45 y.,Baden-Wuerttemberg,Not compensated,0.33895,83,3521,0.31595,0.36346
30,30,1984,30-45 y.,Bavaria,Comp. time,0.32331,99,3521,0.30026,0.3472
31,31,1984,30-45 y.,Bavaria,Some of both,0.11111,33,3521,0.09945,0.12269
32,32,1984,30-45 y.,Bavaria,Paid,0.28934,118,3521,0.25107,0.32631
33,33,1984,30-45 y.,Bavaria,Not compensated,0.27624,76,3521,0.25922,0.29311
34,34,1984,30-45 y.,Berlin,Paid,1.0,31,3521,0.78202,1.18244
35,35,1984,46-65 y.,Lower Saxony,Comp. time,0.30397,33,3521,0.28854,0.32125
36,36,1984,46-65 y.,Lower Saxony,Paid,0.38988,52,3521,0.34164,0.43497
37,37,1984,46-65 y.,Lower Saxony,Not compensated,0.30615,36,3521,0.28381,0.32528
38,38,1984,46-65 y.,North Rhine-Westphalia,Comp. time,0.19979,56,3521,0.17733,0.22321
39,39,1984,46-65 y.,North Rhine-Westphalia,Some of both,0.10515,31,3521,0.09105,0.11556
40,40,1984,46-65 y.,North Rhine-Westphalia,Paid,0.36467,148,3521,0.32257,0.40901
41,41,1984,46-65 y.,North Rhine-Westphalia,Not compensated,0.33039,88,3521,0.30566,0.349
42,42,1984,46-65 y.,Hesse,Comp. time,0.3124,37,3521,0.27768,0.34769
43,43,1984,46-65 y.,Hesse,Paid,0.37253,60,3521,0.31394,0.4327
44,44,1984,46-65 y.,Hesse,Not compensated,0.31507,38,3521,0.2762,0.34832
45,45,1984,46-65 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,38,3521,0.85454,1.12271
46,46,1984,46-65 y.,Baden-Wuerttemberg,Comp. time,0.25337,41,3521,0.2329,0.27149
47,47,1984,46-65 y.,Baden-Wuerttemberg,Paid,0.40986,109,3521,0.3478,0.46106
48,48,1984,46-65 y.,Baden-Wuerttemberg,Not compensated,0.33676,58,3521,0.31514,0.35558
49,49,1984,46-65 y.,Bavaria,Comp. time,0.29161,54,3521,0.272,0.30977
50,50,1984,46-65 y.,Bavaria,Paid,0.30675,78,3521,0.26696,0.34383
51,51,1984,46-65 y.,Bavaria,Not compensated,0.40165,72,3521,0.37882,0.42043
52,52,1985,17-29 y.,Lower Saxony,Comp. time,1.0,37,2770,0.87603,1.10011
53,53,1985,17-29 y.,North Rhine-Westphalia,Comp. time,0.36746,89,2770,0.33954,0.39436
54,54,1985,17-29 y.,North Rhine-Westphalia,Some of both,0.1213,33,2770,0.09958,0.14245
55,55,1985,17-29 y.,North Rhine-Westphalia,Paid,0.33934,119,2770,0.29712,0.37299
56,56,1985,17-29 y.,North Rhine-Westphalia,Not compensated,0.1719,44,2770,0.14951,0.19032
57,57,1985,17-29 y.,Hesse,Paid,1.0,42,2770,0.78756,1.25164
58,58,1985,17-29 y.,Baden-Wuerttemberg,Comp. time,0.31986,50,2770,0.27439,0.3697
59,59,1985,17-29 y.,Baden-Wuerttemberg,Some of both,0.20382,35,2770,0.17203,0.23938
60,60,1985,17-29 y.,Baden-Wuerttemberg,Paid,0.47633,99,2770,0.4049,0.5472
61,61,1985,17-29 y.,Bavaria,Comp. time,0.39736,67,2770,0.35565,0.43345
62,62,1985,17-29 y.,Bavaria,Paid,0.35981,67,2770,0.32426,0.39794
63,63,1985,17-29 y.,Bavaria,Not compensated,0.24282,43,2770,0.21237,0.2696
64,64,1985,30-45 y.,Schleswig-Holstein,Paid,1.0,35,2770,0.838,1.1433
65,65,1985,30-45 y.,Lower Saxony,Comp. time,0.32819,47,2770,0.30367,0.3462
66,66,1985,30-45 y.,Lower Saxony,Paid,0.33883,53,2770,0.29557,0.37294
67,67,1985,30-45 y.,Lower Saxony,Not compensated,0.33299,46,2770,0.30965,0.35794
68,68,1985,30-45 y.,North Rhine-Westphalia,Comp. time,0.19449,71,2770,0.18195,0.20732
69,69,1985,30-45 y.,North Rhine-Westphalia,Some of both,0.10906,43,2770,0.096,0.12217
70,70,1985,30-45 y.,North Rhine-Westphalia,Paid,0.41798,202,2770,0.38151,0.4525
71,71,1985,30-45 y.,North Rhine-Westphalia,Not compensated,0.27848,105,2770,0.26262,0.29628
72,72,1985,30-45 y.,Hesse,Comp. time,0.3126,37,2770,0.27354,0.36098
73,73,1985,30-45 y.,Hesse,Paid,0.34633,66,2770,0.26921,0.41756
74,74,1985,30-45 y.,Hesse,Not compensated,0.34107,40,2770,0.31205,0.36985
75,75,1985,30-45 y.,Baden-Wuerttemberg,Comp. time,0.20313,40,2770,0.17755,0.2267
76,76,1985,30-45 y.,Baden-Wuerttemberg,Paid,0.43656,122,2770,0.3904,0.48929
77,77,1985,30-45 y.,Baden-Wuerttemberg,Not compensated,0.36031,68,2770,0.32754,0.39113
78,78,1985,30-45 y.,Bavaria,Comp. time,0.37145,84,2770,0.34825,0.40013
79,79,1985,30-45 y.,Bavaria,Paid,0.29664,95,2770,0.26003,0.33087
80,80,1985,30-45 y.,Bavaria,Not compensated,0.33191,73,2770,0.30896,0.35285
81,81,1985,46-65 y.,Lower Saxony,Paid,0.53953,43,2770,0.49011,0.58503
82,82,1985,46-65 y.,Lower Saxony,Not compensated,0.46047,35,2770,0.42125,0.49977
83,83,1985,46-65 y.,North Rhine-Westphalia,Comp. time,0.2534,55,2770,0.22437,0.27547
84,84,1985,46-65 y.,North Rhine-Westphalia,Paid,0.32121,110,2770,0.28143,0.36417
85,85,1985,46-65 y.,North Rhine-Westphalia,Not compensated,0.42539,91,2770,0.40582,0.4448
86,86,1985,46-65 y.,Hesse,Comp. time,0.34723,31,2770,0.31508,0.37983
87,87,1985,46-65 y.,Hesse,Paid,0.27992,37,2770,0.22305,0.33654
88,88,1985,46-65 y.,Hesse,Not compensated,0.37286,38,2770,0.3289,0.41138
89,89,1985,46-65 y.,Baden-Wuerttemberg,Comp. time,0.24144,42,2770,0.21151,0.26844
90,90,1985,46-65 y.,Baden-Wuerttemberg,Paid,0.37922,96,2770,0.32685,0.43955
91,91,1985,46-65 y.,Baden-Wuerttemberg,Not compensated,0.37934,66,2770,0.3495,0.40893
92,92,1985,46-65 y.,Bavaria,Comp. time,0.22853,41,2770,0.19415,0.25706
93,93,1985,46-65 y.,Bavaria,Paid,0.32432,64,2770,0.27179,0.36742
94,94,1985,46-65 y.,Bavaria,Not compensated,0.44715,69,2770,0.41863,0.48202
95,95,1986,17-29 y.,Lower Saxony,Comp. time,0.57161,46,2610,0.50626,0.63107
96,96,1986,17-29 y.,Lower Saxony,Paid,0.42839,43,2610,0.36024,0.51266
97,97,1986,17-29 y.,North Rhine-Westphalia,Comp. time,0.33141,71,2610,0.2989,0.36526
98,98,1986,17-29 y.,North Rhine-Westphalia,Some of both,0.12289,31,2610,0.10396,0.14205
99,99,1986,17-29 y.,North Rhine-Westphalia,Paid,0.39462,114,2610,0.33813,0.454
100,100,1986,17-29 y.,North Rhine-Westphalia,Not compensated,0.15108,36,2610,0.13033,0.17213
101,101,1986,17-29 y.,Hesse,Paid,1.0,49,2610,0.81025,1.24906
102,102,1986,17-29 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,35,2610,0.8759,1.11333
103,103,1986,17-29 y.,Baden-Wuerttemberg,Comp. time,0.32382,54,2610,0.27077,0.38258
104,104,1986,17-29 y.,Baden-Wuerttemberg,Paid,0.49187,108,2610,0.42178,0.56476
105,105,1986,17-29 y.,Baden-Wuerttemberg,Not compensated,0.18431,31,2610,0.14716,0.22417
106,106,1986,17-29 y.,Bavaria,Comp. time,0.53813,75,2610,0.46833,0.60021
107,107,1986,17-29 y.,Bavaria,Paid,0.46187,59,2610,0.4014,0.51088
108,108,1986,30-45 y.,Lower Saxony,Comp. time,0.38656,53,2610,0.34674,0.42452
109,109,1986,30-45 y.,Lower Saxony,Paid,0.38009,50,2610,0.33793,0.41639
110,110,1986,30-45 y.,Lower Saxony,Not compensated,0.23336,32,2610,0.20846,0.25887
111,111,1986,30-45 y.,North Rhine-Westphalia,Comp. time,0.2588,87,2610,0.24047,0.27888
112,112,1986,30-45 y.,North Rhine-Westphalia,Some of both,0.09723,34,2610,0.0837,0.1167
113,113,1986,30-45 y.,North Rhine-Westphalia,Paid,0.40395,179,2610,0.36732,0.44051
114,114,1986,30-45 y.,North Rhine-Westphalia,Not compensated,0.24001,77,2610,0.21663,0.25945
115,115,1986,30-45 y.,Hesse,Comp. time,0.5491,45,2610,0.47033,0.62625
116,116,1986,30-45 y.,Hesse,Paid,0.4509,55,2610,0.33453,0.54528
117,117,1986,30-45 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,33,2610,0.88143,1.1022
118,118,1986,30-45 y.,Baden-Wuerttemberg,Comp. time,0.26184,51,2610,0.21181,0.30229
119,119,1986,30-45 y.,Baden-Wuerttemberg,Paid,0.43535,125,2610,0.37748,0.49227
120,120,1986,30-45 y.,Baden-Wuerttemberg,Not compensated,0.30281,51,2610,0.27037,0.34004
121,121,1986,30-45 y.,Bavaria,Comp. time,0.40247,97,2610,0.36873,0.43235
122,122,1986,30-45 y.,Bavaria,Some of both,0.11548,33,2610,0.09803,0.13362
123,123,1986,30-45 y.,Bavaria,Paid,0.25836,81,2610,0.23402,0.28913
124,124,1986,30-45 y.,Bavaria,Not compensated,0.22368,50,2610,0.20747,0.23999
125,125,1986,46-65 y.,Lower Saxony,Paid,1.0,42,2610,0.86717,1.12782
126,126,1986,46-65 y.,North Rhine-Westphalia,Comp. time,0.27069,53,2610,0.23678,0.30362
127,127,1986,46-65 y.,North Rhine-Westphalia,Paid,0.39604,118,2610,0.34507,0.44635
128,128,1986,46-65 y.,North Rhine-Westphalia,Not compensated,0.33327,65,2610,0.30364,0.36566
129,129,1986,46-65 y.,Hesse,Comp. time,0.54111,33,2610,0.46285,0.60971
130,130,1986,46-65 y.,Hesse,Paid,0.45889,41,2610,0.33832,0.58484
131,131,1986,46-65 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,39,2610,0.84673,1.11792
132,132,1986,46-65 y.,Baden-Wuerttemberg,Comp. time,0.2842,42,2610,0.24696,0.31158
133,133,1986,46-65 y.,Baden-Wuerttemberg,Paid,0.45259,107,2610,0.39219,0.50972
134,134,1986,46-65 y.,Baden-Wuerttemberg,Not compensated,0.26321,42,2610,0.2327,0.29825
135,135,1986,46-65 y.,Bavaria,Comp. time,0.34684,47,2610,0.30693,0.38171
136,136,1986,46-65 y.,Bavaria,Paid,0.35667,58,2610,0.29698,0.40636
137,137,1986,46-65 y.,Bavaria,Not compensated,0.2965,38,2610,0.25987,0.33376
138,138,1988,17-29 y.,Lower Saxony,Comp. time,0.58443,50,2522,0.51246,0.67946
139,139,1988,17-29 y.,Lower Saxony,Paid,0.41557,45,2522,0.31984,0.51646
140,140,1988,17-29 y.,North Rhine-Westphalia,Comp. time,0.45787,88,2522,0.41021,0.50914
141,141,1988,17-29 y.,North Rhine-Westphalia,Paid,0.40139,118,2522,0.33423,0.46152
142,142,1988,17-29 y.,North Rhine-Westphalia,Not compensated,0.14074,32,2522,0.1099,0.17161
143,143,1988,17-29 y.,Hesse,Paid,1.0,37,2522,0.72161,1.35678
144,144,1988,17-29 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,36,2522,0.87345,1.15622
145,145,1988,17-29 y.,Baden-Wuerttemberg,Comp. time,0.44483,59,2522,0.37343,0.5195
146,146,1988,17-29 y.,Baden-Wuerttemberg,Paid,0.55517,106,2522,0.46958,0.66272
147,147,1988,17-29 y.,Bavaria,Comp. time,0.41273,88,2522,0.35957,0.46503
148,148,1988,17-29 y.,Bavaria,Some of both,0.15389,31,2522,0.13035,0.18213
149,149,1988,17-29 y.,Bavaria,Paid,0.24967,52,2522,0.20175,0.29353
150,150,1988,17-29 y.,Bavaria,Not compensated,0.18371,39,2522,0.15184,0.21894
151,151,1988,30-45 y.,Lower Saxony,Comp. time,0.50777,41,2522,0.45701,0.56983
152,152,1988,30-45 y.,Lower Saxony,Paid,0.49223,47,2522,0.44009,0.54257
153,153,1988,30-45 y.,North Rhine-Westphalia,Comp. time,0.27997,104,2522,0.25533,0.30082
154,154,1988,30-45 y.,North Rhine-Westphalia,Some of both,0.1145,40,2522,0.09782,0.13059
155,155,1988,30-45 y.,North Rhine-Westphalia,Paid,0.378,176,2522,0.34586,0.41872
156,156,1988,30-45 y.,North Rhine-Westphalia,Not compensated,0.22753,72,2522,0.20829,0.24845
157,157,1988,30-45 y.,Hesse,Comp. time,0.46875,37,2522,0.37942,0.55873
158,158,1988,30-45 y.,Hesse,Paid,0.53125,55,2522,0.42486,0.6551
159,159,1988,30-45 y.,Baden-Wuerttemberg,Comp. time,0.23455,47,2522,0.1836,0.28172
160,160,1988,30-45 y.,Baden-Wuerttemberg,Some of both,0.12992,31,2522,0.10647,0.15859
161,161,1988,30-45 y.,Baden-Wuerttemberg,Paid,0.39778,128,2522,0.33588,0.45903
162,162,1988,30-45 y.,Baden-Wuerttemberg,Not compensated,0.23776,45,2522,0.20655,0.26683
163,163,1988,30-45 y.,Bavaria,Comp. time,0.34487,79,2522,0.31801,0.37494
164,164,1988,30-45 y.,Bavaria,Some of both,0.16396,40,2522,0.1358,0.18986
165,165,1988,30-45 y.,Bavaria,Paid,0.33036,99,2522,0.29493,0.37461
166,166,1988,30-45 y.,Bavaria,Not compensated,0.16081,33,2522,0.14038,0.17918
167,167,1988,46-65 y.,Lower Saxony,Comp. time,0.55489,39,2522,0.4983,0.60226
168,168,1988,46-65 y.,Lower Saxony,Paid,0.44511,33,2522,0.38249,0.50882
169,169,1988,46-65 y.,North Rhine-Westphalia,Comp. time,0.29351,58,2522,0.25819,0.33022
170,170,1988,46-65 y.,North Rhine-Westphalia,Paid,0.4056,118,2522,0.35757,0.4545
171,171,1988,46-65 y.,North Rhine-Westphalia,Not compensated,0.30088,62,2522,0.27478,0.33132
172,172,1988,46-65 y.,Hesse,Comp. time,1.0,42,2522,0.8573,1.16849
173,173,1988,46-65 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,34,2522,0.81854,1.1527
174,174,1988,46-65 y.,Baden-Wuerttemberg,Comp. time,0.32715,45,2522,0.2946,0.36315
175,175,1988,46-65 y.,Baden-Wuerttemberg,Paid,0.44364,97,2522,0.37908,0.51273
176,176,1988,46-65 y.,Baden-Wuerttemberg,Not compensated,0.22921,34,2522,0.19527,0.25734
177,177,1988,46-65 y.,Bavaria,Comp. time,0.48725,45,2522,0.43114,0.55835
178,178,1988,46-65 y.,Bavaria,Paid,0.51275,60,2522,0.43555,0.58342
179,179,1989,17-29 y.,Lower Saxony,Comp. time,0.58472,54,2758,0.48323,0.68335
180,180,1989,17-29 y.,Lower Saxony,Paid,0.41528,49,2758,0.33366,0.49228
181,181,1989,17-29 y.,North Rhine-Westphalia,Comp. time,0.33029,80,2758,0.2905,0.37089
182,182,1989,17-29 y.,North Rhine-Westphalia,Some of both,0.13634,37,2758,0.11037,0.16989
183,183,1989,17-29 y.,North Rhine-Westphalia,Paid,0.38922,142,2758,0.32735,0.44144
184,184,1989,17-29 y.,North Rhine-Westphalia,Not compensated,0.14415,36,2758,0.1201,0.16788
185,185,1989,17-29 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,35,2758,0.85861,1.13244
186,186,1989,17-29 y.,Baden-Wuerttemberg,Comp. time,0.3839,65,2758,0.32209,0.4559
187,187,1989,17-29 y.,Baden-Wuerttemberg,Some of both,0.1669,31,2758,0.12325,0.22094
188,188,1989,17-29 y.,Baden-Wuerttemberg,Paid,0.44921,102,2758,0.38111,0.52546
189,189,1989,17-29 y.,Bavaria,Comp. time,0.35079,67,2758,0.2988,0.40059
190,190,1989,17-29 y.,Bavaria,Paid,0.42425,75,2758,0.35437,0.49672
191,191,1989,17-29 y.,Bavaria,Not compensated,0.22496,35,2758,0.18823,0.27509
192,192,1989,30-45 y.,Lower Saxony,Comp. time,0.50456,44,2758,0.44262,0.58636
193,193,1989,30-45 y.,Lower Saxony,Paid,0.49544,47,2758,0.42059,0.5717
194,194,1989,30-45 y.,North Rhine-Westphalia,Comp. time,0.29549,108,2758,0.27185,0.32195
195,195,1989,30-45 y.,North Rhine-Westphalia,Some of both,0.12539,46,2758,0.11032,0.14694
196,196,1989,30-45 y.,North Rhine-Westphalia,Paid,0.36969,177,2758,0.33803,0.40422
197,197,1989,30-45 y.,North Rhine-Westphalia,Not compensated,0.20943,77,2758,0.18797,0.22887
198,198,1989,30-45 y.,Hesse,Comp. time,0.47935,40,2758,0.39055,0.59115
199,199,1989,30-45 y.,Hesse,Paid,0.52065,60,2758,0.40668,0.62693
200,200,1989,30-45 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,31,2758,0.82956,1.18124
201,201,1989,30-45 y.,Baden-Wuerttemberg,Comp. time,0.22227,55,2758,0.18357,0.26581
202,202,1989,30-45 y.,Baden-Wuerttemberg,Some of both,0.2266,58,2758,0.1953,0.26152
203,203,1989,30-45 y.,Baden-Wuerttemberg,Paid,0.41185,132,2758,0.36115,0.47061
204,204,1989,30-45 y.,Baden-Wuerttemberg,Not compensated,0.13928,33,2758,0.11171,0.16749
205,205,1989,30-45 y.,Bavaria,Comp. time,0.35142,90,2758,0.31795,0.38757
206,206,1989,30-45 y.,Bavaria,Some of both,0.16563,40,2758,0.14174,0.18789
207,207,1989,30-45 y.,Bavaria,Paid,0.31422,95,2758,0.27293,0.35879
208,208,1989,30-45 y.,Bavaria,Not compensated,0.16873,36,2758,0.14806,0.19022
209,209,1989,46-65 y.,Lower Saxony,Comp. time,0.47145,37,2758,0.39561,0.55458
210,210,1989,46-65 y.,Lower Saxony,Paid,0.52855,42,2758,0.45904,0.60666
211,211,1989,46-65 y.,North Rhine-Westphalia,Comp. time,0.27161,55,2758,0.23335,0.30886
212,212,1989,46-65 y.,North Rhine-Westphalia,Paid,0.43353,135,2758,0.38118,0.49812
213,213,1989,46-65 y.,North Rhine-Westphalia,Not compensated,0.29486,57,2758,0.26565,0.32843
214,214,1989,46-65 y.,Hesse,Comp. time,0.53748,35,2758,0.46325,0.60405
215,215,1989,46-65 y.,Hesse,Paid,0.46252,41,2758,0.37071,0.5625
216,216,1989,46-65 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,39,2758,0.85454,1.13523
217,217,1989,46-65 y.,Baden-Wuerttemberg,Comp. time,0.378,53,2758,0.32723,0.4285
218,218,1989,46-65 y.,Baden-Wuerttemberg,Some of both,0.22707,40,2758,0.18742,0.27624
219,219,1989,46-65 y.,Baden-Wuerttemberg,Paid,0.39493,96,2758,0.33307,0.46327
220,220,1989,46-65 y.,Bavaria,Comp. time,0.33798,46,2758,0.30472,0.37937
221,221,1989,46-65 y.,Bavaria,Paid,0.293,60,2758,0.25133,0.34105
222,222,1989,46-65 y.,Bavaria,Not compensated,0.36902,45,2758,0.33334,0.40823
223,223,1990,17-29 y.,Lower Saxony,Comp. time,0.55282,54,4763,0.46611,0.6545
224,224,1990,17-29 y.,Lower Saxony,Paid,0.44718,48,4763,0.36862,0.54656
225,225,1990,17-29 y.,North Rhine-Westphalia,Comp. time,0.33214,68,4763,0.28503,0.38517
226,226,1990,17-29 y.,North Rhine-Westphalia,Paid,0.47412,129,4763,0.40906,0.5686
227,227,1990,17-29 y.,North Rhine-Westphalia,Not compensated,0.19374,34,4763,0.14923,0.23948
228,228,1990,17-29 y.,Hesse,Comp. time,0.56165,37,4763,0.44988,0.66656
229,229,1990,17-29 y.,Hesse,Paid,0.43835,31,4763,0.33212,0.58053
230,230,1990,17-29 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,35,4763,0.78331,1.23578
231,231,1990,17-29 y.,Baden-Wuerttemberg,Comp. time,0.41277,74,4763,0.35532,0.48274
232,232,1990,17-29 y.,Baden-Wuerttemberg,Some of both,0.142,40,4763,0.10749,0.17858
233,233,1990,17-29 y.,Baden-Wuerttemberg,Paid,0.44523,112,4763,0.3545,0.51683
234,234,1990,17-29 y.,Bavaria,Comp. time,0.42201,87,4763,0.37115,0.471
235,235,1990,17-29 y.,Bavaria,Some of both,0.20759,42,4763,0.16715,0.24601
236,236,1990,17-29 y.,Bavaria,Paid,0.3704,83,4763,0.30507,0.44081
237,237,1990,17-29 y.,Brandenburg,Paid,1.0,43,4763,0.88212,1.14679
238,238,1990,17-29 y.,Mecklenburg-Western Pomerania,Paid,1.0,33,4763,0.87165,1.14356
239,239,1990,17-29 y.,Saxony,Comp. time,0.42261,73,4763,0.38922,0.45486
240,240,1990,17-29 y.,Saxony,Some of both,0.18412,34,4763,0.16054,0.20769
241,241,1990,17-29 y.,Saxony,Paid,0.39328,70,4763,0.3576,0.43221
242,242,1990,17-29 y.,Saxony-Anhalt,Comp. time,0.36303,35,4763,0.29624,0.43968
243,243,1990,17-29 y.,Saxony-Anhalt,Paid,0.63697,54,4763,0.57232,0.69998
244,244,1990,17-29 y.,Thuringa,Comp. time,0.40885,33,4763,0.3551,0.46163
245,245,1990,17-29 y.,Thuringa,Paid,0.59115,55,4763,0.529,0.66413
246,246,1990,30-45 y.,Lower Saxony,Comp. time,0.63646,47,4763,0.55146,0.73121
247,247,1990,30-45 y.,Lower Saxony,Paid,0.36354,39,4763,0.30014,0.42471
248,248,1990,30-45 y.,North Rhine-Westphalia,Comp. time,0.31281,107,4763,0.28715,0.34024
249,249,1990,30-45 y.,North Rhine-Westphalia,Some of both,0.12772,49,4763,0.11072,0.14511
250,250,1990,30-45 y.,North Rhine-Westphalia,Paid,0.37729,177,4763,0.34685,0.41535
251,251,1990,30-45 y.,North Rhine-Westphalia,Not compensated,0.18218,68,4763,0.16747,0.19877
252,252,1990,30-45 y.,Hesse,Comp. time,0.55054,39,4763,0.44853,0.63832
253,253,1990,30-45 y.,Hesse,Paid,0.44946,53,4763,0.33647,0.55913
254,254,1990,30-45 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,36,4763,0.86445,1.13868
255,255,1990,30-45 y.,Baden-Wuerttemberg,Comp. time,0.25889,61,4763,0.21064,0.30311
256,256,1990,30-45 y.,Baden-Wuerttemberg,Some of both,0.15218,42,4763,0.11229,0.18958
257,257,1990,30-45 y.,Baden-Wuerttemberg,Paid,0.42593,143,4763,0.36477,0.49023
258,258,1990,30-45 y.,Baden-Wuerttemberg,Not compensated,0.163,34,4763,0.13823,0.18601
259,259,1990,30-45 y.,Bavaria,Comp. time,0.46111,89,4763,0.41564,0.49669
260,260,1990,30-45 y.,Bavaria,Some of both,0.22735,43,4763,0.19189,0.26277
261,261,1990,30-45 y.,Bavaria,Paid,0.31154,78,4763,0.26079,0.35203
262,262,1990,30-45 y.,Berlin,Comp. time,0.57335,47,4763,0.47217,0.69025
263,263,1990,30-45 y.,Berlin,Paid,0.42665,36,4763,0.35234,0.511
264,264,1990,30-45 y.,Brandenburg,Comp. time,0.43263,68,4763,0.38414,0.48903
265,265,1990,30-45 y.,Brandenburg,Paid,0.56737,87,4763,0.53172,0.60517
266,266,1990,30-45 y.,Mecklenburg-Western Pomerania,Comp. time,0.49381,42,4763,0.44625,0.53899
267,267,1990,30-45 y.,Mecklenburg-Western Pomerania,Paid,0.50619,47,4763,0.45265,0.56162
268,268,1990,30-45 y.,Saxony,Comp. time,0.40399,141,4763,0.38478,0.42496
269,269,1990,30-45 y.,Saxony,Some of both,0.15023,54,4763,0.13778,0.16188
270,270,1990,30-45 y.,Saxony,Paid,0.33316,106,4763,0.30861,0.35951
271,271,1990,30-45 y.,Saxony,Not compensated,0.11263,40,4763,0.10402,0.12113
272,272,1990,30-45 y.,Saxony-Anhalt,Comp. time,0.46892,66,4763,0.42005,0.5095
273,273,1990,30-45 y.,Saxony-Anhalt,Paid,0.53108,86,4763,0.47969,0.5766
274,274,1990,30-45 y.,Thuringa,Comp. time,0.49215,65,4763,0.43303,0.56842
275,275,1990,30-45 y.,Thuringa,Paid,0.50785,68,4763,0.46324,0.55576
276,276,1990,46-65 y.,Lower Saxony,Comp. time,0.4631,34,4763,0.39424,0.54453
277,277,1990,46-65 y.,Lower Saxony,Paid,0.5369,38,4763,0.45615,0.62835
278,278,1990,46-65 y.,North Rhine-Westphalia,Comp. time,0.30708,58,4763,0.27006,0.33715
279,279,1990,46-65 y.,North Rhine-Westphalia,Paid,0.43171,126,4763,0.37607,0.48386
280,280,1990,46-65 y.,North Rhine-Westphalia,Not compensated,0.26121,51,4763,0.23074,0.29688
281,281,1990,46-65 y.,Hesse,Comp. time,0.50067,36,4763,0.44907,0.55516
282,282,1990,46-65 y.,Hesse,Paid,0.49933,44,4763,0.37744,0.62262
283,283,1990,46-65 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,37,4763,0.79995,1.21736
284,284,1990,46-65 y.,Baden-Wuerttemberg,Comp. time,0.31422,55,4763,0.27285,0.35661
