,Unnamed: 0,year,quintil_oecd,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
44,44,1986,2nd Quintile,Some of both,0.12534,63,3471,0.10739,0.14119
45,45,1986,2nd Quintile,Paid,0.46838,311,3471,0.43294,0.50343
46,46,1986,2nd Quintile,Not compensated,0.11559,62,3471,0.10083,0.12977
47,47,1986,3rd Quintile,Comp. time,0.32834,212,3471,0.30542,0.35103
48,48,1986,3rd Quintile,Some of both,0.12129,89,3471,0.10826,0.13272
49,49,1986,3rd Quintile,Paid,0.38863,331,3471,0.36198,0.41425
50,50,1986,3rd Quintile,Not compensated,0.16174,109,3471,0.1491,0.17276
51,51,1986,4th Quintile,Comp. time,0.32824,271,3471,0.31144,0.35063
52,52,1986,4th Quintile,Some of both,0.13015,114,3471,0.11962,0.13896
53,53,1986,4th Quintile,Paid,0.353,360,3471,0.33284,0.37718
54,54,1986,4th Quintile,Not compensated,0.18861,162,3471,0.17627,0.19978
55,55,1986,5th Quintile,Comp. time,0.30209,262,3471,0.28842,0.31844
56,56,1986,5th Quintile,Some of both,0.11077,98,3471,0.10195,0.1193
57,57,1986,5th Quintile,Paid,0.2525,250,3471,0.23867,0.27208
58,58,1986,5th Quintile,Not compensated,0.33464,285,3471,0.32029,0.34982
59,59,1988,1st Quintile,Comp. time,0.29924,93,3453,0.25937,0.33796
60,60,1988,1st Quintile,Some of both,0.10098,39,3453,0.08128,0.11948
61,61,1988,1st Quintile,Paid,0.47944,235,3453,0.42928,0.53551
62,62,1988,1st Quintile,Not compensated,0.12035,33,3453,0.09379,0.14981
63,63,1988,2nd Quintile,Comp. time,0.36472,182,3453,0.33412,0.39283
64,64,1988,2nd Quintile,Some of both,0.11137,72,3453,0.09548,0.1275
65,65,1988,2nd Quintile,Paid,0.41088,305,3453,0.37396,0.44385
66,66,1988,2nd Quintile,Not compensated,0.11302,63,3453,0.09433,0.1295
67,67,1988,3rd Quintile,Comp. time,0.33436,216,3453,0.30813,0.36023
68,68,1988,3rd Quintile,Some of both,0.12358,83,3453,0.10753,0.13977
69,69,1988,3rd Quintile,Paid,0.38514,322,3453,0.35649,0.41681
70,70,1988,3rd Quintile,Not compensated,0.15692,107,3453,0.14737,0.17046
71,71,1988,4th Quintile,Comp. time,0.33204,260,3453,0.31293,0.34964
72,72,1988,4th Quintile,Some of both,0.13083,107,3453,0.11821,0.14326
73,73,1988,4th Quintile,Paid,0.34385,321,3453,0.31841,0.3678
74,74,1988,4th Quintile,Not compensated,0.19328,141,3453,0.17791,0.20755
75,75,1988,5th Quintile,Comp. time,0.30786,267,3453,0.29098,0.32082
76,76,1988,5th Quintile,Some of both,0.13933,117,3453,0.12888,0.1506
77,77,1988,5th Quintile,Paid,0.25043,243,3453,0.23028,0.2701
78,78,1988,5th Quintile,Not compensated,0.30238,247,3453,0.28746,0.31794
79,79,1989,1st Quintile,Comp. time,0.27193,99,3649,0.23362,0.31114
80,80,1989,1st Quintile,Some of both,0.14757,52,3649,0.12023,0.18934
81,81,1989,1st Quintile,Paid,0.48326,235,3649,0.43002,0.53943
82,82,1989,1st Quintile,Not compensated,0.09724,32,3649,0.07103,0.12054
83,83,1989,2nd Quintile,Comp. time,0.34099,178,3649,0.30911,0.36706
84,84,1989,2nd Quintile,Some of both,0.15366,106,3649,0.13261,0.17471
85,85,1989,2nd Quintile,Paid,0.40488,302,3649,0.3654,0.44003
86,86,1989,2nd Quintile,Not compensated,0.10046,54,3649,0.08934,0.11357
87,87,1989,3rd Quintile,Comp. time,0.30423,204,3649,0.28057,0.32494
88,88,1989,3rd Quintile,Some of both,0.14443,102,3649,0.13131,0.16037
89,89,1989,3rd Quintile,Paid,0.43057,369,3649,0.40211,0.45813
90,90,1989,3rd Quintile,Not compensated,0.12077,96,3649,0.10926,0.13369
91,91,1989,4th Quintile,Comp. time,0.33258,288,3649,0.30828,0.35727
92,92,1989,4th Quintile,Some of both,0.16149,138,3649,0.14961,0.17515
93,93,1989,4th Quintile,Paid,0.34019,371,3649,0.31718,0.36212
94,94,1989,4th Quintile,Not compensated,0.16574,129,3649,0.15228,0.18097
95,95,1989,5th Quintile,Comp. time,0.30707,272,3649,0.29111,0.32424
96,96,1989,5th Quintile,Some of both,0.13767,128,3649,0.12525,0.14977
97,97,1989,5th Quintile,Paid,0.24414,233,3649,0.22761,0.26285
98,98,1989,5th Quintile,Not compensated,0.31112,261,3649,0.29574,0.32465
99,99,1990,1st Quintile,Comp. time,0.26069,88,3607,0.22176,0.29978
100,100,1990,1st Quintile,Some of both,0.13507,57,3607,0.10231,0.1658
101,101,1990,1st Quintile,Paid,0.49954,239,3607,0.44034,0.55484
102,102,1990,1st Quintile,Not compensated,0.10471,32,3607,0.07811,0.13684
103,103,1990,2nd Quintile,Comp. time,0.31986,179,3607,0.29367,0.34475
104,104,1990,2nd Quintile,Some of both,0.13409,90,3607,0.11615,0.15727
105,105,1990,2nd Quintile,Paid,0.43149,334,3607,0.39969,0.46661
106,106,1990,2nd Quintile,Not compensated,0.11456,62,3607,0.09712,0.13302
107,107,1990,3rd Quintile,Comp. time,0.35022,233,3607,0.32685,0.37423
108,108,1990,3rd Quintile,Some of both,0.14566,113,3607,0.12961,0.16254
109,109,1990,3rd Quintile,Paid,0.39833,349,3607,0.3681,0.42864
110,110,1990,3rd Quintile,Not compensated,0.10579,67,3607,0.09224,0.11986
111,111,1990,4th Quintile,Comp. time,0.36157,301,3607,0.33999,0.38219
112,112,1990,4th Quintile,Some of both,0.1558,148,3607,0.14226,0.1718
113,113,1990,4th Quintile,Paid,0.34252,348,3607,0.31856,0.36617
114,114,1990,4th Quintile,Not compensated,0.14011,110,3607,0.12835,0.14957
115,115,1990,5th Quintile,Comp. time,0.32466,272,3607,0.3072,0.34618
116,116,1990,5th Quintile,Some of both,0.14673,129,3607,0.13421,0.16093
117,117,1990,5th Quintile,Paid,0.22158,214,3607,0.20155,0.23858
118,118,1990,5th Quintile,Not compensated,0.30703,242,3607,0.28824,0.3235
119,119,1991,1st Quintile,Comp. time,0.27161,87,3814,0.23543,0.30387
120,120,1991,1st Quintile,Some of both,0.1566,63,3814,0.12517,0.1905
121,121,1991,1st Quintile,Paid,0.57178,249,3814,0.51487,0.62858
122,122,1991,2nd Quintile,Comp. time,0.30758,190,3814,0.28272,0.33739
123,123,1991,2nd Quintile,Some of both,0.13809,82,3814,0.12083,0.15377
124,124,1991,2nd Quintile,Paid,0.45241,362,3814,0.41958,0.49072
125,125,1991,2nd Quintile,Not compensated,0.10193,53,3814,0.08622,0.11697
126,126,1991,3rd Quintile,Comp. time,0.34707,243,3814,0.32238,0.37058
127,127,1991,3rd Quintile,Some of both,0.13724,125,3814,0.12349,0.1547
128,128,1991,3rd Quintile,Paid,0.38659,358,3814,0.35851,0.41844
129,129,1991,3rd Quintile,Not compensated,0.1291,83,3814,0.11365,0.1462
130,130,1991,4th Quintile,Comp. time,0.36132,322,3814,0.34248,0.38626
131,131,1991,4th Quintile,Some of both,0.14618,150,3814,0.13261,0.15809
132,132,1991,4th Quintile,Paid,0.34813,370,3814,0.32878,0.37128
133,133,1991,4th Quintile,Not compensated,0.14437,122,3814,0.13269,0.16109
134,134,1991,5th Quintile,Comp. time,0.31097,313,3814,0.29261,0.33034
135,135,1991,5th Quintile,Some of both,0.16782,153,3814,0.15474,0.18256
136,136,1991,5th Quintile,Paid,0.2614,273,3814,0.24477,0.28035
137,137,1991,5th Quintile,Not compensated,0.2598,216,3814,0.24489,0.27583
138,138,1992,1st Quintile,Comp. time,0.33744,244,5380,0.31028,0.36753
139,139,1992,1st Quintile,Some of both,0.17335,116,5380,0.15049,0.19702
140,140,1992,1st Quintile,Paid,0.37965,264,5380,0.35012,0.41027
141,141,1992,1st Quintile,Not compensated,0.10956,70,5380,0.09063,0.13635
142,142,1992,2nd Quintile,Comp. time,0.35428,381,5380,0.33157,0.3792
143,143,1992,2nd Quintile,Some of both,0.16457,182,5380,0.14696,0.1862
144,144,1992,2nd Quintile,Paid,0.36995,411,5380,0.33806,0.40456
145,145,1992,2nd Quintile,Not compensated,0.11121,124,5380,0.09526,0.12521
146,146,1992,3rd Quintile,Comp. time,0.35105,394,5380,0.33035,0.37787
147,147,1992,3rd Quintile,Some of both,0.15353,176,5380,0.139,0.16787
148,148,1992,3rd Quintile,Paid,0.36589,425,5380,0.33757,0.39252
149,149,1992,3rd Quintile,Not compensated,0.12953,152,5380,0.11744,0.14695
150,150,1992,4th Quintile,Comp. time,0.364,417,5380,0.34487,0.3848
151,151,1992,4th Quintile,Some of both,0.17051,212,5380,0.15484,0.18503
152,152,1992,4th Quintile,Paid,0.34427,463,5380,0.32496,0.36517
153,153,1992,4th Quintile,Not compensated,0.12122,154,5380,0.11023,0.13158
154,154,1992,5th Quintile,Comp. time,0.34337,408,5380,0.3233,0.36049
155,155,1992,5th Quintile,Some of both,0.17541,202,5380,0.16116,0.18855
156,156,1992,5th Quintile,Paid,0.23422,313,5380,0.21602,0.25329
157,157,1992,5th Quintile,Not compensated,0.247,272,5380,0.23345,0.26355
158,158,1993,1st Quintile,Comp. time,0.31792,177,5255,0.28438,0.36143
159,159,1993,1st Quintile,Some of both,0.16812,105,5255,0.14593,0.19265
160,160,1993,1st Quintile,Paid,0.40753,250,5255,0.37163,0.45404
161,161,1993,1st Quintile,Not compensated,0.10644,56,5255,0.0882,0.12865
162,162,1993,2nd Quintile,Comp. time,0.32277,335,5255,0.29797,0.34577
163,163,1993,2nd Quintile,Some of both,0.18309,180,5255,0.16479,0.19984
164,164,1993,2nd Quintile,Paid,0.38914,398,5255,0.36099,0.41664
165,165,1993,2nd Quintile,Not compensated,0.105,105,5255,0.09044,0.12419
166,166,1993,3rd Quintile,Comp. time,0.35533,410,5255,0.33099,0.37828
167,167,1993,3rd Quintile,Some of both,0.15464,184,5255,0.13944,0.16942
168,168,1993,3rd Quintile,Paid,0.36204,419,5255,0.33751,0.39296
169,169,1993,3rd Quintile,Not compensated,0.12799,160,5255,0.11415,0.14435
170,170,1993,4th Quintile,Comp. time,0.37752,448,5255,0.35801,0.39762
171,171,1993,4th Quintile,Some of both,0.15834,221,5255,0.14471,0.17181
172,172,1993,4th Quintile,Paid,0.30766,400,5255,0.28387,0.32917
173,173,1993,4th Quintile,Not compensated,0.15648,185,5255,0.14185,0.17146
174,174,1993,5th Quintile,Comp. time,0.33667,426,5255,0.31775,0.35739
175,175,1993,5th Quintile,Some of both,0.17202,209,5255,0.15717,0.18729
176,176,1993,5th Quintile,Paid,0.22694,291,5255,0.2133,0.24169
177,177,1993,5th Quintile,Not compensated,0.26437,296,5255,0.2482,0.27911
178,178,1994,1st Quintile,Comp. time,0.34063,180,5182,0.30186,0.37685
179,179,1994,1st Quintile,Some of both,0.17552,89,5182,0.14704,0.20434
180,180,1994,1st Quintile,Paid,0.38278,207,5182,0.3405,0.44228
181,181,1994,1st Quintile,Not compensated,0.10108,48,5182,0.08095,0.13017
182,182,1994,2nd Quintile,Comp. time,0.34174,348,5182,0.31496,0.36797
183,183,1994,2nd Quintile,Some of both,0.16152,159,5182,0.14119,0.18374
184,184,1994,2nd Quintile,Paid,0.37128,365,5182,0.34007,0.40243
185,185,1994,2nd Quintile,Not compensated,0.12546,113,5182,0.10612,0.14803
186,186,1994,3rd Quintile,Comp. time,0.38973,467,5182,0.36774,0.41386
187,187,1994,3rd Quintile,Some of both,0.15889,183,5182,0.14526,0.17453
188,188,1994,3rd Quintile,Paid,0.3228,361,5182,0.30136,0.34498
189,189,1994,3rd Quintile,Not compensated,0.12859,157,5182,0.11583,0.14344
190,190,1994,4th Quintile,Comp. time,0.39823,465,5182,0.37407,0.42824
191,191,1994,4th Quintile,Some of both,0.17946,242,5182,0.16356,0.19488
192,192,1994,4th Quintile,Paid,0.28377,368,5182,0.26196,0.30603
193,193,1994,4th Quintile,Not compensated,0.13854,186,5182,0.12535,0.15361
194,194,1994,5th Quintile,Comp. time,0.36944,455,5182,0.34652,0.39325
195,195,1994,5th Quintile,Some of both,0.1799,232,5182,0.16348,0.19286
196,196,1994,5th Quintile,Paid,0.19688,264,5182,0.17854,0.21631
197,197,1994,5th Quintile,Not compensated,0.25377,293,5182,0.23761,0.27163
198,198,1995,1st Quintile,Comp. time,0.32623,182,5516,0.29025,0.36959
199,199,1995,1st Quintile,Some of both,0.15076,94,5516,0.13038,0.17286
200,200,1995,1st Quintile,Paid,0.41966,272,5516,0.3712,0.4635
201,201,1995,1st Quintile,Not compensated,0.10335,60,5516,0.08239,0.12402
202,202,1995,2nd Quintile,Comp. time,0.35374,365,5516,0.3251,0.37847
203,203,1995,2nd Quintile,Some of both,0.17023,162,5516,0.1501,0.18859
204,204,1995,2nd Quintile,Paid,0.35405,374,5516,0.32796,0.38078
205,205,1995,2nd Quintile,Not compensated,0.12198,108,5516,0.1048,0.14122
206,206,1995,3rd Quintile,Comp. time,0.40163,476,5516,0.37935,0.42863
207,207,1995,3rd Quintile,Some of both,0.16586,206,5516,0.15032,0.18393
208,208,1995,3rd Quintile,Paid,0.32149,404,5516,0.29944,0.3483
209,209,1995,3rd Quintile,Not compensated,0.11101,139,5516,0.09538,0.12709
210,210,1995,4th Quintile,Comp. time,0.38268,517,5516,0.35681,0.40634
211,211,1995,4th Quintile,Some of both,0.17266,257,5516,0.15793,0.18844
212,212,1995,4th Quintile,Paid,0.29641,401,5516,0.27242,0.3159
213,213,1995,4th Quintile,Not compensated,0.14826,205,5516,0.13319,0.16489
214,214,1995,5th Quintile,Comp. time,0.37739,494,5516,0.35473,0.40036
215,215,1995,5th Quintile,Some of both,0.20088,273,5516,0.18236,0.22021
216,216,1995,5th Quintile,Paid,0.15905,222,5516,0.14509,0.17782
217,217,1995,5th Quintile,Not compensated,0.26267,305,5516,0.24181,0.28057
218,218,1996,1st Quintile,Comp. time,0.39503,228,5342,0.35073,0.4401
219,219,1996,1st Quintile,Some of both,0.15455,84,5342,0.12931,0.18712
220,220,1996,1st Quintile,Paid,0.363,234,5342,0.32979,0.40659
221,221,1996,1st Quintile,Not compensated,0.08742,56,5342,0.07482,0.10081
222,222,1996,2nd Quintile,Comp. time,0.37922,375,5342,0.35093,0.41504
223,223,1996,2nd Quintile,Some of both,0.16317,165,5342,0.14505,0.18361
224,224,1996,2nd Quintile,Paid,0.36628,361,5342,0.33594,0.3994
225,225,1996,2nd Quintile,Not compensated,0.09133,86,5342,0.07268,0.10942
226,226,1996,3rd Quintile,Comp. time,0.44288,508,5342,0.4087,0.47409
227,227,1996,3rd Quintile,Some of both,0.15376,188,5342,0.13732,0.17198
228,228,1996,3rd Quintile,Paid,0.2878,344,5342,0.26555,0.31429
229,229,1996,3rd Quintile,Not compensated,0.11556,135,5342,0.10126,0.13156
230,230,1996,4th Quintile,Comp. time,0.44797,594,5342,0.41747,0.47702
231,231,1996,4th Quintile,Some of both,0.1829,229,5342,0.16666,0.20246
232,232,1996,4th Quintile,Paid,0.23608,355,5342,0.2216,0.25196
233,233,1996,4th Quintile,Not compensated,0.13305,197,5342,0.11786,0.14968
234,234,1996,5th Quintile,Comp. time,0.40274,499,5342,0.38194,0.42724
235,235,1996,5th Quintile,Some of both,0.16661,212,5342,0.15054,0.18419
236,236,1996,5th Quintile,Paid,0.14677,172,5342,0.13334,0.1629
237,237,1996,5th Quintile,Not compensated,0.28388,320,5342,0.26139,0.30699
238,238,1997,1st Quintile,Comp. time,0.41529,171,4586,0.36328,0.46422
239,239,1997,1st Quintile,Some of both,0.19683,96,4586,0.16019,0.23834
240,240,1997,1st Quintile,Paid,0.22422,120,4586,0.19404,0.25648
241,241,1997,1st Quintile,Not compensated,0.16366,56,4586,0.13582,0.19384
242,242,1997,2nd Quintile,Comp. time,0.40805,339,4586,0.37904,0.45058
243,243,1997,2nd Quintile,Some of both,0.21652,178,4586,0.18672,0.24338
244,244,1997,2nd Quintile,Paid,0.24268,221,4586,0.22341,0.26606
245,245,1997,2nd Quintile,Not compensated,0.13276,100,4586,0.11414,0.15518
246,246,1997,3rd Quintile,Comp. time,0.42813,430,4586,0.40287,0.45816
247,247,1997,3rd Quintile,Some of both,0.21654,226,4586,0.19735,0.24166
248,248,1997,3rd Quintile,Paid,0.20945,205,4586,0.19095,0.23395
249,249,1997,3rd Quintile,Not compensated,0.14588,130,4586,0.1254,0.16816
250,250,1997,4th Quintile,Comp. time,0.47701,575,4586,0.44566,0.50556
251,251,1997,4th Quintile,Some of both,0.20879,264,4586,0.18579,0.23409
252,252,1997,4th Quintile,Paid,0.16125,213,4586,0.14411,0.17735
253,253,1997,4th Quintile,Not compensated,0.15295,185,4586,0.13542,0.17303
254,254,1997,5th Quintile,Comp. time,0.41515,445,4586,0.3905,0.44996
255,255,1997,5th Quintile,Some of both,0.19249,209,4586,0.17437,0.21327
256,256,1997,5th Quintile,Paid,0.0945,115,4586,0.0824,0.10845
257,257,1997,5th Quintile,Not compensated,0.29786,308,4586,0.27032,0.33417
258,258,1998,1st Quintile,Comp. time,0.37879,167,4430,0.33032,0.43471
259,259,1998,1st Quintile,Some of both,0.22357,102,4430,0.19286,0.26037
260,260,1998,1st Quintile,Paid,0.23084,114,4430,0.19729,0.26589
261,261,1998,1st Quintile,Not compensated,0.16681,70,4430,0.13463,0.20165
262,262,1998,2nd Quintile,Comp. time,0.42081,355,4430,0.38955,0.45069
263,263,1998,2nd Quintile,Some of both,0.21382,182,4430,0.18656,0.23861
264,264,1998,2nd Quintile,Paid,0.23025,208,4430,0.20434,0.25501
265,265,1998,2nd Quintile,Not compensated,0.13512,106,4430,0.11532,0.15655
266,266,1998,3rd Quintile,Comp. time,0.48774,459,4430,0.45585,0.523
267,267,1998,3rd Quintile,Some of both,0.19505,212,4430,0.17527,0.21601
268,268,1998,3rd Quintile,Paid,0.18868,190,4430,0.17009,0.21655
269,269,1998,3rd Quintile,Not compensated,0.12853,109,4430,0.107,0.15275
270,270,1998,4th Quintile,Comp. time,0.50748,570,4430,0.47682,0.53757
271,271,1998,4th Quintile,Some of both,0.19906,238,4430,0.18159,0.21871
272,272,1998,4th Quintile,Paid,0.16083,182,4430,0.14569,0.17667
273,273,1998,4th Quintile,Not compensated,0.13263,171,4430,0.11794,0.14932
274,274,1998,5th Quintile,Comp. time,0.3943,403,4430,0.36458,0.42736
275,275,1998,5th Quintile,Some of both,0.22585,225,4430,0.20081,0.24653
276,276,1998,5th Quintile,Paid,0.09021,87,4430,0.0777,0.10377
277,277,1998,5th Quintile,Not compensated,0.28965,280,4430,0.26258,0.31719
278,278,1999,1st Quintile,Comp. time,0.4025,220,4950,0.36416,0.44007
279,279,1999,1st Quintile,Some of both,0.19957,116,4950,0.17395,0.22707
280,280,1999,1st Quintile,Paid,0.25538,145,4950,0.2208,0.28729
281,281,1999,1st Quintile,Not compensated,0.14255,73,4950,0.11623,0.16825
282,282,1999,2nd Quintile,Comp. time,0.46924,418,4950,0.43426,0.50301
283,283,1999,2nd Quintile,Some of both,0.22205,203,4950,0.19843,0.2418
284,284,1999,2nd Quintile,Paid,0.19253,195,4950,0.17031,0.21467
285,285,1999,2nd Quintile,Not compensated,0.11618,106,4950,0.0982,0.13649
286,286,1999,3rd Quintile,Comp. time,0.45881,486,4950,0.42618,0.49315
287,287,1999,3rd Quintile,Some of both,0.2121,246,4950,0.19044,0.24194
288,288,1999,3rd Quintile,Paid,0.18348,217,4950,0.16591,0.20291
289,289,1999,3rd Quintile,Not compensated,0.14561,136,4950,0.12582,0.17037
290,290,1999,4th Quintile,Comp. time,0.50058,594,4950,0.46518,0.52669
291,291,1999,4th Quintile,Some of both,0.19727,245,4950,0.17823,0.21941
292,292,1999,4th Quintile,Paid,0.14983,193,4950,0.13477,0.16474
293,293,1999,4th Quintile,Not compensated,0.15233,195,4950,0.13782,0.16696
294,294,1999,5th Quintile,Comp. time,0.42886,481,4950,0.39718,0.45463
295,295,1999,5th Quintile,Some of both,0.21486,257,4950,0.19598,0.23473
296,296,1999,5th Quintile,Paid,0.07469,96,4950,0.06304,0.08512
297,297,1999,5th Quintile,Not compensated,0.28159,328,4950,0.25705,0.30617
298,298,2000,1st Quintile,Comp. time,0.4532,202,4737,0.40816,0.49445
299,299,2000,1st Quintile,Some of both,0.22561,97,4737,0.19526,0.25607
300,300,2000,1st Quintile,Paid,0.22108,113,4737,0.19444,0.25232
301,301,2000,1st Quintile,Not compensated,0.10012,51,4737,0.08164,0.11575
302,302,2000,2nd Quintile,Comp. time,0.47498,401,4737,0.43384,0.51124
303,303,2000,2nd Quintile,Some of both,0.21225,173,4737,0.18808,0.23764
304,304,2000,2nd Quintile,Paid,0.21567,185,4737,0.19159,0.23946
305,305,2000,2nd Quintile,Not compensated,0.0971,94,4737,0.08411,0.11246
306,306,2000,3rd Quintile,Comp. time,0.49709,542,4737,0.4703,0.53283
307,307,2000,3rd Quintile,Some of both,0.22245,231,4737,0.2046,0.24495
308,308,2000,3rd Quintile,Paid,0.16052,178,4737,0.1403,0.17812
309,309,2000,3rd Quintile,Not compensated,0.11993,116,4737,0.10058,0.13701
310,310,2000,4th Quintile,Comp. time,0.50009,592,4737,0.46594,0.54108
311,311,2000,4th Quintile,Some of both,0.22043,276,4737,0.19978,0.24247
312,312,2000,4th Quintile,Paid,0.14071,175,4737,0.12475,0.15967
313,313,2000,4th Quintile,Not compensated,0.13877,185,4737,0.1233,0.15395
314,314,2000,5th Quintile,Comp. time,0.46357,506,4737,0.43203,0.50225
315,315,2000,5th Quintile,Some of both,0.18752,225,4737,0.16844,0.21291
316,316,2000,5th Quintile,Paid,0.08215,106,4737,0.0722,0.09241
317,317,2000,5th Quintile,Not compensated,0.26675,289,4737,0.24404,0.29047
318,318,2001,1st Quintile,Comp. time,0.41944,291,7716,0.38607,0.4505
319,319,2001,1st Quintile,Some of both,0.18799,136,7716,0.16512,0.21162
320,320,2001,1st Quintile,Paid,0.2621,189,7716,0.23978,0.28442
321,321,2001,1st Quintile,Not compensated,0.13047,89,7716,0.11,0.1494
322,322,2001,2nd Quintile,Comp. time,0.45159,608,7716,0.42695,0.4718
323,323,2001,2nd Quintile,Some of both,0.24155,328,7716,0.22123,0.26277
324,324,2001,2nd Quintile,Paid,0.19889,275,7716,0.18076,0.21694
325,325,2001,2nd Quintile,Not compensated,0.10798,144,7716,0.09477,0.12001
326,326,2001,3rd Quintile,Comp. time,0.46991,811,7716,0.44905,0.49062
327,327,2001,3rd Quintile,Some of both,0.22523,403,7716,0.21187,0.24019
328,328,2001,3rd Quintile,Paid,0.18654,309,7716,0.17024,0.20273
329,329,2001,3rd Quintile,Not compensated,0.11832,216,7716,0.1076,0.12956
330,330,2001,4th Quintile,Comp. time,0.48474,961,7716,0.46606,0.50625
331,331,2001,4th Quintile,Some of both,0.21886,431,7716,0.20395,0.23585
332,332,2001,4th Quintile,Paid,0.14859,278,7716,0.13753,0.1606
333,333,2001,4th Quintile,Not compensated,0.14782,301,7716,0.1398,0.15895
334,334,2001,5th Quintile,Comp. time,0.44356,842,7716,0.4251,0.46248
335,335,2001,5th Quintile,Some of both,0.20996,406,7716,0.19529,0.22548
336,336,2001,5th Quintile,Paid,0.08635,177,7716,0.07967,0.09409
337,337,2001,5th Quintile,Not compensated,0.26013,521,7716,0.2457,0.27359
338,338,2002,1st Quintile,Comp. time,0.42338,238,7029,0.38806,0.46046
339,339,2002,1st Quintile,Some of both,0.17562,111,7029,0.15121,0.19881
340,340,2002,1st Quintile,Paid,0.23786,121,7029,0.20785,0.26911
341,341,2002,1st Quintile,Not compensated,0.16314,81,7029,0.13737,0.18646
342,342,2002,2nd Quintile,Comp. time,0.44234,466,7029,0.41299,0.47043
343,343,2002,2nd Quintile,Some of both,0.23256,260,7029,0.20751,0.25839
344,344,2002,2nd Quintile,Paid,0.20248,212,7029,0.18051,0.22309
345,345,2002,2nd Quintile,Not compensated,0.12263,121,7029,0.10383,0.13829
346,346,2002,3rd Quintile,Comp. time,0.49957,680,7029,0.46993,0.53051
347,347,2002,3rd Quintile,Some of both,0.23388,340,7029,0.21839,0.24968
348,348,2002,3rd Quintile,Paid,0.15893,223,7029,0.14503,0.17271
349,349,2002,3rd Quintile,Not compensated,0.10763,162,7029,0.09588,0.12025
