year,sampreg,sex,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,West,female,Comp. time,0.11954,681,1396,0.10251,0.13656
1994,West,female,Some of both,0.03268,205,1396,0.02335,0.04201
1994,West,female,Paid,0.05493,350,1396,0.04297,0.06688
1994,West,female,Not compensated,0.03192,160,1396,0.02269,0.04114
1994,East,male,Comp. time,0.10580,271,923,0.08595,0.12565
1994,East,male,Some of both,0.08289,195,923,0.06510,0.10069
1994,East,male,Paid,0.12191,286,923,0.10079,0.14303
1994,East,male,Not compensated,0.07035,171,923,0.05385,0.08686
1994,East,female,Comp. time,0.12981,368,714,0.10514,0.15448
1994,East,female,Some of both,0.03497,98,714,0.02149,0.04846
1994,East,female,Paid,0.03636,97,714,0.02262,0.05010
1994,East,female,Not compensated,0.05096,151,714,0.03482,0.06710
1995,West,male,Comp. time,0.11078,613,2353,0.09810,0.12347
1995,West,male,Some of both,0.07532,444,2353,0.06466,0.08599
1995,West,male,Paid,0.13267,943,2353,0.11896,0.14638
1995,West,male,Not compensated,0.06933,353,2353,0.05907,0.07960
1995,West,female,Comp. time,0.12072,747,1523,0.10436,0.13709
1995,West,female,Some of both,0.03406,231,1523,0.02495,0.04317
1995,West,female,Paid,0.05238,360,1523,0.04119,0.06358
1995,West,female,Not compensated,0.03421,185,1523,0.02507,0.04334
1995,East,male,Comp. time,0.11535,283,917,0.09466,0.13604
1995,East,male,Some of both,0.08617,203,917,0.06799,0.10434
1995,East,male,Paid,0.12187,277,917,0.10068,0.14305
1995,East,male,Not compensated,0.06652,154,917,0.05039,0.08266
1995,East,female,Comp. time,0.13763,391,723,0.11250,0.16277
1995,East,female,Some of both,0.03863,114,723,0.02457,0.05269
1995,East,female,Paid,0.03249,93,723,0.01956,0.04542
1995,East,female,Not compensated,0.04512,125,723,0.02998,0.06026
1996,West,male,Comp. time,0.13286,748,2288,0.11895,0.14677
1996,West,male,Some of both,0.06771,413,2288,0.05741,0.07800
1996,West,male,Paid,0.11717,803,2288,0.10399,0.13035
1996,West,male,Not compensated,0.06407,324,2288,0.05403,0.07410
1996,West,female,Comp. time,0.12717,779,1473,0.11015,0.14419
1996,West,female,Some of both,0.03591,200,1473,0.02641,0.04542
1996,West,female,Paid,0.04663,317,1473,0.03586,0.05740
1996,West,female,Not compensated,0.03165,177,1473,0.02271,0.04060
1996,East,male,Comp. time,0.11997,291,885,0.09855,0.14139
1996,East,male,Some of both,0.07443,176,885,0.05713,0.09173
1996,East,male,Paid,0.11266,262,885,0.09182,0.13350
1996,East,male,Not compensated,0.06711,156,885,0.05061,0.08360
1996,East,female,Comp. time,0.13781,386,696,0.11219,0.16344
1996,East,female,Some of both,0.03114,89,696,0.01823,0.04406
1996,East,female,Paid,0.03179,84,696,0.01875,0.04484
1996,East,female,Not compensated,0.05020,137,696,0.03396,0.06643
1997,West,male,Comp. time,0.12110,675,1969,0.10668,0.13551
1997,West,male,Some of both,0.07731,471,1969,0.06551,0.08911
1997,West,male,Paid,0.07044,490,1969,0.05913,0.08175
1997,West,male,Not compensated,0.07120,333,1969,0.05984,0.08256
1997,West,female,Comp. time,0.11269,679,1201,0.09480,0.13058
1997,West,female,Some of both,0.03212,180,1201,0.02214,0.04209
1997,West,female,Paid,0.02503,176,1201,0.01619,0.03387
1997,West,female,Not compensated,0.02919,166,1201,0.01967,0.03871
1997,East,male,Comp. time,0.12473,286,805,0.10189,0.14757
1997,East,male,Some of both,0.08971,211,805,0.06996,0.10947
1997,East,male,Paid,0.06573,153,805,0.04860,0.08286
1997,East,male,Not compensated,0.06857,155,805,0.05110,0.08603
1997,East,female,Comp. time,0.12204,320,611,0.09606,0.14801
1997,East,female,Some of both,0.03903,111,611,0.02366,0.05439
1997,East,female,Paid,0.02079,55,611,0.00947,0.03211
1997,East,female,Not compensated,0.04988,125,611,0.03261,0.06716
1998,West,male,Comp. time,0.12850,806,2161,0.11439,0.14262
1998,West,male,Some of both,0.07067,491,2161,0.05986,0.08148
1998,West,male,Paid,0.06706,475,2161,0.05651,0.07760
1998,West,male,Not compensated,0.06718,389,2161,0.05662,0.07773
1998,West,female,Comp. time,0.10601,723,1336,0.08949,0.12252
1998,West,female,Some of both,0.03545,240,1336,0.02553,0.04537
1998,West,female,Paid,0.02522,187,1336,0.01681,0.03363
1998,West,female,Not compensated,0.02789,186,1336,0.01905,0.03672
1998,East,male,Comp. time,0.12630,309,854,0.10401,0.14859
1998,East,male,Some of both,0.09632,233,854,0.07652,0.11612
1998,East,male,Paid,0.06294,156,854,0.04664,0.07923
1998,East,male,Not compensated,0.06271,156,854,0.04644,0.07897
1998,East,female,Comp. time,0.13312,376,666,0.10730,0.15894
1998,East,female,Some of both,0.04336,117,666,0.02788,0.05884
1998,East,female,Paid,0.01907,54,666,0.00868,0.02947
1998,East,female,Not compensated,0.04212,119,666,0.02685,0.05738
1999,West,male,Comp. time,0.12685,766,2113,0.11266,0.14105
1999,West,male,Some of both,0.07397,500,2113,0.06281,0.08513
1999,West,male,Paid,0.06419,472,2113,0.05374,0.07465
1999,West,male,Not compensated,0.06635,375,2113,0.05573,0.07696
1999,West,female,Comp. time,0.11742,740,1327,0.10009,0.13474
1999,West,female,Some of both,0.03339,227,1327,0.02372,0.04306
1999,West,female,Paid,0.02221,169,1327,0.01428,0.03015
1999,West,female,Not compensated,0.03032,191,1327,0.02109,0.03955
1999,East,male,Comp. time,0.13507,319,856,0.11216,0.15798
1999,East,male,Some of both,0.10554,234,856,0.08495,0.12614
1999,East,male,Paid,0.05709,144,856,0.04154,0.07265
1999,East,male,Not compensated,0.06187,159,856,0.04572,0.07801
1999,East,female,Comp. time,0.13347,374,654,0.10738,0.15955
1999,East,female,Some of both,0.04183,106,654,0.02647,0.05719
1999,East,female,Paid,0.02124,61,654,0.01018,0.03230
1999,East,female,Not compensated,0.04230,113,654,0.02686,0.05774
2000,West,male,Comp. time,0.13757,1496,3823,0.12665,0.14850
2000,West,male,Some of both,0.07869,887,3823,0.07015,0.08723
2000,West,male,Paid,0.06464,740,3823,0.05684,0.07243
2000,West,male,Not compensated,0.06334,700,3823,0.05562,0.07106
2000,West,female,Comp. time,0.11871,1371,2349,0.10563,0.13180
2000,West,female,Some of both,0.03201,379,2349,0.02489,0.03913
2000,West,female,Paid,0.02414,290,2349,0.01793,0.03034
2000,West,female,Not compensated,0.02645,309,2349,0.01996,0.03294
2000,East,male,Comp. time,0.13106,470,1169,0.11170,0.15041
2000,East,male,Some of both,0.08780,296,1169,0.07157,0.10403
2000,East,male,Paid,0.05231,189,1169,0.03954,0.06507
2000,East,male,Not compensated,0.05495,214,1169,0.04188,0.06802
2000,East,female,Comp. time,0.13305,551,923,0.11113,0.15497
2000,East,female,Some of both,0.03645,137,923,0.02436,0.04855
2000,East,female,Paid,0.02134,87,923,0.01201,0.03067
2000,East,female,Not compensated,0.03444,148,923,0.02267,0.04621
2001,West,male,Comp. time,0.13123,1291,3463,0.11998,0.14248
2001,West,male,Some of both,0.08248,856,3463,0.07331,0.09164
2001,West,male,Paid,0.06357,666,3463,0.05545,0.07170
2001,West,male,Not compensated,0.06361,650,3463,0.05548,0.07174
2001,West,female,Comp. time,0.11797,1254,2267,0.10468,0.13125
2001,West,female,Some of both,0.03753,406,2267,0.02971,0.04536
2001,West,female,Paid,0.02778,300,2267,0.02102,0.03455
2001,West,female,Not compensated,0.02868,307,2267,0.02181,0.03555
2001,East,male,Comp. time,0.13361,439,1080,0.11331,0.15391
2001,East,male,Some of both,0.08918,286,1080,0.07218,0.10619
2001,East,male,Paid,0.05317,177,1080,0.03978,0.06655
2001,East,male,Not compensated,0.04836,178,1080,0.03556,0.06116
2001,East,female,Comp. time,0.14276,529,906,0.11997,0.16555
2001,East,female,Some of both,0.04169,156,906,0.02867,0.05472
2001,East,female,Paid,0.02516,85,906,0.01496,0.03537
2001,East,female,Not compensated,0.03563,136,906,0.02355,0.04771
2002,West,male,Comp. time,0.12858,1303,3568,0.11759,0.13956
2002,West,male,Some of both,0.07496,831,3568,0.06632,0.08360
2002,West,male,Paid,0.05285,538,3568,0.04550,0.06019
2002,West,male,Not compensated,0.06386,896,3568,0.05584,0.07189
2002,West,female,Comp. time,0.11519,1351,2428,0.10248,0.12789
2002,West,female,Some of both,0.03249,404,2428,0.02544,0.03955
2002,West,female,Paid,0.02104,249,2428,0.01533,0.02675
2002,West,female,Not compensated,0.03106,424,2428,0.02415,0.03796
2002,East,male,Comp. time,0.13206,433,1062,0.11169,0.15243
2002,East,male,Some of both,0.08613,285,1062,0.06925,0.10301
2002,East,male,Paid,0.04068,137,1062,0.02879,0.05257
2002,East,male,Not compensated,0.04640,207,1062,0.03375,0.05906
2002,East,female,Comp. time,0.14306,535,900,0.12017,0.16595
2002,East,female,Some of both,0.03461,137,900,0.02266,0.04655
2002,East,female,Paid,0.01872,66,900,0.00986,0.02757
2002,East,female,Not compensated,0.03702,162,900,0.02468,0.04936
2003,West,male,Comp. time,0.13510,1289,3290,0.12342,0.14679
2003,West,male,Some of both,0.06850,723,3290,0.05986,0.07713
2003,West,male,Paid,0.04929,477,3290,0.04189,0.05669
2003,West,male,Not compensated,0.06296,801,3290,0.05466,0.07126
2003,West,female,Comp. time,0.12225,1361,2413,0.10918,0.13532
2003,West,female,Some of both,0.03382,405,2413,0.02661,0.04104
2003,West,female,Paid,0.02121,229,2413,0.01546,0.02696
2003,West,female,Not compensated,0.02995,418,2413,0.02315,0.03676
2003,East,male,Comp. time,0.14006,429,971,0.11822,0.16190
2003,East,male,Some of both,0.07282,239,971,0.05647,0.08918
2003,East,male,Paid,0.03593,121,971,0.02422,0.04765
2003,East,male,Not compensated,0.04217,182,971,0.02952,0.05482
2003,East,female,Comp. time,0.15062,542,874,0.12690,0.17435
2003,East,female,Some of both,0.03379,119,874,0.02180,0.04577
2003,East,female,Paid,0.02146,70,874,0.01185,0.03108
2003,East,female,Not compensated,0.02960,143,874,0.01836,0.04084
2004,West,male,Comp. time,0.13517,1257,3186,0.12330,0.14705
2004,West,male,Some of both,0.06283,662,3186,0.05440,0.07125
2004,West,male,Paid,0.04691,414,3186,0.03956,0.05425
2004,West,male,Not compensated,0.07053,853,3186,0.06163,0.07942
2004,West,female,Comp. time,0.12024,1301,2292,0.10692,0.13356
2004,West,female,Some of both,0.03285,341,2292,0.02556,0.04015
2004,West,female,Paid,0.01980,217,2292,0.01409,0.02550
2004,West,female,Not compensated,0.03251,433,2292,0.02525,0.03977
2004,East,male,Comp. time,0.12749,404,945,0.10621,0.14877
2004,East,male,Some of both,0.07647,241,945,0.05952,0.09343
2004,East,male,Paid,0.03625,118,945,0.02432,0.04817
2004,East,male,Not compensated,0.04804,182,945,0.03439,0.06168
2004,East,female,Comp. time,0.14344,522,860,0.12000,0.16688
2004,East,female,Some of both,0.03905,147,860,0.02610,0.05201
2004,East,female,Paid,0.01608,58,860,0.00767,0.02449
2004,East,female,Not compensated,0.02873,133,860,0.01756,0.03990
2005,West,male,Comp. time,0.13379,1210,2919,0.12143,0.14614
2005,West,male,Some of both,0.07447,667,2919,0.06494,0.08399
2005,West,male,Paid,0.03755,337,2919,0.03065,0.04444
2005,West,male,Not compensated,0.06536,705,2919,0.05639,0.07432
2005,West,female,Comp. time,0.12886,1299,2177,0.11479,0.14294
2005,West,female,Some of both,0.03202,321,2177,0.02462,0.03942
2005,West,female,Paid,0.01997,188,2177,0.01409,0.02585
2005,West,female,Not compensated,0.03150,369,2177,0.02416,0.03884
2005,East,male,Comp. time,0.14043,403,898,0.11769,0.16316
2005,East,male,Some of both,0.07286,228,898,0.05585,0.08987
2005,East,male,Paid,0.03706,102,898,0.02470,0.04943
2005,East,male,Not compensated,0.04508,165,898,0.03150,0.05866
2005,East,female,Comp. time,0.13770,468,785,0.11358,0.16182
2005,East,female,Some of both,0.03535,121,785,0.02242,0.04828
2005,East,female,Paid,0.02464,62,785,0.01379,0.03550
2005,East,female,Not compensated,0.02853,134,785,0.01688,0.04018
2006,West,male,Comp. time,0.14352,1341,3163,0.13130,0.15574
2006,West,male,Some of both,0.06720,636,3163,0.05847,0.07592
2006,West,male,Paid,0.04473,385,3163,0.03752,0.05193
2006,West,male,Not compensated,0.07109,801,3163,0.06213,0.08004
2006,West,female,Comp. time,0.13083,1446,2513,0.11764,0.14402
2006,West,female,Some of both,0.03432,386,2513,0.02720,0.04144
2006,West,female,Paid,0.02238,227,2513,0.01660,0.02817
2006,West,female,Not compensated,0.03934,454,2513,0.03174,0.04695
2006,East,male,Comp. time,0.13243,419,930,0.11063,0.15422
2006,East,male,Some of both,0.07983,229,930,0.06240,0.09726
2006,East,male,Paid,0.03352,81,930,0.02195,0.04509
2006,East,male,Not compensated,0.05915,201,930,0.04398,0.07432
2006,East,female,Comp. time,0.14116,523,889,0.11826,0.16406
2006,East,female,Some of both,0.04123,138,889,0.02815,0.05431
2006,East,female,Paid,0.02224,69,889,0.01254,0.03194
2006,East,female,Not compensated,0.03429,159,889,0.02232,0.04626
2007,West,male,Comp. time,0.13846,1198,2922,0.12593,0.15098
2007,West,male,Some of both,0.07282,637,2922,0.06340,0.08224
2007,West,male,Paid,0.03979,323,2922,0.03270,0.04688
2007,West,male,Not compensated,0.07392,764,2922,0.06443,0.08341
2007,West,female,Comp. time,0.13048,1319,2244,0.11654,0.14441
2007,West,female,Some of both,0.03722,366,2244,0.02938,0.04505
2007,West,female,Paid,0.01801,173,2244,0.01251,0.02352
2007,West,female,Not compensated,0.03562,386,2244,0.02795,0.04329
2007,East,male,Comp. time,0.13456,404,912,0.11240,0.15672
2007,East,male,Some of both,0.09184,237,912,0.07308,0.11059
2007,East,male,Paid,0.02922,85,912,0.01828,0.04016
2007,East,male,Not compensated,0.05042,186,912,0.03621,0.06463
2007,East,female,Comp. time,0.15889,524,866,0.13453,0.18325
2007,East,female,Some of both,0.04291,130,866,0.02941,0.05642
2007,East,female,Paid,0.01798,54,866,0.00913,0.02684
2007,East,female,Not compensated,0.03923,158,866,0.02629,0.05217
2008,West,male,Comp. time,0.14700,1159,2824,0.13394,0.16006
2008,West,male,Some of both,0.07698,602,2824,0.06715,0.08681
2008,West,male,Paid,0.04680,343,2824,0.03901,0.05459
2008,West,male,Not compensated,0.07244,720,2824,0.06288,0.08200
2008,West,female,Comp. time,0.13686,1285,2298,0.12280,0.15091
2008,West,female,Some of both,0.04232,399,2298,0.03409,0.05056
2008,West,female,Paid,0.01945,186,2298,0.01380,0.02510
2008,West,female,Not compensated,0.04368,428,2298,0.03532,0.05203
2008,East,male,Comp. time,0.15090,385,886,0.12732,0.17449
2008,East,male,Some of both,0.08845,219,886,0.06975,0.10716
2008,East,male,Paid,0.03597,104,886,0.02370,0.04824
2008,East,male,Not compensated,0.05463,178,886,0.03966,0.06960
2008,East,female,Comp. time,0.15970,492,843,0.13496,0.18445
2008,East,female,Some of both,0.05775,146,843,0.04199,0.07350
2008,East,female,Paid,0.01941,57,843,0.01009,0.02873
2008,East,female,Not compensated,0.03698,148,843,0.02423,0.04972
2009,West,male,Comp. time,0.13885,1027,2463,0.12520,0.15251
2009,West,male,Some of both,0.07760,523,2463,0.06704,0.08817
2009,West,male,Paid,0.04118,271,2463,0.03333,0.04903
2009,West,male,Not compensated,0.07334,642,2463,0.06304,0.08364
2009,West,female,Comp. time,0.13395,1133,2043,0.11918,0.14873
2009,West,female,Some of both,0.04191,360,2043,0.03322,0.05060
2009,West,female,Paid,0.02330,174,2043,0.01676,0.02984
2009,West,female,Not compensated,0.04082,376,2043,0.03224,0.04941
2009,East,male,Comp. time,0.15844,372,798,0.13309,0.18379
2009,East,male,Some of both,0.07528,192,798,0.05696,0.09360
2009,East,male,Paid,0.02321,79,798,0.01276,0.03366
2009,East,male,Not compensated,0.04353,155,798,0.02937,0.05770
2009,East,female,Comp. time,0.14942,444,770,0.12422,0.17462
2009,East,female,Some of both,0.06843,147,770,0.05058,0.08627
2009,East,female,Paid,0.01868,64,770,0.00911,0.02825
2009,East,female,Not compensated,0.03461,115,770,0.02169,0.04753
2010,West,male,Comp. time,0.14479,1538,3616,0.13331,0.15626
2010,West,male,Some of both,0.06879,755,3616,0.06054,0.07705
2010,West,male,Paid,0.04132,478,3616,0.03483,0.04781
2010,West,male,Not compensated,0.07043,845,3616,0.06208,0.07877
2010,West,female,Comp. time,0.15283,1709,2883,0.13969,0.16597
2010,West,female,Some of both,0.03893,432,2883,0.03187,0.04599
2010,West,female,Paid,0.02393,285,2883,0.01835,0.02950
2010,West,female,Not compensated,0.04286,457,2883,0.03547,0.05026
2010,East,male,Comp. time,0.16799,461,998,0.14479,0.19120
2010,East,male,Some of both,0.07772,242,998,0.06110,0.09434
2010,East,male,Paid,0.02997,116,998,0.01939,0.04056
2010,East,male,Not compensated,0.04772,179,998,0.03449,0.06096
2010,East,female,Comp. time,0.16783,556,934,0.14385,0.19182
2010,East,female,Some of both,0.04697,147,934,0.03340,0.06055
2010,East,female,Paid,0.02123,83,934,0.01198,0.03048
2010,East,female,Not compensated,0.04391,148,934,0.03076,0.05706
2011,West,male,Comp. time,0.13697,1731,4248,0.12663,0.14731
2011,West,male,Some of both,0.07259,931,4248,0.06479,0.08040
2011,West,male,Paid,0.04976,590,4248,0.04322,0.05630
2011,West,male,Not compensated,0.07216,996,4248,0.06438,0.07995
2011,West,female,Comp. time,0.14602,2082,3619,0.13451,0.15753
2011,West,female,Some of both,0.04185,574,3619,0.03532,0.04837
2011,West,female,Paid,0.02380,400,3619,0.01884,0.02877
2011,West,female,Not compensated,0.04261,563,3619,0.03603,0.04920
2011,East,male,Comp. time,0.16338,525,1149,0.14200,0.18477
2011,East,male,Some of both,0.07908,264,1149,0.06347,0.09469
2011,East,male,Paid,0.03605,147,1149,0.02527,0.04683
2011,East,male,Not compensated,0.05538,213,1149,0.04215,0.06861
2011,East,female,Comp. time,0.16486,674,1123,0.14315,0.18657
2011,East,female,Some of both,0.03922,160,1123,0.02786,0.05058
2011,East,female,Paid,0.02508,105,1123,0.01593,0.03422
2011,East,female,Not compensated,0.04518,184,1123,0.03303,0.05734
2012,West,male,Comp. time,0.15217,1837,4263,0.14139,0.16296
2012,West,male,Some of both,0.08305,939,4263,0.07477,0.09134
2012,West,male,Paid,0.04550,572,4263,0.03925,0.05176
2012,West,male,Not compensated,0.06770,915,4263,0.06016,0.07524
2012,West,female,Comp. time,0.15537,2231,3849,0.14392,0.16682
2012,West,female,Some of both,0.04433,627,3849,0.03783,0.05084
2012,West,female,Paid,0.02824,421,3849,0.02300,0.03347
2012,West,female,Not compensated,0.03891,570,3849,0.03280,0.04502
2012,East,male,Comp. time,0.17087,538,1122,0.14884,0.19291
2012,East,male,Some of both,0.08817,288,1122,0.07157,0.10477
2012,East,male,Paid,0.03331,118,1122,0.02281,0.04382
2012,East,male,Not compensated,0.04658,178,1122,0.03424,0.05891
2012,East,female,Comp. time,0.17201,693,1140,0.15009,0.19392
2012,East,female,Some of both,0.04343,204,1140,0.03159,0.05527
2012,East,female,Paid,0.02005,98,1140,0.01191,0.02819
2012,East,female,Not compensated,0.03874,145,1140,0.02754,0.04995
2013,West,male,Comp. time,0.14528,2048,4726,0.13523,0.15533
2013,West,male,Some of both,0.07830,1102,4726,0.07064,0.08596
2013,West,male,Paid,0.04246,643,4726,0.03671,0.04821
2013,West,male,Not compensated,0.06599,933,4726,0.05891,0.07307
2013,West,female,Comp. time,0.14708,2373,4132,0.13628,0.15789
2013,West,female,Some of both,0.04284,685,4132,0.03666,0.04901
2013,West,female,Paid,0.02607,517,4132,0.02121,0.03093
2013,West,female,Not compensated,0.03602,557,4132,0.03034,0.04170
2013,East,male,Comp. time,0.16136,513,1063,0.13924,0.18349
2013,East,male,Some of both,0.07956,245,1063,0.06328,0.09584
2013,East,male,Paid,0.03471,131,1063,0.02370,0.04572
2013,East,male,Not compensated,0.04312,174,1063,0.03091,0.05534
2013,East,female,Comp. time,0.16554,664,1106,0.14363,0.18745
2013,East,female,Some of both,0.04681,173,1106,0.03435,0.05926
2013,East,female,Paid,0.02693,109,1106,0.01738,0.03647
2013,East,female,Not compensated,0.04021,160,1106,0.02863,0.05179
2014,West,male,Comp. time,0.15161,1810,4168,0.14072,0.16250
2014,West,male,Some of both,0.08072,992,4168,0.07245,0.08899
2014,West,male,Paid,0.04432,564,4168,0.03807,0.05057
2014,West,male,Not compensated,0.05969,802,4168,0.05250,0.06688
2014,West,female,Comp. time,0.15240,2218,3881,0.14109,0.16371
2014,West,female,Some of both,0.05175,717,3881,0.04478,0.05872
2014,West,female,Paid,0.02568,438,3881,0.02070,0.03066
2014,West,female,Not compensated,0.03946,508,3881,0.03333,0.04558
2014,East,male,Comp. time,0.15767,453,996,0.13502,0.18031
2014,East,male,Some of both,0.09094,276,996,0.07308,0.10881
