year,bula_h,pgisced97,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.04136,39,411,0.02208,0.06063
1984,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.19174,198,411,0.15363,0.22985
1984,Baden-Wuerttemberg,Upper Secondary Level,Not compensated,0.09075,78,411,0.06295,0.11856
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not compensated,0.34947,41,41,0.20171,0.49724
1984,Bavaria,Lower Secondary Level,Comp. time,0.07099,45,107,0.02210,0.11988
1984,Bavaria,Lower Secondary Level,Paid,0.07301,62,107,0.02348,0.12254
1984,Bavaria,Upper Secondary Level,Comp. time,0.13593,143,429,0.10346,0.16840
1984,Bavaria,Upper Secondary Level,Some of both,0.04843,55,429,0.02809,0.06877
1984,Bavaria,Upper Secondary Level,Paid,0.12129,143,429,0.09036,0.15222
1984,Bavaria,Upper Secondary Level,Not compensated,0.08723,88,429,0.06050,0.11396
1984,Bavaria,Second Stage of Tertiary Education,Not compensated,0.23657,35,35,0.09372,0.37942
1984,Berlin,Upper Secondary Level,Comp. time,0.18541,35,69,0.09304,0.27779
1984,Berlin,Upper Secondary Level,Paid,0.15325,34,69,0.06763,0.23888
1985,Schleswig-Holstein,Upper Secondary Level,Paid,0.19440,40,40,0.07019,0.31860
1985,Lower Saxony,Upper Secondary Level,Comp. time,0.12568,70,187,0.07804,0.17332
1985,Lower Saxony,Upper Secondary Level,Paid,0.12544,73,187,0.07784,0.17304
1985,Lower Saxony,Upper Secondary Level,Not compensated,0.07643,44,187,0.03825,0.11461
1985,North Rhine-Westphalia,Primary Level,Paid,0.17007,51,51,0.06593,0.27420
1985,North Rhine-Westphalia,Lower Secondary Level,Comp. time,0.04577,32,142,0.01127,0.08027
1985,North Rhine-Westphalia,Lower Secondary Level,Paid,0.09705,110,142,0.04819,0.14591
1985,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.09780,134,513,0.07207,0.12353
1985,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.03615,54,513,0.01998,0.05231
1985,North Rhine-Westphalia,Upper Secondary Level,Paid,0.13469,221,513,0.10512,0.16426
1985,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.07651,104,513,0.05349,0.09953
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.34121,75,75,0.23319,0.44924
1985,Hesse,Lower Secondary Level,Paid,0.06723,36,36,-0.01573,0.15020
1985,Hesse,Upper Secondary Level,Comp. time,0.12876,59,178,0.07942,0.17811
1985,Hesse,Upper Secondary Level,Paid,0.12287,76,178,0.07451,0.17124
1985,Hesse,Upper Secondary Level,Not compensated,0.08903,43,178,0.04708,0.13099
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.08997,31,85,0.02878,0.15116
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.14285,54,85,0.06802,0.21768
1985,Baden-Wuerttemberg,Primary Level,Paid,0.15102,35,35,0.03066,0.27138
1985,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.10417,81,81,0.03723,0.17111
1985,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.10161,83,375,0.07099,0.13223
1985,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.05046,42,375,0.02828,0.07265
1985,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.17574,173,375,0.13717,0.21432
1985,Baden-Wuerttemberg,Upper Secondary Level,Not compensated,0.09367,77,375,0.06414,0.12320
1985,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not compensated,0.36933,42,42,0.22160,0.51706
1985,Bavaria,Lower Secondary Level,Comp. time,0.06855,38,98,0.01826,0.11883
1985,Bavaria,Lower Secondary Level,Paid,0.08165,60,98,0.02716,0.13615
1985,Bavaria,Upper Secondary Level,Comp. time,0.11760,115,388,0.08551,0.14970
1985,Bavaria,Upper Secondary Level,Some of both,0.05012,50,388,0.02838,0.07186
1985,Bavaria,Upper Secondary Level,Paid,0.11713,126,388,0.08509,0.14917
1985,Bavaria,Upper Secondary Level,Not compensated,0.10426,97,388,0.07381,0.13470
1985,Bavaria,Second Stage of Tertiary Education,Not compensated,0.26866,40,40,0.12954,0.40778
1986,Schleswig-Holstein,Upper Secondary Level,Paid,0.18133,35,35,0.05182,0.31084
1986,Lower Saxony,Upper Secondary Level,Comp. time,0.14903,83,172,0.09566,0.20241
1986,Lower Saxony,Upper Secondary Level,Paid,0.15224,89,172,0.09839,0.20608
1986,North Rhine-Westphalia,Primary Level,Paid,0.19810,51,51,0.08762,0.30857
1986,North Rhine-Westphalia,Lower Secondary Level,Paid,0.08584,93,93,0.02860,0.14308
1986,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.09914,136,493,0.07274,0.12555
1986,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.03574,55,493,0.01934,0.05215
1986,North Rhine-Westphalia,Upper Secondary Level,Paid,0.13763,223,493,0.10719,0.16807
1986,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.05998,79,493,0.03900,0.08096
1986,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.25590,56,56,0.14057,0.37122
1986,Hesse,Lower Secondary Level,Paid,0.08331,37,37,-0.00697,0.17358
1986,Hesse,Upper Secondary Level,Comp. time,0.13837,58,134,0.07969,0.19706
1986,Hesse,Upper Secondary Level,Paid,0.13651,76,134,0.07816,0.19486
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.09291,34,100,0.03573,0.15010
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.16835,66,100,0.09464,0.24206
1986,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.12834,111,111,0.06583,0.19084
1986,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.10717,88,342,0.07433,0.14000
1986,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.04907,40,342,0.02614,0.07200
1986,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.16305,167,342,0.12384,0.20226
1986,Baden-Wuerttemberg,Upper Secondary Level,Not compensated,0.06334,47,342,0.03748,0.08919
1986,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not compensated,0.32241,34,34,0.16293,0.48188
1986,Bavaria,Lower Secondary Level,Comp. time,0.07392,42,89,0.01926,0.12859
1986,Bavaria,Lower Secondary Level,Paid,0.07927,47,89,0.02283,0.13572
1986,Bavaria,Upper Secondary Level,Comp. time,0.15030,139,346,0.11259,0.18801
1986,Bavaria,Upper Secondary Level,Some of both,0.04859,48,346,0.02590,0.07128
1986,Bavaria,Upper Secondary Level,Paid,0.10189,103,346,0.06997,0.13381
1986,Bavaria,Upper Secondary Level,Not compensated,0.05864,56,346,0.03385,0.08343
1986,Bavaria,Second Stage of Tertiary Education,Not compensated,0.23712,32,32,0.08739,0.38684
1988,Schleswig-Holstein,Upper Secondary Level,Comp. time,0.18210,34,67,0.08899,0.27521
1988,Schleswig-Holstein,Upper Secondary Level,Paid,0.14981,33,67,0.06370,0.23591
1988,Lower Saxony,Lower Secondary Level,Paid,0.10319,33,33,-0.00221,0.20859
1988,Lower Saxony,Upper Secondary Level,Comp. time,0.15302,80,186,0.10114,0.20490
1988,Lower Saxony,Upper Secondary Level,Some of both,0.05357,31,186,0.02112,0.08602
1988,Lower Saxony,Upper Secondary Level,Paid,0.12336,75,186,0.07597,0.17075
1988,North Rhine-Westphalia,Primary Level,Paid,0.24188,43,43,0.11237,0.37139
1988,North Rhine-Westphalia,Lower Secondary Level,Comp. time,0.05601,36,144,0.01832,0.09369
1988,North Rhine-Westphalia,Lower Secondary Level,Paid,0.10123,108,144,0.05179,0.15067
1988,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.11419,146,468,0.08534,0.14303
1988,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.03455,42,468,0.01798,0.05111
1988,North Rhine-Westphalia,Upper Secondary Level,Paid,0.14652,222,468,0.11445,0.17859
1988,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.04796,58,468,0.02858,0.06734
1988,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.32472,68,68,0.21259,0.43684
1988,Hesse,Upper Secondary Level,Comp. time,0.12750,55,118,0.06707,0.18794
1988,Hesse,Upper Secondary Level,Paid,0.12341,63,118,0.06381,0.18301
1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.08800,37,97,0.03133,0.14467
1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.16378,60,97,0.08975,0.23780
1988,Baden-Wuerttemberg,Primary Level,Paid,0.15673,37,37,0.03797,0.27549
1988,Baden-Wuerttemberg,Lower Secondary Level,Comp. time,0.06134,33,136,0.02086,0.10182
1988,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.12297,103,136,0.06757,0.17837
1988,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.12505,94,342,0.08994,0.16016
1988,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.05543,44,342,0.03114,0.07972
1988,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.16675,158,342,0.12719,0.20631
1988,Baden-Wuerttemberg,Upper Secondary Level,Not compensated,0.05690,46,342,0.03231,0.08149
1988,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not compensated,0.35594,37,37,0.19953,0.51234
1988,Bavaria,Lower Secondary Level,Comp. time,0.07691,39,98,0.02389,0.12994
1988,Bavaria,Lower Secondary Level,Paid,0.08485,59,98,0.02940,0.14031
1988,Bavaria,Upper Secondary Level,Comp. time,0.14990,132,351,0.11250,0.18729
1988,Bavaria,Upper Secondary Level,Some of both,0.06019,58,351,0.03527,0.08510
1988,Bavaria,Upper Secondary Level,Paid,0.12183,111,351,0.08757,0.15610
1988,Bavaria,Upper Secondary Level,Not compensated,0.06025,50,351,0.03532,0.08518
1989,Schleswig-Holstein,Upper Secondary Level,Comp. time,0.21746,38,38,0.08454,0.35038
1989,Lower Saxony,Lower Secondary Level,Paid,0.11446,37,37,0.01046,0.21846
1989,Lower Saxony,Upper Secondary Level,Comp. time,0.17676,91,207,0.12467,0.22885
1989,Lower Saxony,Upper Secondary Level,Some of both,0.06348,34,207,0.03018,0.09677
1989,Lower Saxony,Upper Secondary Level,Paid,0.14108,82,207,0.09354,0.18862
1989,North Rhine-Westphalia,Primary Level,Paid,0.25448,50,50,0.13252,0.37644
1989,North Rhine-Westphalia,Lower Secondary Level,Comp. time,0.05560,31,145,0.01817,0.09303
1989,North Rhine-Westphalia,Lower Secondary Level,Paid,0.11778,114,145,0.06513,0.17043
1989,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.12381,151,525,0.09561,0.15201
1989,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.04870,62,525,0.03027,0.06713
1989,North Rhine-Westphalia,Upper Secondary Level,Paid,0.16646,241,525,0.13456,0.19835
1989,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.06210,71,525,0.04144,0.08277
1989,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.31370,65,65,0.20002,0.42738
1989,Hesse,Lower Secondary Level,Paid,0.07437,31,31,-0.01952,0.16827
1989,Hesse,Upper Secondary Level,Comp. time,0.14149,61,129,0.08111,0.20186
1989,Hesse,Upper Secondary Level,Paid,0.12591,68,129,0.06843,0.18338
1989,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.10681,39,109,0.04856,0.16507
1989,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.21988,70,109,0.14177,0.29799
1989,Baden-Wuerttemberg,Lower Secondary Level,Comp. time,0.07734,40,139,0.03277,0.12191
1989,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.13588,99,139,0.07871,0.19305
1989,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.14169,101,371,0.10616,0.17722
1989,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.08256,61,371,0.05452,0.11060
1989,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.17493,172,371,0.13622,0.21364
1989,Baden-Wuerttemberg,Upper Secondary Level,Not compensated,0.05146,37,371,0.02895,0.07398
1989,Bavaria,Lower Secondary Level,Comp. time,0.07983,35,92,0.02414,0.13551
1989,Bavaria,Lower Secondary Level,Paid,0.07817,57,92,0.02301,0.13332
1989,Bavaria,Upper Secondary Level,Comp. time,0.13014,121,367,0.09567,0.16461
1989,Bavaria,Upper Secondary Level,Some of both,0.06147,51,367,0.03686,0.08608
1989,Bavaria,Upper Secondary Level,Paid,0.15358,141,367,0.11664,0.19052
1989,Bavaria,Upper Secondary Level,Not compensated,0.07439,54,367,0.04750,0.10127
1989,Bavaria,Second Stage of Tertiary Education,Not compensated,0.23020,32,32,0.08201,0.37839
1990,Schleswig-Holstein,Upper Secondary Level,Comp. time,0.18933,33,33,0.05359,0.32507
1990,Lower Saxony,Lower Secondary Level,Paid,0.09242,31,31,-0.01122,0.19606
1990,Lower Saxony,Upper Secondary Level,Comp. time,0.15363,75,186,0.10167,0.20559
1990,Lower Saxony,Upper Secondary Level,Some of both,0.06401,37,186,0.02874,0.09928
1990,Lower Saxony,Upper Secondary Level,Paid,0.12992,74,186,0.08147,0.17837
1990,North Rhine-Westphalia,Primary Level,Paid,0.17081,37,37,0.04787,0.29374
1990,North Rhine-Westphalia,Lower Secondary Level,Comp. time,0.06396,31,144,0.02386,0.10407
1990,North Rhine-Westphalia,Lower Secondary Level,Paid,0.12976,113,144,0.07468,0.18484
1990,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.12218,141,491,0.09318,0.15118
1990,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.03414,49,491,0.01806,0.05021
1990,North Rhine-Westphalia,Upper Secondary Level,Paid,0.17658,234,491,0.14282,0.21035
1990,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.06012,67,491,0.03908,0.08117
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.27025,57,57,0.15394,0.38657
1990,Hesse,Upper Secondary Level,Comp. time,0.13433,64,140,0.07764,0.19102
1990,Hesse,Upper Secondary Level,Paid,0.14203,76,140,0.08400,0.20006
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Paid,0.12041,33,33,0.00765,0.23317
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.15356,47,107,0.08493,0.22219
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.17079,60,107,0.09915,0.24243
1990,Baden-Wuerttemberg,Primary Level,Paid,0.22572,36,36,0.08721,0.36422
1990,Baden-Wuerttemberg,Lower Secondary Level,Comp. time,0.09259,38,147,0.04558,0.13961
1990,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.15902,109,147,0.09970,0.21834
1990,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.14876,109,383,0.11308,0.18445
1990,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.06425,58,383,0.03966,0.08884
1990,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.19869,176,383,0.15868,0.23871
1990,Baden-Wuerttemberg,Upper Secondary Level,Not compensated,0.05567,40,383,0.03267,0.07866
1990,Bavaria,Lower Secondary Level,Comp. time,0.07106,34,101,0.02070,0.12142
1990,Bavaria,Lower Secondary Level,Paid,0.11012,67,101,0.04876,0.17148
1990,Bavaria,Upper Secondary Level,Comp. time,0.18342,147,365,0.14366,0.22318
1990,Bavaria,Upper Secondary Level,Some of both,0.07192,59,365,0.04538,0.09846
1990,Bavaria,Upper Secondary Level,Paid,0.13355,124,365,0.09861,0.16850
1990,Bavaria,Upper Secondary Level,Not compensated,0.04434,35,365,0.02319,0.06548
1990,Berlin,Upper Secondary Level,Comp. time,0.18405,51,100,0.10771,0.26039
1990,Berlin,Upper Secondary Level,Paid,0.14033,49,100,0.07191,0.20875
1990,Berlin,Second Stage of Tertiary Education,Comp. time,0.22905,36,71,0.13061,0.32750
1990,Berlin,Second Stage of Tertiary Education,Not compensated,0.23970,35,71,0.13969,0.33970
1990,Brandenburg,Upper Secondary Level,Comp. time,0.16474,71,234,0.11711,0.21237
1990,Brandenburg,Upper Secondary Level,Some of both,0.09673,37,234,0.05878,0.13469
1990,Brandenburg,Upper Secondary Level,Paid,0.29882,126,234,0.24004,0.35759
1990,Brandenburg,Second Stage of Tertiary Education,Comp. time,0.31564,53,87,0.21741,0.41387
1990,Brandenburg,Second Stage of Tertiary Education,Not compensated,0.19452,34,87,0.11086,0.27818
1990,Mecklenburg-Western Pomerania,Upper Secondary Level,Comp. time,0.20313,63,139,0.13600,0.27026
1990,Mecklenburg-Western Pomerania,Upper Secondary Level,Paid,0.24905,76,139,0.17690,0.32121
1990,Saxony,Upper Secondary Level,Comp. time,0.21847,181,450,0.18025,0.25669
1990,Saxony,Upper Secondary Level,Some of both,0.08318,73,450,0.05764,0.10872
1990,Saxony,Upper Secondary Level,Paid,0.24427,196,450,0.20453,0.28401
1990,Saxony,Second Stage of Tertiary Education,Comp. time,0.31037,95,179,0.24241,0.37834
1990,Saxony,Second Stage of Tertiary Education,Some of both,0.10233,31,179,0.05781,0.14686
1990,Saxony,Second Stage of Tertiary Education,Not compensated,0.17905,53,179,0.12273,0.23538
1990,Saxony-Anhalt,Upper Secondary Level,Comp. time,0.17185,81,256,0.12554,0.21815
1990,Saxony-Anhalt,Upper Secondary Level,Some of both,0.08407,41,256,0.05001,0.11812
1990,Saxony-Anhalt,Upper Secondary Level,Paid,0.27189,134,256,0.21728,0.32650
1990,Saxony-Anhalt,Second Stage of Tertiary Education,Comp. time,0.23605,46,80,0.14241,0.32969
1990,Saxony-Anhalt,Second Stage of Tertiary Education,Not compensated,0.20096,34,80,0.11259,0.28932
1990,Thuringa,Upper Secondary Level,Comp. time,0.16408,86,281,0.12070,0.20746
1990,Thuringa,Upper Secondary Level,Some of both,0.08563,46,281,0.05286,0.11841
1990,Thuringa,Upper Secondary Level,Paid,0.28029,149,281,0.22768,0.33290
1990,Thuringa,Second Stage of Tertiary Education,Comp. time,0.23188,33,33,0.08565,0.37811
1991,Lower Saxony,Lower Secondary Level,Paid,0.12942,42,42,0.02667,0.23217
1991,Lower Saxony,Upper Secondary Level,Comp. time,0.15209,78,208,0.10317,0.20101
1991,Lower Saxony,Upper Secondary Level,Some of both,0.07830,43,208,0.04170,0.11489
1991,Lower Saxony,Upper Secondary Level,Paid,0.16179,87,208,0.11162,0.21195
1991,North Rhine-Westphalia,Primary Level,Paid,0.23890,41,41,0.10676,0.37105
1991,North Rhine-Westphalia,Lower Secondary Level,Comp. time,0.05997,31,142,0.02078,0.09916
1991,North Rhine-Westphalia,Lower Secondary Level,Paid,0.13022,111,142,0.07467,0.18577
1991,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.11058,141,495,0.08293,0.13824
1991,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.04589,55,495,0.02744,0.06434
1991,North Rhine-Westphalia,Upper Secondary Level,Paid,0.17421,231,495,0.14076,0.20766
1991,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.06799,68,495,0.04579,0.09018
1991,North Rhine-Westphalia,Second Stage of Tertiary Education,Comp. time,0.14961,31,86,0.07378,0.22544
1991,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.24636,55,86,0.15476,0.33797
1991,Hesse,Lower Secondary Level,Paid,0.07768,32,32,-0.01654,0.17191
1991,Hesse,Upper Secondary Level,Comp. time,0.16453,79,199,0.11289,0.21617
1991,Hesse,Upper Secondary Level,Some of both,0.09233,47,199,0.05201,0.13265
1991,Hesse,Upper Secondary Level,Paid,0.12155,73,199,0.07604,0.16707
1991,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Paid,0.15799,41,41,0.04496,0.27102
1991,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.14897,48,110,0.08212,0.21581
1991,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.18143,62,110,0.10908,0.25377
1991,Baden-Wuerttemberg,Primary Level,Paid,0.22938,38,38,0.09390,0.36485
1991,Baden-Wuerttemberg,Lower Secondary Level,Comp. time,0.10602,50,162,0.05846,0.15357
1991,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.15632,112,162,0.10022,0.21242
1991,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.13998,110,409,0.10631,0.17365
1991,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.08826,65,409,0.06073,0.11579
1991,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.21991,202,409,0.17972,0.26010
1991,Baden-Wuerttemberg,Upper Secondary Level,Not compensated,0.04004,32,409,0.02102,0.05906
1991,Bavaria,Lower Secondary Level,Comp. time,0.07220,31,97,0.02042,0.12397
1991,Bavaria,Lower Secondary Level,Paid,0.12551,66,97,0.05924,0.19179
1991,Bavaria,Upper Secondary Level,Comp. time,0.18262,152,402,0.14481,0.22044
1991,Bavaria,Upper Secondary Level,Some of both,0.06556,59,402,0.04134,0.08979
1991,Bavaria,Upper Secondary Level,Paid,0.14931,144,402,0.11443,0.18419
1991,Bavaria,Upper Secondary Level,Not compensated,0.06001,47,402,0.03676,0.08326
1991,Berlin,Upper Secondary Level,Comp. time,0.18996,54,92,0.10936,0.27056
1991,Berlin,Upper Secondary Level,Paid,0.15309,38,92,0.07911,0.22707
1991,Berlin,Second Stage of Tertiary Education,Comp. time,0.28429,41,41,0.14450,0.42408
1991,Brandenburg,Upper Secondary Level,Comp. time,0.17229,66,128,0.10661,0.23797
1991,Brandenburg,Upper Secondary Level,Paid,0.14591,62,128,0.08451,0.20731
1991,Brandenburg,Second Stage of Tertiary Education,Comp. time,0.19733,38,74,0.10603,0.28863
1991,Brandenburg,Second Stage of Tertiary Education,Not compensated,0.21151,36,74,0.11783,0.30520
1991,Mecklenburg-Western Pomerania,Upper Secondary Level,Comp. time,0.20530,65,106,0.12804,0.28256
1991,Mecklenburg-Western Pomerania,Upper Secondary Level,Paid,0.15783,41,106,0.08810,0.22757
1991,Saxony,Upper Secondary Level,Comp. time,0.23192,173,304,0.18440,0.27944
1991,Saxony,Upper Secondary Level,Some of both,0.06628,48,304,0.03827,0.09429
1991,Saxony,Upper Secondary Level,Paid,0.10299,83,304,0.06877,0.13721
1991,Saxony,Second Stage of Tertiary Education,Comp. time,0.22231,66,127,0.14971,0.29491
1991,Saxony,Second Stage of Tertiary Education,Not compensated,0.22317,61,127,0.15047,0.29588
1991,Saxony-Anhalt,Upper Secondary Level,Comp. time,0.17517,86,156,0.11533,0.23501
1991,Saxony-Anhalt,Upper Secondary Level,Paid,0.14368,70,156,0.08846,0.19890
1991,Saxony-Anhalt,Second Stage of Tertiary Education,Comp. time,0.26786,54,91,0.17636,0.35935
1991,Saxony-Anhalt,Second Stage of Tertiary Education,Not compensated,0.19475,37,91,0.11293,0.27656
1991,Thuringa,Upper Secondary Level,Comp. time,0.19342,93,160,0.13203,0.25482
1991,Thuringa,Upper Secondary Level,Paid,0.14142,67,160,0.08725,0.19558
1991,Thuringa,Second Stage of Tertiary Education,Comp. time,0.26208,35,35,0.11426,0.40991
1992,Lower Saxony,Lower Secondary Level,Paid,0.12725,41,41,0.02398,0.23053
1992,Lower Saxony,Upper Secondary Level,Comp. time,0.17105,88,203,0.11912,0.22298
1992,Lower Saxony,Upper Secondary Level,Some of both,0.07641,40,203,0.03978,0.11305
1992,Lower Saxony,Upper Secondary Level,Paid,0.13695,75,203,0.08954,0.18437
1992,North Rhine-Westphalia,Primary Level,Paid,0.18759,33,33,0.05233,0.32285
1992,North Rhine-Westphalia,Lower Secondary Level,Paid,0.12881,104,104,0.06412,0.19351
1992,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.11056,141,494,0.08288,0.13825
1992,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.05504,71,494,0.03491,0.07517
1992,North Rhine-Westphalia,Upper Secondary Level,Paid,0.16432,227,494,0.13160,0.19703
1992,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.05651,55,494,0.03612,0.07689
1992,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.27860,61,61,0.16516,0.39204
1992,Hesse,Upper Secondary Level,Comp. time,0.17579,79,178,0.11971,0.23186
1992,Hesse,Upper Secondary Level,Some of both,0.09973,41,178,0.05559,0.14387
1992,Hesse,Upper Secondary Level,Paid,0.11130,58,178,0.06497,0.15763
1992,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.11713,38,100,0.05379,0.18048
1992,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.18222,62,100,0.10618,0.25826
1992,Baden-Wuerttemberg,Primary Level,Paid,0.21347,37,37,0.07961,0.34732
1992,Baden-Wuerttemberg,Lower Secondary Level,Comp. time,0.07714,38,133,0.03162,0.12266
1992,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.15098,95,133,0.08990,0.21206
1992,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.16976,130,369,0.13140,0.20811
1992,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.08901,67,369,0.05991,0.11810
