"plb0195_h","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Nicht abgegolten","1991","Westdeutschland","509","0.161173155841934","0.14958571917871","0.172760592505158"
"Nicht abgegolten","1991","Ostdeutschland","283","0.149267762506769","0.133011837046019","0.165523687967519"
"Abgefeiert","1992","Westdeutschland","1171","0.344121529906451","0.328792928971476","0.359450130841426"
"Abgefeiert","1992","Ostdeutschland","673","0.380548531223864","0.357400534764518","0.40369652768321"
"Teils, teils","1992","Westdeutschland","610","0.167951021879048","0.155889539713281","0.180012504044815"
"Teils, teils","1992","Ostdeutschland","278","0.166894732135881","0.149117014933049","0.184672449338713"
"Bezahlt","1992","Westdeutschland","1432","0.33848349379347","0.323215780423193","0.353751207163746"
"Bezahlt","1992","Ostdeutschland","444","0.275121768308873","0.253830587661297","0.29641294895645"
"Nicht abgegolten","1992","Westdeutschland","477","0.149443954421031","0.137940572173327","0.160947336668735"
"Nicht abgegolten","1992","Ostdeutschland","295","0.177434968331382","0.159220794923918","0.195649141738847"
"Abgefeiert","1993","Westdeutschland","1166","0.338971197126445","0.323527679069249","0.354414715183642"
"Abgefeiert","1993","Ostdeutschland","630","0.378004497031962","0.354586842376253","0.40142215168767"
"Teils, teils","1993","Westdeutschland","607","0.164602115967028","0.152503963808233","0.176700268125824"
"Teils, teils","1993","Ostdeutschland","292","0.173078295111433","0.154807611740136","0.191348978482731"
"Bezahlt","1993","Westdeutschland","1329","0.330276126834761","0.314932037032577","0.345620216636944"
"Bezahlt","1993","Ostdeutschland","429","0.26386765967051","0.242582724929504","0.285152594411516"
"Nicht abgegolten","1993","Westdeutschland","507","0.166150560071766","0.154006906329907","0.178294213813625"
"Nicht abgegolten","1993","Ostdeutschland","296","0.185049548186095","0.16629481420741","0.203804282164779"
"Abgefeiert","1994","Westdeutschland","1276","0.373858069660047","0.357933470886857","0.389782668433237"
"Abgefeiert","1994","Ostdeutschland","639","0.374844405703857","0.351394379675582","0.398294431732131"
"Teils, teils","1994","Westdeutschland","612","0.168937749723706","0.156605030171439","0.181270469275973"
"Teils, teils","1994","Ostdeutschland","293","0.185098455789369","0.166284603954014","0.203912307624723"
"Bezahlt","1994","Westdeutschland","1183","0.299609592283107","0.284532184637511","0.314686999928703"
"Bezahlt","1994","Ostdeutschland","383","0.248221562819167","0.227295456061719","0.269147669576614"
"Nicht abgegolten","1994","Westdeutschland","475","0.157594588333139","0.145602082192935","0.169587094473344"
"Nicht abgegolten","1994","Ostdeutschland","322","0.191835575687608","0.172761733259666","0.21090941811555"
"Abgefeiert","1995","Westdeutschland","1360","0.370231063208898","0.355029674945038","0.385432451472758"
"Abgefeiert","1995","Ostdeutschland","674","0.396460323722246","0.372785925669098","0.420134721775393"
"Teils, teils","1995","Westdeutschland","675","0.173237660382694","0.161323383065344","0.185151937700044"
"Teils, teils","1995","Ostdeutschland","317","0.192839130104154","0.173744827597574","0.211933432610734"
"Bezahlt","1995","Westdeutschland","1303","0.292469981999116","0.278149115668395","0.306790848329836"
"Bezahlt","1995","Ostdeutschland","370","0.237168500026391","0.216582641700723","0.257754358352059"
"Nicht abgegolten","1995","Westdeutschland","538","0.164061294409292","0.152402692027537","0.175719896791047"
"Nicht abgegolten","1995","Ostdeutschland","279","0.173532046147209","0.155203457679764","0.191860634614655"
"Abgefeiert","1996","Westdeutschland","1527","0.419256683348397","0.40348679814975","0.435026568547044"
"Abgefeiert","1996","Ostdeutschland","677","0.415135280421607","0.390846556968719","0.439424003874496"
"Teils, teils","1996","Westdeutschland","613","0.165994346415023","0.15410309476582","0.177885598064225"
"Teils, teils","1996","Ostdeutschland","265","0.167901240265859","0.149476704858483","0.186325775673236"
"Bezahlt","1996","Westdeutschland","1120","0.261542031751688","0.247496762750291","0.275587300753085"
"Bezahlt","1996","Ostdeutschland","346","0.228939519387553","0.208229201655319","0.249649837119787"
"Nicht abgegolten","1996","Westdeutschland","501","0.153206938484893","0.14169564075219","0.164718236217596"
"Nicht abgegolten","1996","Ostdeutschland","293","0.188023959924981","0.168763779079696","0.207284140770265"
"Abgefeiert","1997","Westdeutschland","1354","0.435960981195663","0.418698753342079","0.453223209049246"
