year,quintil_oecd,regtyp,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,4th Quintile,Urban regions,Comp. time,0.14024,209,670,0.11393,0.16656
1990,4th Quintile,Urban regions,Some of both,0.06772,117,670,0.04868,0.08676
1990,4th Quintile,Urban regions,Paid,0.14881,265,670,0.12184,0.17578
1990,4th Quintile,Urban regions,Not compensated,0.05876,79,670,0.04094,0.07658
1990,4th Quintile,Rural regions,Comp. time,0.16804,86,166,0.11099,0.22510
1990,4th Quintile,Rural regions,Paid,0.12420,80,166,0.07388,0.17453
1990,5th Quintile,Urban regions,Comp. time,0.13567,219,712,0.11050,0.16084
1990,5th Quintile,Urban regions,Some of both,0.06070,108,712,0.04315,0.07825
1990,5th Quintile,Urban regions,Paid,0.09410,176,712,0.07263,0.11556
1990,5th Quintile,Urban regions,Not compensated,0.13499,209,712,0.10988,0.16011
1990,5th Quintile,Rural regions,Comp. time,0.14880,54,99,0.07834,0.21926
1990,5th Quintile,Rural regions,Paid,0.11185,45,99,0.04945,0.17426
1991,1st Quintile,Urban regions,Comp. time,0.03421,58,311,0.01397,0.05444
1991,1st Quintile,Urban regions,Some of both,0.02403,51,311,0.00698,0.04108
1991,1st Quintile,Urban regions,Paid,0.07982,202,311,0.04965,0.10999
1991,1st Quintile,Rural regions,Paid,0.08105,52,52,0.00615,0.15596
1991,2nd Quintile,Urban regions,Comp. time,0.06795,134,528,0.04646,0.08944
1991,2nd Quintile,Urban regions,Some of both,0.02848,52,528,0.01428,0.04268
1991,2nd Quintile,Urban regions,Paid,0.12006,305,528,0.09231,0.14782
1991,2nd Quintile,Urban regions,Not compensated,0.02402,37,528,0.01095,0.03709
1991,2nd Quintile,Rural regions,Comp. time,0.10247,60,125,0.04909,0.15585
1991,2nd Quintile,Rural regions,Paid,0.10579,65,125,0.05165,0.15993
1991,3rd Quintile,Urban regions,Comp. time,0.11838,199,642,0.09337,0.14339
1991,3rd Quintile,Urban regions,Some of both,0.04861,99,642,0.03197,0.06526
1991,3rd Quintile,Urban regions,Paid,0.12435,275,642,0.09880,0.14989
1991,3rd Quintile,Urban regions,Not compensated,0.04490,69,642,0.02887,0.06093
1991,3rd Quintile,Rural regions,Comp. time,0.10402,46,111,0.04697,0.16107
1991,3rd Quintile,Rural regions,Paid,0.11482,65,111,0.05524,0.17439
1991,4th Quintile,Urban regions,Comp. time,0.15272,230,722,0.12647,0.17898
1991,4th Quintile,Urban regions,Some of both,0.06335,118,722,0.04557,0.08113
1991,4th Quintile,Urban regions,Paid,0.14875,286,722,0.12278,0.17473
1991,4th Quintile,Urban regions,Not compensated,0.06271,88,722,0.04501,0.08041
1991,4th Quintile,Rural regions,Comp. time,0.15740,87,236,0.11083,0.20396
1991,4th Quintile,Rural regions,Some of both,0.05646,31,236,0.02695,0.08596
1991,4th Quintile,Rural regions,Paid,0.15630,86,236,0.10987,0.20273
1991,4th Quintile,Rural regions,Not compensated,0.05896,32,236,0.02885,0.08908
1991,5th Quintile,Urban regions,Comp. time,0.14924,263,808,0.12465,0.17382
1991,5th Quintile,Urban regions,Some of both,0.07892,128,808,0.06031,0.09752
1991,5th Quintile,Urban regions,Paid,0.12161,228,808,0.09906,0.14416
1991,5th Quintile,Urban regions,Not compensated,0.12777,189,808,0.10474,0.15080
1991,5th Quintile,Rural regions,Comp. time,0.13269,53,101,0.06620,0.19918
1991,5th Quintile,Rural regions,Paid,0.11104,48,101,0.04946,0.17263
1992,1st Quintile,Urban regions,Comp. time,0.04140,93,338,0.02013,0.06268
1992,1st Quintile,Urban regions,Some of both,0.02892,64,338,0.01102,0.04681
1992,1st Quintile,Urban regions,Paid,0.06056,144,338,0.03509,0.08603
1992,1st Quintile,Urban regions,Not compensated,0.02018,37,338,0.00517,0.03520
1992,1st Quintile,Rural regions,Comp. time,0.06148,142,337,0.03580,0.08717
1992,1st Quintile,Rural regions,Some of both,0.02517,51,337,0.00842,0.04192
1992,1st Quintile,Rural regions,Paid,0.05544,113,337,0.03097,0.07991
1992,1st Quintile,Rural regions,Not compensated,0.01321,31,337,0.00100,0.02542
1992,2nd Quintile,Urban regions,Comp. time,0.08286,179,575,0.06031,0.10541
1992,2nd Quintile,Urban regions,Some of both,0.02995,82,575,0.01601,0.04389
1992,2nd Quintile,Urban regions,Paid,0.09382,254,575,0.06997,0.11768
1992,2nd Quintile,Urban regions,Not compensated,0.02117,60,575,0.00940,0.03295
1992,2nd Quintile,Rural regions,Comp. time,0.10355,189,510,0.07709,0.13002
1992,2nd Quintile,Rural regions,Some of both,0.05603,95,510,0.03605,0.07601
1992,2nd Quintile,Rural regions,Paid,0.09935,165,510,0.07336,0.12533
1992,2nd Quintile,Rural regions,Not compensated,0.03800,61,510,0.02139,0.05461
1992,3rd Quintile,Urban regions,Comp. time,0.10405,221,715,0.08166,0.12645
1992,3rd Quintile,Urban regions,Some of both,0.04655,114,715,0.03109,0.06200
1992,3rd Quintile,Urban regions,Paid,0.12195,292,715,0.09795,0.14595
1992,3rd Quintile,Urban regions,Not compensated,0.03724,88,715,0.02335,0.05112
1992,3rd Quintile,Rural regions,Comp. time,0.12411,174,423,0.09266,0.15557
1992,3rd Quintile,Rural regions,Some of both,0.06451,67,423,0.04107,0.08795
1992,3rd Quintile,Rural regions,Paid,0.09563,116,423,0.06757,0.12369
1992,3rd Quintile,Rural regions,Not compensated,0.04898,66,423,0.02839,0.06957
1992,4th Quintile,Urban regions,Comp. time,0.13358,270,888,0.11119,0.15597
1992,4th Quintile,Urban regions,Some of both,0.07562,164,888,0.05822,0.09302
1992,4th Quintile,Urban regions,Paid,0.14089,347,888,0.11799,0.16378
1992,4th Quintile,Urban regions,Not compensated,0.05243,107,888,0.03776,0.06710
1992,4th Quintile,Rural regions,Comp. time,0.17343,140,348,0.13360,0.21327
1992,4th Quintile,Rural regions,Some of both,0.04920,47,348,0.02644,0.07196
1992,4th Quintile,Rural regions,Paid,0.13006,116,348,0.09467,0.16546
1992,4th Quintile,Rural regions,Not compensated,0.04583,45,348,0.02382,0.06783
1992,5th Quintile,Urban regions,Comp. time,0.15698,341,967,0.13404,0.17992
1992,5th Quintile,Urban regions,Some of both,0.06742,150,967,0.05161,0.08323
1992,5th Quintile,Urban regions,Paid,0.10088,256,967,0.08189,0.11988
1992,5th Quintile,Urban regions,Not compensated,0.10745,220,967,0.08792,0.12698
1992,5th Quintile,Rural regions,Comp. time,0.13356,75,226,0.08911,0.17801
1992,5th Quintile,Rural regions,Some of both,0.10551,48,226,0.06537,0.14565
1992,5th Quintile,Rural regions,Paid,0.11451,60,226,0.07290,0.15612
1992,5th Quintile,Rural regions,Not compensated,0.08952,43,226,0.05221,0.12682
1993,1st Quintile,Urban regions,Comp. time,0.04885,96,288,0.02391,0.07379
1993,1st Quintile,Urban regions,Some of both,0.02063,49,288,0.00418,0.03707
1993,1st Quintile,Urban regions,Paid,0.05855,143,288,0.03139,0.08572
1993,1st Quintile,Rural regions,Comp. time,0.04304,82,244,0.01752,0.06856
1993,1st Quintile,Rural regions,Some of both,0.02745,54,244,0.00691,0.04799
1993,1st Quintile,Rural regions,Paid,0.06139,108,244,0.03121,0.09157
1993,2nd Quintile,Urban regions,Comp. time,0.05660,136,548,0.03724,0.07597
1993,2nd Quintile,Urban regions,Some of both,0.04587,111,548,0.02834,0.06340
1993,2nd Quintile,Urban regions,Paid,0.09339,248,548,0.06900,0.11777
1993,2nd Quintile,Urban regions,Not compensated,0.02416,53,548,0.01129,0.03703
1993,2nd Quintile,Rural regions,Comp. time,0.10724,190,478,0.07947,0.13500
1993,2nd Quintile,Rural regions,Some of both,0.04624,71,478,0.02739,0.06509
1993,2nd Quintile,Rural regions,Paid,0.09629,158,478,0.06982,0.12277
1993,2nd Quintile,Rural regions,Not compensated,0.03433,59,478,0.01799,0.05067
1993,3rd Quintile,Urban regions,Comp. time,0.10051,232,705,0.07830,0.12272
1993,3rd Quintile,Urban regions,Some of both,0.04711,118,705,0.03146,0.06276
1993,3rd Quintile,Urban regions,Paid,0.11172,269,705,0.08845,0.13499
1993,3rd Quintile,Urban regions,Not compensated,0.03726,86,705,0.02327,0.05125
1993,3rd Quintile,Rural regions,Comp. time,0.13389,189,473,0.10316,0.16461
1993,3rd Quintile,Rural regions,Some of both,0.05294,72,473,0.03274,0.07314
1993,3rd Quintile,Rural regions,Paid,0.11235,142,473,0.08386,0.14084
1993,3rd Quintile,Rural regions,Not compensated,0.04418,70,473,0.02564,0.06272
1993,4th Quintile,Urban regions,Comp. time,0.14281,306,859,0.11940,0.16622
1993,4th Quintile,Urban regions,Some of both,0.05804,137,859,0.04240,0.07369
1993,4th Quintile,Urban regions,Paid,0.12344,286,859,0.10143,0.14545
1993,4th Quintile,Urban regions,Not compensated,0.06356,130,859,0.04724,0.07988
1993,4th Quintile,Rural regions,Comp. time,0.16120,135,382,0.12428,0.19813
1993,4th Quintile,Rural regions,Some of both,0.07039,82,382,0.04470,0.09607
1993,4th Quintile,Rural regions,Paid,0.11126,107,382,0.07968,0.14284
1993,4th Quintile,Rural regions,Not compensated,0.04975,58,382,0.02792,0.07158
1993,5th Quintile,Urban regions,Comp. time,0.15385,338,996,0.13143,0.17626
1993,5th Quintile,Urban regions,Some of both,0.08097,172,996,0.06402,0.09792
1993,5th Quintile,Urban regions,Paid,0.10850,247,996,0.08917,0.12782
1993,5th Quintile,Urban regions,Not compensated,0.12056,239,996,0.10033,0.14079
1993,5th Quintile,Rural regions,Comp. time,0.15722,92,232,0.11028,0.20416
1993,5th Quintile,Rural regions,Some of both,0.06160,33,232,0.03060,0.09261
1993,5th Quintile,Rural regions,Paid,0.08444,50,232,0.04858,0.12030
1993,5th Quintile,Rural regions,Not compensated,0.12218,57,232,0.07994,0.16441
1994,1st Quintile,Urban regions,Comp. time,0.05244,109,293,0.02687,0.07801
1994,1st Quintile,Urban regions,Some of both,0.02294,48,293,0.00577,0.04011
1994,1st Quintile,Urban regions,Paid,0.05651,136,293,0.03003,0.08300
1994,1st Quintile,Rural regions,Comp. time,0.04280,75,196,0.01439,0.07121
1994,1st Quintile,Rural regions,Some of both,0.02378,40,196,0.00240,0.04517
1994,1st Quintile,Rural regions,Paid,0.04877,81,196,0.01854,0.07900
1994,2nd Quintile,Urban regions,Comp. time,0.07393,177,550,0.05204,0.09582
1994,2nd Quintile,Urban regions,Some of both,0.03846,91,550,0.02237,0.05455
1994,2nd Quintile,Urban regions,Paid,0.09080,225,550,0.06676,0.11483
1994,2nd Quintile,Urban regions,Not compensated,0.02625,57,550,0.01287,0.03962
1994,2nd Quintile,Rural regions,Comp. time,0.09589,162,410,0.06735,0.12442
1994,2nd Quintile,Rural regions,Some of both,0.04697,67,410,0.02646,0.06747
1994,2nd Quintile,Rural regions,Paid,0.09320,128,410,0.06502,0.12137
1994,2nd Quintile,Rural regions,Not compensated,0.03640,53,410,0.01825,0.05456
1994,3rd Quintile,Urban regions,Comp. time,0.11539,259,676,0.09129,0.13950
1994,3rd Quintile,Urban regions,Some of both,0.04795,101,676,0.03183,0.06407
1994,3rd Quintile,Urban regions,Paid,0.10261,236,676,0.07972,0.12551
1994,3rd Quintile,Urban regions,Not compensated,0.03690,80,676,0.02268,0.05112
1994,3rd Quintile,Rural regions,Comp. time,0.14420,208,487,0.11297,0.17543
1994,3rd Quintile,Rural regions,Some of both,0.04708,78,487,0.02825,0.06591
1994,3rd Quintile,Rural regions,Paid,0.09850,127,487,0.07200,0.12499
1994,3rd Quintile,Rural regions,Not compensated,0.04710,74,487,0.02827,0.06594
1994,4th Quintile,Urban regions,Comp. time,0.16416,328,870,0.13953,0.18879
1994,4th Quintile,Urban regions,Some of both,0.07165,162,870,0.05450,0.08879
1994,4th Quintile,Urban regions,Paid,0.11691,257,870,0.09555,0.13828
1994,4th Quintile,Urban regions,Not compensated,0.05615,123,870,0.04085,0.07146
1994,4th Quintile,Rural regions,Comp. time,0.14465,135,384,0.10943,0.17988
1994,4th Quintile,Rural regions,Some of both,0.08341,84,384,0.05572,0.11110
1994,4th Quintile,Rural regions,Paid,0.10485,99,384,0.07417,0.13553
1994,4th Quintile,Rural regions,Not compensated,0.05796,66,384,0.03456,0.08136
1994,5th Quintile,Urban regions,Comp. time,0.16846,346,976,0.14496,0.19195
1994,5th Quintile,Urban regions,Some of both,0.07620,169,976,0.05955,0.09286
1994,5th Quintile,Urban regions,Paid,0.09683,223,976,0.07827,0.11539
1994,5th Quintile,Urban regions,Not compensated,0.12188,238,976,0.10135,0.14242
1994,5th Quintile,Rural regions,Comp. time,0.16812,116,290,0.12500,0.21124
1994,5th Quintile,Rural regions,Some of both,0.09925,65,290,0.06478,0.13373
1994,5th Quintile,Rural regions,Paid,0.06713,53,290,0.03827,0.09598
1994,5th Quintile,Rural regions,Not compensated,0.08581,56,290,0.05351,0.11810
1995,1st Quintile,Urban regions,Comp. time,0.04784,105,370,0.02606,0.06962
1995,1st Quintile,Urban regions,Some of both,0.02000,52,370,0.00572,0.03429
1995,1st Quintile,Urban regions,Paid,0.06135,171,370,0.03686,0.08583
1995,1st Quintile,Urban regions,Not compensated,0.01743,42,370,0.00408,0.03079
1995,1st Quintile,Rural regions,Comp. time,0.05812,81,221,0.02720,0.08904
1995,1st Quintile,Rural regions,Some of both,0.02357,39,221,0.00352,0.04361
1995,1st Quintile,Rural regions,Paid,0.06348,101,221,0.03126,0.09570
1995,2nd Quintile,Urban regions,Comp. time,0.07561,202,637,0.05506,0.09615
1995,2nd Quintile,Urban regions,Some of both,0.03509,93,637,0.02079,0.04939
1995,2nd Quintile,Urban regions,Paid,0.09306,278,637,0.07049,0.11564
1995,2nd Quintile,Urban regions,Not compensated,0.02607,64,637,0.01369,0.03846
1995,2nd Quintile,Rural regions,Comp. time,0.09437,165,389,0.06528,0.12346
1995,2nd Quintile,Rural regions,Some of both,0.04775,73,389,0.02653,0.06897
1995,2nd Quintile,Rural regions,Paid,0.06508,104,389,0.04053,0.08962
1995,2nd Quintile,Rural regions,Not compensated,0.03510,47,389,0.01679,0.05341
1995,3rd Quintile,Urban regions,Comp. time,0.12325,264,706,0.09898,0.14752
1995,3rd Quintile,Urban regions,Some of both,0.05301,116,706,0.03647,0.06955
1995,3rd Quintile,Urban regions,Paid,0.10478,250,706,0.08217,0.12739
1995,3rd Quintile,Urban regions,Not compensated,0.03385,76,706,0.02050,0.04720
1995,3rd Quintile,Rural regions,Comp. time,0.13162,204,498,0.10189,0.16134
1995,3rd Quintile,Rural regions,Some of both,0.05534,87,498,0.03524,0.07544
1995,3rd Quintile,Rural regions,Paid,0.10587,150,498,0.07882,0.13292
1995,3rd Quintile,Rural regions,Not compensated,0.03408,57,498,0.01813,0.05003
1995,4th Quintile,Urban regions,Comp. time,0.15698,343,900,0.13320,0.18077
1995,4th Quintile,Urban regions,Some of both,0.06501,159,900,0.04890,0.08113
1995,4th Quintile,Urban regions,Paid,0.11713,275,900,0.09611,0.13815
1995,4th Quintile,Urban regions,Not compensated,0.05767,123,900,0.04244,0.07291
1995,4th Quintile,Rural regions,Comp. time,0.15413,175,492,0.12219,0.18606
1995,4th Quintile,Rural regions,Some of both,0.09390,107,492,0.06810,0.11971
1995,4th Quintile,Rural regions,Paid,0.12181,122,492,0.09288,0.15074
1995,4th Quintile,Rural regions,Not compensated,0.06741,88,492,0.04524,0.08959
1995,5th Quintile,Urban regions,Comp. time,0.17185,363,973,0.14814,0.19557
1995,5th Quintile,Urban regions,Some of both,0.09630,209,973,0.07776,0.11485
1995,5th Quintile,Urban regions,Paid,0.07410,167,973,0.05764,0.09057
1995,5th Quintile,Urban regions,Not compensated,0.12620,234,973,0.10532,0.14708
1995,5th Quintile,Rural regions,Comp. time,0.18132,132,313,0.13856,0.22407
1995,5th Quintile,Rural regions,Some of both,0.06910,57,313,0.04096,0.09724
1995,5th Quintile,Rural regions,Paid,0.07458,55,313,0.04543,0.10373
1995,5th Quintile,Rural regions,Not compensated,0.10873,69,313,0.07418,0.14327
1996,1st Quintile,Urban regions,Comp. time,0.05875,142,399,0.03564,0.08185
1996,1st Quintile,Urban regions,Some of both,0.02435,57,399,0.00921,0.03949
1996,1st Quintile,Urban regions,Paid,0.05838,160,399,0.03534,0.08141
1996,1st Quintile,Urban regions,Not compensated,0.01495,40,399,0.00303,0.02687
1996,1st Quintile,Rural regions,Comp. time,0.05124,80,197,0.02037,0.08211
1996,1st Quintile,Rural regions,Some of both,0.02706,32,197,0.00434,0.04977
