year,quintil_oecd,sex,plb0195_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1995,5th Quintile,male,Comp. time,0.28688524590163933,17246,0.280134594245957,0.29363589755732167
1995,5th Quintile,male,Some of both,0.1598360655737705,17246,0.15436677133669308,0.16530535981084793
1995,5th Quintile,male,Paid,0.14754098360655737,17246,0.1422479460929322,0.15283402112018254
1995,5th Quintile,female,Comp. time,0.49748743718592964,17246,0.4900250736656982,0.5049498007061611
1995,5th Quintile,female,Not compensated,0.21105527638190955,17246,0.2049650522545922,0.2171455005092269
1995,5th Quintile,female,Some of both,0.1708542713567839,17246,0.1652368081741798,0.17647173453938803
1995,5th Quintile,female,Paid,0.12060301507537688,17246,0.11574248707589663,0.12546354307485713
1996,1st Quintile,male,Paid,0.4494163424124514,16862,0.4419081115537715,0.45692457327113123
1996,1st Quintile,male,Comp. time,0.28793774319066145,16862,0.28110319499701303,0.2947722913843099
1996,1st Quintile,male,Some of both,0.17315175097276264,16862,0.1674405442755186,0.17886295767000668
1996,1st Quintile,male,Not compensated,0.08949416342412451,16862,0.08518552299475,0.09380280385349903
1996,1st Quintile,female,Comp. time,0.49110320284697506,16862,0.4835574466179564,0.4986489590759937
1996,1st Quintile,female,Paid,0.2491103202846975,16862,0.2425822404549267,0.2556384001144683
1996,1st Quintile,female,Some of both,0.1387900355871886,16862,0.13357166166193968,0.14400840951243754
1996,1st Quintile,female,Not compensated,0.12099644128113879,16862,0.1160739705318246,0.12591891203045297
1996,2nd Quintile,male,Paid,0.40805223068552776,16862,0.40063398690398583,0.4154704744670697
1996,2nd Quintile,male,Comp. time,0.32861806311207836,16862,0.32152829434352687,0.33570783188062986
1996,2nd Quintile,male,Some of both,0.176278563656148,16862,0.17052692671355413,0.18203020059874186
1996,2nd Quintile,male,Not compensated,0.08705114254624592,16862,0.08279602079119883,0.09130626430129302
1996,2nd Quintile,female,Comp. time,0.5212765957446809,16862,0.513736480701244,0.5288167107881178
1996,2nd Quintile,female,Paid,0.24822695035460993,16862,0.2417066234370877,0.25474727727213214
1996,2nd Quintile,female,Some of both,0.1276595744680851,16862,0.12262258289258214,0.13269656604358807
1996,2nd Quintile,female,Not compensated,0.10283687943262411,16862,0.09825217143879453,0.10742158742645369
1996,3rd Quintile,male,Comp. time,0.3558139534883721,16862,0.34858760879734924,0.3630402981793949
1996,3rd Quintile,male,Paid,0.32325581395348835,16862,0.3161961022219354,0.3303155256850413
1996,3rd Quintile,male,Some of both,0.18953488372093022,16862,0.18361908663819776,0.19545068080366268
1996,3rd Quintile,male,Not compensated,0.1313953488372093,16862,0.1262961423307415,0.1364945553436771
1996,3rd Quintile,female,Comp. time,0.580952380952381,16862,0.5735050014425261,0.5883997604622359
1996,3rd Quintile,female,Paid,0.17936507936507937,16862,0.1735741872679832,0.18515597146217552
1996,3rd Quintile,female,Not compensated,0.12222222222222222,16862,0.11727833098838163,0.12716611345606282
1996,3rd Quintile,female,Some of both,0.11746031746031746,16862,0.11260056402901704,0.12232007089161788
1996,4th Quintile,male,Comp. time,0.3235772357723577,16862,0.3165156926325152,0.33063877891220017
1996,4th Quintile,male,Paid,0.23739837398373984,16862,0.23097609359575316,0.2438206543717265
1996,4th Quintile,male,Not compensated,0.22601626016260162,16862,0.2197032383544803,0.23232928197072295
1996,4th Quintile,male,Some of both,0.21300813008130082,16862,0.20682818320641644,0.2191880769561852
1996,4th Quintile,female,Comp. time,0.5297741273100616,16862,0.5222405688658506,0.5373076857542726
1996,4th Quintile,female,Not compensated,0.19096509240246407,16862,0.18503225900558928,0.19689792579933885
1996,4th Quintile,female,Some of both,0.15811088295687886,16862,0.15260394912090378,0.16361781679285395
1996,4th Quintile,female,Paid,0.12114989733059549,16862,0.11622473603410395,0.126075058627087
1996,5th Quintile,male,Not compensated,0.3984375,16862,0.3910478816364046,0.4058271183635954
1996,5th Quintile,male,Comp. time,0.3203125,16862,0.31326973635221333,0.32735526364778667
1996,5th Quintile,male,Some of both,0.16796875,16862,0.16232606777536598,0.17361143222463402
1996,5th Quintile,male,Paid,0.11328125,16862,0.1084974447498567,0.1180650552501433
1996,5th Quintile,female,Comp. time,0.52,16862,0.5124590889265725,0.5275409110734275
1996,5th Quintile,female,Not compensated,0.26,16862,0.25337929766244294,0.2666207023375571
1996,5th Quintile,female,Some of both,0.135,16862,0.12984205785063213,0.1401579421493679
1996,5th Quintile,female,Paid,0.085,16862,0.08079058699225578,0.08920941300774424
1997,1st Quintile,male,Comp. time,0.32398753894080995,16487,0.3168437805712312,0.3311312973103887
1997,1st Quintile,male,Paid,0.308411214953271,16487,0.3013614554035683,0.3154609745029737
1997,1st Quintile,male,Some of both,0.24299065420560748,16487,0.23644383032166277,0.24953747808955218
1997,1st Quintile,male,Not compensated,0.12461059190031153,16487,0.1195690500623091,0.12965213373831394
1997,1st Quintile,female,Comp. time,0.4585635359116022,16487,0.4509574931702826,0.4661695786529218
1997,1st Quintile,female,Paid,0.20994475138121546,16487,0.20372795712703798,0.21616154563539294
1997,1st Quintile,female,Some of both,0.18232044198895028,16487,0.17642665405727906,0.1882142299206215
1997,1st Quintile,female,Not compensated,0.14917127071823205,16487,0.14373314904881626,0.15460939238764784
1997,2nd Quintile,male,Comp. time,0.3225806451612903,16487,0.31544500064983105,0.3297162896727496
