year,sampreg,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,East,At least once per week,0.00734,32,3665,0.00457,0.01010
1996,East,At least once per month,0.01633,71,3665,0.01223,0.02044
1996,East,Seldom,0.05863,270,3665,0.05103,0.06624
1996,East,Never,0.74216,3292,3665,0.72799,0.75632
1997,West,At least once per week,0.00706,71,9107,0.00534,0.00878
1997,West,At least once per month,0.01321,138,9107,0.01087,0.01556
1997,West,Seldom,0.05954,584,9107,0.05468,0.06440
1997,West,Never,0.72814,8314,9107,0.71901,0.73728
1997,East,At least once per month,0.01770,76,3572,0.01337,0.02202
1997,East,Seldom,0.04414,203,3572,0.03740,0.05088
1997,East,Never,0.75793,3293,3572,0.74388,0.77198
1998,West,At least once per week,0.00733,89,10299,0.00568,0.00898
1998,West,At least once per month,0.01244,160,10299,0.01030,0.01458
1998,West,Seldom,0.08564,976,10299,0.08024,0.09105
1998,West,Never,0.71006,9074,10299,0.70129,0.71882
1998,East,At least once per month,0.01908,86,3824,0.01474,0.02342
1998,East,Seldom,0.07081,346,3824,0.06268,0.07894
1998,East,Never,0.73841,3392,3824,0.72448,0.75234
1999,West,At least once per week,0.00796,89,9806,0.00621,0.00972
1999,West,At least once per month,0.01237,153,9806,0.01018,0.01456
1999,West,Seldom,0.06137,715,9806,0.05662,0.06612
1999,West,Never,0.73135,8849,9806,0.72258,0.74012
1999,East,At least once per week,0.00688,32,3750,0.00424,0.00953
1999,East,At least once per month,0.01587,70,3750,0.01187,0.01988
1999,East,Seldom,0.05260,259,3750,0.04546,0.05975
1999,East,Never,0.76151,3389,3750,0.74786,0.77515
2001,West,At least once per week,0.00745,155,16243,0.00612,0.00877
2001,West,At least once per month,0.01307,259,16243,0.01132,0.01482
2001,West,Seldom,0.05318,1066,16243,0.04973,0.05663
2001,West,Never,0.73453,14763,16243,0.72774,0.74132
2001,East,At least once per week,0.00637,37,5388,0.00425,0.00850
2001,East,At least once per month,0.01923,117,5388,0.01556,0.02289
2001,East,Seldom,0.04670,322,5388,0.04106,0.05233
2001,East,Never,0.77677,4912,5388,0.76565,0.78789
2003,West,At least once per week,0.00792,200,16704,0.00658,0.00927
2003,West,At least once per month,0.01517,334,16704,0.01332,0.01703
2003,West,Seldom,0.07529,1555,16704,0.07129,0.07929
2003,West,Never,0.72011,14615,16704,0.71330,0.72692
2003,East,At least once per week,0.00805,54,5323,0.00565,0.01046
2003,East,At least once per month,0.01663,114,5323,0.01320,0.02007
2003,East,Seldom,0.06843,441,5323,0.06164,0.07521
2003,East,Never,0.77126,4714,5323,0.75997,0.78254
2005,West,At least once per week,0.00842,192,15537,0.00698,0.00986
2005,West,At least once per month,0.01485,291,15537,0.01295,0.01675
2005,West,Seldom,0.05883,1127,15537,0.05513,0.06253
2005,West,Never,0.74293,13927,15537,0.73605,0.74980
2005,East,At least once per week,0.00586,40,5004,0.00374,0.00797
2005,East,At least once per month,0.01596,97,5004,0.01249,0.01944
2005,East,Seldom,0.05488,370,5004,0.04857,0.06119
2005,East,Never,0.78932,4497,5004,0.77802,0.80062
2007,West,At least once per week,0.00733,163,15330,0.00598,0.00869
2007,West,At least once per month,0.01037,234,15330,0.00876,0.01197
2007,West,Seldom,0.04308,891,15330,0.03987,0.04630
2007,West,Never,0.75255,14042,15330,0.74572,0.75938
2007,East,At least once per week,0.00644,38,4970,0.00421,0.00866
2007,East,At least once per month,0.00987,76,4970,0.00712,0.01261
2007,East,Seldom,0.04308,278,4970,0.03743,0.04872
2007,East,Never,0.80499,4578,4970,0.79397,0.81600
2008,West,At least once per week,0.00680,157,14468,0.00546,0.00814
2008,West,At least once per month,0.01295,298,14468,0.01111,0.01479
2008,West,Seldom,0.06217,1166,14468,0.05824,0.06611
2008,West,Never,0.74482,12847,14468,0.73771,0.75192
2008,East,At least once per week,0.00538,35,4752,0.00330,0.00746
2008,East,At least once per month,0.01416,96,4752,0.01080,0.01752
2008,East,Seldom,0.05180,319,4752,0.04550,0.05811
2008,East,Never,0.80063,4302,4752,0.78927,0.81199
2009,West,At least once per week,0.00598,120,13360,0.00467,0.00728
2009,West,At least once per month,0.01115,228,13360,0.00937,0.01293
2009,West,Seldom,0.04952,831,13360,0.04584,0.05320
2009,West,Never,0.76147,12181,13360,0.75424,0.76870
2009,East,At least once per month,0.01136,64,4476,0.00826,0.01447
2009,East,Seldom,0.05246,269,4476,0.04593,0.05899
2009,East,Never,0.78966,4143,4476,0.77772,0.80161
2011,West,At least once per week,0.00855,245,21972,0.00733,0.00977
2011,West,At least once per month,0.01202,364,21972,0.01058,0.01346
2011,West,Seldom,0.05092,1309,21972,0.04801,0.05383
2011,West,Never,0.75444,20054,21972,0.74875,0.76013
2011,East,At least once per week,0.00569,41,6282,0.00383,0.00755
2011,East,At least once per month,0.01332,103,6282,0.01049,0.01616
2011,East,Seldom,0.05115,374,6282,0.04570,0.05660
2011,East,Never,0.78982,5764,6282,0.77974,0.79989
2013,West,At least once per week,0.00885,242,19672,0.00754,0.01015
2013,West,At least once per month,0.01357,392,19672,0.01195,0.01518
2013,West,Seldom,0.06804,1703,19672,0.06452,0.07156
2013,West,Never,0.65129,17335,19672,0.64463,0.65795
2013,East,At least once per week,0.00758,54,5679,0.00533,0.00984
2013,East,At least once per month,0.01739,111,5679,0.01399,0.02079
2013,East,Seldom,0.06410,430,5679,0.05773,0.07047
2013,East,Never,0.74254,5084,5679,0.73117,0.75391
2015,West,At least once per week,0.00870,199,21281,0.00745,0.00994
2015,West,At least once per month,0.01164,324,21281,0.01020,0.01308
2015,West,Seldom,0.05016,1279,21281,0.04723,0.05310
2015,West,Never,0.76570,19479,21281,0.76001,0.77139
2015,East,At least once per week,0.00554,38,5385,0.00356,0.00752
2015,East,At least once per month,0.01492,102,5385,0.01169,0.01816
2015,East,Seldom,0.04823,321,5385,0.04251,0.05395
2015,East,Never,0.78507,4924,5385,0.77410,0.79604
2017,West,At least once per week,0.01025,238,20866,0.00889,0.01162
2017,West,At least once per month,0.01342,331,20866,0.01186,0.01498
2017,West,Seldom,0.05023,1239,20866,0.04726,0.05319
2017,West,Never,0.75317,19058,20866,0.74732,0.75902
2017,East,At least once per week,0.00708,48,5567,0.00488,0.00928
2017,East,At least once per month,0.01383,97,5567,0.01076,0.01690
2017,East,Seldom,0.04473,308,5567,0.03930,0.05016
2017,East,Never,0.77076,5114,5567,0.75971,0.78180
2019,West,At least once per week,0.01162,355,19967,0.01014,0.01311
2019,West,At least once per month,0.01592,458,19967,0.01418,0.01765
2019,West,Seldom,0.08020,2075,19967,0.07643,0.08397
2019,West,Never,0.71654,17079,19967,0.71029,0.72280
2019,East,At least once per week,0.00918,92,5517,0.00667,0.01170
2019,East,At least once per month,0.01671,171,5517,0.01333,0.02009
2019,East,Seldom,0.07316,481,5517,0.06629,0.08004
2019,East,Never,0.73755,4773,5517,0.72593,0.74916
