year,sex,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,female,At least once per month,0.01077,84,6815,0.00832,0.01322
1995,female,Seldom,0.05550,422,6815,0.05006,0.06093
1995,female,Never,0.75086,6270,6815,0.74059,0.76113
1996,male,At least once per week,0.00905,76,6263,0.00671,0.01140
1996,male,At least once per month,0.01689,116,6263,0.01370,0.02008
1996,male,Seldom,0.08902,594,6263,0.08197,0.09608
1996,male,Never,0.68986,5477,6263,0.67841,0.70132
1996,female,At least once per month,0.00801,71,6682,0.00587,0.01014
1996,female,Seldom,0.05295,396,6682,0.04758,0.05832
1996,female,Never,0.75912,6215,6682,0.74887,0.76937
1997,male,At least once per week,0.01021,69,6158,0.00770,0.01272
1997,male,At least once per month,0.01913,137,6158,0.01571,0.02255
1997,male,Seldom,0.06557,443,6158,0.05938,0.07175
1997,male,Never,0.70828,5509,6158,0.69692,0.71963
1997,female,At least once per month,0.00921,77,6519,0.00689,0.01152
1997,female,Seldom,0.04812,344,6519,0.04293,0.05332
1997,female,Never,0.75806,6098,6519,0.74766,0.76846
1998,male,At least once per week,0.01174,95,6852,0.00919,0.01429
1998,male,At least once per month,0.01754,147,6852,0.01443,0.02065
1998,male,Seldom,0.09643,734,6852,0.08944,0.10342
1998,male,Never,0.68584,5876,6852,0.67485,0.69683
1998,female,At least once per month,0.01003,99,7277,0.00774,0.01231
1998,female,Seldom,0.06983,588,7277,0.06398,0.07569
1998,female,Never,0.74371,6590,7277,0.73368,0.75374
1999,male,At least once per week,0.01253,97,6568,0.00984,0.01522
1999,male,At least once per month,0.01627,136,6568,0.01321,0.01933
1999,male,Seldom,0.07250,545,6568,0.06622,0.07877
1999,male,Never,0.71184,5790,6568,0.70089,0.72280
1999,female,At least once per month,0.00990,87,6964,0.00758,0.01223
1999,female,Seldom,0.04753,429,6964,0.04253,0.05253
1999,female,Never,0.76096,6448,6964,0.75094,0.77098
2001,male,At least once per week,0.01128,148,10395,0.00925,0.01331
2001,male,At least once per month,0.01854,237,10395,0.01595,0.02113
2001,male,Seldom,0.06002,770,10395,0.05546,0.06459
2001,male,Never,0.71953,9240,10395,0.71090,0.72817
2001,female,At least once per week,0.00339,44,11236,0.00231,0.00446
2001,female,At least once per month,0.01003,139,11236,0.00819,0.01187
2001,female,Seldom,0.04429,618,11236,0.04049,0.04810
2001,female,Never,0.76408,10435,11236,0.75623,0.77193
2003,male,At least once per week,0.01168,173,10605,0.00963,0.01372
2003,male,At least once per month,0.02094,294,10605,0.01821,0.02366
2003,male,Seldom,0.08639,1117,10605,0.08105,0.09174
2003,male,Never,0.70035,9021,10605,0.69163,0.70907
2003,female,At least once per week,0.00436,81,11422,0.00315,0.00557
2003,female,At least once per month,0.01015,154,11422,0.00831,0.01198
2003,female,Seldom,0.06216,879,11422,0.05774,0.06659
2003,female,Never,0.75730,10308,11422,0.74943,0.76516
2005,male,At least once per week,0.01209,163,9836,0.00993,0.01425
2005,male,At least once per month,0.02017,241,9836,0.01740,0.02295
2005,male,Seldom,0.06512,821,9836,0.06024,0.07000
2005,male,Never,0.72870,8611,9836,0.71991,0.73749
2005,female,At least once per week,0.00398,69,10705,0.00279,0.00517
2005,female,At least once per month,0.01012,147,10705,0.00822,0.01202
2005,female,Seldom,0.05138,676,10705,0.04720,0.05556
2005,female,Never,0.77301,9813,10705,0.76508,0.78095
2007,male,At least once per week,0.01027,141,9680,0.00826,0.01228
2007,male,At least once per month,0.01488,206,9680,0.01247,0.01729
2007,male,Seldom,0.05213,677,9680,0.04770,0.05656
2007,male,Never,0.73712,8656,9680,0.72835,0.74589
2007,female,At least once per week,0.00419,60,10620,0.00296,0.00542
2007,female,At least once per month,0.00584,104,10620,0.00439,0.00729
2007,female,Seldom,0.03435,492,10620,0.03088,0.03781
2007,female,Never,0.78608,9964,10620,0.77828,0.79388
2008,male,At least once per week,0.00922,127,9161,0.00727,0.01118
2008,male,At least once per month,0.01695,247,9161,0.01431,0.01960
2008,male,Seldom,0.07216,855,9161,0.06686,0.07746
2008,male,Never,0.72883,7932,9161,0.71972,0.73793
2008,female,At least once per week,0.00397,65,10059,0.00274,0.00519
2008,female,At least once per month,0.00951,147,10059,0.00761,0.01141
2008,female,Seldom,0.04890,630,10059,0.04468,0.05311
2008,female,Never,0.77983,9217,10059,0.77173,0.78793
2009,male,At least once per week,0.00833,108,8542,0.00640,0.01026
2009,male,At least once per month,0.01595,195,8542,0.01330,0.01861
2009,male,Seldom,0.05819,618,8542,0.05322,0.06315
2009,male,Never,0.74572,7621,8542,0.73648,0.75495
2009,female,At least once per week,0.00305,42,9324,0.00193,0.00417
2009,female,At least once per month,0.00659,97,9324,0.00495,0.00823
2009,female,Seldom,0.04220,482,9324,0.03812,0.04628
2009,female,Never,0.78680,8703,9324,0.77849,0.79512
2011,male,At least once per week,0.01155,188,12791,0.00970,0.01340
2011,male,At least once per month,0.01681,295,12791,0.01458,0.01904
2011,male,Seldom,0.06099,915,12791,0.05684,0.06514
2011,male,Never,0.73339,11393,12791,0.72573,0.74105
2011,female,At least once per week,0.00469,98,15463,0.00361,0.00577
2011,female,At least once per month,0.00788,172,15463,0.00649,0.00927
2011,female,Seldom,0.04135,768,15463,0.03821,0.04449
2011,female,Never,0.78689,14425,15463,0.78043,0.79334
2013,male,At least once per week,0.01254,215,11470,0.01050,0.01457
2013,male,At least once per month,0.01925,307,11470,0.01673,0.02176
2013,male,Seldom,0.07770,1133,11470,0.07280,0.08260
2013,male,Never,0.63796,9815,11470,0.62917,0.64676
2013,female,At least once per week,0.00486,81,13881,0.00370,0.00601
2013,female,At least once per month,0.00941,196,13881,0.00780,0.01101
2013,female,Seldom,0.05738,1000,13881,0.05351,0.06125
2013,female,Never,0.69550,12604,13881,0.68785,0.70316
2015,male,At least once per week,0.01038,162,12262,0.00859,0.01217
2015,male,At least once per month,0.01694,271,12262,0.01466,0.01923
2015,male,Seldom,0.05798,853,12262,0.05384,0.06212
2015,male,Never,0.75006,10976,12262,0.74240,0.75772
2015,female,At least once per week,0.00598,75,14404,0.00472,0.00724
2015,female,At least once per month,0.00763,155,14404,0.00621,0.00905
2015,female,Seldom,0.04193,747,14404,0.03865,0.04520
2015,female,Never,0.78756,13427,14404,0.78088,0.79424
2017,male,At least once per week,0.01303,194,12213,0.01102,0.01504
2017,male,At least once per month,0.01857,266,12213,0.01618,0.02097
2017,male,Seldom,0.05584,837,12213,0.05177,0.05991
2017,male,Never,0.73273,10916,12213,0.72488,0.74058
2017,female,At least once per week,0.00645,92,14220,0.00513,0.00776
2017,female,At least once per month,0.00850,162,14220,0.00699,0.01001
2017,female,Seldom,0.04285,710,14220,0.03952,0.04617
2017,female,Never,0.77929,13256,14220,0.77247,0.78611
2019,male,At least once per week,0.01459,290,12209,0.01246,0.01671
2019,male,At least once per month,0.01961,385,12209,0.01715,0.02207
2019,male,Seldom,0.08734,1378,12209,0.08233,0.09235
2019,male,Never,0.69704,10156,12209,0.68889,0.70519
2019,female,At least once per week,0.00795,161,13344,0.00645,0.00946
2019,female,At least once per month,0.01250,248,13344,0.01062,0.01439
2019,female,Seldom,0.07104,1190,13344,0.06668,0.07540
2019,female,Never,0.74300,11745,13344,0.73558,0.75041
