year,age_gr,quintil_oecd,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,30-45 y.,3rd Quintile,Never,0.89567,543,577,0.87071,0.92064
1988,30-45 y.,4th Quintile,Seldom,0.09251,45,535,0.06793,0.11708
1988,30-45 y.,4th Quintile,Never,0.85609,490,535,0.82631,0.88586
1988,30-45 y.,5th Quintile,Seldom,0.11349,65,583,0.08772,0.13926
1988,30-45 y.,5th Quintile,Never,0.83303,518,583,0.80273,0.86333
1988,46-65 y.,1st Quintile,Never,0.92775,485,485,0.90469,0.95082
1988,46-65 y.,2nd Quintile,Never,0.90356,474,474,0.87696,0.93016
1988,46-65 y.,3rd Quintile,Seldom,0.05502,31,604,0.03682,0.07322
1988,46-65 y.,3rd Quintile,Never,0.91026,573,604,0.88744,0.93307
1988,46-65 y.,4th Quintile,Seldom,0.06966,48,706,0.05087,0.08845
1988,46-65 y.,4th Quintile,Never,0.89287,658,706,0.87004,0.91570
1988,46-65 y.,5th Quintile,Seldom,0.08274,58,688,0.06214,0.10334
1988,46-65 y.,5th Quintile,Never,0.85264,630,688,0.82614,0.87915
1988,66 and older,1st Quintile,Never,0.96317,269,269,0.94062,0.98572
1988,66 and older,2nd Quintile,Never,0.96523,255,255,0.94270,0.98776
1988,66 and older,3rd Quintile,Never,0.92183,163,163,0.88049,0.96316
1988,66 and older,4th Quintile,Never,0.95410,150,150,0.92050,0.98771
1988,66 and older,5th Quintile,Never,0.92831,147,147,0.88646,0.97015
1990,17-29 y.,1st Quintile,Seldom,0.11827,43,564,0.09160,0.14495
1990,17-29 y.,1st Quintile,Never,0.84203,521,564,0.81190,0.87216
1990,17-29 y.,2nd Quintile,Seldom,0.12911,60,557,0.10124,0.15698
1990,17-29 y.,2nd Quintile,Never,0.85016,497,557,0.82049,0.87983
1990,17-29 y.,3rd Quintile,Seldom,0.14047,60,537,0.11105,0.16989
1990,17-29 y.,3rd Quintile,Never,0.82608,477,537,0.79399,0.85817
1990,17-29 y.,4th Quintile,Seldom,0.12600,72,599,0.09940,0.15260
1990,17-29 y.,4th Quintile,Never,0.86231,527,599,0.83469,0.88993
1990,17-29 y.,5th Quintile,Seldom,0.09878,46,392,0.06921,0.12836
1990,17-29 y.,5th Quintile,Never,0.85520,346,392,0.82032,0.89008
1990,30-45 y.,1st Quintile,Seldom,0.11795,44,498,0.08959,0.14631
1990,30-45 y.,1st Quintile,Never,0.85005,454,498,0.81866,0.88144
1990,30-45 y.,2nd Quintile,Seldom,0.14642,81,597,0.11803,0.17480
1990,30-45 y.,2nd Quintile,Never,0.81534,516,597,0.78419,0.84649
1990,30-45 y.,3rd Quintile,Seldom,0.21871,104,558,0.18438,0.25304
1990,30-45 y.,3rd Quintile,Never,0.72405,454,558,0.68693,0.76118
1990,30-45 y.,4th Quintile,Seldom,0.17671,73,458,0.14174,0.21168
1990,30-45 y.,4th Quintile,Never,0.77186,385,458,0.73339,0.81034
1990,30-45 y.,5th Quintile,Seldom,0.20045,109,563,0.16735,0.23355
1990,30-45 y.,5th Quintile,Never,0.74750,454,563,0.71158,0.78342
1990,46-65 y.,1st Quintile,Never,0.88574,461,461,0.85666,0.91481
1990,46-65 y.,2nd Quintile,Seldom,0.11327,47,461,0.08430,0.14223
1990,46-65 y.,2nd Quintile,Never,0.84504,414,461,0.81197,0.87811
1990,46-65 y.,3rd Quintile,Seldom,0.14429,72,554,0.11500,0.17357
1990,46-65 y.,3rd Quintile,Never,0.80397,482,554,0.77088,0.83706
1990,46-65 y.,4th Quintile,Seldom,0.15595,92,636,0.12773,0.18416
1990,46-65 y.,4th Quintile,Never,0.78423,544,636,0.75223,0.81622
1990,46-65 y.,5th Quintile,At least once per month,0.05382,33,655,0.03653,0.07112
1990,46-65 y.,5th Quintile,Seldom,0.16226,104,655,0.13401,0.19052
1990,46-65 y.,5th Quintile,Never,0.75353,518,655,0.72050,0.78656
1990,66 and older,1st Quintile,Never,0.94106,265,265,0.91266,0.96947
1990,66 and older,2nd Quintile,Never,0.94115,210,210,0.90924,0.97306
1990,66 and older,3rd Quintile,Never,0.86582,173,173,0.81488,0.91676
1990,66 and older,4th Quintile,Never,0.89831,154,154,0.85042,0.94620
1990,66 and older,5th Quintile,Never,0.85022,135,135,0.78979,0.91064
1992,17-29 y.,1st Quintile,Never,0.92897,658,658,0.90932,0.94861
1992,17-29 y.,2nd Quintile,Never,0.94828,760,760,0.93253,0.96404
1992,17-29 y.,3rd Quintile,Seldom,0.05295,38,747,0.03688,0.06902
1992,17-29 y.,3rd Quintile,Never,0.92513,709,747,0.90624,0.94401
1992,17-29 y.,4th Quintile,Seldom,0.06077,37,726,0.04338,0.07816
1992,17-29 y.,4th Quintile,Never,0.92589,689,726,0.90682,0.94496
1992,17-29 y.,5th Quintile,Seldom,0.05779,36,557,0.03840,0.07719
1992,17-29 y.,5th Quintile,Never,0.93160,521,557,0.91062,0.95258
1992,30-45 y.,1st Quintile,Seldom,0.06387,46,778,0.04668,0.08106
1992,30-45 y.,1st Quintile,Never,0.87577,732,778,0.85258,0.89897
1992,30-45 y.,2nd Quintile,Seldom,0.06978,72,979,0.05382,0.08575
1992,30-45 y.,2nd Quintile,Never,0.88541,907,979,0.86545,0.90538
1992,30-45 y.,3rd Quintile,Seldom,0.06943,67,867,0.05250,0.08636
1992,30-45 y.,3rd Quintile,Never,0.90093,800,867,0.88103,0.92082
1992,30-45 y.,4th Quintile,Seldom,0.09211,56,749,0.07138,0.11283
1992,30-45 y.,4th Quintile,Never,0.87945,693,749,0.85612,0.90278
1992,30-45 y.,5th Quintile,Seldom,0.09169,65,706,0.07038,0.11299
1992,30-45 y.,5th Quintile,Never,0.86285,641,706,0.83746,0.88824
1992,46-65 y.,1st Quintile,Never,0.91939,694,694,0.89912,0.93966
1992,46-65 y.,2nd Quintile,Seldom,0.06040,40,686,0.04256,0.07824
1992,46-65 y.,2nd Quintile,Never,0.89295,646,686,0.86979,0.91610
1992,46-65 y.,3rd Quintile,Seldom,0.04244,33,732,0.02782,0.05705
1992,46-65 y.,3rd Quintile,Never,0.88651,699,732,0.86352,0.90951
1992,46-65 y.,4th Quintile,Seldom,0.06696,55,847,0.05011,0.08380
1992,46-65 y.,4th Quintile,Never,0.86912,792,847,0.84639,0.89185
1992,46-65 y.,5th Quintile,At least once per month,0.04200,33,851,0.02851,0.05548
1992,46-65 y.,5th Quintile,Seldom,0.08804,72,851,0.06899,0.10708
1992,46-65 y.,5th Quintile,Never,0.83116,746,851,0.80598,0.85634
1992,66 and older,1st Quintile,Never,0.93878,481,481,0.91734,0.96023
1992,66 and older,2nd Quintile,Never,0.90500,275,275,0.87028,0.93972
1992,66 and older,3rd Quintile,Never,0.87824,207,207,0.83359,0.92290
1992,66 and older,4th Quintile,Never,0.91515,199,199,0.87634,0.95397
1992,66 and older,5th Quintile,Never,0.88031,173,173,0.83180,0.92882
1994,17-29 y.,1st Quintile,Never,0.92062,639,639,0.89964,0.94159
1994,17-29 y.,2nd Quintile,Seldom,0.06019,32,693,0.04247,0.07792
1994,17-29 y.,2nd Quintile,Never,0.92656,661,693,0.90712,0.94600
1994,17-29 y.,3rd Quintile,Seldom,0.04324,38,695,0.02810,0.05837
1994,17-29 y.,3rd Quintile,Never,0.92501,657,695,0.90541,0.94460
1994,17-29 y.,4th Quintile,Seldom,0.05686,40,705,0.03976,0.07397
1994,17-29 y.,4th Quintile,Never,0.93187,665,705,0.91326,0.95049
1994,17-29 y.,5th Quintile,Never,0.93108,478,478,0.90834,0.95381
1994,30-45 y.,1st Quintile,Never,0.95236,686,686,0.93641,0.96831
1994,30-45 y.,2nd Quintile,Seldom,0.09258,70,917,0.07381,0.11135
1994,30-45 y.,2nd Quintile,Never,0.88199,847,917,0.86109,0.90288
1994,30-45 y.,3rd Quintile,Seldom,0.07776,67,903,0.06029,0.09524
1994,30-45 y.,3rd Quintile,Never,0.88308,836,903,0.86210,0.90405
1994,30-45 y.,4th Quintile,Seldom,0.08155,64,745,0.06189,0.10122
1994,30-45 y.,4th Quintile,Never,0.89171,681,745,0.86938,0.91404
1994,30-45 y.,5th Quintile,Seldom,0.09925,72,743,0.07773,0.12076
1994,30-45 y.,5th Quintile,Never,0.87097,671,743,0.84685,0.89509
1994,46-65 y.,1st Quintile,Never,0.91679,653,653,0.89559,0.93799
1994,46-65 y.,2nd Quintile,Seldom,0.05422,43,643,0.03670,0.07173
1994,46-65 y.,2nd Quintile,Never,0.89651,600,643,0.87294,0.92007
1994,46-65 y.,3rd Quintile,Never,0.88009,689,689,0.85581,0.90436
1994,46-65 y.,4th Quintile,Seldom,0.08200,68,790,0.06285,0.10114
1994,46-65 y.,4th Quintile,Never,0.86392,722,790,0.83999,0.88784
1994,46-65 y.,5th Quintile,At least once per month,0.02913,31,878,0.01800,0.04026
1994,46-65 y.,5th Quintile,Seldom,0.10091,80,878,0.08098,0.12085
1994,46-65 y.,5th Quintile,Never,0.82962,767,878,0.80474,0.85450
1994,66 and older,1st Quintile,Never,0.91975,373,373,0.89214,0.94736
1994,66 and older,2nd Quintile,Never,0.93334,354,354,0.90732,0.95936
1994,66 and older,3rd Quintile,Never,0.90745,257,257,0.87195,0.94295
1994,66 and older,4th Quintile,Never,0.88511,199,199,0.84070,0.92953
1994,66 and older,5th Quintile,Never,0.83774,177,177,0.78327,0.89221
1995,17-29 y.,1st Quintile,Seldom,0.05385,35,749,0.03767,0.07002
1995,17-29 y.,1st Quintile,Never,0.92708,714,749,0.90845,0.94572
1995,17-29 y.,2nd Quintile,Seldom,0.07098,42,708,0.05205,0.08991
1995,17-29 y.,2nd Quintile,Never,0.91835,666,708,0.89817,0.93854
1995,17-29 y.,3rd Quintile,Seldom,0.07764,47,682,0.05754,0.09774
1995,17-29 y.,3rd Quintile,Never,0.90313,635,682,0.88091,0.92534
1995,17-29 y.,4th Quintile,Seldom,0.08297,50,676,0.06216,0.10378
1995,17-29 y.,4th Quintile,Never,0.90097,626,676,0.87844,0.92351
1995,17-29 y.,5th Quintile,Seldom,0.07566,40,481,0.05200,0.09932
1995,17-29 y.,5th Quintile,Never,0.89777,441,481,0.87067,0.92487
1995,30-45 y.,1st Quintile,Seldom,0.07740,50,817,0.05907,0.09574
1995,30-45 y.,1st Quintile,Never,0.88572,767,817,0.86389,0.90755
1995,30-45 y.,2nd Quintile,Seldom,0.11156,82,979,0.09183,0.13129
1995,30-45 y.,2nd Quintile,Never,0.85421,897,979,0.83209,0.87632
1995,30-45 y.,3rd Quintile,Seldom,0.09425,99,920,0.07536,0.11314
1995,30-45 y.,3rd Quintile,Never,0.86317,821,920,0.84095,0.88539
1995,30-45 y.,4th Quintile,Seldom,0.08323,74,800,0.06408,0.10239
1995,30-45 y.,4th Quintile,Never,0.87973,726,800,0.85718,0.90229
1995,30-45 y.,5th Quintile,Seldom,0.10650,85,769,0.08468,0.12831
1995,30-45 y.,5th Quintile,Never,0.85036,684,769,0.82513,0.87559
1995,46-65 y.,1st Quintile,Seldom,0.06665,38,619,0.04699,0.08631
1995,46-65 y.,1st Quintile,Never,0.88806,581,619,0.86320,0.91292
1995,46-65 y.,2nd Quintile,Seldom,0.06751,42,693,0.04881,0.08620
1995,46-65 y.,2nd Quintile,Never,0.89373,651,693,0.87077,0.91669
1995,46-65 y.,3rd Quintile,Seldom,0.08973,58,704,0.06860,0.11086
1995,46-65 y.,3rd Quintile,Never,0.85499,646,704,0.82896,0.88102
1995,46-65 y.,4th Quintile,Seldom,0.10631,91,847,0.08554,0.12708
1995,46-65 y.,4th Quintile,Never,0.84174,756,847,0.81714,0.86633
1995,46-65 y.,5th Quintile,At least once per month,0.03566,38,937,0.02378,0.04754
1995,46-65 y.,5th Quintile,Seldom,0.12849,109,937,0.10706,0.14993
1995,46-65 y.,5th Quintile,Never,0.80151,790,937,0.77596,0.82707
1995,66 and older,1st Quintile,Never,0.92355,278,278,0.89225,0.95484
1995,66 and older,2nd Quintile,Never,0.93026,376,376,0.90447,0.95604
1995,66 and older,3rd Quintile,Never,0.90972,297,297,0.87707,0.94237
1995,66 and older,4th Quintile,Never,0.84917,236,236,0.80341,0.89493
1995,66 and older,5th Quintile,Never,0.81539,187,187,0.75963,0.87115
1996,17-29 y.,1st Quintile,Seldom,0.04558,35,749,0.03063,0.06053
1996,17-29 y.,1st Quintile,Never,0.94412,714,749,0.92766,0.96058
1996,17-29 y.,2nd Quintile,Seldom,0.06397,40,685,0.04563,0.08231
1996,17-29 y.,2nd Quintile,Never,0.92921,645,685,0.90999,0.94843
1996,17-29 y.,3rd Quintile,Seldom,0.06196,39,593,0.04254,0.08138
1996,17-29 y.,3rd Quintile,Never,0.92079,554,593,0.89904,0.94255
1996,17-29 y.,4th Quintile,Seldom,0.09353,53,653,0.07118,0.11588
1996,17-29 y.,4th Quintile,Never,0.89276,600,653,0.86901,0.91651
1996,17-29 y.,5th Quintile,Seldom,0.11530,36,439,0.08539,0.14521
1996,17-29 y.,5th Quintile,Never,0.86654,403,439,0.83469,0.89839
1996,30-45 y.,1st Quintile,Seldom,0.04390,34,816,0.02983,0.05796
1996,30-45 y.,1st Quintile,Never,0.93619,782,816,0.91941,0.95297
1996,30-45 y.,2nd Quintile,Seldom,0.09665,81,986,0.07820,0.11510
1996,30-45 y.,2nd Quintile,Never,0.88141,905,986,0.86122,0.90160
1996,30-45 y.,3rd Quintile,Seldom,0.09088,83,909,0.07218,0.10958
1996,30-45 y.,3rd Quintile,Never,0.87439,826,909,0.85283,0.89594
1996,30-45 y.,4th Quintile,Seldom,0.07317,68,853,0.05568,0.09065
1996,30-45 y.,4th Quintile,Never,0.89170,785,853,0.87083,0.91257
1996,30-45 y.,5th Quintile,Seldom,0.12950,86,754,0.10552,0.15348
1996,30-45 y.,5th Quintile,Never,0.83303,668,754,0.80639,0.85967
1996,46-65 y.,1st Quintile,Never,0.92395,583,583,0.90241,0.94548
1996,46-65 y.,2nd Quintile,Seldom,0.09157,46,629,0.06901,0.11413
1996,46-65 y.,2nd Quintile,Never,0.87539,583,629,0.84955,0.90122
1996,46-65 y.,3rd Quintile,Seldom,0.11105,70,764,0.08876,0.13335
1996,46-65 y.,3rd Quintile,Never,0.86023,694,764,0.83563,0.88484
1996,46-65 y.,4th Quintile,Seldom,0.08260,76,841,0.06399,0.10122
1996,46-65 y.,4th Quintile,Never,0.88009,765,841,0.85812,0.90206
1996,46-65 y.,5th Quintile,Seldom,0.13638,119,906,0.11402,0.15873
1996,46-65 y.,5th Quintile,Never,0.79504,787,906,0.76874,0.82134
1996,66 and older,1st Quintile,Never,0.91932,307,307,0.88881,0.94984
1996,66 and older,2nd Quintile,Never,0.91905,356,356,0.89067,0.94742
1996,66 and older,3rd Quintile,Never,0.93026,308,308,0.90177,0.95875
1996,66 and older,4th Quintile,Never,0.85795,252,252,0.81476,0.90114
1996,66 and older,5th Quintile,Never,0.78587,169,169,0.72384,0.84790
1997,17-29 y.,1st Quintile,Seldom,0.07242,35,671,0.05280,0.09205
1997,17-29 y.,1st Quintile,Never,0.90153,636,671,0.87897,0.92409
1997,17-29 y.,2nd Quintile,Never,0.94356,647,647,0.92577,0.96136
1997,17-29 y.,3rd Quintile,Never,0.92975,545,545,0.90827,0.95122
1997,17-29 y.,4th Quintile,Seldom,0.06870,35,629,0.04892,0.08849
1997,17-29 y.,4th Quintile,Never,0.90309,594,629,0.87995,0.92623
1997,17-29 y.,5th Quintile,Never,0.92585,408,408,0.90039,0.95131
1997,30-45 y.,1st Quintile,Seldom,0.04856,32,763,0.03330,0.06382
1997,30-45 y.,1st Quintile,Never,0.93502,731,763,0.91751,0.95252
1997,30-45 y.,2nd Quintile,Seldom,0.07354,59,981,0.05719,0.08988
1997,30-45 y.,2nd Quintile,Never,0.91608,922,981,0.89872,0.93344
1997,30-45 y.,3rd Quintile,Seldom,0.09119,66,893,0.07230,0.11008
1997,30-45 y.,3rd Quintile,Never,0.87691,827,893,0.85535,0.89847
1997,30-45 y.,4th Quintile,Seldom,0.07327,66,834,0.05557,0.09096
1997,30-45 y.,4th Quintile,Never,0.88932,768,834,0.86801,0.91063
1997,30-45 y.,5th Quintile,Seldom,0.08213,63,776,0.06280,0.10146
1997,30-45 y.,5th Quintile,Never,0.88685,713,776,0.86455,0.90915
1997,46-65 y.,1st Quintile,Never,0.90815,539,539,0.88374,0.93255
1997,46-65 y.,2nd Quintile,Seldom,0.04971,36,660,0.03312,0.06630
1997,46-65 y.,2nd Quintile,Never,0.92140,624,660,0.90086,0.94195
1997,46-65 y.,3rd Quintile,Seldom,0.06886,47,697,0.05005,0.08768
1997,46-65 y.,3rd Quintile,Never,0.90050,650,697,0.87827,0.92274
1997,46-65 y.,4th Quintile,Seldom,0.08172,77,857,0.06337,0.10007
1997,46-65 y.,4th Quintile,Never,0.85926,780,857,0.83596,0.88256
1997,46-65 y.,5th Quintile,Seldom,0.13197,115,906,0.10992,0.15402
1997,46-65 y.,5th Quintile,Never,0.80442,791,906,0.77858,0.83026
1997,66 and older,1st Quintile,Never,0.88342,306,306,0.84740,0.91943
1997,66 and older,2nd Quintile,Never,0.86835,381,381,0.83435,0.90234
1997,66 and older,3rd Quintile,Never,0.91394,316,316,0.88297,0.94491
1997,66 and older,4th Quintile,Never,0.89839,222,222,0.85855,0.93822
1997,66 and older,5th Quintile,Never,0.87569,206,206,0.83052,0.92085
1998,17-29 y.,1st Quintile,Seldom,0.07312,42,684,0.05360,0.09265
1998,17-29 y.,1st Quintile,Never,0.91673,642,684,0.89600,0.93745
1998,17-29 y.,2nd Quintile,Seldom,0.06471,42,647,0.04574,0.08369
1998,17-29 y.,2nd Quintile,Never,0.93277,605,647,0.91346,0.95208
1998,17-29 y.,3rd Quintile,Seldom,0.09490,48,536,0.07006,0.11973
1998,17-29 y.,3rd Quintile,Never,0.88246,488,536,0.85517,0.90975
1998,17-29 y.,4th Quintile,Seldom,0.09005,60,585,0.06683,0.11326
1998,17-29 y.,4th Quintile,Never,0.89180,525,585,0.86660,0.91699
1998,17-29 y.,5th Quintile,Never,0.90138,337,337,0.86950,0.93326
1998,30-45 y.,1st Quintile,Seldom,0.08582,53,741,0.06564,0.10600
1998,30-45 y.,1st Quintile,Never,0.89976,688,741,0.87813,0.92140
1998,30-45 y.,2nd Quintile,Seldom,0.09167,76,931,0.07312,0.11022
1998,30-45 y.,2nd Quintile,Never,0.89434,855,931,0.87458,0.91410
1998,30-45 y.,3rd Quintile,Seldom,0.13365,107,869,0.11101,0.15629
1998,30-45 y.,3rd Quintile,Never,0.83654,762,869,0.81194,0.86114
1998,30-45 y.,4th Quintile,Seldom,0.08456,78,838,0.06571,0.10341
1998,30-45 y.,4th Quintile,Never,0.88729,760,838,0.86587,0.90872
1998,30-45 y.,5th Quintile,Seldom,0.11293,79,742,0.09014,0.13571
1998,30-45 y.,5th Quintile,Never,0.85721,663,742,0.83202,0.88240
1998,46-65 y.,1st Quintile,Never,0.92282,537,537,0.90023,0.94542
1998,46-65 y.,2nd Quintile,Seldom,0.09100,52,608,0.06812,0.11388
1998,46-65 y.,2nd Quintile,Never,0.89344,556,608,0.86890,0.91799
1998,46-65 y.,3rd Quintile,Seldom,0.11223,70,712,0.08903,0.13544
1998,46-65 y.,3rd Quintile,Never,0.85996,642,712,0.83445,0.88546
1998,46-65 y.,4th Quintile,Seldom,0.11398,102,825,0.09228,0.13568
1998,46-65 y.,4th Quintile,Never,0.85036,723,825,0.82601,0.87472
1998,46-65 y.,5th Quintile,Seldom,0.17193,135,857,0.14665,0.19721
1998,46-65 y.,5th Quintile,Never,0.76536,722,857,0.73697,0.79375
1998,66 and older,1st Quintile,Never,0.91865,294,294,0.88735,0.94995
1998,66 and older,2nd Quintile,Never,0.91207,323,323,0.88114,0.94300
1998,66 and older,3rd Quintile,Seldom,0.10041,35,348,0.06878,0.13203
1998,66 and older,3rd Quintile,Never,0.84820,313,348,0.81045,0.88596
1998,66 and older,4th Quintile,Never,0.87720,239,239,0.83550,0.91890
1998,66 and older,5th Quintile,Never,0.80984,191,191,0.75404,0.86564
1999,17-29 y.,1st Quintile,Seldom,0.04719,32,733,0.03183,0.06255
1999,17-29 y.,1st Quintile,Never,0.93048,701,733,0.91205,0.94890
1999,17-29 y.,2nd Quintile,Seldom,0.04574,36,635,0.02948,0.06200
1999,17-29 y.,2nd Quintile,Never,0.93650,599,635,0.91752,0.95548
1999,17-29 y.,3rd Quintile,Seldom,0.05564,31,605,0.03736,0.07392
1999,17-29 y.,3rd Quintile,Never,0.91938,574,605,0.89767,0.94109
1999,17-29 y.,4th Quintile,Seldom,0.06075,34,556,0.04088,0.08062
1999,17-29 y.,4th Quintile,Never,0.92383,522,556,0.90176,0.94590
1999,17-29 y.,5th Quintile,Never,0.89289,360,360,0.86090,0.92488
1999,30-45 y.,1st Quintile,Seldom,0.07368,54,850,0.05611,0.09125
1999,30-45 y.,1st Quintile,Never,0.91135,796,850,0.89223,0.93047
1999,30-45 y.,2nd Quintile,Seldom,0.07458,74,1028,0.05851,0.09065
1999,30-45 y.,2nd Quintile,Never,0.90187,954,1028,0.88368,0.92007
1999,30-45 y.,3rd Quintile,Seldom,0.06829,74,967,0.05238,0.08420
1999,30-45 y.,3rd Quintile,Never,0.90466,893,967,0.88614,0.92318
1999,30-45 y.,4th Quintile,Seldom,0.07561,85,928,0.05859,0.09263
1999,30-45 y.,4th Quintile,Never,0.89975,843,928,0.88042,0.91908
1999,30-45 y.,5th Quintile,Seldom,0.10695,82,815,0.08571,0.12818
1999,30-45 y.,5th Quintile,Never,0.85390,733,815,0.82964,0.87816
1999,46-65 y.,1st Quintile,Seldom,0.04926,34,600,0.03193,0.06659
1999,46-65 y.,1st Quintile,Never,0.92484,566,600,0.90372,0.94595
1999,46-65 y.,2nd Quintile,Seldom,0.06256,39,703,0.04464,0.08047
1999,46-65 y.,2nd Quintile,Never,0.90601,664,703,0.88443,0.92760
1999,46-65 y.,3rd Quintile,Seldom,0.06729,57,765,0.04953,0.08506
1999,46-65 y.,3rd Quintile,Never,0.90048,708,765,0.87925,0.92171
1999,46-65 y.,4th Quintile,Seldom,0.08318,84,921,0.06533,0.10102
1999,46-65 y.,4th Quintile,Never,0.86205,837,921,0.83977,0.88433
1999,46-65 y.,5th Quintile,At least once per month,0.03700,47,1050,0.02558,0.04842
1999,46-65 y.,5th Quintile,Seldom,0.10944,120,1050,0.09054,0.12833
1999,46-65 y.,5th Quintile,Never,0.81077,883,1050,0.78706,0.83447
