year,regtyp,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,Rural regions,Never,0.69771,4300,4940,0.68490,0.71051
1999,Urban regions,At least once per week,0.00755,76,8797,0.00574,0.00936
1999,Urban regions,At least once per month,0.01228,137,8797,0.00998,0.01458
1999,Urban regions,Seldom,0.05576,577,8797,0.05097,0.06056
1999,Urban regions,Never,0.74537,8007,8797,0.73627,0.75447
1999,Rural regions,At least once per week,0.00824,45,4759,0.00567,0.01080
1999,Rural regions,At least once per month,0.01463,86,4759,0.01122,0.01805
1999,Rural regions,Seldom,0.06843,397,4759,0.06125,0.07560
1999,Rural regions,Never,0.71854,4231,4759,0.70576,0.73131
2001,Urban regions,At least once per week,0.00746,129,14097,0.00604,0.00889
2001,Urban regions,At least once per month,0.01190,207,14097,0.01011,0.01369
2001,Urban regions,Seldom,0.05110,869,14097,0.04747,0.05474
2001,Urban regions,Never,0.74405,12892,14097,0.73684,0.75125
2001,Rural regions,At least once per week,0.00679,63,7534,0.00493,0.00864
2001,Rural regions,At least once per month,0.01913,169,7534,0.01603,0.02222
2001,Rural regions,Seldom,0.05391,519,7534,0.04881,0.05901
2001,Rural regions,Never,0.73844,6783,7534,0.72852,0.74837
2003,Urban regions,At least once per week,0.00797,168,14638,0.00653,0.00941
2003,Urban regions,At least once per month,0.01387,267,14638,0.01198,0.01577
2003,Urban regions,Seldom,0.06901,1218,14638,0.06490,0.07311
2003,Urban regions,Never,0.73422,12985,14638,0.72706,0.74138
2003,Rural regions,At least once per week,0.00791,86,7389,0.00589,0.00993
2003,Rural regions,At least once per month,0.01881,181,7389,0.01571,0.02191
2003,Rural regions,Seldom,0.08490,778,7389,0.07855,0.09126
2003,Rural regions,Never,0.71892,6344,7389,0.70867,0.72917
2005,Urban regions,At least once per week,0.00808,151,13648,0.00658,0.00958
2005,Urban regions,At least once per month,0.01169,222,13648,0.00989,0.01350
2005,Urban regions,Seldom,0.05312,893,13648,0.04936,0.05688
2005,Urban regions,Never,0.75853,12382,13648,0.75135,0.76571
2005,Rural regions,At least once per week,0.00770,81,6893,0.00564,0.00976
2005,Rural regions,At least once per month,0.02231,166,6893,0.01882,0.02580
2005,Rural regions,Seldom,0.06893,604,6893,0.06295,0.07491
2005,Rural regions,Never,0.73561,6042,6893,0.72520,0.74602
2007,Urban regions,At least once per week,0.00677,120,13301,0.00538,0.00816
2007,Urban regions,At least once per month,0.00994,185,13301,0.00826,0.01163
2007,Urban regions,Seldom,0.04026,728,13301,0.03692,0.04360
2007,Urban regions,Never,0.76285,12268,13301,0.75562,0.77008
2007,Rural regions,At least once per week,0.00802,81,6999,0.00593,0.01012
2007,Rural regions,At least once per month,0.01098,125,6999,0.00854,0.01342
2007,Rural regions,Seldom,0.04904,441,6999,0.04398,0.05410
2007,Rural regions,Never,0.76034,6352,6999,0.75034,0.77034
2008,Urban regions,At least once per week,0.00581,106,12594,0.00448,0.00714
2008,Urban regions,At least once per month,0.01199,228,12594,0.01009,0.01389
2008,Urban regions,Seldom,0.05713,931,12594,0.05307,0.06118
2008,Urban regions,Never,0.75672,11329,12594,0.74923,0.76422
2008,Rural regions,At least once per week,0.00813,86,6626,0.00596,0.01029
2008,Rural regions,At least once per month,0.01567,166,6626,0.01268,0.01866
2008,Rural regions,Seldom,0.06714,554,6626,0.06111,0.07317
2008,Rural regions,Never,0.75064,5820,6626,0.74022,0.76106
2009,Urban regions,At least once per week,0.00530,81,11581,0.00398,0.00662
2009,Urban regions,At least once per month,0.01028,177,11581,0.00844,0.01211
2009,Urban regions,Seldom,0.04555,656,11581,0.04175,0.04934
2009,Urban regions,Never,0.77002,10667,11581,0.76235,0.77768
2009,Rural regions,At least once per week,0.00637,69,6285,0.00440,0.00834
2009,Rural regions,At least once per month,0.01311,115,6285,0.01029,0.01592
2009,Rural regions,Seldom,0.05950,444,6285,0.05365,0.06535
2009,Rural regions,Never,0.75949,5657,6285,0.74892,0.77006
2011,Urban regions,At least once per week,0.00775,172,18086,0.00647,0.00903
2011,Urban regions,At least once per month,0.01051,260,18086,0.00903,0.01200
2011,Urban regions,Seldom,0.04863,1056,18086,0.04550,0.05177
2011,Urban regions,Never,0.76339,16598,18086,0.75720,0.76959
2011,Rural regions,At least once per week,0.00866,114,10168,0.00686,0.01046
2011,Rural regions,At least once per month,0.01586,207,10168,0.01343,0.01829
2011,Rural regions,Seldom,0.05579,627,10168,0.05132,0.06025
2011,Rural regions,Never,0.75507,9220,10168,0.74671,0.76343
2013,Urban regions,At least once per week,0.00872,176,16093,0.00729,0.01016
2013,Urban regions,At least once per month,0.01243,286,16093,0.01072,0.01414
2013,Urban regions,Seldom,0.06334,1304,16093,0.05958,0.06710
2013,Urban regions,Never,0.65701,14327,16093,0.64967,0.66434
2013,Rural regions,At least once per week,0.00842,120,9258,0.00656,0.01028
2013,Rural regions,At least once per month,0.01797,217,9258,0.01527,0.02068
2013,Rural regions,Seldom,0.07564,829,9258,0.07026,0.08103
2013,Rural regions,Never,0.68844,8092,9258,0.67901,0.69788
2015,Urban regions,At least once per week,0.00833,151,17410,0.00698,0.00968
2015,Urban regions,At least once per month,0.01110,247,17410,0.00954,0.01265
2015,Urban regions,Seldom,0.04629,969,17410,0.04317,0.04941
2015,Urban regions,Never,0.77238,16043,17410,0.76615,0.77861
2015,Rural regions,At least once per week,0.00775,86,9256,0.00596,0.00954
2015,Rural regions,At least once per month,0.01458,179,9256,0.01214,0.01703
2015,Rural regions,Seldom,0.05732,631,9256,0.05259,0.06206
2015,Rural regions,Never,0.76211,8360,9256,0.75343,0.77078
2017,Urban regions,At least once per week,0.00980,181,17076,0.00832,0.01128
2017,Urban regions,At least once per month,0.01236,239,17076,0.01071,0.01402
2017,Urban regions,Seldom,0.04562,923,17076,0.04249,0.04875
2017,Urban regions,Never,0.75930,15733,17076,0.75289,0.76571
2017,Rural regions,At least once per week,0.00951,105,9357,0.00754,0.01148
2017,Rural regions,At least once per month,0.01596,189,9357,0.01342,0.01850
2017,Rural regions,Seldom,0.05731,624,9357,0.05260,0.06202
2017,Rural regions,Never,0.74936,8439,9357,0.74058,0.75814
2019,Urban regions,At least once per week,0.01110,249,16268,0.00949,0.01271
2019,Urban regions,At least once per month,0.01416,346,16268,0.01234,0.01598
2019,Urban regions,Seldom,0.07874,1640,16268,0.07460,0.08288
2019,Urban regions,Never,0.72137,14033,16268,0.71448,0.72826
2019,Rural regions,At least once per week,0.01029,175,8740,0.00818,0.01241
2019,Rural regions,At least once per month,0.01836,262,8740,0.01555,0.02118
2019,Rural regions,Seldom,0.07791,848,8740,0.07229,0.08353
2019,Rural regions,Never,0.72111,7455,8740,0.71171,0.73051
