,Unnamed: 0,year,bula_h,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
27,27,2003,"Rhineland-Palatinate, Saarland",Often,0.18349,251,21915,0.16802,0.20109
28,28,2003,"Rhineland-Palatinate, Saarland",Sometimes,0.30534,416,21915,0.28138,0.32627
29,29,2003,"Rhineland-Palatinate, Saarland",Seldom,0.25183,335,21915,0.23458,0.26702
30,30,2003,"Rhineland-Palatinate, Saarland",Never,0.22881,274,21915,0.21371,0.24386
31,31,2003,Baden-Wuerttemberg,Very often,0.03597,97,21915,0.03035,0.04219
32,32,2003,Baden-Wuerttemberg,Often,0.1442,395,21915,0.13076,0.15813
33,33,2003,Baden-Wuerttemberg,Sometimes,0.34787,955,21915,0.32927,0.36391
34,34,2003,Baden-Wuerttemberg,Seldom,0.2925,757,21915,0.27519,0.30972
35,35,2003,Baden-Wuerttemberg,Never,0.17947,472,21915,0.16676,0.19377
36,36,2003,Bavaria,Very often,0.04153,128,21915,0.03614,0.04827
37,37,2003,Bavaria,Often,0.15079,498,21915,0.13987,0.16261
38,38,2003,Bavaria,Sometimes,0.30935,1039,21915,0.29327,0.32444
39,39,2003,Bavaria,Seldom,0.28721,924,21915,0.27222,0.30316
40,40,2003,Bavaria,Never,0.21112,522,21915,0.19866,0.22158
41,41,2003,Berlin,Very often,0.05401,52,21915,0.04418,0.06575
42,42,2003,Berlin,Often,0.18508,162,21915,0.16385,0.20868
43,43,2003,Berlin,Sometimes,0.36807,292,21915,0.34042,0.40113
44,44,2003,Berlin,Seldom,0.23568,209,21915,0.21307,0.26132
45,45,2003,Berlin,Never,0.15715,101,21915,0.13725,0.17701
46,46,2003,Brandenburg,Very often,0.05086,39,21915,0.03957,0.0644
47,47,2003,Brandenburg,Often,0.12611,118,21915,0.11036,0.14316
48,48,2003,Brandenburg,Sometimes,0.34218,345,21915,0.31108,0.3683
49,49,2003,Brandenburg,Seldom,0.26696,253,21915,0.2463,0.292
50,50,2003,Brandenburg,Never,0.21389,180,21915,0.19767,0.2318
51,51,2003,Mecklenburg-Western Pomerania,Often,0.15488,89,21915,0.12891,0.1806
52,52,2003,Mecklenburg-Western Pomerania,Sometimes,0.33788,178,21915,0.30067,0.37019
53,53,2003,Mecklenburg-Western Pomerania,Seldom,0.30096,160,21915,0.2737,0.33521
54,54,2003,Mecklenburg-Western Pomerania,Never,0.20628,82,21915,0.1867,0.23156
55,55,2003,Saxony,Very often,0.02368,44,21915,0.01691,0.02986
56,56,2003,Saxony,Often,0.16105,266,21915,0.15063,0.17482
57,57,2003,Saxony,Sometimes,0.32104,538,21915,0.30176,0.34034
58,58,2003,Saxony,Seldom,0.295,468,21915,0.27642,0.31356
59,59,2003,Saxony,Never,0.19922,286,21915,0.18798,0.21146
60,60,2003,Saxony-Anhalt,Very often,0.03045,38,21915,0.02296,0.03845
61,61,2003,Saxony-Anhalt,Often,0.17765,173,21915,0.15897,0.19675
62,62,2003,Saxony-Anhalt,Sometimes,0.23945,241,21915,0.217,0.26231
63,63,2003,Saxony-Anhalt,Seldom,0.29211,279,21915,0.26768,0.31661
64,64,2003,Saxony-Anhalt,Never,0.26034,199,21915,0.24178,0.27832
65,65,2003,Thuringa,Often,0.12357,119,21915,0.09863,0.14561
66,66,2003,Thuringa,Sometimes,0.30731,324,21915,0.28352,0.33517
67,67,2003,Thuringa,Seldom,0.31515,304,21915,0.29092,0.34905
68,68,2003,Thuringa,Never,0.25397,179,21915,0.2279,0.27678
69,69,2008,Schleswig-Holstein,Often,0.1826,92,19034,0.15063,0.21648
70,70,2008,Schleswig-Holstein,Sometimes,0.28445,155,19034,0.25319,0.31914
71,71,2008,Schleswig-Holstein,Seldom,0.3545,184,19034,0.3161,0.39558
72,72,2008,Schleswig-Holstein,Never,0.17845,106,19034,0.15789,0.2007
73,73,2008,Hamburg,Often,0.18361,51,19034,0.13302,0.23094
74,74,2008,Hamburg,Sometimes,0.39368,104,19034,0.33606,0.45057
75,75,2008,Hamburg,Seldom,0.23695,65,19034,0.18884,0.28811
76,76,2008,Hamburg,Never,0.18576,47,19034,0.15766,0.21923
77,77,2008,Lower Saxony,Very often,0.03816,64,19034,0.03089,0.0456
78,78,2008,Lower Saxony,Often,0.17342,298,19034,0.15508,0.1915
79,79,2008,Lower Saxony,Sometimes,0.33698,608,19034,0.31578,0.36249
80,80,2008,Lower Saxony,Seldom,0.2795,472,19034,0.26215,0.30035
81,81,2008,Lower Saxony,Never,0.17194,282,19034,0.1592,0.18462
82,82,2008,Bremen,Sometimes,0.55887,56,19034,0.43468,0.68341
83,83,2008,Bremen,Seldom,0.44113,44,19034,0.35561,0.53916
84,84,2008,North Rhine-Westphalia,Very often,0.02757,109,19034,0.0233,0.03294
85,85,2008,North Rhine-Westphalia,Often,0.15813,625,19034,0.14839,0.16959
86,86,2008,North Rhine-Westphalia,Sometimes,0.32482,1313,19034,0.30925,0.3408
87,87,2008,North Rhine-Westphalia,Seldom,0.286,1142,19034,0.27404,0.29896
88,88,2008,North Rhine-Westphalia,Never,0.20348,730,19034,0.19384,0.21459
89,89,2008,Hesse,Very often,0.0394,49,19034,0.03226,0.04809
90,90,2008,Hesse,Often,0.15629,212,19034,0.13809,0.17383
91,91,2008,Hesse,Sometimes,0.35856,471,19034,0.33114,0.38807
92,92,2008,Hesse,Seldom,0.27358,361,19034,0.24601,0.29314
93,93,2008,Hesse,Never,0.17218,204,19034,0.15731,0.18792
94,94,2008,"Rhineland-Palatinate, Saarland",Very often,0.03254,39,19034,0.02374,0.044
95,95,2008,"Rhineland-Palatinate, Saarland",Often,0.13247,164,19034,0.1168,0.14748
96,96,2008,"Rhineland-Palatinate, Saarland",Sometimes,0.34351,349,19034,0.31718,0.37665
97,97,2008,"Rhineland-Palatinate, Saarland",Seldom,0.26591,287,19034,0.24233,0.28772
98,98,2008,"Rhineland-Palatinate, Saarland",Never,0.22557,233,19034,0.20766,0.24447
99,99,2008,Baden-Wuerttemberg,Very often,0.03148,83,19034,0.0255,0.03729
100,100,2008,Baden-Wuerttemberg,Often,0.15275,402,19034,0.13823,0.16638
101,101,2008,Baden-Wuerttemberg,Sometimes,0.35786,837,19034,0.33559,0.38042
102,102,2008,Baden-Wuerttemberg,Seldom,0.29356,698,19034,0.27525,0.31312
103,103,2008,Baden-Wuerttemberg,Never,0.16435,326,19034,0.15263,0.17593
104,104,2008,Bavaria,Very often,0.03671,91,19034,0.03048,0.04226
105,105,2008,Bavaria,Often,0.13413,400,19034,0.12242,0.14718
106,106,2008,Bavaria,Sometimes,0.32163,915,19034,0.30473,0.33888
107,107,2008,Bavaria,Seldom,0.30419,850,19034,0.28703,0.32294
108,108,2008,Bavaria,Never,0.20335,473,19034,0.19173,0.21666
109,109,2008,Berlin,Often,0.189,131,19034,0.16476,0.2095
110,110,2008,Berlin,Sometimes,0.36095,251,19034,0.32921,0.39561
111,111,2008,Berlin,Seldom,0.26587,187,19034,0.23837,0.2971
112,112,2008,Berlin,Never,0.18418,117,19034,0.15752,0.21017
113,113,2008,Brandenburg,Very often,0.03834,32,19034,0.02931,0.04644
114,114,2008,Brandenburg,Often,0.14289,117,19034,0.12221,0.16389
115,115,2008,Brandenburg,Sometimes,0.32053,270,19034,0.28643,0.36455
116,116,2008,Brandenburg,Seldom,0.29791,233,19034,0.25766,0.33036
117,117,2008,Brandenburg,Never,0.20033,164,19034,0.17895,0.2227
118,118,2008,Mecklenburg-Western Pomerania,Often,0.11929,59,19034,0.0942,0.14866
119,119,2008,Mecklenburg-Western Pomerania,Sometimes,0.3528,164,19034,0.30783,0.39607
120,120,2008,Mecklenburg-Western Pomerania,Seldom,0.34212,167,19034,0.29927,0.38601
121,121,2008,Mecklenburg-Western Pomerania,Never,0.18579,79,19034,0.15595,0.2134
122,122,2008,Saxony,Very often,0.0177,31,19034,0.01375,0.02272
123,123,2008,Saxony,Often,0.16176,217,19034,0.14486,0.18166
124,124,2008,Saxony,Sometimes,0.34719,506,19034,0.32235,0.36866
125,125,2008,Saxony,Seldom,0.30832,434,19034,0.28287,0.33743
126,126,2008,Saxony,Never,0.16503,237,19034,0.15262,0.17693
127,127,2008,Saxony-Anhalt,Often,0.13904,122,19034,0.11682,0.16422
128,128,2008,Saxony-Anhalt,Sometimes,0.34778,285,19034,0.3091,0.38825
129,129,2008,Saxony-Anhalt,Seldom,0.31453,255,19034,0.28666,0.34776
130,130,2008,Saxony-Anhalt,Never,0.19864,133,19034,0.16825,0.23005
131,131,2008,Thuringa,Often,0.12426,107,19034,0.09767,0.1488
132,132,2008,Thuringa,Sometimes,0.30758,276,19034,0.2747,0.34512
133,133,2008,Thuringa,Seldom,0.34168,285,19034,0.3058,0.37896
134,134,2008,Thuringa,Never,0.22649,184,19034,0.20682,0.24601
135,135,2013,Schleswig-Holstein,Often,0.15873,147,25282,0.13161,0.19174
136,136,2013,Schleswig-Holstein,Sometimes,0.37953,332,25282,0.33051,0.43042
137,137,2013,Schleswig-Holstein,Seldom,0.34405,303,25282,0.29346,0.39778
138,138,2013,Schleswig-Holstein,Never,0.1177,96,25282,0.09679,0.13854
139,139,2013,Hamburg,Often,0.18187,72,25282,0.14452,0.24006
140,140,2013,Hamburg,Sometimes,0.37495,160,25282,0.29042,0.44387
141,141,2013,Hamburg,Seldom,0.30625,112,25282,0.25431,0.36049
142,142,2013,Hamburg,Never,0.13694,41,25282,0.10463,0.17391
143,143,2013,Lower Saxony,Very often,0.02318,67,25282,0.01759,0.03096
144,144,2013,Lower Saxony,Often,0.13457,353,25282,0.11722,0.15128
145,145,2013,Lower Saxony,Sometimes,0.32738,849,25282,0.30098,0.35407
146,146,2013,Lower Saxony,Seldom,0.3376,803,25282,0.31319,0.3652
147,147,2013,Lower Saxony,Never,0.17726,373,25282,0.1573,0.19632
148,148,2013,Bremen,Often,0.13882,33,25282,0.10231,0.18067
149,149,2013,Bremen,Sometimes,0.46756,74,25282,0.33458,0.61137
150,150,2013,Bremen,Seldom,0.39361,55,25282,0.28287,0.52974
151,151,2013,North Rhine-Westphalia,Very often,0.02668,136,25282,0.02237,0.03147
152,152,2013,North Rhine-Westphalia,Often,0.16333,867,25282,0.15223,0.1789
153,153,2013,North Rhine-Westphalia,Sometimes,0.32859,1731,25282,0.31081,0.34668
154,154,2013,North Rhine-Westphalia,Seldom,0.3036,1560,25282,0.28721,0.32214
155,155,2013,North Rhine-Westphalia,Never,0.1778,804,25282,0.16329,0.18841
156,156,2013,Hesse,Very often,0.02984,66,25282,0.02203,0.03746
157,157,2013,Hesse,Often,0.15295,297,25282,0.13,0.18128
158,158,2013,Hesse,Sometimes,0.33675,638,25282,0.30164,0.36842
159,159,2013,Hesse,Seldom,0.33991,546,25282,0.31007,0.36556
160,160,2013,Hesse,Never,0.14055,194,25282,0.12469,0.15627
161,161,2013,"Rhineland-Palatinate, Saarland",Very often,0.02161,31,25282,0.01433,0.02859
162,162,2013,"Rhineland-Palatinate, Saarland",Often,0.16056,249,25282,0.14235,0.17887
163,163,2013,"Rhineland-Palatinate, Saarland",Sometimes,0.33321,454,25282,0.30271,0.36847
164,164,2013,"Rhineland-Palatinate, Saarland",Seldom,0.30003,425,25282,0.27134,0.33172
165,165,2013,"Rhineland-Palatinate, Saarland",Never,0.1846,230,25282,0.16542,0.20448
166,166,2013,Baden-Wuerttemberg,Very often,0.02323,81,25282,0.01767,0.02908
167,167,2013,Baden-Wuerttemberg,Often,0.14901,520,25282,0.13135,0.16444
168,168,2013,Baden-Wuerttemberg,Sometimes,0.34617,1110,25282,0.32125,0.37171
169,169,2013,Baden-Wuerttemberg,Seldom,0.33508,904,25282,0.30981,0.35544
170,170,2013,Baden-Wuerttemberg,Never,0.14651,389,25282,0.13374,0.16088
171,171,2013,Bavaria,Very often,0.02842,113,25282,0.02112,0.03576
172,172,2013,Bavaria,Often,0.15271,678,25282,0.13892,0.16656
173,173,2013,Bavaria,Sometimes,0.33086,1412,25282,0.31018,0.35167
174,174,2013,Bavaria,Seldom,0.31371,1256,25282,0.29248,0.32979
175,175,2013,Bavaria,Never,0.1743,551,25282,0.15932,0.19042
176,176,2013,Berlin,Very often,0.02607,34,25282,0.01806,0.03441
177,177,2013,Berlin,Often,0.16826,184,25282,0.14327,0.19666
178,178,2013,Berlin,Sometimes,0.36726,360,25282,0.33124,0.40392
179,179,2013,Berlin,Seldom,0.29862,286,25282,0.26145,0.33237
180,180,2013,Berlin,Never,0.13979,118,25282,0.12168,0.16233
181,181,2013,Brandenburg,Often,0.10827,127,25282,0.0866,0.13525
182,182,2013,Brandenburg,Sometimes,0.32584,314,25282,0.28854,0.372
183,183,2013,Brandenburg,Seldom,0.3656,360,25282,0.32582,0.40742
184,184,2013,Brandenburg,Never,0.20029,191,25282,0.17592,0.22847
185,185,2013,Mecklenburg-Western Pomerania,Often,0.13012,80,25282,0.09752,0.16731
186,186,2013,Mecklenburg-Western Pomerania,Sometimes,0.33382,203,25282,0.28284,0.38887
187,187,2013,Mecklenburg-Western Pomerania,Seldom,0.33904,181,25282,0.29333,0.39731
188,188,2013,Mecklenburg-Western Pomerania,Never,0.19702,109,25282,0.16841,0.23198
189,189,2013,Saxony,Very often,0.01097,34,25282,0.00726,0.01446
190,190,2013,Saxony,Often,0.12777,223,25282,0.10802,0.14765
191,191,2013,Saxony,Sometimes,0.33426,527,25282,0.29958,0.36523
192,192,2013,Saxony,Seldom,0.34565,599,25282,0.3148,0.38033
193,193,2013,Saxony,Never,0.18134,323,25282,0.16606,0.2009
194,194,2013,Saxony-Anhalt,Often,0.09876,108,25282,0.07886,0.11969
195,195,2013,Saxony-Anhalt,Sometimes,0.32151,313,25282,0.28378,0.3698
196,196,2013,Saxony-Anhalt,Seldom,0.3279,316,25282,0.2893,0.37093
197,197,2013,Saxony-Anhalt,Never,0.25183,209,25282,0.2161,0.28986
198,198,2013,Thuringa,Often,0.08103,89,25282,0.06531,0.09736
199,199,2013,Thuringa,Sometimes,0.31341,297,25282,0.27323,0.3575
200,200,2013,Thuringa,Seldom,0.32837,345,25282,0.29283,0.36659
201,201,2013,Thuringa,Never,0.27719,240,25282,0.25388,0.30395
202,202,2018,Schleswig-Holstein,Very often,0.02884,31,25491,0.02003,0.04023
203,203,2018,Schleswig-Holstein,Often,0.15034,148,25491,0.12454,0.18044
204,204,2018,Schleswig-Holstein,Sometimes,0.41565,355,25491,0.37307,0.46138
205,205,2018,Schleswig-Holstein,Seldom,0.27799,274,25491,0.24352,0.31394
206,206,2018,Schleswig-Holstein,Never,0.12718,116,25491,0.10643,0.15058
207,207,2018,Hamburg,Often,0.22381,85,25491,0.1826,0.2703
208,208,2018,Hamburg,Sometimes,0.32444,156,25491,0.26823,0.3849
209,209,2018,Hamburg,Seldom,0.31331,146,25491,0.25698,0.38149
210,210,2018,Hamburg,Never,0.13844,67,25491,0.09632,0.17484
211,211,2018,Lower Saxony,Very often,0.03235,97,25491,0.02739,0.03893
212,212,2018,Lower Saxony,Often,0.15345,421,25491,0.14001,0.17103
213,213,2018,Lower Saxony,Sometimes,0.34025,948,25491,0.31531,0.36074
214,214,2018,Lower Saxony,Seldom,0.32216,741,25491,0.29595,0.3497
215,215,2018,Lower Saxony,Never,0.1518,320,25491,0.13443,0.1685
216,216,2018,Bremen,Often,0.17999,41,25491,0.11658,0.27111
217,217,2018,Bremen,Sometimes,0.30742,73,25491,0.22269,0.41433
218,218,2018,Bremen,Seldom,0.33171,64,25491,0.24033,0.44871
219,219,2018,Bremen,Never,0.18088,34,25491,0.10307,0.27519
220,220,2018,North Rhine-Westphalia,Very often,0.03958,215,25491,0.03321,0.04646
221,221,2018,North Rhine-Westphalia,Often,0.18674,991,25491,0.17301,0.20106
222,222,2018,North Rhine-Westphalia,Sometimes,0.34882,1935,25491,0.332,0.36736
223,223,2018,North Rhine-Westphalia,Seldom,0.27631,1482,25491,0.26152,0.29309
224,224,2018,North Rhine-Westphalia,Never,0.14856,769,25491,0.13661,0.16265
225,225,2018,Hesse,Very often,0.03822,83,25491,0.02969,0.04767
226,226,2018,Hesse,Often,0.17774,317,25491,0.15513,0.19886
227,227,2018,Hesse,Sometimes,0.34918,627,25491,0.31827,0.3764
228,228,2018,Hesse,Seldom,0.30557,475,25491,0.27031,0.33674
229,229,2018,Hesse,Never,0.12929,195,25491,0.11405,0.1477
230,230,2018,"Rhineland-Palatinate, Saarland",Very often,0.03033,62,25491,0.0235,0.03886
231,231,2018,"Rhineland-Palatinate, Saarland",Often,0.18228,239,25491,0.15277,0.20922
232,232,2018,"Rhineland-Palatinate, Saarland",Sometimes,0.34057,505,25491,0.31488,0.37289
233,233,2018,"Rhineland-Palatinate, Saarland",Seldom,0.26841,391,25491,0.2399,0.29952
234,234,2018,"Rhineland-Palatinate, Saarland",Never,0.17841,280,25491,0.15501,0.20013
235,235,2018,Baden-Wuerttemberg,Very often,0.04368,115,25491,0.03645,0.05099
236,236,2018,Baden-Wuerttemberg,Often,0.15955,497,25491,0.14441,0.17678
237,237,2018,Baden-Wuerttemberg,Sometimes,0.35399,978,25491,0.33086,0.37419
238,238,2018,Baden-Wuerttemberg,Seldom,0.29764,808,25491,0.27692,0.32001
239,239,2018,Baden-Wuerttemberg,Never,0.14514,385,25491,0.13084,0.15918
240,240,2018,Bavaria,Very often,0.03999,144,25491,0.03074,0.04962
241,241,2018,Bavaria,Often,0.17405,684,25491,0.16018,0.18739
242,242,2018,Bavaria,Sometimes,0.33573,1360,25491,0.31099,0.35995
243,243,2018,Bavaria,Seldom,0.29897,1215,25491,0.28074,0.31853
244,244,2018,Bavaria,Never,0.15126,570,25491,0.13613,0.16468
245,245,2018,Berlin,Very often,0.03983,48,25491,0.02982,0.05285
246,246,2018,Berlin,Often,0.19511,203,25491,0.16501,0.21754
247,247,2018,Berlin,Sometimes,0.31273,342,25491,0.28155,0.34684
248,248,2018,Berlin,Seldom,0.30538,293,25491,0.27582,0.34076
249,249,2018,Berlin,Never,0.14694,110,25491,0.12469,0.17354
250,250,2018,Brandenburg,Very often,0.0262,36,25491,0.01753,0.03891
251,251,2018,Brandenburg,Often,0.12383,112,25491,0.09566,0.1499
252,252,2018,Brandenburg,Sometimes,0.3645,377,25491,0.31363,0.41228
253,253,2018,Brandenburg,Seldom,0.30085,312,25491,0.26456,0.3364
254,254,2018,Brandenburg,Never,0.18463,190,25491,0.15828,0.21148
255,255,2018,Mecklenburg-Western Pomerania,Often,0.12931,81,25491,0.10386,0.15762
256,256,2018,Mecklenburg-Western Pomerania,Sometimes,0.35086,195,25491,0.29339,0.4169
257,257,2018,Mecklenburg-Western Pomerania,Seldom,0.28376,180,25491,0.2499,0.32433
258,258,2018,Mecklenburg-Western Pomerania,Never,0.23608,126,25491,0.19691,0.27727
259,259,2018,Saxony,Very often,0.02573,44,25491,0.01721,0.03568
260,260,2018,Saxony,Often,0.14453,233,25491,0.12561,0.17243
261,261,2018,Saxony,Sometimes,0.33239,515,25491,0.29991,0.36307
262,262,2018,Saxony,Seldom,0.32264,529,25491,0.29341,0.35514
263,263,2018,Saxony,Never,0.17472,298,25491,0.15443,0.20003
264,264,2018,Saxony-Anhalt,Very often,0.02382,35,25491,0.01787,0.03157
265,265,2018,Saxony-Anhalt,Often,0.12563,116,25491,0.10268,0.14243
266,266,2018,Saxony-Anhalt,Sometimes,0.32419,291,25491,0.28919,0.36992
267,267,2018,Saxony-Anhalt,Seldom,0.33847,305,25491,0.292,0.39879
268,268,2018,Saxony-Anhalt,Never,0.1879,163,25491,0.15752,0.22484
269,269,2018,Thuringa,Often,0.13923,122,25491,0.11633,0.16279
270,270,2018,Thuringa,Sometimes,0.29087,274,25491,0.2453,0.34169
271,271,2018,Thuringa,Seldom,0.35727,318,25491,0.31642,0.40012
272,272,2018,Thuringa,Never,0.21263,204,25491,0.18967,0.24662
