year,pgisced97,quintil_oecd,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2008,Upper Secondary Level,4th Quintile,Sometimes,0.35672,745,17977,0.35638,0.35705
2008,Upper Secondary Level,4th Quintile,Seldom,0.30596,664,17977,0.30564,0.30628
2008,Upper Secondary Level,4th Quintile,Never,0.16289,326,17977,0.16263,0.16315
2008,Upper Secondary Level,5th Quintile,Very often,0.03283,63,17977,0.03268,0.03298
2008,Upper Secondary Level,5th Quintile,Often,0.16152,322,17977,0.16122,0.16183
2008,Upper Secondary Level,5th Quintile,Sometimes,0.32656,639,17977,0.32618,0.32695
2008,Upper Secondary Level,5th Quintile,Seldom,0.33283,621,17977,0.33244,0.33322
2008,Upper Secondary Level,5th Quintile,Never,0.14625,261,17977,0.14596,0.14654
2008,Post-secondary Non-tertiary Level,1st Quintile,Often,0.29996,31,17977,0.29868,0.30123
2008,Post-secondary Non-tertiary Level,1st Quintile,Sometimes,0.37961,40,17977,0.37826,0.38096
2008,Post-secondary Non-tertiary Level,1st Quintile,Seldom,0.32043,33,17977,0.31913,0.32173
2008,Post-secondary Non-tertiary Level,2nd Quintile,Often,0.21800,34,17977,0.21696,0.21903
2008,Post-secondary Non-tertiary Level,2nd Quintile,Sometimes,0.43976,62,17977,0.43851,0.44101
2008,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,0.34224,46,17977,0.34105,0.34344
2008,Post-secondary Non-tertiary Level,3rd Quintile,Often,0.18991,37,17977,0.18901,0.19080
2008,Post-secondary Non-tertiary Level,3rd Quintile,Sometimes,0.48152,85,17977,0.48038,0.48267
2008,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.32857,53,17977,0.32750,0.32964
2008,Post-secondary Non-tertiary Level,4th Quintile,Often,0.21760,50,17977,0.21672,0.21848
2008,Post-secondary Non-tertiary Level,4th Quintile,Sometimes,0.47334,107,17977,0.47227,0.47440
2008,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.30906,70,17977,0.30808,0.31005
2008,Post-secondary Non-tertiary Level,5th Quintile,Often,0.20565,60,17977,0.20482,0.20648
2008,Post-secondary Non-tertiary Level,5th Quintile,Sometimes,0.34027,125,17977,0.33930,0.34124
2008,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.33104,98,17977,0.33008,0.33201
2008,Post-secondary Non-tertiary Level,5th Quintile,Never,0.12304,32,17977,0.12237,0.12371
2008,First Stage of Tertiary Education,1st Quintile,Sometimes,0.50676,40,17977,0.50518,0.50834
2008,First Stage of Tertiary Education,1st Quintile,Seldom,0.49324,43,17977,0.49166,0.49482
2008,First Stage of Tertiary Education,2nd Quintile,Sometimes,0.42922,70,17977,0.42805,0.43040
2008,First Stage of Tertiary Education,2nd Quintile,Seldom,0.35571,76,17977,0.35457,0.35684
2008,First Stage of Tertiary Education,2nd Quintile,Never,0.21507,32,17977,0.21409,0.21604
2008,First Stage of Tertiary Education,3rd Quintile,Often,0.15308,49,17977,0.15237,0.15380
2008,First Stage of Tertiary Education,3rd Quintile,Sometimes,0.38714,110,17977,0.38617,0.38810
2008,First Stage of Tertiary Education,3rd Quintile,Seldom,0.27952,97,17977,0.27862,0.28041
2008,First Stage of Tertiary Education,3rd Quintile,Never,0.18027,45,17977,0.17950,0.18103
2008,First Stage of Tertiary Education,4th Quintile,Often,0.17371,54,17977,0.17305,0.17438
2008,First Stage of Tertiary Education,4th Quintile,Sometimes,0.36029,124,17977,0.35944,0.36113
2008,First Stage of Tertiary Education,4th Quintile,Seldom,0.35424,125,17977,0.35340,0.35508
2008,First Stage of Tertiary Education,4th Quintile,Never,0.11176,38,17977,0.11121,0.11231
2008,First Stage of Tertiary Education,5th Quintile,Often,0.17252,61,17977,0.17184,0.17320
2008,First Stage of Tertiary Education,5th Quintile,Sometimes,0.36337,143,17977,0.36250,0.36423
2008,First Stage of Tertiary Education,5th Quintile,Seldom,0.38110,159,17977,0.38023,0.38197
2008,First Stage of Tertiary Education,5th Quintile,Never,0.08302,41,17977,0.08252,0.08351
2008,Second Stage of Tertiary Education,1st Quintile,Often,0.17298,38,17977,0.17211,0.17385
2008,Second Stage of Tertiary Education,1st Quintile,Sometimes,0.46477,75,17977,0.46362,0.46593
2008,Second Stage of Tertiary Education,1st Quintile,Seldom,0.36225,57,17977,0.36114,0.36336
2008,Second Stage of Tertiary Education,2nd Quintile,Often,0.19427,59,17977,0.19359,0.19496
2008,Second Stage of Tertiary Education,2nd Quintile,Sometimes,0.36476,125,17977,0.36393,0.36560
2008,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.32125,101,17977,0.32044,0.32206
2008,Second Stage of Tertiary Education,2nd Quintile,Never,0.11972,42,17977,0.11915,0.12028
2008,Second Stage of Tertiary Education,3rd Quintile,Often,0.18804,111,17977,0.18746,0.18862
2008,Second Stage of Tertiary Education,3rd Quintile,Sometimes,0.38681,215,17977,0.38609,0.38753
2008,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.30612,184,17977,0.30543,0.30680
2008,Second Stage of Tertiary Education,3rd Quintile,Never,0.11903,64,17977,0.11855,0.11951
2008,Second Stage of Tertiary Education,4th Quintile,Often,0.21881,151,17977,0.21826,0.21936
2008,Second Stage of Tertiary Education,4th Quintile,Sometimes,0.38102,303,17977,0.38038,0.38167
2008,Second Stage of Tertiary Education,4th Quintile,Seldom,0.29592,227,17977,0.29532,0.29653
2008,Second Stage of Tertiary Education,4th Quintile,Never,0.10424,65,17977,0.10384,0.10465
2008,Second Stage of Tertiary Education,5th Quintile,Very often,0.03831,87,17977,0.03815,0.03846
2008,Second Stage of Tertiary Education,5th Quintile,Often,0.21138,453,17977,0.21105,0.21172
2008,Second Stage of Tertiary Education,5th Quintile,Sometimes,0.38772,894,17977,0.38732,0.38812
2008,Second Stage of Tertiary Education,5th Quintile,Seldom,0.28834,640,17977,0.28797,0.28872
2008,Second Stage of Tertiary Education,5th Quintile,Never,0.07425,182,17977,0.07403,0.07446
2013,Pre-primary Level,1st Quintile,Often,0.44500,31,24270,0.44087,0.44914
2013,Pre-primary Level,1st Quintile,Sometimes,0.55500,39,24270,0.55086,0.55913
2013,Pre-primary Level,2nd Quintile,Often,0.55974,35,24270,0.55660,0.56288
2013,Pre-primary Level,2nd Quintile,Sometimes,0.44026,34,24270,0.43712,0.44340
2013,Pre-primary Level,3rd Quintile,Sometimes,1.00000,39,24270,1.00000,1.00000
2013,Pre-primary Level,4th Quintile,Sometimes,1.00000,34,24270,1.00000,1.00000
2013,Pre-primary Level,5th Quintile,Often,1.00000,32,24270,1.00000,1.00000
2013,Primary Level,1st Quintile,Sometimes,0.18955,43,24270,0.18831,0.19080
2013,Primary Level,1st Quintile,Seldom,0.32658,59,24270,0.32508,0.32807
2013,Primary Level,1st Quintile,Never,0.48387,75,24270,0.48228,0.48546
2013,Lower Secondary Level,1st Quintile,Very often,0.02685,38,24270,0.02664,0.02706
2013,Lower Secondary Level,1st Quintile,Often,0.11733,143,24270,0.11691,0.11776
2013,Lower Secondary Level,1st Quintile,Sometimes,0.22655,270,24270,0.22600,0.22710
2013,Lower Secondary Level,1st Quintile,Seldom,0.27079,293,24270,0.27020,0.27137
2013,Lower Secondary Level,1st Quintile,Never,0.35848,287,24270,0.35785,0.35912
2013,Lower Secondary Level,2nd Quintile,Often,0.11836,88,24270,0.11789,0.11884
2013,Lower Secondary Level,2nd Quintile,Sometimes,0.28140,192,24270,0.28074,0.28207
2013,Lower Secondary Level,2nd Quintile,Seldom,0.29890,208,24270,0.29823,0.29958
2013,Lower Secondary Level,2nd Quintile,Never,0.30133,170,24270,0.30065,0.30201
2013,Lower Secondary Level,3rd Quintile,Often,0.10120,52,24270,0.10064,0.10175
2013,Lower Secondary Level,3rd Quintile,Sometimes,0.21638,110,24270,0.21563,0.21714
2013,Lower Secondary Level,3rd Quintile,Seldom,0.40248,145,24270,0.40158,0.40337
2013,Lower Secondary Level,3rd Quintile,Never,0.27994,112,24270,0.27912,0.28076
2013,Lower Secondary Level,4th Quintile,Often,0.12294,44,24270,0.12224,0.12365
2013,Lower Secondary Level,4th Quintile,Sometimes,0.31294,87,24270,0.31194,0.31393
2013,Lower Secondary Level,4th Quintile,Seldom,0.31180,85,24270,0.31080,0.31280
2013,Lower Secondary Level,4th Quintile,Never,0.25232,56,24270,0.25139,0.25325
2013,Lower Secondary Level,5th Quintile,Sometimes,0.58689,55,24270,0.58502,0.58876
2013,Lower Secondary Level,5th Quintile,Seldom,0.41311,44,24270,0.41124,0.41498
2013,Upper Secondary Level,1st Quintile,Very often,0.02095,64,24270,0.02083,0.02107
2013,Upper Secondary Level,1st Quintile,Often,0.12526,375,24270,0.12499,0.12553
2013,Upper Secondary Level,1st Quintile,Sometimes,0.27112,795,24270,0.27075,0.27148
2013,Upper Secondary Level,1st Quintile,Seldom,0.31756,844,24270,0.31717,0.31794
2013,Upper Secondary Level,1st Quintile,Never,0.26511,643,24270,0.26475,0.26547
2013,Upper Secondary Level,2nd Quintile,Very often,0.01391,58,24270,0.01382,0.01400
2013,Upper Secondary Level,2nd Quintile,Often,0.12369,378,24270,0.12344,0.12394
2013,Upper Secondary Level,2nd Quintile,Sometimes,0.29150,908,24270,0.29116,0.29184
2013,Upper Secondary Level,2nd Quintile,Seldom,0.32982,983,24270,0.32947,0.33017
2013,Upper Secondary Level,2nd Quintile,Never,0.24108,615,24270,0.24076,0.24140
2013,Upper Secondary Level,3rd Quintile,Very often,0.01620,50,24270,0.01610,0.01629
2013,Upper Secondary Level,3rd Quintile,Often,0.13026,364,24270,0.13001,0.13051
2013,Upper Secondary Level,3rd Quintile,Sometimes,0.32893,916,24270,0.32858,0.32927
2013,Upper Secondary Level,3rd Quintile,Seldom,0.32814,876,24270,0.32779,0.32848
2013,Upper Secondary Level,3rd Quintile,Never,0.19648,461,24270,0.19619,0.19677
2013,Upper Secondary Level,4th Quintile,Very often,0.01981,38,24270,0.01970,0.01991
2013,Upper Secondary Level,4th Quintile,Often,0.12979,317,24270,0.12954,0.13004
2013,Upper Secondary Level,4th Quintile,Sometimes,0.34261,812,24270,0.34225,0.34296
2013,Upper Secondary Level,4th Quintile,Seldom,0.36006,811,24270,0.35970,0.36042
2013,Upper Secondary Level,4th Quintile,Never,0.14773,318,24270,0.14747,0.14800
2013,Upper Secondary Level,5th Quintile,Very often,0.02720,49,24270,0.02706,0.02735
2013,Upper Secondary Level,5th Quintile,Often,0.14849,257,24270,0.14817,0.14881
2013,Upper Secondary Level,5th Quintile,Sometimes,0.35537,616,24270,0.35495,0.35580
2013,Upper Secondary Level,5th Quintile,Seldom,0.33904,595,24270,0.33862,0.33947
2013,Upper Secondary Level,5th Quintile,Never,0.12989,217,24270,0.12959,0.13019
2013,Post-secondary Non-tertiary Level,1st Quintile,Often,0.28721,63,24270,0.28595,0.28847
2013,Post-secondary Non-tertiary Level,1st Quintile,Sometimes,0.25195,81,24270,0.25074,0.25316
2013,Post-secondary Non-tertiary Level,1st Quintile,Seldom,0.30243,95,24270,0.30115,0.30370
2013,Post-secondary Non-tertiary Level,1st Quintile,Never,0.15842,48,24270,0.15740,0.15943
2013,Post-secondary Non-tertiary Level,2nd Quintile,Often,0.16038,61,24270,0.15936,0.16140
2013,Post-secondary Non-tertiary Level,2nd Quintile,Sometimes,0.50106,157,24270,0.49967,0.50245
2013,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,0.33856,100,24270,0.33724,0.33988
2013,Post-secondary Non-tertiary Level,3rd Quintile,Often,0.13847,68,24270,0.13769,0.13925
2013,Post-secondary Non-tertiary Level,3rd Quintile,Sometimes,0.49119,142,24270,0.49006,0.49232
2013,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.37034,121,24270,0.36925,0.37143
2013,Post-secondary Non-tertiary Level,4th Quintile,Often,0.20927,62,24270,0.20839,0.21015
2013,Post-secondary Non-tertiary Level,4th Quintile,Sometimes,0.45685,155,24270,0.45577,0.45793
2013,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.33388,116,24270,0.33286,0.33490
2013,Post-secondary Non-tertiary Level,5th Quintile,Often,0.17705,66,24270,0.17630,0.17780
2013,Post-secondary Non-tertiary Level,5th Quintile,Sometimes,0.40266,150,24270,0.40170,0.40363
2013,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.32052,121,24270,0.31961,0.32144
2013,Post-secondary Non-tertiary Level,5th Quintile,Never,0.09976,33,24270,0.09917,0.10035
2013,First Stage of Tertiary Education,1st Quintile,Sometimes,0.31742,48,24270,0.31598,0.31885
2013,First Stage of Tertiary Education,1st Quintile,Seldom,0.34420,55,24270,0.34273,0.34566
2013,First Stage of Tertiary Education,1st Quintile,Never,0.33839,31,24270,0.33693,0.33984
2013,First Stage of Tertiary Education,2nd Quintile,Often,0.15761,41,24270,0.15672,0.15850
2013,First Stage of Tertiary Education,2nd Quintile,Sometimes,0.27388,78,24270,0.27280,0.27497
2013,First Stage of Tertiary Education,2nd Quintile,Seldom,0.37525,112,24270,0.37407,0.37643
2013,First Stage of Tertiary Education,2nd Quintile,Never,0.19325,56,24270,0.19229,0.19422
2013,First Stage of Tertiary Education,3rd Quintile,Often,0.16382,65,24270,0.16299,0.16466
2013,First Stage of Tertiary Education,3rd Quintile,Sometimes,0.39498,137,24270,0.39388,0.39608
2013,First Stage of Tertiary Education,3rd Quintile,Seldom,0.29950,130,24270,0.29846,0.30053
2013,First Stage of Tertiary Education,3rd Quintile,Never,0.14170,42,24270,0.14091,0.14248
2013,First Stage of Tertiary Education,4th Quintile,Often,0.11360,54,24270,0.11301,0.11419
2013,First Stage of Tertiary Education,4th Quintile,Sometimes,0.41801,173,24270,0.41709,0.41893
2013,First Stage of Tertiary Education,4th Quintile,Seldom,0.39349,156,24270,0.39258,0.39440
2013,First Stage of Tertiary Education,4th Quintile,Never,0.07489,33,24270,0.07440,0.07538
2013,First Stage of Tertiary Education,5th Quintile,Often,0.12661,63,24270,0.12601,0.12722
