,Unnamed: 0,year,bula_h,regtyp,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
34,34,2003,Hesse,Urban regions,Seldom,0.23491,289,21618,0.21395,0.25543
35,35,2003,Hesse,Urban regions,Never,0.18898,200,21618,0.17298,0.20597
36,36,2003,Hesse,Rural regions,Often,0.17345,35,21618,0.13686,0.20294
37,37,2003,Hesse,Rural regions,Sometimes,0.31553,96,21618,0.26447,0.36001
38,38,2003,Hesse,Rural regions,Seldom,0.34048,93,21618,0.29475,0.37951
39,39,2003,Hesse,Rural regions,Never,0.17053,36,21618,0.13532,0.20477
40,40,2003,"Rhineland-Palatinate, Saarland",Urban regions,Very often,0.03264,37,21618,0.02458,0.04198
41,41,2003,"Rhineland-Palatinate, Saarland",Urban regions,Often,0.17995,188,21618,0.16055,0.20055
42,42,2003,"Rhineland-Palatinate, Saarland",Urban regions,Sometimes,0.3073,318,21618,0.27811,0.33265
43,43,2003,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.24056,249,21618,0.22024,0.26313
44,44,2003,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.23956,213,21618,0.22363,0.25752
45,45,2003,"Rhineland-Palatinate, Saarland",Rural regions,Often,0.19995,63,21618,0.16844,0.24019
46,46,2003,"Rhineland-Palatinate, Saarland",Rural regions,Sometimes,0.30603,98,21618,0.26708,0.34969
47,47,2003,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.29634,86,21618,0.25749,0.33702
48,48,2003,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.19767,61,21618,0.16035,0.22837
49,49,2003,Baden-Wuerttemberg,Urban regions,Very often,0.03507,85,21618,0.02826,0.04215
50,50,2003,Baden-Wuerttemberg,Urban regions,Often,0.13986,354,21618,0.1287,0.15006
51,51,2003,Baden-Wuerttemberg,Urban regions,Sometimes,0.35023,875,21618,0.33131,0.37432
52,52,2003,Baden-Wuerttemberg,Urban regions,Seldom,0.29433,699,21618,0.27951,0.31137
53,53,2003,Baden-Wuerttemberg,Urban regions,Never,0.1805,433,21618,0.16753,0.19446
54,54,2003,Baden-Wuerttemberg,Rural regions,Often,0.19223,41,21618,0.15169,0.24429
55,55,2003,Baden-Wuerttemberg,Rural regions,Sometimes,0.34133,80,21618,0.27826,0.40297
56,56,2003,Baden-Wuerttemberg,Rural regions,Seldom,0.28848,58,21618,0.23484,0.34311
57,57,2003,Baden-Wuerttemberg,Rural regions,Never,0.17795,39,21618,0.1329,0.22116
58,58,2003,Bavaria,Urban regions,Very often,0.04989,68,21618,0.03969,0.06057
59,59,2003,Bavaria,Urban regions,Often,0.18144,281,21618,0.16296,0.1978
60,60,2003,Bavaria,Urban regions,Sometimes,0.30218,496,21618,0.28008,0.32342
61,61,2003,Bavaria,Urban regions,Seldom,0.29612,483,21618,0.278,0.31906
62,62,2003,Bavaria,Urban regions,Never,0.17038,235,21618,0.15594,0.18518
63,63,2003,Bavaria,Rural regions,Very often,0.03272,60,21618,0.02686,0.03903
64,64,2003,Bavaria,Rural regions,Often,0.1185,217,21618,0.10666,0.13225
65,65,2003,Bavaria,Rural regions,Sometimes,0.31691,543,21618,0.29665,0.33956
66,66,2003,Bavaria,Rural regions,Seldom,0.27782,441,21618,0.25749,0.3004
67,67,2003,Bavaria,Rural regions,Never,0.25404,287,21618,0.23679,0.26913
68,68,2003,Berlin,Urban regions,Very often,0.05401,52,21618,0.04144,0.06484
69,69,2003,Berlin,Urban regions,Often,0.18508,162,21618,0.16093,0.20969
70,70,2003,Berlin,Urban regions,Sometimes,0.36807,292,21618,0.34034,0.39767
71,71,2003,Berlin,Urban regions,Seldom,0.23568,209,21618,0.21122,0.25785
72,72,2003,Berlin,Urban regions,Never,0.15715,101,21618,0.13868,0.17473
73,73,2003,Brandenburg,Rural regions,Very often,0.05194,35,21618,0.03914,0.0651
74,74,2003,Brandenburg,Rural regions,Often,0.12212,106,21618,0.10394,0.13998
75,75,2003,Brandenburg,Rural regions,Sometimes,0.33622,317,21618,0.30774,0.36602
76,76,2003,Brandenburg,Rural regions,Seldom,0.27494,241,21618,0.25442,0.29714
77,77,2003,Brandenburg,Rural regions,Never,0.21479,168,21618,0.1983,0.23051
78,78,2003,Mecklenburg-Western Pomerania,Rural regions,Often,0.16949,80,21618,0.14359,0.19434
79,79,2003,Mecklenburg-Western Pomerania,Rural regions,Sometimes,0.33734,151,21618,0.30025,0.37992
80,80,2003,Mecklenburg-Western Pomerania,Rural regions,Seldom,0.2924,135,21618,0.25984,0.32092
81,81,2003,Mecklenburg-Western Pomerania,Rural regions,Never,0.20077,72,21618,0.17653,0.22437
82,82,2003,Saxony,Urban regions,Often,0.20603,150,21618,0.18325,0.22956
83,83,2003,Saxony,Urban regions,Sometimes,0.3379,264,21618,0.31184,0.36535
84,84,2003,Saxony,Urban regions,Seldom,0.26476,206,21618,0.2386,0.29555
85,85,2003,Saxony,Urban regions,Never,0.19131,125,21618,0.17294,0.20744
86,86,2003,Saxony,Rural regions,Often,0.13214,116,21618,0.1158,0.14798
87,87,2003,Saxony,Rural regions,Sometimes,0.32158,274,21618,0.2975,0.35244
88,88,2003,Saxony,Rural regions,Seldom,0.33205,262,21618,0.30669,0.35948
89,89,2003,Saxony,Rural regions,Never,0.21423,161,21618,0.19857,0.23035
90,90,2003,Saxony-Anhalt,Urban regions,Often,0.27948,44,21618,0.23466,0.33583
91,91,2003,Saxony-Anhalt,Urban regions,Sometimes,0.26889,43,21618,0.20915,0.33139
92,92,2003,Saxony-Anhalt,Urban regions,Seldom,0.45163,60,21618,0.39127,0.50986
93,93,2003,Saxony-Anhalt,Rural regions,Very often,0.03043,32,21618,0.01981,0.04096
94,94,2003,Saxony-Anhalt,Rural regions,Often,0.1674,129,21618,0.146,0.18815
95,95,2003,Saxony-Anhalt,Rural regions,Sometimes,0.24513,198,21618,0.21936,0.27193
96,96,2003,Saxony-Anhalt,Rural regions,Seldom,0.27669,219,21618,0.25526,0.29983
97,97,2003,Saxony-Anhalt,Rural regions,Never,0.28036,173,21618,0.25853,0.30529
98,98,2003,Thuringa,Urban regions,Often,0.11863,42,21618,0.08859,0.15583
99,99,2003,Thuringa,Urban regions,Sometimes,0.31598,97,21618,0.27348,0.36509
100,100,2003,Thuringa,Urban regions,Seldom,0.36256,98,21618,0.3015,0.43283
101,101,2003,Thuringa,Urban regions,Never,0.20283,42,21618,0.16303,0.26096
102,102,2003,Thuringa,Rural regions,Often,0.12554,77,21618,0.09687,0.16347
103,103,2003,Thuringa,Rural regions,Sometimes,0.30384,227,21618,0.27147,0.33461
104,104,2003,Thuringa,Rural regions,Seldom,0.29616,206,21618,0.26983,0.31958
105,105,2003,Thuringa,Rural regions,Never,0.27446,137,21618,0.24382,0.30453
106,106,2008,Schleswig-Holstein,Urban regions,Often,0.17233,35,18661,0.12193,0.21414
107,107,2008,Schleswig-Holstein,Urban regions,Sometimes,0.27347,64,18661,0.22524,0.33393
108,108,2008,Schleswig-Holstein,Urban regions,Seldom,0.39674,77,18661,0.3234,0.46588
109,109,2008,Schleswig-Holstein,Urban regions,Never,0.15746,45,18661,0.12457,0.19163
110,110,2008,Schleswig-Holstein,Rural regions,Often,0.18859,57,18661,0.15292,0.2357
111,111,2008,Schleswig-Holstein,Rural regions,Sometimes,0.29085,91,18661,0.24567,0.32765
112,112,2008,Schleswig-Holstein,Rural regions,Seldom,0.32988,107,18661,0.28262,0.37292
113,113,2008,Schleswig-Holstein,Rural regions,Never,0.19068,61,18661,0.16478,0.21592
114,114,2008,Hamburg,Urban regions,Often,0.18361,51,18661,0.13621,0.23282
115,115,2008,Hamburg,Urban regions,Sometimes,0.39368,104,18661,0.34424,0.44859
116,116,2008,Hamburg,Urban regions,Seldom,0.23695,65,18661,0.18772,0.28599
117,117,2008,Hamburg,Urban regions,Never,0.18576,47,18661,0.15546,0.21774
118,118,2008,Lower Saxony,Urban regions,Very often,0.03159,35,18661,0.02437,0.04214
119,119,2008,Lower Saxony,Urban regions,Often,0.18134,158,18661,0.15332,0.2042
120,120,2008,Lower Saxony,Urban regions,Sometimes,0.34571,292,18661,0.31166,0.37153
121,121,2008,Lower Saxony,Urban regions,Seldom,0.26315,200,18661,0.23752,0.28799
122,122,2008,Lower Saxony,Urban regions,Never,0.17822,138,18661,0.15632,0.203
123,123,2008,Lower Saxony,Rural regions,Often,0.17388,140,18661,0.14914,0.20005
124,124,2008,Lower Saxony,Rural regions,Sometimes,0.34422,316,18661,0.31134,0.37832
125,125,2008,Lower Saxony,Rural regions,Seldom,0.30801,272,18661,0.28253,0.33506
126,126,2008,Lower Saxony,Rural regions,Never,0.17389,144,18661,0.15271,0.19617
127,127,2008,Bremen,Urban regions,Sometimes,0.55887,56,18661,0.43026,0.69218
128,128,2008,Bremen,Urban regions,Seldom,0.44113,44,18661,0.34687,0.53746
129,129,2008,North Rhine-Westphalia,Urban regions,Very often,0.02831,108,18661,0.02357,0.03352
130,130,2008,North Rhine-Westphalia,Urban regions,Often,0.1598,613,18661,0.14723,0.17083
131,131,2008,North Rhine-Westphalia,Urban regions,Sometimes,0.32846,1291,18661,0.31334,0.34625
132,132,2008,North Rhine-Westphalia,Urban regions,Seldom,0.28272,1108,18661,0.2693,0.29694
133,133,2008,North Rhine-Westphalia,Urban regions,Never,0.20071,696,18661,0.19027,0.21019
134,134,2008,North Rhine-Westphalia,Rural regions,Seldom,0.57202,34,18661,0.43969,0.70017
135,135,2008,North Rhine-Westphalia,Rural regions,Never,0.42798,34,18661,0.35128,0.51142
136,136,2008,Hesse,Urban regions,Very often,0.04366,44,18661,0.03517,0.05432
137,137,2008,Hesse,Urban regions,Often,0.16715,188,18661,0.14551,0.19313
138,138,2008,Hesse,Urban regions,Sometimes,0.3521,391,18661,0.31803,0.38246
139,139,2008,Hesse,Urban regions,Seldom,0.25329,281,18661,0.23148,0.27894
140,140,2008,Hesse,Urban regions,Never,0.1838,172,18661,0.16512,0.20237
141,141,2008,Hesse,Rural regions,Sometimes,0.44439,80,18661,0.36518,0.51754
142,142,2008,Hesse,Rural regions,Seldom,0.4145,80,18661,0.34927,0.48874
143,143,2008,Hesse,Rural regions,Never,0.14111,32,18661,0.11794,0.1718
144,144,2008,"Rhineland-Palatinate, Saarland",Urban regions,Very often,0.04037,32,18661,0.02835,0.05628
145,145,2008,"Rhineland-Palatinate, Saarland",Urban regions,Often,0.1357,129,18661,0.12013,0.15504
146,146,2008,"Rhineland-Palatinate, Saarland",Urban regions,Sometimes,0.35371,268,18661,0.3225,0.38592
147,147,2008,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.26344,206,18661,0.23665,0.28961
148,148,2008,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.20679,165,18661,0.18309,0.232
149,149,2008,"Rhineland-Palatinate, Saarland",Rural regions,Often,0.12448,35,18661,0.08818,0.1512
150,150,2008,"Rhineland-Palatinate, Saarland",Rural regions,Sometimes,0.31751,81,18661,0.26216,0.37154
151,151,2008,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.27578,81,18661,0.23045,0.33087
152,152,2008,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.28223,68,18661,0.24451,0.32422
153,153,2008,Baden-Wuerttemberg,Urban regions,Very often,0.03302,79,18661,0.02706,0.03845
154,154,2008,Baden-Wuerttemberg,Urban regions,Often,0.15448,364,18661,0.14014,0.17093
155,155,2008,Baden-Wuerttemberg,Urban regions,Sometimes,0.35152,758,18661,0.32868,0.37286
156,156,2008,Baden-Wuerttemberg,Urban regions,Seldom,0.29765,635,18661,0.27675,0.3163
157,157,2008,Baden-Wuerttemberg,Urban regions,Never,0.16332,296,18661,0.14894,0.17776
158,158,2008,Baden-Wuerttemberg,Rural regions,Often,0.17014,38,18661,0.1237,0.24127
159,159,2008,Baden-Wuerttemberg,Rural regions,Sometimes,0.51122,79,18661,0.432,0.60504
160,160,2008,Baden-Wuerttemberg,Rural regions,Seldom,0.31864,63,18661,0.25341,0.39388
161,161,2008,Bavaria,Urban regions,Very often,0.04032,49,18661,0.03164,0.05031
162,162,2008,Bavaria,Urban regions,Often,0.14964,213,18661,0.13373,0.16981
163,163,2008,Bavaria,Urban regions,Sometimes,0.36239,461,18661,0.33683,0.38755
164,164,2008,Bavaria,Urban regions,Seldom,0.29173,389,18661,0.265,0.31523
165,165,2008,Bavaria,Urban regions,Never,0.15592,179,18661,0.13881,0.17279
166,166,2008,Bavaria,Rural regions,Very often,0.03341,42,18661,0.02454,0.0424
167,167,2008,Bavaria,Rural regions,Often,0.11999,187,18661,0.10374,0.13701
168,168,2008,Bavaria,Rural regions,Sometimes,0.28449,454,18661,0.26212,0.30964
169,169,2008,Bavaria,Rural regions,Seldom,0.31555,461,18661,0.29114,0.33648
170,170,2008,Bavaria,Rural regions,Never,0.24656,294,18661,0.22715,0.26309
171,171,2008,Berlin,Urban regions,Often,0.189,131,18661,0.16391,0.2156
172,172,2008,Berlin,Urban regions,Sometimes,0.36095,251,18661,0.32208,0.40506
173,173,2008,Berlin,Urban regions,Seldom,0.26587,187,18661,0.23483,0.29778
174,174,2008,Berlin,Urban regions,Never,0.18418,117,18661,0.15547,0.20656
175,175,2008,Brandenburg,Rural regions,Often,0.14976,107,18661,0.12487,0.17899
176,176,2008,Brandenburg,Rural regions,Sometimes,0.33575,247,18661,0.29417,0.37787
177,177,2008,Brandenburg,Rural regions,Seldom,0.3118,215,18661,0.27283,0.3482
178,178,2008,Brandenburg,Rural regions,Never,0.2027,151,18661,0.17843,0.22841
179,179,2008,Mecklenburg-Western Pomerania,Rural regions,Often,0.12873,55,18661,0.10248,0.14896
180,180,2008,Mecklenburg-Western Pomerania,Rural regions,Sometimes,0.34382,138,18661,0.30151,0.38947
181,181,2008,Mecklenburg-Western Pomerania,Rural regions,Seldom,0.34547,151,18661,0.29711,0.39113
182,182,2008,Mecklenburg-Western Pomerania,Rural regions,Never,0.18198,69,18661,0.16077,0.20715
183,183,2008,Saxony,Urban regions,Often,0.1961,124,18661,0.16782,0.22953
184,184,2008,Saxony,Urban regions,Sometimes,0.34992,260,18661,0.31141,0.38364
185,185,2008,Saxony,Urban regions,Seldom,0.30503,216,18661,0.26773,0.34295
186,186,2008,Saxony,Urban regions,Never,0.14895,103,18661,0.13203,0.16951
187,187,2008,Saxony,Rural regions,Often,0.13624,93,18661,0.11188,0.16648
188,188,2008,Saxony,Rural regions,Sometimes,0.35664,246,18661,0.31432,0.40189
189,189,2008,Saxony,Rural regions,Seldom,0.32188,218,18661,0.28603,0.36355
190,190,2008,Saxony,Rural regions,Never,0.18523,134,18661,0.16399,0.20463
191,191,2008,Saxony-Anhalt,Urban regions,Often,0.22376,32,18661,0.16122,0.29391
192,192,2008,Saxony-Anhalt,Urban regions,Sometimes,0.46314,60,18661,0.36061,0.61016
193,193,2008,Saxony-Anhalt,Urban regions,Seldom,0.3131,46,18661,0.24651,0.37823
194,194,2008,Saxony-Anhalt,Rural regions,Often,0.13,90,18661,0.10858,0.15633
195,195,2008,Saxony-Anhalt,Rural regions,Sometimes,0.34434,225,18661,0.29603,0.38466
196,196,2008,Saxony-Anhalt,Rural regions,Seldom,0.33244,209,18661,0.29216,0.37285
197,197,2008,Saxony-Anhalt,Rural regions,Never,0.19323,107,18661,0.16295,0.22385
198,198,2008,Thuringa,Urban regions,Sometimes,0.36712,89,18661,0.28802,0.44691
199,199,2008,Thuringa,Urban regions,Seldom,0.45222,97,18661,0.34153,0.55011
200,200,2008,Thuringa,Urban regions,Never,0.18067,40,18661,0.14758,0.21643
201,201,2008,Thuringa,Rural regions,Often,0.12502,77,18661,0.09527,0.15594
202,202,2008,Thuringa,Rural regions,Sometimes,0.30152,187,18661,0.26247,0.34329
203,203,2008,Thuringa,Rural regions,Seldom,0.31878,188,18661,0.28483,0.35506
204,204,2008,Thuringa,Rural regions,Never,0.25468,144,18661,0.22851,0.28224
205,205,2013,Schleswig-Holstein,Urban regions,Sometimes,0.58376,106,24921,0.47261,0.70636
206,206,2013,Schleswig-Holstein,Urban regions,Seldom,0.41624,90,24921,0.33688,0.51626
207,207,2013,Schleswig-Holstein,Rural regions,Often,0.17936,117,24921,0.14151,0.21196
208,208,2013,Schleswig-Holstein,Rural regions,Sometimes,0.34361,226,24921,0.29734,0.39326
209,209,2013,Schleswig-Holstein,Rural regions,Seldom,0.34939,213,24921,0.29342,0.40818
210,210,2013,Schleswig-Holstein,Rural regions,Never,0.12765,75,24921,0.1048,0.15338
211,211,2013,Hamburg,Urban regions,Often,0.18187,72,24921,0.13729,0.22364
212,212,2013,Hamburg,Urban regions,Sometimes,0.37495,160,24921,0.31271,0.45949
213,213,2013,Hamburg,Urban regions,Seldom,0.30625,112,24921,0.24985,0.36545
214,214,2013,Hamburg,Urban regions,Never,0.13694,41,24921,0.10352,0.17097
215,215,2013,Lower Saxony,Urban regions,Often,0.15383,165,24921,0.1276,0.18379
216,216,2013,Lower Saxony,Urban regions,Sometimes,0.31724,343,24921,0.28096,0.35612
217,217,2013,Lower Saxony,Urban regions,Seldom,0.34349,317,24921,0.30346,0.38485
218,218,2013,Lower Saxony,Urban regions,Never,0.18544,162,24921,0.15568,0.21213
219,219,2013,Lower Saxony,Rural regions,Very often,0.0248,38,24921,0.01614,0.03224
220,220,2013,Lower Saxony,Rural regions,Often,0.12305,188,24921,0.1039,0.14197
221,221,2013,Lower Saxony,Rural regions,Sometimes,0.33943,506,24921,0.30743,0.37588
222,222,2013,Lower Saxony,Rural regions,Seldom,0.33854,486,24921,0.30846,0.37057
223,223,2013,Lower Saxony,Rural regions,Never,0.17418,211,24921,0.14899,0.19837
224,224,2013,Bremen,Urban regions,Often,0.13882,33,24921,0.09266,0.18063
225,225,2013,Bremen,Urban regions,Sometimes,0.46756,74,24921,0.31069,0.65708
226,226,2013,Bremen,Urban regions,Seldom,0.39361,55,24921,0.27122,0.53642
227,227,2013,North Rhine-Westphalia,Urban regions,Very often,0.02738,136,24921,0.02255,0.03227
228,228,2013,North Rhine-Westphalia,Urban regions,Often,0.16391,850,24921,0.15075,0.17557
229,229,2013,North Rhine-Westphalia,Urban regions,Sometimes,0.32769,1687,24921,0.30841,0.3433
230,230,2013,North Rhine-Westphalia,Urban regions,Seldom,0.30252,1517,24921,0.28644,0.31844
231,231,2013,North Rhine-Westphalia,Urban regions,Never,0.1785,788,24921,0.1658,0.19093
232,232,2013,North Rhine-Westphalia,Rural regions,Sometimes,0.51279,44,24921,0.36154,0.67037
233,233,2013,North Rhine-Westphalia,Rural regions,Seldom,0.48721,43,24921,0.35761,0.6637
234,234,2013,Hesse,Urban regions,Very often,0.02875,56,24921,0.02126,0.03981
235,235,2013,Hesse,Urban regions,Often,0.15927,243,24921,0.1305,0.19165
236,236,2013,Hesse,Urban regions,Sometimes,0.3395,508,24921,0.30213,0.37378
237,237,2013,Hesse,Urban regions,Seldom,0.32652,414,24921,0.29327,0.35632
238,238,2013,Hesse,Urban regions,Never,0.14596,158,24921,0.12713,0.16501
239,239,2013,Hesse,Rural regions,Often,0.13438,54,24921,0.09312,0.18387
240,240,2013,Hesse,Rural regions,Sometimes,0.33812,130,24921,0.26472,0.39818
241,241,2013,Hesse,Rural regions,Seldom,0.40252,132,24921,0.34164,0.47105
242,242,2013,Hesse,Rural regions,Never,0.12498,36,24921,0.0963,0.1641
243,243,2013,"Rhineland-Palatinate, Saarland",Urban regions,Often,0.17907,201,24921,0.15101,0.20724
244,244,2013,"Rhineland-Palatinate, Saarland",Urban regions,Sometimes,0.34931,333,24921,0.30866,0.3938
245,245,2013,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.29103,305,24921,0.25583,0.32401
246,246,2013,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.18059,167,24921,0.15717,0.20545
247,247,2013,"Rhineland-Palatinate, Saarland",Rural regions,Often,0.12087,48,24921,0.09062,0.15883
248,248,2013,"Rhineland-Palatinate, Saarland",Rural regions,Sometimes,0.31532,121,24921,0.26073,0.38269
249,249,2013,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.35179,120,24921,0.30242,0.41523
250,250,2013,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.21202,63,24921,0.16968,0.26118
251,251,2013,Baden-Wuerttemberg,Urban regions,Very often,0.02448,73,24921,0.01876,0.03106
252,252,2013,Baden-Wuerttemberg,Urban regions,Often,0.14952,458,24921,0.13433,0.16854
253,253,2013,Baden-Wuerttemberg,Urban regions,Sometimes,0.3383,980,24921,0.31778,0.36122
254,254,2013,Baden-Wuerttemberg,Urban regions,Seldom,0.34174,814,24921,0.31681,0.36829
255,255,2013,Baden-Wuerttemberg,Urban regions,Never,0.14595,340,24921,0.13072,0.16161
256,256,2013,Baden-Wuerttemberg,Rural regions,Often,0.14703,62,24921,0.09181,0.2124
257,257,2013,Baden-Wuerttemberg,Rural regions,Sometimes,0.41284,130,24921,0.31973,0.49219
258,258,2013,Baden-Wuerttemberg,Rural regions,Seldom,0.28725,90,24921,0.22666,0.38588
259,259,2013,Baden-Wuerttemberg,Rural regions,Never,0.15288,49,24921,0.11489,0.19367
260,260,2013,Bavaria,Urban regions,Very often,0.03875,61,24921,0.02638,0.05212
261,261,2013,Bavaria,Urban regions,Often,0.15037,296,24921,0.12979,0.17002
262,262,2013,Bavaria,Urban regions,Sometimes,0.33429,627,24921,0.30877,0.36394
263,263,2013,Bavaria,Urban regions,Seldom,0.31675,529,24921,0.28915,0.34572
264,264,2013,Bavaria,Urban regions,Never,0.15985,213,24921,0.14002,0.17832
265,265,2013,Bavaria,Rural regions,Very often,0.0194,52,24921,0.01222,0.02654
266,266,2013,Bavaria,Rural regions,Often,0.15476,382,24921,0.13713,0.17919
267,267,2013,Bavaria,Rural regions,Sometimes,0.32786,785,24921,0.29938,0.35993
268,268,2013,Bavaria,Rural regions,Seldom,0.31106,727,24921,0.289,0.34355
269,269,2013,Bavaria,Rural regions,Never,0.18692,338,24921,0.16748,0.20744
270,270,2013,Berlin,Urban regions,Very often,0.02607,34,24921,0.01845,0.03389
271,271,2013,Berlin,Urban regions,Often,0.16826,184,24921,0.14213,0.19457
272,272,2013,Berlin,Urban regions,Sometimes,0.36726,360,24921,0.33155,0.40499
273,273,2013,Berlin,Urban regions,Seldom,0.29862,286,24921,0.27069,0.32896
274,274,2013,Berlin,Urban regions,Never,0.13979,118,24921,0.12065,0.15989
275,275,2013,Brandenburg,Rural regions,Often,0.10704,111,24921,0.08225,0.13326
276,276,2013,Brandenburg,Rural regions,Sometimes,0.32145,284,24921,0.28222,0.36972
277,277,2013,Brandenburg,Rural regions,Seldom,0.36764,333,24921,0.31435,0.41583
278,278,2013,Brandenburg,Rural regions,Never,0.20386,181,24921,0.17674,0.23825
279,279,2013,Mecklenburg-Western Pomerania,Rural regions,Often,0.13324,70,24921,0.0956,0.17507
280,280,2013,Mecklenburg-Western Pomerania,Rural regions,Sometimes,0.33908,185,24921,0.29107,0.40295
281,281,2013,Mecklenburg-Western Pomerania,Rural regions,Seldom,0.33715,163,24921,0.2881,0.39453
282,282,2013,Mecklenburg-Western Pomerania,Rural regions,Never,0.19053,98,24921,0.15811,0.22213
283,283,2013,Saxony,Urban regions,Often,0.12713,132,24921,0.10565,0.14988
284,284,2013,Saxony,Urban regions,Sometimes,0.34258,264,24921,0.29834,0.39443
285,285,2013,Saxony,Urban regions,Seldom,0.33538,292,24921,0.293,0.38063
286,286,2013,Saxony,Urban regions,Never,0.19492,158,24921,0.17294,0.21579
287,287,2013,Saxony,Rural regions,Often,0.13094,91,24921,0.10084,0.16547
288,288,2013,Saxony,Rural regions,Sometimes,0.33405,263,24921,0.28925,0.37927
289,289,2013,Saxony,Rural regions,Seldom,0.36147,307,24921,0.31964,0.41189
290,290,2013,Saxony,Rural regions,Never,0.17354,165,24921,0.14977,0.20157
291,291,2013,Saxony-Anhalt,Urban regions,Sometimes,0.34339,67,24921,0.29032,0.41644
292,292,2013,Saxony-Anhalt,Urban regions,Seldom,0.45232,71,24921,0.33491,0.59398
293,293,2013,Saxony-Anhalt,Urban regions,Never,0.20429,34,24921,0.1493,0.25521
294,294,2013,Saxony-Anhalt,Rural regions,Often,0.09717,83,24921,0.07206,0.12327
295,295,2013,Saxony-Anhalt,Rural regions,Sometimes,0.32464,246,24921,0.28474,0.37277
296,296,2013,Saxony-Anhalt,Rural regions,Seldom,0.31148,245,24921,0.27477,0.35587
297,297,2013,Saxony-Anhalt,Rural regions,Never,0.26671,175,24921,0.23049,0.30855
