year,quintil_oecd_hh,regtyp,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,5th Quintile,Urban regions,No,0.85745,1729,2064,0.84236,0.87254
2011,5th Quintile,Rural regions,Yes,0.23152,171,712,0.20052,0.26253
2011,5th Quintile,Rural regions,No,0.76848,541,712,0.73747,0.79948
2016,1st Quintile,Urban regions,Yes,0.11161,273,1987,0.09776,0.12546
2016,1st Quintile,Urban regions,No,0.88839,1714,1987,0.87454,0.90224
2016,1st Quintile,Rural regions,Yes,0.20277,263,1109,0.17910,0.22644
2016,1st Quintile,Rural regions,No,0.79723,846,1109,0.77356,0.82090
2016,2nd Quintile,Urban regions,Yes,0.14428,312,1849,0.12826,0.16030
2016,2nd Quintile,Urban regions,No,0.85572,1537,1849,0.83970,0.87174
2016,2nd Quintile,Rural regions,Yes,0.20603,292,1192,0.18306,0.22900
2016,2nd Quintile,Rural regions,No,0.79397,900,1192,0.77100,0.81694
2016,3rd Quintile,Urban regions,Yes,0.12840,260,1725,0.11261,0.14419
2016,3rd Quintile,Urban regions,No,0.87160,1465,1725,0.85581,0.88739
2016,3rd Quintile,Rural regions,Yes,0.24675,267,1018,0.22025,0.27324
2016,3rd Quintile,Rural regions,No,0.75325,751,1018,0.72676,0.77975
2016,4th Quintile,Urban regions,Yes,0.13749,277,1761,0.12140,0.15358
2016,4th Quintile,Urban regions,No,0.86251,1484,1761,0.84642,0.87860
2016,4th Quintile,Rural regions,Yes,0.18769,203,901,0.16218,0.21320
2016,4th Quintile,Rural regions,No,0.81231,698,901,0.78680,0.83782
2016,5th Quintile,Urban regions,Yes,0.13075,287,2050,0.11615,0.14535
2016,5th Quintile,Urban regions,No,0.86925,1763,2050,0.85465,0.88385
2016,5th Quintile,Rural regions,Yes,0.21179,165,705,0.18161,0.24197
2016,5th Quintile,Rural regions,No,0.78821,540,705,0.75803,0.81839
2021,1st Quintile,Urban regions,Yes,0.11788,179,1350,0.10068,0.13509
2021,1st Quintile,Urban regions,No,0.88212,1171,1350,0.86491,0.89932
2021,1st Quintile,Rural regions,Yes,0.22883,176,691,0.19748,0.26017
2021,1st Quintile,Rural regions,No,0.77117,515,691,0.73983,0.80252
2021,2nd Quintile,Urban regions,Yes,0.16699,241,1332,0.14696,0.18703
2021,2nd Quintile,Urban regions,No,0.83301,1091,1332,0.81297,0.85304
2021,2nd Quintile,Rural regions,Yes,0.17870,210,852,0.15296,0.20444
2021,2nd Quintile,Rural regions,No,0.82130,642,852,0.79556,0.84704
2021,3rd Quintile,Urban regions,Yes,0.14792,222,1299,0.12861,0.16724
2021,3rd Quintile,Urban regions,No,0.85208,1077,1299,0.83276,0.87139
2021,3rd Quintile,Rural regions,Yes,0.22101,197,725,0.19078,0.25123
2021,3rd Quintile,Rural regions,No,0.77899,528,725,0.74877,0.80922
2021,4th Quintile,Urban regions,Yes,0.14648,218,1396,0.12792,0.16503
2021,4th Quintile,Urban regions,No,0.85352,1178,1396,0.83497,0.87208
2021,4th Quintile,Rural regions,Yes,0.23291,176,682,0.20116,0.26465
2021,4th Quintile,Rural regions,No,0.76709,506,682,0.73535,0.79884
2021,5th Quintile,Urban regions,Yes,0.13402,311,2018,0.11915,0.14889
2021,5th Quintile,Urban regions,No,0.86598,1707,2018,0.85111,0.88085
2021,5th Quintile,Rural regions,Yes,0.21726,168,691,0.18649,0.24803
2021,5th Quintile,Rural regions,No,0.78274,523,691,0.75197,0.81351
