year,quintil_oecd,sex,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,5th Quintile,male,No,0.03031,97,2400,0.02345,0.03718
2014,5th Quintile,female,Yes,0.77065,2279,2385,0.75378,0.78753
2014,5th Quintile,female,No,0.03295,106,2385,0.02578,0.04011
2015,1st Quintile,male,Yes,0.52044,1216,1377,0.49404,0.54683
2015,1st Quintile,male,No,0.04850,161,1377,0.03715,0.05986
2015,1st Quintile,female,Yes,0.57143,1838,2080,0.55016,0.59270
2015,1st Quintile,female,No,0.04693,242,2080,0.03784,0.05603
2015,2nd Quintile,male,Yes,0.61869,1626,1740,0.59586,0.64152
2015,2nd Quintile,male,No,0.03705,114,1740,0.02818,0.04593
2015,2nd Quintile,female,Yes,0.66108,2157,2329,0.64186,0.68031
2015,2nd Quintile,female,No,0.04260,172,2329,0.03440,0.05081
2015,3rd Quintile,male,Yes,0.69080,1743,1870,0.66984,0.71175
2015,3rd Quintile,male,No,0.03617,127,1870,0.02771,0.04464
2015,3rd Quintile,female,Yes,0.70551,2000,2154,0.68626,0.72476
2015,3rd Quintile,female,No,0.04167,154,2154,0.03323,0.05011
2015,4th Quintile,male,Yes,0.74275,1899,2010,0.72364,0.76187
2015,4th Quintile,male,No,0.03854,111,2010,0.03012,0.04696
2015,4th Quintile,female,Yes,0.73984,2033,2169,0.72137,0.75831
2015,4th Quintile,female,No,0.04347,136,2169,0.03489,0.05206
2015,5th Quintile,male,Yes,0.78199,2198,2326,0.76521,0.79877
2015,5th Quintile,male,No,0.04549,128,2326,0.03702,0.05396
2015,5th Quintile,female,Yes,0.77672,2185,2303,0.75971,0.79373
2015,5th Quintile,female,No,0.03847,118,2303,0.03061,0.04632
2016,1st Quintile,male,Yes,0.50457,1139,1272,0.47708,0.53206
2016,1st Quintile,male,No,0.04483,133,1272,0.03346,0.05621
2016,1st Quintile,female,Yes,0.53181,1670,1887,0.50929,0.55433
2016,1st Quintile,female,No,0.05361,217,1887,0.04344,0.06377
2016,2nd Quintile,male,Yes,0.58624,1503,1637,0.56237,0.61010
2016,2nd Quintile,male,No,0.04417,134,1637,0.03422,0.05413
2016,2nd Quintile,female,Yes,0.65038,1974,2151,0.63023,0.67054
2016,2nd Quintile,female,No,0.03766,177,2151,0.02961,0.04570
2016,3rd Quintile,male,Yes,0.67521,1623,1726,0.65312,0.69731
2016,3rd Quintile,male,No,0.03753,103,1726,0.02856,0.04650
2016,3rd Quintile,female,Yes,0.69029,1924,2062,0.67033,0.71025
2016,3rd Quintile,female,No,0.03562,138,2062,0.02762,0.04362
2016,4th Quintile,male,Yes,0.73132,1820,1928,0.71153,0.75111
2016,4th Quintile,male,No,0.03772,108,1928,0.02921,0.04623
2016,4th Quintile,female,Yes,0.73051,1913,2053,0.71131,0.74971
2016,4th Quintile,female,No,0.04611,140,2053,0.03704,0.05518
2016,5th Quintile,male,Yes,0.77130,2057,2171,0.75363,0.78897
2016,5th Quintile,male,No,0.04023,114,2171,0.03197,0.04850
2016,5th Quintile,female,Yes,0.77024,2073,2182,0.75258,0.78790
2016,5th Quintile,female,No,0.03845,109,2182,0.03038,0.04653
2017,1st Quintile,male,Yes,0.47237,1053,1211,0.44424,0.50050
2017,1st Quintile,male,No,0.05563,158,1211,0.04271,0.06854
2017,1st Quintile,female,Yes,0.52211,1602,1801,0.49904,0.54519
2017,1st Quintile,female,No,0.04307,199,1801,0.03369,0.05245
2017,2nd Quintile,male,Yes,0.59364,1463,1571,0.56935,0.61794
2017,2nd Quintile,male,No,0.03735,108,1571,0.02797,0.04673
2017,2nd Quintile,female,Yes,0.63535,1867,2052,0.61452,0.65618
2017,2nd Quintile,female,No,0.03934,185,2052,0.03093,0.04775
2017,3rd Quintile,male,Yes,0.67635,1586,1678,0.65396,0.69874
2017,3rd Quintile,male,No,0.03143,92,1678,0.02308,0.03979
2017,3rd Quintile,female,Yes,0.67651,1838,1982,0.65591,0.69711
2017,3rd Quintile,female,No,0.04571,144,1982,0.03651,0.05491
2017,4th Quintile,male,Yes,0.74508,1731,1824,0.72507,0.76508
2017,4th Quintile,male,No,0.03501,93,1824,0.02657,0.04345
2017,4th Quintile,female,Yes,0.75157,1881,1989,0.73258,0.77057
2017,4th Quintile,female,No,0.03791,108,1989,0.02951,0.04630
2017,5th Quintile,male,Yes,0.77433,1957,2075,0.75634,0.79232
2017,5th Quintile,male,No,0.04274,118,2075,0.03403,0.05144
2017,5th Quintile,female,Yes,0.76476,1916,2025,0.74628,0.78323
2017,5th Quintile,female,No,0.04028,109,2025,0.03171,0.04884
2018,1st Quintile,male,Yes,0.48467,1160,1313,0.45763,0.51172
2018,1st Quintile,male,No,0.04848,153,1313,0.03685,0.06010
2018,1st Quintile,female,Yes,0.53950,1691,1908,0.51713,0.56187
2018,1st Quintile,female,No,0.05225,217,1908,0.04226,0.06224
2018,2nd Quintile,male,Yes,0.59089,1608,1743,0.56781,0.61398
2018,2nd Quintile,male,No,0.04311,135,1743,0.03357,0.05265
2018,2nd Quintile,female,Yes,0.63140,2084,2273,0.61157,0.65124
2018,2nd Quintile,female,No,0.04073,189,2273,0.03260,0.04885
2018,3rd Quintile,male,Yes,0.64897,1706,1848,0.62720,0.67074
2018,3rd Quintile,male,No,0.04508,142,1848,0.03562,0.05454
2018,3rd Quintile,female,Yes,0.68771,1998,2147,0.66810,0.70732
2018,3rd Quintile,female,No,0.04455,149,2147,0.03582,0.05328
2018,4th Quintile,male,Yes,0.74428,1926,2026,0.72528,0.76328
2018,4th Quintile,male,No,0.04086,100,2026,0.03224,0.04948
2018,4th Quintile,female,Yes,0.73230,2030,2162,0.71363,0.75097
2018,4th Quintile,female,No,0.04050,132,2162,0.03219,0.04881
2018,5th Quintile,male,Yes,0.78687,2216,2345,0.77029,0.80345
2018,5th Quintile,male,No,0.03767,129,2345,0.02997,0.04538
2018,5th Quintile,female,Yes,0.75563,2156,2268,0.73794,0.77331
2018,5th Quintile,female,No,0.03742,112,2268,0.02961,0.04524
2020,1st Quintile,male,Yes,0.47736,1058,1216,0.44927,0.50545
2020,1st Quintile,male,No,0.05931,158,1216,0.04603,0.07260
2020,1st Quintile,female,Yes,0.55910,1582,1782,0.53604,0.58216
2020,1st Quintile,female,No,0.04323,200,1782,0.03378,0.05267
2020,2nd Quintile,male,Yes,0.60417,1528,1654,0.58060,0.62775
2020,2nd Quintile,male,No,0.03666,126,1654,0.02760,0.04572
2020,2nd Quintile,female,Yes,0.64903,1941,2108,0.62865,0.66941
2020,2nd Quintile,female,No,0.04483,167,2108,0.03599,0.05366
2020,3rd Quintile,male,Yes,0.69350,1615,1716,0.67168,0.71532
2020,3rd Quintile,male,No,0.03605,101,1716,0.02723,0.04487
2020,3rd Quintile,female,Yes,0.69386,1828,1972,0.67351,0.71421
2020,3rd Quintile,female,No,0.04388,144,1972,0.03484,0.05292
2020,4th Quintile,male,Yes,0.72092,1845,1957,0.70104,0.74080
2020,4th Quintile,male,No,0.04103,112,1957,0.03224,0.04982
2020,4th Quintile,female,Yes,0.73598,1950,2074,0.71701,0.75496
2020,4th Quintile,female,No,0.03526,124,2074,0.02732,0.04320
2020,5th Quintile,male,Yes,0.76575,2718,2888,0.75030,0.78120
2020,5th Quintile,male,No,0.04774,170,2888,0.03996,0.05552
2020,5th Quintile,female,Yes,0.75263,2433,2568,0.73594,0.76933
2020,5th Quintile,female,No,0.03254,135,2568,0.02568,0.03940
2021,1st Quintile,male,Yes,0.47750,788,883,0.44453,0.51046
2021,1st Quintile,male,No,0.04120,95,883,0.02808,0.05432
2021,1st Quintile,female,Yes,0.55241,1150,1302,0.52539,0.57943
2021,1st Quintile,female,No,0.05267,152,1302,0.04053,0.06481
2021,2nd Quintile,male,Yes,0.62429,1078,1171,0.59654,0.65204
2021,2nd Quintile,male,No,0.03962,93,1171,0.02845,0.05080
2021,2nd Quintile,female,Yes,0.61621,1330,1467,0.59131,0.64110
2021,2nd Quintile,female,No,0.05845,137,1467,0.04644,0.07046
2021,3rd Quintile,male,Yes,0.66398,1118,1213,0.63739,0.69058
2021,3rd Quintile,male,No,0.05606,95,1213,0.04310,0.06901
2021,3rd Quintile,female,Yes,0.66746,1329,1427,0.64300,0.69191
2021,3rd Quintile,female,No,0.04586,98,1427,0.03500,0.05672
2021,4th Quintile,male,Yes,0.71017,1239,1326,0.68574,0.73459
2021,4th Quintile,male,No,0.04279,87,1326,0.03189,0.05369
2021,4th Quintile,female,Yes,0.72173,1384,1465,0.69877,0.74468
2021,4th Quintile,female,No,0.02889,81,1465,0.02031,0.03747
2021,5th Quintile,male,Yes,0.76193,1937,2057,0.74352,0.78034
2021,5th Quintile,male,No,0.05188,120,2057,0.04230,0.06147
2021,5th Quintile,female,Yes,0.72635,1675,1794,0.70572,0.74699
2021,5th Quintile,female,No,0.05164,119,1794,0.04140,0.06189
2022,1st Quintile,male,Yes,0.45154,715,789,0.41679,0.48628
2022,1st Quintile,male,No,0.03417,74,789,0.02148,0.04685
2022,1st Quintile,female,Yes,0.52096,1025,1158,0.49217,0.54975
2022,1st Quintile,female,No,0.04970,133,1158,0.03717,0.06222
2022,2nd Quintile,male,Yes,0.62619,976,1058,0.59702,0.65536
2022,2nd Quintile,male,No,0.03954,82,1058,0.02779,0.05128
2022,2nd Quintile,female,Yes,0.65291,1239,1347,0.62747,0.67834
2022,2nd Quintile,female,No,0.05142,108,1347,0.03962,0.06322
2022,3rd Quintile,male,Yes,0.66994,1076,1168,0.64296,0.69692
2022,3rd Quintile,male,No,0.03611,92,1168,0.02541,0.04682
2022,3rd Quintile,female,Yes,0.71594,1241,1342,0.69180,0.74007
2022,3rd Quintile,female,No,0.04752,101,1342,0.03614,0.05891
2022,4th Quintile,male,Yes,0.72279,1227,1322,0.69865,0.74693
2022,4th Quintile,male,No,0.05306,95,1322,0.04097,0.06514
2022,4th Quintile,female,Yes,0.71649,1345,1426,0.69309,0.73989
2022,4th Quintile,female,No,0.04333,81,1426,0.03276,0.05390
2022,5th Quintile,male,Yes,0.73198,1803,1926,0.71219,0.75176
2022,5th Quintile,male,No,0.07297,123,1926,0.06135,0.08459
2022,5th Quintile,female,Yes,0.75334,1630,1739,0.73308,0.77361
2022,5th Quintile,female,No,0.04550,109,1739,0.03570,0.05530
