year,bula_h,sampreg,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Lower Saxony,West,No,0.05368,154,2322,0.04451,0.06285
2013,Bremen,West,Yes,0.85694,140,140,0.79873,0.91515
2013,North Rhine-Westphalia,West,Yes,0.92690,4101,4713,0.91946,0.93433
2013,North Rhine-Westphalia,West,No,0.07310,612,4713,0.06567,0.08054
2013,Hesse,West,Yes,0.91183,1372,1582,0.89785,0.92580
2013,Hesse,West,No,0.08817,210,1582,0.07420,0.10215
2013,"Rhineland-Palatinate, Saarland",West,Yes,0.93354,1208,1334,0.92017,0.94691
2013,"Rhineland-Palatinate, Saarland",West,No,0.06646,126,1334,0.05309,0.07983
2013,Baden-Wuerttemberg,West,Yes,0.88662,2387,2779,0.87483,0.89841
2013,Baden-Wuerttemberg,West,No,0.11338,392,2779,0.10159,0.12517
2013,Bavaria,West,Yes,0.91811,3363,3767,0.90936,0.92687
2013,Bavaria,West,No,0.08189,404,3767,0.07313,0.09064
2013,Berlin,West,Yes,0.90819,462,526,0.88349,0.93289
2013,Berlin,West,No,0.09181,64,526,0.06711,0.11651
2013,Berlin,East,Yes,0.98191,416,416,0.96908,0.99473
2013,Brandenburg,East,Yes,0.97427,976,976,0.96433,0.98421
2013,Mecklenburg-Western Pomerania,East,Yes,0.95549,550,550,0.93824,0.97274
2013,Saxony,East,Yes,0.96121,1638,1703,0.95204,0.97039
2013,Saxony,East,No,0.03879,65,1703,0.02961,0.04796
2013,Saxony-Anhalt,East,Yes,0.96746,938,983,0.95636,0.97855
2013,Saxony-Anhalt,East,No,0.03254,45,983,0.02145,0.04364
2013,Thuringa,East,Yes,0.98234,975,975,0.97407,0.99061
2014,Schleswig-Holstein,West,Yes,0.97913,687,687,0.96844,0.98983
2014,Hamburg,West,Yes,0.96889,294,294,0.94901,0.98877
2014,Lower Saxony,West,Yes,0.96908,1988,2076,0.96164,0.97653
2014,Lower Saxony,West,No,0.03092,88,2076,0.02347,0.03836
2014,Bremen,West,Yes,0.90367,128,128,0.85235,0.95498
2014,North Rhine-Westphalia,West,Yes,0.95467,3726,3974,0.94821,0.96114
2014,North Rhine-Westphalia,West,No,0.04533,248,3974,0.03886,0.05179
2014,Hesse,West,Yes,0.93948,1238,1341,0.92671,0.95225
2014,Hesse,West,No,0.06052,103,1341,0.04775,0.07329
2014,"Rhineland-Palatinate, Saarland",West,Yes,0.95216,1077,1147,0.93981,0.96452
2014,"Rhineland-Palatinate, Saarland",West,No,0.04784,70,1147,0.03548,0.06019
2014,Baden-Wuerttemberg,West,Yes,0.92433,2114,2301,0.91352,0.93514
2014,Baden-Wuerttemberg,West,No,0.07567,187,2301,0.06486,0.08648
2014,Bavaria,West,Yes,0.94618,3109,3349,0.93853,0.95382
2014,Bavaria,West,No,0.05382,240,3349,0.04618,0.06147
2014,Berlin,West,Yes,0.95399,412,412,0.93374,0.97425
2014,Berlin,East,Yes,0.95987,363,363,0.93965,0.98009
2014,Brandenburg,East,Yes,0.97250,898,898,0.96180,0.98320
2014,Mecklenburg-Western Pomerania,East,Yes,0.97040,520,520,0.95582,0.98498
2014,Saxony,East,Yes,0.97401,1495,1539,0.96606,0.98196
2014,Saxony,East,No,0.02599,44,1539,0.01804,0.03394
2014,Saxony-Anhalt,East,Yes,0.98679,863,863,0.97917,0.99442
2014,Thuringa,East,Yes,0.96489,916,948,0.95316,0.97661
2014,Thuringa,East,No,0.03511,32,948,0.02339,0.04684
2015,Schleswig-Holstein,West,Yes,0.95556,674,718,0.94048,0.97065
2015,Schleswig-Holstein,West,No,0.04444,44,718,0.02935,0.05952
2015,Hamburg,West,Yes,0.92082,295,327,0.89151,0.95013
2015,Hamburg,West,No,0.07918,32,327,0.04987,0.10849
2015,Lower Saxony,West,Yes,0.96524,1889,2000,0.95722,0.97327
2015,Lower Saxony,West,No,0.03476,111,2000,0.02673,0.04278
2015,Bremen,West,Yes,0.88801,106,106,0.82769,0.94833
2015,North Rhine-Westphalia,West,Yes,0.93556,3531,3899,0.92785,0.94327
2015,North Rhine-Westphalia,West,No,0.06444,368,3899,0.05673,0.07215
2015,Hesse,West,Yes,0.93415,1186,1306,0.92069,0.94760
2015,Hesse,West,No,0.06585,120,1306,0.05240,0.07931
2015,"Rhineland-Palatinate, Saarland",West,Yes,0.93385,1056,1143,0.91944,0.94827
2015,"Rhineland-Palatinate, Saarland",West,No,0.06615,87,1143,0.05173,0.08056
2015,Baden-Wuerttemberg,West,Yes,0.91420,2037,2254,0.90264,0.92577
2015,Baden-Wuerttemberg,West,No,0.08580,217,2254,0.07423,0.09736
2015,Bavaria,West,Yes,0.93059,3001,3302,0.92191,0.93926
2015,Bavaria,West,No,0.06941,301,3302,0.06074,0.07809
2015,Berlin,West,Yes,0.93279,394,427,0.90901,0.95657
2015,Berlin,West,No,0.06721,33,427,0.04343,0.09099
2015,Berlin,East,Yes,0.97181,352,352,0.95450,0.98913
2015,Brandenburg,East,Yes,0.97548,870,870,0.96520,0.98576
2015,Mecklenburg-Western Pomerania,East,Yes,0.97012,520,520,0.95547,0.98477
2015,Saxony,East,Yes,0.96948,1403,1458,0.96065,0.97831
2015,Saxony,East,No,0.03052,55,1458,0.02169,0.03935
2015,Saxony-Anhalt,East,Yes,0.96883,812,812,0.95687,0.98079
2015,Thuringa,East,Yes,0.96315,866,866,0.95060,0.97571
2016,Schleswig-Holstein,West,Yes,0.96332,625,662,0.94899,0.97765
2016,Schleswig-Holstein,West,No,0.03668,37,662,0.02235,0.05101
2016,Hamburg,West,Yes,0.92174,282,316,0.89208,0.95140
2016,Hamburg,West,No,0.07826,34,316,0.04860,0.10792
2016,Lower Saxony,West,Yes,0.95569,1777,1884,0.94640,0.96499
2016,Lower Saxony,West,No,0.04431,107,1884,0.03501,0.05360
2016,Bremen,West,Yes,0.94932,109,109,0.90795,0.99069
2016,North Rhine-Westphalia,West,Yes,0.93945,3338,3663,0.93172,0.94717
2016,North Rhine-Westphalia,West,No,0.06055,325,3663,0.05283,0.06828
2016,Hesse,West,Yes,0.93763,1081,1178,0.92382,0.95145
2016,Hesse,West,No,0.06237,97,1178,0.04855,0.07618
2016,"Rhineland-Palatinate, Saarland",West,Yes,0.93966,996,1072,0.92539,0.95392
2016,"Rhineland-Palatinate, Saarland",West,No,0.06034,76,1072,0.04608,0.07461
2016,Baden-Wuerttemberg,West,Yes,0.91178,1868,2075,0.89957,0.92399
2016,Baden-Wuerttemberg,West,No,0.08822,207,2075,0.07601,0.10043
2016,Bavaria,West,Yes,0.92941,2736,2999,0.92024,0.93858
2016,Bavaria,West,No,0.07059,263,2999,0.06142,0.07976
2016,Berlin,West,Yes,0.91931,378,411,0.89294,0.94567
2016,Berlin,West,No,0.08069,33,411,0.05433,0.10706
2016,Berlin,East,Yes,0.96225,320,320,0.94134,0.98317
2016,Brandenburg,East,Yes,0.95782,816,849,0.94429,0.97134
2016,Brandenburg,East,No,0.04218,33,849,0.02866,0.05571
2016,Mecklenburg-Western Pomerania,East,Yes,0.94936,472,472,0.92955,0.96916
2016,Saxony,East,Yes,0.96711,1332,1387,0.95772,0.97650
2016,Saxony,East,No,0.03289,55,1387,0.02350,0.04228
2016,Saxony-Anhalt,East,Yes,0.96406,756,756,0.95078,0.97734
2016,Thuringa,East,Yes,0.98082,814,814,0.97139,0.99025
2017,Schleswig-Holstein,West,Yes,0.96727,756,793,0.95488,0.97966
2017,Schleswig-Holstein,West,No,0.03273,37,793,0.02034,0.04512
2017,Hamburg,West,Yes,0.93308,321,359,0.90719,0.95896
2017,Hamburg,West,No,0.06692,38,359,0.04104,0.09281
2017,Lower Saxony,West,Yes,0.96318,2100,2218,0.95534,0.97102
2017,Lower Saxony,West,No,0.03682,118,2218,0.02898,0.04466
2017,Bremen,West,Yes,0.90369,140,140,0.85465,0.95274
2017,North Rhine-Westphalia,West,Yes,0.93020,3787,4160,0.92246,0.93795
2017,North Rhine-Westphalia,West,No,0.06980,373,4160,0.06205,0.07754
2017,Hesse,West,Yes,0.92929,1246,1359,0.91566,0.94293
2017,Hesse,West,No,0.07071,113,1359,0.05707,0.08434
2017,"Rhineland-Palatinate, Saarland",West,Yes,0.95035,1055,1128,0.93767,0.96303
2017,"Rhineland-Palatinate, Saarland",West,No,0.04965,73,1128,0.03697,0.06233
2017,Baden-Wuerttemberg,West,Yes,0.90822,2087,2314,0.89645,0.91999
2017,Baden-Wuerttemberg,West,No,0.09178,227,2314,0.08001,0.10355
2017,Bavaria,West,Yes,0.93311,3065,3362,0.92466,0.94156
2017,Bavaria,West,No,0.06689,297,3362,0.05844,0.07534
2017,Berlin,West,Yes,0.92605,419,456,0.90200,0.95009
2017,Berlin,West,No,0.07395,37,456,0.04991,0.09800
2017,Berlin,East,Yes,0.95115,343,343,0.92831,0.97400
2017,Brandenburg,East,Yes,0.96200,913,945,0.94980,0.97420
2017,Brandenburg,East,No,0.03800,32,945,0.02580,0.05020
2017,Mecklenburg-Western Pomerania,East,Yes,0.96923,537,537,0.95461,0.98385
2017,Saxony,East,Yes,0.96918,1535,1590,0.96068,0.97767
2017,Saxony,East,No,0.03082,55,1590,0.02233,0.03932
2017,Saxony-Anhalt,East,Yes,0.96125,837,877,0.94847,0.97403
2017,Saxony-Anhalt,East,No,0.03875,40,877,0.02597,0.05153
2017,Thuringa,East,Yes,0.97445,886,886,0.96406,0.98485
2018,Schleswig-Holstein,West,Yes,0.96668,721,770,0.95399,0.97936
2018,Schleswig-Holstein,West,No,0.03332,49,770,0.02064,0.04601
2018,Hamburg,West,Yes,0.93554,323,363,0.91024,0.96084
2018,Hamburg,West,No,0.06446,40,363,0.03916,0.08976
2018,Lower Saxony,West,Yes,0.95388,1952,2069,0.94484,0.96292
2018,Lower Saxony,West,No,0.04612,117,2069,0.03708,0.05516
2018,Bremen,West,Yes,0.90851,147,147,0.86175,0.95528
2018,North Rhine-Westphalia,West,Yes,0.92221,3668,4076,0.91399,0.93044
2018,North Rhine-Westphalia,West,No,0.07779,408,4076,0.06956,0.08601
2018,Hesse,West,Yes,0.93479,1220,1323,0.92148,0.94810
2018,Hesse,West,No,0.06521,103,1323,0.05190,0.07852
2018,"Rhineland-Palatinate, Saarland",West,Yes,0.94214,1050,1139,0.92857,0.95570
2018,"Rhineland-Palatinate, Saarland",West,No,0.05786,89,1139,0.04430,0.07143
2018,Baden-Wuerttemberg,West,Yes,0.90474,1925,2154,0.89234,0.91714
2018,Baden-Wuerttemberg,West,No,0.09526,229,2154,0.08286,0.10766
2018,Bavaria,West,Yes,0.92866,2921,3200,0.91974,0.93758
2018,Bavaria,West,No,0.07134,279,3200,0.06242,0.08026
2018,Berlin,West,Yes,0.95048,452,452,0.93046,0.97051
2018,Berlin,East,Yes,0.95889,321,321,0.93713,0.98064
2018,Brandenburg,East,Yes,0.95659,904,941,0.94356,0.96962
2018,Brandenburg,East,No,0.04341,37,941,0.03038,0.05644
2018,Mecklenburg-Western Pomerania,East,Yes,0.97243,554,554,0.95878,0.98608
2018,Saxony,East,Yes,0.97279,1505,1557,0.96470,0.98087
2018,Saxony,East,No,0.02721,52,1557,0.01913,0.03530
2018,Saxony-Anhalt,East,Yes,0.97454,828,828,0.96381,0.98528
2018,Thuringa,East,Yes,0.97537,839,839,0.96488,0.98586
2020,Schleswig-Holstein,West,Yes,0.97556,715,753,0.96452,0.98659
2020,Schleswig-Holstein,West,No,0.02444,38,753,0.01341,0.03548
2020,Hamburg,West,Yes,0.94206,358,396,0.91902,0.96510
2020,Hamburg,West,No,0.05794,38,396,0.03490,0.08098
2020,Lower Saxony,West,Yes,0.94417,1818,1940,0.93395,0.95439
2020,Lower Saxony,West,No,0.05583,122,1940,0.04561,0.06605
2020,Bremen,West,Yes,0.92212,131,131,0.87605,0.96818
2020,North Rhine-Westphalia,West,Yes,0.93235,3552,3913,0.92448,0.94022
2020,North Rhine-Westphalia,West,No,0.06765,361,3913,0.05978,0.07552
2020,Hesse,West,Yes,0.93601,1189,1300,0.92270,0.94932
2020,Hesse,West,No,0.06399,111,1300,0.05068,0.07730
2020,"Rhineland-Palatinate, Saarland",West,Yes,0.95334,938,1016,0.94036,0.96631
2020,"Rhineland-Palatinate, Saarland",West,No,0.04666,78,1016,0.03369,0.05964
2020,Baden-Wuerttemberg,West,Yes,0.90706,1898,2099,0.89463,0.91948
2020,Baden-Wuerttemberg,West,No,0.09294,201,2099,0.08052,0.10537
2020,Bavaria,West,Yes,0.92864,2795,3079,0.91954,0.93773
2020,Bavaria,West,No,0.07136,284,3079,0.06227,0.08046
2020,Berlin,West,Yes,0.95679,463,463,0.93824,0.97533
2020,Berlin,East,Yes,0.94098,310,310,0.91470,0.96726
2020,Brandenburg,East,Yes,0.95940,919,954,0.94687,0.97193
2020,Brandenburg,East,No,0.04060,35,954,0.02807,0.05313
2020,Mecklenburg-Western Pomerania,East,Yes,0.99293,456,456,0.98523,1.00063
2020,Saxony,East,Yes,0.97357,1411,1462,0.96534,0.98179
2020,Saxony,East,No,0.02643,51,1462,0.01821,0.03466
2020,Saxony-Anhalt,East,Yes,0.95941,775,812,0.94582,0.97299
2020,Saxony-Anhalt,East,No,0.04059,37,812,0.02701,0.05418
2020,Thuringa,East,Yes,0.98545,794,794,0.97711,0.99378
2021,Schleswig-Holstein,West,Yes,0.97533,570,604,0.96295,0.98771
2021,Schleswig-Holstein,West,No,0.02467,34,604,0.01229,0.03705
2021,Hamburg,West,Yes,0.95109,284,284,0.92596,0.97622
2021,Lower Saxony,West,Yes,0.95029,1324,1405,0.93893,0.96166
2021,Lower Saxony,West,No,0.04971,81,1405,0.03834,0.06107
2021,Bremen,West,Yes,0.93868,88,88,0.88826,0.98909
2021,North Rhine-Westphalia,West,Yes,0.92541,2504,2751,0.91559,0.93523
2021,North Rhine-Westphalia,West,No,0.07459,247,2751,0.06477,0.08441
2021,Hesse,West,Yes,0.93009,788,854,0.91298,0.94721
2021,Hesse,West,No,0.06991,66,854,0.05279,0.08702
2021,"Rhineland-Palatinate, Saarland",West,Yes,0.92425,620,681,0.90437,0.94414
2021,"Rhineland-Palatinate, Saarland",West,No,0.07575,61,681,0.05586,0.09563
2021,Baden-Wuerttemberg,West,Yes,0.89280,1357,1515,0.87722,0.90839
2021,Baden-Wuerttemberg,West,No,0.10720,158,1515,0.09161,0.12278
2021,Bavaria,West,Yes,0.91575,1964,2176,0.90407,0.92742
2021,Bavaria,West,No,0.08425,212,2176,0.07258,0.09593
2021,Berlin,West,Yes,0.95919,347,347,0.93835,0.98004
2021,Berlin,East,Yes,0.95149,221,221,0.92310,0.97988
2021,Brandenburg,East,Yes,0.94779,582,582,0.92971,0.96588
2021,Mecklenburg-Western Pomerania,East,Yes,0.93909,356,356,0.91422,0.96397
2021,Saxony,East,Yes,0.96468,1019,1064,0.95358,0.97577
2021,Saxony,East,No,0.03532,45,1064,0.02423,0.04642
2021,Saxony-Anhalt,East,Yes,0.96972,495,495,0.95461,0.98483
2021,Thuringa,East,Yes,0.97028,529,529,0.95580,0.98477
2022,Schleswig-Holstein,West,Yes,0.96901,749,788,0.95691,0.98112
2022,Schleswig-Holstein,West,No,0.03099,39,788,0.01888,0.04309
2022,Hamburg,West,Yes,0.93222,362,401,0.90759,0.95686
2022,Hamburg,West,No,0.06778,39,401,0.04314,0.09241
2022,Lower Saxony,West,Yes,0.93556,1682,1796,0.92420,0.94692
2022,Lower Saxony,West,No,0.06444,114,1796,0.05308,0.07580
2022,Bremen,West,Yes,0.89527,109,109,0.83752,0.95302
2022,North Rhine-Westphalia,West,Yes,0.91897,3652,4028,0.91054,0.92740
2022,North Rhine-Westphalia,West,No,0.08103,376,4028,0.07260,0.08946
2022,Hesse,West,Yes,0.92477,1067,1169,0.90964,0.93989
2022,Hesse,West,No,0.07523,102,1169,0.06011,0.09036
2022,"Rhineland-Palatinate, Saarland",West,Yes,0.94369,845,923,0.92881,0.95857
2022,"Rhineland-Palatinate, Saarland",West,No,0.05631,78,923,0.04143,0.07119
2022,Baden-Wuerttemberg,West,Yes,0.87836,1923,2174,0.86461,0.89210
2022,Baden-Wuerttemberg,West,No,0.12164,251,2174,0.10790,0.13539
2022,Bavaria,West,Yes,0.91001,2871,3182,0.90006,0.91995
2022,Bavaria,West,No,0.08999,311,3182,0.08005,0.09994
2022,Berlin,West,Yes,0.92876,461,502,0.90623,0.95128
2022,Berlin,West,No,0.07124,41,502,0.04872,0.09377
2022,Berlin,East,Yes,0.94451,328,328,0.91969,0.96932
2022,Brandenburg,East,Yes,0.93224,866,906,0.91586,0.94861
2022,Brandenburg,East,No,0.06776,40,906,0.05139,0.08414
2022,Mecklenburg-Western Pomerania,East,Yes,0.95432,471,471,0.93545,0.97320
2022,Saxony,East,Yes,0.94548,1510,1580,0.93428,0.95668
2022,Saxony,East,No,0.05452,70,1580,0.04332,0.06572
2022,Saxony-Anhalt,East,Yes,0.97235,779,779,0.96082,0.98387
2022,Thuringa,East,Yes,0.96582,684,684,0.95220,0.97945
