year,age_gr,sex,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,46-65 y.,male,Yes,0.81190,3675,3861,0.79957,0.82422
2017,46-65 y.,male,No,0.04056,186,3861,0.03434,0.04679
2017,46-65 y.,female,Yes,0.78875,4278,4539,0.77687,0.80062
2017,46-65 y.,female,No,0.04001,261,4539,0.03430,0.04571
2017,66 and older,male,Yes,0.87173,2187,2263,0.85795,0.88551
2017,66 and older,male,No,0.02714,76,2263,0.02045,0.03384
2017,66 and older,female,Yes,0.88199,2237,2316,0.86885,0.89513
2017,66 and older,female,No,0.03130,79,2316,0.02420,0.03839
2018,17-29 y.,male,Yes,0.67942,1487,1740,0.65749,0.70136
2018,17-29 y.,male,No,0.09329,253,1740,0.07962,0.10695
2018,17-29 y.,female,Yes,0.67113,1512,1799,0.64942,0.69285
2018,17-29 y.,female,No,0.09790,287,1799,0.08416,0.11163
2018,30-45 y.,male,Yes,0.70499,1810,1975,0.68487,0.72511
2018,30-45 y.,male,No,0.04926,165,1975,0.03971,0.05880
2018,30-45 y.,female,Yes,0.67885,2487,2709,0.66127,0.69644
2018,30-45 y.,female,No,0.05188,222,2709,0.04353,0.06023
2018,46-65 y.,male,Yes,0.80948,3521,3706,0.79683,0.82212
2018,46-65 y.,male,No,0.03881,185,3706,0.03259,0.04503
2018,46-65 y.,female,Yes,0.79856,4129,4375,0.78667,0.81045
2018,46-65 y.,female,No,0.04142,246,4375,0.03551,0.04732
2018,66 and older,male,Yes,0.84925,2143,2243,0.83444,0.86407
2018,66 and older,male,No,0.03879,100,2243,0.03080,0.04679
2018,66 and older,female,Yes,0.86780,2241,2333,0.85406,0.88155
2018,66 and older,female,No,0.03373,92,2333,0.02641,0.04106
2020,17-29 y.,male,Yes,0.68505,1260,1496,0.66151,0.70860
2020,17-29 y.,male,No,0.09321,236,1496,0.07847,0.10795
2020,17-29 y.,female,Yes,0.71642,1372,1634,0.69456,0.73828
2020,17-29 y.,female,No,0.08225,262,1634,0.06893,0.09558
2020,30-45 y.,male,Yes,0.72157,1682,1837,0.70106,0.74207
2020,30-45 y.,male,No,0.05388,155,1837,0.04355,0.06421
2020,30-45 y.,female,Yes,0.70736,2142,2322,0.68885,0.72587
2020,30-45 y.,female,No,0.04660,180,2322,0.03803,0.05518
2020,46-65 y.,male,Yes,0.80483,3699,3892,0.79237,0.81728
2020,46-65 y.,male,No,0.04249,193,3892,0.03615,0.04883
2020,46-65 y.,female,Yes,0.80953,4071,4311,0.79781,0.82125
2020,46-65 y.,female,No,0.04012,240,4311,0.03426,0.04598
2020,66 and older,male,Yes,0.86656,2134,2223,0.85242,0.88070
2020,66 and older,male,No,0.03196,89,2223,0.02465,0.03927
2020,66 and older,female,Yes,0.86790,2155,2248,0.85390,0.88190
2020,66 and older,female,No,0.03503,93,2248,0.02743,0.04263
2021,17-29 y.,male,Yes,0.70530,879,1028,0.67741,0.73318
2021,17-29 y.,male,No,0.09017,149,1028,0.07265,0.10769
2021,17-29 y.,female,Yes,0.71331,950,1115,0.68676,0.73987
2021,17-29 y.,female,No,0.08813,165,1115,0.07148,0.10478
2021,30-45 y.,male,Yes,0.73687,1200,1308,0.71300,0.76074
2021,30-45 y.,male,No,0.05271,108,1308,0.04059,0.06482
2021,30-45 y.,female,Yes,0.67695,1475,1615,0.65414,0.69977
2021,30-45 y.,female,No,0.05921,140,1615,0.04769,0.07072
2021,46-65 y.,male,Yes,0.78561,2531,2692,0.77010,0.80112
2021,46-65 y.,male,No,0.05613,161,2692,0.04743,0.06483
2021,46-65 y.,female,Yes,0.77876,2895,3094,0.76413,0.79338
2021,46-65 y.,female,No,0.05318,199,3094,0.04527,0.06109
2021,66 and older,male,Yes,0.86115,1554,1626,0.84434,0.87797
2021,66 and older,male,No,0.02997,72,1626,0.02168,0.03826
2021,66 and older,female,Yes,0.86539,1558,1642,0.84888,0.88190
2021,66 and older,female,No,0.03919,84,1642,0.02980,0.04858
2022,17-29 y.,male,Yes,0.68286,1434,1673,0.66056,0.70517
2022,17-29 y.,male,No,0.09990,239,1673,0.08552,0.11427
2022,17-29 y.,female,Yes,0.67472,1548,1775,0.65292,0.69652
2022,17-29 y.,female,No,0.09296,227,1775,0.07945,0.10648
2022,30-45 y.,male,Yes,0.67583,2213,2418,0.65717,0.69450
2022,30-45 y.,male,No,0.07108,205,2418,0.06084,0.08133
2022,30-45 y.,female,Yes,0.66296,2517,2746,0.64528,0.68064
2022,30-45 y.,female,No,0.06261,229,2746,0.05355,0.07168
2022,46-65 y.,male,Yes,0.75023,3335,3556,0.73600,0.76446
2022,46-65 y.,male,No,0.05922,221,3556,0.05146,0.06698
2022,46-65 y.,female,Yes,0.76646,3698,3963,0.75329,0.77964
2022,46-65 y.,female,No,0.05099,265,3963,0.04414,0.05784
2022,66 and older,male,Yes,0.86822,1787,1881,0.85293,0.88351
2022,66 and older,male,No,0.03372,94,1881,0.02556,0.04188
2022,66 and older,female,Yes,0.85833,1815,1919,0.84272,0.87393
2022,66 and older,female,No,0.04906,104,1919,0.03939,0.05873
