year,quintil_oecd,plj0175,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2020,4th Quintile,Yes,0.95281,3700,19940,0.95270,0.95293
2020,4th Quintile,No,0.04719,233,19940,0.04707,0.04730
2020,5th Quintile,Yes,0.94527,5196,19940,0.94514,0.94539
2020,5th Quintile,No,0.05473,308,19940,0.05461,0.05486
2021,1st Quintile,Yes,0.91119,1910,14114,0.91100,0.91137
2021,1st Quintile,No,0.08881,243,14114,0.08863,0.08900
2021,2nd Quintile,Yes,0.92473,2466,14114,0.92458,0.92489
2021,2nd Quintile,No,0.07527,231,14114,0.07511,0.07542
2021,3rd Quintile,Yes,0.93668,2362,14114,0.93654,0.93683
2021,3rd Quintile,No,0.06332,184,14114,0.06317,0.06346
2021,4th Quintile,Yes,0.94326,2665,14114,0.94313,0.94339
2021,4th Quintile,No,0.05674,183,14114,0.05661,0.05687
2021,5th Quintile,Yes,0.93769,3634,14114,0.93756,0.93782
2021,5th Quintile,No,0.06231,236,14114,0.06218,0.06244
