year,quintil_oecd_hh,rentown,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,2nd Quintile,Tenant,Inexpensive,0.26231,197,745,0.23070,0.29392
1985,2nd Quintile,Tenant,Reasonable,0.41844,315,745,0.38299,0.45388
1985,2nd Quintile,Tenant,Slightly Expensive,0.13152,111,745,0.10723,0.15580
1985,2nd Quintile,Tenant,Too Expensive,0.04231,42,745,0.02785,0.05678
1985,3rd Quintile,Tenant,Very Inexpensive,0.10245,63,691,0.07982,0.12508
1985,3rd Quintile,Tenant,Inexpensive,0.25260,166,691,0.22017,0.28502
1985,3rd Quintile,Tenant,Reasonable,0.44606,302,691,0.40897,0.48315
1985,3rd Quintile,Tenant,Slightly Expensive,0.14252,118,691,0.11644,0.16861
1985,3rd Quintile,Tenant,Too Expensive,0.03842,42,691,0.02408,0.05276
1985,4th Quintile,Tenant,Very Inexpensive,0.10282,61,589,0.07827,0.12736
1985,4th Quintile,Tenant,Inexpensive,0.25775,153,589,0.22239,0.29310
1985,4th Quintile,Tenant,Reasonable,0.43540,271,589,0.39533,0.47548
1985,4th Quintile,Tenant,Slightly Expensive,0.15185,104,589,0.12284,0.18085
1985,5th Quintile,Tenant,Very Inexpensive,0.13843,65,468,0.10710,0.16975
1985,5th Quintile,Tenant,Inexpensive,0.22428,109,468,0.18645,0.26212
1985,5th Quintile,Tenant,Reasonable,0.44892,222,468,0.40381,0.49403
1985,5th Quintile,Tenant,Slightly Expensive,0.14436,72,468,0.11248,0.17623
1986,1st Quintile,Tenant,Very Inexpensive,0.10257,56,768,0.08110,0.12404
1986,1st Quintile,Tenant,Inexpensive,0.26386,184,768,0.23267,0.29505
1986,1st Quintile,Tenant,Reasonable,0.38672,317,768,0.35226,0.42119
1986,1st Quintile,Tenant,Slightly Expensive,0.18429,154,768,0.15685,0.21173
1986,1st Quintile,Tenant,Too Expensive,0.05359,57,768,0.03765,0.06953
1986,2nd Quintile,Tenant,Very Inexpensive,0.11006,61,679,0.08650,0.13362
1986,2nd Quintile,Tenant,Inexpensive,0.32399,197,679,0.28876,0.35921
1986,2nd Quintile,Tenant,Reasonable,0.37655,258,679,0.34008,0.41303
1986,2nd Quintile,Tenant,Slightly Expensive,0.13734,123,679,0.11143,0.16325
1986,2nd Quintile,Tenant,Too Expensive,0.04275,40,679,0.02752,0.05798
1986,3rd Quintile,Tenant,Very Inexpensive,0.12109,72,675,0.09646,0.14572
1986,3rd Quintile,Tenant,Inexpensive,0.29247,197,675,0.25813,0.32682
1986,3rd Quintile,Tenant,Reasonable,0.41007,276,675,0.37293,0.44720
1986,3rd Quintile,Tenant,Slightly Expensive,0.12527,94,675,0.10028,0.15026
1986,3rd Quintile,Tenant,Too Expensive,0.04274,36,675,0.02747,0.05800
1986,4th Quintile,Tenant,Very Inexpensive,0.10737,64,610,0.08278,0.13196
1986,4th Quintile,Tenant,Inexpensive,0.25757,149,610,0.22284,0.29230
1986,4th Quintile,Tenant,Reasonable,0.45606,283,610,0.41650,0.49562
1986,4th Quintile,Tenant,Slightly Expensive,0.11188,82,610,0.08685,0.13692
1986,4th Quintile,Tenant,Too Expensive,0.04612,32,610,0.02946,0.06278
1986,5th Quintile,Tenant,Very Inexpensive,0.12776,55,419,0.09576,0.15977
1986,5th Quintile,Tenant,Inexpensive,0.25783,107,419,0.21590,0.29977
1986,5th Quintile,Tenant,Reasonable,0.45345,202,419,0.40573,0.50118
1986,5th Quintile,Tenant,Slightly Expensive,0.11948,55,419,0.08838,0.15057
1987,1st Quintile,Tenant,Very Inexpensive,0.10397,59,718,0.08163,0.12631
1987,1st Quintile,Tenant,Inexpensive,0.29196,194,718,0.25868,0.32524
1987,1st Quintile,Tenant,Reasonable,0.36529,274,718,0.33005,0.40054
1987,1st Quintile,Tenant,Slightly Expensive,0.15842,134,718,0.13170,0.18515
1987,1st Quintile,Tenant,Too Expensive,0.06585,57,718,0.04770,0.08401
1987,2nd Quintile,Tenant,Very Inexpensive,0.12426,65,701,0.09982,0.14870
1987,2nd Quintile,Tenant,Inexpensive,0.29181,204,701,0.25813,0.32549
1987,2nd Quintile,Tenant,Reasonable,0.40754,287,701,0.37114,0.44394
1987,2nd Quintile,Tenant,Slightly Expensive,0.13327,108,701,0.10809,0.15844
1987,2nd Quintile,Tenant,Too Expensive,0.03676,37,701,0.02282,0.05071
1987,3rd Quintile,Tenant,Very Inexpensive,0.12053,66,630,0.09509,0.14598
1987,3rd Quintile,Tenant,Inexpensive,0.26162,175,630,0.22727,0.29597
1987,3rd Quintile,Tenant,Reasonable,0.45387,283,630,0.41496,0.49278
1987,3rd Quintile,Tenant,Slightly Expensive,0.11588,106,630,0.09087,0.14090
1987,4th Quintile,Tenant,Very Inexpensive,0.10098,51,569,0.07620,0.12576
1987,4th Quintile,Tenant,Inexpensive,0.29445,171,569,0.25696,0.33193
1987,4th Quintile,Tenant,Reasonable,0.41689,256,569,0.37634,0.45743
1987,4th Quintile,Tenant,Slightly Expensive,0.14430,91,569,0.11540,0.17320
1987,5th Quintile,Tenant,Very Inexpensive,0.13271,60,429,0.10056,0.16485
1987,5th Quintile,Tenant,Inexpensive,0.21311,102,429,0.17431,0.25191
1987,5th Quintile,Tenant,Reasonable,0.49538,209,429,0.44801,0.54275
1987,5th Quintile,Tenant,Slightly Expensive,0.12059,58,429,0.08974,0.15145
1988,1st Quintile,Tenant,Very Inexpensive,0.10404,58,724,0.08178,0.12629
1988,1st Quintile,Tenant,Inexpensive,0.24577,172,724,0.21439,0.27715
1988,1st Quintile,Tenant,Reasonable,0.41744,309,724,0.38149,0.45338
1988,1st Quintile,Tenant,Slightly Expensive,0.17025,142,724,0.14285,0.19765
1988,1st Quintile,Tenant,Too Expensive,0.03578,43,724,0.02224,0.04932
1988,2nd Quintile,Tenant,Very Inexpensive,0.09399,61,661,0.07173,0.11625
1988,2nd Quintile,Tenant,Inexpensive,0.34638,201,661,0.31008,0.38269
1988,2nd Quintile,Tenant,Reasonable,0.38673,270,661,0.34957,0.42388
1988,2nd Quintile,Tenant,Slightly Expensive,0.12066,96,661,0.09581,0.14551
1988,2nd Quintile,Tenant,Too Expensive,0.04085,33,661,0.02575,0.05595
1988,3rd Quintile,Tenant,Very Inexpensive,0.15265,78,603,0.12392,0.18138
1988,3rd Quintile,Tenant,Inexpensive,0.26572,166,603,0.23044,0.30101
1988,3rd Quintile,Tenant,Reasonable,0.38946,252,603,0.35051,0.42841
1988,3rd Quintile,Tenant,Slightly Expensive,0.15084,107,603,0.12225,0.17943
1988,4th Quintile,Tenant,Very Inexpensive,0.11423,56,542,0.08742,0.14103
1988,4th Quintile,Tenant,Inexpensive,0.26429,155,542,0.22714,0.30145
1988,4th Quintile,Tenant,Reasonable,0.44394,256,542,0.40207,0.48581
1988,4th Quintile,Tenant,Slightly Expensive,0.14014,75,542,0.11089,0.16939
1988,5th Quintile,Tenant,Very Inexpensive,0.13697,58,396,0.10307,0.17088
1988,5th Quintile,Tenant,Inexpensive,0.24046,100,396,0.19831,0.28261
1988,5th Quintile,Tenant,Reasonable,0.44754,182,396,0.39850,0.49658
1988,5th Quintile,Tenant,Slightly Expensive,0.12959,56,396,0.09647,0.16271
1989,1st Quintile,Tenant,Very Inexpensive,0.07909,46,697,0.05904,0.09914
1989,1st Quintile,Tenant,Inexpensive,0.25921,176,697,0.22665,0.29176
1989,1st Quintile,Tenant,Reasonable,0.41910,291,697,0.38244,0.45575
1989,1st Quintile,Tenant,Slightly Expensive,0.16190,140,697,0.13454,0.18927
1989,1st Quintile,Tenant,Too Expensive,0.05802,44,697,0.04065,0.07539
1989,2nd Quintile,Tenant,Very Inexpensive,0.13829,76,648,0.11169,0.16489
1989,2nd Quintile,Tenant,Inexpensive,0.32430,204,648,0.28823,0.36038
1989,2nd Quintile,Tenant,Reasonable,0.36756,256,648,0.33041,0.40471
1989,2nd Quintile,Tenant,Slightly Expensive,0.12870,112,648,0.10289,0.15450
1989,3rd Quintile,Tenant,Very Inexpensive,0.13203,71,572,0.10426,0.15979
1989,3rd Quintile,Tenant,Inexpensive,0.28223,178,572,0.24532,0.31915
1989,3rd Quintile,Tenant,Reasonable,0.42345,236,572,0.38293,0.46398
1989,3rd Quintile,Tenant,Slightly Expensive,0.12278,87,572,0.09586,0.14970
1989,4th Quintile,Tenant,Very Inexpensive,0.14733,69,529,0.11710,0.17756
1989,4th Quintile,Tenant,Inexpensive,0.28415,164,529,0.24568,0.32262
1989,4th Quintile,Tenant,Reasonable,0.41257,223,529,0.37058,0.45456
1989,4th Quintile,Tenant,Slightly Expensive,0.12121,73,529,0.09337,0.14905
1989,5th Quintile,Tenant,Very Inexpensive,0.15598,61,381,0.11950,0.19246
1989,5th Quintile,Tenant,Inexpensive,0.28585,116,381,0.24042,0.33128
1989,5th Quintile,Tenant,Reasonable,0.41569,159,381,0.36614,0.46525
1989,5th Quintile,Tenant,Slightly Expensive,0.10483,45,381,0.07403,0.13563
1990,1st Quintile,Tenant,Very Inexpensive,0.21863,353,1515,0.19781,0.23945
1990,1st Quintile,Tenant,Inexpensive,0.32587,502,1515,0.30226,0.34948
1990,1st Quintile,Tenant,Reasonable,0.37136,581,1515,0.34702,0.39569
1990,1st Quintile,Tenant,Slightly Expensive,0.06075,79,1515,0.04872,0.07278
1990,2nd Quintile,Tenant,Very Inexpensive,0.10351,73,851,0.08303,0.12399
1990,2nd Quintile,Tenant,Inexpensive,0.29376,240,851,0.26314,0.32439
1990,2nd Quintile,Tenant,Reasonable,0.40485,348,851,0.37185,0.43785
1990,2nd Quintile,Tenant,Slightly Expensive,0.12933,134,851,0.10677,0.15189
1990,2nd Quintile,Tenant,Too Expensive,0.04629,56,851,0.03217,0.06042
1990,3rd Quintile,Tenant,Very Inexpensive,0.11994,81,756,0.09676,0.14311
1990,3rd Quintile,Tenant,Inexpensive,0.32441,255,756,0.29102,0.35781
1990,3rd Quintile,Tenant,Reasonable,0.39845,311,756,0.36353,0.43337
1990,3rd Quintile,Tenant,Slightly Expensive,0.12085,109,756,0.09760,0.14410
1990,4th Quintile,Tenant,Very Inexpensive,0.16374,99,646,0.13518,0.19230
1990,4th Quintile,Tenant,Inexpensive,0.28417,211,646,0.24936,0.31898
1990,4th Quintile,Tenant,Reasonable,0.40516,256,646,0.36727,0.44304
1990,4th Quintile,Tenant,Slightly Expensive,0.11207,80,646,0.08773,0.13642
1990,5th Quintile,Tenant,Very Inexpensive,0.15274,80,477,0.12042,0.18505
1990,5th Quintile,Tenant,Inexpensive,0.32654,158,477,0.28441,0.36867
1990,5th Quintile,Tenant,Reasonable,0.37441,186,477,0.33093,0.41789
1990,5th Quintile,Tenant,Slightly Expensive,0.11366,53,477,0.08515,0.14218
1991,1st Quintile,Tenant,Very Inexpensive,0.21982,355,1400,0.19812,0.24152
1991,1st Quintile,Tenant,Inexpensive,0.40956,559,1400,0.38379,0.43533
1991,1st Quintile,Tenant,Reasonable,0.29441,427,1400,0.27053,0.31829
1991,1st Quintile,Tenant,Slightly Expensive,0.04363,59,1400,0.03293,0.05433
1991,2nd Quintile,Tenant,Very Inexpensive,0.14729,92,854,0.12350,0.17107
1991,2nd Quintile,Tenant,Inexpensive,0.28126,234,854,0.25108,0.31143
1991,2nd Quintile,Tenant,Reasonable,0.39717,351,854,0.36433,0.43001
1991,2nd Quintile,Tenant,Slightly Expensive,0.12074,131,854,0.09888,0.14261
1991,2nd Quintile,Tenant,Too Expensive,0.03877,46,854,0.02581,0.05172
1991,3rd Quintile,Tenant,Very Inexpensive,0.13512,94,749,0.11062,0.15962
1991,3rd Quintile,Tenant,Inexpensive,0.34050,250,749,0.30654,0.37446
1991,3rd Quintile,Tenant,Reasonable,0.39972,318,749,0.36462,0.43483
1991,3rd Quintile,Tenant,Slightly Expensive,0.09280,87,749,0.07201,0.11359
1991,4th Quintile,Tenant,Very Inexpensive,0.15052,90,648,0.12297,0.17808
1991,4th Quintile,Tenant,Inexpensive,0.32896,228,648,0.29276,0.36517
1991,4th Quintile,Tenant,Reasonable,0.35433,239,648,0.31748,0.39119
1991,4th Quintile,Tenant,Slightly Expensive,0.12450,91,648,0.09906,0.14994
1991,5th Quintile,Tenant,Very Inexpensive,0.19773,109,496,0.16264,0.23281
1991,5th Quintile,Tenant,Inexpensive,0.29972,166,496,0.25936,0.34008
1991,5th Quintile,Tenant,Reasonable,0.36170,164,496,0.31937,0.40403
1991,5th Quintile,Tenant,Slightly Expensive,0.11557,57,496,0.08741,0.14374
1992,1st Quintile,Tenant,Very Inexpensive,0.08033,55,1012,0.06358,0.09709
1992,1st Quintile,Tenant,Inexpensive,0.20690,204,1012,0.18193,0.23187
1992,1st Quintile,Tenant,Reasonable,0.39882,436,1012,0.36864,0.42901
1992,1st Quintile,Tenant,Slightly Expensive,0.21873,272,1012,0.19325,0.24421
1992,1st Quintile,Tenant,Too Expensive,0.02722,45,1012,0.01719,0.03725
1992,2nd Quintile,Tenant,Very Inexpensive,0.09219,63,986,0.07412,0.11026
1992,2nd Quintile,Tenant,Inexpensive,0.29170,261,986,0.26332,0.32009
1992,2nd Quintile,Tenant,Reasonable,0.38321,445,986,0.35285,0.41357
1992,2nd Quintile,Tenant,Slightly Expensive,0.15337,184,986,0.13087,0.17587
1992,2nd Quintile,Tenant,Too Expensive,0.02159,33,986,0.01251,0.03066
1992,3rd Quintile,Tenant,Very Inexpensive,0.10300,75,861,0.08269,0.12332
1992,3rd Quintile,Tenant,Inexpensive,0.28374,256,861,0.25361,0.31387
1992,3rd Quintile,Tenant,Reasonable,0.40270,364,861,0.36992,0.43548
1992,3rd Quintile,Tenant,Slightly Expensive,0.11318,129,861,0.09200,0.13435
1992,3rd Quintile,Tenant,Too Expensive,0.02517,37,861,0.01470,0.03564
1992,4th Quintile,Tenant,Very Inexpensive,0.12033,86,707,0.09633,0.14432
1992,4th Quintile,Tenant,Inexpensive,0.30422,223,707,0.27028,0.33816
1992,4th Quintile,Tenant,Reasonable,0.41669,310,707,0.38032,0.45306
1992,4th Quintile,Tenant,Slightly Expensive,0.10080,88,707,0.07859,0.12301
1992,5th Quintile,Tenant,Very Inexpensive,0.17550,85,458,0.14062,0.21037
1992,5th Quintile,Tenant,Inexpensive,0.29419,151,458,0.25241,0.33597
1992,5th Quintile,Tenant,Reasonable,0.36405,167,458,0.31993,0.40816
1992,5th Quintile,Tenant,Slightly Expensive,0.09421,55,458,0.06742,0.12099
1993,1st Quintile,Tenant,Very Inexpensive,0.05731,47,967,0.04265,0.07197
1993,1st Quintile,Tenant,Inexpensive,0.22664,191,967,0.20024,0.25304
1993,1st Quintile,Tenant,Reasonable,0.38659,386,967,0.35588,0.41730
1993,1st Quintile,Tenant,Slightly Expensive,0.20777,261,967,0.18218,0.23335
1993,1st Quintile,Tenant,Too Expensive,0.05558,82,967,0.04113,0.07002
1993,2nd Quintile,Tenant,Very Inexpensive,0.07821,62,1000,0.06156,0.09486
1993,2nd Quintile,Tenant,Inexpensive,0.23197,209,1000,0.20580,0.25815
1993,2nd Quintile,Tenant,Reasonable,0.39822,439,1000,0.36787,0.42858
1993,2nd Quintile,Tenant,Slightly Expensive,0.17236,229,1000,0.14894,0.19579
1993,2nd Quintile,Tenant,Too Expensive,0.03947,61,1000,0.02740,0.05155
1993,3rd Quintile,Tenant,Very Inexpensive,0.12590,93,841,0.10347,0.14834
1993,3rd Quintile,Tenant,Inexpensive,0.29668,235,841,0.26579,0.32757
1993,3rd Quintile,Tenant,Reasonable,0.36338,315,841,0.33085,0.39590
1993,3rd Quintile,Tenant,Slightly Expensive,0.12136,154,841,0.09927,0.14344
1993,3rd Quintile,Tenant,Too Expensive,0.03317,44,841,0.02106,0.04528
1993,4th Quintile,Tenant,Very Inexpensive,0.11652,83,701,0.09275,0.14028
1993,4th Quintile,Tenant,Inexpensive,0.29330,213,701,0.25957,0.32702
1993,4th Quintile,Tenant,Reasonable,0.38656,296,701,0.35048,0.42263
1993,4th Quintile,Tenant,Slightly Expensive,0.13186,109,701,0.10680,0.15693
1993,5th Quintile,Tenant,Very Inexpensive,0.13793,66,466,0.10659,0.16927
1993,5th Quintile,Tenant,Inexpensive,0.31220,155,466,0.27008,0.35431
1993,5th Quintile,Tenant,Reasonable,0.36583,190,466,0.32205,0.40961
1993,5th Quintile,Tenant,Slightly Expensive,0.08978,55,466,0.06380,0.11577
1994,1st Quintile,Tenant,Very Inexpensive,0.07522,62,1019,0.05902,0.09142
1994,1st Quintile,Tenant,Inexpensive,0.22161,210,1019,0.19610,0.24712
1994,1st Quintile,Tenant,Reasonable,0.41720,451,1019,0.38691,0.44749
1994,1st Quintile,Tenant,Slightly Expensive,0.17845,242,1019,0.15492,0.20197
1994,1st Quintile,Tenant,Too Expensive,0.04566,54,1019,0.03284,0.05849
1994,2nd Quintile,Tenant,Very Inexpensive,0.08168,65,923,0.06400,0.09936
1994,2nd Quintile,Tenant,Inexpensive,0.25200,214,923,0.22397,0.28002
1994,2nd Quintile,Tenant,Reasonable,0.42766,425,923,0.39572,0.45959
1994,2nd Quintile,Tenant,Slightly Expensive,0.13373,179,923,0.11176,0.15570
1994,2nd Quintile,Tenant,Too Expensive,0.03545,40,923,0.02351,0.04738
1994,3rd Quintile,Tenant,Very Inexpensive,0.11304,74,781,0.09082,0.13526
1994,3rd Quintile,Tenant,Inexpensive,0.27337,224,781,0.24209,0.30464
1994,3rd Quintile,Tenant,Reasonable,0.39523,347,781,0.36092,0.42954
1994,3rd Quintile,Tenant,Slightly Expensive,0.12274,136,781,0.09971,0.14576
1994,4th Quintile,Tenant,Very Inexpensive,0.10689,75,677,0.08360,0.13018
1994,4th Quintile,Tenant,Inexpensive,0.28934,205,677,0.25516,0.32353
1994,4th Quintile,Tenant,Reasonable,0.40046,292,677,0.36353,0.43740
1994,4th Quintile,Tenant,Slightly Expensive,0.11870,105,677,0.09431,0.14308
1994,5th Quintile,Tenant,Very Inexpensive,0.14217,70,476,0.11077,0.17358
1994,5th Quintile,Tenant,Inexpensive,0.25575,133,476,0.21652,0.29499
1994,5th Quintile,Tenant,Reasonable,0.40131,204,476,0.35722,0.44539
1994,5th Quintile,Tenant,Slightly Expensive,0.12492,69,476,0.09518,0.15465
1995,1st Quintile,Tenant,Very Inexpensive,0.06614,56,1098,0.05144,0.08085
1995,1st Quintile,Tenant,Inexpensive,0.26067,264,1098,0.23470,0.28665
1995,1st Quintile,Tenant,Reasonable,0.38389,461,1098,0.35511,0.41267
1995,1st Quintile,Tenant,Slightly Expensive,0.19050,255,1098,0.16726,0.21374
1995,1st Quintile,Tenant,Too Expensive,0.03785,62,1098,0.02656,0.04914
1995,2nd Quintile,Tenant,Very Inexpensive,0.07545,71,1004,0.05911,0.09180
1995,2nd Quintile,Tenant,Inexpensive,0.23196,244,1004,0.20584,0.25808
1995,2nd Quintile,Tenant,Reasonable,0.42788,463,1004,0.39726,0.45850
1995,2nd Quintile,Tenant,Slightly Expensive,0.15839,180,1004,0.13579,0.18098
1995,2nd Quintile,Tenant,Too Expensive,0.03226,46,1004,0.02132,0.04319
1995,3rd Quintile,Tenant,Very Inexpensive,0.09222,75,799,0.07215,0.11230
1995,3rd Quintile,Tenant,Inexpensive,0.29051,233,799,0.25901,0.32201
1995,3rd Quintile,Tenant,Reasonable,0.40933,368,799,0.37522,0.44345
1995,3rd Quintile,Tenant,Slightly Expensive,0.11351,123,799,0.09150,0.13552
1995,4th Quintile,Tenant,Very Inexpensive,0.12378,83,667,0.09877,0.14879
1995,4th Quintile,Tenant,Inexpensive,0.26684,192,667,0.23325,0.30043
1995,4th Quintile,Tenant,Reasonable,0.39994,298,667,0.36274,0.43715
1995,4th Quintile,Tenant,Slightly Expensive,0.12979,94,667,0.10426,0.15531
1995,5th Quintile,Tenant,Very Inexpensive,0.12848,58,462,0.09794,0.15903
1995,5th Quintile,Tenant,Inexpensive,0.27200,139,462,0.23138,0.31262
1995,5th Quintile,Tenant,Reasonable,0.36970,194,462,0.32564,0.41377
1995,5th Quintile,Tenant,Slightly Expensive,0.13778,71,462,0.10632,0.16925
1996,1st Quintile,Tenant,Very Inexpensive,0.07698,72,1125,0.06140,0.09257
1996,1st Quintile,Tenant,Inexpensive,0.23716,261,1125,0.21230,0.26203
1996,1st Quintile,Tenant,Reasonable,0.40090,482,1125,0.37225,0.42955
1996,1st Quintile,Tenant,Slightly Expensive,0.17920,256,1125,0.15678,0.20162
1996,1st Quintile,Tenant,Too Expensive,0.03942,54,1125,0.02804,0.05080
1996,2nd Quintile,Tenant,Very Inexpensive,0.06310,56,932,0.04748,0.07872
1996,2nd Quintile,Tenant,Inexpensive,0.26226,237,932,0.23400,0.29051
1996,2nd Quintile,Tenant,Reasonable,0.42533,405,932,0.39357,0.45708
1996,2nd Quintile,Tenant,Slightly Expensive,0.16690,200,932,0.14295,0.19085
1996,2nd Quintile,Tenant,Too Expensive,0.02498,34,932,0.01495,0.03500
1996,3rd Quintile,Tenant,Very Inexpensive,0.08729,75,796,0.06767,0.10692
1996,3rd Quintile,Tenant,Inexpensive,0.30622,226,796,0.27418,0.33826
1996,3rd Quintile,Tenant,Reasonable,0.39419,363,796,0.36022,0.42816
1996,3rd Quintile,Tenant,Slightly Expensive,0.14671,132,796,0.12212,0.17131
1996,4th Quintile,Tenant,Very Inexpensive,0.11113,73,651,0.08697,0.13530
1996,4th Quintile,Tenant,Inexpensive,0.27599,189,651,0.24163,0.31036
1996,4th Quintile,Tenant,Reasonable,0.37397,287,651,0.33677,0.41117
1996,4th Quintile,Tenant,Slightly Expensive,0.13375,102,651,0.10758,0.15992
1996,5th Quintile,Tenant,Very Inexpensive,0.11769,56,452,0.08795,0.14743
1996,5th Quintile,Tenant,Inexpensive,0.26172,120,452,0.22115,0.30229
1996,5th Quintile,Tenant,Reasonable,0.37393,198,452,0.32927,0.41858
1996,5th Quintile,Tenant,Slightly Expensive,0.16324,78,452,0.12913,0.19735
1997,1st Quintile,Tenant,Very Inexpensive,0.07026,71,1045,0.05476,0.08576
1997,1st Quintile,Tenant,Inexpensive,0.21803,223,1045,0.19299,0.24308
1997,1st Quintile,Tenant,Reasonable,0.40895,449,1045,0.37913,0.43877
1997,1st Quintile,Tenant,Slightly Expensive,0.20274,242,1045,0.17835,0.22713
1997,1st Quintile,Tenant,Too Expensive,0.04294,60,1045,0.03064,0.05524
1997,2nd Quintile,Tenant,Very Inexpensive,0.08041,64,936,0.06298,0.09784
1997,2nd Quintile,Tenant,Inexpensive,0.23667,214,936,0.20943,0.26392
1997,2nd Quintile,Tenant,Reasonable,0.43729,439,936,0.40550,0.46909
1997,2nd Quintile,Tenant,Slightly Expensive,0.15399,176,936,0.13085,0.17712
1997,2nd Quintile,Tenant,Too Expensive,0.03409,43,936,0.02246,0.04572
1997,3rd Quintile,Tenant,Very Inexpensive,0.09796,77,779,0.07707,0.11885
1997,3rd Quintile,Tenant,Inexpensive,0.24688,199,779,0.21658,0.27718
1997,3rd Quintile,Tenant,Reasonable,0.43090,371,779,0.39610,0.46570
1997,3rd Quintile,Tenant,Slightly Expensive,0.15558,132,779,0.13011,0.18105
1997,4th Quintile,Tenant,Very Inexpensive,0.11752,78,652,0.09278,0.14226
1997,4th Quintile,Tenant,Inexpensive,0.24789,178,652,0.21472,0.28106
1997,4th Quintile,Tenant,Reasonable,0.37662,286,652,0.33940,0.41384
1997,4th Quintile,Tenant,Slightly Expensive,0.15053,110,652,0.12306,0.17800
1997,5th Quintile,Tenant,Very Inexpensive,0.09089,35,409,0.06299,0.11878
1997,5th Quintile,Tenant,Inexpensive,0.19951,99,409,0.16073,0.23829
1997,5th Quintile,Tenant,Reasonable,0.42351,204,409,0.37556,0.47145
1997,5th Quintile,Tenant,Slightly Expensive,0.16870,71,409,0.13236,0.20504
1998,1st Quintile,Tenant,Very Inexpensive,0.07137,75,1213,0.05688,0.08587
1998,1st Quintile,Tenant,Inexpensive,0.22696,275,1213,0.20338,0.25054
1998,1st Quintile,Tenant,Reasonable,0.38575,498,1213,0.35834,0.41315
1998,1st Quintile,Tenant,Slightly Expensive,0.22460,302,1213,0.20111,0.24810
1998,1st Quintile,Tenant,Too Expensive,0.03954,63,1213,0.02857,0.05052
1998,2nd Quintile,Tenant,Very Inexpensive,0.06569,62,962,0.05003,0.08136
1998,2nd Quintile,Tenant,Inexpensive,0.23932,237,962,0.21234,0.26630
1998,2nd Quintile,Tenant,Reasonable,0.43142,462,962,0.40011,0.46274
1998,2nd Quintile,Tenant,Slightly Expensive,0.17171,201,962,0.14786,0.19555
1998,3rd Quintile,Tenant,Very Inexpensive,0.07131,67,825,0.05374,0.08888
1998,3rd Quintile,Tenant,Inexpensive,0.26964,237,825,0.23934,0.29994
1998,3rd Quintile,Tenant,Reasonable,0.41797,382,825,0.38430,0.45165
1998,3rd Quintile,Tenant,Slightly Expensive,0.14428,139,825,0.12029,0.16827
1998,4th Quintile,Tenant,Very Inexpensive,0.09582,79,713,0.07420,0.11744
1998,4th Quintile,Tenant,Inexpensive,0.25104,199,713,0.21919,0.28289
1998,4th Quintile,Tenant,Reasonable,0.37835,304,713,0.34272,0.41397
