,Unnamed: 0,year,rentown,sampreg,hgreval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
46,46,1991,Tenant,East,Reasonable,0.30118,409,4211,0.28703,0.31881
47,47,1991,Tenant,East,Slightly Expensive,0.03949,51,4211,0.03404,0.04441
48,48,1992,Tenant,West,Very Inexpensive,0.14329,338,4024,0.13388,0.1513
49,49,1992,Tenant,West,Inexpensive,0.33064,907,4024,0.31686,0.34689
50,50,1992,Tenant,West,Reasonable,0.39026,1033,4024,0.37209,0.40912
51,51,1992,Tenant,West,Slightly Expensive,0.11535,373,4024,0.10338,0.12536
52,52,1992,Tenant,West,Too Expensive,0.02045,86,4024,0.01532,0.02659
53,53,1992,Tenant,East,Inexpensive,0.15167,188,4024,0.13965,0.1661
54,54,1992,Tenant,East,Reasonable,0.52884,689,4024,0.50684,0.54921
55,55,1992,Tenant,East,Slightly Expensive,0.28157,355,4024,0.26731,0.29975
56,56,1992,Tenant,East,Too Expensive,0.03791,55,4024,0.03202,0.04348
57,57,1993,Tenant,West,Very Inexpensive,0.13002,324,3990,0.12257,0.13886
58,58,1993,Tenant,West,Inexpensive,0.34073,886,3990,0.32301,0.35786
59,59,1993,Tenant,West,Reasonable,0.39333,1065,3990,0.37547,0.41215
60,60,1993,Tenant,West,Slightly Expensive,0.11346,371,3990,0.10298,0.12608
61,61,1993,Tenant,West,Too Expensive,0.02246,100,3990,0.01857,0.02761
62,62,1993,Tenant,East,Inexpensive,0.09955,117,3990,0.08989,0.11051
63,63,1993,Tenant,East,Reasonable,0.4672,561,3990,0.44526,0.48626
64,64,1993,Tenant,East,Slightly Expensive,0.33109,437,3990,0.31917,0.34901
65,65,1993,Tenant,East,Too Expensive,0.10215,129,3990,0.09245,0.11162
66,66,1994,Tenant,West,Very Inexpensive,0.12856,310,3949,0.11989,0.13995
67,67,1994,Tenant,West,Inexpensive,0.31241,822,3949,0.29484,0.32914
68,68,1994,Tenant,West,Reasonable,0.41655,1101,3949,0.39924,0.43554
69,69,1994,Tenant,West,Slightly Expensive,0.11309,387,3949,0.10154,0.12212
70,70,1994,Tenant,West,Too Expensive,0.02939,97,3949,0.0249,0.03496
71,71,1994,Tenant,East,Very Inexpensive,0.02925,36,3949,0.02392,0.03584
72,72,1994,Tenant,East,Inexpensive,0.13864,165,3949,0.12666,0.15318
73,73,1994,Tenant,East,Reasonable,0.50784,620,3949,0.48492,0.53614
74,74,1994,Tenant,East,Slightly Expensive,0.26748,344,3949,0.25396,0.28579
75,75,1994,Tenant,East,Too Expensive,0.0568,67,3949,0.04848,0.065
76,76,1995,Tenant,West,Very Inexpensive,0.11594,298,4081,0.10554,0.1257
77,77,1995,Tenant,West,Inexpensive,0.31692,871,4081,0.30289,0.33315
78,78,1995,Tenant,West,Reasonable,0.40581,1175,4081,0.38741,0.42573
79,79,1995,Tenant,West,Slightly Expensive,0.13809,441,4081,0.12616,0.15106
80,80,1995,Tenant,West,Too Expensive,0.02324,105,4081,0.01891,0.02768
81,81,1995,Tenant,East,Very Inexpensive,0.03858,45,4081,0.03195,0.04606
82,82,1995,Tenant,East,Inexpensive,0.16099,202,4081,0.14784,0.17361
83,83,1995,Tenant,East,Reasonable,0.50924,609,4081,0.48078,0.53278
84,84,1995,Tenant,East,Slightly Expensive,0.24126,282,4081,0.22469,0.25732
85,85,1995,Tenant,East,Too Expensive,0.04993,53,4081,0.042,0.05763
86,86,1996,Tenant,West,Very Inexpensive,0.10621,276,4008,0.09748,0.11613
87,87,1996,Tenant,West,Inexpensive,0.31784,831,4008,0.29752,0.33721
88,88,1996,Tenant,West,Reasonable,0.39848,1142,4008,0.38091,0.4212
89,89,1996,Tenant,West,Slightly Expensive,0.15452,484,4008,0.14259,0.16838
90,90,1996,Tenant,West,Too Expensive,0.02296,89,4008,0.01891,0.02807
91,91,1996,Tenant,East,Very Inexpensive,0.04739,56,4008,0.03942,0.05586
92,92,1996,Tenant,East,Inexpensive,0.16967,204,4008,0.15444,0.1817
93,93,1996,Tenant,East,Reasonable,0.51255,594,4008,0.48551,0.53425
94,94,1996,Tenant,East,Slightly Expensive,0.2266,284,4008,0.20942,0.23954
95,95,1996,Tenant,East,Too Expensive,0.04379,48,4008,0.03788,0.05078
96,96,1997,Tenant,West,Very Inexpensive,0.10536,254,3869,0.09446,0.11514
97,97,1997,Tenant,West,Inexpensive,0.26462,698,3869,0.24847,0.27917
98,98,1997,Tenant,West,Reasonable,0.43654,1198,3869,0.41225,0.46064
99,99,1997,Tenant,West,Slightly Expensive,0.16745,459,3869,0.15444,0.18169
100,100,1997,Tenant,West,Too Expensive,0.02603,105,3869,0.02061,0.0314
101,101,1997,Tenant,East,Very Inexpensive,0.06183,71,3869,0.0533,0.06973
102,102,1997,Tenant,East,Inexpensive,0.18835,215,3869,0.17201,0.20542
103,103,1997,Tenant,East,Reasonable,0.4805,552,3869,0.46,0.50337
104,104,1997,Tenant,East,Slightly Expensive,0.22714,272,3869,0.21221,0.24334
105,105,1997,Tenant,East,Too Expensive,0.04218,45,3869,0.03535,0.0489
106,106,1998,Tenant,West,Very Inexpensive,0.08983,256,4242,0.08247,0.09635
107,107,1998,Tenant,West,Inexpensive,0.26744,793,4242,0.25461,0.28248
108,108,1998,Tenant,West,Reasonable,0.42975,1313,4242,0.41195,0.44407
109,109,1998,Tenant,West,Slightly Expensive,0.1859,580,4242,0.17283,0.19906
110,110,1998,Tenant,West,Too Expensive,0.02709,100,4242,0.02225,0.03276
111,111,1998,Tenant,East,Very Inexpensive,0.06219,76,4242,0.05322,0.07258
112,112,1998,Tenant,East,Inexpensive,0.22409,264,4242,0.20514,0.24351
113,113,1998,Tenant,East,Reasonable,0.44029,525,4242,0.41782,0.46277
114,114,1998,Tenant,East,Slightly Expensive,0.24146,291,4242,0.22407,0.25733
115,115,1998,Tenant,East,Too Expensive,0.03197,44,4242,0.0274,0.03711
116,116,1999,Tenant,West,Very Inexpensive,0.09988,252,4044,0.09145,0.10845
117,117,1999,Tenant,West,Inexpensive,0.24526,711,4044,0.23241,0.25805
118,118,1999,Tenant,West,Reasonable,0.44014,1277,4044,0.41993,0.46106
119,119,1999,Tenant,West,Slightly Expensive,0.19508,566,4044,0.18287,0.20631
120,120,1999,Tenant,West,Too Expensive,0.01963,69,4044,0.01589,0.02387
121,121,1999,Tenant,East,Very Inexpensive,0.05343,70,4044,0.04435,0.06092
122,122,1999,Tenant,East,Inexpensive,0.23439,273,4044,0.22061,0.25291
123,123,1999,Tenant,East,Reasonable,0.44569,521,4044,0.41791,0.46618
124,124,1999,Tenant,East,Slightly Expensive,0.23771,269,4044,0.21782,0.25644
125,125,1999,Tenant,East,Too Expensive,0.02878,36,4044,0.02344,0.03371
126,126,2000,Tenant,West,Very Inexpensive,0.08539,391,6673,0.08122,0.08953
127,127,2000,Tenant,West,Inexpensive,0.26,1264,6673,0.25319,0.26878
128,128,2000,Tenant,West,Reasonable,0.45337,2224,6673,0.44505,0.46366
129,129,2000,Tenant,West,Slightly Expensive,0.17552,872,6673,0.16834,0.18253
130,130,2000,Tenant,West,Too Expensive,0.02572,126,6673,0.02325,0.02832
131,131,2000,Tenant,East,Very Inexpensive,0.06806,126,6673,0.06266,0.07521
132,132,2000,Tenant,East,Inexpensive,0.25317,458,6673,0.24362,0.26421
133,133,2000,Tenant,East,Reasonable,0.41868,733,6673,0.403,0.43788
134,134,2000,Tenant,East,Slightly Expensive,0.22525,412,6673,0.21522,0.23681
135,135,2000,Tenant,East,Too Expensive,0.03484,67,6673,0.03056,0.03917
136,136,2001,Tenant,West,Very Inexpensive,0.07892,340,6013,0.07405,0.08456
137,137,2001,Tenant,West,Inexpensive,0.25374,1107,6013,0.24434,0.26329
138,138,2001,Tenant,West,Reasonable,0.46874,2064,6013,0.45625,0.48104
139,139,2001,Tenant,West,Slightly Expensive,0.17602,766,6013,0.16854,0.18299
140,140,2001,Tenant,West,Too Expensive,0.02258,109,6013,0.0201,0.025
141,141,2001,Tenant,East,Very Inexpensive,0.06661,108,6013,0.06119,0.07304
142,142,2001,Tenant,East,Inexpensive,0.26084,416,6013,0.24836,0.27201
143,143,2001,Tenant,East,Reasonable,0.44445,722,6013,0.4288,0.46265
144,144,2001,Tenant,East,Slightly Expensive,0.20623,344,6013,0.19352,0.21933
145,145,2001,Tenant,East,Too Expensive,0.02187,37,6013,0.01809,0.02535
146,146,2002,Tenant,West,Very Inexpensive,0.08133,346,5936,0.0757,0.08696
147,147,2002,Tenant,West,Inexpensive,0.24698,1070,5936,0.23858,0.25602
148,148,2002,Tenant,West,Reasonable,0.45996,2013,5936,0.44668,0.47487
149,149,2002,Tenant,West,Slightly Expensive,0.1791,773,5936,0.17124,0.18751
150,150,2002,Tenant,West,Too Expensive,0.03263,130,5936,0.02948,0.03625
151,151,2002,Tenant,East,Very Inexpensive,0.05747,96,5936,0.04931,0.06456
152,152,2002,Tenant,East,Inexpensive,0.26437,431,5936,0.2493,0.27993
153,153,2002,Tenant,East,Reasonable,0.45868,719,5936,0.44022,0.4786
154,154,2002,Tenant,East,Slightly Expensive,0.19596,317,5936,0.17969,0.21189
155,155,2002,Tenant,East,Too Expensive,0.02352,41,5936,0.01916,0.02764
156,156,2005,Tenant,West,Very Inexpensive,0.06509,263,5393,0.0601,0.07201
157,157,2005,Tenant,West,Inexpensive,0.24879,945,5393,0.23862,0.26038
158,158,2005,Tenant,West,Reasonable,0.48137,1904,5393,0.46591,0.49609
159,159,2005,Tenant,West,Slightly Expensive,0.17609,708,5393,0.16695,0.18564
160,160,2005,Tenant,West,Too Expensive,0.02867,105,5393,0.02427,0.03276
161,161,2005,Tenant,East,Very Inexpensive,0.05506,81,5393,0.04739,0.06308
162,162,2005,Tenant,East,Inexpensive,0.21356,324,5393,0.19887,0.22947
163,163,2005,Tenant,East,Reasonable,0.49347,718,5393,0.47031,0.5218
164,164,2005,Tenant,East,Slightly Expensive,0.2049,301,5393,0.19072,0.22183
165,165,2005,Tenant,East,Too Expensive,0.03301,44,5393,0.02713,0.03961
166,166,2006,Tenant,West,Very Inexpensive,0.06279,278,5822,0.05747,0.06802
167,167,2006,Tenant,West,Inexpensive,0.24395,1029,5822,0.23323,0.25547
168,168,2006,Tenant,West,Reasonable,0.47185,2008,5822,0.45624,0.48716
169,169,2006,Tenant,West,Slightly Expensive,0.18884,796,5822,0.18078,0.19763
170,170,2006,Tenant,West,Too Expensive,0.03256,126,5822,0.02875,0.03647
171,171,2006,Tenant,East,Very Inexpensive,0.05446,87,5822,0.04762,0.06146
172,172,2006,Tenant,East,Inexpensive,0.24082,393,5822,0.22195,0.25634
173,173,2006,Tenant,East,Reasonable,0.46644,748,5822,0.44106,0.48888
174,174,2006,Tenant,East,Slightly Expensive,0.21254,320,5822,0.19518,0.22742
175,175,2006,Tenant,East,Too Expensive,0.02575,37,5822,0.02019,0.03289
176,176,2007,Tenant,West,Very Inexpensive,0.0699,271,5394,0.06475,0.07513
177,177,2007,Tenant,West,Inexpensive,0.23635,935,5394,0.22282,0.24758
178,178,2007,Tenant,West,Reasonable,0.47867,1876,5394,0.46207,0.4933
179,179,2007,Tenant,West,Slightly Expensive,0.18029,714,5394,0.17052,0.1893
180,180,2007,Tenant,West,Too Expensive,0.03479,117,5394,0.03062,0.03876
181,181,2007,Tenant,East,Very Inexpensive,0.0571,87,5394,0.05048,0.06338
182,182,2007,Tenant,East,Inexpensive,0.22192,347,5394,0.20506,0.23871
183,183,2007,Tenant,East,Reasonable,0.47677,696,5394,0.44674,0.50321
184,184,2007,Tenant,East,Slightly Expensive,0.20941,308,5394,0.19296,0.22526
185,185,2007,Tenant,East,Too Expensive,0.03481,43,5394,0.02701,0.04367
186,186,2008,Tenant,West,Very Inexpensive,0.0724,260,5046,0.06542,0.0791
187,187,2008,Tenant,West,Inexpensive,0.24428,895,5046,0.2336,0.25659
188,188,2008,Tenant,West,Reasonable,0.46702,1706,5046,0.45156,0.48248
189,189,2008,Tenant,West,Slightly Expensive,0.18804,655,5046,0.176,0.19832
190,190,2008,Tenant,West,Too Expensive,0.02825,98,5046,0.02467,0.03212
191,191,2008,Tenant,East,Very Inexpensive,0.06605,92,5046,0.05597,0.07592
192,192,2008,Tenant,East,Inexpensive,0.24533,343,5046,0.22762,0.26394
193,193,2008,Tenant,East,Reasonable,0.44748,665,5046,0.42389,0.47485
194,194,2008,Tenant,East,Slightly Expensive,0.20551,286,5046,0.18862,0.22188
195,195,2008,Tenant,East,Too Expensive,0.03563,46,5046,0.02742,0.04306
196,196,2009,Tenant,West,Very Inexpensive,0.06788,236,4734,0.06099,0.07479
197,197,2009,Tenant,West,Inexpensive,0.24311,829,4734,0.22987,0.25539
198,198,2009,Tenant,West,Reasonable,0.47884,1637,4734,0.46205,0.49934
199,199,2009,Tenant,West,Slightly Expensive,0.18544,599,4734,0.17449,0.19806
200,200,2009,Tenant,West,Too Expensive,0.02473,78,4734,0.0205,0.02925
201,201,2009,Tenant,East,Very Inexpensive,0.07142,98,4734,0.06109,0.08099
202,202,2009,Tenant,East,Inexpensive,0.23367,336,4734,0.21827,0.25197
203,203,2009,Tenant,East,Reasonable,0.45239,600,4734,0.42361,0.49308
204,204,2009,Tenant,East,Slightly Expensive,0.20787,281,4734,0.18886,0.22694
205,205,2009,Tenant,East,Too Expensive,0.03465,40,4734,0.02454,0.0458
206,206,2010,Tenant,West,Very Inexpensive,0.08018,423,7020,0.07115,0.08957
207,207,2010,Tenant,West,Inexpensive,0.23671,1325,7020,0.22588,0.25031
208,208,2010,Tenant,West,Reasonable,0.46734,2356,7020,0.44069,0.48729
209,209,2010,Tenant,West,Slightly Expensive,0.1949,973,7020,0.17992,0.20667
210,210,2010,Tenant,West,Too Expensive,0.02087,153,7020,0.01685,0.02497
211,211,2010,Tenant,East,Very Inexpensive,0.06452,124,7020,0.05181,0.07899
212,212,2010,Tenant,East,Inexpensive,0.24352,439,7020,0.21972,0.27017
213,213,2010,Tenant,East,Reasonable,0.45682,804,7020,0.42267,0.49028
214,214,2010,Tenant,East,Slightly Expensive,0.20876,358,7020,0.18378,0.22894
215,215,2010,Tenant,East,Too Expensive,0.02638,65,7020,0.02018,0.03253
216,216,2011,Tenant,West,Very Inexpensive,0.07638,511,8353,0.06879,0.08421
217,217,2011,Tenant,West,Inexpensive,0.24682,1563,8353,0.23537,0.25745
218,218,2011,Tenant,West,Reasonable,0.4778,2866,8353,0.45951,0.49779
219,219,2011,Tenant,West,Slightly Expensive,0.17352,1057,8353,0.16224,0.18481
220,220,2011,Tenant,West,Too Expensive,0.02547,182,8353,0.02091,0.02962
221,221,2011,Tenant,East,Very Inexpensive,0.07699,163,8353,0.0643,0.09086
222,222,2011,Tenant,East,Inexpensive,0.2418,508,8353,0.22046,0.26799
223,223,2011,Tenant,East,Reasonable,0.44374,946,8353,0.41819,0.46834
224,224,2011,Tenant,East,Slightly Expensive,0.20769,472,8353,0.18891,0.22777
225,225,2011,Tenant,East,Too Expensive,0.02978,85,8353,0.024,0.03608
226,226,2012,Tenant,West,Very Inexpensive,0.07691,493,8194,0.06959,0.08404
227,227,2012,Tenant,West,Inexpensive,0.2515,1614,8194,0.23865,0.26482
228,228,2012,Tenant,West,Reasonable,0.48115,2784,8194,0.46435,0.49775
229,229,2012,Tenant,West,Slightly Expensive,0.16684,936,8194,0.15675,0.17978
230,230,2012,Tenant,West,Too Expensive,0.0236,173,8194,0.01968,0.02749
231,231,2012,Tenant,East,Very Inexpensive,0.06913,132,8194,0.05779,0.08276
232,232,2012,Tenant,East,Inexpensive,0.25939,574,8194,0.2394,0.28292
233,233,2012,Tenant,East,Reasonable,0.43366,964,8194,0.40658,0.45842
234,234,2012,Tenant,East,Slightly Expensive,0.20025,435,8194,0.18246,0.22205
235,235,2012,Tenant,East,Too Expensive,0.03756,89,8194,0.02982,0.04489
236,236,2013,Tenant,West,Very Inexpensive,0.07819,574,9664,0.07042,0.08492
237,237,2013,Tenant,West,Inexpensive,0.26631,1949,9664,0.25354,0.28147
238,238,2013,Tenant,West,Reasonable,0.46555,3391,9664,0.44964,0.48442
239,239,2013,Tenant,West,Slightly Expensive,0.16569,1292,9664,0.15382,0.17632
240,240,2013,Tenant,West,Too Expensive,0.02426,257,9664,0.02101,0.02842
241,241,2013,Tenant,East,Very Inexpensive,0.07086,147,9664,0.05857,0.08681
242,242,2013,Tenant,East,Inexpensive,0.26018,529,9664,0.23714,0.286
243,243,2013,Tenant,East,Reasonable,0.47579,1061,9664,0.44495,0.50402
244,244,2013,Tenant,East,Slightly Expensive,0.16236,391,9664,0.14596,0.18212
245,245,2013,Tenant,East,Too Expensive,0.03081,73,9664,0.02269,0.03983
246,246,2014,Tenant,West,Very Inexpensive,0.08551,551,8499,0.0778,0.09319
247,247,2014,Tenant,West,Inexpensive,0.27132,1708,8499,0.25675,0.28484
248,248,2014,Tenant,West,Reasonable,0.45686,2867,8499,0.43962,0.47753
249,249,2014,Tenant,West,Slightly Expensive,0.16335,1106,8499,0.15017,0.1746
250,250,2014,Tenant,West,Too Expensive,0.02297,183,8499,0.01919,0.0276
251,251,2014,Tenant,East,Very Inexpensive,0.09117,193,8499,0.07659,0.10448
252,252,2014,Tenant,East,Inexpensive,0.28336,541,8499,0.25576,0.31077
253,253,2014,Tenant,East,Reasonable,0.41202,898,8499,0.38816,0.44179
254,254,2014,Tenant,East,Slightly Expensive,0.18554,381,8499,0.16083,0.2049
255,255,2014,Tenant,East,Too Expensive,0.02792,71,8499,0.02104,0.03446
