year,quintil_oecd_hh,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,4th Quintile,West,Very Inexpensive,0.10967,64,610,0.08485,0.13449
1986,4th Quintile,West,Inexpensive,0.26309,149,610,0.22812,0.29807
1986,4th Quintile,West,Reasonable,0.46584,283,610,0.42622,0.50546
1986,4th Quintile,West,Slightly Expensive,0.11428,82,610,0.08901,0.13955
1986,4th Quintile,West,Too Expensive,0.04711,32,610,0.03028,0.06394
1986,5th Quintile,West,Very Inexpensive,0.12811,55,419,0.09607,0.16015
1986,5th Quintile,West,Inexpensive,0.25853,107,419,0.21656,0.30051
1986,5th Quintile,West,Reasonable,0.45468,202,419,0.40695,0.50242
1986,5th Quintile,West,Slightly Expensive,0.11980,55,419,0.08867,0.15093
1987,1st Quintile,West,Very Inexpensive,0.10550,59,718,0.08301,0.12798
1987,1st Quintile,West,Inexpensive,0.29625,194,718,0.26283,0.32968
1987,1st Quintile,West,Reasonable,0.37067,274,718,0.33532,0.40602
1987,1st Quintile,West,Slightly Expensive,0.16075,134,718,0.13387,0.18764
1987,1st Quintile,West,Too Expensive,0.06682,57,718,0.04854,0.08510
1987,2nd Quintile,West,Very Inexpensive,0.12506,65,701,0.10055,0.14956
1987,2nd Quintile,West,Inexpensive,0.29368,204,701,0.25994,0.32742
1987,2nd Quintile,West,Reasonable,0.41015,287,701,0.37371,0.44658
1987,2nd Quintile,West,Slightly Expensive,0.13412,108,701,0.10887,0.15936
1987,2nd Quintile,West,Too Expensive,0.03700,37,701,0.02302,0.05098
1987,3rd Quintile,West,Very Inexpensive,0.12262,66,630,0.09699,0.14826
1987,3rd Quintile,West,Inexpensive,0.26616,175,630,0.23163,0.30070
1987,3rd Quintile,West,Reasonable,0.46175,283,630,0.42279,0.50071
1987,3rd Quintile,West,Slightly Expensive,0.11789,106,630,0.09269,0.14309
1987,4th Quintile,West,Very Inexpensive,0.10199,51,569,0.07710,0.12688
1987,4th Quintile,West,Inexpensive,0.29741,171,569,0.25981,0.33500
1987,4th Quintile,West,Reasonable,0.42108,256,569,0.38047,0.46168
1987,4th Quintile,West,Slightly Expensive,0.14575,91,569,0.11673,0.17477
1987,5th Quintile,West,Very Inexpensive,0.13392,60,429,0.10165,0.16618
1987,5th Quintile,West,Inexpensive,0.21506,102,429,0.17613,0.25398
1987,5th Quintile,West,Reasonable,0.49991,209,429,0.45254,0.54728
1987,5th Quintile,West,Slightly Expensive,0.12170,58,429,0.09072,0.15267
1988,1st Quintile,West,Very Inexpensive,0.10689,58,724,0.08437,0.12942
1988,1st Quintile,West,Inexpensive,0.25252,172,724,0.22085,0.28419
1988,1st Quintile,West,Reasonable,0.42890,309,724,0.39282,0.46497
1988,1st Quintile,West,Slightly Expensive,0.17492,142,724,0.14723,0.20262
1988,1st Quintile,West,Too Expensive,0.03677,43,724,0.02305,0.05049
1988,2nd Quintile,West,Very Inexpensive,0.09507,61,661,0.07270,0.11745
1988,2nd Quintile,West,Inexpensive,0.35038,201,661,0.31398,0.38677
1988,2nd Quintile,West,Reasonable,0.39118,270,661,0.35395,0.42842
1988,2nd Quintile,West,Slightly Expensive,0.12205,96,661,0.09708,0.14702
1988,2nd Quintile,West,Too Expensive,0.04132,33,661,0.02613,0.05650
1988,3rd Quintile,West,Very Inexpensive,0.15357,78,603,0.12477,0.18237
1988,3rd Quintile,West,Inexpensive,0.26732,166,603,0.23197,0.30267
1988,3rd Quintile,West,Reasonable,0.39180,252,603,0.35280,0.43079
1988,3rd Quintile,West,Slightly Expensive,0.15175,107,603,0.12309,0.18041
1988,4th Quintile,West,Very Inexpensive,0.11639,56,542,0.08937,0.14341
1988,4th Quintile,West,Inexpensive,0.26930,155,542,0.23192,0.30668
1988,4th Quintile,West,Reasonable,0.45234,256,542,0.41040,0.49428
1988,4th Quintile,West,Slightly Expensive,0.14279,75,542,0.11331,0.17228
1988,5th Quintile,West,Very Inexpensive,0.13959,58,396,0.10541,0.17376
1988,5th Quintile,West,Inexpensive,0.24505,100,396,0.20263,0.28747
1988,5th Quintile,West,Reasonable,0.45608,182,396,0.40696,0.50520
1988,5th Quintile,West,Slightly Expensive,0.13207,56,396,0.09868,0.16545
1989,1st Quintile,West,Very Inexpensive,0.08092,46,697,0.06066,0.10118
1989,1st Quintile,West,Inexpensive,0.26523,176,697,0.23243,0.29802
1989,1st Quintile,West,Reasonable,0.42882,291,697,0.39205,0.46559
1989,1st Quintile,West,Slightly Expensive,0.16566,140,697,0.13804,0.19328
1989,1st Quintile,West,Too Expensive,0.05937,44,697,0.04181,0.07693
1989,2nd Quintile,West,Very Inexpensive,0.13984,76,648,0.11312,0.16657
1989,2nd Quintile,West,Inexpensive,0.32793,204,648,0.29176,0.36411
1989,2nd Quintile,West,Reasonable,0.37167,256,648,0.33444,0.40891
1989,2nd Quintile,West,Slightly Expensive,0.13014,112,648,0.10421,0.15606
1989,3rd Quintile,West,Very Inexpensive,0.13247,71,572,0.10466,0.16028
1989,3rd Quintile,West,Inexpensive,0.28318,178,572,0.24623,0.32014
1989,3rd Quintile,West,Reasonable,0.42488,236,572,0.38433,0.46542
1989,3rd Quintile,West,Slightly Expensive,0.12319,87,572,0.09624,0.15015
1989,4th Quintile,West,Very Inexpensive,0.14924,69,529,0.11885,0.17963
1989,4th Quintile,West,Inexpensive,0.28784,164,529,0.24922,0.32646
1989,4th Quintile,West,Reasonable,0.41792,223,529,0.37585,0.45999
1989,4th Quintile,West,Slightly Expensive,0.12278,73,529,0.09479,0.15077
1989,5th Quintile,West,Very Inexpensive,0.15854,61,381,0.12182,0.19526
1989,5th Quintile,West,Inexpensive,0.29055,116,381,0.24490,0.33620
1989,5th Quintile,West,Reasonable,0.42253,159,381,0.37286,0.47219
1989,5th Quintile,West,Slightly Expensive,0.10655,45,381,0.07553,0.13757
1990,1st Quintile,East,Very Inexpensive,0.22678,350,1487,0.20549,0.24807
1990,1st Quintile,East,Inexpensive,0.33035,493,1487,0.30644,0.35427
1990,1st Quintile,East,Reasonable,0.37795,568,1487,0.35329,0.40260
1990,1st Quintile,East,Slightly Expensive,0.05860,76,1487,0.04665,0.07054
1990,2nd Quintile,West,Very Inexpensive,0.10587,73,851,0.08518,0.12655
1990,2nd Quintile,West,Inexpensive,0.30045,240,851,0.26963,0.33127
1990,2nd Quintile,West,Reasonable,0.41406,348,851,0.38095,0.44718
1990,2nd Quintile,West,Slightly Expensive,0.13228,134,851,0.10950,0.15505
1990,2nd Quintile,West,Too Expensive,0.04735,56,851,0.03307,0.06162
1990,3rd Quintile,West,Very Inexpensive,0.12113,81,756,0.09786,0.14440
1990,3rd Quintile,West,Inexpensive,0.32763,255,756,0.29415,0.36111
1990,3rd Quintile,West,Reasonable,0.40241,311,756,0.36743,0.43739
1990,3rd Quintile,West,Slightly Expensive,0.12205,109,756,0.09870,0.14540
1990,4th Quintile,West,Very Inexpensive,0.16547,99,646,0.13679,0.19414
1990,4th Quintile,West,Inexpensive,0.28717,211,646,0.25225,0.32208
1990,4th Quintile,West,Reasonable,0.40942,256,646,0.37148,0.44737
1990,4th Quintile,West,Slightly Expensive,0.11325,80,646,0.08880,0.13771
1990,5th Quintile,West,Very Inexpensive,0.15512,80,477,0.12259,0.18764
1990,5th Quintile,West,Inexpensive,0.33163,158,477,0.28933,0.37392
1990,5th Quintile,West,Reasonable,0.38024,186,477,0.33663,0.42385
1990,5th Quintile,West,Slightly Expensive,0.11543,53,477,0.08673,0.14414
1991,1st Quintile,East,Very Inexpensive,0.23217,351,1354,0.20967,0.25467
1991,1st Quintile,East,Inexpensive,0.42369,543,1354,0.39736,0.45002
1991,1st Quintile,East,Reasonable,0.29959,409,1354,0.27518,0.32400
