,Unnamed: 0,year,sex,ple0008,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
213,213,2014,male,Poor,0.13744,1555,27055,0.13029,0.14448
214,214,2014,male,Bad,0.03573,411,27055,0.03274,0.03921
215,215,2014,female,Very good,0.08705,1362,27055,0.08178,0.09322
216,216,2014,female,Good,0.35285,5725,27055,0.34201,0.36455
217,217,2014,female,Satisfactory,0.3413,4738,27055,0.33235,0.35244
218,218,2014,female,Poor,0.17504,2276,27055,0.16714,0.18362
219,219,2014,female,Bad,0.04377,528,27055,0.04055,0.04718
220,220,2015,male,Very good,0.10884,1482,26752,0.10116,0.11722
221,221,2015,male,Good,0.39317,5129,26752,0.38089,0.40743
222,222,2015,male,Satisfactory,0.32798,3822,26752,0.31691,0.33919
223,223,2015,male,Poor,0.1303,1478,26752,0.12293,0.13755
224,224,2015,male,Bad,0.0397,383,26752,0.03609,0.04426
225,225,2015,female,Very good,0.09117,1513,26752,0.0858,0.09653
226,226,2015,female,Good,0.35955,5636,26752,0.34729,0.37047
227,227,2015,female,Satisfactory,0.33037,4583,26752,0.31771,0.34108
228,228,2015,female,Poor,0.17517,2226,26752,0.16758,0.18191
229,229,2015,female,Bad,0.04374,500,26752,0.03979,0.04737
230,230,2016,male,Very good,0.10153,1977,27236,0.09433,0.11044
231,231,2016,male,Good,0.40451,5152,27236,0.38879,0.41831
232,232,2016,male,Satisfactory,0.32446,3817,27236,0.31236,0.33705
233,233,2016,male,Poor,0.13418,1507,27236,0.12674,0.14144
234,234,2016,male,Bad,0.03532,404,27236,0.03191,0.03988
235,235,2016,female,Very good,0.08686,1682,27236,0.08044,0.09396
236,236,2016,female,Good,0.36111,5489,27236,0.34939,0.37448
237,237,2016,female,Satisfactory,0.33149,4400,27236,0.32141,0.34307
238,238,2016,female,Poor,0.17493,2241,27236,0.1669,0.18258
239,239,2016,female,Bad,0.04561,567,27236,0.04201,0.05078
240,240,2017,male,Very good,0.10804,2356,30486,0.10245,0.11448
241,241,2017,male,Good,0.39866,5822,30486,0.38628,0.41257
242,242,2017,male,Satisfactory,0.32463,4247,30486,0.31244,0.33763
243,243,2017,male,Poor,0.1325,1662,30486,0.12542,0.14081
244,244,2017,male,Bad,0.03617,424,30486,0.03223,0.04037
245,245,2017,female,Very good,0.09104,1952,30486,0.08494,0.09726
246,246,2017,female,Good,0.35524,6151,30486,0.34473,0.36835
247,247,2017,female,Satisfactory,0.34212,4965,30486,0.33199,0.35249
248,248,2017,female,Poor,0.17341,2363,30486,0.16477,0.18175
249,249,2017,female,Bad,0.03819,544,30486,0.03484,0.04118
250,250,2018,male,Very good,0.11686,2361,29193,0.1103,0.12466
251,251,2018,male,Good,0.3944,5486,29193,0.3802,0.4089
252,252,2018,male,Satisfactory,0.32991,4042,29193,0.31946,0.34135
253,253,2018,male,Poor,0.12521,1554,29193,0.11936,0.13219
254,254,2018,male,Bad,0.03362,427,29193,0.02988,0.03737
255,255,2018,female,Very good,0.09039,1930,29193,0.08421,0.09652
256,256,2018,female,Good,0.36288,5805,29193,0.35045,0.37468
257,257,2018,female,Satisfactory,0.33796,4821,29193,0.32847,0.34897
258,258,2018,female,Poor,0.16767,2229,29193,0.15982,0.17582
259,259,2018,female,Bad,0.0411,538,29193,0.03725,0.04566
260,260,2019,male,Very good,0.11407,2325,29053,0.10542,0.122
261,261,2019,male,Good,0.40393,5900,29053,0.38691,0.41875
262,262,2019,male,Satisfactory,0.32133,4050,29053,0.30838,0.3355
263,263,2019,male,Poor,0.12558,1540,29053,0.11811,0.13419
264,264,2019,male,Bad,0.03509,418,29053,0.03135,0.03986
265,265,2019,female,Very good,0.08987,1852,29053,0.0844,0.09588
266,266,2019,female,Good,0.37513,5843,29053,0.36294,0.39123
267,267,2019,female,Satisfactory,0.32816,4533,29053,0.31669,0.33915
268,268,2019,female,Poor,0.17048,2126,29053,0.16079,0.17847
269,269,2019,female,Bad,0.03636,466,29053,0.03236,0.04098
270,270,2020,male,Very good,0.12766,2923,29364,0.11776,0.13825
271,271,2020,male,Good,0.40066,6078,29364,0.3857,0.4153
272,272,2020,male,Satisfactory,0.31762,3786,29364,0.30312,0.33056
273,273,2020,male,Poor,0.12097,1423,29364,0.11375,0.12948
274,274,2020,male,Bad,0.03309,377,29364,0.02888,0.03737
275,275,2020,female,Very good,0.09482,2049,29364,0.0889,0.10107
276,276,2020,female,Good,0.36743,5960,29364,0.35486,0.37896
277,277,2020,female,Satisfactory,0.33308,4301,29364,0.32256,0.3453
278,278,2020,female,Poor,0.16759,2021,29364,0.15925,0.17635
279,279,2020,female,Bad,0.03709,446,29364,0.0333,0.04119
280,280,2021,male,Very good,0.13053,1665,19556,0.12169,0.14138
281,281,2021,male,Good,0.39424,3893,19556,0.37567,0.41284
282,282,2021,male,Satisfactory,0.30773,2567,19556,0.29007,0.32301
283,283,2021,male,Poor,0.12978,1055,19556,0.11931,0.13864
284,284,2021,male,Bad,0.03773,303,19556,0.03221,0.04516
285,285,2021,female,Very good,0.11582,1414,19556,0.10596,0.12585
286,286,2021,female,Good,0.35342,3908,19556,0.33593,0.36868
287,287,2021,female,Satisfactory,0.31936,2897,19556,0.30455,0.33363
288,288,2021,female,Poor,0.16903,1476,19556,0.15788,0.18054
289,289,2021,female,Bad,0.04238,378,19556,0.03736,0.04852
