"year","alter_gr","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1986","16-34 Jahre alt","(Fach-)Abitur","7.78","8","559","7.61","7.95"
"1986","16-34 Jahre alt","(noch) kein Abschluss","7.64","8","421","7.42","7.86"
"1986","16-34 Jahre alt","AkademikerInnen","","","","",""
"1986","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1986","16-34 Jahre alt","Realschulabschluss","7.86","8","958","7.74","7.98"
"1986","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1986","35-65 Jahre alt","(noch) kein Abschluss","6.03","6","597","5.82","6.24"
"1986","35-65 Jahre alt","AkademikerInnen","7.07","8","469","6.88","7.26"
"1986","35-65 Jahre alt","Hauptschulabschluss","6.31","7","3496","6.23","6.39"
"1986","35-65 Jahre alt","Realschulabschluss","6.74","7","653","6.56","6.92"
"1986","66 und Ã¤lter","(Fach-)Abitur","4.85","5","46","4.01","5.69"
"1986","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1986","66 und Ã¤lter","AkademikerInnen","6.45","7","53","5.81","7.09"
"1986","66 und Ã¤lter","Hauptschulabschluss","5.48","5","758","5.29","5.67"
"1986","66 und Ã¤lter","Realschulabschluss","","","","",""
"1987","16-34 Jahre alt","(Fach-)Abitur","7.61","8","536","7.44","7.78"
"1987","16-34 Jahre alt","(noch) kein Abschluss","7.42","8","396","7.21","7.63"
"1987","16-34 Jahre alt","AkademikerInnen","","","","",""
"1987","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1987","16-34 Jahre alt","Realschulabschluss","7.72","8","965","7.6","7.84"
"1987","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1987","35-65 Jahre alt","(noch) kein Abschluss","5.95","6","596","5.74","6.16"
"1987","35-65 Jahre alt","AkademikerInnen","7.06","8","466","6.87","7.25"
"1987","35-65 Jahre alt","Hauptschulabschluss","6.32","7","3420","6.24","6.4"
"1987","35-65 Jahre alt","Realschulabschluss","6.72","7","633","6.55","6.89"
"1987","66 und Ã¤lter","(Fach-)Abitur","5.41","5","44","4.66","6.16"
"1987","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1987","66 und Ã¤lter","AkademikerInnen","6.52","7","58","5.81","7.23"
"1987","66 und Ã¤lter","Hauptschulabschluss","5.41","5","795","5.22","5.6"
"1987","66 und Ã¤lter","Realschulabschluss","","","","",""
"1988","16-34 Jahre alt","(Fach-)Abitur","7.52","8","498","7.36","7.68"
"1988","16-34 Jahre alt","(noch) kein Abschluss","7.6","8","346","7.37","7.83"
"1988","16-34 Jahre alt","AkademikerInnen","","","","",""
"1988","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1988","16-34 Jahre alt","Realschulabschluss","7.68","8","919","7.57","7.79"
"1988","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1988","35-65 Jahre alt","(noch) kein Abschluss","5.94","6","547","5.72","6.16"
"1988","35-65 Jahre alt","AkademikerInnen","6.96","7","442","6.76","7.16"
"1988","35-65 Jahre alt","Hauptschulabschluss","6.16","6","3241","6.08","6.24"
"1988","35-65 Jahre alt","Realschulabschluss","6.65","7","620","6.48","6.82"
"1988","66 und Ã¤lter","(Fach-)Abitur","5.13","5","44","4.29","5.97"
"1988","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1988","66 und Ã¤lter","AkademikerInnen","6.34","7","56","5.64","7.04"
"1988","66 und Ã¤lter","Hauptschulabschluss","5.33","5","771","5.14","5.52"
"1988","66 und Ã¤lter","Realschulabschluss","","","","",""
"1989","16-34 Jahre alt","(Fach-)Abitur","7.47","8","510","7.31","7.63"
"1989","16-34 Jahre alt","(noch) kein Abschluss","7.52","8","349","7.26","7.78"
"1989","16-34 Jahre alt","AkademikerInnen","","","","",""
"1989","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1989","16-34 Jahre alt","Realschulabschluss","7.73","8","896","7.6","7.86"
"1989","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1989","35-65 Jahre alt","(noch) kein Abschluss","5.8","6","526","5.57","6.03"
"1989","35-65 Jahre alt","AkademikerInnen","6.8","7","437","6.6","7"
"1989","35-65 Jahre alt","Hauptschulabschluss","6.1","6","3082","6.02","6.18"
"1989","35-65 Jahre alt","Realschulabschluss","6.68","7","597","6.5","6.86"
"1989","66 und Ã¤lter","(Fach-)Abitur","5.21","5","47","4.58","5.84"
"1989","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1989","66 und Ã¤lter","AkademikerInnen","6.27","7","56","5.61","6.93"
"1989","66 und Ã¤lter","Hauptschulabschluss","5.31","5","750","5.12","5.5"
"1989","66 und Ã¤lter","Realschulabschluss","","","","",""
"1990","16-34 Jahre alt","(Fach-)Abitur","7.45","8","604","7.3","7.6"
"1990","16-34 Jahre alt","(noch) kein Abschluss","7.57","8","354","7.34","7.8"
"1990","16-34 Jahre alt","AkademikerInnen","7.83","8","521","7.67","7.99"
"1990","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1990","16-34 Jahre alt","Realschulabschluss","","","","",""
"1990","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1990","35-65 Jahre alt","(noch) kein Abschluss","5.95","6","519","5.73","6.17"
"1990","35-65 Jahre alt","AkademikerInnen","","","","",""
"1990","35-65 Jahre alt","Hauptschulabschluss","6.17","6","4148","6.1","6.24"
"1990","35-65 Jahre alt","Realschulabschluss","","","","",""
"1990","66 und Ã¤lter","(Fach-)Abitur","5.22","5.59","47","4.51","5.93"
"1990","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1990","66 und Ã¤lter","AkademikerInnen","","","","",""
"1990","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1990","66 und Ã¤lter","Realschulabschluss","","","","",""
"1991","16-34 Jahre alt","(Fach-)Abitur","7.46","8","608","7.31","7.61"
"1991","16-34 Jahre alt","(noch) kein Abschluss","7.66","8","358","7.43","7.89"
"1991","16-34 Jahre alt","AkademikerInnen","7.62","8","477","7.45","7.79"
"1991","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1991","16-34 Jahre alt","Realschulabschluss","","","","",""
"1991","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1991","35-65 Jahre alt","(noch) kein Abschluss","6.03","6","500","5.82","6.24"
"1991","35-65 Jahre alt","AkademikerInnen","","","","",""
"1991","35-65 Jahre alt","Hauptschulabschluss","6.16","6","3996","6.09","6.23"
"1991","35-65 Jahre alt","Realschulabschluss","","","","",""
"1991","66 und Ã¤lter","(Fach-)Abitur","5.01","5","46","4.24","5.78"
"1991","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1991","66 und Ã¤lter","AkademikerInnen","","","","",""
"1991","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1991","66 und Ã¤lter","Realschulabschluss","","","","",""
"1992","16-34 Jahre alt","(Fach-)Abitur","7.69","8","608","7.54","7.84"
"1992","16-34 Jahre alt","(noch) kein Abschluss","7.93","8","357","7.72","8.14"
"1992","16-34 Jahre alt","AkademikerInnen","7.79","8","444","7.63","7.95"
"1992","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1992","16-34 Jahre alt","Realschulabschluss","","","","",""
"1992","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1992","35-65 Jahre alt","(noch) kein Abschluss","5.85","6","487","5.63","6.07"
"1992","35-65 Jahre alt","AkademikerInnen","","","","",""
"1992","35-65 Jahre alt","Hauptschulabschluss","6.26","7","3845","6.19","6.33"
"1992","35-65 Jahre alt","Realschulabschluss","","","","",""
"1992","66 und Ã¤lter","(Fach-)Abitur","5.19","5","47","4.41","5.97"
"1992","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1992","66 und Ã¤lter","AkademikerInnen","","","","",""
"1992","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1992","66 und Ã¤lter","Realschulabschluss","","","","",""
"1993","16-34 Jahre alt","(Fach-)Abitur","7.41","8","629","7.26","7.56"
"1993","16-34 Jahre alt","(noch) kein Abschluss","7.89","8","354","7.67","8.11"
"1993","16-34 Jahre alt","AkademikerInnen","7.45","8","412","7.27","7.63"
"1993","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1993","16-34 Jahre alt","Realschulabschluss","","","","",""
"1993","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1993","35-65 Jahre alt","(noch) kein Abschluss","5.77","6","467","5.54","6"
"1993","35-65 Jahre alt","AkademikerInnen","","","","",""
"1993","35-65 Jahre alt","Hauptschulabschluss","6.11","6","3696","6.04","6.18"
"1993","35-65 Jahre alt","Realschulabschluss","","","","",""
"1993","66 und Ã¤lter","(Fach-)Abitur","5.9","6","44","5.16","6.64"
"1993","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1993","66 und Ã¤lter","AkademikerInnen","","","","",""
"1993","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1993","66 und Ã¤lter","Realschulabschluss","","","","",""
"1994","16-34 Jahre alt","(Fach-)Abitur","7.36","8","650","7.21","7.51"
"1994","16-34 Jahre alt","(noch) kein Abschluss","8.06","8","383","7.87","8.25"
"1994","16-34 Jahre alt","AkademikerInnen","7.44","8","419","7.26","7.62"
"1994","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1994","16-34 Jahre alt","Realschulabschluss","","","","",""
"1994","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1994","35-65 Jahre alt","(noch) kein Abschluss","5.76","6","429","5.53","5.99"
"1994","35-65 Jahre alt","AkademikerInnen","","","","",""
"1994","35-65 Jahre alt","Hauptschulabschluss","6.01","6","3551","5.94","6.08"
"1994","35-65 Jahre alt","Realschulabschluss","","","","",""
"1994","66 und Ã¤lter","(Fach-)Abitur","5.15","5.47","44","4.34","5.96"
"1994","66 und Ã¤lter","(noch) kein Abschluss","4.46","4","32","3.58","5.34"
"1994","66 und Ã¤lter","AkademikerInnen","","","","",""
"1994","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1994","66 und Ã¤lter","Realschulabschluss","","","","",""
"1995","16-34 Jahre alt","(Fach-)Abitur","7.56","8","707","7.43","7.69"
"1995","16-34 Jahre alt","(noch) kein Abschluss","7.93","8","420","7.75","8.11"
"1995","16-34 Jahre alt","AkademikerInnen","7.59","8","430","7.42","7.76"
"1995","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1995","16-34 Jahre alt","Realschulabschluss","","","","",""
"1995","35-65 Jahre alt","(Fach-)Abitur","6.57","7","327","6.32","6.82"
"1995","35-65 Jahre alt","(noch) kein Abschluss","5.8","6","420","5.57","6.03"
"1995","35-65 Jahre alt","AkademikerInnen","","","","",""
"1995","35-65 Jahre alt","Hauptschulabschluss","6.03","6","3538","5.96","6.1"
"1995","35-65 Jahre alt","Realschulabschluss","","","","",""
"1995","66 und Ã¤lter","(Fach-)Abitur","5.65","5.53","41","4.91","6.39"
"1995","66 und Ã¤lter","(noch) kein Abschluss","4.18","5","38","3.32","5.04"
"1995","66 und Ã¤lter","AkademikerInnen","","","","",""
"1995","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1995","66 und Ã¤lter","Realschulabschluss","","","","",""
"1996","16-34 Jahre alt","(Fach-)Abitur","7.58","8","678","7.44","7.72"
"1996","16-34 Jahre alt","(noch) kein Abschluss","7.91","8","415","7.73","8.09"
"1996","16-34 Jahre alt","AkademikerInnen","7.4","8","426","7.23","7.57"
"1996","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1996","16-34 Jahre alt","Realschulabschluss","","","","",""
"1996","35-65 Jahre alt","(Fach-)Abitur","6.64","7","323","6.4","6.88"
"1996","35-65 Jahre alt","(noch) kein Abschluss","5.64","6","382","5.41","5.87"
"1996","35-65 Jahre alt","AkademikerInnen","","","","",""
"1996","35-65 Jahre alt","Hauptschulabschluss","6.03","6","3422","5.96","6.1"
"1996","35-65 Jahre alt","Realschulabschluss","","","","",""
"1996","66 und Ã¤lter","(Fach-)Abitur","5.34","6","43","4.58","6.1"
"1996","66 und Ã¤lter","(noch) kein Abschluss","3.64","3","47","2.91","4.37"
"1996","66 und Ã¤lter","AkademikerInnen","","","","",""
"1996","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1996","66 und Ã¤lter","Realschulabschluss","","","","",""
"1997","16-34 Jahre alt","(Fach-)Abitur","7.55","8","668","7.4","7.7"
"1997","16-34 Jahre alt","(noch) kein Abschluss","7.84","8","421","7.66","8.02"
"1997","16-34 Jahre alt","AkademikerInnen","7.34","8","407","7.17","7.51"
"1997","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1997","16-34 Jahre alt","Realschulabschluss","","","","",""
"1997","35-65 Jahre alt","(Fach-)Abitur","6.41","7","315","6.17","6.65"
"1997","35-65 Jahre alt","(noch) kein Abschluss","5.77","6","367","5.53","6.01"
"1997","35-65 Jahre alt","AkademikerInnen","","","","",""
"1997","35-65 Jahre alt","Hauptschulabschluss","6.02","6","3299","5.94","6.1"
"1997","35-65 Jahre alt","Realschulabschluss","","","","",""
"1997","66 und Ã¤lter","(Fach-)Abitur","5.83","6","45","5.19","6.47"
"1997","66 und Ã¤lter","(noch) kein Abschluss","4.29","3","50","3.57","5.01"
"1997","66 und Ã¤lter","AkademikerInnen","","","","",""
"1997","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1997","66 und Ã¤lter","Realschulabschluss","","","","",""
"1998","16-34 Jahre alt","(Fach-)Abitur","7.6","8","738","7.46","7.74"
"1998","16-34 Jahre alt","(noch) kein Abschluss","7.85","8","424","7.67","8.03"
"1998","16-34 Jahre alt","AkademikerInnen","7.64","8","443","7.48","7.8"
"1998","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1998","16-34 Jahre alt","Realschulabschluss","","","","",""
"1998","35-65 Jahre alt","(Fach-)Abitur","6.63","7","366","6.4","6.86"
"1998","35-65 Jahre alt","(noch) kein Abschluss","5.99","7","346","5.74","6.24"
"1998","35-65 Jahre alt","AkademikerInnen","","","","",""
"1998","35-65 Jahre alt","Hauptschulabschluss","6.2","6","3596","6.13","6.27"
"1998","35-65 Jahre alt","Realschulabschluss","","","","",""
"1998","66 und Ã¤lter","(Fach-)Abitur","5.59","5.56","50","4.86","6.32"
"1998","66 und Ã¤lter","(noch) kein Abschluss","4.17","4","54","3.44","4.9"
"1998","66 und Ã¤lter","AkademikerInnen","","","","",""
"1998","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1998","66 und Ã¤lter","Realschulabschluss","","","","",""
"1999","16-34 Jahre alt","(Fach-)Abitur","7.71","8","720","7.57","7.85"
"1999","16-34 Jahre alt","(noch) kein Abschluss","7.92","8","407","7.73","8.11"
"1999","16-34 Jahre alt","AkademikerInnen","7.7","8","415","7.54","7.86"
"1999","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1999","16-34 Jahre alt","Realschulabschluss","","","","",""
"1999","35-65 Jahre alt","(Fach-)Abitur","6.57","7","375","6.36","6.78"
"1999","35-65 Jahre alt","(noch) kein Abschluss","5.95","6","323","5.7","6.2"
"1999","35-65 Jahre alt","AkademikerInnen","","","","",""
"1999","35-65 Jahre alt","Hauptschulabschluss","6.1","6","3483","6.03","6.17"
"1999","35-65 Jahre alt","Realschulabschluss","","","","",""
"1999","66 und Ã¤lter","(Fach-)Abitur","5.77","6.4","53","5.04","6.5"
"1999","66 und Ã¤lter","(noch) kein Abschluss","4.66","4","64","4.03","5.29"
"1999","66 und Ã¤lter","AkademikerInnen","","","","",""
"1999","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1999","66 und Ã¤lter","Realschulabschluss","","","","",""
"2000","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2000","16-34 Jahre alt","(noch) kein Abschluss","8.19","9","566","8.03","8.35"
"2000","16-34 Jahre alt","AkademikerInnen","7.74","8","761","7.61","7.87"
"2000","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"2000","16-34 Jahre alt","Realschulabschluss","","","","",""
"2000","35-65 Jahre alt","(Fach-)Abitur","6.76","7","888","6.62","6.9"
"2000","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2000","35-65 Jahre alt","AkademikerInnen","","","","",""
"2000","35-65 Jahre alt","Hauptschulabschluss","6.34","7","6263","6.28","6.4"
"2000","35-65 Jahre alt","Realschulabschluss","6.86","7","3343","6.79","6.93"
"2000","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"2000","66 und Ã¤lter","(noch) kein Abschluss","4.81","5","78","4.24","5.38"
"2000","66 und Ã¤lter","AkademikerInnen","6.08","6","418","5.87","6.29"
"2000","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"2000","66 und Ã¤lter","Realschulabschluss","5.73","6","409","5.5","5.96"
"2001","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2001","16-34 Jahre alt","(noch) kein Abschluss","8.17","9","606","8.02","8.32"
"2001","16-34 Jahre alt","AkademikerInnen","7.73","8","633","7.59","7.87"
"2001","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"2001","16-34 Jahre alt","Realschulabschluss","","","","",""
"2001","35-65 Jahre alt","(Fach-)Abitur","6.61","7","881","6.47","6.75"
"2001","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2001","35-65 Jahre alt","AkademikerInnen","","","","",""
"2001","35-65 Jahre alt","Hauptschulabschluss","6.37","7","5485","6.31","6.43"
"2001","35-65 Jahre alt","Realschulabschluss","6.84","7","3183","6.77","6.91"
"2001","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"2001","66 und Ã¤lter","(noch) kein Abschluss","4.8","5","66","4.2","5.4"
"2001","66 und Ã¤lter","AkademikerInnen","6.14","6.77","422","5.92","6.36"
"2001","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"2001","66 und Ã¤lter","Realschulabschluss","5.88","6","404","5.66","6.1"
"2002","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2002","16-34 Jahre alt","(noch) kein Abschluss","7.95","8","669","7.81","8.09"
"2002","16-34 Jahre alt","AkademikerInnen","7.57","8","628","7.43","7.71"
"2002","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"2002","16-34 Jahre alt","Realschulabschluss","","","","",""
"2002","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"2002","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2002","35-65 Jahre alt","AkademikerInnen","6.87","7","3390","6.8","6.94"
"2002","35-65 Jahre alt","Hauptschulabschluss","6.25","7","5183","6.19","6.31"
"2002","35-65 Jahre alt","Realschulabschluss","6.7","7","3490","6.63","6.77"
"2002","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"2002","66 und Ã¤lter","(noch) kein Abschluss","4.78","5","65","4.16","5.4"
"2002","66 und Ã¤lter","AkademikerInnen","6.1","6","544","5.91","6.29"
"2002","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"2002","66 und Ã¤lter","Realschulabschluss","5.76","6","436","5.55","5.97"
"2003","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2003","16-34 Jahre alt","(noch) kein Abschluss","7.97","8","667","7.83","8.11"
"2003","16-34 Jahre alt","AkademikerInnen","7.59","8","566","7.45","7.73"
"2003","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"2003","16-34 Jahre alt","Realschulabschluss","","","","",""
"2003","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"2003","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2003","35-65 Jahre alt","AkademikerInnen","6.89","7","3222","6.82","6.96"
"2003","35-65 Jahre alt","Hauptschulabschluss","6.32","7","4780","6.26","6.38"
"2003","35-65 Jahre alt","Realschulabschluss","6.65","7","3472","6.58","6.72"
"2003","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"2003","66 und Ã¤lter","(noch) kein Abschluss","4.83","5","65","4.22","5.44"
"2003","66 und Ã¤lter","AkademikerInnen","6.03","6","576","5.85","6.21"
"2003","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"2003","66 und Ã¤lter","Realschulabschluss","5.72","6","428","5.5","5.94"
"2004","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2004","16-34 Jahre alt","(noch) kein Abschluss","8.01","8","683","7.88","8.14"
"2004","16-34 Jahre alt","AkademikerInnen","7.45","8","542","7.3","7.6"
"2004","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"2004","16-34 Jahre alt","Realschulabschluss","","","","",""
"2004","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"2004","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2004","35-65 Jahre alt","AkademikerInnen","6.76","7","3129","6.69","6.83"
"2004","35-65 Jahre alt","Hauptschulabschluss","6.2","7","4475","6.13","6.27"
"2004","35-65 Jahre alt","Realschulabschluss","6.49","7","3427","6.42","6.56"
"2004","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"2004","66 und Ã¤lter","(noch) kein Abschluss","4.99","5","67","4.35","5.63"
"2004","66 und Ã¤lter","AkademikerInnen","5.65","6","625","5.47","5.83"
"2004","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"2004","66 und Ã¤lter","Realschulabschluss","5.62","5.66","446","5.4","5.84"
"2005","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2005","16-34 Jahre alt","(noch) kein Abschluss","8.02","8","694","7.88","8.16"
"2005","16-34 Jahre alt","AkademikerInnen","7.49","8","523","7.34","7.64"
"2005","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"2005","16-34 Jahre alt","Realschulabschluss","","","","",""
"2005","35-65 Jahre alt","(Fach-)Abitur","6.46","7","988","6.33","6.59"
"2005","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2005","35-65 Jahre alt","AkademikerInnen","","","","",""
"2005","35-65 Jahre alt","Hauptschulabschluss","6.23","7","4119","6.16","6.3"
"2005","35-65 Jahre alt","Realschulabschluss","6.45","7","3347","6.38","6.52"
"2005","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"2005","66 und Ã¤lter","(noch) kein Abschluss","4.68","4.6","65","4.07","5.29"
"2005","66 und Ã¤lter","AkademikerInnen","5.75","6","664","5.58","5.92"
"2005","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"2005","66 und Ã¤lter","Realschulabschluss","5.63","6","443","5.42","5.84"
"2006","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2006","16-34 Jahre alt","(noch) kein Abschluss","7.98","8","431","7.82","8.14"
"2006","16-34 Jahre alt","AkademikerInnen","7.66","8","574","7.52","7.8"
"2006","16-34 Jahre alt","Hauptschulabschluss","7.49","8","999","7.37","7.61"
"2006","16-34 Jahre alt","Realschulabschluss","","","","",""
"2006","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"2006","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2006","35-65 Jahre alt","AkademikerInnen","6.76","7","3205","6.69","6.83"
"2006","35-65 Jahre alt","Hauptschulabschluss","6.24","7","4293","6.17","6.31"
"2006","35-65 Jahre alt","Realschulabschluss","6.58","7","3654","6.51","6.65"
"2006","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"2006","66 und Ã¤lter","(noch) kein Abschluss","5.4","5","83","4.85","5.95"
"2006","66 und Ã¤lter","AkademikerInnen","5.93","6","801","5.77","6.09"
"2006","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"2006","66 und Ã¤lter","Realschulabschluss","5.69","6","537","5.49","5.89"
"2007","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2007","16-34 Jahre alt","(noch) kein Abschluss","7.85","8","377","7.68","8.02"
"2007","16-34 Jahre alt","AkademikerInnen","7.62","8","557","7.48","7.76"
"2007","16-34 Jahre alt","Hauptschulabschluss","7.48","8","849","7.34","7.62"
"2007","16-34 Jahre alt","Realschulabschluss","","","","",""
"2007","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"2007","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2007","35-65 Jahre alt","AkademikerInnen","6.73","7","3016","6.66","6.8"
"2007","35-65 Jahre alt","Hauptschulabschluss","6.15","6","3797","6.08","6.22"
"2007","35-65 Jahre alt","Realschulabschluss","6.52","7","3467","6.45","6.59"
"2007","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"2007","66 und Ã¤lter","(noch) kein Abschluss","5.04","5","67","4.54","5.54"
"2007","66 und Ã¤lter","AkademikerInnen","5.97","6","821","5.82","6.12"
"2007","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"2007","66 und Ã¤lter","Realschulabschluss","5.71","6","554","5.52","5.9"
"2008","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"2008","16-34 Jahre alt","(noch) kein Abschluss","7.87","8","388","7.69","8.05"
"2008","16-34 Jahre alt","AkademikerInnen","7.66","8","531","7.52","7.8"
"2008","16-34 Jahre alt","Hauptschulabschluss","7.41","8","729","7.26","7.56"
"2008","16-34 Jahre alt","Realschulabschluss","","","","",""
"2008","35-65 Jahre alt","(Fach-)Abitur","6.55","7","989","6.42","6.68"
"2008","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"2008","35-65 Jahre alt","AkademikerInnen","","","","",""
"2008","35-65 Jahre alt","Hauptschulabschluss","6.12","6","3465","6.05","6.19"
"2008","35-65 Jahre alt","Realschulabschluss","6.46","7","3301","6.39","6.53"
"2008","66 und Ã¤lter","(Fach-)Abitur","","","","",""
