"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"2008","66 und Ã¤lter","5.6","6","4350","5.53","5.67"
"2009","16-34 Jahre alt","7.45","8","3999","7.39","7.51"
"2009","35-65 Jahre alt","6.33","7","9888","6.29","6.37"
"2009","66 und Ã¤lter","5.54","6","4208","5.47","5.61"
"2010","16-34 Jahre alt","7.58","8","6583","7.53","7.63"
"2010","35-65 Jahre alt","","","","",""
"2010","66 und Ã¤lter","5.62","6","4068","5.55","5.69"
"2011","16-34 Jahre alt","7.54","8","6328","7.49","7.59"
"2011","35-65 Jahre alt","","","","",""
"2011","66 und Ã¤lter","5.63","6","4520","5.56","5.7"
"2012","16-34 Jahre alt","7.58","8","6098","7.53","7.63"
"2012","35-65 Jahre alt","","","","",""
"2012","66 und Ã¤lter","5.81","6","4959","5.75","5.87"
"2013","16-34 Jahre alt","7.67","8","7878","7.63","7.71"
"2013","35-65 Jahre alt","","","","",""
"2013","66 und Ã¤lter","5.81","6","5098","5.75","5.87"
"2014","16-34 Jahre alt","7.62","8","6585","7.57","7.67"
"2014","35-65 Jahre alt","","","","",""
"2014","66 und Ã¤lter","5.85","6","5004","5.79","5.91"
"2015","16-34 Jahre alt","7.61","8","5754","7.56","7.66"
"2015","35-65 Jahre alt","","","","",""
"2015","66 und Ã¤lter","5.84","6","4945","5.78","5.9"
"2016","16-34 Jahre alt","7.63","8","8153","7.59","7.67"
"2016","35-65 Jahre alt","","","","",""
"2016","66 und Ã¤lter","5.84","6","4795","5.78","5.9"
"2017","16-34 Jahre alt","7.6","8","9406","7.56","7.64"
"2017","35-65 Jahre alt","","","","",""
"2017","66 und Ã¤lter","5.87","6","5079","5.81","5.93"
"2018","16-34 Jahre alt","7.53","8","8315","7.49","7.57"
"2018","35-65 Jahre alt","","","","",""
"2018","66 und Ã¤lter","5.91","6","5090","5.85","5.97"
"2019","16-34 Jahre alt","7.58","8","7356","7.53","7.63"
"2019","35-65 Jahre alt","","","","",""
"2019","66 und Ã¤lter","5.95","6","5276","5.89","6.01"
