year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2002,Urban regions,female,7895,3.19509,3.08320,3.30697,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
2002,Rural regions,male,3767,2.16507,2.04105,2.28908,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2002,Rural regions,female,3970,2.80293,2.68049,2.92537,0.00000,2.00000,3.00000,0.00000,7.50000,2.00000,2.00000,2.00000
2003,Urban regions,male,7031,2.37906,2.28257,2.47555,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2003,Urban regions,female,7609,3.10819,3.01444,3.20193,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
2003,Rural regions,male,3592,2.35992,2.23108,2.48876,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2003,Rural regions,female,3816,2.97229,2.83282,3.11176,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2004,Urban regions,male,6847,2.16478,2.06875,2.26080,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2004,Urban regions,female,7453,2.88739,2.79096,2.98383,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2004,Rural regions,male,3503,2.10736,1.98378,2.23094,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2004,Rural regions,female,3729,2.67528,2.55218,2.79837,0.00000,2.00000,3.00000,0.00000,7.50000,2.00000,2.00000,2.00000
2005,Urban regions,male,6533,2.36964,2.27033,2.46894,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2005,Urban regions,female,7162,3.03544,2.93721,3.13366,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
2005,Rural regions,male,3315,2.19182,2.06962,2.31401,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2005,Rural regions,female,3586,2.79037,2.65738,2.92336,0.00000,2.00000,3.00000,0.00000,7.50000,2.00000,2.00000,2.00000
2006,Urban regions,male,6863,2.17169,2.08012,2.26325,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2006,Urban regions,female,7547,2.89657,2.80722,2.98593,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
2006,Rural regions,male,3590,2.27316,2.13945,2.40688,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2006,Rural regions,female,3923,2.75905,2.62904,2.88906,0.00000,2.00000,3.00000,0.00000,7.50000,2.00000,2.00000,2.00000
2007,Urban regions,male,6335,2.43674,2.32760,2.54588,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2007,Urban regions,female,7041,2.99821,2.89985,3.09656,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
2007,Rural regions,male,3390,2.27448,2.14717,2.40178,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2007,Rural regions,female,3649,2.73264,2.62571,2.83956,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2008,Urban regions,male,5970,2.21572,2.11076,2.32067,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2008,Urban regions,female,6636,2.90818,2.81412,3.00224,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
2008,Rural regions,male,3193,2.26331,2.11816,2.40846,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2008,Rural regions,female,3428,2.59036,2.47236,2.70835,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2009,Urban regions,male,5511,2.36506,2.25938,2.47075,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2009,Urban regions,female,6124,3.00991,2.91451,3.10530,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
2009,Rural regions,male,3043,2.18384,2.06744,2.30025,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2009,Rural regions,female,3256,2.78446,2.65588,2.91304,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2010,Urban regions,male,7028,2.25357,2.16245,2.34470,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2010,Urban regions,female,8499,2.74877,2.66691,2.83064,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2010,Rural regions,male,3815,2.10830,2.00699,2.20961,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2010,Rural regions,female,4473,2.60786,2.50513,2.71059,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2011,Urban regions,male,8141,2.33401,2.24129,2.42673,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2011,Urban regions,female,9976,2.81091,2.73520,2.88661,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2011,Rural regions,male,4680,2.12284,2.02773,2.21795,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2011,Rural regions,female,5513,2.52100,2.43180,2.61021,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2012,Urban regions,male,7862,2.28052,2.17865,2.38240,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2012,Urban regions,female,9572,2.79553,2.71933,2.87172,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2012,Rural regions,male,4640,2.06475,1.97314,2.15636,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2012,Rural regions,female,5456,2.49068,2.39961,2.58175,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2013,Urban regions,male,7316,2.41912,2.31928,2.51896,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2013,Urban regions,female,8959,2.91066,2.82960,2.99173,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
2013,Rural regions,male,4293,2.15226,2.04932,2.25520,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2013,Rural regions,female,5077,2.50093,2.41388,2.58799,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2014,Urban regions,male,8025,2.13482,2.05738,2.21226,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2014,Urban regions,female,9537,2.83717,2.75044,2.92390,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2014,Rural regions,male,4367,2.07993,1.98780,2.17206,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2014,Rural regions,female,5051,2.56437,2.46704,2.66171,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2015,Urban regions,male,7348,2.30984,2.20541,2.41428,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2015,Urban regions,female,8772,2.87195,2.78626,2.95763,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2015,Rural regions,male,4077,2.12115,2.02382,2.21849,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2015,Rural regions,female,4762,2.49508,2.39717,2.59298,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2016,Urban regions,male,7100,2.13476,2.03921,2.23032,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2016,Urban regions,female,8501,2.72656,2.64228,2.81085,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2016,Rural regions,male,3910,2.08975,1.95633,2.22316,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2016,Rural regions,female,4544,2.45700,2.35712,2.55687,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2017,Urban regions,male,7801,2.33885,2.24390,2.43380,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2017,Urban regions,female,9205,2.74075,2.65838,2.82312,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2017,Rural regions,male,4371,2.15342,2.04655,2.26029,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2017,Rural regions,female,4967,2.53031,2.42852,2.63211,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2018,Urban regions,male,7585,2.20614,2.11597,2.29632,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2018,Urban regions,female,8974,2.71209,2.64050,2.78368,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2018,Rural regions,male,4156,2.17027,2.05719,2.28335,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2018,Rural regions,female,4789,2.55668,2.43634,2.67701,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2019,Urban regions,male,7738,2.12500,2.04986,2.20014,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2019,Urban regions,female,8580,2.67600,2.60017,2.75183,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2019,Rural regions,male,4207,2.16250,2.04742,2.27757,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2019,Rural regions,female,4575,2.58954,2.48727,2.69181,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2020,Urban regions,male,9327,1.95809,1.87762,2.03857,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2020,Urban regions,female,9621,2.33535,2.27064,2.40007,0.00000,2.00000,3.00000,0.00000,7.50000,2.00000,1.00000,2.00000
2020,Rural regions,male,4578,1.85177,1.76807,1.93548,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2020,Rural regions,female,4760,2.30594,2.22095,2.39094,0.00000,2.00000,3.00000,0.00000,7.50000,2.00000,1.00000,2.00000
2021,Urban regions,male,5114,2.44154,2.31625,2.56683,0.00000,2.00000,3.00000,0.00000,7.50000,2.00000,1.00000,2.00000
2021,Urban regions,female,5827,2.71317,2.62337,2.80298,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
2021,Rural regions,male,2604,2.45228,2.28133,2.62322,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2021,Rural regions,female,2916,2.60087,2.47304,2.72871,1.00000,2.00000,3.00000,0.00000,6.00000,2.00000,2.00000,2.00000
