year,migback,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2009,Direct migration background,West,1576,2.4585376896102353,2.37901703329166,2.538058345928811,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
2009,Direct migration background,East,75,2.3091809246809736,2.0286693744365767,2.5896924749253705,1.0,2.0,3.0,0.0,6.0,2.0,1.0,3.0
2009,Indirect migration background,West,666,1.781531646442845,1.673037227019317,1.890026065866373,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2009,Indirect migration background,East,39,1.597925581000003,1.2336085220754975,1.9622426399245085,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
2010,No migration background,West,14554,2.6144326450901754,2.5825565971265454,2.6463086930538053,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2010,No migration background,East,5228,2.325120627667606,2.287176205815732,2.36306504951948,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2010,Direct migration background,West,2807,2.1968536306513236,2.135944525114379,2.257762736188268,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2010,Direct migration background,East,130,1.815068496160689,1.6513500569397817,1.9787869353815966,1.0,1.0,3.0,0.0,6.0,1.0,0.0,1.0
2010,Indirect migration background,West,1024,1.5666484825117835,1.4981452723555426,1.6351516926680243,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
2010,Indirect migration background,East,72,1.467636139996902,1.2638910184148533,1.6713812615789507,0.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0
2011,No migration background,West,17704,2.631638766375722,2.602377937370744,2.6608995953807004,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2011,No migration background,East,6058,2.3134225198084994,2.2760385615537966,2.3508064780632023,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2011,Direct migration background,West,3131,2.262521725490923,2.1996349963450577,2.325408454636788,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2011,Direct migration background,East,161,2.6609210632700964,2.4423175460961692,2.8795245804440235,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
2011,Indirect migration background,West,1175,1.8822265936263172,1.7928273104013681,1.9716258768512662,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
2011,Indirect migration background,East,79,1.4824240822731696,1.257837352763715,1.7070108117826241,0.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0
2012,No migration background,West,17285,2.5635729836122954,2.533669702828602,2.5934762643959886,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
2012,No migration background,East,5906,2.3473250523974785,2.305889503943771,2.388760600851186,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
2012,Direct migration background,West,2961,2.278912035903849,2.209631493480204,2.3481925783274935,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2012,Direct migration background,East,164,2.423257239328244,2.145888141061264,2.700626337595224,0.0,1.0,3.0,0.0,7.5,1.0,-1.0,1.0
2012,Indirect migration background,West,1144,1.8613316975664815,1.778530507148287,1.944132887984676,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2012,Indirect migration background,East,69,2.4062824247728525,2.0043092449114392,2.8082556046342657,0.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0
2013,No migration background,West,16198,2.671177319164858,2.6408836625607783,2.7014709757689372,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2013,No migration background,East,5509,2.299990733675915,2.254449744689233,2.3455317226625967,0.0,1.5188106593174964,3.0,0.0,7.5,1.0,0.0,1.0
2013,Direct migration background,West,2646,2.3704794855195024,2.3089861731660632,2.4319727978729415,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2013,Direct migration background,East,147,2.5892556546237135,2.3796182631810825,2.7988930460663446,1.0,2.0,3.0,0.0,6.0,2.0,1.0,3.0
2013,Indirect migration background,West,1077,2.072057120025391,1.9890116193892622,2.15510262066152,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2013,Indirect migration background,East,67,1.3748948457677521,1.1673082898607414,1.5824814016747628,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
2014,No migration background,West,14949,2.571556364083198,2.5406594175486314,2.6024533106177645,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
2014,No migration background,East,5112,2.3547796937781564,2.3086067714230465,2.4009526161332664,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2014,Direct migration background,West,4854,2.2331172355394213,2.183914522317796,2.282319948761047,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2014,Direct migration background,East,355,1.898691020540434,1.794818886836264,2.002563154244604,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2014,Indirect migration background,West,1618,1.6713412719880991,1.6132995027518418,1.7293830412243565,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
2014,Indirect migration background,East,91,1.6975935563556022,1.485700354206282,1.9094867585049222,0.0,1.0,2.9668758390310153,0.0,7.417189597577538,1.0,0.0,2.0
2015,No migration background,West,14168,2.613776521927072,2.5799276979542918,2.647625345899852,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2015,No migration background,East,4832,2.2991436200726807,2.255275176866088,2.3430120632792732,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
2015,Direct migration background,West,4098,2.4760445370323265,2.4117753381488467,2.5403137359158063,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2015,Direct migration background,East,306,2.0563053998670426,1.9117957656164872,2.200815034117598,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2015,Indirect migration background,West,1462,1.9505554687380386,1.8741278715977248,2.0269830658783525,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2015,Indirect migration background,East,92,1.2223560368231363,1.0654884714212864,1.3792236022249862,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
2016,No migration background,West,13186,2.5221265664369805,2.4878400866403814,2.5564130462335797,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
2016,No migration background,East,4537,2.290222460735714,2.232923566193663,2.347521355277765,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2016,Direct migration background,West,4507,2.093691346359389,2.0427654514248994,2.1446172412938784,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2016,Direct migration background,East,359,1.8645447588161004,1.7350263507086718,1.994063166923529,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2016,Indirect migration background,West,1367,1.8850701947927833,1.8146348795955722,1.9555055099899943,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2016,Indirect migration background,East,99,2.0640471047590094,1.8605845246609176,2.2675096848571012,0.0,2.0,3.0,0.0,7.5,2.0,1.0,4.0
2017,No migration background,West,14965,2.604454411328444,2.5715909874853295,2.637317835171558,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2017,No migration background,East,5106,2.3854222356741244,2.3410608970826465,2.429783574265602,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
2017,Direct migration background,West,4297,2.2019159284772374,2.145440392862758,2.2583914640917166,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2017,Direct migration background,East,369,1.9198307837344601,1.810306848750563,2.0293547187183574,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2017,Indirect migration background,West,1509,2.0983659150839484,2.01653037998169,2.180201450186207,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2017,Indirect migration background,East,98,2.994181983236971,2.4978705427065404,3.490493423767402,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0
2018,No migration background,West,14390,2.5581795358326307,2.5255847387191173,2.590774332946144,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2018,No migration background,East,5002,2.2914597415702302,2.248945633239519,2.3339738499009415,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
2018,Direct migration background,West,4140,2.2206297003622204,2.171775569187361,2.2694838315370798,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2018,Direct migration background,East,356,1.4395393850803906,1.3391123322823808,1.5399664378784004,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
2018,Indirect migration background,West,1502,2.1560545072833377,2.0678963101596803,2.244212704406995,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2018,Indirect migration background,East,114,1.8357716563510522,1.537681014267209,2.1338622984348956,0.0,1.0,3.0,0.0,7.5,1.0,0.0,2.0
2019,No migration background,West,14949,2.535034858678224,2.5064422259884545,2.5636274913679937,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2019,No migration background,East,5113,2.2653754980082264,2.2200083302094344,2.3107426658070183,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
2019,Direct migration background,West,3652,2.160452787146473,2.1109680983678323,2.209937475925114,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2019,Direct migration background,East,301,1.7378085435567052,1.5822616595416261,1.8933554275717843,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0249999999999995
2019,Indirect migration background,West,1448,2.122608379651257,2.0310209633422174,2.214195795960297,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2019,Indirect migration background,East,115,2.1200245017685746,1.7543108620538335,2.4857381414833157,0.0,1.0,2.0,0.0,5.0,1.0,0.9749999999999943,2.0
2020,No migration background,West,13791,2.2569222496822556,2.227275380612503,2.2865691187520083,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2020,No migration background,East,4693,2.07341212418002,2.0353273273050516,2.111496921054988,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2020,Direct migration background,West,7400,1.8570606429711216,1.8241905045347049,1.8899307814075383,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2020,Direct migration background,East,878,1.0058746406293748,0.960007803668849,1.0517414775899008,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0
2020,Indirect migration background,West,1418,1.6956881669849315,1.6091331025830617,1.7822432313868013,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
2020,Indirect migration background,East,114,1.2805497930146292,1.0729101997066812,1.4881893863225772,0.0,0.0,2.0,0.0,5.0,0.0,-1.0,0.0
2021,No migration background,West,9505,2.670179795341095,2.6307244210956906,2.709635169586499,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2021,No migration background,East,3138,2.3829191930065465,2.325235187287457,2.4406031987256362,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
2021,Direct migration background,West,2665,2.4674343200395024,2.3769067340387973,2.5579619060402075,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2021,Direct migration background,East,262,1.5149317755869245,1.3757053740281013,1.6541581771457476,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
2021,Indirect migration background,West,824,2.353615748659573,2.2460322651816838,2.4611992321374623,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2021,Indirect migration background,East,75,1.1956052114104743,1.0145652191931007,1.3766452036278478,0.0,1.0,1.8981553690154949,0.0,4.7453884225387375,1.0,1.0,2.0
