"year","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2013","2","7.67","7.5","6218","5","7","9","10","10","7.62","7.72","0","10","8","8"
"2013","3","7.82","7.5","5597","5","7","9","10","10","7.77","7.87","0","10","8","8"
"2013","4","7.98","7.5","6494","6","7","9","10","10","7.94","8.02","0","10","8","8"
"2013","5 Einkommensstärkstes Quintil","8.29","8.5","6729","6","8","9","10","10","8.25","8.33","0","10","9","9"
"2014","1 Einkommensschwächstes Quintil","7.07","7.5","4154","4","6","9","10","10","7","7.14","0","10","7","8"
"2014","2","7.62","7.5","5217","5","7","9","10","10","7.56","7.68","0","10","8","8"
"2014","3","7.84","7.5","4837","5","7","9","10","10","7.79","7.89","0","10","8","8"
"2014","4","8","7.5","6140","6","7","9","10","10","7.96","8.04","0","10","8","8"
"2014","5 Einkommensstärkstes Quintil","8.26","7.5","6635","6","8","9","10","10","8.22","8.3","0","10","9","9"
"2015","1 Einkommensschwächstes Quintil","7.1","7.5","3563","4","6","9","10","10","7.02","7.18","0","10","8","8"
"2015","2","7.6","7.5","4276","5","7","9","10","10","7.54","7.66","0","10","8","8"
"2015","3","7.83","7.5","4502","5","7","9","10","10","7.78","7.88","0","10","8","8"
"2015","4","8.05","7.5","5837","6","7","9","10","10","8.01","8.09","0","10","8","8"
"2015","5 Einkommensstärkstes Quintil","8.24","7.5","6752","6","8","9","10","10","8.2","8.28","0","10","9","9"
"2016","1 Einkommensschwächstes Quintil","7.02","7.5","3227","4","6","9","10","10","6.94","7.1","0","10","8","8"
"2016","2","7.58","7.5","3996","5","7","9","10","10","7.52","7.64","0","10","8","8"
"2016","3","7.88","7.5","4145","5","7","9","10","10","7.82","7.94","0","10","8","8"
"2016","4","8.05","7.5","5903","6","7","9","10","10","8.01","8.09","0","10","8","8"
"2016","5 Einkommensstärkstes Quintil","8.24","7.5","6789","6","8","9","10","10","8.2","8.28","0","10","9","9"
"2017","1 Einkommensschwächstes Quintil","6.97","7.5","3046","4","6","9","10","10","6.88","7.06","0","10","7","8"
"2017","2","7.53","7.5","3911","5","7","9","10","10","7.46","7.6","0","10","8","8"
"2017","3","7.79","7.5","4474","5","7","9","10","10","7.74","7.84","0","10","8","8"
"2017","4","8.01","7.5","6516","6","7","9","10","10","7.97","8.05","0","10","8","8"
"2017","5 Einkommensstärkstes Quintil","8.2","7.5","8376","6","7","9","10","10","8.17","8.23","0","10","8","9"
"2018","1 Einkommensschwächstes Quintil","6.86","6.5","2810","3","5","9","10","10","6.77","6.95","0","10","7","8"
"2018","2","7.37","7.5","3399","4","6","9","10","10","7.3","7.44","0","10","8","8"
"2018","3","7.72","7.5","4147","5","7","9","10","10","7.66","7.78","0","10","8","8"
"2018","4","7.92","7.5","6565","5","7","9","10","10","7.88","7.96","0","10","8","8"
"2018","5 Einkommensstärkstes Quintil","8.23","7.5","8560","6","8","9","10","10","8.2","8.26","0","10","8","9"
"2019","1 Einkommensschwächstes Quintil","6.99","7.5","2316","3","6","9","10","10","6.89","7.09","0","10","7","8"
"2019","2","7.53","7.5","2957","5","7","9","10","10","7.46","7.6","0","10","8","8"
"2019","3","7.73","7.5","3610","5","7","9","10","10","7.67","7.79","0","10","8","8"
"2019","4","7.92","7.5","6271","6","7","9","10","10","7.88","7.96","0","10","8","8"
"2019","5 Einkommensstärkstes Quintil","8.3","8.5","10575","6","8","9","10","10","8.27","8.33","0","10","9","9"
"2020","1 Einkommensschwächstes Quintil","7.09","7.5","2252","4","6","9","10","10","6.99","7.19","0","10","7","8"
"2020","2","7.48","7.5","2901","5","7","9","10","10","7.4","7.56","0","10","8","8"
"2020","3","7.64","7.5","3255","5","7","9","10","10","7.57","7.71","0","10","8","8"
"2020","4","7.93","7.5","6453","5","7","9","10","10","7.89","7.97","0","10","8","8"
"2020","5 Einkommensstärkstes Quintil","8.2","7.5","10769","6","8","9","10","10","8.17","8.23","0","10","9","9"
