year,sampreg,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,East,Very good,0.05853,374,5209,0.05215,0.06490
2004,East,Good,0.33068,2142,5209,0.31791,0.34346
2004,East,Satisfactory,0.30001,1782,5209,0.28757,0.31246
2004,East,Poor,0.13695,712,5209,0.12762,0.14629
2004,East,Bad,0.04168,199,5209,0.03625,0.04711
2005,West,Very good,0.07702,1560,15617,0.07284,0.08120
2005,West,Good,0.31270,6315,15617,0.30543,0.31997
2005,West,Satisfactory,0.27785,5031,15617,0.27083,0.28488
2005,West,Poor,0.12615,2126,15617,0.12094,0.13136
2005,West,Bad,0.03700,585,15617,0.03404,0.03996
2005,East,Very good,0.06054,385,5011,0.05394,0.06715
2005,East,Good,0.32857,1990,5011,0.31557,0.34158
2005,East,Satisfactory,0.29446,1733,5011,0.28184,0.30708
2005,East,Poor,0.13819,708,5011,0.12864,0.14775
2005,East,Bad,0.04171,195,5011,0.03617,0.04724
2006,West,Very good,0.08058,1692,16878,0.07648,0.08469
2006,West,Good,0.31626,6787,16878,0.30924,0.32327
2006,West,Satisfactory,0.28015,5522,16878,0.27338,0.28693
2006,West,Poor,0.11761,2214,16878,0.11275,0.12247
2006,West,Bad,0.03876,663,16878,0.03585,0.04167
2006,East,Very good,0.07308,422,5357,0.06611,0.08005
2006,East,Good,0.33103,2185,5357,0.31843,0.34364
2006,East,Satisfactory,0.29172,1782,5357,0.27955,0.30390
2006,East,Poor,0.13330,737,5357,0.12420,0.14240
2006,East,Bad,0.04859,231,5357,0.04283,0.05435
2007,West,Very good,0.07518,1488,15723,0.07106,0.07931
2007,West,Good,0.31711,6394,15723,0.30984,0.32439
2007,West,Satisfactory,0.28447,5099,15723,0.27742,0.29152
2007,West,Poor,0.12453,2163,15723,0.11936,0.12969
2007,West,Bad,0.03477,579,15723,0.03191,0.03763
2007,East,Very good,0.06899,385,5075,0.06202,0.07597
2007,East,Good,0.34708,2037,5075,0.33398,0.36018
2007,East,Satisfactory,0.29586,1770,5075,0.28330,0.30842
2007,East,Poor,0.13198,684,5075,0.12266,0.14129
2007,East,Bad,0.04182,199,5075,0.03631,0.04733
2008,West,Very good,0.07955,1425,14739,0.07518,0.08392
2008,West,Good,0.32131,5937,14739,0.31377,0.32885
2008,West,Satisfactory,0.28191,4743,14739,0.27465,0.28918
2008,West,Poor,0.12450,2089,14739,0.11917,0.12983
2008,West,Bad,0.03464,545,14739,0.03169,0.03759
2008,East,Very good,0.07286,370,4803,0.06551,0.08021
2008,East,Good,0.34046,1898,4803,0.32705,0.35386
2008,East,Satisfactory,0.29444,1662,4803,0.28155,0.30733
2008,East,Poor,0.13718,689,4803,0.12745,0.14691
2008,East,Bad,0.03739,184,4803,0.03202,0.04275
2009,West,Very good,0.07730,1271,13649,0.07282,0.08179
2009,West,Good,0.31336,5358,13649,0.30558,0.32114
2009,West,Satisfactory,0.29910,4641,13649,0.29142,0.30678
2009,West,Poor,0.12211,1870,13649,0.11661,0.12760
2009,West,Bad,0.03454,509,13649,0.03148,0.03761
2009,East,Very good,0.05782,289,4563,0.05105,0.06460
2009,East,Good,0.33279,1788,4563,0.31912,0.34647
2009,East,Satisfactory,0.30216,1621,4563,0.28884,0.31549
2009,East,Poor,0.13857,683,4563,0.12855,0.14860
2009,East,Bad,0.03981,182,4563,0.03413,0.04548
2010,West,Very good,0.08662,2454,18793,0.08260,0.09064
2010,West,Good,0.31188,7634,18793,0.30525,0.31850
2010,West,Satisfactory,0.28299,5711,18793,0.27655,0.28943
2010,West,Poor,0.12507,2380,18793,0.12034,0.12980
2010,West,Bad,0.03789,614,18793,0.03516,0.04062
2010,East,Very good,0.06594,521,5513,0.05939,0.07249
2010,East,Good,0.33550,2294,5513,0.32303,0.34796
2010,East,Satisfactory,0.29760,1739,5513,0.28553,0.30967
2010,East,Poor,0.14452,744,5513,0.13523,0.15380
2010,East,Bad,0.03910,215,5513,0.03398,0.04421
2011,West,Very good,0.08987,2732,22486,0.08614,0.09361
2011,West,Good,0.32419,9238,22486,0.31807,0.33031
2011,West,Satisfactory,0.26580,6769,22486,0.26002,0.27157
2011,West,Poor,0.12629,2967,22486,0.12195,0.13063
2011,West,Bad,0.03589,780,22486,0.03346,0.03832
2011,East,Very good,0.07810,576,6382,0.07152,0.08468
2011,East,Good,0.30403,2553,6382,0.29275,0.31532
2011,East,Satisfactory,0.31854,2108,6382,0.30710,0.32997
2011,East,Poor,0.13398,884,6382,0.12562,0.14234
2011,East,Bad,0.03812,261,6382,0.03342,0.04282
2012,West,Very good,0.09105,2572,21901,0.08724,0.09486
2012,West,Good,0.32540,9058,21901,0.31919,0.33160
2012,West,Satisfactory,0.27807,6794,21901,0.27213,0.28400
2012,West,Poor,0.11832,2757,21901,0.11405,0.12260
2012,West,Bad,0.03180,720,21901,0.02948,0.03412
2012,East,Very good,0.06517,487,6239,0.05904,0.07129
2012,East,Good,0.32481,2593,6239,0.31319,0.33644
2012,East,Satisfactory,0.30716,2052,6239,0.29571,0.31861
2012,East,Poor,0.13431,871,6239,0.12585,0.14278
2012,East,Bad,0.03834,236,6239,0.03357,0.04310
2013,West,Very good,0.09710,3448,24956,0.09343,0.10077
2013,West,Good,0.31669,10073,24956,0.31092,0.32246
2013,West,Satisfactory,0.27247,7349,24956,0.26695,0.27799
2013,West,Poor,0.12397,3240,24956,0.11989,0.12806
2013,West,Bad,0.03513,846,24956,0.03284,0.03741
2013,East,Very good,0.06901,539,6199,0.06270,0.07533
2013,East,Good,0.31313,2413,6199,0.30159,0.32468
2013,East,Satisfactory,0.31357,2101,6199,0.30202,0.32512
2013,East,Poor,0.13493,901,6199,0.12643,0.14344
2013,East,Bad,0.04372,245,6199,0.03863,0.04881
2014,West,Very good,0.09223,2587,21968,0.08840,0.09605
2014,West,Good,0.31926,8846,21968,0.31310,0.32543
2014,West,Satisfactory,0.27574,6805,21968,0.26983,0.28165
2014,West,Poor,0.12983,3008,21968,0.12538,0.13427
2014,West,Bad,0.03235,722,21968,0.03001,0.03468
2014,East,Very good,0.06662,453,5659,0.06012,0.07312
2014,East,Good,0.31586,2271,5659,0.30375,0.32797
2014,East,Satisfactory,0.29963,1883,5659,0.28770,0.31157
2014,East,Poor,0.14223,833,5659,0.13312,0.15133
2014,East,Bad,0.03852,219,5659,0.03350,0.04353
2015,West,Very good,0.09334,2782,21816,0.08948,0.09720
2015,West,Good,0.32259,8888,21816,0.31638,0.32879
2015,West,Satisfactory,0.27326,6570,21816,0.26735,0.27918
2015,West,Poor,0.12752,2918,21816,0.12309,0.13195
2015,West,Bad,0.03323,658,21816,0.03085,0.03561
2015,East,Very good,0.06665,446,5488,0.06005,0.07325
2015,East,Good,0.31157,2128,5488,0.29932,0.32383
2015,East,Satisfactory,0.30200,1889,5488,0.28985,0.31415
2015,East,Poor,0.13817,799,5488,0.12904,0.14730
2015,East,Bad,0.04467,226,5488,0.03921,0.05014
2016,West,Very good,0.08520,3280,22127,0.08152,0.08888
2016,West,Good,0.32673,8687,22127,0.32055,0.33291
2016,West,Satisfactory,0.27498,6495,22127,0.26909,0.28086
2016,West,Poor,0.12766,2924,22127,0.12326,0.13206
2016,West,Bad,0.03372,741,22127,0.03134,0.03609
2016,East,Very good,0.06970,579,5631,0.06305,0.07636
2016,East,Good,0.32417,2203,5631,0.31194,0.33639
2016,East,Satisfactory,0.28462,1777,5631,0.27283,0.29641
2016,East,Poor,0.14315,841,5631,0.13401,0.15230
2016,East,Bad,0.03625,231,5631,0.03136,0.04113
2017,West,Very good,0.09415,3932,24834,0.09052,0.09778
2017,West,Good,0.31479,9708,24834,0.30901,0.32056
2017,West,Satisfactory,0.28051,7277,24834,0.27492,0.28610
2017,West,Poor,0.12871,3188,24834,0.12454,0.13287
2017,West,Bad,0.02873,729,24834,0.02665,0.03081
2017,East,Very good,0.05883,655,6264,0.05300,0.06466
2017,East,Good,0.34187,2517,6264,0.33012,0.35361
2017,East,Satisfactory,0.28200,1991,6264,0.27086,0.29315
2017,East,Poor,0.12756,860,6264,0.11929,0.13582
2017,East,Bad,0.04244,241,6264,0.03744,0.04743
2018,West,Very good,0.09546,3855,23629,0.09172,0.09921
2018,West,Good,0.31689,9091,23629,0.31096,0.32282
2018,West,Satisfactory,0.28214,6946,23629,0.27640,0.28788
2018,West,Poor,0.12459,2999,23629,0.12038,0.12880
2018,West,Bad,0.03103,738,23629,0.02882,0.03324
2018,East,Very good,0.06926,700,6121,0.06290,0.07562
2018,East,Good,0.34857,2418,6121,0.33663,0.36051
2018,East,Satisfactory,0.28403,1974,6121,0.27273,0.29533
2018,East,Poor,0.11910,801,6121,0.11098,0.12722
2018,East,Bad,0.03474,228,6121,0.03015,0.03932
2019,West,Very good,0.09251,3718,23376,0.08879,0.09622
2019,West,Good,0.32752,9403,23376,0.32150,0.33353
2019,West,Satisfactory,0.27071,6741,23376,0.26501,0.27640
2019,West,Poor,0.12404,2841,23376,0.11981,0.12826
2019,West,Bad,0.02879,673,23376,0.02664,0.03093
2019,East,Very good,0.06585,652,6086,0.05961,0.07208
2019,East,Good,0.34418,2503,6086,0.33224,0.35612
2019,East,Satisfactory,0.28213,1879,6086,0.27083,0.29344
2019,East,Poor,0.12864,840,6086,0.12023,0.13706
2019,East,Bad,0.03437,212,6086,0.02980,0.03895
2020,West,Very good,0.09793,4394,23940,0.09416,0.10169
2020,West,Good,0.32578,9853,23940,0.31984,0.33172
2020,West,Satisfactory,0.26982,6335,23940,0.26420,0.27544
2020,West,Poor,0.11924,2701,23940,0.11514,0.12335
2020,West,Bad,0.02930,657,23940,0.02717,0.03144
2020,East,Very good,0.08600,780,5915,0.07886,0.09315
2020,East,Good,0.32407,2397,5915,0.31214,0.33600
2020,East,Satisfactory,0.29081,1814,5915,0.27923,0.30238
2020,East,Poor,0.12602,755,5915,0.11756,0.13448
2020,East,Bad,0.02904,169,5915,0.02476,0.03332
2021,West,Very good,0.10583,2695,15934,0.10106,0.11061
2021,West,Good,0.30889,6314,15934,0.30171,0.31606
2021,West,Satisfactory,0.26655,4352,15934,0.25969,0.27342
2021,West,Poor,0.12471,2015,15934,0.11958,0.12984
2021,West,Bad,0.03327,558,15934,0.03048,0.03605
2021,East,Very good,0.10007,524,3977,0.09074,0.10940
2021,East,Good,0.33614,1618,3977,0.32146,0.35082
2021,East,Satisfactory,0.25135,1176,3977,0.23786,0.26483
2021,East,Poor,0.12563,533,3977,0.11533,0.13593
2021,East,Bad,0.03364,126,3977,0.02803,0.03924
2022,West,Very good,0.09718,3558,22301,0.09329,0.10107
2022,West,Good,0.30926,8972,22301,0.30319,0.31533
2022,West,Satisfactory,0.26268,6276,22301,0.25690,0.26846
2022,West,Poor,0.12610,2788,22301,0.12174,0.13045
2022,West,Bad,0.03692,707,22301,0.03444,0.03939
2022,East,Very good,0.08190,722,5908,0.07490,0.08889
2022,East,Good,0.31817,2398,5908,0.30629,0.33005
2022,East,Satisfactory,0.27129,1812,5908,0.25995,0.28263
2022,East,Poor,0.13354,776,5908,0.12487,0.14222
2022,East,Bad,0.03679,200,5908,0.03199,0.04159
