year,rentown,proportion,n,lower_confidence,upper_confidence
2003,Zur Miete,0.5205862419518807,11804,0.5115737879597595,0.529598695944002
2003,Eigentum,0.47941375804811925,11804,0.47040130405599795,0.48842621204024056
2004,Zur Miete,0.5182361604435589,11543,0.5091207195416192,0.5273516013454986
2004,Eigentum,0.48176383955644114,11543,0.4726483986545014,0.49087928045838086
2005,Zur Miete,0.5191105554563314,11199,0.5098567790609424,0.5283643318517205
2005,Eigentum,0.4808894445436685,11199,0.47163566814827945,0.49014322093905754
2006,Zur Miete,0.5104786756911033,12265,0.5016316578087504,0.5193256935734561
2006,Eigentum,0.48952132430889667,12265,0.4806743064265438,0.49836834219124954
2007,Zur Miete,0.509298873657557,11453,0.5001431784570205,0.5184545688580935
2007,Eigentum,0.490701126342443,11453,0.48154543114190645,0.49985682154297956
2008,Zur Miete,0.5029569395675476,10822,0.4935366399438006,0.5123772391912946
2008,Eigentum,0.4970430604324524,10822,0.48762276080870537,0.5064633600561994
2009,Zur Miete,0.502505649995087,10177,0.4927913673580301,0.5122199326321438
2009,Eigentum,0.49749435000491304,10177,0.4877800673678562,0.5072086326419699
2010,Zur Miete,0.5411986375824335,13799,0.5328843898475684,0.5495128853172986
2010,Eigentum,0.45880136241756647,13799,0.4504871146827013,0.46711561015243164
2011,Zur Miete,0.5349635608022647,16603,0.5273765905691379,0.5425505310353915
2011,Eigentum,0.46503643919773535,16603,0.45744946896460853,0.4726234094308622
2012,Zur Miete,0.5340734834079617,16303,0.5264160799724811,0.5417308868434423
2012,Eigentum,0.46592651659203826,16303,0.4582691131565576,0.4735839200275189
2013,Zur Miete,0.5686625629546727,17870,0.5614010069554201,0.5759241189539253
2013,Eigentum,0.43133743704532734,17870,0.4240758810460747,0.43859899304458
2014,Zur Miete,0.5544604498357342,15828,0.5467172321630195,0.5622036675084489
2014,Eigentum,0.4455395501642659,15828,0.43779633249155114,0.4532827678369806
2015,Zur Miete,0.5725069779243847,15764,0.5647841249747838,0.5802298308739855
2015,Eigentum,0.42749302207561535,15764,0.41977016912601456,0.43521587502521614
2016,Zur Miete,0.5593315152786519,16419,0.5517374668726783,0.5669255636846254
2016,Eigentum,0.4406684847213482,16419,0.4330744363153746,0.4482625331273217
2017,Zur Miete,0.5959613294433956,18279,0.5888475505623877,0.6030751083244036
2017,Eigentum,0.4040386705566043,18279,0.3969248916755963,0.4111524494376123
2018,Zur Miete,0.6219935115784764,17878,0.6148856467642437,0.629101376392709
2018,Eigentum,0.3780064884215237,17878,0.3708986236072911,0.38511435323575627
2019,Zur Miete,0.5722038313344548,18428,0.5650603355031157,0.579347327165794
2019,Eigentum,0.42779616866554515,18428,0.4206526728342061,0.4349396644968842
2020,Zur Miete,0.6380568058357908,19329,0.6312819312764584,0.6448316803951233
2020,Eigentum,0.3619431941642092,19329,0.35516831960487677,0.3687180687235417
2021,Zur Miete,0.5941256069410172,12568,0.5855402580850803,0.6027109557969542
2021,Eigentum,0.4058743930589827,12568,0.39728904420304567,0.41445974191491974
