year,sampreg,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,East,Not Disabled (<= 30%),0.76822,5348,5830,0.75739,0.77905
2000,East,Disabled (> 30%),0.07728,482,5830,0.07042,0.08413
2001,West,Not Disabled (<= 30%),0.72135,14701,16459,0.71450,0.72820
2001,West,Disabled (> 30%),0.09927,1758,16459,0.09470,0.10384
2001,East,Not Disabled (<= 30%),0.77713,4968,5405,0.76603,0.78823
2001,East,Disabled (> 30%),0.07509,437,5405,0.06807,0.08212
2002,West,Not Disabled (<= 30%),0.71656,15693,17571,0.70990,0.72323
2002,West,Disabled (> 30%),0.10540,1878,17571,0.10086,0.10994
2002,East,Not Disabled (<= 30%),0.77128,4923,5406,0.76008,0.78247
2002,East,Disabled (> 30%),0.08841,483,5406,0.08084,0.09598
2003,West,Not Disabled (<= 30%),0.71914,14973,16800,0.71234,0.72594
2003,West,Disabled (> 30%),0.10459,1827,16800,0.09996,0.10922
2003,East,Not Disabled (<= 30%),0.77495,4843,5327,0.76374,0.78617
2003,East,Disabled (> 30%),0.08769,484,5327,0.08009,0.09528
2004,West,Not Disabled (<= 30%),0.71870,14527,16367,0.71181,0.72559
2004,West,Disabled (> 30%),0.10885,1840,16367,0.10408,0.11362
2004,East,Not Disabled (<= 30%),0.77740,4716,5208,0.76610,0.78870
2004,East,Disabled (> 30%),0.09275,492,5208,0.08487,0.10063
2005,West,Not Disabled (<= 30%),0.72679,13847,15635,0.71980,0.73377
2005,West,Disabled (> 30%),0.10628,1788,15635,0.10145,0.11111
2005,East,Not Disabled (<= 30%),0.77253,4523,5025,0.76094,0.78413
2005,East,Disabled (> 30%),0.09832,502,5025,0.09008,0.10655
2006,West,Not Disabled (<= 30%),0.71622,14680,16663,0.70938,0.72307
2006,West,Disabled (> 30%),0.10841,1983,16663,0.10369,0.11313
2006,East,Not Disabled (<= 30%),0.76184,4712,5259,0.75032,0.77335
2006,East,Disabled (> 30%),0.10235,547,5259,0.09415,0.11054
2007,West,Not Disabled (<= 30%),0.71519,13599,15473,0.70807,0.72230
2007,West,Disabled (> 30%),0.10902,1874,15473,0.10411,0.11394
2007,East,Not Disabled (<= 30%),0.77313,4481,4999,0.76152,0.78474
2007,East,Disabled (> 30%),0.10027,518,4999,0.09195,0.10860
2008,West,Not Disabled (<= 30%),0.72257,12767,14523,0.71529,0.72985
2008,West,Disabled (> 30%),0.10820,1756,14523,0.10315,0.11326
2008,East,Not Disabled (<= 30%),0.77510,4266,4756,0.76323,0.78696
2008,East,Disabled (> 30%),0.09758,490,4756,0.08915,0.10602
2009,West,Not Disabled (<= 30%),0.72668,11797,13447,0.71915,0.73422
2009,West,Disabled (> 30%),0.10936,1650,13447,0.10408,0.11463
2009,East,Not Disabled (<= 30%),0.77479,4050,4533,0.76263,0.78695
2009,East,Disabled (> 30%),0.09339,483,4533,0.08492,0.10186
2010,West,Not Disabled (<= 30%),0.72775,16725,18451,0.72133,0.73417
2010,West,Disabled (> 30%),0.10758,1726,18451,0.10311,0.11206
2010,East,Not Disabled (<= 30%),0.77024,4949,5449,0.75907,0.78141
2010,East,Disabled (> 30%),0.10149,500,5449,0.09347,0.10951
2011,West,Not Disabled (<= 30%),0.72589,19813,22040,0.72000,0.73178
2011,West,Disabled (> 30%),0.10563,2227,22040,0.10157,0.10969
2011,East,Not Disabled (<= 30%),0.76070,5658,6301,0.75016,0.77124
2011,East,Disabled (> 30%),0.10284,643,6301,0.09534,0.11034
2012,West,Not Disabled (<= 30%),0.72467,19123,21428,0.71869,0.73065
2012,West,Disabled (> 30%),0.10871,2305,21428,0.10454,0.11288
2012,East,Not Disabled (<= 30%),0.74916,5466,6161,0.73833,0.75998
2012,East,Disabled (> 30%),0.11418,695,6161,0.10624,0.12212
2013,West,Not Disabled (<= 30%),0.72549,22094,24480,0.71990,0.73109
2013,West,Disabled (> 30%),0.10943,2386,24480,0.10552,0.11334
2013,East,Not Disabled (<= 30%),0.75453,5444,6098,0.74372,0.76533
2013,East,Disabled (> 30%),0.11043,654,6098,0.10256,0.11830
2014,West,Not Disabled (<= 30%),0.72305,19158,21463,0.71706,0.72904
2014,West,Disabled (> 30%),0.11513,2305,21463,0.11086,0.11940
2014,East,Not Disabled (<= 30%),0.73834,4919,5571,0.72679,0.74988
2014,East,Disabled (> 30%),0.11633,652,5571,0.10791,0.12475
2015,West,Not Disabled (<= 30%),0.72787,19204,21337,0.72190,0.73384
2015,West,Disabled (> 30%),0.11144,2133,21337,0.10721,0.11566
2015,East,Not Disabled (<= 30%),0.74520,4802,5398,0.73358,0.75683
2015,East,Disabled (> 30%),0.11030,596,5398,0.10194,0.11865
2016,West,Not Disabled (<= 30%),0.72219,17201,19209,0.71586,0.72853
2016,West,Disabled (> 30%),0.11080,2008,19209,0.10636,0.11524
2016,East,Not Disabled (<= 30%),0.73844,4461,5021,0.72628,0.75059
2016,East,Disabled (> 30%),0.10663,560,5021,0.09809,0.11516
2017,West,Not Disabled (<= 30%),0.72150,18706,20916,0.71542,0.72757
2017,West,Disabled (> 30%),0.10838,2210,20916,0.10417,0.11260
2017,East,Not Disabled (<= 30%),0.73800,4960,5575,0.72645,0.74954
2017,East,Disabled (> 30%),0.10260,615,5575,0.09463,0.11056
2018,West,Not Disabled (<= 30%),0.72623,17855,20120,0.72007,0.73239
2018,West,Disabled (> 30%),0.10956,2265,20120,0.10525,0.11388
2018,East,Not Disabled (<= 30%),0.72755,4830,5469,0.71575,0.73935
2018,East,Disabled (> 30%),0.10464,639,5469,0.09653,0.11275
2019,West,Not Disabled (<= 30%),0.72054,17914,20062,0.71433,0.72675
2019,West,Disabled (> 30%),0.10601,2148,20062,0.10175,0.11027
2019,East,Not Disabled (<= 30%),0.72907,4892,5534,0.71736,0.74078
2019,East,Disabled (> 30%),0.10889,642,5534,0.10068,0.11710
2020,West,Not Disabled (<= 30%),0.72223,20578,22662,0.71640,0.72807
2020,West,Disabled (> 30%),0.10656,2084,22662,0.10254,0.11058
2020,East,Not Disabled (<= 30%),0.72688,5073,5696,0.71531,0.73846
2020,East,Disabled (> 30%),0.11325,623,5696,0.10502,0.12148
2021,West,Not Disabled (<= 30%),0.71920,13846,15375,0.71209,0.72630
2021,West,Disabled (> 30%),0.10802,1529,15375,0.10311,0.11292
2021,East,Not Disabled (<= 30%),0.71762,3425,3854,0.70340,0.73183
2021,East,Disabled (> 30%),0.11133,429,3854,0.10139,0.12126
