year,migback,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Direct migration background,Disabled (> 30%),0.11272,214,2536,0.10041,0.12503
1992,Indirect migration background,Not Disabled (<= 30%),0.24254,395,395,0.20022,0.28487
1994,No migration background,Not Disabled (<= 30%),0.73050,9067,9978,0.72180,0.73921
1994,No migration background,Disabled (> 30%),0.09619,911,9978,0.09040,0.10198
1994,Direct migration background,Not Disabled (<= 30%),0.85854,2120,2345,0.84443,0.87265
1994,Direct migration background,Disabled (> 30%),0.12358,225,2345,0.11025,0.13690
1994,Indirect migration background,Not Disabled (<= 30%),0.31400,479,479,0.27239,0.35561
1995,No migration background,Not Disabled (<= 30%),0.71645,8934,9908,0.70758,0.72533
1995,No migration background,Disabled (> 30%),0.10576,974,9908,0.09970,0.11181
1995,Direct migration background,Not Disabled (<= 30%),0.82757,2513,2756,0.81346,0.84168
1995,Direct migration background,Disabled (> 30%),0.10405,243,2756,0.09265,0.11545
1995,Indirect migration background,Not Disabled (<= 30%),0.30837,491,491,0.26747,0.34926
1996,No migration background,Not Disabled (<= 30%),0.72298,8887,9868,0.71415,0.73181
1996,No migration background,Disabled (> 30%),0.10759,981,9868,0.10147,0.11370
1996,Direct migration background,Not Disabled (<= 30%),0.82874,2349,2589,0.81422,0.84325
1996,Direct migration background,Disabled (> 30%),0.11258,240,2589,0.10040,0.12476
1996,Indirect migration background,Not Disabled (<= 30%),0.31960,531,531,0.27990,0.35930
1997,No migration background,Not Disabled (<= 30%),0.72281,8765,9738,0.71392,0.73170
1997,No migration background,Disabled (> 30%),0.10753,973,9738,0.10138,0.11369
1997,Direct migration background,Not Disabled (<= 30%),0.83831,2240,2462,0.82377,0.85286
1997,Direct migration background,Disabled (> 30%),0.10287,222,2462,0.09087,0.11487
1997,Indirect migration background,Not Disabled (<= 30%),0.34923,551,551,0.30939,0.38907
1998,No migration background,Not Disabled (<= 30%),0.72666,10031,11202,0.71840,0.73491
1998,No migration background,Disabled (> 30%),0.10894,1171,11202,0.10317,0.11471
1998,Direct migration background,Not Disabled (<= 30%),0.84017,2166,2392,0.82549,0.85486
1998,Direct migration background,Disabled (> 30%),0.10236,226,2392,0.09021,0.11451
1998,Indirect migration background,Not Disabled (<= 30%),0.38127,582,582,0.34178,0.42077
1999,No migration background,Not Disabled (<= 30%),0.72769,9693,10846,0.71931,0.73607
1999,No migration background,Disabled (> 30%),0.11280,1153,10846,0.10685,0.11876
1999,Direct migration background,Not Disabled (<= 30%),0.84118,1986,2200,0.82590,0.85645
1999,Direct migration background,Disabled (> 30%),0.10706,214,2200,0.09413,0.11998
1999,Indirect migration background,Not Disabled (<= 30%),0.38588,586,586,0.34643,0.42533
2000,No migration background,Not Disabled (<= 30%),0.74051,17812,19937,0.73442,0.74659
2000,No migration background,Disabled (> 30%),0.10249,2125,19937,0.09828,0.10670
2000,Direct migration background,Not Disabled (<= 30%),0.83593,3029,3300,0.82329,0.84857
2000,Direct migration background,Disabled (> 30%),0.08078,271,3300,0.07148,0.09008
2000,Indirect migration background,Not Disabled (<= 30%),0.37927,791,791,0.34544,0.41311
2001,No migration background,Not Disabled (<= 30%),0.74286,16270,18188,0.73650,0.74921
2001,No migration background,Disabled (> 30%),0.10249,1918,18188,0.09808,0.10689
2001,Direct migration background,Not Disabled (<= 30%),0.85234,2667,2913,0.83945,0.86522
2001,Direct migration background,Disabled (> 30%),0.08226,246,2913,0.07228,0.09224
2001,Indirect migration background,Not Disabled (<= 30%),0.35756,732,763,0.32353,0.39159
2001,Indirect migration background,Disabled (> 30%),0.01436,31,763,0.00591,0.02281
2002,No migration background,Not Disabled (<= 30%),0.73573,17327,19415,0.72953,0.74194
2002,No migration background,Disabled (> 30%),0.11106,2088,19415,0.10664,0.11548
2002,Direct migration background,Not Disabled (<= 30%),0.85699,2550,2794,0.84401,0.86998
2002,Direct migration background,Disabled (> 30%),0.08621,244,2794,0.07580,0.09662
2002,Indirect migration background,Not Disabled (<= 30%),0.36132,739,739,0.32666,0.39598
2003,No migration background,Not Disabled (<= 30%),0.73851,16692,18736,0.73222,0.74480
2003,No migration background,Disabled (> 30%),0.11051,2044,18736,0.10602,0.11500
2003,Direct migration background,Not Disabled (<= 30%),0.86005,2375,2616,0.84675,0.87334
2003,Direct migration background,Disabled (> 30%),0.08823,241,2616,0.07736,0.09910
2003,Indirect migration background,Not Disabled (<= 30%),0.38188,749,749,0.34706,0.41669
2004,No migration background,Not Disabled (<= 30%),0.73718,16189,18247,0.73079,0.74356
2004,No migration background,Disabled (> 30%),0.11514,2058,18247,0.11051,0.11977
2004,Direct migration background,Not Disabled (<= 30%),0.86422,2288,2532,0.85087,0.87756
2004,Direct migration background,Disabled (> 30%),0.09353,244,2532,0.08219,0.10488
2004,Indirect migration background,Not Disabled (<= 30%),0.40367,766,766,0.36890,0.43844
2005,No migration background,Not Disabled (<= 30%),0.74079,15447,17478,0.73430,0.74729
2005,No migration background,Disabled (> 30%),0.11432,2031,17478,0.10960,0.11904
2005,Direct migration background,Not Disabled (<= 30%),0.87105,2124,2361,0.85752,0.88457
2005,Direct migration background,Disabled (> 30%),0.09307,237,2361,0.08135,0.10479
2005,Indirect migration background,Not Disabled (<= 30%),0.44576,799,799,0.41128,0.48025
2006,No migration background,Not Disabled (<= 30%),0.73292,16485,18738,0.72658,0.73925
2006,No migration background,Disabled (> 30%),0.11659,2253,18738,0.11199,0.12118
2006,Direct migration background,Not Disabled (<= 30%),0.85387,2119,2373,0.83966,0.86809
2006,Direct migration background,Disabled (> 30%),0.10371,254,2373,0.09144,0.11598
2006,Indirect migration background,Not Disabled (<= 30%),0.43577,788,788,0.40112,0.47041
2007,No migration background,Not Disabled (<= 30%),0.73337,15439,17580,0.72683,0.73990
2007,No migration background,Disabled (> 30%),0.11677,2141,17580,0.11203,0.12152
2007,Direct migration background,Not Disabled (<= 30%),0.85799,1890,2116,0.84311,0.87286
2007,Direct migration background,Disabled (> 30%),0.10361,226,2116,0.09062,0.11660
2007,Indirect migration background,Not Disabled (<= 30%),0.45239,751,751,0.41677,0.48802
2008,No migration background,Not Disabled (<= 30%),0.73823,14598,16612,0.73155,0.74492
2008,No migration background,Disabled (> 30%),0.11505,2014,16612,0.11019,0.11990
2008,Direct migration background,Not Disabled (<= 30%),0.87273,1699,1903,0.85776,0.88771
2008,Direct migration background,Disabled (> 30%),0.10391,204,1903,0.09019,0.11762
2008,Indirect migration background,Not Disabled (<= 30%),0.47209,736,736,0.43600,0.50818
2009,No migration background,Not Disabled (<= 30%),0.73979,13695,15621,0.73291,0.74667
2009,No migration background,Disabled (> 30%),0.11533,1926,15621,0.11032,0.12034
2009,Direct migration background,Not Disabled (<= 30%),0.86832,1471,1653,0.85201,0.88463
2009,Direct migration background,Disabled (> 30%),0.10573,182,1653,0.09090,0.12056
2009,Indirect migration background,Not Disabled (<= 30%),0.51393,681,681,0.47637,0.55150
2010,No migration background,Not Disabled (<= 30%),0.74296,17866,19861,0.73688,0.74903
2010,No migration background,Disabled (> 30%),0.11597,1995,19861,0.11152,0.12043
2010,Direct migration background,Not Disabled (<= 30%),0.86739,2745,2939,0.85513,0.87966
2010,Direct migration background,Disabled (> 30%),0.09521,194,2939,0.08460,0.10583
2010,Indirect migration background,Not Disabled (<= 30%),0.44449,1063,1100,0.41511,0.47387
2010,Indirect migration background,Disabled (> 30%),0.02234,37,1100,0.01360,0.03108
2011,No migration background,Not Disabled (<= 30%),0.73772,21202,23790,0.73213,0.74331
2011,No migration background,Disabled (> 30%),0.11601,2588,23790,0.11194,0.12008
2011,Direct migration background,Not Disabled (<= 30%),0.88286,3063,3295,0.87188,0.89385
2011,Direct migration background,Disabled (> 30%),0.08243,232,3295,0.07304,0.09182
2011,Indirect migration background,Not Disabled (<= 30%),0.43973,1206,1256,0.41227,0.46719
2011,Indirect migration background,Disabled (> 30%),0.02102,50,1256,0.01309,0.02896
2012,No migration background,Not Disabled (<= 30%),0.73507,20537,23241,0.72940,0.74074
2012,No migration background,Disabled (> 30%),0.12016,2704,23241,0.11598,0.12434
2012,Direct migration background,Not Disabled (<= 30%),0.87607,2888,3129,0.86452,0.88761
2012,Direct migration background,Disabled (> 30%),0.09070,241,3129,0.08063,0.10076
2012,Indirect migration background,Not Disabled (<= 30%),0.43272,1164,1219,0.40490,0.46055
2012,Indirect migration background,Disabled (> 30%),0.02857,55,1219,0.01921,0.03792
2013,No migration background,Not Disabled (<= 30%),0.73760,19470,22033,0.73179,0.74341
2013,No migration background,Disabled (> 30%),0.12024,2563,22033,0.11594,0.12453
2013,Direct migration background,Not Disabled (<= 30%),0.86706,6081,6487,0.85880,0.87532
2013,Direct migration background,Disabled (> 30%),0.09756,406,6487,0.09034,0.10478
2013,Indirect migration background,Not Disabled (<= 30%),0.45345,1987,2058,0.43194,0.47497
2013,Indirect migration background,Disabled (> 30%),0.02361,71,2058,0.01705,0.03017
2014,No migration background,Not Disabled (<= 30%),0.73209,17573,20104,0.72597,0.73821
2014,No migration background,Disabled (> 30%),0.12721,2531,20104,0.12260,0.13182
2014,Direct migration background,Not Disabled (<= 30%),0.86340,4849,5213,0.85408,0.87273
2014,Direct migration background,Disabled (> 30%),0.09902,364,5213,0.09091,0.10713
2014,Indirect migration background,Not Disabled (<= 30%),0.46185,1655,1717,0.43826,0.48544
2014,Indirect migration background,Disabled (> 30%),0.02777,62,1717,0.01999,0.03554
2015,No migration background,Not Disabled (<= 30%),0.73491,16772,19128,0.72865,0.74116
2015,No migration background,Disabled (> 30%),0.12500,2356,19128,0.12031,0.12968
2015,Direct migration background,Not Disabled (<= 30%),0.87673,5674,5989,0.86841,0.88506
2015,Direct migration background,Disabled (> 30%),0.08419,315,5989,0.07715,0.09122
2015,Indirect migration background,Not Disabled (<= 30%),0.46773,1560,1618,0.44341,0.49205
2015,Indirect migration background,Disabled (> 30%),0.02507,58,1618,0.01745,0.03270
2016,No migration background,Not Disabled (<= 30%),0.73230,15559,17766,0.72579,0.73882
2016,No migration background,Disabled (> 30%),0.12445,2207,17766,0.11959,0.12930
2016,Direct migration background,Not Disabled (<= 30%),0.83804,4668,4972,0.82779,0.84828
2016,Direct migration background,Disabled (> 30%),0.08387,304,4972,0.07616,0.09158
2016,Indirect migration background,Not Disabled (<= 30%),0.48621,1435,1492,0.46084,0.51158
2016,Indirect migration background,Disabled (> 30%),0.02399,57,1492,0.01622,0.03176
2017,No migration background,Not Disabled (<= 30%),0.73624,17680,20110,0.73015,0.74233
2017,No migration background,Disabled (> 30%),0.12153,2430,20110,0.11701,0.12605
2017,Direct migration background,Not Disabled (<= 30%),0.81732,4424,4746,0.80632,0.82831
2017,Direct migration background,Disabled (> 30%),0.08409,322,4746,0.07619,0.09198
2017,Indirect migration background,Not Disabled (<= 30%),0.48320,1562,1635,0.45897,0.50743
2017,Indirect migration background,Disabled (> 30%),0.02316,73,1635,0.01587,0.03045
2018,No migration background,Not Disabled (<= 30%),0.73953,16940,19415,0.73336,0.74571
2018,No migration background,Disabled (> 30%),0.12223,2475,19415,0.11762,0.12684
2018,Direct migration background,Not Disabled (<= 30%),0.81711,4211,4549,0.80588,0.82835
2018,Direct migration background,Disabled (> 30%),0.08503,338,4549,0.07693,0.09314
2018,Indirect migration background,Not Disabled (<= 30%),0.48216,1534,1625,0.45786,0.50647
2018,Indirect migration background,Disabled (> 30%),0.03408,91,1625,0.02526,0.04290
2019,No migration background,Not Disabled (<= 30%),0.73487,17692,20138,0.72877,0.74097
2019,No migration background,Disabled (> 30%),0.12077,2446,20138,0.11627,0.12527
2019,Direct migration background,Not Disabled (<= 30%),0.81499,3682,3956,0.80289,0.82709
2019,Direct migration background,Disabled (> 30%),0.08242,274,3956,0.07385,0.09099
2019,Indirect migration background,Not Disabled (<= 30%),0.48380,1497,1577,0.45913,0.50847
2019,Indirect migration background,Disabled (> 30%),0.02898,80,1577,0.02070,0.03726
2020,No migration background,Not Disabled (<= 30%),0.73318,16251,18527,0.72681,0.73954
2020,No migration background,Disabled (> 30%),0.11994,2276,18527,0.11526,0.12462
2020,Direct migration background,Not Disabled (<= 30%),0.83968,7947,8294,0.83178,0.84758
2020,Direct migration background,Disabled (> 30%),0.08830,347,8294,0.08219,0.09440
2020,Indirect migration background,Not Disabled (<= 30%),0.46976,1453,1537,0.44480,0.49472
2020,Indirect migration background,Disabled (> 30%),0.03124,84,1537,0.02254,0.03995
2021,No migration background,Not Disabled (<= 30%),0.73355,11538,13177,0.72600,0.74110
2021,No migration background,Disabled (> 30%),0.12005,1639,13177,0.11450,0.12560
2021,Direct migration background,Not Disabled (<= 30%),0.82726,4848,5115,0.81690,0.83762
2021,Direct migration background,Disabled (> 30%),0.09539,267,5115,0.08734,0.10344
2021,Indirect migration background,Not Disabled (<= 30%),0.44208,885,937,0.41026,0.47389
2021,Indirect migration background,Disabled (> 30%),0.03415,52,937,0.02252,0.04579
