"year","regtyp","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1992","Staedtischer Raum","Westdeutschland","30780.16","29042","9740","30309.19","31251.13"
"1993","Laendlicher Raum","Ostdeutschland","19494.94","18234","3415","18973.53","20016.35"
"1993","Laendlicher Raum","Westdeutschland","30049.54","27416","2704","29140.88","30958.2"
"1993","Staedtischer Raum","Ostdeutschland","22671.58","21170","1752","21878.52","23464.64"
"1993","Staedtischer Raum","Westdeutschland","32299.1","30673","9657","31792.57","32805.63"
"1994","Laendlicher Raum","Ostdeutschland","21821.75","20221.5","3312","21194.07","22449.43"
"1994","Laendlicher Raum","Westdeutschland","31229.11","29680.5","2685","30281.89","32176.33"
"1994","Staedtischer Raum","Ostdeutschland","24673.86","21753","1720","23749.11","25598.61"
"1994","Staedtischer Raum","Westdeutschland","32420.61","30905","9421","31903.7","32937.52"
"1995","Laendlicher Raum","Ostdeutschland","22656.57","20510.5","3283","22005.13","23308.01"
"1995","Laendlicher Raum","Westdeutschland","31510.08","29491.5","2921","30471.44","32548.72"
"1995","Staedtischer Raum","Ostdeutschland","25733.53","22382","1578","24684.6","26782.46"
"1995","Staedtischer Raum","Westdeutschland","32131.27","30128","9930","31620.88","32641.66"
"1996","Laendlicher Raum","Ostdeutschland","23406.36","21597","3195","22695.22","24117.5"
"1996","Laendlicher Raum","Westdeutschland","33274.38","30000","2879","32286.95","34261.81"
"1996","Staedtischer Raum","Ostdeutschland","26076.72","22225","1602","24990.88","27162.56"
"1996","Staedtischer Raum","Westdeutschland","33402.64","30838","9663","32862.59","33942.69"
"1997","Laendlicher Raum","Ostdeutschland","23659.57","21225","3137","22816.11","24503.03"
"1997","Laendlicher Raum","Westdeutschland","32391.9","30028.5","2836","31382.95","33400.85"
"1997","Staedtischer Raum","Ostdeutschland","26099.29","22590.5","1546","24964.49","27234.09"
"1997","Staedtischer Raum","Westdeutschland","33874.79","31623.5","9487","33328.35","34421.23"
"1998","Laendlicher Raum","Ostdeutschland","23823.51","21605","3349","23053.83","24593.19"
"1998","Laendlicher Raum","Westdeutschland","32779.54","30094","3270","31832.81","33726.27"
"1998","Staedtischer Raum","Ostdeutschland","27300.5","23063","1585","26081.04","28519.96"
"1998","Staedtischer Raum","Westdeutschland","33911.48","31858.5","10552","33352.53","34470.43"
"1999","Laendlicher Raum","Ostdeutschland","23808.35","20937.5","3228","22992.59","24624.11"
"1999","Laendlicher Raum","Westdeutschland","32323.76","31030.5","3143","31400.83","33246.69"
"1999","Staedtischer Raum","Ostdeutschland","28694.05","24406.5","1543","27248.66","30139.44"
"1999","Staedtischer Raum","Westdeutschland","35350.17","32918","10074","34790.36","35909.98"
"2000","Laendlicher Raum","Ostdeutschland","24838.2","21244.5","5019","24053.76","25622.64"
"2000","Laendlicher Raum","Westdeutschland","34402.56","32556.5","6130","33691.9","35113.22"
"2000","Staedtischer Raum","Ostdeutschland","28725.16","23097.5","2338","27481.97","29968.35"
"2000","Staedtischer Raum","Westdeutschland","36187.7","33376.5","18320","35742.24","36633.16"
"2001","Laendlicher Raum","Ostdeutschland","24260.44","21469.5","4564","23564.09","24956.79"
"2001","Laendlicher Raum","Westdeutschland","34348.09","32761","5412","33568.42","35127.76"
"2001","Staedtischer Raum","Ostdeutschland","27823.23","22261.5","2174","26634.1","29012.36"
"2001","Staedtischer Raum","Westdeutschland","36545.38","33497","16578","36035.05","37055.71"
"2002","Laendlicher Raum","Ostdeutschland","23902.77","20360","4521","23003.92","24801.62"
"2002","Laendlicher Raum","Westdeutschland","34482.42","32579.5","5602","33539.58","35425.26"
"2002","Staedtischer Raum","Ostdeutschland","26821.22","19375","2183","25198.88","28443.56"
"2002","Staedtischer Raum","Westdeutschland","36520.81","32704.5","17810","35807.7","37233.92"
"2003","Laendlicher Raum","Ostdeutschland","24797.87","21247.5","4413","23884.01","25711.73"
"2003","Laendlicher Raum","Westdeutschland","35749.59","33317.5","5227","34744.12","36755.06"
"2003","Staedtischer Raum","Ostdeutschland","26173.83","20351.5","2134","24569.75","27777.91"
"2003","Staedtischer Raum","Westdeutschland","37198.64","33543","17018","36506.19","37891.09"
"2004","Laendlicher Raum","Ostdeutschland","24477.17","19920","4261","23563.21","25391.13"
"2004","Laendlicher Raum","Westdeutschland","34826.02","32815","5105","33743.69","35908.35"
"2004","Staedtischer Raum","Ostdeutschland","24956.17","18898.5","2117","23444.06","26468.28"
"2004","Staedtischer Raum","Westdeutschland","36819.73","33475","16448","36118.93","37520.53"
"2005","Laendlicher Raum","Ostdeutschland","24296.38","17925","4100","23325.99","25266.77"
"2005","Laendlicher Raum","Westdeutschland","34936.49","32852","4854","33932.68","35940.3"
"2005","Staedtischer Raum","Ostdeutschland","25131.94","17843","2051","23508.53","26755.35"
"2005","Staedtischer Raum","Westdeutschland","36679.6","33790","15701","35989.88","37369.32"
"2006","Laendlicher Raum","Ostdeutschland","23219.22","16775","4391","22311.17","24127.27"
"2006","Laendlicher Raum","Westdeutschland","34583.6","32122.5","5462","33605.13","35562.07"
"2006","Staedtischer Raum","Ostdeutschland","24260.65","16158","2149","22677.19","25844.11"
"2006","Staedtischer Raum","Westdeutschland","36654.07","32536.5","16666","35950.84","37357.3"
"2007","Laendlicher Raum","Ostdeutschland","24773.11","18774","4102","23795.13","25751.09"
"2007","Laendlicher Raum","Westdeutschland","35139.21","32454.5","5061","34101.35","36177.07"
"2007","Staedtischer Raum","Ostdeutschland","24939.02","17975","2022","23203.66","26674.38"
"2007","Staedtischer Raum","Westdeutschland","37853.46","33260.5","15433","37101.99","38604.93"
"2008","Laendlicher Raum","Ostdeutschland","25686.24","20055","3867","24694.84","26677.64"
"2008","Laendlicher Raum","Westdeutschland","36793.67","33890","4696","35671.31","37916.03"
"2008","Staedtischer Raum","Ostdeutschland","24808.58","18798.5","1954","22901.09","26716.07"
"2008","Staedtischer Raum","Westdeutschland","38647.99","34204","14360","37894.63","39401.35"
"2009","Laendlicher Raum","Ostdeutschland","26977.73","22150","3722","25894.81","28060.65"
"2009","Laendlicher Raum","Westdeutschland","37670.54","34435","4460","36320.42","39020.66"
"2009","Staedtischer Raum","Ostdeutschland","26818.41","20360","1860","25058.56","28578.26"
"2009","Staedtischer Raum","Westdeutschland","39986.83","35398","13179","39048.52","40925.14"
"2010","Laendlicher Raum","Ostdeutschland","27054.92","20204.5","5197","26219.52","27890.32"
"2010","Laendlicher Raum","Westdeutschland","36183.24","33617","7945","35427.45","36939.03"
"2010","Staedtischer Raum","Ostdeutschland","27074.23","19180","2733","25690.52","28457.94"
"2010","Staedtischer Raum","Westdeutschland","39983.43","34207","21593","39374.22","40592.64"
"2011","Laendlicher Raum","Ostdeutschland","28219.44","21926.5","5936","27362.73","29076.15"
"2011","Laendlicher Raum","Westdeutschland","39100.33","35373.5","9885","38386.8","39813.86"
"2011","Staedtischer Raum","Ostdeutschland","27494.21","20403.5","3210","26400.51","28587.91"
"2011","Staedtischer Raum","Westdeutschland","41667.68","34795","24970","41064.7","42270.66"
"2012","Laendlicher Raum","Ostdeutschland","28210.04","21590","5795","27361.14","29058.94"
"2012","Laendlicher Raum","Westdeutschland","38790.32","34789","9660","38066.77","39513.87"
"2012","Staedtischer Raum","Ostdeutschland","29709.45","20702.5","3075","28473.54","30945.36"
"2012","Staedtischer Raum","Westdeutschland","42826.47","35992.5","23876","42109.42","43543.52"
"2013","Laendlicher Raum","Ostdeutschland","29080.85","23059.5","5702","28222.58","29939.12"
"2013","Laendlicher Raum","Westdeutschland","39081.27","34449","10450","38320.94","39841.6"
"2013","Staedtischer Raum","Ostdeutschland","30761.62","22300","3134","29542.47","31980.77"
"2013","Staedtischer Raum","Westdeutschland","43172.39","35399","28379","42573.87","43770.91"
"2014","Laendlicher Raum","Ostdeutschland","29480.91","23431","5192","28574.31","30387.51"
"2014","Laendlicher Raum","Westdeutschland","39059.22","33649.5","9172","38227.45","39890.99"
"2014","Staedtischer Raum","Ostdeutschland","31394.01","21992","2830","30146.57","32641.45"
"2014","Staedtischer Raum","Westdeutschland","43989.21","36190","24313","43295.57","44682.85"
"2015","Laendlicher Raum","Ostdeutschland","29730.6","22384","4945","28809.24","30651.96"
"2015","Laendlicher Raum","Westdeutschland","40579.24","34854","9179","39794.19","41364.29"
"2015","Staedtischer Raum","Ostdeutschland","32082.39","23845","2778","30851.18","33313.6"
"2015","Staedtischer Raum","Westdeutschland","44362.73","37190","24150","43717.83","45007.63"
"2016","Laendlicher Raum","Ostdeutschland","32642.43","25755","4616","31292.71","33992.15"
"2016","Laendlicher Raum","Westdeutschland","42449.83","36291.5","8166","41430.1","43469.56"
"2016","Staedtischer Raum","Ostdeutschland","34044.36","25625.5","2539","32470.68","35618.04"
"2016","Staedtischer Raum","Westdeutschland","45822.09","38666","21469","45045.74","46598.44"
"2017","Laendlicher Raum","Ostdeutschland","33391.47","26100.5","5574","32447.15","34335.79"
"2017","Laendlicher Raum","Westdeutschland","44144.85","38825","9617","43235.96","45053.74"
"2017","Staedtischer Raum","Ostdeutschland","35394.44","29116.5","3075","34000.94","36787.94"
"2017","Staedtischer Raum","Westdeutschland","46840.06","39580","26381","46180.68","47499.44"
"2018","Laendlicher Raum","Ostdeutschland","33763.03","26337","5639","32803.75","34722.31"
"2018","Laendlicher Raum","Westdeutschland","44693.17","39400.5","9713","43833.08","45553.26"
"2018","Staedtischer Raum","Ostdeutschland","36069.58","29750","3334","34669.92","37469.24"
"2018","Staedtischer Raum","Westdeutschland","48068.56","39926","27800","47379.27","48757.85"
"2019","Laendlicher Raum","Ostdeutschland","36791.76","30165.5","5877","35161.15","38422.37"
"2019","Laendlicher Raum","Westdeutschland","47041.93","41519","9618","45810.28","48273.58"
"2019","Staedtischer Raum","Ostdeutschland","39578.45","35868","3367","37176.99","41979.91"
"2019","Staedtischer Raum","Westdeutschland","50914.97","42525","27849","49903.67","51926.27"
"2020","Laendlicher Raum","Ostdeutschland","38167.65","31199.5","5528","36739.3","39596"
"2020","Laendlicher Raum","Westdeutschland","49369.67","43333.5","9668","46541.52","52197.82"
"2020","Staedtischer Raum","Ostdeutschland","40824.34","38000","3266","38630.94","43017.74"
"2020","Staedtischer Raum","Westdeutschland","54191.61","44988","28088","52781.82","55601.4"
