year,quintil_oecd_hh,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,1st Quintile,No,0.94984,4699,4814,0.94367,0.95600
2017,2nd Quintile,Yes,0.02849,69,3305,0.02282,0.03417
2017,2nd Quintile,No,0.97151,3236,3305,0.96583,0.97718
2017,3rd Quintile,No,0.99249,3047,3047,0.98942,0.99556
2017,4th Quintile,No,0.99297,2977,2977,0.98997,0.99597
2017,5th Quintile,No,0.99727,3049,3049,0.99542,0.99913
2018,1st Quintile,Yes,0.05477,150,5328,0.04866,0.06088
2018,1st Quintile,No,0.94523,5178,5328,0.93912,0.95134
2018,2nd Quintile,Yes,0.02188,63,3416,0.01697,0.02679
2018,2nd Quintile,No,0.97812,3353,3416,0.97321,0.98303
2018,3rd Quintile,Yes,0.01096,36,2969,0.00721,0.01471
2018,3rd Quintile,No,0.98904,2933,2969,0.98529,0.99279
2018,4th Quintile,No,0.99337,2858,2858,0.99039,0.99634
2018,5th Quintile,No,0.99701,2980,2980,0.99505,0.99897
2019,1st Quintile,Yes,0.06145,157,5017,0.05480,0.06809
2019,1st Quintile,No,0.93855,4860,5017,0.93191,0.94520
2019,2nd Quintile,Yes,0.01929,52,3132,0.01447,0.02410
2019,2nd Quintile,No,0.98071,3080,3132,0.97590,0.98553
2019,3rd Quintile,Yes,0.01816,39,2874,0.01328,0.02305
2019,3rd Quintile,No,0.98184,2835,2874,0.97695,0.98672
2019,4th Quintile,No,0.99138,2883,2883,0.98800,0.99475
2019,5th Quintile,No,0.99687,4317,4317,0.99520,0.99854
2020,1st Quintile,Yes,0.06622,143,6022,0.05994,0.07250
2020,1st Quintile,No,0.93378,5879,6022,0.92750,0.94006
2020,2nd Quintile,Yes,0.02236,61,3457,0.01743,0.02729
2020,2nd Quintile,No,0.97764,3396,3457,0.97271,0.98257
2020,3rd Quintile,Yes,0.01025,32,2855,0.00655,0.01394
2020,3rd Quintile,No,0.98975,2823,2855,0.98606,0.99345
2020,4th Quintile,No,0.99625,2810,2810,0.99400,0.99851
2020,5th Quintile,No,0.99742,3693,3693,0.99579,0.99906
2021,1st Quintile,Yes,0.04128,79,3200,0.03438,0.04817
2021,1st Quintile,No,0.95872,3121,3200,0.95183,0.96562
2021,2nd Quintile,Yes,0.02118,43,2353,0.01536,0.02700
2021,2nd Quintile,No,0.97882,2310,2353,0.97300,0.98464
2021,3rd Quintile,No,0.98438,2032,2032,0.97899,0.98977
2021,4th Quintile,Yes,0.01369,31,2084,0.00870,0.01868
2021,4th Quintile,No,0.98631,2053,2084,0.98132,0.99130
2021,5th Quintile,No,0.99467,2696,2696,0.99192,0.99742
2022,1st Quintile,Yes,0.03972,101,5177,0.03440,0.04504
2022,1st Quintile,No,0.96028,5076,5177,0.95496,0.96560
2022,2nd Quintile,Yes,0.02552,73,4128,0.02071,0.03033
2022,2nd Quintile,No,0.97448,4055,4128,0.96967,0.97929
2022,3rd Quintile,Yes,0.02061,52,3456,0.01587,0.02534
2022,3rd Quintile,No,0.97939,3404,3456,0.97466,0.98413
2022,4th Quintile,Yes,0.01103,40,3419,0.00752,0.01453
2022,4th Quintile,No,0.98897,3379,3419,0.98547,0.99248
2022,5th Quintile,Yes,0.00855,31,3796,0.00562,0.01147
2022,5th Quintile,No,0.99145,3765,3796,0.98853,0.99438
