year,quintil_oecd_hh,regtyp,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,5th Quintile,Urban regions,No,0.96199,2324,2324,0.95421,0.96976
2011,5th Quintile,Rural regions,No,0.95581,777,777,0.94136,0.97027
2012,1st Quintile,Urban regions,Yes,0.03656,48,2149,0.02862,0.04450
2012,1st Quintile,Urban regions,No,0.93080,2101,2149,0.92006,0.94153
2012,1st Quintile,Rural regions,No,0.93504,1345,1345,0.92187,0.94822
2012,2nd Quintile,Urban regions,Yes,0.02553,41,1987,0.01860,0.03247
2012,2nd Quintile,Urban regions,No,0.94666,1946,1987,0.93678,0.95654
2012,2nd Quintile,Rural regions,No,0.94665,1241,1241,0.93414,0.95916
2012,3rd Quintile,Urban regions,No,0.96246,1894,1894,0.95390,0.97102
2012,3rd Quintile,Rural regions,No,0.95643,1201,1201,0.94488,0.96798
2012,4th Quintile,Urban regions,No,0.96513,1898,1898,0.95687,0.97338
2012,4th Quintile,Rural regions,No,0.96661,1032,1032,0.95564,0.97758
2012,5th Quintile,Urban regions,No,0.96862,2263,2263,0.96144,0.97581
2012,5th Quintile,Rural regions,No,0.97440,816,816,0.96356,0.98524
2013,1st Quintile,Urban regions,Yes,0.03120,56,2719,0.02466,0.03774
2013,1st Quintile,Urban regions,No,0.93626,2663,2719,0.92708,0.94545
2013,1st Quintile,Rural regions,No,0.92382,1418,1418,0.91001,0.93763
2013,2nd Quintile,Urban regions,Yes,0.02734,48,2356,0.02075,0.03392
2013,2nd Quintile,Urban regions,No,0.94861,2308,2356,0.93969,0.95753
2013,2nd Quintile,Rural regions,No,0.94066,1408,1408,0.92832,0.95301
2013,3rd Quintile,Urban regions,No,0.95643,2094,2094,0.94769,0.96518
2013,3rd Quintile,Rural regions,No,0.96277,1183,1183,0.95198,0.97357
2013,4th Quintile,Urban regions,No,0.97578,1999,1999,0.96904,0.98252
2013,4th Quintile,Rural regions,No,0.97023,1025,1025,0.95982,0.98064
2013,5th Quintile,Urban regions,No,0.97103,2413,2413,0.96434,0.97773
2013,5th Quintile,Rural regions,No,0.96913,760,760,0.95682,0.98144
2014,1st Quintile,Urban regions,Yes,0.03403,60,2211,0.02647,0.04159
2014,1st Quintile,Urban regions,No,0.95259,2151,2211,0.94373,0.96145
2014,1st Quintile,Rural regions,Yes,0.03251,31,1213,0.02253,0.04250
2014,1st Quintile,Rural regions,No,0.94405,1182,1213,0.93111,0.95699
2014,2nd Quintile,Urban regions,Yes,0.03313,50,2013,0.02531,0.04095
2014,2nd Quintile,Urban regions,No,0.95148,1963,2013,0.94209,0.96087
2014,2nd Quintile,Rural regions,No,0.96746,1260,1260,0.95766,0.97726
2014,3rd Quintile,Urban regions,No,0.97748,1903,1903,0.97081,0.98414
2014,3rd Quintile,Rural regions,No,0.97065,1142,1142,0.96086,0.98044
2014,4th Quintile,Urban regions,No,0.97656,1905,1905,0.96976,0.98335
2014,4th Quintile,Rural regions,No,0.96445,956,956,0.95271,0.97620
2014,5th Quintile,Urban regions,No,0.98887,2233,2233,0.98452,0.99322
2014,5th Quintile,Rural regions,No,0.96724,741,741,0.95441,0.98007
2015,1st Quintile,Urban regions,Yes,0.04485,61,2270,0.03633,0.05337
2015,1st Quintile,Urban regions,No,0.92404,2209,2270,0.91314,0.93494
2015,1st Quintile,Rural regions,Yes,0.03306,31,1203,0.02295,0.04316
2015,1st Quintile,Rural regions,No,0.91224,1172,1203,0.89625,0.92824
2015,2nd Quintile,Urban regions,Yes,0.02734,44,2005,0.02020,0.03448
2015,2nd Quintile,Urban regions,No,0.93015,1961,2005,0.91899,0.94131
2015,2nd Quintile,Rural regions,No,0.93921,1262,1262,0.92603,0.95240
2015,3rd Quintile,Urban regions,No,0.95705,1843,1843,0.94779,0.96631
2015,3rd Quintile,Rural regions,No,0.95247,1063,1063,0.93967,0.96527
2015,4th Quintile,Urban regions,No,0.97386,1807,1807,0.96650,0.98122
2015,4th Quintile,Rural regions,No,0.92918,926,926,0.91264,0.94571
2015,5th Quintile,Urban regions,No,0.98479,2186,2186,0.97965,0.98992
2015,5th Quintile,Rural regions,No,0.96969,714,714,0.95710,0.98227
2016,1st Quintile,Urban regions,Yes,0.03901,58,1973,0.03047,0.04756
2016,1st Quintile,Urban regions,No,0.92276,1915,1973,0.91097,0.93454
2016,1st Quintile,Rural regions,Yes,0.03651,36,1094,0.02539,0.04763
2016,1st Quintile,Rural regions,No,0.90922,1058,1094,0.89219,0.92625
2016,2nd Quintile,Urban regions,Yes,0.03900,44,1829,0.03012,0.04787
2016,2nd Quintile,Urban regions,No,0.94226,1785,1829,0.93157,0.95295
2016,2nd Quintile,Rural regions,No,0.96214,1151,1151,0.95111,0.97317
2016,3rd Quintile,Urban regions,No,0.97241,1681,1681,0.96457,0.98024
2016,3rd Quintile,Rural regions,No,0.95618,982,982,0.94337,0.96899
2016,4th Quintile,Urban regions,No,0.98376,1729,1729,0.97780,0.98972
2016,4th Quintile,Rural regions,No,0.96147,871,871,0.94868,0.97426
2016,5th Quintile,Urban regions,No,0.98449,2018,2018,0.97910,0.98989
2016,5th Quintile,Rural regions,No,0.97306,685,685,0.96092,0.98519
2017,1st Quintile,Urban regions,Yes,0.05208,76,3164,0.04434,0.05982
2017,1st Quintile,Urban regions,No,0.92009,3088,3164,0.91064,0.92954
2017,1st Quintile,Rural regions,Yes,0.04151,39,1650,0.03188,0.05113
2017,1st Quintile,Rural regions,No,0.92532,1611,1650,0.91263,0.93801
2017,2nd Quintile,Urban regions,Yes,0.03168,48,2015,0.02403,0.03933
2017,2nd Quintile,Urban regions,No,0.95531,1967,2015,0.94629,0.96434
2017,2nd Quintile,Rural regions,No,0.96074,1269,1269,0.95005,0.97143
2017,3rd Quintile,Urban regions,No,0.98065,1876,1876,0.97442,0.98689
2017,3rd Quintile,Rural regions,No,0.98162,1171,1171,0.97393,0.98932
2017,4th Quintile,Urban regions,No,0.97357,1979,1979,0.96650,0.98064
2017,4th Quintile,Rural regions,No,0.96284,998,998,0.95110,0.97458
2017,5th Quintile,Urban regions,No,0.98473,2293,2293,0.97971,0.98975
2017,5th Quintile,Rural regions,No,0.98427,756,756,0.97539,0.99314
2018,1st Quintile,Urban regions,Yes,0.05757,99,3568,0.04992,0.06521
2018,1st Quintile,Urban regions,No,0.93399,3469,3568,0.92584,0.94213
2018,1st Quintile,Rural regions,Yes,0.04609,51,1760,0.03629,0.05589
2018,1st Quintile,Rural regions,No,0.91851,1709,1760,0.90572,0.93130
2018,2nd Quintile,Urban regions,Yes,0.02444,44,2140,0.01790,0.03099
2018,2nd Quintile,Urban regions,No,0.96583,2096,2140,0.95813,0.97353
2018,2nd Quintile,Rural regions,No,0.95893,1257,1257,0.94796,0.96991
2018,3rd Quintile,Urban regions,No,0.97248,1856,1856,0.96504,0.97992
2018,3rd Quintile,Rural regions,No,0.98254,1077,1077,0.97471,0.99036
2018,4th Quintile,Urban regions,No,0.99017,1912,1912,0.98575,0.99460
2018,4th Quintile,Rural regions,No,0.96990,946,946,0.95901,0.98080
2018,5th Quintile,Urban regions,No,0.98934,2220,2220,0.98506,0.99361
2018,5th Quintile,Rural regions,No,0.98319,760,760,0.97404,0.99233
2019,1st Quintile,Urban regions,Yes,0.07060,105,3330,0.06190,0.07930
2019,1st Quintile,Urban regions,No,0.91758,3225,3330,0.90824,0.92692
2019,1st Quintile,Rural regions,Yes,0.03898,46,1579,0.02943,0.04853
2019,1st Quintile,Rural regions,No,0.93773,1533,1579,0.92580,0.94965
2019,2nd Quintile,Urban regions,Yes,0.01974,33,1854,0.01340,0.02607
2019,2nd Quintile,Urban regions,No,0.96806,1821,1854,0.96005,0.97607
2019,2nd Quintile,Rural regions,No,0.96009,1164,1164,0.94884,0.97134
2019,3rd Quintile,Urban regions,No,0.97279,1744,1744,0.96515,0.98042
2019,3rd Quintile,Rural regions,No,0.97571,1014,1014,0.96622,0.98519
2019,4th Quintile,Urban regions,No,0.97379,1840,1840,0.96649,0.98109
2019,4th Quintile,Rural regions,No,0.98432,969,969,0.97649,0.99215
2019,5th Quintile,Urban regions,No,0.99436,3074,3074,0.99171,0.99701
2019,5th Quintile,Rural regions,No,0.98577,1136,1136,0.97888,0.99266
2020,1st Quintile,Urban regions,Yes,0.07607,107,4339,0.06818,0.08395
2020,1st Quintile,Urban regions,No,0.89196,4232,4339,0.88272,0.90119
2020,1st Quintile,Rural regions,Yes,0.03735,36,1683,0.02829,0.04641
2020,1st Quintile,Rural regions,No,0.92851,1647,1683,0.91620,0.94082
2020,2nd Quintile,Urban regions,Yes,0.02304,39,2205,0.01678,0.02930
2020,2nd Quintile,Urban regions,No,0.95516,2166,2205,0.94652,0.96380
2020,2nd Quintile,Rural regions,No,0.95265,1230,1230,0.94078,0.96453
2020,3rd Quintile,Urban regions,No,0.95866,1829,1829,0.94953,0.96779
2020,3rd Quintile,Rural regions,No,0.96865,994,994,0.95781,0.97949
2020,4th Quintile,Urban regions,No,0.98009,1893,1893,0.97379,0.98638
2020,4th Quintile,Rural regions,No,0.98496,917,917,0.97708,0.99284
2020,5th Quintile,Urban regions,No,0.98276,2726,2726,0.97787,0.98765
2020,5th Quintile,Rural regions,No,0.99311,967,967,0.98790,0.99833
2021,1st Quintile,Urban regions,Yes,0.04536,55,2277,0.03681,0.05391
2021,1st Quintile,Urban regions,No,0.94986,2222,2277,0.94089,0.95882
2021,1st Quintile,Rural regions,No,0.93987,898,898,0.92431,0.95542
2021,2nd Quintile,Urban regions,No,0.96754,1450,1450,0.95842,0.97667
2021,2nd Quintile,Rural regions,No,0.97626,860,860,0.96608,0.98644
2021,3rd Quintile,Urban regions,No,0.96683,1313,1313,0.95714,0.97652
2021,3rd Quintile,Rural regions,No,0.98579,719,719,0.97713,0.99445
2021,4th Quintile,Urban regions,No,0.97605,1380,1380,0.96798,0.98412
2021,4th Quintile,Rural regions,No,0.98926,673,673,0.98146,0.99705
2021,5th Quintile,Urban regions,No,0.98595,2013,2013,0.98081,0.99109
2021,5th Quintile,Rural regions,No,0.98404,683,683,0.97463,0.99344
2022,1st Quintile,Urban regions,Yes,0.04319,68,3591,0.03654,0.04984
2022,1st Quintile,Urban regions,No,0.93325,3523,3591,0.92509,0.94142
2022,1st Quintile,Rural regions,Yes,0.02825,33,1586,0.02010,0.03641
2022,1st Quintile,Rural regions,No,0.94685,1553,1586,0.93581,0.95790
2022,2nd Quintile,Urban regions,Yes,0.02095,49,2758,0.01560,0.02629
2022,2nd Quintile,Urban regions,No,0.96244,2709,2758,0.95534,0.96953
2022,2nd Quintile,Rural regions,No,0.95596,1346,1346,0.94499,0.96692
2022,3rd Quintile,Urban regions,Yes,0.02148,32,2315,0.01557,0.02739
2022,3rd Quintile,Urban regions,No,0.96591,2283,2315,0.95851,0.97330
2022,3rd Quintile,Rural regions,No,0.96921,1121,1121,0.95909,0.97933
2022,4th Quintile,Urban regions,No,0.97551,2330,2330,0.96923,0.98179
2022,4th Quintile,Rural regions,No,0.97051,1049,1049,0.96027,0.98075
2022,5th Quintile,Urban regions,No,0.97658,2751,2751,0.97093,0.98224
2022,5th Quintile,Rural regions,No,0.98140,1014,1014,0.97309,0.98972
