year,bula_h,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1991,Berlin,female,,,,,,,,,,,,
1991,Brandenburg,male,82,37.56716432923773,28.530204558914548,46.604124099560906,10.0,15.006372466502029,25.0,1.0,47.5,15.0,10.0,18.0
1991,Brandenburg,female,58,13.832273135297015,12.21500948515232,15.44953678544171,5.636315482844559,9.716234150223036,15.0,3.0,29.045526775733162,10.0,8.0,13.0
1991,Mecklenburg-Western Pomerania,male,59,64.30696185637055,50.190994981650405,78.42292873109069,8.470754171906332,16.0,67.87085030784587,2.0,156.97099451175518,16.0,2.0,20.0
1991,Mecklenburg-Western Pomerania,female,32,17.30491824020504,12.108950264651202,22.50088621575888,7.419170174671705,12.0,16.613176157247516,2.0,30.40418513111123,12.0,9.0,15.0
1991,Saxony,male,157,47.330998987033894,36.968553278764915,57.69344469530287,6.0,10.0,20.0,1.0,41.0,10.0,6.0,11.0
1991,Saxony,female,82,19.406899034304438,14.46190992365272,24.351888144956156,6.0,10.0,15.0,0.0,28.5,10.0,10.0,12.0
1991,Saxony-Anhalt,male,106,70.57744886318241,56.260819545156274,84.89407818120856,7.792741569933587,12.0,25.0,2.0,50.81088764509962,12.0,9.0,14.0
1991,Saxony-Anhalt,female,51,15.941243462394576,12.95559626640856,18.92689065838059,8.0,10.0,15.0,2.0,25.5,10.0,5.0,10.0
1991,Thuringa,male,114,56.68108220915345,47.00435442409641,66.35780999421048,6.0,10.0,25.0,1.0,53.5,10.0,4.0,10.0
1991,Thuringa,female,61,14.458469981845333,11.055820389051107,17.86111957463956,5.0,7.0,13.07425057322261,2.0,25.185626433056527,7.0,5.0,9.0
1992,Schleswig-Holstein,male,,,,,,,,,,,,
1992,Schleswig-Holstein,female,,,,,,,,,,,,
1992,Hamburg,male,,,,,,,,,,,,
1992,Hamburg,female,,,,,,,,,,,,
1992,Lower Saxony,male,,,,,,,,,,,,
1992,Lower Saxony,female,,,,,,,,,,,,
1992,Bremen,male,,,,,,,,,,,,
1992,Bremen,female,,,,,,,,,,,,
1992,North Rhine-Westphalia,male,,,,,,,,,,,,
1992,North Rhine-Westphalia,female,,,,,,,,,,,,
1992,Hesse,male,,,,,,,,,,,,
1992,Hesse,female,,,,,,,,,,,,
1992,"Rhineland-Palatinate, Saarland",male,,,,,,,,,,,,
1992,"Rhineland-Palatinate, Saarland",female,,,,,,,,,,,,
1992,Baden-Wuerttemberg,male,,,,,,,,,,,,
1992,Baden-Wuerttemberg,female,,,,,,,,,,,,
1992,Bavaria,male,,,,,,,,,,,,
1992,Bavaria,female,,,,,,,,,,,,
1992,Berlin,male,,,,,,,,,,,,
1992,Berlin,female,,,,,,,,,,,,
1992,Brandenburg,male,81,28.73351728574647,25.16311820266276,32.30391636883018,11.0,19.0,29.417984998118758,1.0,57.0449624952969,19.0,16.0,23.0
1992,Brandenburg,female,56,17.469001359949154,10.450439893173673,24.487562826724634,6.0,10.0,13.94214007892572,3.0,25.8553501973143,10.0,8.0,13.0
1992,Mecklenburg-Western Pomerania,male,52,96.48813745040734,73.81435952105343,119.16191537976124,12.0,20.0,91.22730408156364,3.0,210.06826020390912,20.0,-5.0,25.0
1992,Mecklenburg-Western Pomerania,female,31,16.223067747569026,12.993317313096057,19.452818182041995,7.0,10.0,15.0,2.0,27.0,10.0,7.0,13.0
1992,Saxony,male,143,48.42043331665021,38.781960973039055,58.05890566026137,6.980229051954782,11.749991785108525,20.0,3.0,39.52965642206782,12.0,9.0,15.0
1992,Saxony,female,76,23.27607471958856,14.742811225710426,31.809338213466695,7.813779501011465,12.0,15.746617278435473,2.0,27.645873944571484,12.0,9.0,16.0
1992,Saxony-Anhalt,male,86,49.132477424544696,37.408525141470086,60.856429707619306,9.0,14.590377619280757,25.0,2.0,49.0,15.0,14.0,20.0
1992,Saxony-Anhalt,female,58,23.10910773795999,15.846121985091994,30.37209349082799,7.0,11.333062819221642,20.07342536214262,3.0,39.68356340535655,11.0,7.0,14.0
1992,Thuringa,male,98,48.349423720736404,38.249249762523085,58.44959767894972,7.0,12.0,25.0,1.0,52.0,12.0,7.974999999999994,14.0
1992,Thuringa,female,58,15.867515664713414,13.060616884021577,18.67441444540525,5.0,9.0,20.0,2.0,42.5,9.0,3.0,11.0
1993,Schleswig-Holstein,male,81,21.1855727608728,18.571574534479836,23.799570987265767,5.0,13.0,25.0,0.0,55.0,13.0,8.0,16.0
1993,Schleswig-Holstein,female,77,11.969324991809392,10.620855907998685,13.3177940756201,3.0,6.499895357629571,19.68348515906328,0.0,44.7087128976582,6.0,1.0,8.0
1993,Hamburg,male,34,10.68627635757959,9.531262542158805,11.841290173000376,5.806815555166585,8.026170464178849,15.0,0.0,28.789776667250123,8.0,3.924999999999983,9.0
1993,Hamburg,female,36,9.994084249943441,8.77711918553039,11.211049314356492,5.0,8.0,15.0,0.0,30.0,8.0,1.0,11.0
1993,Lower Saxony,male,296,15.00516937400387,13.994150400533211,16.01618834747453,3.0,8.0,20.0,0.0,45.5,8.0,6.0,9.0
1993,Lower Saxony,female,215,8.029206659462217,7.301266299476855,8.75714701944758,1.6797233919725192,5.0,10.0,0.0,22.48041491204122,5.0,4.0,6.0249999999999995
1993,Bremen,male,,,,,,,,,,,,
1993,Bremen,female,,,,,,,,,,,,
1993,North Rhine-Westphalia,male,782,13.66506634152576,13.163646266397672,14.166486416653848,4.0,9.0,20.0,0.0,44.0,9.0,8.0,11.0
1993,North Rhine-Westphalia,female,548,8.762917283892962,8.29470309337164,9.231131474414285,2.0,5.0,12.0,0.0,27.0,5.0,4.0,5.0249999999999995
1993,Hesse,male,293,16.290891716070576,15.435516784868412,17.14626664727274,4.0,10.950517244828394,25.0,0.0,56.5,11.0,7.0,14.0
1993,Hesse,female,225,9.397469615973966,8.677830408938801,10.117108823009131,1.0,5.0,14.0,0.0,33.5,5.0,3.0,6.0
1993,"Rhineland-Palatinate, Saarland",male,183,15.198875418135005,13.85488200864204,16.54286882762797,3.0,10.0,20.0,0.0,45.5,10.0,6.0,12.024999999999999
1993,"Rhineland-Palatinate, Saarland",female,133,8.814781970113769,7.891714488362316,9.737849451865221,1.2043814759317075,5.0,11.0,0.0,25.69342778610244,5.0,4.0,6.0
1993,Baden-Wuerttemberg,male,580,11.035343805385082,10.572697344741059,11.497990266029106,3.0,7.0,15.0,0.0,33.0,7.0,5.0,8.0
1993,Baden-Wuerttemberg,female,424,9.29130504944172,8.743157337351331,9.839452761532108,1.0,5.0,14.0,0.0,33.5,5.0,4.0,6.0
1993,Bavaria,male,505,14.012005576301263,13.332382593536028,14.691628559066498,3.206722475820805,9.0,20.0,0.0,45.1899162862688,9.0,8.0,11.0
1993,Bavaria,female,396,11.447443672264068,10.657364378955391,12.237522965572746,2.0,6.37708343718445,15.0,0.0,34.5,7.0,6.0,9.0
1993,Berlin,male,156,13.008734049947945,12.184664819496092,13.832803280399798,5.0,10.0,18.277943994990316,0.0,38.194859987475795,10.0,8.0,11.0
1993,Berlin,female,154,10.160827527486735,9.582614544256376,10.739040510717093,3.0,10.0,15.0,0.0,33.0,10.0,10.0,12.0
1993,Brandenburg,male,159,11.638642163719744,10.51611317314881,12.761171154290679,2.0,5.0,15.462638614791922,0.0,35.656596536979805,5.0,2.0,7.0
1993,Brandenburg,female,157,7.5508058098425215,6.739934016421972,8.36167760326307,1.0,4.0,8.0,0.0,18.5,4.0,3.0,5.0
1993,Mecklenburg-Western Pomerania,male,94,12.45934201930765,10.76737483925817,14.15130919935713,2.0,6.36042804855798,16.43109389995595,0.0,38.07773474988987,6.0,2.0,8.0
1993,Mecklenburg-Western Pomerania,female,89,8.689387742345904,7.03461616996627,10.344159314725538,2.0,5.0,10.0,0.0,22.0,5.0,3.0,8.0
1993,Saxony,male,282,8.208442992822592,7.628327164825052,8.788558820820132,1.0,5.0,10.0,0.0,23.5,5.0,4.0,6.0
1993,Saxony,female,276,5.9999862600118945,5.60853777854015,6.391434741483639,1.0,4.0,8.0,0.0,18.5,4.0,3.0,5.0
1993,Saxony-Anhalt,male,191,10.083789440955345,8.946193544390969,11.22138533751972,2.0,5.0,12.0,0.0,27.0,5.0,4.0,7.0
1993,Saxony-Anhalt,female,188,7.672324068555704,6.8317279135087965,8.512920223602611,1.0,2.1952619127739075,8.0,0.0,18.5,2.0,0.0,2.0
1993,Thuringa,male,168,8.789204218641565,8.11046191034466,9.467946526938471,2.0,5.0,12.0,0.0,27.0,5.0,3.0,5.0249999999999995
1993,Thuringa,female,161,5.402470196835122,4.880414140458276,5.924526253211967,1.0,2.0,8.0,0.0,18.5,2.0,0.0,2.0
1994,Schleswig-Holstein,male,,,,,,,,,,,,
1994,Schleswig-Holstein,female,,,,,,,,,,,,
1994,Hamburg,male,,,,,,,,,,,,
1994,Hamburg,female,,,,,,,,,,,,
1994,Lower Saxony,male,,,,,,,,,,,,
1994,Lower Saxony,female,,,,,,,,,,,,
1994,Bremen,male,,,,,,,,,,,,
1994,Bremen,female,,,,,,,,,,,,
1994,North Rhine-Westphalia,male,,,,,,,,,,,,
1994,North Rhine-Westphalia,female,,,,,,,,,,,,
1994,Hesse,male,,,,,,,,,,,,
1994,Hesse,female,,,,,,,,,,,,
1994,"Rhineland-Palatinate, Saarland",male,,,,,,,,,,,,
1994,"Rhineland-Palatinate, Saarland",female,,,,,,,,,,,,
1994,Baden-Wuerttemberg,male,,,,,,,,,,,,
1994,Baden-Wuerttemberg,female,,,,,,,,,,,,
1994,Bavaria,male,,,,,,,,,,,,
1994,Bavaria,female,,,,,,,,,,,,
1994,Berlin,male,,,,,,,,,,,,
1994,Berlin,female,,,,,,,,,,,,
1994,Brandenburg,male,,,,,,,,,,,,
1994,Brandenburg,female,,,,,,,,,,,,
1994,Mecklenburg-Western Pomerania,male,,,,,,,,,,,,
1994,Mecklenburg-Western Pomerania,female,,,,,,,,,,,,
1994,Saxony,male,,,,,,,,,,,,
1994,Saxony,female,,,,,,,,,,,,
1994,Saxony-Anhalt,male,,,,,,,,,,,,
1994,Saxony-Anhalt,female,,,,,,,,,,,,
1994,Thuringa,male,,,,,,,,,,,,
1994,Thuringa,female,,,,,,,,,,,,
1995,Schleswig-Holstein,male,87,23.440521189868228,20.637749578350196,26.24329280138626,5.0,13.0,32.87676142716434,0.0,74.69190356791086,13.0,4.0,16.0
1995,Schleswig-Holstein,female,68,12.922782878558973,11.112429591509887,14.733136165608059,3.0,5.4926842031114775,19.250060113444864,0.0,43.62515028361216,5.0,0.0,6.0
1995,Hamburg,male,38,14.620333831515369,12.677164935148374,16.563502727882366,6.086979017416495,10.627484837883541,20.0,1.0,40.869531473875256,10.0,2.0,12.0
1995,Hamburg,female,34,13.138505844665955,11.5956678754425,14.681343813889411,4.244334374049517,10.591277201140516,24.73248336246372,0.0,30.0,12.0,4.0,19.0
1995,Lower Saxony,male,318,18.97879711914536,16.99902431452481,20.958569923765907,3.0,10.0,24.208142645705642,0.0,56.0203566142641,10.0,8.0,12.0
1995,Lower Saxony,female,227,9.508724546760149,8.847444176837364,10.170004916682934,2.0,6.0,14.76519513438022,0.0,33.912987835950545,6.0,5.0,8.0
1995,Bremen,male,,,,,,,,,,,,
1995,Bremen,female,,,,,,,,,,,,
1995,North Rhine-Westphalia,male,815,15.409336748390372,14.762082859758483,16.05659063702226,4.0,10.0,20.0,0.0,44.0,10.0,10.0,12.0
1995,North Rhine-Westphalia,female,594,10.842376530622165,10.247700240171843,11.437052821072486,3.0,6.0,14.0,0.0,30.5,6.0,5.0,7.0
1995,Hesse,male,295,16.38438134455337,15.388401173039268,17.38036151606747,3.0,10.0,25.0,0.0,58.0,10.0,5.0,12.0
1995,Hesse,female,224,10.679522870889892,9.839095998689276,11.519949743090509,2.0,6.0,15.0,0.0,34.5,6.0,4.0,7.0
1995,"Rhineland-Palatinate, Saarland",male,202,17.771588687422174,16.26932937827644,19.27384799656791,4.0,12.0,23.0,0.0,51.5,12.0,9.0,16.0
1995,"Rhineland-Palatinate, Saarland",female,158,8.734101676388738,8.041336713813084,9.426866638964391,1.5389473193495313,5.417354316521683,12.0,0.0,27.691579020975702,5.0,2.0,6.0
1995,Baden-Wuerttemberg,male,549,13.31637232402669,12.5918447729778,14.04089987507558,3.0,8.0,16.0,0.0,35.5,8.0,6.0,9.024999999999999
1995,Baden-Wuerttemberg,female,436,9.131889892976027,8.581329505318852,9.682450280633201,2.0,5.0,12.0,0.0,27.0,5.0,4.974999999999994,6.0
1995,Bavaria,male,531,14.84092794456675,14.132019299532917,15.549836589600584,4.0,10.0,20.0,0.0,44.0,10.0,10.0,12.0
1995,Bavaria,female,401,11.634165611629966,10.863635223590878,12.404695999669054,2.0,7.0,15.0,0.0,34.5,7.0,6.0,8.0
1995,Berlin,male,140,15.073437317108874,14.017299082446767,16.129575551770984,6.0,12.0,20.0,0.0,41.0,12.0,9.0,15.0
1995,Berlin,female,142,12.871279961368762,11.250149638151601,14.492410284585922,5.0,10.0,15.0,0.0,30.0,10.0,8.0,12.0
1995,Brandenburg,male,170,19.334167170880775,15.176046206912785,23.492288134848764,2.0,6.0,19.339373219483434,0.0,45.348433048708586,6.0,3.9499999999999886,8.0
1995,Brandenburg,female,153,9.888327712509163,8.547976735799288,11.228678689219038,1.0,4.0,10.0,0.0,23.5,4.0,3.0,5.0
1995,Mecklenburg-Western Pomerania,male,123,26.435591520167474,19.703002651472293,33.16818038886266,3.0,7.0,16.61590836112727,0.0,37.03977090281818,7.0,2.0,9.0
1995,Mecklenburg-Western Pomerania,female,106,12.138033065592275,9.179478403502394,15.096587727682156,2.0,6.0,14.293291819875098,0.0,32.73322954968775,6.0,3.0,7.0
1995,Saxony,male,288,10.432201120512813,9.620056864210667,11.244345376814959,2.0,7.0,12.33012281221517,0.0,27.82530703053792,7.0,6.0,9.0
1995,Saxony,female,277,9.63029769133974,8.438791395747442,10.821803986932037,2.0,5.0,12.0,0.0,27.0,5.0,4.0,7.0
1995,Saxony-Anhalt,male,185,17.119378517822362,12.852993280722284,21.38576375492244,2.0,5.0,14.531106495297676,0.0,33.32776623824419,5.0,0.0,6.0
1995,Saxony-Anhalt,female,177,9.355330273690143,8.258551302622227,10.45210924475806,2.0,5.0,12.757117395624652,0.0,28.89279348906163,5.0,4.0,7.0
1995,Thuringa,male,173,14.159838440989613,11.87950160843628,16.44017527354295,2.0,6.0,13.0,0.0,29.5,6.0,5.0,8.0
1995,Thuringa,female,164,9.523113971559354,7.646986757307224,11.399241185811483,1.0,4.0,10.0,0.0,23.5,4.0,3.0,6.0
1996,Schleswig-Holstein,male,,,,,,,,,,,,
1996,Schleswig-Holstein,female,,,,,,,,,,,,
1996,Hamburg,male,,,,,,,,,,,,
1996,Hamburg,female,,,,,,,,,,,,
1996,Lower Saxony,male,,,,,,,,,,,,
1996,Lower Saxony,female,,,,,,,,,,,,
1996,Bremen,male,,,,,,,,,,,,
1996,Bremen,female,,,,,,,,,,,,
1996,North Rhine-Westphalia,male,,,,,,,,,,,,
1996,North Rhine-Westphalia,female,,,,,,,,,,,,
