"year","regtyp","sex","mean","median","n","lower_confidence","upper_confidence"
"1997","Laendlicher Raum","maennlich","36.61","19.5","764","31.4","41.82"
"1997","Laendlicher Raum","weiblich","23.43","14.5","523","19.51","27.35"
"1997","Staedtischer Raum","maennlich","33.53","19.5","1197","29.72","37.34"
"1997","Staedtischer Raum","weiblich","22.35","14.5","726","19.6","25.1"
"1998","Laendlicher Raum","maennlich","18.74","10.5","1321","17.46","20.02"
"1998","Laendlicher Raum","weiblich","12.31","6.5","1127","11.3","13.32"
"1998","Staedtischer Raum","maennlich","16.3","9.5","2596","15.63","16.97"
"1998","Staedtischer Raum","weiblich","11.98","7.5","2099","11.37","12.59"
"1999","Laendlicher Raum","maennlich","35.42","19.5","836","30.49","40.35"
"1999","Laendlicher Raum","weiblich","24.8","14.5","656","20.9","28.7"
"1999","Staedtischer Raum","maennlich","31.06","19.5","1380","28.05","34.07"
"1999","Staedtischer Raum","weiblich","23.44","14.5","852","20.86","26.02"
"2000","Laendlicher Raum","maennlich","35.57","19.5","1447","31.75","39.39"
"2000","Laendlicher Raum","weiblich","21.4","14.5","1099","19.66","23.14"
"2000","Staedtischer Raum","maennlich","30.07","19.5","2334","27.74","32.4"
"2000","Staedtischer Raum","weiblich","21.3","14.5","1537","19.45","23.15"
"2001","Laendlicher Raum","maennlich","26.45","11.5","1908","22.97","29.93"
"2001","Laendlicher Raum","weiblich","13.97","6.5","1729","12.67","15.27"
"2001","Staedtischer Raum","maennlich","19.9","9.5","3922","18.37","21.43"
"2001","Staedtischer Raum","weiblich","12.36","6.5","3343","11.36","13.36"
"2002","Laendlicher Raum","maennlich","29.27","11.5","1947","25.24","33.3"
"2002","Laendlicher Raum","weiblich","14.2","6.5","1776","12.42","15.98"
"2002","Staedtischer Raum","maennlich","20.6","10.5","4175","18.96","22.24"
"2002","Staedtischer Raum","weiblich","12.99","6.5","3657","11.91","14.07"
"2003","Laendlicher Raum","maennlich","19.56","11.5","1882","18.1","21.02"
"2003","Laendlicher Raum","weiblich","14.39","7.5","1777","13.2","15.58"
"2003","Staedtischer Raum","maennlich","17.53","11.5","4043","16.76","18.3"
"2003","Staedtischer Raum","weiblich","12.44","7.5","3615","11.89","12.99"
"2004","Laendlicher Raum","maennlich","32.83","13.5","1733","28.93","36.73"
"2004","Laendlicher Raum","weiblich","16.13","7.5","1663","14.19","18.07"
"2004","Staedtischer Raum","maennlich","20.56","11.5","3749","18.97","22.15"
"2004","Staedtischer Raum","weiblich","13.73","7.5","3430","12.74","14.72"
"2005","Laendlicher Raum","maennlich","32.18","14.5","1576","28.08","36.28"
"2005","Laendlicher Raum","weiblich","15.99","7.5","1599","14.05","17.93"
"2005","Staedtischer Raum","maennlich","22.75","11.5","3536","20.68","24.82"
"2005","Staedtischer Raum","weiblich","13.82","7.5","3211","12.71","14.93"
"2006","Laendlicher Raum","maennlich","33.18","13.5","1772","29.28","37.08"
"2006","Laendlicher Raum","weiblich","17.46","7.5","1744","15.58","19.34"
"2006","Staedtischer Raum","maennlich","22.03","11.5","3661","20.1","23.96"
"2006","Staedtischer Raum","weiblich","13.47","7.5","3420","12.53","14.41"
"2007","Laendlicher Raum","maennlich","37.76","14.5","1698","33.28","42.24"
"2007","Laendlicher Raum","weiblich","18.21","7.5","1685","16.15","20.27"
"2007","Staedtischer Raum","maennlich","21.5","11.5","3412","19.67","23.33"
"2007","Staedtischer Raum","weiblich","13.46","7.5","3236","12.46","14.46"
"2008","Laendlicher Raum","maennlich","34.51","14.5","1596","30.01","39.01"
"2008","Laendlicher Raum","weiblich","17.57","7.5","1637","15.23","19.91"
"2008","Staedtischer Raum","maennlich","22.87","11.5","3257","20.74","25"
"2008","Staedtischer Raum","weiblich","14.14","7.5","3153","12.86","15.42"
"2009","Laendlicher Raum","maennlich","32.11","14.5","1524","27.54","36.68"
"2009","Laendlicher Raum","weiblich","18.03","7.5","1575","15.65","20.41"
"2009","Staedtischer Raum","maennlich","23.45","11.5","2948","21.19","25.71"
"2009","Staedtischer Raum","weiblich","14.23","7.5","2943","12.95","15.51"
"2010","Laendlicher Raum","maennlich","31.41","13.5","2172","27.92","34.9"
"2010","Laendlicher Raum","weiblich","18.83","7.5","2106","16.95","20.71"
"2010","Staedtischer Raum","maennlich","25.01","11.5","4092","23.12","26.9"
"2010","Staedtischer Raum","weiblich","14.1","7.5","3912","12.99","15.21"
"2011","Laendlicher Raum","maennlich","31.48","12.5","2597","28.22","34.74"
"2011","Laendlicher Raum","weiblich","17.48","7.5","2750","15.98","18.98"
"2011","Staedtischer Raum","maennlich","23.77","11.5","4679","21.93","25.61"
"2011","Staedtischer Raum","weiblich","14.18","7.5","4862","13.26","15.1"
