year,age_gr,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2015,30-45 y.,5836,16.504640387091403,15.927313731665814,17.08196704251699,4.0,10.0,20.0,0.0,44.0,10.0,10.0,10.0
2015,46-65 y.,5983,15.320998306502174,14.846094013681947,15.795902599322401,3.0,10.0,20.0,0.0,45.5,10.0,10.0,10.0
2015,66 and older,203,9.566126696656477,7.821507940431242,11.310745452881712,2.0,5.0,12.0,1.0,27.0,5.0,4.0,7.0
2016,0-16 y.,,,,,,,,,,,,
2016,17-29 y.,,,,,,,,,,,,
2016,30-45 y.,,,,,,,,,,,,
2016,46-65 y.,,,,,,,,,,,,
2016,66 and older,,,,,,,,,,,,
2017,0-16 y.,,,,,,,,,,,,
2017,17-29 y.,2490,15.004846131343816,14.329646556003661,15.680045706683972,4.0,10.0,20.0,1.0,44.0,10.0,10.0,11.0
2017,30-45 y.,5306,16.449944866036017,15.925913990075877,16.973975741996156,5.0,10.0,22.0,1.0,47.5,10.0,8.0,10.0
2017,46-65 y.,6799,15.595372018307636,15.12714469771293,16.063599338902343,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0
2017,66 and older,251,8.59861403781529,7.312575257033161,9.884652818597418,2.0,5.0,12.0,1.0,27.0,5.0,3.0,6.0
2018,0-16 y.,,,,,,,,,,,,
2018,17-29 y.,,,,,,,,,,,,
2018,30-45 y.,,,,,,,,,,,,
2018,46-65 y.,,,,,,,,,,,,
2018,66 and older,,,,,,,,,,,,
2019,0-16 y.,,,,,,,,,,,,
2019,17-29 y.,2257,14.471597749288168,13.831401799604947,15.11179369897139,4.0,10.0,20.0,1.0,44.0,10.0,10.0,12.0
2019,30-45 y.,4667,16.058739600696793,15.539577659210075,16.57790154218351,5.0,10.0,20.0,1.0,42.5,10.0,9.0,10.0
2019,46-65 y.,7254,15.299155699924768,14.893875236161406,15.70443616368813,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0
2019,66 and older,434,9.54686525350488,7.939805120794711,11.153925386215048,2.0,5.0,12.0,1.0,27.0,5.0,4.0,6.0
2020,0-16 y.,,,,,,,,,,,,
2020,17-29 y.,,,,,,,,,,,,
2020,30-45 y.,,,,,,,,,,,,
2020,46-65 y.,,,,,,,,,,,,
2020,66 and older,,,,,,,,,,,,
2021,0-16 y.,,,,,,,,,,,,
2021,17-29 y.,1793,16.41344442852981,15.471992583081425,17.3548962739782,4.0,10.0,22.0,0.0,49.0,10.0,9.0,12.0
2021,30-45 y.,3649,15.700103839536776,14.944692435687733,16.45551524338582,4.0,10.0,20.0,0.0,44.0,10.0,10.0,11.0
2021,46-65 y.,4974,15.931070878786663,15.255132574825202,16.607009182748126,4.0,10.0,20.0,0.0,44.0,10.0,9.0,10.0
2021,66 and older,272,12.392772868005359,7.714906688872548,17.07063904713817,1.0,6.0,15.0,0.0,36.0,6.0,2.0,9.0
