year,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2002,Staedtischer Raum,17.1725249444473,16.75235795824569,17.59269193064891,4.0,10.0,20.0,0.0,44.0,10.0,10.0,11.0,7820.0
2002,Laendlicher Raum,22.33911863806474,21.407619536348182,23.270617739781297,3.0,10.0,20.0,0.0,45.5,10.0,10.0,12.0,3675.0
2003,Staedtischer Raum,15.362637598138086,15.144436566214342,15.58083863006183,4.0,10.0,20.0,0.0,44.0,10.0,10.0,10.0,7584.0
2003,Laendlicher Raum,17.158915288306694,16.759233811700792,17.558596764912597,3.0,10.0,20.0,1.0,45.5,10.0,10.0,10.0,3592.0
2004,Staedtischer Raum,17.450864949652818,17.01974737688643,17.881982522419207,4.0,10.0,20.0,0.0,44.0,10.0,10.0,10.0,7173.0
2004,Laendlicher Raum,24.93227164403984,23.919653905861157,25.944889382218523,3.0,10.0,25.0,0.0,58.0,10.0,8.0,10.0,3355.0
2005,Staedtischer Raum,18.728414889110926,18.171867665980354,19.284962112241498,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0,6740.0
2005,Laendlicher Raum,24.300161482893543,23.35582946384088,25.244493501946206,3.0,10.0,25.0,1.0,58.0,10.0,8.0,10.0,3141.0
2006,Staedtischer Raum,18.140972500332385,17.70057321029507,18.5813717903697,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0,7097.0
2006,Laendlicher Raum,25.773135265577913,24.776303053975663,26.769967477180163,3.0,11.0,25.0,1.0,58.0,11.0,10.0,12.0,3497.0
2007,Staedtischer Raum,17.804081666914552,17.36652956109987,18.241633772729234,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0,6669.0
2007,Laendlicher Raum,28.567813576771776,27.364881466624333,29.77074568691922,3.0,12.0,25.0,1.0,58.0,12.0,11.0,14.0,3362.0
2008,Staedtischer Raum,18.80951977487339,18.2996479042131,19.31939164553368,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0,6428.0
2008,Laendlicher Raum,26.406883275378544,25.248586919817786,27.5651796309393,3.0,11.0,25.0,1.0,58.0,11.0,10.0,12.0,3215.0
2009,Staedtischer Raum,19.113974619494595,18.5801315667424,19.64781767224679,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0,5906.0
2009,Laendlicher Raum,25.327454109788004,24.239985471588007,26.414922747988,3.0,11.0,25.0,1.0,58.0,11.0,10.0,12.0,3084.0
2010,Staedtischer Raum,19.814800199985868,19.25112081164318,20.378479588328556,4.0,10.0,21.0,1.0,46.5,10.0,10.0,10.0,8021.0
2010,Laendlicher Raum,25.373215040337556,24.42957160243154,26.31685847824357,3.0,10.0,25.0,1.0,58.0,10.0,8.0,10.0,4261.0
2011,Staedtischer Raum,19.22421486339665,18.774683473381558,19.673746253411743,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0,9562.0
2011,Laendlicher Raum,24.71067671481313,23.90564401969772,25.515709409928537,3.0,10.0,25.0,1.0,58.0,10.0,8.0,10.0,5326.0
2012,Staedtischer Raum,19.51674577552536,19.050323983969747,19.983167567080976,4.0,10.0,20.0,0.0,44.0,10.0,10.0,10.0,9374.0
2012,Laendlicher Raum,22.70747126996363,21.95403158177242,23.46091095815484,3.0,10.0,25.0,0.0,58.0,10.0,8.0,10.0,5305.0
2013,Staedtischer Raum,19.659494308550073,19.234754049008046,20.0842345680921,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0,11136.0
2013,Laendlicher Raum,23.296106916623064,22.61814616874807,23.974067664498058,3.0,10.0,25.0,1.0,58.0,10.0,9.0,10.0,5660.0
2014,Staedtischer Raum,,,,,,,,,,,,
2014,Laendlicher Raum,,,,,,,,,,,,
2015,Staedtischer Raum,15.412065547397923,15.213940836765431,15.610190258030414,4.0,10.0,20.0,0.0,44.0,10.0,10.0,10.0,9492.0
2015,Laendlicher Raum,16.19605601535419,15.932561773828509,16.459550256879872,3.0,10.0,22.0,0.0,50.5,10.0,10.0,10.0,4990.0
2016,Staedtischer Raum,,,,,,,,,,,,
2016,Laendlicher Raum,,,,,,,,,,,,
2017,Staedtischer Raum,15.102768076942521,14.923203845062078,15.282332308822964,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0,9613.0
2017,Laendlicher Raum,16.718641583195684,16.455135558236364,16.982147608155003,3.0,10.0,22.0,1.0,50.5,10.0,9.0,10.0,5233.0
2018,Staedtischer Raum,,,,,,,,,,,,
2018,Laendlicher Raum,,,,,,,,,,,,
2019,-1,16.139695030323086,14.990790646563486,17.288599414082686,4.0,8.0,20.92694935715729,1.0,46.31737339289323,8.0,6.0,9.0,308.0
2019,Staedtischer Raum,14.621012083269289,14.453851053411661,14.788173113126916,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0,9368.0
2019,Laendlicher Raum,16.666233365319993,16.422515469007273,16.909951261632713,4.0,11.0,23.0,1.0,51.5,11.0,10.0,12.0,4936.0
2020,Staedtischer Raum,,,,,,,,,,,,
2020,Laendlicher Raum,,,,,,,,,,,,
2021,-1,,,,,,,,,,,,
2021,Staedtischer Raum,14.842320244957053,14.587688456782393,15.096952033131712,4.0,10.0,19.0,0.0,41.5,10.0,10.0,11.0,7245.0
2021,Laendlicher Raum,17.883756130695105,17.46373319543902,18.30377906595119,4.0,11.0,25.0,0.0,56.5,11.0,10.0,12.0,3442.0
